ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzet_25;UitzendenVanPersoneelFase1En2_26;UitlenenEnDetacherenVanPersoneel_27;Arbeidsbemiddeling_28;TestenWervenEnSelecterenPersoneel_29;DetacherenVanGesubsidieerdPersoneel_30;OverigeDiensten_31;TotaalVerleendeDiensten_32;OntvangstenVoorUitleenEnSubsidie_33;TotaalPersoneelskosten_34;BrutoLonenEnSalarissen_35;WVBrutoLonenEnSalGedetachPers_36;SocialeLasten_37;WVSocLastenGedetacheerdPersoneel_38;Pensioenpremies_39;WVPensioenpremiesGedetacheerdPers_40;KostenUitzendkrachten_41;KostenIngeleendPersoneel_42;OverigePersoneelskosten_43;WVOverigePersKstGedetachPers_44;TotaalOverigeBedrijfslasten_45;TotaalHuisvestingskosten_46;BetaaldeHurenPachtenEDVanLeasing_47;OnroerendeZaakbelastingMilieuheffing_48;Energiekosten_49;ReparatieEnOnderhoudskosten_50;Verzekeringen_51;OverigeHuisvestingskosten_52;TotaalInventarisEnMachinekosten_53;BetaaldeHurenEnKostenVanOperLease_54;Onderhoudskosten_55;OverigeInventarisEnMachinekosten_56;TotaalAutokosten_57;BetaaldeHurenEnKostenVanOperLease_58;Brandstof_59;OverigeAutokosten_60;TotaalVerkoopkosten_61;ReclameEnAdvertentiekosten_62;ReisVerblijfsEnRepresentatiekosten_63;OverigeVerkoopkosten_64;TotaalAndereKosten_65;AccountantsEnAdviesdiensten_66;KantoorbenodigdhDrukwerkVakliteratuur_67;OverigeVerzekeringen_68;OverigeKostprijsverhogendeBelastingen_69;Communicatiekosten_70;Beheerskosten_71;OverigeAutomatiseringskosten_72;NogNietEerderGenoemdeBedrijfskosten_73;TotaalAantalWerkzamePersonen_74;WerknemersOpDeLoonlijst_75;WerknemersNietOpLoonlijst_76;OverigPersoneel_77;TotaalInvesteringen_78;TotaalMaterieleVasteActiva_79;Bedrijfsruimten_80;Vervoermiddelen_81;Computers_82;OverigeMachinesApparatenED_83;OverigeMaterieleVasteActiva_84;TotaalImmaterieleVasteActiva_85
10;50 000 tot 250 000 euro;1998;1.2;21.0;21.0;21.0;0.0;0.0;21.0;11.7;63.3;1.4;23.5;5.0;0.0;0.0;1.0;1.0;3.0;0.0;0.0;0.0;88.2;-0.9;-1.0;;21.0;8.0;83.6;8.1;0.0;0.0;0.0;99.7;0.3;13.0;70.3;;9.6;;1.1;;0.6;14.2;4.5;;5.0;0.0;;;;;;;0.0;;;;1.0;;;;1.0;;;;3.0;;;;;;;;;9.0;85.2;6.9;8.0;;;;;;;;
11;50 000 tot 250 000 euro;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;250 000 tot 1 000 000 euro;1996;0.8;46.0;46.0;45.0;0.0;0.0;44.0;4.0;79.9;1.1;15.1;7.0;1.0;0.0;1.0;1.0;4.0;3.0;0.0;3.0;96.2;5.9;5.7;2.8;46.0;3.0;96.7;0.1;0.0;0.0;0.1;99.9;0.6;35.0;87.3;;6.6;;1.6;;0.5;1.4;3.3;;7.0;1.0;58.2;2.1;5.8;3.7;1.7;28.5;0.0;49.7;8.7;41.6;1.0;55.6;22.3;22.1;1.0;56.8;33.6;9.6;4.0;13.1;12.4;0.7;0.0;9.4;30.5;0.9;33.0;18.0;97.3;2.2;0.5;1.0;92.8;28.3;18.9;24.3;7.6;13.7;7.2
13;250 000 tot 1 000 000 euro;1997;1.2;56.0;55.0;55.0;0.0;1.0;48.0;8.4;77.0;1.7;12.8;6.0;1.0;0.0;1.0;1.0;3.0;9.0;0.0;9.0;92.8;15.2;15.3;1.5;55.0;6.1;93.4;0.3;0.0;0.0;0.0;99.8;0.1;37.0;76.7;;7.3;;1.2;;0.4;10.5;4.1;;6.0;1.0;53.9;0.9;8.6;16.7;1.3;18.7;0.0;55.2;21.3;23.5;1.0;38.3;24.2;37.5;1.0;46.4;41.3;12.4;3.0;24.5;11.6;0.8;0.0;14.1;34.6;2.3;12.1;21.0;94.4;3.1;2.5;1.0;99.6;25.0;8.9;49.7;2.7;13.2;0.4
14;250 000 tot 1 000 000 euro;1998;1.1;75.0;74.0;74.0;0.0;1.0;71.0;13.5;69.2;1.1;16.2;11.0;1.0;0.0;2.0;1.0;7.0;4.0;0.0;4.0;87.1;5.5;5.8;;74.0;7.0;92.0;0.7;0.0;0.0;0.1;99.8;0.2;49.0;78.2;;9.6;;1.1;;0.4;6.5;4.4;;11.0;1.0;;;;;;;0.0;;;;2.0;;;;1.0;;;;7.0;;;;;;;;;26.0;95.2;0.9;4.0;;;;;;;;
15;250 000 tot 1 000 000 euro;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1 000 000 euro en meer;1996;0.9;708.0;698.0;698.0;0.0;10.0;643.0;7.5;81.4;1.0;10.1;65.0;9.0;2.0;11.0;17.0;26.0;64.0;-5.0;59.0;93.1;8.6;8.4;0.8;698.0;8.0;90.2;1.1;0.0;0.0;0.7;100.0;0.3;524.0;85.1;;6.6;;1.9;;0.6;1.7;4.4;;65.0;9.0;67.9;0.6;3.1;5.0;0.5;22.9;2.0;19.4;17.3;63.2;11.0;79.9;8.9;11.1;17.0;45.2;46.2;8.6;26.0;16.8;9.9;2.0;0.1;13.7;29.7;4.3;23.5;210.0;98.6;0.0;1.3;6.0;98.5;12.8;12.5;29.0;12.6;31.6;1.5
17;1 000 000 euro en meer;1997;1.3;939.0;928.0;924.0;3.0;11.0;858.0;8.2;80.7;0.7;10.4;89.0;9.0;2.0;20.0;24.0;34.0;81.0;-10.0;71.0;92.4;8.3;7.5;0.8;928.0;7.7;90.8;0.2;0.4;0.0;0.5;99.6;0.4;692.0;80.7;;6.6;;1.5;;0.7;6.2;4.6;;89.0;9.0;70.0;0.4;5.4;3.1;0.5;20.5;2.0;17.6;35.6;46.8;20.0;77.2;12.2;10.5;24.0;44.6;46.5;8.9;34.0;16.4;9.8;2.1;0.1;15.1;37.1;3.7;15.7;290.0;95.2;0.1;4.7;7.0;98.4;13.1;13.1;36.5;10.5;25.2;1.6
18;1 000 000 euro en meer;1998;1.5;1166.0;1158.0;1155.0;3.0;8.0;1067.0;11.8;76.9;0.6;10.7;115.0;10.0;2.0;24.0;34.0;44.0;100.0;0.0;100.0;89.2;8.5;8.5;;1158.0;10.1;88.5;0.2;0.4;0.0;0.6;99.8;0.3;820.0;78.4;;10.0;;1.4;;0.7;5.5;4.2;;115.0;10.0;;;;;;;2.0;;;;24.0;;;;34.0;;;;44.0;;;;;;;;;336.0;96.6;0.0;3.4;;;;;;;;
19;1 000 000 euro en meer;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
