ID;Geslacht;Persoonskenmerken;RegioS;WmoClientenGebruikWlz2017Totaal_1;WmoClienten2016InstroomWlz2017_2;SamenloopWmoWlz2016Wlz2017_3;WmoClientenGebruikWlz2017Totaal_4;WmoClienten2016InstroomWlzIn2017_5;SamenloopWmoWlz2016WlzIn2017_6;WmoClientenGebruikWlz2017Totaal_7;WmoClienten2016InstroomWlzIn2017_8;SamenloopWmoWlz2016WlzIn2017_9
77;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Doesburg;85.0;35.0;50.0;11.97;4.95;7.02;9.0;4.0;5.0
78;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Doetinchem;470.0;165.0;300.0;15.51;5.5;10.01;10.0;3.0;6.0
79;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Dongen;;;;;;;;;
80;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Dongeradeel;215.0;40.0;180.0;18.23;3.21;15.02;11.0;2.0;9.0
81;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Dordrecht;;;;;;;;;
82;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Drechterland;;;;;;;;;
83;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Drimmelen;515.0;85.0;430.0;29.44;4.85;24.59;23.0;4.0;19.0
84;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Dronten;190.0;80.0;110.0;12.05;5.02;7.03;6.0;2.0;3.0
85;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Druten;;;;;;;;;
86;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Duiven;;;;;;;;;
87;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Echt-Susteren;;;;;;;;;
88;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Edam-Volendam;;;;;;;;;
89;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Ede;850.0;240.0;605.0;15.95;4.53;11.41;9.0;3.0;7.0
90;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Eemnes;30.0;5.0;20.0;13.86;2.97;10.89;4.0;1.0;3.0
91;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Eemsmond;;;;;;;;;
92;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Eersel;160.0;35.0;125.0;20.56;4.57;15.99;10.0;2.0;8.0
93;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Eijsden-Margraten;;;;;;;;;
94;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Eindhoven;1435.0;480.0;955.0;12.59;4.22;8.38;7.0;2.0;5.0
95;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Elburg;190.0;50.0;140.0;21.24;5.54;15.71;10.0;3.0;8.0
96;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Emmen;1765.0;340.0;1420.0;17.17;3.32;13.85;20.0;4.0;16.0
97;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Enkhuizen;;;;;;;;;
98;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Enschede;1605.0;450.0;1155.0;13.47;3.77;9.7;12.0;3.0;9.0
99;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Epe;155.0;80.0;75.0;12.91;6.54;6.37;6.0;3.0;3.0
100;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Ermelo;285.0;65.0;220.0;24.7;5.81;18.89;13.0;3.0;10.0
101;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Etten-Leur;420.0;90.0;330.0;17.89;3.87;14.02;12.0;3.0;9.0
102;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Ferwerderadiel;65.0;15.0;50.0;18.57;4.0;14.57;9.0;2.0;7.0
