ID;Gender;PersonalCharacteristics;CaribbeanNetherlands;Periods;TotalPopulationAged1564Years_1;LabourForce_2;EmployedLabourForce_3;UnemployedLabourForce_4;NotInTheLabourForce_5;GrossLabourParticipationRate_6;NetLabourParticipationRate_7;UnemploymentRate_8;TotalPopulationAged1564Years_9;LabourForce_10;EmployedLabourForce_11;UnemployedLabourForce_12;NotInTheLabourForce_13;GrossLabourParticipationRate_14;NetLabourParticipationRate_15;UnemploymentRate_16
21;Total male and female;Education level: high;Bonaire;2012;2062.0;1736.0;1692.0;45.0;326.0;84.2;82.0;2.6;1958.0;1682.0;1637.0;45.0;276.0;85.9;83.6;2.6
22;Total male and female;Education level: high;St. Eustatius;2012;486.0;364.0;356.0;;122.0;74.9;73.2;;438.0;364.0;356.0;;74.0;83.1;81.2;
23;Total male and female;Education level: high;Saba;2012;578.0;289.0;278.0;;288.0;50.1;48.1;;545.0;268.0;260.0;;277.0;49.2;47.8;
24;Total male and female;Education level: unknown;Bonaire;2012;21.0;;;;;;;;21.0;;;;;;;
25;Total male and female;Education level: unknown;St. Eustatius;2012;;;;;;;;;;;;;;;;
26;Total male and female;Education level: unknown;Saba;2012;;;;;;;;;;;;;;;;
27;Total male and female;1;Bonaire;2012;5649.0;3340.0;3078.0;262.0;2308.0;59.1;54.5;7.8;4506.0;3249.0;2981.0;268.0;1257.0;72.1;66.1;8.3
28;Total male and female;1;St. Eustatius;2012;;;;;;;;;;;;;;;;
29;Total male and female;1;Saba;2012;;;;;;;;;;;;;;;;
30;Total male and female;2;Bonaire;2012;;;;;;;;;;;;;;;;
31;Total male and female;2;St. Eustatius;2012;1230.0;844.0;815.0;29.0;386.0;68.6;66.2;3.5;1058.0;800.0;770.0;29.0;259.0;75.6;72.8;3.7
32;Total male and female;2;Saba;2012;;;;;;;;;;;;;;;;
33;Total male and female;3;Bonaire;2012;;;;;;;;;;;;;;;;
34;Total male and female;3;St. Eustatius;2012;31.0;31.0;31.0;;;100.0;100.0;;31.0;31.0;31.0;;;100.0;100.0;
35;Total male and female;3;Saba;2012;572.0;396.0;376.0;20.0;176.0;69.2;65.7;5.1;460.0;361.0;340.0;21.0;99.0;78.5;74.0;5.7
36;Total male and female;4;Bonaire;2012;2896.0;2188.0;2056.0;132.0;708.0;75.6;71.0;6.0;2686.0;2144.0;2001.0;143.0;543.0;79.8;74.5;6.7
37;Total male and female;4;St. Eustatius;2012;444.0;324.0;311.0;;120.0;72.9;70.1;;420.0;298.0;281.0;17.0;122.0;71.0;66.8;5.8
38;Total male and female;4;Saba;2012;250.0;165.0;152.0;;84.0;66.2;61.1;;225.0;161.0;148.0;;64.0;71.7;66.1;
39;Total male and female;5;Bonaire;2012;1354.0;1125.0;1089.0;36.0;229.0;83.1;80.4;3.2;1218.0;1068.0;1043.0;25.0;150.0;87.7;85.6;2.3
40;Total male and female;5;St. Eustatius;2012;249.0;191.0;191.0;;58.0;76.6;76.6;;221.0;182.0;182.0;;39.0;82.5;82.5;
41;Total male and female;5;Saba;2012;99.0;78.0;78.0;;21.0;78.7;78.7;;82.0;71.0;71.0;;;87.1;87.1;
42;Total male and female;6;Bonaire;2012;3581.0;2730.0;2614.0;116.0;851.0;76.2;73.0;4.2;3385.0;2660.0;2535.0;125.0;725.0;78.6;74.9;4.7
43;Total male and female;6;St. Eustatius;2012;1152.0;778.0;751.0;27.0;374.0;67.6;65.2;3.4;1032.0;728.0;676.0;52.0;303.0;70.6;65.5;7.2
44;Total male and female;6;Saba;2012;781.0;440.0;431.0;;340.0;56.4;55.2;;737.0;416.0;404.0;;321.0;56.4;54.8;
45;Male;Total;Bonaire;2012;7137.0;5131.0;4842.0;289.0;2006.0;71.9;67.8;5.6;6312.0;4950.0;4667.0;283.0;1362.0;78.4;73.9;5.7
46;Male;Total;St. Eustatius;2012;1721.0;1285.0;1249.0;37.0;436.0;74.7;72.6;2.9;1540.0;1221.0;1164.0;56.0;319.0;79.3;75.6;4.6
47;Male;Total;Saba;2012;894.0;589.0;562.0;27.0;305.0;65.9;62.9;4.6;800.0;547.0;513.0;33.0;253.0;68.3;64.2;6.1
48;Male;Age: 15 to 25 years;Bonaire;2012;1004.0;499.0;430.0;70.0;505.0;49.7;42.8;13.9;1004.0;499.0;430.0;70.0;505.0;49.7;42.8;13.9
49;Male;Age: 15 to 25 years;St. Eustatius;2012;211.0;51.0;51.0;;160.0;24.3;24.3;;211.0;46.0;40.0;;165.0;21.6;18.9;
50;Male;Age: 15 to 25 years;Saba;2012;184.0;95.0;84.0;;89.0;51.5;45.5;;184.0;84.0;72.0;;100.0;45.5;39.4;
51;Male;Age: 25 to 45 years;Bonaire;2012;2615.0;2350.0;2218.0;132.0;265.0;89.9;84.8;5.6;2615.0;2350.0;2218.0;132.0;265.0;89.9;84.8;5.6
52;Male;Age: 25 to 45 years;St. Eustatius;2012;653.0;590.0;576.0;;63.0;90.3;88.3;;653.0;590.0;567.0;23.0;63.0;90.3;86.9;3.8
53;Male;Age: 25 to 45 years;Saba;2012;374.0;271.0;262.0;;103.0;72.5;70.2;;374.0;271.0;258.0;;103.0;72.5;69.0;
54;Male;Age: 45 to 65 years;Bonaire;2012;2693.0;2147.0;2067.0;81.0;546.0;79.7;76.7;3.8;2693.0;2100.0;2020.0;81.0;593.0;78.0;75.0;3.8
55;Male;Age: 45 to 65 years;St. Eustatius;2012;676.0;597.0;574.0;23.0;79.0;88.3;84.9;3.9;676.0;585.0;557.0;28.0;91.0;86.6;82.4;4.8
56;Male;Age: 45 to 65 years;Saba;2012;242.0;197.0;189.0;;45.0;81.2;78.2;;242.0;192.0;183.0;;50.0;79.3;75.6;
57;Male;Age: 65 years or older;Bonaire;2012;825.0;134.0;128.0;;691.0;16.3;15.5;;;;;;;;;
58;Male;Age: 65 years or older;St. Eustatius;2012;181.0;47.0;47.0;;134.0;26.1;26.1;;;;;;;;;
59;Male;Age: 65 years or older;Saba;2012;94.0;27.0;27.0;;67.0;28.3;28.3;;;;;;;;;
60;Male;Education level: low;Bonaire;2012;4529.0;3062.0;2888.0;174.0;1467.0;67.6;63.8;5.7;3908.0;2962.0;2783.0;179.0;946.0;75.8;71.2;6.1
61;Male;Education level: low;St. Eustatius;2012;1075.0;772.0;736.0;37.0;303.0;71.8;68.4;4.7;941.0;718.0;667.0;51.0;223.0;76.3;70.9;7.1
62;Male;Education level: low;Saba;2012;462.0;349.0;329.0;20.0;113.0;75.5;71.2;5.8;400.0;319.0;292.0;26.0;82.0;79.6;73.0;8.2
63;Male;Education level: secondary;Bonaire;2012;1614.0;1237.0;1135.0;102.0;378.0;76.6;70.3;8.2;1485.0;1201.0;1111.0;90.0;284.0;80.9;74.8;7.5
64;Male;Education level: secondary;St. Eustatius;2012;391.0;321.0;321.0;;70.0;82.2;82.2;;375.0;311.0;305.0;;64.0;82.9;81.4;
65;Male;Education level: secondary;Saba;2012;131.0;112.0;107.0;;19.0;85.3;82.0;;119.0;108.0;103.0;;;90.7;87.0;
66;Male;Education level: high;Bonaire;2012;994.0;833.0;819.0;;161.0;83.8;82.4;;919.0;787.0;773.0;;132.0;85.6;84.2;
67;Male;Education level: high;St. Eustatius;2012;255.0;192.0;192.0;;63.0;75.2;75.2;;224.0;192.0;192.0;;32.0;85.8;85.8;
68;Male;Education level: high;Saba;2012;301.0;129.0;126.0;;173.0;42.7;41.8;;281.0;121.0;118.0;;160.0;42.9;41.9;
69;Male;Education level: unknown;Bonaire;2012;;;;;;;;;;;;;;;;
70;Male;Education level: unknown;St. Eustatius;2012;;;;;;;;;;;;;;;;
71;Male;Education level: unknown;Saba;2012;;;;;;;;;;;;;;;;
72;Male;1;Bonaire;2012;2822.0;1621.0;1484.0;137.0;1201.0;57.4;52.6;8.4;2298.0;1553.0;1422.0;131.0;745.0;67.6;61.9;8.4
73;Male;1;St. Eustatius;2012;;;;;;;;;;;;;;;;
74;Male;1;Saba;2012;;;;;;;;;;;;;;;;
75;Male;2;Bonaire;2012;;;;;;;;;;;;;;;;
76;Male;2;St. Eustatius;2012;702.0;517.0;499.0;18.0;185.0;73.6;71.0;3.5;607.0;481.0;463.0;18.0;126.0;79.2;76.2;3.8
77;Male;2;Saba;2012;;;;;;;;;;;;;;;;
78;Male;3;Bonaire;2012;;;;;;;;;;;;;;;;
79;Male;3;St. Eustatius;2012;23.0;23.0;23.0;;;100.0;100.0;;23.0;23.0;23.0;;;100.0;100.0;
80;Male;3;Saba;2012;310.0;223.0;209.0;;87.0;72.0;67.3;;257.0;199.0;184.0;15.0;58.0;77.6;71.7;7.6
81;Male;4;Bonaire;2012;1538.0;1186.0;1109.0;77.0;352.0;77.1;72.1;6.5;1408.0;1151.0;1062.0;89.0;258.0;81.7;75.4;7.7
82;Male;4;St. Eustatius;2012;218.0;151.0;151.0;;68.0;69.1;69.1;;211.0;151.0;146.0;;60.0;71.7;69.3;
83;Male;4;Saba;2012;126.0;101.0;88.0;;25.0;79.9;69.9;;118.0;97.0;84.0;;21.0;82.0;71.3;
84;Male;5;Bonaire;2012;793.0;641.0;615.0;26.0;152.0;80.8;77.5;4.1;696.0;584.0;569.0;15.0;112.0;83.9;81.7;2.6
85;Male;5;St. Eustatius;2012;146.0;109.0;109.0;;37.0;74.6;74.6;;130.0;109.0;109.0;;21.0;83.6;83.6;
86;Male;5;Saba;2012;51.0;43.0;43.0;;;84.0;84.0;;41.0;41.0;41.0;;;100.0;100.0;
87;Male;6;Bonaire;2012;1984.0;1683.0;1634.0;49.0;301.0;84.8;82.4;2.9;1910.0;1662.0;1614.0;49.0;248.0;87.0;84.5;2.9
88;Male;6;St. Eustatius;2012;632.0;486.0;468.0;18.0;146.0;76.9;74.0;3.8;569.0;457.0;424.0;33.0;112.0;80.3;74.5;7.2
89;Male;6;Saba;2012;405.0;220.0;220.0;;185.0;54.4;54.4;;383.0;208.0;203.0;;174.0;54.4;53.0;
90;Female;Total;Bonaire;2012;6342.0;4252.0;3995.0;257.0;2090.0;67.0;63.0;6.0;5483.0;4170.0;3892.0;278.0;1313.0;76.1;71.0;6.7
91;Female;Total;St. Eustatius;2012;1385.0;882.0;851.0;32.0;503.0;63.7;61.4;3.6;1222.0;819.0;776.0;43.0;403.0;67.0;63.5;5.2
92;Female;Total;Saba;2012;815.0;498.0;483.0;15.0;317.0;61.1;59.2;3.0;710.0;470.0;458.0;;240.0;66.1;64.5;
93;Female;Age: 15 to 25 years;Bonaire;2012;939.0;506.0;454.0;52.0;433.0;53.9;48.4;10.2;939.0;495.0;444.0;52.0;444.0;52.7;47.2;10.4
94;Female;Age: 15 to 25 years;St. Eustatius;2012;173.0;41.0;37.0;;132.0;23.8;21.4;;173.0;37.0;33.0;;136.0;21.4;19.0;
95;Female;Age: 15 to 25 years;Saba;2012;169.0;42.0;42.0;;127.0;25.0;25.0;;169.0;42.0;42.0;;127.0;25.0;25.0;
96;Female;Age: 25 to 45 years;Bonaire;2012;2207.0;1956.0;1828.0;128.0;251.0;88.6;82.8;6.5;2207.0;1945.0;1818.0;127.0;262.0;88.1;82.4;6.5
97;Female;Age: 25 to 45 years;St. Eustatius;2012;577.0;470.0;451.0;19.0;107.0;81.4;78.1;4.1;577.0;466.0;436.0;30.0;111.0;80.7;75.5;6.5
98;Female;Age: 25 to 45 years;Saba;2012;340.0;273.0;263.0;;67.0;80.4;77.2;;340.0;270.0;263.0;;70.0;79.4;77.2;
99;Female;Age: 45 to 65 years;Bonaire;2012;2337.0;1730.0;1660.0;70.0;607.0;74.0;71.0;4.1;2337.0;1730.0;1631.0;99.0;607.0;74.0;69.8;5.7
100;Female;Age: 45 to 65 years;St. Eustatius;2012;472.0;359.0;351.0;;113.0;76.1;74.3;;472.0;316.0;307.0;;156.0;66.9;65.1;
101;Female;Age: 45 to 65 years;Saba;2012;201.0;166.0;161.0;;35.0;82.4;80.2;;201.0;157.0;153.0;;44.0;78.3;76.1;
102;Female;Age: 65 years or older;Bonaire;2012;859.0;60.0;52.0;;799.0;6.9;6.1;;;;;;;;;
103;Female;Age: 65 years or older;St. Eustatius;2012;163.0;;;;151.0;;;;;;;;;;;
104;Female;Age: 65 years or older;Saba;2012;105.0;17.0;17.0;;88.0;15.9;15.9;;;;;;;;;
105;Female;Education level: low;Bonaire;2012;3257.0;1921.0;1806.0;116.0;1336.0;59.0;55.4;6.0;2664.0;1877.0;1756.0;121.0;786.0;70.5;65.9;6.5
106;Female;Education level: low;St. Eustatius;2012;777.0;457.0;449.0;;319.0;58.9;57.8;;651.0;391.0;379.0;;259.0;60.1;58.3;
107;Female;Education level: low;Saba;2012;410.0;236.0;230.0;;174.0;57.5;56.0;;324.0;223.0;216.0;;102.0;68.7;66.7;
108;Female;Education level: secondary;Bonaire;2012;1995.0;1418.0;1308.0;110.0;577.0;71.1;65.6;7.7;1759.0;1389.0;1264.0;126.0;370.0;79.0;71.8;9.0
109;Female;Education level: secondary;St. Eustatius;2012;373.0;249.0;233.0;15.0;124.0;66.6;62.5;6.2;353.0;251.0;229.0;22.0;101.0;71.2;64.9;8.9
110;Female;Education level: secondary;Saba;2012;124.0;101.0;101.0;;23.0;81.2;81.2;;117.0;99.0;99.0;;18.0;84.4;84.4;
111;Female;Education level: high;Bonaire;2012;1068.0;904.0;873.0;31.0;165.0;84.6;81.7;3.5;1039.0;895.0;864.0;31.0;144.0;86.2;83.1;3.5
112;Female;Education level: high;St. Eustatius;2012;231.0;172.0;164.0;;59.0;74.6;71.0;;214.0;172.0;164.0;;42.0;80.3;76.4;
113;Female;Education level: high;Saba;2012;276.0;161.0;152.0;;115.0;58.2;55.1;;264.0;148.0;143.0;;116.0;56.0;54.0;
114;Female;Education level: unknown;Bonaire;2012;21.0;;;;;;;;21.0;;;;;;;
115;Female;Education level: unknown;St. Eustatius;2012;;;;;;;;;;;;;;;;
116;Female;Education level: unknown;Saba;2012;;;;;;;;;;;;;;;;
117;Female;1;Bonaire;2012;2827.0;1719.0;1594.0;125.0;1107.0;60.8;56.4;7.3;2209.0;1696.0;1558.0;138.0;513.0;76.8;70.5;8.1
118;Female;1;St. Eustatius;2012;;;;;;;;;;;;;;;;
119;Female;1;Saba;2012;;;;;;;;;;;;;;;;
120;Female;2;Bonaire;2012;;;;;;;;;;;;;;;;
121;Female;2;St. Eustatius;2012;528.0;327.0;316.0;;201.0;61.9;59.8;;451.0;319.0;308.0;;132.0;70.7;68.2;
122;Female;2;Saba;2012;;;;;;;;;;;;;;;;
123;Female;3;Bonaire;2012;;;;;;;;;;;;;;;;
124;Female;3;St. Eustatius;2012;;;;;;;;;;;;;;;;
125;Female;3;Saba;2012;263.0;173.0;167.0;;90.0;65.8;63.7;;203.0;162.0;156.0;;41.0;79.8;77.0;
126;Female;4;Bonaire;2012;1358.0;1001.0;947.0;54.0;356.0;73.8;69.8;5.4;1278.0;993.0;938.0;54.0;285.0;77.7;73.4;5.5
127;Female;4;St. Eustatius;2012;226.0;173.0;161.0;;53.0;76.6;71.1;;209.0;147.0;135.0;;62.0;70.3;64.4;
128;Female;4;Saba;2012;123.0;64.0;64.0;;59.0;52.1;52.1;;107.0;64.0;64.0;;42.0;60.3;60.3;
129;Female;5;Bonaire;2012;561.0;484.0;474.0;;77.0;86.3;84.6;;522.0;484.0;474.0;;38.0;92.8;90.9;
130;Female;5;St. Eustatius;2012;103.0;82.0;82.0;;21.0;79.5;79.5;;91.0;74.0;74.0;;17.0;80.9;80.9;
131;Female;5;Saba;2012;48.0;35.0;35.0;;;73.1;73.1;;41.0;30.0;30.0;;;74.3;74.3;
132;Female;6;Bonaire;2012;1597.0;1047.0;980.0;67.0;550.0;65.6;61.4;6.4;1475.0;997.0;921.0;76.0;477.0;67.6;62.5;7.6
133;Female;6;St. Eustatius;2012;519.0;292.0;284.0;;227.0;56.2;54.6;;462.0;271.0;252.0;19.0;191.0;58.6;54.4;7.1
134;Female;6;Saba;2012;375.0;220.0;211.0;;156.0;58.6;56.1;;354.0;207.0;201.0;;147.0;58.6;56.9;
