ID;Gender;Periods;TotalDeaths_1;DeathsPer1000Inhabitants_2;StandardisedMortality_3;InfantMortality_4;InfantMortalityRelative_5;DeathsUnder4Weeks_6;DeathsUnder4WeeksRelative_7;PerinatalMortality24_8;PerinatalMortality24Relative_9;PerinatalMortality28_10;PerinatalMortality28Relative_11;LifeExpectancyAtBirth_12;AverageAgeAtDeath_13
49;Total male and female;1999;140487;8.9;8.1;1048;5.2;804.0;4.0;1908.0;9.5;1589.0;7.9;78.0;75.1
50;Total male and female;2000;140527;8.8;8.0;1059;5.1;808.0;3.9;1882.0;9.1;1629.0;7.8;78.1;75.2
51;Total male and female;2001;140377;8.7;7.9;1088;5.4;784.0;3.9;1874.0;9.2;1612.0;7.9;78.3;75.2
52;Total male and female;2002;142355;8.8;7.9;1014;5.0;764.0;3.8;1795.0;8.8;1555.0;7.6;78.4;75.4
53;Total male and female;2003;141936;8.7;7.7;962;4.8;725.0;3.6;1679.0;8.3;1483.0;7.4;78.7;75.6
54;Total male and female;2004;136553;8.4;7.3;852;4.4;651.0;3.4;1513.0;7.8;1295.0;6.6;79.2;75.6
55;Total male and female;2005;136402;8.4;7.2;928;4.9;693.0;3.7;1531.0;8.1;1308.0;6.9;79.5;75.9
56;Total male and female;2006;135372;8.3;7.0;820;4.4;619.0;3.3;1325.0;7.1;1111.0;6.0;79.8;76.2
57;Total male and female;2007;133022;8.1;6.7;736;4.1;576.0;3.2;1218.0;6.7;1045.0;5.7;80.2;76.3
58;Total male and female;2008;135136;8.2;6.6;698;3.8;521.0;2.8;1164.0;6.3;998.0;5.4;80.4;76.6
59;Total male and female;2009;134235;8.1;6.4;711;3.8;528.0;2.9;1054.0;5.7;905.0;4.9;80.7;76.6
60;Total male and female;2010;136058;8.2;6.4;695;3.8;509.0;2.8;1028.0;5.7;870.0;4.8;80.8;76.9
61;Total male and female;2011;135741;8.1;6.2;654;3.6;486.0;2.7;996.0;5.5;862.0;4.8;81.1;77.0
62;Total male and female;2012;140813;8.4;6.3;649;3.7;465.0;2.6;934.0;5.3;778.0;4.4;81.1;77.4
63;Total male and female;2013;141245;8.4;6.1;645;3.8;481.0;2.8;870.0;5.1;761.0;4.4;81.3;77.6
64;Total male and female;2014;139223;8.3;5.9;630;3.6;472.0;2.7;827.0;4.7;716.0;4.1;81.6;77.6
65;Total male and female;2015;147134;8.7;6.1;561;3.3;420.0;2.5;795.0;4.6;677.0;4.0;81.5;78.1
66;Total male and female;2016;148997;8.7;6.0;597;3.5;444.0;2.6;833.0;4.8;728.0;4.2;81.5;78.1
67;Total male and female;2017;150214;8.8;5.9;607;3.6;459.0;2.7;823.0;4.8;697.0;4.1;81.7;78.4
68;Total male and female;2018;153363;8.9;5.9;582;3.5;429.0;2.5;833.0;4.9;710.0;4.2;81.8;78.5
69;Total male and female;2019;151885;8.8;5.7;617;3.6;458.0;2.7;869.0;5.1;762.0;4.5;82.1;78.5
70;Total male and female;2020;168678;9.7;6.2;648;3.8;487.0;2.9;849.0;5.0;733.0;4.3;81.4;78.9
71;Total male and female;2021;170972;9.8;6.2;597;3.3;462.0;2.6;843.0;4.7;732.0;4.1;81.4;78.6
72;Total male and female;2022;170112;9.6;6.1;540;3.2;409.0;2.4;770.0;4.6;676.0;4.0;81.6;78.9
73;Total male and female;2023;169521;9.5;5.9;598;3.6;450.0;2.7;821.0;5.0;701.0;4.3;81.8;78.9
74;Male;1950;39121;7.7;11.0;3535;29.8;;;;;;;70.3;59.3
75;Male;1951;40294;7.8;11.0;3534;30.0;;;;;;;70.2;59.8
76;Male;1952;39467;7.6;10.5;3184;26.6;;;;;;;71.0;60.6
77;Male;1953;42128;8.0;10.9;3174;27.0;;;;;;;70.4;60.9
78;Male;1954;41970;7.9;10.5;2945;25.0;;;;;;;71.0;62.1
79;Male;1955;43445;8.0;10.6;2865;24.4;;;;;;;70.9;62.8
80;Male;1956;44835;8.2;10.7;2734;22.9;;;;;;;71.0;63.6
81;Male;1957;44088;7.9;10.3;2489;20.7;;;;;;;71.4;63.5
82;Male;1958;45184;8.0;10.3;2500;20.5;;;;;;;71.5;64.0
83;Male;1959;46632;8.2;10.3;2539;20.4;;;;;;;71.2;63.7
84;Male;1960;47499;8.2;10.3;2464;20.1;;;;;;;71.4;64.4
85;Male;1961;48235;8.2;10.2;2466;19.5;;;;;;;71.4;64.3
86;Male;1962;51866;8.7;10.7;2394;19.0;;;;;;;71.0;65.0
87;Male;1963;53054;8.8;10.7;2285;17.8;;;;;;;71.0;65.5
88;Male;1964;51990;8.5;10.3;2154;16.7;;;;;;;71.3;64.9
89;Male;1965;54484;8.8;10.6;2029;16.1;;;;;;;71.1;65.7
90;Male;1966;55638;8.9;10.6;2063;16.8;;;;;;;71.0;65.7
91;Male;1967;55785;8.8;10.4;1811;14.8;;;;;;;71.2;65.8
92;Male;1968;58627;9.2;10.7;1898;15.6;;;;;;;70.9;66.4
93;Male;1969;59558;9.2;10.7;1916;15.1;;;;;;;70.9;66.4
94;Male;1970;61052;9.3;10.9;1756;14.4;;;;;;;70.8;66.6
95;Male;1971;61148;9.2;10.7;1623;13.9;;;;;;;71.0;66.9
96;Male;1972;63193;9.4;11.0;1452;13.3;;;;;;;70.8;67.3
97;Male;1973;61458;9.1;10.5;1273;12.8;;;;;;;71.3;67.6
98;Male;1974;60605;8.9;10.2;1201;12.6;;;;;;;71.6;67.8
99;Male;1975;63526;9.3;10.6;1097;12.0;;;;;;;71.4;68.5
100;Male;1976;63963;9.3;10.5;1060;11.6;;;;;;;71.5;68.6
101;Male;1977;61260;8.8;9.9;975;11.0;;;;;;;72.1;68.3
102;Male;1978;63623;9.1;10.1;987;11.0;;;;;;;72.0;68.8
103;Male;1979;62201;8.9;9.7;891;9.9;;;;;;;72.5;69.0
104;Male;1980;63301;9.0;9.7;902;9.7;;;;;;;72.5;69.2
105;Male;1981;63470;8.9;9.6;854;9.4;;;;;;;72.7;69.6
106;Male;1982;64146;9.0;9.6;821;9.3;;;;;;;72.8;69.7
107;Male;1983;64269;9.0;9.6;806;9.3;;;;;;;72.9;70.0
108;Male;1984;64798;9.0;9.5;857;9.6;;;;;;;73.0;70.0
109;Male;1985;65847;9.1;9.5;808;8.9;;;;;;;73.1;70.3
110;Male;1986;66653;9.2;9.5;803;8.6;;;;;;;73.1;70.3
111;Male;1987;64956;8.9;9.2;824;8.6;;;;;;;73.5;70.3
112;Male;1988;65401;8.9;9.1;762;8.0;;;;;;;73.7;70.5
113;Male;1989;67089;9.1;9.2;737;7.7;;;;;;;73.7;70.9
114;Male;1990;66628;9.0;9.0;810;8.0;;;;;;;73.8;70.7
115;Male;1991;66679;8.9;8.9;782;7.7;;;;;;;74.0;70.9
116;Male;1992;66264;8.8;8.7;689;6.8;;;;;;;74.3;70.9
117;Male;1993;69884;9.2;9.1;718;7.2;;;;;;;74.0;71.3
118;Male;1994;67028;8.8;8.6;639;6.4;;;;;;;74.6;71.2
119;Male;1995;68229;8.9;8.6;609;6.2;;;;;;;74.6;71.4
120;Male;1996;69008;8.9;8.6;615;6.3;452.0;4.6;990.0;;851.0;;74.7;71.5
121;Male;1997;67243;8.7;8.2;542;5.5;391.0;4.0;995.0;;829.0;;75.2;71.7
122;Male;1998;68209;8.7;8.2;613;6.0;444.0;4.3;1019.0;;852.0;;75.2;71.7
123;Male;1999;68872;8.8;8.1;563;5.5;435.0;4.2;1007.0;;840.0;;75.3;71.9
124;Male;2000;68773;8.7;7.9;582;5.5;442.0;4.2;1010.0;;876.0;;75.5;71.9
125;Male;2001;68319;8.6;7.7;615;5.9;441.0;4.2;1021.0;;895.0;;75.8;72.0
126;Male;2002;68998;8.6;7.6;569;5.5;427.0;4.1;978.0;;834.0;;76.0;72.3
127;Male;2003;69012;8.5;7.5;562;5.5;420.0;4.1;959.0;;861.0;;76.2;72.4
128;Male;2004;66359;8.2;7.0;490;4.9;373.0;3.8;830.0;;715.0;;76.9;72.5
129;Male;2005;66362;8.2;6.9;506;5.3;386.0;4.0;820.0;;703.0;;77.2;73.0
130;Male;2006;65294;8.0;6.6;468;4.9;359.0;3.8;732.0;;619.0;;77.6;73.2
131;Male;2007;64797;8.0;6.4;435;4.7;332.0;3.6;642.0;;547.0;;78.0;73.4
132;Male;2008;64902;7.9;6.2;378;4.0;279.0;2.9;604.0;;525.0;;78.3;73.6
133;Male;2009;65365;8.0;6.1;394;4.2;290.0;3.1;560.0;;484.0;;78.5;73.7
134;Male;2010;65977;8.0;5.9;378;4.0;283.0;3.0;525.0;;454.0;;78.8;74.0
135;Male;2011;65259;7.9;5.7;375;4.1;271.0;2.9;551.0;;476.0;;79.2;74.2
136;Male;2012;67907;8.1;5.7;361;4.0;252.0;2.8;489.0;;419.0;;79.1;74.6
137;Male;2013;68360;8.2;5.6;353;4.0;271.0;3.1;472.0;;404.0;;79.4;74.8
138;Male;2014;67121;8.0;5.3;354;4.0;260.0;2.9;431.0;4.8;384.0;4.3;79.9;75.0
139;Male;2015;71029;8.5;5.5;313;3.6;233.0;2.7;428.0;4.9;366.0;4.2;79.7;75.4
140;Male;2016;72180;8.5;5.4;323;3.6;247.0;2.8;429.0;4.8;388.0;4.4;79.9;75.6
141;Male;2017;72661;8.5;5.3;347;4.0;257.0;2.9;452.0;5.2;385.0;4.4;80.1;75.8
142;Male;2018;74522;8.7;5.2;332;3.9;243.0;2.8;445.0;5.1;386.0;4.5;80.2;76.0
143;Male;2019;74432;8.6;5.1;342;3.9;263.0;3.0;452.0;5.2;400.0;4.6;80.5;76.3
144;Male;2020;84317;9.7;5.6;360;4.2;267.0;3.1;443.0;5.1;385.0;4.4;79.7;76.7
145;Male;2021;85769;9.8;5.6;333;3.6;251.0;2.7;423.0;4.6;371.0;4.0;79.7;76.6
146;Male;2022;83749;9.5;5.3;306;3.6;237.0;2.8;407.0;4.7;358.0;4.2;80.1;76.7
147;Male;2023;83919;9.4;5.2;343;4.1;254.0;3.0;436.0;5.2;375.0;4.4;80.3;76.8
148;Female;1950;36808;7.2;15.9;2591;23.3;;;;;;;72.6;63.2
149;Female;1951;37266;7.2;15.6;2565;23.2;;;;;;;72.8;63.5
150;Female;1952;36879;7.0;15.0;2398;21.4;;;;;;;73.3;64.1
151;Female;1953;38773;7.3;15.3;2224;20.1;;;;;;;73.0;64.4
152;Female;1954;37653;7.0;14.4;2210;20.0;;;;;;;73.8;65.4
153;Female;1955;38263;7.0;14.2;2091;18.7;;;;;;;74.1;66.1
154;Female;1956;39974;7.2;14.5;1941;17.3;;;;;;;74.1;67.1
155;Female;1957;38873;7.0;13.7;1806;15.9;;;;;;;74.6;66.9
156;Female;1958;39307;6.9;13.4;1891;16.4;;;;;;;74.8;67.3
157;Female;1959;39440;6.9;13.0;1849;15.6;;;;;;;75.2;67.5
158;Female;1960;40326;6.9;12.9;1822;15.7;;;;;;;75.3;68.0
159;Female;1961;40086;6.8;12.4;1748;14.5;;;;;;;75.7;68.4
160;Female;1962;42103;7.0;12.7;1780;14.8;;;;;;;75.6;68.8
161;Female;1963;42680;7.0;12.5;1656;13.6;;;;;;;75.8;69.2
162;Female;1964;41447;6.8;11.8;1565;12.8;;;;;;;76.3;68.9
163;Female;1965;43542;7.0;12.0;1512;12.7;;;;;;;76.1;69.6
164;Female;1966;44878;7.1;12.0;1460;12.5;;;;;;;76.1;69.9
165;Female;1967;44007;6.9;11.4;1380;11.9;;;;;;;76.6;69.9
166;Female;1968;46362;7.2;11.7;1326;11.4;;;;;;;76.4;70.6
167;Female;1969;48057;7.4;11.7;1360;11.3;;;;;;;76.3;70.5
168;Female;1970;48567;7.4;11.6;1289;11.1;;;;;;;76.5;70.9
169;Female;1971;49095;7.4;11.4;1134;10.3;;;;;;;76.8;71.6
170;Female;1972;50383;7.5;11.4;1053;10.1;;;;;;;76.8;71.9
171;Female;1973;49224;7.3;10.8;975;10.2;;;;;;;77.1;71.9
172;Female;1974;48645;7.1;10.4;903;10.0;;;;;;;77.6;72.4
173;Female;1975;50211;7.3;10.4;797;9.2;;;;;;;77.7;73.0
174;Female;1976;50491;7.3;10.1;834;9.7;;;;;;;77.9;73.1
175;Female;1977;48833;7.0;9.4;674;8.0;;;;;;;78.5;73.1
176;Female;1978;50792;7.2;9.5;695;8.1;;;;;;;78.5;73.6
177;Female;1979;50364;7.1;9.1;633;7.4;;;;;;;78.9;73.8
178;Female;1980;50978;7.1;8.9;655;7.4;;;;;;;79.2;74.2
179;Female;1981;52045;7.2;8.8;629;7.2;;;;;;;79.3;74.6
180;Female;1982;53118;7.3;8.7;606;7.2;;;;;;;79.4;74.9
181;Female;1983;53492;7.3;8.5;626;7.5;;;;;;;79.6;75.1
182;Female;1984;55014;7.5;8.5;595;7.0;;;;;;;79.7;75.5
183;Female;1985;56857;7.7;8.5;622;7.1;;;;;;;79.7;75.8
184;Female;1986;58654;7.9;8.6;625;6.9;;;;;;;79.6;76.0
185;Female;1987;57243;7.7;8.1;586;6.5;;;;;;;80.1;76.0
186;Female;1988;58762;7.8;8.1;513;5.6;;;;;;;80.2;76.6
187;Female;1989;61816;8.2;8.3;545;5.9;;;;;;;79.9;76.7
188;Female;1990;62196;8.2;8.2;587;6.1;;;;;;;80.1;76.9
189;Female;1991;63279;8.3;8.2;509;5.2;;;;;;;80.2;77.0
190;Female;1992;63623;8.2;8.1;546;5.7;;;;;;;80.3;77.2
191;Female;1993;67911;8.7;8.5;509;5.3;;;;;;;80.0;77.7
192;Female;1994;66443;8.5;8.1;468;4.9;;;;;;;80.3;77.6
193;Female;1995;67446;8.6;8.1;432;4.6;;;;;;;80.4;77.8
194;Female;1996;68553;8.7;8.1;472;5.1;349.0;3.8;886.0;;751.0;;80.4;77.8
195;Female;1997;68540;8.6;8.0;427;4.5;315.0;3.3;832.0;;704.0;;80.6;78.0
196;Female;1998;69273;8.7;7.9;422;4.3;322.0;3.3;858.0;;724.0;;80.7;78.2
197;Female;1999;71615;8.9;8.1;485;5.0;369.0;3.8;901.0;;749.0;;80.4;78.2
198;Female;2000;71754;8.9;8.0;477;4.7;366.0;3.6;872.0;;753.0;;80.6;78.2
199;Female;2001;72058;8.8;7.9;473;4.8;343.0;3.5;853.0;;717.0;;80.7;78.3
200;Female;2002;73357;8.9;8.0;445;4.5;337.0;3.4;817.0;;721.0;;80.7;78.4
201;Female;2003;72924;8.9;7.8;400;4.1;305.0;3.1;720.0;;622.0;;80.9;78.6
202;Female;2004;70194;8.5;7.4;362;3.8;278.0;2.9;683.0;;580.0;;81.4;78.6
203;Female;2005;70040;8.4;7.3;422;4.6;307.0;3.4;711.0;;605.0;;81.6;78.7
204;Female;2006;70078;8.4;7.1;352;3.9;260.0;2.9;593.0;;492.0;;81.9;79.1
205;Female;2007;68225;8.2;6.8;301;3.4;244.0;2.7;576.0;;498.0;;82.3;79.1
206;Female;2008;70234;8.4;6.9;320;3.6;242.0;2.7;560.0;;473.0;;82.3;79.3
207;Female;2009;68870;8.2;6.6;317;3.5;238.0;2.6;494.0;;421.0;;82.6;79.4
208;Female;2010;70081;8.3;6.6;317;3.5;226.0;2.5;503.0;;416.0;;82.7;79.6
209;Female;2011;70482;8.3;6.5;279;3.2;215.0;2.5;445.0;;386.0;;82.8;79.6
210;Female;2012;72906;8.6;6.5;288;3.4;213.0;2.5;445.0;;359.0;;82.8;79.9
211;Female;2013;72885;8.6;6.4;292;3.5;210.0;2.5;398.0;;357.0;;83.0;80.2
212;Female;2014;72102;8.5;6.2;276;3.2;212.0;2.5;396.0;4.6;332.0;3.9;83.3;80.1
213;Female;2015;76105;8.9;6.5;248;3.0;187.0;2.3;367.0;4.4;311.0;3.7;83.1;80.5
214;Female;2016;76817;8.9;6.4;274;3.3;197.0;2.3;404.0;4.8;340.0;4.0;83.1;80.5
215;Female;2017;77553;9.0;6.4;260;3.1;202.0;2.4;371.0;4.5;312.0;3.8;83.3;80.8
216;Female;2018;78841;9.1;6.4;250;3.0;186.0;2.3;388.0;4.7;324.0;3.9;83.3;80.9
217;Female;2019;77453;8.9;6.1;275;3.3;195.0;2.4;417.0;5.0;362.0;4.4;83.6;80.7
218;Female;2020;84361;9.6;6.6;288;3.5;220.0;2.7;406.0;4.9;348.0;4.2;83.1;81.1
219;Female;2021;85203;9.7;6.6;264;3.0;211.0;2.4;420.0;4.8;361.0;4.1;83.0;80.7
220;Female;2022;86363;9.7;6.5;234;2.9;172.0;2.1;363.0;4.4;318.0;3.9;83.1;81.0
221;Female;2023;85602;9.5;6.4;255;3.2;196.0;2.4;385.0;4.8;326.0;4.1;83.3;81.0
