ID;Periods;GrossDomesticProduct_1;NetPrimaryIncomeFromRestOfWorld_2;Total_3;CompensationOfEmployees_4;PropertyIncome_5;SubsidiesReceivedFromRestOfWorld_6;Total_7;CompensationOfEmployees_8;PropertyIncome_9;TaxesOnProductionAndImports_10;GrossNationalIncome_11;ConsumptionOfFixedCapital_12;NetNationalIncome_13;NetCurrentTransfersFromRestOfWorld_14;Total_15;CurrentTaxesOnIncomeAndWealth_16;SocialContributions_17;SocialBenefitsInCash_18;OtherCurrentTransfers_19;Total_20;CurrentTaxesOnIncomeAndWealth_21;SocialContributions_22;SocialBenefitsInCash_23;OtherCurrentTransfers_24;NetDisposableNationalIncome_25;FinalConsumptionExpenditure_26;AdjustmChangeInPensionEntitlements_27;NetNationalSaving_28;NetFixedCapitalFormation_29;ChangesInInventories_30;SurplusNationOnCurrentTransactions_31;Total_32;NetExportsOfGoods_33;NetExportsOfServices_34;NetPrimaryIncome_35;PrimaryIncomeFromRestOfWorld_36;PrimaryIncomePaidToRestOfWorld_37;NetCurrentTransfers_38;CurrentTransfersFromRestOfWorld_39;CurrentTransfersPaidToRestOfWorld_40;AdjustmChangeInPensionEntitlements_41;NetCapitalTransfersFromRestOfWorld_42;CapitalTransfersFromRestOfWorld_43;CapitalTransfersPaidToRestOfWorld_44;AcqLessDisposalsOfNonProdAssets_45;NationalNetLendingOrNetBorrowing_46;TotalFinancialTransactionsInAssets_47;TotalFinancialTransactionsLiabilities_48;StatisticalDiscrepancy_49
10;2005;550883;-9509;160722;1099;158003;1620;170231;2962;165586;1683;541374;88591;452783;-10324;7436;2610;952;230;3644;17760;1873;403;1574;13910;442459;391614;-11;50834;23863;224;26747;46591;47791;-1200;-9509;160722;170231;-10324;7436;17760;-11;235;1440;1205;18;27000;347263;316419;-3844
11;2006;584546;-4172;189177;1072;186198;1907;193349;3747;187817;1785;580374;92481;487893;-11295;8301;3173;1338;242;3548;19596;2153;405;1617;15421;476598;411440;33;65191;30513;-101;34779;50213;50699;-486;-4172;189177;193349;-11295;8301;19596;33;-157;1329;1486;-906;33716;660797;628720;1639
12;2007;619170;-6916;245621;1050;243260;1311;252537;6922;243591;2024;612254;97227;515027;-10611;9835;4564;1905;234;3132;20446;2715;403;1748;15580;504416;430679;65;73802;46999;347;26456;43918;52954;-9036;-6916;245621;252537;-10611;9835;20446;65;-499;708;1207;4086;30043;693809;666227;2461
13;2008;647198;-31290;205149;1039;202614;1496;236439;8701;225561;2177;615908;102612;513296;-9441;11191;4973;2353;248;3617;20632;2624;392;2150;15466;503855;447484;48;56419;40529;1384;14506;55189;52201;2988;-31290;205149;236439;-9441;11191;20632;48;-708;643;1351;-864;12934;124823;111742;-147
14;2009;624842;-23640;174107;1153;171568;1386;197747;9202;186725;1820;601202;106530;494672;-6249;10873;4469;2557;248;3599;17122;2068;393;2629;12032;488423;447976;41;40488;26598;-3653;17543;47391;47422;-31;-23640;174107;197747;-6249;10873;17122;41;-820;954;1774;-283;16440;110855;97753;3338
15;2010;639187;-5671;227771;1211;225261;1299;233442;8635;222839;1968;633516;109791;523725;-8689;11316;4427;2488;248;4153;20005;2741;386;2548;14330;515036;458253;121;56904;16107;3356;37441;51680;50414;1266;-5671;227771;233442;-8689;11316;20005;121;-1966;887;2853;-822;34653;205710;171828;771
16;2011;650359;-2181;244464;1366;241647;1451;246645;9190;235269;2186;648178;110021;538157;-8619;11937;4575;2582;248;4532;20556;3083;398;2543;14532;529538;464525;178;65191;20944;-635;44882;55504;54983;521;-2181;244464;246645;-8619;11937;20556;178;-577;774;1351;-379;43926;401924;358843;845
17;2012;652966;-7270;232810;1464;229965;1381;240080;9140;228893;2047;645696;111232;534464;-8020;12470;4818;2665;248;4739;20490;3220;407;2691;14172;526444;467112;147;59479;11273;-239;48445;63588;60738;2850;-7270;232810;240080;-8020;12470;20490;147;-254;827;1081;-10487;37704;219733;185074;3045
18;2013;660463;-4711;238828;1564;235721;1543;243539;8769;232761;2009;655752;113167;542585;-9960;12538;4765;2628;250;4895;22498;3283;415;2671;16129;532625;470767;77;61935;8070;1015;52850;67444;64563;2881;-4711;238828;243539;-9960;12538;22498;77;-531;792;1323;-1103;51216;288577;241195;3834
19;2014;671560;-6776;269281;1766;266236;1279;276057;8420;265221;2416;664784;114366;550418;-9063;13581;5486;3264;253;4578;22644;3542;433;2493;16176;541355;476709;71;64717;3772;2156;58789;74557;63927;10630;-6776;269281;276057;-9063;13581;22644;71;-493;692;1185;-851;57445;254412;198403;1436
20;2015;690008;-7030;262392;1903;258891;1598;269422;8591;257714;3117;682978;115742;567236;-8997;14121;5425;3211;270;5215;23118;3913;445;2769;15991;558239;483170;173;75242;36791;2546;35905;51759;65447;-13688;-7030;262392;269422;-8997;14121;23118;173;-297;1097;1394;-3084;32524;372529;338170;-1835
21;2016;708337;-17190;260659;1796;257436;1427;277849;8841;265910;3098;691147;117912;573235;-4959;13195;5484;3239;240;4232;18154;3673;435;2783;11263;568276;490883;206;77599;23763;3446;50390;72333;65703;6630;-17190;260659;277849;-4959;13195;18154;206;-1020;1023;2043;-157;49213;392820;342401;-1206
22;2017;738146;-8484;263492;1825;260170;1497;271976;9347;259490;3139;729662;121452;608210;-5325;13354;5767;3433;240;3914;18679;4076;447;2909;11247;602885;506752;248;96381;27218;3334;65829;79390;71944;7446;-8484;263492;271976;-5325;13354;18679;248;-346;998;1344;22;65505;234896;172227;2836
23;2018;773987;-2917;303988;1933;300547;1508;306905;10296;293242;3367;771070;127456;643614;-6758;14598;6756;3635;240;3967;21356;4270;459;3005;13622;636856;530171;200;106885;30637;4116;72132;81607;71611;9996;-2917;303988;306905;-6758;14598;21356;200;-244;1066;1310;-270;71618;-216506;-292078;-3954
24;2019;813055;-16539;272824;1857;269350;1617;289363;11919;273860;3584;796516;133227;663289;-7165;16299;7855;4021;240;4183;23464;5519;452;2979;14514;656124;553681;244;102687;39581;6848;56258;79718;60104;19614;-16539;272824;289363;-7165;16299;23464;244;-414;1123;1537;11;55855;121944;64154;-1935
25;2020;796530;-26035;209001;1759;205552;1690;235036;11719;219793;3524;770495;139375;631120;-13458;15868;6376;3979;240;5273;29326;5088;460;3011;20767;617662;543029;246;74879;33562;360;40957;80204;61718;18486;-26035;209001;235036;-13458;15868;29326;246;-195;1100;1295;142;40904;-194523;-230629;4798
26;2021;870587;13916;261164;1824;257585;1755;247248;12613;230572;4063;884503;146714;737789;-6696;18049;6729;4248;240;6832;24745;4346;485;3026;16888;731093;585149;264;146208;37691;3055;105462;97978;73169;24809;13916;261164;247248;-6696;18049;24745;264;9;1144;1135;603;106074;119661;17348;3761
27;2022;958549;-8926;309957;2138;306124;1695;318883;13988;299857;5038;949623;159091;790532;-5926;18226;7386;4517;240;6083;24152;3909;497;3405;16341;784606;651573;266;133299;40777;3655;88867;103453;73565;29888;-8926;309957;318883;-5926;18226;24152;266;-762;1047;1809;106944;195049;628117;436524;3456
