ID;SBISTransport;Jaren;Bedrijven_1;WerkzamePersonen_2;Bedrijfsopbrengsten_3;Totaal_4;Personeelskosten_5;OverigeKosten_6;Bedrijfsresultaat_7;ResultaatVoorBelastingen_8
41;60241 Verhuisbedrijven;1999;3.4;47.0;253.0;87.1;51.5;35.7;12.9;12.5
42;60242 Overig goederenwegvervoerbedrijven;1994;71.0;920.0;6580.0;91.4;42.3;49.1;8.6;6.6
43;60242 Overig goederenwegvervoerbedrijven;1995;79.0;992.0;6897.0;92.1;43.3;48.8;7.9;6.2
44;60242 Overig goederenwegvervoerbedrijven;1996;86.0;1063.0;7397.0;92.8;42.8;50.0;7.2;5.7
45;60242 Overig goederenwegvervoerbedrijven;1997;89.7;1111.0;7772.0;91.7;42.2;49.5;8.3;6.9
46;60242 Overig goederenwegvervoerbedrijven;1998;94.3;1186.0;8450.0;91.3;42.7;48.6;8.7;8.6
47;60242 Overig goederenwegvervoerbedrijven;1999;94.3;1217.0;8910.0;91.7;42.9;48.8;8.3;6.8
48;6030 Pijpleidingbedrijven;1994;0.1;2.0;255.0;41.3;4.1;37.2;58.7;56.6
49;6030 Pijpleidingbedrijven;1995;0.1;2.0;250.0;40.4;4.1;36.3;59.6;91.4
50;6030 Pijpleidingbedrijven;1996;0.1;2.0;256.0;37.1;4.2;32.9;62.9;59.9
51;6030 Pijpleidingbedrijven;1997;0.1;2.0;257.0;36.7;4.1;32.6;63.3;60.6
52;6030 Pijpleidingbedrijven;1998;0.1;2.0;255.0;38.5;4.2;34.3;61.5;59.5
53;6030 Pijpleidingbedrijven;1999;0.1;2.0;270.0;39.8;4.8;35.0;60.2;67.8
54;64122 Koeriersdiensten;1994;;;;;;;;0.0
55;64122 Koeriersdiensten;1995;;;;;;;;0.0
56;64122 Koeriersdiensten;1996;14.3;84.0;383.0;85.6;33.8;51.8;14.4;13.2
57;64122 Koeriersdiensten;1997;16.5;98.0;493.0;89.0;33.3;55.7;11.0;10.1
58;64122 Koeriersdiensten;1998;18.8;117.0;603.0;86.9;33.6;53.3;13.1;13.7
59;64122 Koeriersdiensten;1999;21.1;153.0;978.0;94.1;38.2;55.9;5.9;3.6
60;6321 Dienstverlening t.b.v. wegvervoer;1994;;;;;;;;0.0
61;6321 Dienstverlening t.b.v. wegvervoer;1995;;;;;;;;0.0
62;6321 Dienstverlening t.b.v. wegvervoer;1996;3.5;50.0;851.0;88.1;16.7;71.4;11.9;-2.0
63;6321 Dienstverlening t.b.v. wegvervoer;1997;3.6;56.0;906.0;91.9;19.3;72.6;8.1;-4.2
64;6321 Dienstverlening t.b.v. wegvervoer;1998;3.9;58.0;1078.0;87.0;20.1;66.9;13.0;3.4
65;6321 Dienstverlening t.b.v. wegvervoer;1999;4.5;63.0;1084.0;86.2;22.1;64.1;13.8;3.5
66;6110 Zeevaartbedrijven;1994;3.8;105.0;2677.0;93.8;14.0;79.8;6.2;5.6
67;6110 Zeevaartbedrijven;1995;4.4;94.0;2587.0;97.0;12.8;84.2;3.0;3.0
68;6110 Zeevaartbedrijven;1996;5.1;103.0;2677.0;96.2;12.9;83.3;3.8;4.2
69;6110 Zeevaartbedrijven;1997;5.6;107.0;2950.0;91.5;12.0;79.5;8.5;4.7
70;6110 Zeevaartbedrijven;1998;5.1;101.0;3177.0;91.5;11.7;79.8;8.5;5.7
71;6110 Zeevaartbedrijven;1999;5.6;106.0;3169.0;93.0;11.8;81.2;7.0;3.3
72;6120 Binnenvaartbedrijven, totaal;1994;44.0;139.0;1007.0;81.2;20.8;60.4;18.8;11.9
73;6120 Binnenvaartbedrijven, totaal;1995;43.0;142.0;1036.0;80.4;20.6;59.8;19.6;14.4
74;6120 Binnenvaartbedrijven, totaal;1996;43.0;145.0;1071.0;78.0;19.6;58.4;22.0;17.5
75;6120 Binnenvaartbedrijven, totaal;1997;42.4;146.0;1159.0;75.6;18.8;56.8;24.4;20.2
76;6120 Binnenvaartbedrijven, totaal;1998;42.0;150.0;1201.0;75.8;20.1;55.7;24.2;20.6
77;6120 Binnenvaartbedrijven, totaal;1999;38.5;135.0;1143.0;78.1;21.5;56.6;21.8;18.3
78;61201 Vrachtvaart;1994;37.0;80.0;490.0;73.4;8.4;65.0;26.6;16.6
79;61201 Vrachtvaart;1995;36.0;82.0;519.0;70.8;7.8;63.0;29.2;21.6
80;61201 Vrachtvaart;1996;35.0;79.0;506.0;68.5;7.0;61.5;31.5;25.6
81;61201 Vrachtvaart;1997;35.2;82.0;602.0;66.7;7.6;59.1;33.3;26.6
82;61201 Vrachtvaart;1998;33.7;80.0;641.0;67.8;9.2;58.7;32.1;25.6
83;61201 Vrachtvaart;1999;30.3;70.0;602.0;72.1;12.2;59.9;27.9;22.0
84;61202 Tankvaart;1994;2.0;22.0;251.0;91.4;30.1;61.3;8.6;3.9
85;61202 Tankvaart;1995;2.0;21.0;242.0;88.8;31.3;57.5;11.2;5.9
86;61202 Tankvaart;1996;2.0;21.0;260.0;86.3;29.2;57.1;13.7;8.6
87;61202 Tankvaart;1997;1.9;20.0;264.0;84.9;28.8;56.1;15.1;12.4
88;61202 Tankvaart;1998;1.8;20.0;233.0;83.5;31.3;52.2;16.5;16.5
89;61202 Tankvaart;1999;1.8;20.0;233.0;85.2;30.7;54.6;14.8;11.5
90;61203 Sleep- en duwvaart;1994;2.0;14.0;133.0;90.2;37.1;53.1;9.8;9.1
91;61203 Sleep- en duwvaart;1995;2.0;14.0;128.0;89.3;35.3;54.0;10.7;9.4
92;61203 Sleep- en duwvaart;1996;2.0;15.0;133.0;87.4;31.0;56.4;12.6;12.2
93;61203 Sleep- en duwvaart;1997;2.5;15.0;133.0;85.3;32.4;52.9;14.7;16.5
94;61203 Sleep- en duwvaart;1998;2.5;14.0;137.0;86.6;31.3;55.3;13.4;12.7
95;61203 Sleep- en duwvaart;1999;2.5;13.0;121.0;88.0;31.7;56.3;12.0;13.1
96;61204 Passagiersvaart en veerdiensten;1994;3.0;20.0;135.0;83.3;35.8;47.5;16.7;12.0
97;61204 Passagiersvaart en veerdiensten;1995;3.0;25.0;147.0;88.5;35.1;53.4;11.5;9.0
98;61204 Passagiersvaart en veerdiensten;1996;3.0;27.0;153.0;88.1;35.2;52.9;11.9;9.4
99;61204 Passagiersvaart en veerdiensten;1997;2.9;28.0;160.0;85.7;32.9;52.8;14.3;12.2
100;61204 Passagiersvaart en veerdiensten;1998;4.0;36.0;191.0;85.5;35.0;50.5;14.5;14.5
101;61204 Passagiersvaart en veerdiensten;1999;3.9;32.0;186.0;82.5;33.6;48.9;17.5;18.1
102;6322 Dienstverl. tbv vervoer over water;1994;1.9;40.0;590.0;60.9;19.6;41.3;39.1;16.8
103;6322 Dienstverl. tbv vervoer over water;1995;1.9;40.0;590.0;61.6;19.0;42.6;38.4;19.6
104;6322 Dienstverl. tbv vervoer over water;1996;1.8;40.0;635.0;60.9;21.4;39.5;39.1;19.1
105;6322 Dienstverl. tbv vervoer over water;1997;2.2;41.0;641.0;61.4;22.8;38.6;38.6;22.2
106;6322 Dienstverl. tbv vervoer over water;1998;2.4;44.0;689.0;61.0;21.9;39.1;39.0;24.4
107;6322 Dienstverl. tbv vervoer over water;1999;2.3;42.0;705.0;60.3;21.4;38.8;39.7;26.2
108;6200 Luchtvaartbedrijven;1994;;;;;;;;0.0
109;6200 Luchtvaartbedrijven;1995;0.1;303.0;4855.0;94.4;28.2;66.2;5.6;6.8
110;6200 Luchtvaartbedrijven;1996;0.1;314.0;5264.0;100.7;28.4;72.3;-0.7;1.2
111;6200 Luchtvaartbedrijven;1997;0.1;322.0;6303.0;93.4;24.9;68.5;6.6;18.2
112;6200 Luchtvaartbedrijven;1998;0.1;339.0;6442.0;95.8;25.8;70.0;4.2;5.2
113;6200 Luchtvaartbedrijven;1999;0.1;361.0;6792.0;97.8;26.1;71.7;2.2;7.0
114;6323 Luchthavens e.d.;1994;0.3;31.0;503.0;83.0;24.5;58.5;17.0;7.5
115;6323 Luchthavens e.d.;1995;0.3;31.0;531.0;80.1;26.9;53.2;19.9;13.0
116;6323 Luchthavens e.d.;1996;0.2;33.0;604.0;76.9;27.5;49.4;23.1;15.0
117;6323 Luchthavens e.d.;1997;0.3;36.0;669.0;78.3;26.8;51.5;21.7;17.4
118;6323 Luchthavens e.d.;1998;0.3;38.0;722.0;76.8;25.9;50.9;23.2;17.7
119;6323 Luchthavens e.d.;1999;0.4;37.0;771.0;75.2;25.7;49.5;24.8;16.2
120;6311 Laad-, los- en overslagbedrijven;1994;2.8;120.0;1075.0;93.8;54.4;39.4;6.2;4.9
121;6311 Laad-, los- en overslagbedrijven;1995;2.6;110.0;1042.0;93.8;50.7;43.1;6.2;5.2
122;6311 Laad-, los- en overslagbedrijven;1996;3.0;113.0;1046.0;93.6;48.5;45.1;6.4;5.2
123;6311 Laad-, los- en overslagbedrijven;1997;3.0;108.0;1065.0;91.7;46.1;45.6;8.5;7.0
124;6311 Laad-, los- en overslagbedrijven;1998;3.2;112.0;1105.0;93.1;46.3;46.9;6.8;5.8
125;6311 Laad-, los- en overslagbedrijven;1999;3.3;112.0;1122.0;93.2;45.8;47.3;6.8;1.7
126;6312 Opslagbedrijven;1994;4.5;84.0;859.0;84.6;34.0;50.6;15.4;10.5
127;6312 Opslagbedrijven;1995;4.5;86.0;892.0;86.2;33.9;52.3;13.8;10.7
128;6312 Opslagbedrijven;1996;4.8;92.0;888.0;89.5;35.8;53.7;10.5;5.1
129;6312 Opslagbedrijven;1997;5.0;103.0;1010.0;86.0;35.1;50.9;14.0;11.6
130;6312 Opslagbedrijven;1998;5.1;103.0;1085.0;85.1;33.0;52.1;14.9;13.1
131;6312 Opslagbedrijven;1999;5.2;119.0;1215.0;83.5;31.6;51.9;16.5;15.4
132;63401 Expediteurs,cargadoors,bevrachters;1994;18.3;226.0;1427.0;90.7;52.3;38.4;9.3;8.1
133;63401 Expediteurs,cargadoors,bevrachters;1995;18.3;230.0;1456.0;89.4;51.0;38.4;10.6;9.2
134;63401 Expediteurs,cargadoors,bevrachters;1996;17.4;240.0;1543.0;87.3;50.6;36.7;12.7;13.0
135;63401 Expediteurs,cargadoors,bevrachters;1997;17.0;262.0;1627.0;86.8;51.2;35.6;13.2;14.0
136;63401 Expediteurs,cargadoors,bevrachters;1998;16.2;278.0;1735.0;87.8;54.2;35.0;12.2;12.4
137;63401 Expediteurs,cargadoors,bevrachters;1999;16.9;259.0;1847.0;87.8;47.0;40.7;12.2;11.9
138;63402 Wegings- en metingsbedrijven;1994;1.1;11.0;91.0;91.9;47.5;44.4;8.1;6.0
139;63402 Wegings- en metingsbedrijven;1995;1.3;11.0;95.0;95.3;46.1;49.2;4.7;3.3
140;63402 Wegings- en metingsbedrijven;1996;1.5;10.0;96.0;94.2;39.5;54.7;5.8;3.1
141;63402 Wegings- en metingsbedrijven;1997;1.3;9.0;107.0;90.9;32.4;58.5;9.1;6.8
142;63402 Wegings- en metingsbedrijven;1998;1.1;8.0;99.0;94.5;28.3;66.2;5.5;5.0
143;63402 Wegings- en metingsbedrijven;1999;1.4;10.0;93.0;96.3;31.4;64.9;3.7;3.9
144;63301 Reisorganisatie (touroperators);1994;4.4;62.0;352.0;86.2;38.9;47.3;13.8;15.6
145;63301 Reisorganisatie (touroperators);1995;4.5;68.0;373.0;86.4;40.6;45.8;13.4;16.7
146;63301 Reisorganisatie (touroperators);1996;5.2;73.0;383.0;92.1;44.5;47.6;7.9;8.8
147;63301 Reisorganisatie (touroperators);1997;5.5;76.0;407.0;86.5;39.9;46.6;13.5;12.5
148;63301 Reisorganisatie (touroperators);1998;5.5;82.0;448.0;87.6;39.9;47.7;12.4;14.1
149;63301 Reisorganisatie (touroperators);1999;6.6;83.0;518.0;87.4;37.0;50.4;12.6;13.8
150;63302 Reisbemiddeling (reisbureaus);1994;7.5;64.0;279.0;88.9;46.3;42.6;11.1;12.7
151;63302 Reisbemiddeling (reisbureaus);1995;8.2;70.0;301.0;89.3;43.5;45.8;10.7;12.9
152;63302 Reisbemiddeling (reisbureaus);1996;9.6;85.0;355.0;90.8;49.6;41.2;9.3;10.0
153;63302 Reisbemiddeling (reisbureaus);1997;10.8;99.0;407.0;88.8;44.5;44.3;11.2;12.9
154;63302 Reisbemiddeling (reisbureaus);1998;10.3;111.0;473.0;86.4;42.2;44.2;13.6;14.8
155;63302 Reisbemiddeling (reisbureaus);1999;10.2;107.0;445.0;85.7;42.3;43.4;14.3;15.5
156;63303 Info verstrekking tbv toerisme;1994;;;;;;;;0.0
157;63303 Info verstrekking tbv toerisme;1995;;;;;;;;0.0
158;63303 Info verstrekking tbv toerisme;1996;4.0;39.0;193.0;100.4;48.7;51.7;-0.4;0.2
159;63303 Info verstrekking tbv toerisme;1997;3.7;43.0;196.0;101.4;48.8;52.6;-1.4;-1.1
160;63303 Info verstrekking tbv toerisme;1998;4.4;41.0;200.0;100.2;46.1;54.1;-0.2;0.8
161;63303 Info verstrekking tbv toerisme;1999;4.1;39.0;229.0;95.3;37.1;58.1;4.7;5.2
