ID;Regelgeving;Perioden;AanHetBeginVanDePeriodeAanhangig_1;IngediendeZaken_2;TotaalUitspraken_3;KennelijkOngegrond_4;KennelijkGegrond_5;OverigeUitspraken_6;Ingesteld_7;IngetrokkenNietOntvankelijkOngegrond_8;Gegrond_9;TotaalUitspraken_10;Ongegrond_11;Gegrond_12;OverigeUitspraken_13;TotaalUitspraken_14;Afgewezen_15;GeheelOfDeelsToegewezen_16;OverigeUitspraken_17;IngetrokkenVerwezenZaken_18;AanHetEindVanDePeriodeAanhangig_19
38;Ambtenarenwet;2004;1934;3283;195;15;62;118;46;32;9;1508;797;593;118;335;233;87;15;973;2220
39;Ambtenarenwet;2005;2220;3093;210;18;83;109;37;22;11;1674;979;607;88;350;219;106;25;972;2122
40;Ambtenarenwet;2006;2122;2904;199;15;84;100;21;22;9;1624;877;653;94;320;220;78;22;938;1944
41;Ambtenarenwet;2007;1944;2655;168;7;35;126;17;15;8;1426;848;502;76;283;173;82;28;890;1834
42;Ambtenarenwet;2008;1834;2263;115;9;53;53;21;15;5;1208;671;453;84;238;146;74;18;832;1710
43;Ambtenarenwet;2009;1710;2140;134;6;75;53;36;29;1;1049;561;402;86;223;157;59;7;714;1737
44;Ambtenarenwet;2010;1737;2153;94;6;28;60;13;14;3;1067;630;369;68;220;166;48;6;727;1781
45;Ambtenarenwet;2011;1781;2214;106;11;37;58;28;15;5;1267;763;425;79;231;160;52;19;696;1708
46;Ambtenarenwet;2012;1708;2645;92;3;21;68;15;11;12;1245;791;394;60;218;167;41;10;838;1966
47;Ambtenarenwet;2013;1970;1955;87;3;17;67;22;9;11;1375;875;441;59;210;141;62;7;725;1541
48;Ambtenarenwet;2014;1541;5145;70;5;12;53;13;12;4;1087;740;297;50;223;182;27;14;950;4357
49;Ambtenarenwet;2015;4363;2256;105;11;34;60;22;11;8;2660;2150;456;54;137;108;21;8;1323;2405
50;Ambtenarenwet;2016;2404;1715;62;5;19;38;5;6;4;1790;1112;618;60;121;90;21;10;573;1572
51;Militaire ambtenarenwet;2000;203;420;31;6;3;22;8;6;1;157;108;46;3;19;14;5;0;83;335
52;Militaire ambtenarenwet;2001;335;268;42;3;1;38;2;2;0;154;107;44;3;24;20;4;0;127;256
53;Militaire ambtenarenwet;2002;256;252;24;6;2;16;28;25;2;166;115;45;6;19;16;2;1;81;221
54;Militaire ambtenarenwet;2003;221;443;27;1;6;20;7;4;2;182;93;80;9;85;26;59;0;102;271
55;Militaire ambtenarenwet;2004;271;385;26;7;8;11;7;7;1;171;109;47;15;57;43;10;4;141;261
56;Militaire ambtenarenwet;2005;261;302;21;4;10;7;6;3;0;201;113;71;17;32;20;5;7;120;192
57;Militaire ambtenarenwet;2006;192;325;32;1;21;10;3;6;2;151;99;46;6;39;30;7;2;89;203
58;Militaire ambtenarenwet;2007;203;370;25;6;10;9;3;2;1;158;87;64;7;41;21;19;1;151;199
59;Militaire ambtenarenwet;2008;199;273;24;0;10;14;3;2;0;165;96;61;8;25;18;7;0;99;160
60;Militaire ambtenarenwet;2009;160;302;26;1;15;10;4;0;3;122;69;49;4;52;35;17;0;93;173
61;Militaire ambtenarenwet;2010;173;360;18;0;9;9;2;4;0;178;98;75;5;25;20;5;0;72;238
62;Militaire ambtenarenwet;2011;238;363;48;1;37;10;2;0;1;228;116;100;12;32;21;10;1;84;211
63;Militaire ambtenarenwet;2012;211;299;18;1;10;7;3;1;0;212;128;77;7;31;20;11;0;103;148
64;Militaire ambtenarenwet;2013;148;205;12;0;5;7;0;2;1;143;92;42;9;27;18;8;1;72;97
65;Militaire ambtenarenwet;2014;97;222;8;1;4;3;2;2;0;109;61;42;6;17;17;0;0;45;140
66;Militaire ambtenarenwet;2015;140;237;41;0;29;12;2;2;0;117;77;27;13;8;7;0;1;82;129
67;Militaire ambtenarenwet;2016;129;1108;11;1;3;7;2;1;1;509;112;390;7;14;12;1;1;62;642
68;Overige ambtenarenzaken;2000;115;119;12;1;1;10;4;4;1;111;71;32;8;4;3;1;0;26;81
69;Overige ambtenarenzaken;2001;81;106;8;3;0;5;3;2;1;67;37;15;15;2;0;0;2;30;81
70;Overige ambtenarenzaken;2002;81;59;7;3;3;1;2;2;1;50;39;9;2;1;1;0;0;21;61
71;Overige ambtenarenzaken;2003;61;48;8;4;0;4;2;3;0;45;31;11;3;1;0;0;1;15;39
72;Overige ambtenarenzaken;2004;39;42;8;1;2;5;4;3;0;23;15;5;3;0;0;0;0;8;43
73;Overige ambtenarenzaken;2005;43;53;5;0;1;4;1;1;0;31;23;7;1;0;0;0;0;15;45
74;Overige ambtenarenzaken;2006;45;27;2;0;1;1;1;1;1;31;25;5;1;0;0;0;0;6;33
75;Overige ambtenarenzaken;2007;33;8;0;0;0;0;0;0;0;18;11;6;1;0;0;0;0;7;16
76;Overige ambtenarenzaken;2008;16;11;2;0;0;2;1;0;1;7;7;0;0;0;0;0;0;4;15
77;Overige ambtenarenzaken;2009;15;24;4;0;0;4;0;0;0;5;3;2;0;0;0;0;0;10;20
78;Overige ambtenarenzaken;2010;20;45;2;1;0;1;1;0;0;10;5;5;0;0;0;0;0;3;51
79;Overige ambtenarenzaken;2011;51;64;3;0;2;1;1;2;0;47;28;18;1;1;1;0;0;3;60
80;Overige ambtenarenzaken;2012;60;72;4;0;0;4;3;3;0;48;28;18;2;0;0;0;0;9;71
81;Overige ambtenarenzaken;2013;71;77;4;0;0;4;0;0;0;48;31;14;3;4;3;1;0;12;80
82;Overige ambtenarenzaken;2014;80;99;8;0;1;7;2;1;1;55;30;19;6;1;0;0;1;15;101
83;Overige ambtenarenzaken;2015;101;98;8;2;0;6;3;3;0;86;62;24;0;2;0;0;2;6;97
84;Overige ambtenarenzaken;2016;97;90;4;0;0;4;0;0;0;96;30;65;1;1;0;0;1;10;76
85;Totaal sociale verzekeringszaken;2000;15159;14334;1512;190;314;1008;318;282;69;10376;6419;3512;445;349;249;85;15;2912;14382
86;Totaal sociale verzekeringszaken;2001;14382;14358;1648;226;330;1092;367;278;79;10128;6536;3172;420;325;229;61;35;3298;13430
87;Totaal sociale verzekeringszaken;2002;13430;18261;1797;330;353;1114;408;300;81;9962;6647;2965;350;399;263;78;58;4036;15609
88;Totaal sociale verzekeringszaken;2003;15609;19264;1914;362;317;1235;400;301;91;11969;7953;3409;607;470;295;95;80;4269;16354
89;Totaal sociale verzekeringszaken;2004;16355;20297;1845;365;322;1158;355;273;84;13813;8757;4400;656;575;401;113;61;4765;15738
90;Totaal sociale verzekeringszaken;2005;15737;20185;1929;326;271;1332;448;336;101;13725;8162;4798;765;464;304;89;71;5327;14592
91;Totaal sociale verzekeringszaken;2006;14592;18456;1912;401;274;1237;345;294;72;12258;7061;4475;722;444;308;82;54;4907;13579
92;Totaal sociale verzekeringszaken;2007;13579;14355;1420;223;203;994;288;227;62;10546;5793;4110;643;419;303;73;43;4123;11489
93;Totaal sociale verzekeringszaken;2008;11489;14008;981;158;119;704;229;202;68;9247;5644;2988;615;360;247;74;39;3402;11539
94;Totaal sociale verzekeringszaken;2009;11539;13041;956;128;103;725;168;133;29;8333;5308;2541;484;336;217;83;36;3262;11729
95;Totaal sociale verzekeringszaken;2010;11728;12459;951;167;77;707;183;143;34;9315;6329;2397;589;351;255;54;42;3446;10166
96;Totaal sociale verzekeringszaken;2011;10167;12891;965;147;55;763;190;150;35;8556;5977;1983;596;396;271;51;74;3701;9481
97;Totaal sociale verzekeringszaken;2012;9481;13253;900;137;38;725;225;193;36;8315;5967;1769;579;328;248;42;38;3493;9731
98;Totaal sociale verzekeringszaken;2013;9732;13596;913;164;28;721;203;174;31;8296;6235;1563;498;408;312;60;36;3759;9982
99;Totaal sociale verzekeringszaken;2014;9982;14417;873;140;23;710;236;211;40;9019;6785;1694;540;547;446;55;46;3887;10098
100;Totaal sociale verzekeringszaken;2015;10112;15716;1215;224;60;931;363;253;81;9231;6822;1810;599;471;334;84;53;4020;11001
101;Totaal sociale verzekeringszaken;2016;11004;14631;1102;202;47;853;308;246;47;9033;6669;1794;570;442;329;50;63;4666;10455
102;Ziektewet;2000;824;987;129;13;27;89;24;18;8;586;402;162;22;17;9;7;1;198;887
103;Ziektewet;2001;887;1052;124;21;16;87;20;14;6;635;438;177;20;21;15;4;2;235;930
104;Ziektewet;2002;930;1287;156;36;37;83;36;23;10;787;561;209;17;47;30;12;5;288;952
105;Ziektewet;2003;952;1242;138;28;11;99;28;20;5;798;558;211;29;23;13;4;6;268;976
106;Ziektewet;2004;976;1173;123;27;20;76;23;20;6;917;650;231;36;27;18;8;1;289;796
107;Ziektewet;2005;796;1094;114;37;14;63;22;17;8;784;564;188;32;34;19;9;6;234;729
108;Ziektewet;2006;729;1371;144;37;32;75;23;15;5;710;496;185;29;37;21;12;4;342;875
109;Ziektewet;2007;875;1635;172;46;24;102;25;19;7;849;576;239;34;37;25;9;3;466;992
110;Ziektewet;2008;992;1762;134;22;21;91;31;16;13;978;688;242;48;29;22;4;3;400;1229
111;Ziektewet;2009;1229;1739;140;35;10;95;20;15;4;1093;763;278;52;32;21;7;4;411;1297
112;Ziektewet;2010;1297;1636;156;34;11;111;23;22;2;1317;1004;250;63;38;28;5;5;401;1022
113;Ziektewet;2011;1022;1674;127;31;8;88;17;13;4;1150;878;222;50;33;27;4;2;379;1011
114;Ziektewet;2012;1011;1684;99;16;9;74;18;13;7;1143;940;157;46;39;32;3;4;410;1009
115;Ziektewet;2013;1014;1749;116;36;6;74;18;17;5;1114;920;145;49;47;35;5;7;402;1086
116;Ziektewet;2014;1086;2112;115;21;0;94;20;14;6;1287;1082;154;51;46;36;2;8;549;1207
117;Ziektewet;2015;1210;2716;158;35;4;119;28;14;10;1575;1326;185;64;59;46;3;10;584;1564
118;Ziektewet;2016;1564;2802;165;37;7;121;23;18;6;1861;1584;217;60;45;39;1;5;701;1599
119;Werkloosheidswetten;2000;2684;2589;277;41;41;195;52;49;7;2098;1208;834;56;66;52;11;3;532;2303
120;Werkloosheidswetten;2001;2303;2349;339;63;43;233;55;40;10;1821;1054;696;71;67;45;15;7;633;1807
121;Werkloosheidswetten;2002;1807;3002;304;50;43;211;51;41;13;1572;1044;481;47;107;62;24;21;664;2172
122;Werkloosheidswetten;2003;2172;3959;412;92;43;277;81;52;24;1959;1220;660;79;147;85;34;28;879;2764
123;Werkloosheidswetten;2004;2764;4334;414;75;49;290;69;52;13;2536;1528;902;106;226;171;38;17;1004;2935
124;Werkloosheidswetten;2005;2935;4833;477;57;50;370;78;65;18;2949;1736;1065;148;170;114;28;28;1392;2793
125;Werkloosheidswetten;2006;2793;3958;475;99;64;312;83;73;12;2635;1564;890;181;109;76;17;16;1270;2272
126;Werkloosheidswetten;2007;2272;2210;251;32;25;194;36;35;7;1752;1037;614;101;54;39;10;5;779;1647
127;Werkloosheidswetten;2008;1647;1839;157;28;18;111;35;23;14;1135;707;355;73;63;45;7;11;515;1628
128;Werkloosheidswetten;2009;1628;2049;157;19;14;124;28;17;6;1030;621;311;98;59;41;12;6;505;1937
129;Werkloosheidswetten;2010;1937;1831;177;19;8;150;23;21;6;1277;804;380;93;57;38;11;8;595;1665
130;Werkloosheidswetten;2011;1665;1741;139;25;9;105;18;17;2;1066;690;266;110;61;26;2;33;619;1522
131;Werkloosheidswetten;2012;1522;1720;133;20;6;107;24;15;4;1018;691;242;85;42;30;6;6;557;1501
132;Werkloosheidswetten;2013;1499;1967;138;16;1;121;17;16;6;1025;688;281;56;50;41;5;4;637;1617
133;Werkloosheidswetten;2014;1617;2412;152;24;1;127;53;47;5;1272;863;314;95;36;32;1;3;721;1854
134;Werkloosheidswetten;2015;1855;1753;222;40;3;179;37;35;2;1274;826;318;130;63;50;7;6;648;1403
135;Werkloosheidswetten;2016;1404;1628;126;24;4;98;20;15;5;904;596;249;59;48;37;5;6;495;1464
136;Arbeidsongeschiktheidswetten;2000;6135;5803;570;71;174;325;102;89;24;4177;2639;1327;211;124;72;47;5;1240;5842
137;Arbeidsongeschiktheidswetten;2001;5842;6508;593;73;168;352;124;97;22;3979;2600;1199;180;105;71;28;6;1307;6393
138;Arbeidsongeschiktheidswetten;2002;6393;8813;770;136;213;421;160;107;33;4563;3083;1325;155;127;89;25;13;1930;7871
139;Arbeidsongeschiktheidswetten;2003;7871;8894;808;113;215;480;151;125;38;5786;3877;1638;271;141;80;38;23;2052;8006
140;Arbeidsongeschiktheidswetten;2004;8006;9073;762;136;188;438;163;105;45;6547;4328;1904;315;125;84;27;14;2235;7469
141;Arbeidsongeschiktheidswetten;2005;7469;9197;782;119;149;514;213;170;49;6780;3763;2613;404;91;58;18;15;2187;6872
142;Arbeidsongeschiktheidswetten;2006;6872;7925;667;115;119;433;108;92;30;6008;3217;2461;330;97;70;16;11;1817;6224
143;Arbeidsongeschiktheidswetten;2007;6224;5278;433;66;86;281;83;73;22;4854;2291;2248;315;60;43;10;7;1512;4654
144;Arbeidsongeschiktheidswetten;2008;4654;4611;262;41;36;185;68;60;16;3689;2105;1338;246;48;33;10;5;1116;4159
145;Arbeidsongeschiktheidswetten;2009;4159;3219;173;25;23;125;29;24;4;2904;1822;922;160;36;25;6;5;820;3451
146;Arbeidsongeschiktheidswetten;2010;3450;2220;177;35;21;121;32;22;7;2594;1785;662;147;24;21;2;1;678;2207
147;Arbeidsongeschiktheidswetten;2011;2208;1847;121;17;7;97;43;36;6;1624;1203;319;102;34;22;10;2;492;1791
148;Arbeidsongeschiktheidswetten;2012;1791;1539;88;6;2;80;27;31;4;1229;877;291;61;31;25;4;2;368;1610
149;Arbeidsongeschiktheidswetten;2013;1610;1455;85;13;3;69;26;22;2;1091;826;212;53;23;20;0;3;373;1497
150;Arbeidsongeschiktheidswetten;2014;1497;1299;80;11;3;66;18;17;6;979;765;166;48;17;14;0;3;292;1429
151;Arbeidsongeschiktheidswetten;2015;1428;1151;86;17;5;64;25;15;6;880;636;179;65;29;22;4;3;277;1317
152;Arbeidsongeschiktheidswetten;2016;1319;1096;94;19;1;74;26;21;5;678;518;130;30;26;19;4;3;270;1352
153;Algemene Ouderdomswet;2000;424;409;41;6;1;34;20;16;3;320;209;91;20;2;2;0;0;61;413
154;Algemene Ouderdomswet;2001;413;454;41;3;5;33;13;12;3;385;278;79;28;9;8;1;0;90;343
155;Algemene Ouderdomswet;2002;343;441;50;8;9;33;12;7;1;232;185;41;6;4;2;0;2;94;409
156;Algemene Ouderdomswet;2003;409;542;52;15;3;34;13;12;1;307;228;56;23;12;11;0;1;97;484
157;Algemene Ouderdomswet;2004;484;744;58;16;11;31;18;12;6;334;241;69;24;23;13;5;5;125;694
158;Algemene Ouderdomswet;2005;694;666;60;8;3;49;22;10;2;446;341;81;24;16;13;2;1;136;714
159;Algemene Ouderdomswet;2006;714;817;129;31;3;95;33;25;5;451;301;108;42;16;16;0;0;223;720
160;Algemene Ouderdomswet;2007;720;703;125;10;6;109;40;27;6;513;373;100;40;59;56;2;1;138;601
161;Algemene Ouderdomswet;2008;601;734;79;7;6;66;23;26;10;554;396;106;52;11;9;1;1;132;557
162;Algemene Ouderdomswet;2009;557;674;104;8;5;91;24;23;1;415;300;73;42;15;9;5;1;143;555
163;Algemene Ouderdomswet;2010;555;595;82;16;4;62;26;25;1;510;371;92;47;6;4;0;2;145;408
164;Algemene Ouderdomswet;2011;408;651;84;7;5;72;26;24;3;385;294;63;28;14;9;2;3;178;400
165;Algemene Ouderdomswet;2012;400;652;82;10;1;71;30;22;2;392;307;60;25;10;7;2;1;140;437
166;Algemene Ouderdomswet;2013;440;670;79;16;0;63;32;27;5;415;323;67;25;17;10;3;4;160;444
167;Algemene Ouderdomswet;2014;444;616;72;7;3;62;25;30;4;417;331;54;32;20;10;4;6;143;403
168;Algemene Ouderdomswet;2015;404;647;79;12;2;65;36;28;2;397;301;70;26;15;12;1;2;146;422
169;Algemene Ouderdomswet;2016;421;786;98;8;0;90;45;33;7;452;350;68;34;15;11;3;1;155;499
170;Algemene Kinderbijslagwet;2000;1288;775;143;19;16;108;34;29;6;692;462;185;45;14;9;4;1;119;1100
171;Algemene Kinderbijslagwet;2001;1100;690;166;17;59;90;63;45;11;796;623;145;28;13;9;0;4;187;646
172;Algemene Kinderbijslagwet;2002;646;627;92;20;6;66;22;23;7;541;404;110;27;6;4;0;2;138;495
173;Algemene Kinderbijslagwet;2003;495;549;72;12;3;57;16;13;2;415;310;67;38;8;6;0;2;81;471
174;Algemene Kinderbijslagwet;2004;471;531;49;15;1;33;7;9;1;380;278;79;23;4;3;1;0;96;472
175;Algemene Kinderbijslagwet;2005;472;477;79;17;4;58;13;9;1;371;266;76;29;4;1;1;2;114;385
176;Algemene Kinderbijslagwet;2006;385;493;68;18;2;48;17;14;2;304;211;69;24;3;2;0;1;124;382
177;Algemene Kinderbijslagwet;2007;382;360;67;8;3;56;24;18;3;265;210;42;13;2;2;0;0;62;353
178;Algemene Kinderbijslagwet;2008;353;308;31;3;2;26;12;15;4;322;236;55;31;1;1;0;0;49;255
179;Algemene Kinderbijslagwet;2009;255;337;38;5;3;30;7;9;0;220;183;29;8;1;1;0;0;73;258
180;Algemene Kinderbijslagwet;2010;258;303;24;1;2;21;6;5;0;265;206;42;17;4;3;0;1;58;212
181;Algemene Kinderbijslagwet;2011;212;296;32;2;0;30;4;3;0;206;147;45;14;6;4;1;1;64;201
182;Algemene Kinderbijslagwet;2012;201;238;19;2;0;17;13;11;2;181;126;43;12;1;1;0;0;53;187
183;Algemene Kinderbijslagwet;2013;187;228;23;2;0;21;8;5;0;161;126;24;11;2;2;0;0;49;183
184;Algemene Kinderbijslagwet;2014;183;216;27;5;0;22;5;9;1;140;95;34;11;3;1;0;2;56;169
185;Algemene Kinderbijslagwet;2015;169;393;41;5;3;33;12;6;0;183;138;24;21;5;5;0;0;66;273
186;Algemene Kinderbijslagwet;2016;274;285;35;5;3;27;13;15;0;230;191;21;18;4;3;1;0;55;233
187;Premiezaken;2000;1870;1466;129;15;16;98;37;38;7;1083;614;430;39;16;11;4;1;277;1830
188;Premiezaken;2001;1830;1091;126;24;6;96;25;25;7;1038;579;420;39;6;5;0;1;246;1505
189;Premiezaken;2002;1505;1869;194;42;14;138;45;35;7;926;558;338;30;15;7;4;4;400;1850
190;Premiezaken;2003;1850;1751;231;63;20;148;60;31;9;1173;732;377;64;26;20;4;2;402;1798
191;Premiezaken;2004;1799;1883;227;45;15;167;36;47;8;1312;802;455;55;11;8;3;0;480;1641
192;Premiezaken;2005;1640;1225;166;32;18;116;42;26;14;952;541;358;53;10;9;1;0;677;1076
193;Premiezaken;2006;1076;873;113;31;8;74;16;19;4;616;321;257;38;10;6;3;1;409;798
194;Premiezaken;2007;798;352;64;13;5;46;12;11;1;405;240;148;17;5;3;1;1;273;404
195;Premiezaken;2008;404;371;42;11;2;29;6;6;2;198;109;72;17;0;0;0;0;136;400
196;Premiezaken;2009;400;128;17;4;1;12;2;2;0;191;73;109;9;0;0;0;0;59;261
197;Premiezaken;2010;261;123;8;3;1;4;1;1;1;73;60;10;3;2;1;0;1;69;232
198;Premiezaken;2011;232;106;9;2;1;6;3;3;0;110;47;58;5;0;0;0;0;47;172
199;Premiezaken;2012;172;67;3;2;1;0;0;0;0;30;9;21;0;0;0;0;0;34;172
200;Premiezaken;2013;172;36;1;1;0;0;1;1;0;21;14;4;3;2;2;0;0;30;154
201;Premiezaken;2014;154;21;3;1;0;2;1;1;0;13;9;4;0;0;0;0;0;9;150
202;Premiezaken;2015;150;8;1;0;0;1;0;0;0;6;2;3;1;0;0;0;0;7;144
203;Premiezaken;2016;144;12;0;0;0;0;0;0;0;6;4;1;1;0;0;0;0;2;148
204;Algemene nabestaandenwet;2000;364;252;36;3;7;26;8;9;3;205;138;55;12;3;3;0;0;51;320
205;Algemene nabestaandenwet;2001;320;334;43;5;2;36;13;10;2;273;194;64;15;8;4;2;2;94;239
206;Algemene nabestaandenwet;2002;239;344;28;3;5;20;15;8;4;187;124;49;14;11;7;3;1;66;298
207;Algemene nabestaandenwet;2003;298;362;27;6;2;19;5;7;0;213;152;49;12;9;6;2;1;71;338
208;Algemene nabestaandenwet;2004;338;509;33;10;8;15;4;4;0;284;220;52;12;15;10;2;3;83;432
209;Algemene nabestaandenwet;2005;432;345;48;10;3;35;17;8;1;294;209;65;20;10;3;3;4;89;345
210;Algemene nabestaandenwet;2006;345;325;59;14;4;41;15;15;3;206;132;61;13;15;11;1;3;66;324
211;Algemene nabestaandenwet;2007;324;279;43;4;4;35;13;8;2;233;155;58;20;9;4;2;3;54;269
212;Algemene nabestaandenwet;2008;269;286;19;0;2;17;7;12;2;253;183;46;24;9;6;2;1;55;214
213;Algemene nabestaandenwet;2009;214;257;42;1;3;38;13;10;2;163;129;27;7;10;6;3;1;45;214
214;Algemene nabestaandenwet;2010;214;213;22;3;0;19;9;8;1;188;142;28;18;4;2;1;1;45;169
215;Algemene nabestaandenwet;2011;169;191;29;3;2;24;7;5;1;156;119;25;12;7;5;1;1;34;136
216;Algemene nabestaandenwet;2012;136;238;32;2;1;29;7;10;1;117;90;21;6;4;2;2;0;40;178
217;Algemene nabestaandenwet;2013;178;355;52;4;0;48;23;15;1;155;118;33;4;12;10;1;1;50;272
218;Algemene nabestaandenwet;2014;272;426;42;3;1;38;26;26;1;334;131;198;5;11;8;0;3;89;222
219;Algemene nabestaandenwet;2015;224;267;50;1;0;49;25;23;1;200;160;21;19;5;5;0;0;77;161
220;Algemene nabestaandenwet;2016;163;236;70;3;1;66;42;42;1;134;108;19;7;4;3;1;0;27;164
221;Ziekenfondswet;2000;310;491;55;4;8;43;13;10;2;236;155;70;11;9;9;0;0;103;401
222;Ziekenfondswet;2001;401;456;39;3;1;35;8;11;1;307;206;84;17;11;7;3;1;136;361
223;Ziekenfondswet;2002;361;481;59;11;5;43;19;14;1;294;208;76;10;1;1;0;0;139;354
224;Ziekenfondswet;2003;354;522;57;14;6;37;17;10;5;317;235;71;11;6;6;0;0;131;372
225;Ziekenfondswet;2004;372;603;64;29;8;27;14;11;2;354;240;101;13;16;9;3;4;141;403
226;Ziekenfondswet;2005;403;921;79;19;10;50;15;11;4;470;337;125;8;8;5;2;1;140;631
227;Ziekenfondswet;2006;631;582;96;26;11;59;17;17;2;538;380;138;20;6;4;0;2;213;361
228;Ziekenfondswet;2007;361;257;50;6;5;39;5;5;2;240;139;90;11;2;0;1;1;88;238
