ID;Perioden;TotaalMilieuInvesteringen_1;TotaalLuchtverontreiniging_2;TotaalPersonenautoS_3;TotaalBenzineEnLPGAutoS_4;Katalysator_5;KoolstoffilterVoorHetBrandstofsysteem_6;AanpassingLPGInstallatie_7;OverigeMotoraanpassingen_8;Dieselpersonenauto_9;TotaalBedrijfsvoertuigen_10;TotaalLichteBedrijfsvoertuigen_11;BenzineEnLPGVoertuigen_12;Dieselvoertuigen_13;TotaalZwareBedrijfsvoertuigen_14;AanpassingAanEuro0_15;AanpassingAanEuro1_16;AanpassingAanEuro2_17;AanpassingAanEuro3_18;AanpassingAanEuro4_19;AanpassingAanEuro5_20;Roetfilter_21;Binnenvaart_22;Railverkeer_23;TotaalGeluidshinder_24;PersonenautoS_25;LichteBedrijfsvoertuigen_26;ZwareBedrijfsvoertuigen_27;Motorfietsen_28;Luchtvaart_29;Railverkeer_30;TotaalWaterverontreiniging_31;Zeevaart_32;Recreatievaart_33;Bodemverontreiniging_34;TotaalMilieukosten_35;TotaalMilieukostenVerkeersdeelnemers_36;TotaalLuchtverontreiniging_37;TotPersonenEnLichteBedrijfsvoert_38;TotaalAutoSOpBenzineEnLPG_39;Katalysator_40;KoolstoffilterVoorHetBrandstofsysteem_41;AanpassingLPGInstallatie_42;OverigeMotoraanpassingen_43;ExtraBrandstofverbruik_44;Uitlaatgasmeting_45;TotaalDieselautoS_46;Motoraanpassingen_47;Roetmeting_48;TotaalZwareBedrijfsvoertuigen_49;AanpassingEisenLuchtverontrUitstoot_50;OntwikkelingNieuweTechnieken_51;Roetmeting_52;OverigeVervoermiddelen_53;TotaalAanpassingBrandstoffen_54;LoodvrijeEnAromaatarmeBenzine_55;ZwavelarmeDiesel_56;TotaalGeluidshinder_57;PersonenautoSEnLichteBedrijfsvoert_58;ZwareBedrijfsvoertuigen_59;Motorfietsen_60;Luchtvaart_61;Railverkeer_62;TotaalWaterverontreiniging_63;Zeevaart_64;Binnenvaart_65;Recreatievaart_66;TotaalAfvalverwijdering_67;Autowrakken_68;Personenautobanden_69;AfvalOpenbaarVervoersbedrijven_70;BodemverontreinigingEnLandschap_71;TotaalMilieukostenOverheid_72;Luchtverontreiniging_73;TotaalGeluidshinder_74;Wegverkeer_75;Railverkeer_76;Luchtverkeer_77;WaterverontreinigingBinnenvaart_78;TotaalAfvalverwijdering_79;RijksbijdrageAutowrakkenbeleid_80;AfvalLangsRijkswegenEnWaterwegen_81;TotaalBodemverontreinigingEnLandschap_82;BodemsaneringNSPercelen_83;Landschap_84;TotaalBetaaldeHeffingen_85;AlgemeneBrandstofheffingED_86;GeluidshinderBurgerluchtvaart_87;Afval_88;TotaalOntvangenSubsidies_89;Luchtverontreiniging_90;OverigeSubsidies_91;NettoMilieulastenVerkeersdeelnemers_92
22;2002;251;204;132;99;91;5;3;0;33;68;24;0;24;44;0;0;0;44;0;0;0;3;0;34;0;2;17;2;12;1;14;5;9;0;1037;737;547;342;269;161;10;7;0;46;44;73;36;37;35;21;6;8;5;166;25;140;76;4;11;1;36;24;34;22;1;11;42;28;14;0;38;300;0;255;132;17;106;5;8;0;8;32;19;12;38;0;38;0;15;10;6;760
23;2003;272;220;140;107;99;5;3;0;33;76;35;0;34;42;0;0;0;42;0;0;0;3;0;35;0;2;16;2;15;1;17;6;11;0;1071;722;540;327;247;134;10;6;0;49;49;79;38;41;38;23;6;8;5;171;25;145;62;3;9;1;32;17;38;19;1;17;46;31;15;0;37;349;0;303;101;48;154;5;8;0;8;33;22;12;39;0;39;0;10;8;2;751
24;2004;316;258;170;133;102;5;1;26;37;74;26;1;26;48;0;0;0;48;0;0;0;13;0;30;0;2;17;2;9;0;25;12;12;4;1076;761;568;344;255;131;9;6;1;55;53;88;45;44;44;28;8;8;5;175;25;150;50;2;8;1;32;6;63;41;1;20;41;27;14;0;39;315;0;275;85;123;67;5;8;0;8;27;15;12;33;0;33;0;10;9;1;783
25;2005;410;345;217;146;100;4;1;40;71;114;33;0;32;81;0;0;0;49;33;0;0;13;0;35;0;2;17;2;14;0;27;15;13;4;1026;777;588;359;262;122;8;5;3;67;57;97;50;47;47;32;6;8;6;177;25;153;48;2;6;2;32;7;65;43;1;21;37;23;14;0;38;249;0;205;95;74;35;5;8;0;8;31;17;14;49;0;49;0;17;15;1;809
26;2006;517;415;243;136;113;5;2;16;107;165;34;0;34;130;0;0;0;15;92;5;19;8;0;41;0;2;23;1;15;0;57;42;15;4;994;800;627;384;274;129;8;5;0;72;61;110;64;46;53;40;4;9;5;185;25;159;60;2;7;2;35;15;40;27;0;13;36;21;15;0;38;194;5;161;114;18;29;4;8;0;8;16;16;0;72;0;54;18;40;39;1;833
27;2007;653;537;276;138;116;5;2;16;138;253;57;0;56;196;0;0;0;0;104;5;88;7;1;38;0;3;20;1;14;0;75;59;15;4;1060;863;694;426;296;144;9;5;0;77;61;130;84;46;74;59;7;9;6;188;25;162;66;2;7;2;32;23;44;31;0;13;21;7;14;0;38;197;11;158;109;22;27;4;8;0;8;16;16;0;74;0;55;19;162;161;1;774
28;2008;603;486;279;139;117;5;2;14;141;198;55;1;54;143;0;0;0;0;86;10;47;4;6;38;0;2;22;2;12;0;78;53;26;0;1147;910;722;451;302;150;9;5;0;87;52;149;105;44;85;77;0;8;11;176;25;151;66;2;7;2;36;19;50;35;0;15;34;7;12;14;38;237;10;190;153;18;20;4;17;0;17;16;16;0;77;0;56;21;82;81;0;906
29;2009;399;297;197;111;95;4;2;10;87;94;34;0;33;60;0;0;0;0;19;11;30;3;3;32;0;1;15;1;15;0;69;43;26;0;1156;899;705;436;275;147;8;4;0;63;53;161;117;45;91;83;0;8;9;169;25;143;72;2;6;2;33;29;54;38;0;16;31;5;12;14;37;256;13;205;146;43;16;5;17;0;17;17;17;0;74;0;51;23;95;94;0;879
30;2010;404;318;237;138;119;5;1;13;99;77;40;1;39;38;0;0;0;0;0;30;8;4;0;24;0;1;12;1;10;0;62;38;25;0;1160;884;695;431;267;122;5;2;0;83;54;164;118;46;86;78;0;8;7;171;25;146;70;2;1;2;37;29;46;40;0;7;39;12;13;14;34;276;12;224;173;21;30;5;17;0;17;18;18;0;67;0;42;25;67;61;7;883
31;2011;452;348;261;143;123;5;1;13;118;86;52;1;51;33;0;0;0;0;0;33;0;1;0;28;0;2;15;1;10;0;77;55;22;0;1184;934;740;474;293;131;5;2;0;102;53;181;136;45;87;80;0;7;8;171;26;145;66;2;1;2;40;21;50;44;0;7;50;23;12;14;29;250;10;202;163;14;26;5;17;0;17;16;16;0;65;0;35;30;30;25;5;969
