ID;EnergyCommodities;Periods;TotalSupply_1;Production_2;TotalPureAndBlended_3;Pure_4;Blended_5;StockMutationPureAndBlended_6;BunkersPureAndBlended_7;TotalConsumptionPureAndBlended_8;RoadTransport_9;RailTransport_10;DomesticNavigation_11;Construction_12;Agriculture_13;Blending_14;ProductionCapacity_15
36;Biodiesel;2006;698;684.0;266.0;266.0;0;0;;968.0;;;;;;854;2660.0
37;Biodiesel;2007;9344;3145.0;8401.0;9204.0;-803;-2202;;9344.0;;;;;;10036;6993.0
38;Biodiesel;2008;7524;3071.0;8704.0;11812.0;-3108;-4252;;7524.0;;;;;;10631;19240.0
39;Biodiesel;2009;9835;10138.0;-192.0;2114.0;-2306;-111;;9835.0;;;;;;12141;48951.0
40;Biodiesel;2010;3963;14134.0;-12557.0;-12487.0;-70;2386;;3963.0;;;;;;4033;48322.0
41;Biodiesel;2011;7207;18167.0;-9195.0;-8272.0;-923;-1764;;7207.0;;;;;;8130;75110.0
42;Biodiesel;2012;8806;43549.0;-32693.0;-31398.0;-1295;-2050;;8806.0;7844.0;37.0;;481.0;444.0;10101;75887.0
43;Biodiesel;2013;8140;50875.0;-38590.0;-36592.0;-1998;-4130;;8140.0;7252.0;37.0;;444.0;407.0;10138;74518.0
44;Biodiesel;2014;10307;63640.0;-55939.0;-54332.0;-1607;2606;;10307.0;9197.0;37.0;;555.0;518.0;11914;81252.0
45;Biodiesel;2015;7488;60273.0;-53226.0;-51431.0;-1795;442;;7488.0;6334.0;35.0;;614.0;505.0;9283;80512.0
46;Biodiesel;2016;5698;54094.0;-48150.0;-47102.0;-1047;-246;;5698.0;4790.0;27.0;;513.0;367.0;6745;71299.0
47;Biodiesel;2017;8493;71373.0;-59031.0;-56770.0;-2261;-3849;;8493.0;7238.0;37.0;;693.0;525.0;10754;76146.0
48;Biodiesel;2018;15846;68034.0;-44538.0;-42659.0;-1880;-6952;698.0;15846.0;13394.0;57.0;59.0;1259.0;1077.0;18424;77034.0
49;Biodiesel;2019;20116;72832.0;-50876.0;-47197.0;-3679;142;1982.0;20116.0;17042.0;66.0;118.0;1551.0;1341.0;25777;81349.0
50;Biodiesel;2020;14848;73266.0;-52312.0;-46410.0;-5902;3789;9894.0;14848.0;12203.0;55.0;63.0;1355.0;1172.0;30645;80930.0
51;Biodiesel;2021;17973;75575.0;-46755.0;-44185.0;-2570;-3892;6954.0;17973.0;14808.0;63.0;40.0;1583.0;1479.0;27497;86903.0
52;Biodiesel;2022;15167;71942.0;-26836.0;-23700.0;-3136;-11813;18126.0;15167.0;12506.0;59.0;53.0;1400.0;1148.0;36429;83872.0
53;Biodiesel;2023;14730;79791.0;-64463.0;-61327.0;-3136;13171;13769.0;14730.0;12106.0;66.0;43.0;1383.0;1133.0;31635;81753.0
54;Bio jet kerosene;2006;0;0.0;0.0;0.0;0;0;;;;;;;;0;0.0
55;Bio jet kerosene;2007;0;0.0;0.0;0.0;0;0;;;;;;;;0;0.0
56;Bio jet kerosene;2008;0;0.0;0.0;0.0;0;0;;;;;;;;0;0.0
57;Bio jet kerosene;2009;0;0.0;0.0;0.0;0;0;;;;;;;;0;0.0
58;Bio jet kerosene;2010;0;0.0;0.0;0.0;0;0;;;;;;;;0;0.0
59;Bio jet kerosene;2011;0;0.0;0.0;0.0;0;0;;;;;;;;0;0.0
60;Bio jet kerosene;2012;0;0.0;0.0;0.0;0;0;;;;;;;;0;0.0
61;Bio jet kerosene;2013;0;0.0;0.0;0.0;0;0;;;;;;;;0;0.0
62;Bio jet kerosene;2014;0;0.0;0.0;0.0;0;0;;;;;;;;0;0.0
63;Bio jet kerosene;2015;0;0.0;0.0;0.0;0;0;;;;;;;;0;0.0
64;Bio jet kerosene;2016;0;0.0;0.0;0.0;0;0;;;;;;;;0;0.0
65;Bio jet kerosene;2017;0;0.0;0.0;0.0;0;0;;;;;;;;0;0.0
66;Bio jet kerosene;2018;0;0.0;0.0;0.0;0;0;;;;;;;;0;0.0
67;Bio jet kerosene;2019;0;0.0;0.0;0.0;0;0;;;;;;;;0;0.0
68;Bio jet kerosene;2020;0;0.0;0.0;0.0;0;0;;;;;;;;0;0.0
69;Bio jet kerosene;2021;0;0.0;0.0;0.0;0;0;;;;;;;;0;0.0
70;Bio jet kerosene;2022;0;0.0;;0.0;878;0;878.0;;;;;;;0;0.0
71;Bio jet kerosene;2023;0;;;;2646;0;2646.0;;;;;;;0;0.0
