ID;RegioS;BevolkingUltimo2002_1;PersonenMet52WekenInkomen_2;PersonenMet52WkInkomenBevolking_3;PerInwoner_4;RangnummerInkomenPerInwoner_5;PerPersoonMet52WekenInkomen_6;RangnummerInkomenPersMet52WkInk_7
142;Smallingerland;53.7;35.2;65;11.3;401;16.6;386
143;Sneek;32.9;21.8;66;11.5;380;16.6;385
144;Terschelling;4.7;3.2;68;12.7;131;17.6;236
145;Vlieland;1.2;0.8;65;12.0;267;17.9;180
146;Weststellingwerf;25.8;17.4;67;11.2;413;16.1;450
147;Nijefurd;10.9;7.1;65;11.0;448;16.1;451
148;Assen;61.6;40.9;66;11.8;311;17.2;308
149;Coevorden;36.0;24.1;67;11.2;418;16.1;449
150;Emmen;108.2;73.2;68;11.0;446;15.6;483
151;Hoogeveen;53.3;35.2;66;11.2;431;16.2;439
152;Meppel;30.6;20.8;68;12.0;280;17.0;333
153;Littenseradiel;10.8;6.9;63;11.4;399;17.3;297
154;Almelo;71.7;47.4;66;11.0;452;16.0;461
155;Bathmen;5.3;3.6;69;13.3;78;18.8;105
156;Borne;20.7;13.5;66;12.1;240;17.9;181
157;Dalfsen;26.3;17.1;65;11.5;374;17.1;323
158;Deventer;87.5;58.5;67;11.6;353;16.7;377
159;Enschede;152.3;99.9;66;10.9;463;15.7;477
160;Haaksbergen;24.1;16.1;67;11.6;356;16.6;388
161;Hardenberg;57.7;36.6;63;10.6;479;16.0;456
162;Hellendoorn;36.1;23.8;66;11.3;407;16.5;408
163;Hengelo (O.);81.0;54.9;68;11.9;292;16.9;347
164;Kampen;48.9;31.1;64;10.6;475;16.0;459
165;Losser;22.6;15.0;67;11.1;435;15.8;469
166;Noordoostpolder;44.7;28.5;64;11.0;447;16.6;390
167;Oldenzaal;31.4;21.2;68;11.9;301;16.8;358
168;Ommen;17.0;11.2;66;11.2;424;16.4;421
169;Raalte;37.0;24.4;66;11.2;425;16.4;417
170;Rijssen;35.9;22.0;61;11.0;456;17.2;310
171;Staphorst;15.6;8.9;57;10.1;488;16.9;354
172;Tubbergen;20.3;13.0;64;10.8;466;16.3;429
173;Urk;16.7;8.5;51;8.6;489;16.1;454
174;Wierden;23.4;14.8;63;11.5;376;17.5;257
175;Zwolle;110.0;75.6;69;12.2;215;17.2;317
176;Rijnwaarden;11.2;7.3;65;10.9;457;15.8;472
177;Aalten;18.9;12.4;66;11.0;443;15.9;463
178;Angerlo;5.0;3.3;66;11.9;302;17.3;294
179;Apeldoorn;155.7;106.6;68;12.5;154;17.7;220
180;Arnhem;141.5;91.6;65;12.0;261;17.1;320
181;Barneveld;49.4;29.8;60;11.0;445;17.6;231
182;Bergh;18.4;12.1;66;11.4;392;16.2;431
183;Beuningen;25.4;16.6;65;12.1;255;17.8;199
184;Borculo;10.4;7.0;67;11.1;442;15.9;464
185;Brummen;21.6;14.4;67;12.3;208;17.8;201
186;Buren;25.7;16.7;65;12.4;185;18.4;131
187;Culemborg;26.4;17.2;65;12.5;167;18.5;129
188;Didam;16.8;11.2;67;11.7;339;16.9;357
189;Dinxperlo;8.6;5.5;64;11.7;342;16.4;418
190;Doesburg;11.4;7.5;66;11.4;398;16.5;406
191;Doetinchem;49.1;33.1;67;11.8;320;16.8;359
192;Druten;17.6;11.7;67;11.8;314;17.1;321
193;Duiven;26.2;16.9;64;11.5;385;17.2;300
194;Ede;104.8;67.8;65;11.9;287;17.8;209
195;Eibergen;16.8;11.1;66;10.8;467;15.6;480
196;Elburg;21.7;13.5;62;11.2;429;17.2;302
197;Epe;33.2;22.4;68;12.0;270;17.2;306
198;Ermelo;26.8;17.8;67;12.2;234;17.7;222
199;Geldermalsen;25.6;16.5;65;12.4;178;18.6;116
200;Gendringen;21.0;13.6;65;10.8;464;15.8;473
201;Gorssel;13.4;9.2;69;13.7;55;19.5;67
202;Groenlo;9.6;6.7;70;11.8;316;16.4;422
203;Groesbeek;18.9;13.1;69;11.9;294;16.5;400
204;Harderwijk;40.6;26.6;65;11.8;309;17.4;263
205;Hattem;11.7;7.6;65;12.4;184;18.4;135
206;Heerde;18.3;12.0;66;11.8;310;17.4;268
207;Hengelo (Gld.);8.5;5.8;68;11.6;347;16.5;410
208;Heumen;16.6;10.8;65;12.8;122;19.0;92
209;Hummelo en Keppel;4.5;3.1;69;13.2;80;18.5;123
210;Kesteren;22.3;13.2;59;10.9;459;17.6;241
211;Lichtenvoorde;19.4;12.6;65;11.2;426;16.4;420
212;Lochem;19.4;13.4;69;12.6;135;17.7;224
213;Maasdriel;23.5;15.5;66;12.0;265;17.6;242
214;Millingen aan de Rijn;5.9;3.9;66;11.6;368;16.5;397
215;Neede;11.1;7.6;69;11.4;394;16.1;453
216;Nijkerk;37.6;24.7;66;12.3;214;18.1;164
217;Nijmegen;156.2;106.4;68;12.0;271;16.7;378
218;Oldebroek;22.9;14.2;62;10.9;462;16.9;353
219;Putten;23.2;14.8;64;11.9;288;18.1;159
220;Renkum;32.1;22.1;69;14.0;39;19.6;63
221;Rheden;45.0;31.8;71;13.0;96;17.8;205
222;Rozendaal;1.5;1.0;68;17.3;4;24.8;6
223;Ruurlo;8.6;5.8;68;11.6;344;16.6;383
224;Scherpenzeel;9.0;5.8;64;11.8;318;17.9;192
225;Steenderen;5.1;3.4;66;10.9;460;15.9;467
226;Tiel;40.5;26.3;65;11.6;351;17.2;314
227;Ubbergen;9.3;6.4;69;12.8;117;17.9;185
228;Voorst;23.6;16.0;68;11.7;331;16.7;370
229;Vorden;8.5;5.8;69;11.9;305;16.8;365
230;Wageningen;34.8;22.1;64;12.0;282;17.7;223
231;Warnsveld;9.0;6.0;67;12.4;186;18.0;170
232;Wehl;6.8;4.4;65;10.8;468;15.6;482
233;Westervoort;16.2;10.5;65;11.4;396;16.8;362
234;Winterswijk;29.0;19.4;67;11.2;417;15.8;471
235;Wisch;19.6;13.2;67;11.5;378;16.3;428
236;Wijchen;39.6;26.1;66;12.0;275;17.4;267
237;Zaltbommel;26.0;16.5;63;11.6;363;17.6;233
238;Zelhem;11.2;7.5;67;11.2;430;16.2;441
239;Zevenaar;26.0;17.9;69;12.2;218;17.0;335
240;Zutphen;36.9;25.0;68;11.7;340;16.6;393
241;Nunspeet;26.5;16.4;62;11.2;423;17.3;281
242;Dronten;37.1;22.7;61;11.2;421;17.5;253
243;Neerijnen;11.4;7.3;64;12.0;279;18.1;168
244;Abcoude;8.6;5.5;65;16.2;10;24.6;7
245;Amerongen;7.2;4.7;65;13.0;98;19.3;77
246;Amersfoort;131.2;87.8;67;13.1;88;19.0;95
247;Baarn;24.4;17.0;70;14.3;32;20.0;46
248;De Bilt;42.3;28.8;68;15.4;17;22.0;16
249;Breukelen;14.4;9.3;65;13.5;67;20.1;43
250;Bunnik;14.1;9.5;67;14.3;31;20.8;26
251;Bunschoten;19.4;12.3;64;11.3;405;17.2;311
252;Doorn;10.2;7.3;71;15.5;15;21.3;24
253;Driebergen-Rijsenburg;18.6;12.6;68;14.8;21;21.3;22
254;Eemnes;8.6;5.5;64;13.2;82;20.0;45
255;Houten;41.3;26.2;63;12.8;119;19.6;61
256;Leersum;7.5;4.9;66;13.6;62;19.9;50
257;Leusden;29.0;19.4;67;14.2;36;20.5;31
258;Loenen;8.3;5.6;67;14.8;22;21.4;20
259;Lopik;13.7;8.6;63;12.0;260;18.6;121
260;Maarn;5.8;3.9;67;16.3;9;23.6;10
261;Maarssen;40.0;27.3;68;13.7;56;19.6;64
262;Montfoort;13.3;8.5;64;12.9;105;19.5;69
263;Renswoude;4.2;2.6;62;11.1;433;17.3;288
264;Rhenen;17.7;11.6;65;12.1;239;17.9;183
265;Soest;44.8;30.3;68;13.8;50;19.8;55
266;Utrecht (gemeente);265.2;183.1;69;13.0;97;17.9;186
267;Veenendaal;61.0;38.9;64;11.7;337;17.7;225
268;Woudenberg;11.2;7.2;64;12.3;199;18.5;128
269;Wijk bij Duurstede;23.3;15.1;65;12.6;144;18.8;110
270;IJsselstein;33.3;22.0;66;13.1;89;19.2;79
271;Zeist;59.8;41.2;69;14.4;27;20.3;36
272;Nieuwegein;62.1;43.6;70;13.3;77;18.4;142
273;Aalsmeer;22.8;15.9;70;13.8;48;19.2;82
274;Alkmaar;93.4;63.9;69;12.3;201;17.3;282
275;Amstelveen;78.1;53.6;69;15.9;12;22.4;13
276;Amsterdam;736.6;495.8;67;13.1;85;18.5;125
277;Andijk;6.4;4.2;65;11.6;348;17.1;319
278;Graft-De Rijp;6.3;4.1;64;12.5;166;18.8;109
279;Anna Paulowna;13.9;8.9;64;11.2;415;16.7;374
280;Beemster;8.5;5.8;68;13.6;63;19.4;71
281;Bennebroek;5.3;3.7;70;16.7;7;23.2;11
282;Bergen (NH.);31.7;21.9;69;13.9;41;19.5;66
283;Beverwijk;36.4;25.8;71;12.7;129;17.4;276
284;Blaricum;9.3;6.1;66;17.6;3;26.3;3
285;Bloemendaal;17.0;11.1;65;18.8;1;28.1;2
286;Bussum;31.3;21.4;69;15.9;11;22.6;12
287;Castricum;35.3;23.9;68;13.8;47;19.9;52
288;Diemen;24.0;16.3;68;14.0;38;20.0;47
289;Edam-Volendam;28.1;18.8;67;12.9;106;18.7;113
290;Enkhuizen;17.1;11.5;67;11.9;291;16.9;349
291;Haarlem;147.1;104.2;71;13.3;75;18.0;171
292;Haarlemmerliede en Spaarnwoude;5.5;3.7;66;13.9;42;20.4;34
293;Haarlemmermeer;122.9;83.0;68;13.5;68;19.3;72
294;Harenkarspel;15.8;10.5;67;12.1;244;17.7;226
295;Heemskerk;36.4;24.9;68;12.5;162;17.8;214
296;Heemstede;25.8;17.8;69;17.0;5;24.1;8
297;Heerhugowaard;46.9;31.2;66;12.1;242;17.6;230
298;Heiloo;22.0;14.9;68;14.2;33;20.4;33
299;Den Helder;60.0;40.6;68;11.8;322;16.7;369
300;Hilversum;83.3;58.5;70;14.4;30;19.8;54
301;Hoorn;67.5;45.3;67;12.5;173;17.9;194
302;Huizen;42.1;27.9;66;13.6;59;19.9;49
303;Niedorp;11.6;7.5;65;12.3;200;18.0;173
304;Landsmeer;10.4;7.2;69;14.0;40;19.7;59
305;Langedijk;25.0;16.4;66;12.3;192;18.2;154
306;Laren (NH.);11.7;7.4;63;16.6;8;25.4;5
307;Medemblik;7.9;5.4;68;12.2;225;17.2;305
308;Muiden;6.6;4.5;67;15.0;19;21.8;17
309;Naarden;16.9;10.9;65;16.8;6;25.5;4
310;Obdam;6.6;4.5;68;12.2;217;17.5;252
311;Oostzaan;9.1;6.3;70;13.7;58;19.2;80
312;Opmeer;11.2;7.4;66;11.6;355;17.1;318
313;Ouder-Amstel;13.1;9.1;70;15.7;14;21.8;18
314;Purmerend;74.9;51.6;69;12.3;195;17.3;279
315;Schagen;17.5;12.1;69;12.6;141;17.5;246
316;Texel;13.8;9.1;66;11.1;434;16.1;446
317;Uitgeest;11.8;7.8;66;13.1;86;19.3;74
318;Uithoorn;26.7;18.2;68;14.4;28;20.5;32
319;Velsen;67.5;46.4;69;12.9;100;18.3;146
320;Venhuizen;7.9;5.0;63;12.3;213;18.6;118
321;Weesp;17.9;12.7;71;13.9;44;18.9;96
322;Schermer;4.8;3.2;66;12.3;212;18.0;176
323;Wervershoof;8.5;5.5;65;11.2;412;16.7;382
324;Wieringen;8.4;5.7;68;12.5;164;17.7;217
325;Wieringermeer;12.6;8.3;66;11.1;432;16.4;413
326;Wognum;8.1;5.3;65;11.9;299;17.6;229
327;Zandvoort;16.9;12.0;71;14.4;29;19.6;62
328;Zijpe;11.3;7.5;67;11.5;379;16.5;403
329;Zeevang;6.3;4.2;67;13.4;70;19.5;70
330;Zaanstad;139.5;96.4;69;12.5;158;17.5;256
331;Ter Aar;9.1;5.9;65;12.1;238;18.2;150
332;Alblasserdam;18.4;11.7;64;11.6;369;17.5;245
333;Alkemade;14.4;9.6;67;12.6;142;18.3;148
334;Alphen aan den Rijn;70.7;47.4;67;13.0;91;18.8;106
335;Barendrecht;35.9;23.3;65;13.2;79;19.8;53
336;Bergambacht;9.2;5.9;64;12.4;179;18.8;108
337;Bergschenhoek;15.2;9.4;62;13.8;52;21.5;19
338;Berkel en Rodenrijs;17.2;11.3;66;13.3;73;19.7;57
339;Bleiswijk;10.3;6.5;62;12.7;126;19.7;60
340;Bodegraven;19.6;12.6;64;12.5;157;18.9;97
341;Drechterland;10.2;6.7;66;12.2;224;18.0;174
342;Boskoop;15.2;9.9;65;12.7;128;18.8;102
343;Brielle;16.0;10.6;67;13.5;66;19.7;56
344;Capelle aan den IJssel;65.3;44.4;68;13.3;74;18.9;99
345;Delft;96.6;64.4;67;12.3;198;17.5;244
346;Dirksland;8.3;5.2;64;12.0;277;18.2;152
347;Dordrecht;120.0;79.1;66;12.0;278;17.5;254
348;Goedereede;11.5;7.3;64;12.2;236;18.3;143
349;Gorinchem;34.5;23.4;68;12.4;183;17.6;234
350;Gouda;71.6;47.5;66;12.6;137;18.3;144
351;'s-Gravendeel;8.9;6.0;68;12.5;161;17.8;203
352;'s-Gravenhage (gemeente);463.8;308.3;67;12.9;111;18.5;130
353;'s-Gravenzande;19.5;13.0;67;12.6;150;18.1;157
354;Hardinxveld-Giessendam;17.8;11.1;62;11.6;370;18.0;177
355;Noorder-Koggenland;10.5;6.9;66;12.7;125;18.6;117
356;Hellevoetsluis;39.7;25.8;65;12.4;177;18.4;132
357;Hendrik-Ido-Ambacht;22.1;13.9;63;12.5;174;19.2;83
358;Stede Broec;21.2;14.1;66;11.6;352;16.9;352
359;Hillegom;20.7;14.5;70;13.0;94;18.0;179
360;Katwijk;41.5;26.8;65;11.6;365;17.2;312
361;Krimpen aan den IJssel;29.1;19.0;65;12.8;116;19.1;86
362;Leerdam;21.1;13.5;64;11.5;382;17.3;283
363;Leiden;117.7;80.0;68;13.0;90;18.3;145
364;Leiderdorp;26.4;18.0;68;14.2;35;20.3;37
365;De Lier;11.4;7.5;66;12.5;172;18.2;153
366;Lisse;22.0;15.1;68;12.8;118;18.2;149
367;Maasland;6.8;4.5;66;13.7;57;20.4;35
368;Maassluis;32.9;22.4;68;12.6;146;17.8;211
369;Wester-Koggenland;13.8;9.0;66;12.1;252;17.8;204
370;Middelharnis;17.3;11.5;66;11.7;327;17.2;298
371;Monster;20.4;14.1;69;12.4;190;17.5;260
372;Moordrecht;8.1;5.2;64;11.8;321;17.9;195
373;Naaldwijk;28.8;19.7;69;12.7;132;17.8;207
374;Nieuwerkerk aan den IJssel;22.4;14.2;64;13.3;72;20.2;39
375;Bernisse;12.7;8.4;66;13.0;93;19.1;88
376;Nieuwkoop;11.1;7.3;66;12.9;99;18.8;100
377;Nieuw-Lekkerland;9.4;5.5;58;10.6;476;17.6;239
378;Noordwijk;24.5;17.0;69;13.6;61;19.1;89
379;Noordwijkerhout;15.1;10.0;66;12.6;140;18.4;136
380;Oegstgeest;21.2;13.7;64;15.9;13;24.0;9
381;Oostflakkee;10.2;6.7;66;11.7;334;17.1;326
382;Oud-Beijerland;23.2;15.2;66;12.7;127;18.8;107
383;Binnenmaas;19.2;12.9;67;13.7;54;19.9;51
384;Korendijk;10.9;7.0;64;12.5;163;18.8;103
385;Oudewater;9.8;6.4;66;13.0;92;19.2;81
386;Papendrecht;30.5;20.3;67;12.9;112;18.7;114
387;Reeuwijk;12.9;8.4;65;13.8;51;20.6;28
388;Ridderkerk;45.9;31.6;69;12.7;130;17.8;208
389;Rotterdam;599.7;395.2;66;11.7;330;16.9;348
390;Rozenburg;13.2;8.9;67;12.8;121;18.4;140
391;Rijnsburg;15.0;9.4;63;11.9;290;18.4;141
392;Rijswijk (ZH.);48.1;35.2;73;14.5;24;19.3;75
393;Sassenheim;14.8;10.1;68;13.6;64;19.3;73
394;Schiedam;75.8;50.4;67;12.0;262;17.3;285
395;Schipluiden;11.2;7.3;65;13.1;84;19.5;68
396;Schoonhoven;12.3;8.0;65;12.5;160;18.5;126
397;Sliedrecht;23.8;15.8;66;12.0;281;17.5;258
398;Cromstrijen;13.0;8.8;67;13.2;81;19.1;84
399;Spijkenisse;75.4;49.8;66;12.2;220;17.8;213
400;Albrandswaard;18.7;12.6;67;13.8;49;20.1;44
401;Westvoorne;14.2;9.6;68;14.5;25;20.8;25
402;Strijen;9.3;6.0;65;12.9;108;19.0;90
403;Valkenburg (ZH.);3.8;2.4;63;11.5;383;17.6;232
404;Vianen;19.7;13.4;68;12.7;133;18.1;167
405;Vlaardingen;74.3;50.9;69;12.5;169;17.5;248
406;Vlist;9.8;6.5;66;12.1;247;17.9;188
407;Voorhout;14.4;9.2;64;13.4;69;20.5;29
408;Voorschoten;22.5;15.0;67;15.3;18;22.3;14
409;Waddinxveen;26.8;17.5;65;13.0;95;19.3;76
410;Warmond;5.0;3.4;68;14.9;20;21.3;23
411;Wassenaar;25.7;15.7;61;17.8;2;28.2;1
412;Wateringen;16.3;11.0;68;12.8;120;18.4;137
413;Woerden;47.8;31.6;66;13.4;71;19.6;65
414;Zoetermeer;112.6;75.5;67;13.1;83;19.0;91
415;Zoeterwoude;8.6;5.7;67;12.9;101;18.7;111
416;Zwijndrecht;45.1;30.4;68;12.6;138;18.1;163
417;Nederlek;14.9;9.7;65;12.5;156;18.6;119
418;Ouderkerk;8.1;5.1;63;12.4;182;19.0;94
419;Jacobswoude;10.7;7.1;67;12.9;109;18.6;115
420;GaasterlÔn-Sleat;10.3;6.6;64;11.1;439;16.6;392
421;Borsele;22.4;14.4;65;11.5;371;17.3;296
422;Goes;36.3;24.9;69;12.4;180;17.4;273
423;West Maas en Waal;18.2;12.2;67;12.1;241;17.5;249
424;Hulst;27.9;18.3;66;12.6;149;17.3;290
425;Kapelle;11.6;7.6;66;12.3;209;18.2;156
426;Wymbritseradiel;16.2;10.1;62;10.9;461;16.8;360
