ID;BedrijfstakkenBranchesSBI2008;Bedrijfsgrootte;TotaalArbeidskosten_1;ArbeidskostenPerVoltijdeenheid_2;ArbeidskostenPerGewerktUur_3;ArbeidskostenPerBetaaldUur_4;GewerkteUrenPerVoltijdeenheid_5
62;G Handel;10 tot 100 werkzame personen;16.4;52.0;29.16;25.29;1782.0
63;G Handel;100 tot 500 werkzame personen;10.1;60.7;34.05;29.31;1784.0
64;G Handel;500 of meer werkzame personen;10.2;45.1;25.84;22.01;1744.0
65;H Vervoer en opslag;Totaal werkzame personen;17.8;60.5;32.27;27.59;1876.0
66;H Vervoer en opslag;1 tot 10 werkzame personen;1.2;50.8;26.08;23.07;1947.0
67;H Vervoer en opslag;10 tot 100 werkzame personen;;;;;
68;H Vervoer en opslag;100 tot 500 werkzame personen;4.2;60.1;31.11;26.59;1933.0
69;H Vervoer en opslag;500 of meer werkzame personen;;;;;
70;I Horeca;Totaal werkzame personen;6.5;32.0;18.68;15.93;1713.0
71;I Horeca;1 tot 10 werkzame personen;1.8;28.8;16.73;14.42;1724.0
72;I Horeca;10 tot 100 werkzame personen;2.6;31.2;18.11;15.54;1722.0
73;I Horeca;100 tot 500 werkzame personen;0.8;34.2;20.33;16.95;1682.0
74;I Horeca;500 of meer werkzame personen;1.3;38.4;22.67;18.93;1692.0
75;J Informatie en communicatie;Totaal werkzame personen;16.2;72.9;41.24;35.41;1768.0
76;J Informatie en communicatie;1 tot 10 werkzame personen;2.1;59.6;33.28;28.9;1792.0
77;J Informatie en communicatie;10 tot 100 werkzame personen;;;;;
78;J Informatie en communicatie;100 tot 500 werkzame personen;3.7;81.7;46.83;39.86;1744.0
79;J Informatie en communicatie;500 of meer werkzame personen;;;;;
80;K Financiële dienstverlening;Totaal werkzame personen;22.4;92.0;54.13;46.1;1700.0
81;K Financiële dienstverlening;1 tot 10 werkzame personen;5.8;81.7;45.6;39.52;1791.0
82;K Financiële dienstverlening;10 tot 100 werkzame personen;;;;;
83;K Financiële dienstverlening;100 tot 500 werkzame personen;1.9;97.4;57.36;48.35;1699.0
84;K Financiële dienstverlening;500 of meer werkzame personen;;;;;
85;L Verhuur en handel van onroerend goed;Totaal werkzame personen;3.5;67.9;40.41;34.52;1681.0
86;L Verhuur en handel van onroerend goed;1 tot 10 werkzame personen;1.0;60.4;33.89;29.58;1783.0
87;L Verhuur en handel van onroerend goed;10 tot 100 werkzame personen;;;;;
88;L Verhuur en handel van onroerend goed;100 tot 500 werkzame personen;1.1;73.7;46.1;38.43;1598.0
89;L Verhuur en handel van onroerend goed;500 of meer werkzame personen;;;;;
90;M-N Zakelijke dienstverlening;Totaal werkzame personen;58.1;54.7;30.73;26.64;1780.0
91;M-N Zakelijke dienstverlening;1 tot 10 werkzame personen;;;;;
92;M-N Zakelijke dienstverlening;10 tot 100 werkzame personen;;;;;
93;M-N Zakelijke dienstverlening;100 tot 500 werkzame personen;;;;;
94;M-N Zakelijke dienstverlening;500 of meer werkzame personen;;;;;
95;M Specialistische zakelijke diensten;Totaal werkzame personen;31.1;76.5;43.16;37.22;1772.0
96;M Specialistische zakelijke diensten;1 tot 10 werkzame personen;8.2;69.3;38.8;33.75;1786.0
97;M Specialistische zakelijke diensten;10 tot 100 werkzame personen;;;;;
98;M Specialistische zakelijke diensten;100 tot 500 werkzame personen;5.8;82.8;46.75;40.23;1771.0
99;M Specialistische zakelijke diensten;500 of meer werkzame personen;;;;;
100;N Verhuur en overige zakelijke diensten;Totaal werkzame personen;27.1;41.2;23.09;20.08;1785.0
101;N Verhuur en overige zakelijke diensten;1 tot 10 werkzame personen;1.8;45.3;25.15;21.87;1801.0
102;N Verhuur en overige zakelijke diensten;10 tot 100 werkzame personen;5.8;45.6;24.9;21.75;1830.0
103;N Verhuur en overige zakelijke diensten;100 tot 500 werkzame personen;6.3;43.1;23.74;20.73;1816.0
104;N Verhuur en overige zakelijke diensten;500 of meer werkzame personen;13.2;38.3;21.87;18.95;1753.0
105;O-Q Overheid en zorg;Totaal werkzame personen;104.6;61.5;39.98;32.48;1538.0
106;O-Q Overheid en zorg;1 tot 10 werkzame personen;;;;;
107;O-Q Overheid en zorg;10 tot 100 werkzame personen;;;;;
108;O-Q Overheid en zorg;100 tot 500 werkzame personen;;;;;
109;O-Q Overheid en zorg;500 of meer werkzame personen;;;;;
110;O-U Niet-commerciële dienstverlening;Totaal werkzame personen;113.3;60.7;39.14;31.92;1550.0
111;O-U Niet-commerciële dienstverlening;1 tot 10 werkzame personen;;;;;
112;O-U Niet-commerciële dienstverlening;10 tot 100 werkzame personen;;;;;
113;O-U Niet-commerciële dienstverlening;100 tot 500 werkzame personen;;;;;
114;O-U Niet-commerciële dienstverlening;500 of meer werkzame personen;;;;;
115;O Openbaar bestuur en overheidsdiensten;Totaal werkzame personen;31.5;70.8;44.56;36.81;1589.0
116;O Openbaar bestuur en overheidsdiensten;1 tot 10 werkzame personen;;;;;
117;O Openbaar bestuur en overheidsdiensten;10 tot 100 werkzame personen;;;;;
118;O Openbaar bestuur en overheidsdiensten;100 tot 500 werkzame personen;4.8;65.6;40.99;34.46;1601.0
119;O Openbaar bestuur en overheidsdiensten;500 of meer werkzame personen;;;;;
120;P Onderwijs;Totaal werkzame personen;25.0;65.6;43.29;34.33;1515.0
121;P Onderwijs;1 tot 10 werkzame personen;;;;;
122;P Onderwijs;10 tot 100 werkzame personen;;;;;
123;P Onderwijs;100 tot 500 werkzame personen;8.7;63.5;42.1;33.27;1509.0
124;P Onderwijs;500 of meer werkzame personen;;;;;
125;Q Gezondheids- en welzijnszorg;Totaal werkzame personen;48.2;55.0;36.13;29.4;1523.0
126;Q Gezondheids- en welzijnszorg;1 tot 10 werkzame personen;3.6;58.6;34.99;29.76;1674.0
127;Q Gezondheids- en welzijnszorg;10 tot 100 werkzame personen;4.4;50.8;32.69;26.83;1555.0
128;Q Gezondheids- en welzijnszorg;100 tot 500 werkzame personen;7.0;52.6;35.19;28.45;1495.0
129;Q Gezondheids- en welzijnszorg;500 of meer werkzame personen;33.1;55.8;36.99;29.96;1509.0
130;R-U Cultuur, recreatie, overige diensten;Totaal werkzame personen;8.6;52.0;31.15;26.39;1668.0
131;R-U Cultuur, recreatie, overige diensten;1 tot 10 werkzame personen;;;;;
132;R-U Cultuur, recreatie, overige diensten;10 tot 100 werkzame personen;;;;;
133;R-U Cultuur, recreatie, overige diensten;100 tot 500 werkzame personen;;;;;
134;R-U Cultuur, recreatie, overige diensten;500 of meer werkzame personen;;;;;
135;R Cultuur, sport en recreatie;Totaal werkzame personen;3.9;51.0;30.26;25.75;1687.0
136;R Cultuur, sport en recreatie;1 tot 10 werkzame personen;;;;;
137;R Cultuur, sport en recreatie;10 tot 100 werkzame personen;;;;;
138;R Cultuur, sport en recreatie;100 tot 500 werkzame personen;1.0;64.2;38.49;32.39;1668.0
139;R Cultuur, sport en recreatie;500 of meer werkzame personen;;;;;
140;S Overige dienstverlening;Totaal werkzame personen;4.8;52.7;31.91;26.93;1652.0
141;S Overige dienstverlening;1 tot 10 werkzame personen;1.3;41.3;24.98;21.27;1654.0
142;S Overige dienstverlening;10 tot 100 werkzame personen;;;;;
143;S Overige dienstverlening;100 tot 500 werkzame personen;0.9;64.9;39.32;32.93;1649.0
144;S Overige dienstverlening;500 of meer werkzame personen;;;;;
