ID;Geslacht;Leeftijd;Perioden;TotaalAantalWIJUitkeringen_1;Alleenstaande_2;AlleenstaandeOuder_3;EchtPaar_4;DuurKorterDanEenJaar_5;DuurVanEenJaarOfLanger_6
50;Totaal mannen en vrouwen;18 tot 21 jaar;2011 september;4440;3580;800;40;3330;1110
51;Totaal mannen en vrouwen;18 tot 21 jaar;2011 oktober;4390;3540;790;40;3300;1090
52;Totaal mannen en vrouwen;18 tot 21 jaar;2011 november;4410;3560;790;40;3320;1090
53;Totaal mannen en vrouwen;18 tot 21 jaar;2011 december;4500;3650;790;30;3450;1050
54;Totaal mannen en vrouwen;21 tot 23 jaar;2009 oktober;70;60;10;0;70;0
55;Totaal mannen en vrouwen;21 tot 23 jaar;2009 november;350;290;50;10;350;0
56;Totaal mannen en vrouwen;21 tot 23 jaar;2009 december;910;760;120;30;910;0
57;Totaal mannen en vrouwen;21 tot 23 jaar;2010 januari;1520;1280;190;40;1520;0
58;Totaal mannen en vrouwen;21 tot 23 jaar;2010 februari;2170;1830;270;60;2170;0
59;Totaal mannen en vrouwen;21 tot 23 jaar;2010 maart;3030;2550;380;70;3030;0
60;Totaal mannen en vrouwen;21 tot 23 jaar;2010 april;3690;3090;500;80;3690;0
61;Totaal mannen en vrouwen;21 tot 23 jaar;2010 mei;4160;3470;580;80;4160;0
62;Totaal mannen en vrouwen;21 tot 23 jaar;2010 juni;4660;3790;740;100;4660;0
63;Totaal mannen en vrouwen;21 tot 23 jaar;2010 juli;7510;5500;1800;160;7510;0
64;Totaal mannen en vrouwen;21 tot 23 jaar;2010 augustus;7410;5390;1810;160;7410;0
65;Totaal mannen en vrouwen;21 tot 23 jaar;2010 september;7150;5130;1800;150;7120;40
66;Totaal mannen en vrouwen;21 tot 23 jaar;2010 oktober;7100;5100;1770;150;6880;230
67;Totaal mannen en vrouwen;21 tot 23 jaar;2010 november;7180;5160;1800;150;6720;450
68;Totaal mannen en vrouwen;21 tot 23 jaar;2010 december;7370;5320;1830;160;6710;660
69;Totaal mannen en vrouwen;21 tot 23 jaar;2011 januari;7580;5510;1850;170;6640;940
70;Totaal mannen en vrouwen;21 tot 23 jaar;2011 februari;7770;5680;1870;170;6590;1180
71;Totaal mannen en vrouwen;21 tot 23 jaar;2011 maart;8040;5950;1850;180;6660;1380
72;Totaal mannen en vrouwen;21 tot 23 jaar;2011 april;8200;6070;1880;190;6660;1540
73;Totaal mannen en vrouwen;21 tot 23 jaar;2011 mei;8170;6040;1880;190;6480;1690
74;Totaal mannen en vrouwen;21 tot 23 jaar;2011 juni;8150;5990;1920;180;5550;2600
75;Totaal mannen en vrouwen;21 tot 23 jaar;2011 juli;7930;5800;1910;160;5360;2570
76;Totaal mannen en vrouwen;21 tot 23 jaar;2011 augustus;7670;5590;1880;150;5110;2560
77;Totaal mannen en vrouwen;21 tot 23 jaar;2011 september;7180;5220;1770;130;4660;2520
78;Totaal mannen en vrouwen;21 tot 23 jaar;2011 oktober;7050;5120;1730;140;4540;2510
79;Totaal mannen en vrouwen;21 tot 23 jaar;2011 november;7050;5120;1740;130;4460;2590
80;Totaal mannen en vrouwen;21 tot 23 jaar;2011 december;7180;5220;1770;130;4600;2580
81;Totaal mannen en vrouwen;23 tot 25 jaar;2009 oktober;80;50;30;0;80;0
82;Totaal mannen en vrouwen;23 tot 25 jaar;2009 november;410;320;70;20;410;0
83;Totaal mannen en vrouwen;23 tot 25 jaar;2009 december;930;720;170;40;930;0
84;Totaal mannen en vrouwen;23 tot 25 jaar;2010 januari;1570;1240;270;60;1570;0
85;Totaal mannen en vrouwen;23 tot 25 jaar;2010 februari;2260;1770;390;90;2260;0
86;Totaal mannen en vrouwen;23 tot 25 jaar;2010 maart;3060;2410;520;120;3060;0
87;Totaal mannen en vrouwen;23 tot 25 jaar;2010 april;3750;2920;660;140;3750;0
88;Totaal mannen en vrouwen;23 tot 25 jaar;2010 mei;4350;3370;790;160;4350;0
89;Totaal mannen en vrouwen;23 tot 25 jaar;2010 juni;5060;3840;1000;180;5060;0
90;Totaal mannen en vrouwen;23 tot 25 jaar;2010 juli;9870;6570;2890;340;9870;0
91;Totaal mannen en vrouwen;23 tot 25 jaar;2010 augustus;9900;6560;2920;340;9900;0
92;Totaal mannen en vrouwen;23 tot 25 jaar;2010 september;9770;6470;2890;310;9730;40
93;Totaal mannen en vrouwen;23 tot 25 jaar;2010 oktober;9770;6470;2880;320;9510;260
94;Totaal mannen en vrouwen;23 tot 25 jaar;2010 november;9850;6530;2910;320;9290;560
95;Totaal mannen en vrouwen;23 tot 25 jaar;2010 december;10050;6670;2950;320;9190;860
96;Totaal mannen en vrouwen;23 tot 25 jaar;2011 januari;10190;6800;2970;330;8990;1200
97;Totaal mannen en vrouwen;23 tot 25 jaar;2011 februari;10390;6970;2960;350;8800;1590
98;Totaal mannen en vrouwen;23 tot 25 jaar;2011 maart;10520;7100;2970;340;8640;1890
99;Totaal mannen en vrouwen;23 tot 25 jaar;2011 april;10730;7290;2990;330;8550;2170
100;Totaal mannen en vrouwen;23 tot 25 jaar;2011 mei;10830;7380;2980;340;8250;2580
101;Totaal mannen en vrouwen;23 tot 25 jaar;2011 juni;10820;7370;3000;330;6180;4650
102;Totaal mannen en vrouwen;23 tot 25 jaar;2011 juli;10610;7200;2970;330;5980;4630
103;Totaal mannen en vrouwen;23 tot 25 jaar;2011 augustus;10390;7000;2950;320;5660;4730
104;Totaal mannen en vrouwen;23 tot 25 jaar;2011 september;9930;6690;2780;310;5260;4670
105;Totaal mannen en vrouwen;23 tot 25 jaar;2011 oktober;9750;6530;2780;320;5120;4630
106;Totaal mannen en vrouwen;23 tot 25 jaar;2011 november;9760;6520;2790;330;5100;4650
107;Totaal mannen en vrouwen;23 tot 25 jaar;2011 december;9850;6630;2780;320;5100;4750
108;Totaal mannen en vrouwen;25 tot 27 jaar;2009 oktober;100;80;20;0;100;0
109;Totaal mannen en vrouwen;25 tot 27 jaar;2009 november;430;320;90;20;430;0
110;Totaal mannen en vrouwen;25 tot 27 jaar;2009 december;980;720;200;50;980;0
111;Totaal mannen en vrouwen;25 tot 27 jaar;2010 januari;1670;1220;330;110;1670;0
112;Totaal mannen en vrouwen;25 tot 27 jaar;2010 februari;2380;1750;470;140;2380;0
113;Totaal mannen en vrouwen;25 tot 27 jaar;2010 maart;3130;2260;640;200;3130;0
114;Totaal mannen en vrouwen;25 tot 27 jaar;2010 april;3890;2810;830;210;3890;0
115;Totaal mannen en vrouwen;25 tot 27 jaar;2010 mei;4420;3140;1010;220;4420;0
116;Totaal mannen en vrouwen;25 tot 27 jaar;2010 juni;5270;3660;1300;250;5270;0
117;Totaal mannen en vrouwen;25 tot 27 jaar;2010 juli;11680;6980;4060;520;11680;0
118;Totaal mannen en vrouwen;25 tot 27 jaar;2010 augustus;11800;7020;4100;540;11800;0
119;Totaal mannen en vrouwen;25 tot 27 jaar;2010 september;11770;7000;4080;540;11720;50
120;Totaal mannen en vrouwen;25 tot 27 jaar;2010 oktober;11870;7040;4140;530;11530;340
121;Totaal mannen en vrouwen;25 tot 27 jaar;2010 november;11960;7080;4190;550;11220;740
122;Totaal mannen en vrouwen;25 tot 27 jaar;2010 december;12180;7250;4210;560;11020;1160
123;Totaal mannen en vrouwen;25 tot 27 jaar;2011 januari;12320;7420;4200;550;10780;1540
124;Totaal mannen en vrouwen;25 tot 27 jaar;2011 februari;12560;7590;4230;560;10610;1950
125;Totaal mannen en vrouwen;25 tot 27 jaar;2011 maart;12670;7650;4280;560;10380;2290
126;Totaal mannen en vrouwen;25 tot 27 jaar;2011 april;12840;7790;4300;570;10230;2610
127;Totaal mannen en vrouwen;25 tot 27 jaar;2011 mei;12930;7830;4370;550;9730;3200
128;Totaal mannen en vrouwen;25 tot 27 jaar;2011 juni;12940;7830;4390;560;6590;6350
129;Totaal mannen en vrouwen;25 tot 27 jaar;2011 juli;12780;7700;4360;560;6400;6380
130;Totaal mannen en vrouwen;25 tot 27 jaar;2011 augustus;12450;7450;4280;540;5990;6460
131;Totaal mannen en vrouwen;25 tot 27 jaar;2011 september;12110;7290;4060;520;5730;6380
132;Totaal mannen en vrouwen;25 tot 27 jaar;2011 oktober;11870;7120;4050;500;5570;6300
133;Totaal mannen en vrouwen;25 tot 27 jaar;2011 november;11850;7110;4040;490;5510;6330
134;Totaal mannen en vrouwen;25 tot 27 jaar;2011 december;11840;7160;4000;480;5750;6100
135;Mannen;Totaal (jonger dan 27 jaar);2009 oktober;160;160;0;10;160;0
136;Mannen;Totaal (jonger dan 27 jaar);2009 november;850;810;0;40;850;0
137;Mannen;Totaal (jonger dan 27 jaar);2009 december;2030;1920;10;90;2030;0
138;Mannen;Totaal (jonger dan 27 jaar);2010 januari;3460;3260;30;160;3460;0
139;Mannen;Totaal (jonger dan 27 jaar);2010 februari;4980;4700;40;230;4980;0
140;Mannen;Totaal (jonger dan 27 jaar);2010 maart;6670;6290;50;310;6670;0
141;Mannen;Totaal (jonger dan 27 jaar);2010 april;8050;7620;70;350;8050;0
142;Mannen;Totaal (jonger dan 27 jaar);2010 mei;8850;8380;80;370;8850;0
143;Mannen;Totaal (jonger dan 27 jaar);2010 juni;9820;9290;80;430;9820;0
144;Mannen;Totaal (jonger dan 27 jaar);2010 juli;15490;14470;170;800;15490;0
145;Mannen;Totaal (jonger dan 27 jaar);2010 augustus;15370;14330;170;820;15370;0
146;Mannen;Totaal (jonger dan 27 jaar);2010 september;14930;13910;170;790;14870;60
147;Mannen;Totaal (jonger dan 27 jaar);2010 oktober;14830;13820;180;780;14380;450
148;Mannen;Totaal (jonger dan 27 jaar);2010 november;15010;13990;190;770;14020;990
149;Mannen;Totaal (jonger dan 27 jaar);2010 december;15470;14430;180;790;14050;1420
150;Mannen;Totaal (jonger dan 27 jaar);2011 januari;15870;14850;180;790;13890;1990
151;Mannen;Totaal (jonger dan 27 jaar);2011 februari;16400;15350;190;800;13880;2530
152;Mannen;Totaal (jonger dan 27 jaar);2011 maart;16720;15660;200;800;13790;2930
153;Mannen;Totaal (jonger dan 27 jaar);2011 april;17000;15940;190;800;13790;3220
154;Mannen;Totaal (jonger dan 27 jaar);2011 mei;16920;15850;190;800;13320;3600
155;Mannen;Totaal (jonger dan 27 jaar);2011 juni;16790;15720;190;800;10990;5800
156;Mannen;Totaal (jonger dan 27 jaar);2011 juli;16300;15240;200;790;10580;5720
157;Mannen;Totaal (jonger dan 27 jaar);2011 augustus;15710;14690;190;780;9920;5790
158;Mannen;Totaal (jonger dan 27 jaar);2011 september;14860;13900;160;740;9160;5700
159;Mannen;Totaal (jonger dan 27 jaar);2011 oktober;14580;13630;160;720;8870;5710
160;Mannen;Totaal (jonger dan 27 jaar);2011 november;14600;13630;160;730;8800;5800
161;Mannen;Totaal (jonger dan 27 jaar);2011 december;14840;13870;170;710;9220;5620
162;Mannen;18 tot 21 jaar;2009 oktober;40;40;0;0;40;0
163;Mannen;18 tot 21 jaar;2009 november;190;190;0;0;190;0
164;Mannen;18 tot 21 jaar;2009 december;460;450;0;0;460;0
165;Mannen;18 tot 21 jaar;2010 januari;770;760;0;0;770;0
166;Mannen;18 tot 21 jaar;2010 februari;1130;1120;0;10;1130;0
167;Mannen;18 tot 21 jaar;2010 maart;1490;1470;0;10;1490;0
168;Mannen;18 tot 21 jaar;2010 april;1770;1750;0;20;1770;0
169;Mannen;18 tot 21 jaar;2010 mei;1820;1800;0;10;1820;0
170;Mannen;18 tot 21 jaar;2010 juni;1920;1900;0;20;1920;0
171;Mannen;18 tot 21 jaar;2010 juli;2350;2310;10;20;2350;0
172;Mannen;18 tot 21 jaar;2010 augustus;2310;2280;0;30;2310;0
173;Mannen;18 tot 21 jaar;2010 september;2170;2140;10;20;2160;10
174;Mannen;18 tot 21 jaar;2010 oktober;2150;2130;0;20;2080;70
175;Mannen;18 tot 21 jaar;2010 november;2230;2200;10;20;2100;130
176;Mannen;18 tot 21 jaar;2010 december;2330;2300;10;20;2160;170
177;Mannen;18 tot 21 jaar;2011 januari;2400;2360;10;20;2150;240
178;Mannen;18 tot 21 jaar;2011 februari;2490;2460;10;20;2220;270
179;Mannen;18 tot 21 jaar;2011 maart;2570;2540;0;20;2270;300
180;Mannen;18 tot 21 jaar;2011 april;2590;2560;10;20;2270;320
181;Mannen;18 tot 21 jaar;2011 mei;2520;2500;10;20;2200;330
182;Mannen;18 tot 21 jaar;2011 juni;2480;2450;10;20;2060;420
183;Mannen;18 tot 21 jaar;2011 juli;2370;2330;10;30;1960;410
184;Mannen;18 tot 21 jaar;2011 augustus;2220;2180;10;30;1790;430
185;Mannen;18 tot 21 jaar;2011 september;2060;2030;0;30;1620;440
186;Mannen;18 tot 21 jaar;2011 oktober;2060;2020;0;30;1610;440
187;Mannen;18 tot 21 jaar;2011 november;2060;2030;0;30;1610;450
188;Mannen;18 tot 21 jaar;2011 december;2110;2080;0;20;1680;430
189;Mannen;21 tot 23 jaar;2009 oktober;40;40;0;0;40;0
190;Mannen;21 tot 23 jaar;2009 november;180;170;0;10;180;0
191;Mannen;21 tot 23 jaar;2009 december;480;460;0;20;480;0
192;Mannen;21 tot 23 jaar;2010 januari;820;790;10;20;820;0
193;Mannen;21 tot 23 jaar;2010 februari;1200;1150;10;40;1200;0
194;Mannen;21 tot 23 jaar;2010 maart;1670;1610;10;50;1670;0
195;Mannen;21 tot 23 jaar;2010 april;2020;1950;10;60;2020;0
196;Mannen;21 tot 23 jaar;2010 mei;2230;2160;10;60;2230;0
197;Mannen;21 tot 23 jaar;2010 juni;2440;2350;10;70;2440;0
198;Mannen;21 tot 23 jaar;2010 juli;3500;3350;20;120;3500;0
199;Mannen;21 tot 23 jaar;2010 augustus;3420;3270;20;120;3420;0
200;Mannen;21 tot 23 jaar;2010 september;3240;3090;20;120;3230;10
201;Mannen;21 tot 23 jaar;2010 oktober;3220;3070;20;110;3120;100
202;Mannen;21 tot 23 jaar;2010 november;3290;3130;20;110;3080;210
203;Mannen;21 tot 23 jaar;2010 december;3420;3250;30;120;3120;300
204;Mannen;21 tot 23 jaar;2011 januari;3550;3380;30;130;3100;450
205;Mannen;21 tot 23 jaar;2011 februari;3650;3490;30;120;3090;560
206;Mannen;21 tot 23 jaar;2011 maart;3800;3640;20;130;3150;650
207;Mannen;21 tot 23 jaar;2011 april;3840;3670;20;130;3150;690
208;Mannen;21 tot 23 jaar;2011 mei;3770;3600;20;130;3040;720
209;Mannen;21 tot 23 jaar;2011 juni;3740;3570;20;130;2700;1040
210;Mannen;21 tot 23 jaar;2011 juli;3620;3460;20;120;2620;1000
211;Mannen;21 tot 23 jaar;2011 augustus;3510;3350;20;110;2520;980
212;Mannen;21 tot 23 jaar;2011 september;3250;3120;20;90;2280;970
213;Mannen;21 tot 23 jaar;2011 oktober;3180;3050;20;90;2200;990
214;Mannen;21 tot 23 jaar;2011 november;3190;3060;20;90;2170;1030
215;Mannen;21 tot 23 jaar;2011 december;3250;3120;20;90;2230;1030
216;Mannen;23 tot 25 jaar;2009 oktober;40;30;0;0;40;0
217;Mannen;23 tot 25 jaar;2009 november;230;220;0;10;230;0
218;Mannen;23 tot 25 jaar;2009 december;510;480;0;30;510;0
219;Mannen;23 tot 25 jaar;2010 januari;900;840;10;50;900;0
220;Mannen;23 tot 25 jaar;2010 februari;1290;1200;10;80;1290;0
221;Mannen;23 tot 25 jaar;2010 maart;1740;1630;10;90;1740;0
222;Mannen;23 tot 25 jaar;2010 april;2070;1950;20;110;2070;0
223;Mannen;23 tot 25 jaar;2010 mei;2380;2230;20;120;2380;0
224;Mannen;23 tot 25 jaar;2010 juni;2690;2530;20;130;2690;0
225;Mannen;23 tot 25 jaar;2010 juli;4460;4150;50;240;4460;0
226;Mannen;23 tot 25 jaar;2010 augustus;4440;4130;40;250;4440;0
227;Mannen;23 tot 25 jaar;2010 september;4350;4050;40;230;4340;10
228;Mannen;23 tot 25 jaar;2010 oktober;4300;4000;50;230;4180;130
229;Mannen;23 tot 25 jaar;2010 november;4300;4020;40;230;4020;280
230;Mannen;23 tot 25 jaar;2010 december;4420;4130;40;230;4010;420
231;Mannen;23 tot 25 jaar;2011 januari;4530;4230;40;230;3950;580
232;Mannen;23 tot 25 jaar;2011 februari;4690;4380;50;250;3920;770
233;Mannen;23 tot 25 jaar;2011 maart;4740;4430;50;240;3850;890
234;Mannen;23 tot 25 jaar;2011 april;4870;4560;50;240;3870;990
235;Mannen;23 tot 25 jaar;2011 mei;4920;4600;50;240;3770;1150
236;Mannen;23 tot 25 jaar;2011 juni;4890;4580;60;230;3040;1850
237;Mannen;23 tot 25 jaar;2011 juli;4730;4420;60;230;2920;1810
238;Mannen;23 tot 25 jaar;2011 augustus;4600;4300;50;230;2770;1840
239;Mannen;23 tot 25 jaar;2011 september;4370;4080;50;220;2570;1810
240;Mannen;23 tot 25 jaar;2011 oktober;4250;3950;50;230;2450;1800
241;Mannen;23 tot 25 jaar;2011 november;4250;3940;50;240;2430;1820
242;Mannen;23 tot 25 jaar;2011 december;4360;4060;50;240;2510;1860
243;Mannen;25 tot 27 jaar;2009 oktober;50;50;0;0;50;0
244;Mannen;25 tot 27 jaar;2009 november;240;230;0;20;240;0
245;Mannen;25 tot 27 jaar;2009 december;580;530;10;40;580;0
246;Mannen;25 tot 27 jaar;2010 januari;970;870;10;80;970;0
247;Mannen;25 tot 27 jaar;2010 februari;1360;1220;20;110;1360;0
248;Mannen;25 tot 27 jaar;2010 maart;1760;1570;30;150;1760;0
249;Mannen;25 tot 27 jaar;2010 april;2190;1970;40;170;2190;0
250;Mannen;25 tot 27 jaar;2010 mei;2420;2180;50;180;2420;0
251;Mannen;25 tot 27 jaar;2010 juni;2780;2520;50;200;2780;0
252;Mannen;25 tot 27 jaar;2010 juli;5190;4660;100;410;5190;0
253;Mannen;25 tot 27 jaar;2010 augustus;5210;4660;110;420;5210;0
254;Mannen;25 tot 27 jaar;2010 september;5170;4630;100;420;5150;20
255;Mannen;25 tot 27 jaar;2010 oktober;5160;4620;100;420;5000;160
256;Mannen;25 tot 27 jaar;2010 november;5190;4630;120;420;4830;360
257;Mannen;25 tot 27 jaar;2010 december;5300;4750;100;420;4760;540
258;Mannen;25 tot 27 jaar;2011 januari;5400;4870;110;410;4690;720
259;Mannen;25 tot 27 jaar;2011 februari;5570;5020;120;410;4650;920
260;Mannen;25 tot 27 jaar;2011 maart;5600;5050;120;410;4520;1080
261;Mannen;25 tot 27 jaar;2011 april;5710;5160;120;410;4500;1210
262;Mannen;25 tot 27 jaar;2011 mei;5710;5160;110;410;4310;1400
263;Mannen;25 tot 27 jaar;2011 juni;5680;5130;110;420;3180;2500
264;Mannen;25 tot 27 jaar;2011 juli;5580;5030;110;410;3080;2500
265;Mannen;25 tot 27 jaar;2011 augustus;5390;4850;110;410;2850;2540
266;Mannen;25 tot 27 jaar;2011 september;5180;4670;90;400;2700;2480
267;Mannen;25 tot 27 jaar;2011 oktober;5100;4600;90;380;2620;2480
268;Mannen;25 tot 27 jaar;2011 november;5100;4600;90;380;2590;2510
269;Mannen;25 tot 27 jaar;2011 december;5110;4620;100;350;2800;2310
270;Vrouwen;Totaal (jonger dan 27 jaar);2009 oktober;170;110;60;0;170;0
271;Vrouwen;Totaal (jonger dan 27 jaar);2009 november;700;440;250;10;700;0
272;Vrouwen;Totaal (jonger dan 27 jaar);2009 december;1620;1020;560;30;1620;0
273;Vrouwen;Totaal (jonger dan 27 jaar);2010 januari;2650;1670;910;60;2650;0
274;Vrouwen;Totaal (jonger dan 27 jaar);2010 februari;3780;2390;1280;80;3780;0
275;Vrouwen;Totaal (jonger dan 27 jaar);2010 maart;5150;3250;1750;100;5150;0
276;Vrouwen;Totaal (jonger dan 27 jaar);2010 april;6370;3960;2230;110;6370;0
277;Vrouwen;Totaal (jonger dan 27 jaar);2010 mei;7360;4490;2670;110;7360;0
278;Vrouwen;Totaal (jonger dan 27 jaar);2010 juni;8770;5090;3430;130;8770;0
279;Vrouwen;Totaal (jonger dan 27 jaar);2010 juli;18480;8500;9480;270;18480;0
280;Vrouwen;Totaal (jonger dan 27 jaar);2010 augustus;18590;8520;9560;260;18590;0
281;Vrouwen;Totaal (jonger dan 27 jaar);2010 september;18410;8390;9500;250;18330;80
282;Vrouwen;Totaal (jonger dan 27 jaar);2010 oktober;18510;8460;9500;250;17970;530
283;Vrouwen;Totaal (jonger dan 27 jaar);2010 november;18720;8570;9600;280;17680;1040
284;Vrouwen;Totaal (jonger dan 27 jaar);2010 december;18970;8720;9660;290;17350;1620
285;Vrouwen;Totaal (jonger dan 27 jaar);2011 januari;19140;8890;9690;290;16930;2210
286;Vrouwen;Totaal (jonger dan 27 jaar);2011 februari;19400;9060;9730;310;16610;2790
287;Vrouwen;Totaal (jonger dan 27 jaar);2011 maart;19790;9360;9800;320;16480;3310
288;Vrouwen;Totaal (jonger dan 27 jaar);2011 april;20110;9580;9890;320;16260;3850
289;Vrouwen;Totaal (jonger dan 27 jaar);2011 mei;20300;9700;9970;300;15630;4670
290;Vrouwen;Totaal (jonger dan 27 jaar);2011 juni;20340;9710;10030;300;11480;8860
291;Vrouwen;Totaal (jonger dan 27 jaar);2011 juli;20090;9540;9960;300;11160;8930
292;Vrouwen;Totaal (jonger dan 27 jaar);2011 augustus;19580;9200;9800;270;10520;9060
293;Vrouwen;Totaal (jonger dan 27 jaar);2011 september;18800;8880;9250;260;9820;8980
294;Vrouwen;Totaal (jonger dan 27 jaar);2011 oktober;18470;8670;9190;280;9660;8810
295;Vrouwen;Totaal (jonger dan 27 jaar);2011 november;18460;8690;9190;260;9600;8860
296;Vrouwen;Totaal (jonger dan 27 jaar);2011 december;18530;8790;9170;250;9680;8850
297;Vrouwen;18 tot 21 jaar;2009 oktober;50;40;10;0;50;0
298;Vrouwen;18 tot 21 jaar;2009 november;170;130;40;0;170;0
299;Vrouwen;18 tot 21 jaar;2009 december;370;280;90;0;370;0
300;Vrouwen;18 tot 21 jaar;2010 januari;580;440;140;0;580;0
301;Vrouwen;18 tot 21 jaar;2010 februari;820;620;190;10;820;0
302;Vrouwen;18 tot 21 jaar;2010 maart;1110;840;250;10;1110;0
303;Vrouwen;18 tot 21 jaar;2010 april;1340;1000;320;10;1340;0
304;Vrouwen;18 tot 21 jaar;2010 mei;1460;1080;360;10;1460;0
305;Vrouwen;18 tot 21 jaar;2010 juni;1680;1200;470;10;1680;0
