ID;CostComponents;Periods;InputPriceIndices_1;ChangesComparedToOneYearEarlier_2
110;Total building costs;2016 July;109.2;2.1
111;Total building costs;2016 August;109.3;2.2
112;Total building costs;2016 September;109.2;2.1
113;Total building costs;2016 October;109.6;1.4
114;Total building costs;2016 November;109.8;1.5
115;Total building costs;2016 December;109.9;1.4
116;Total building costs;2016;109.0;2.0
117;Total building costs;2017 January;110.5;1.7
118;Total building costs;2017 February;110.7;1.9
119;Total building costs;2017 March;110.8;1.9
120;Total building costs;2017 April;111.3;2.9
121;Total building costs;2017 May;111.2;2.6
122;Total building costs;2017 June;111.5;2.8
123;Total building costs;2017 July;111.8;2.4
124;Total building costs;2017 August;112.7;3.1
125;Total building costs;2017 September;112.7;3.2
126;Total building costs;2017 October;113.1;3.2
127;Total building costs;2017 November;113.4;3.3
128;Total building costs;2017 December;113.1;2.9
129;Total building costs;2017;111.9;2.7
130;Total building costs;2018 January;113.9;3.1
131;Wages;2008 January;92.8;
132;Wages;2008 February;93.2;
133;Wages;2008 March;93.2;
134;Wages;2008 April;94.3;
135;Wages;2008 May;94.3;
136;Wages;2008 June;94.5;
137;Wages;2008 July;95.5;
138;Wages;2008 August;95.5;
139;Wages;2008 September;95.5;
140;Wages;2008 October;95.5;
141;Wages;2008 November;95.5;
142;Wages;2008 December;95.5;
143;Wages;2008;94.6;
144;Wages;2009 January;97.1;4.6
145;Wages;2009 February;97.9;5.1
146;Wages;2009 March;97.9;5.1
147;Wages;2009 April;98.0;4.0
148;Wages;2009 May;98.0;4.0
149;Wages;2009 June;98.0;3.7
150;Wages;2009 July;98.2;2.9
151;Wages;2009 August;98.2;2.9
152;Wages;2009 September;98.2;2.9
153;Wages;2009 October;98.5;3.2
154;Wages;2009 November;98.5;3.2
155;Wages;2009 December;98.1;2.7
156;Wages;2009;98.1;3.7
157;Wages;2010 January;99.8;2.7
158;Wages;2010 February;99.8;1.9
159;Wages;2010 March;99.8;1.9
160;Wages;2010 April;99.8;1.9
161;Wages;2010 May;99.8;1.9
162;Wages;2010 June;99.8;1.9
163;Wages;2010 July;100.1;1.9
164;Wages;2010 August;100.1;1.9
165;Wages;2010 September;100.1;1.9
166;Wages;2010 October;100.3;1.8
167;Wages;2010 November;100.3;1.8
168;Wages;2010 December;100.3;2.2
169;Wages;2010;100.0;2.0
170;Wages;2011 January;100.7;1.0
171;Wages;2011 February;101.2;1.4
172;Wages;2011 March;101.2;1.4
173;Wages;2011 April;101.2;1.4
174;Wages;2011 May;101.3;1.4
175;Wages;2011 June;101.4;1.5
176;Wages;2011 July;101.7;1.6
177;Wages;2011 August;101.7;1.6
178;Wages;2011 September;101.7;1.6
179;Wages;2011 October;102.0;1.7
180;Wages;2011 November;102.0;1.7
181;Wages;2011 December;102.0;1.7
182;Wages;2011;101.5;1.5
183;Wages;2012 January;102.7;2.0
184;Wages;2012 February;103.1;1.9
185;Wages;2012 March;103.1;1.9
186;Wages;2012 April;103.9;2.6
187;Wages;2012 May;103.9;2.6
188;Wages;2012 June;103.9;2.6
189;Wages;2012 July;104.0;2.2
190;Wages;2012 August;104.9;3.1
191;Wages;2012 September;104.9;3.1
192;Wages;2012 October;104.9;2.8
193;Wages;2012 November;104.9;2.8
194;Wages;2012 December;104.9;2.8
195;Wages;2012;104.1;2.5
196;Wages;2013 January;105.5;2.7
197;Wages;2013 February;105.8;2.7
198;Wages;2013 March;105.8;2.7
199;Wages;2013 April;106.1;2.1
200;Wages;2013 May;106.1;2.1
201;Wages;2013 June;106.1;2.0
202;Wages;2013 July;106.1;2.0
203;Wages;2013 August;106.1;1.2
204;Wages;2013 September;106.1;1.2
205;Wages;2013 October;106.1;1.2
206;Wages;2013 November;106.1;1.2
207;Wages;2013 December;106.1;1.2
208;Wages;2013;106.0;1.8
209;Wages;2014 January;107.9;2.3
210;Wages;2014 February;107.9;1.9
211;Wages;2014 March;108.0;2.0
212;Wages;2014 April;108.0;1.8
213;Wages;2014 May;108.0;1.8
214;Wages;2014 June;108.0;1.8
215;Wages;2014 July;108.0;1.8
216;Wages;2014 August;108.0;1.8
217;Wages;2014 September;108.0;1.8
218;Wages;2014 October;108.7;2.5
219;Wages;2014 November;108.7;2.5
220;Wages;2014 December;108.7;2.5
221;Wages;2014;108.2;2.1
222;Wages;2015 January;108.3;0.4
223;Wages;2015 February;108.3;0.4
224;Wages;2015 March;108.4;0.4
225;Wages;2015 April;108.4;0.4
226;Wages;2015 May;108.4;0.4
227;Wages;2015 June;108.4;0.4
228;Wages;2015 July;109.7;1.6
229;Wages;2015 August;109.7;1.6
230;Wages;2015 September;109.7;1.6
231;Wages;2015 October;109.8;1.0
232;Wages;2015 November;109.8;1.0
233;Wages;2015 December;110.6;1.7
234;Wages;2015;109.1;0.9
235;Wages;2016 January;110.1;1.7
236;Wages;2016 February;110.1;1.7
237;Wages;2016 March;110.1;1.6
238;Wages;2016 April;110.1;1.6
239;Wages;2016 May;110.1;1.6
240;Wages;2016 June;110.1;1.6
241;Wages;2016 July;111.6;1.7
242;Wages;2016 August;111.6;1.7
243;Wages;2016 September;111.7;1.8
244;Wages;2016 October;111.7;1.7
245;Wages;2016 November;111.7;1.7
246;Wages;2016 December;111.7;1.0
247;Wages;2016;110.9;1.6
248;Wages;2017 January;112.5;2.2
249;Wages;2017 February;112.5;2.2
250;Wages;2017 March;112.5;2.2
251;Wages;2017 April;112.5;2.2
252;Wages;2017 May;112.4;2.1
253;Wages;2017 June;112.4;2.1
254;Wages;2017 July;113.0;1.3
255;Wages;2017 August;113.9;2.1
256;Wages;2017 September;113.9;2.0
257;Wages;2017 October;113.9;2.0
258;Wages;2017 November;113.9;2.0
259;Wages;2017 December;113.9;2.0
260;Wages;2017;113.1;2.0
261;Wages;2018 January;114.8;2.0
262;Building materials;2008 January;100.2;
263;Building materials;2008 February;100.4;
264;Building materials;2008 March;100.5;
265;Building materials;2008 April;101.5;
266;Building materials;2008 May;101.9;
267;Building materials;2008 June;102.3;
268;Building materials;2008 July;103.6;
269;Building materials;2008 August;103.5;
270;Building materials;2008 September;103.2;
271;Building materials;2008 October;102.9;
272;Building materials;2008 November;102.3;
273;Building materials;2008 December;102.2;
274;Building materials;2008;102.1;
275;Building materials;2009 January;102.4;2.2
276;Building materials;2009 February;102.2;1.8
277;Building materials;2009 March;102.0;1.5
278;Building materials;2009 April;101.0;-0.6
279;Building materials;2009 May;100.9;-1.0
280;Building materials;2009 June;100.8;-1.5
281;Building materials;2009 July;100.1;-3.4
282;Building materials;2009 August;100.2;-3.2
283;Building materials;2009 September;100.3;-2.9
284;Building materials;2009 October;98.9;-3.9
285;Building materials;2009 November;98.9;-3.3
286;Building materials;2009 December;99.0;-3.1
287;Building materials;2009;100.6;-1.5
288;Building materials;2010 January;98.9;-3.4
289;Building materials;2010 February;99.1;-3.1
290;Building materials;2010 March;99.6;-2.4
291;Building materials;2010 April;100.0;-0.9
292;Building materials;2010 May;100.3;-0.6
293;Building materials;2010 June;100.1;-0.7
294;Building materials;2010 July;100.1;0.0
295;Building materials;2010 August;100.2;0.0
296;Building materials;2010 September;100.3;0.0
297;Building materials;2010 October;100.3;1.4
298;Building materials;2010 November;100.4;1.5
299;Building materials;2010 December;100.8;1.7
300;Building materials;2010;100.0;-0.6
301;Building materials;2011 January;101.4;2.6
302;Building materials;2011 February;101.4;2.3
303;Building materials;2011 March;101.3;1.7
304;Building materials;2011 April;102.1;2.0
305;Building materials;2011 May;102.1;1.9
306;Building materials;2011 June;102.2;2.1
307;Building materials;2011 July;102.5;2.4
308;Building materials;2011 August;102.5;2.2
309;Building materials;2011 September;102.6;2.2
310;Building materials;2011 October;102.4;2.1
311;Building materials;2011 November;102.4;2.0
312;Building materials;2011 December;102.5;1.7
313;Building materials;2011;102.1;2.1
314;Building materials;2012 January;103.4;1.9
315;Building materials;2012 February;103.5;2.1
316;Building materials;2012 March;103.6;2.3
317;Building materials;2012 April;103.6;1.5
318;Building materials;2012 May;103.6;1.4
319;Building materials;2012 June;103.6;1.4
320;Building materials;2012 July;103.6;1.1
321;Building materials;2012 August;103.7;1.1
322;Building materials;2012 September;103.6;1.0
323;Building materials;2012 October;103.5;1.0
324;Building materials;2012 November;103.5;1.0
325;Building materials;2012 December;103.4;0.9
326;Building materials;2012;103.5;1.4
327;Building materials;2013 January;103.1;-0.2
328;Building materials;2013 February;103.2;-0.3
329;Building materials;2013 March;103.2;-0.4
330;Building materials;2013 April;103.0;-0.6
331;Building materials;2013 May;102.9;-0.7
332;Building materials;2013 June;102.8;-0.8
333;Building materials;2013 July;102.6;-1.0
334;Building materials;2013 August;102.7;-1.0
335;Building materials;2013 September;102.6;-0.9
336;Building materials;2013 October;102.4;-1.1
337;Building materials;2013 November;102.4;-1.0
338;Building materials;2013 December;102.4;-1.0
339;Building materials;2013;102.8;-0.7
340;Building materials;2014 January;102.6;-0.5
341;Building materials;2014 February;102.5;-0.7
342;Building materials;2014 March;102.4;-0.8
343;Building materials;2014 April;102.7;-0.3
344;Building materials;2014 May;102.7;-0.2
345;Building materials;2014 June;102.8;0.0
346;Building materials;2014 July;103.0;0.3
347;Building materials;2014 August;103.1;0.5
348;Building materials;2014 September;103.2;0.5
349;Building materials;2014 October;103.7;1.2
350;Building materials;2014 November;103.7;1.3
351;Building materials;2014 December;103.7;1.3
352;Building materials;2014;103.0;0.2
353;Building materials;2015 January;104.2;1.6
354;Building materials;2015 February;104.3;1.8
355;Building materials;2015 March;104.5;2.1
356;Building materials;2015 April;105.3;2.6
357;Building materials;2015 May;105.2;2.4
358;Building materials;2015 June;105.2;2.4
359;Building materials;2015 July;105.4;2.4
360;Building materials;2015 August;105.4;2.2
361;Building materials;2015 September;105.4;2.1
362;Building materials;2015 October;107.1;3.3
363;Building materials;2015 November;107.3;3.5
364;Building materials;2015 December;107.1;3.3
365;Building materials;2015;105.5;2.5
366;Building materials;2016 January;107.8;3.4
367;Building materials;2016 February;107.8;3.4
368;Building materials;2016 March;108.0;3.3
369;Building materials;2016 April;107.2;1.8
370;Building materials;2016 May;107.4;2.0
371;Building materials;2016 June;107.6;2.2
372;Building materials;2016 July;107.9;2.4
373;Building materials;2016 August;108.1;2.5
374;Building materials;2016 September;107.8;2.3
375;Building materials;2016 October;108.4;1.2
376;Building materials;2016 November;108.7;1.3
377;Building materials;2016 December;108.9;1.7
378;Building materials;2016;108.0;2.3
379;Building materials;2017 January;109.4;1.4
380;Building materials;2017 February;109.6;1.7
381;Building materials;2017 March;109.9;1.7
382;Building materials;2017 April;110.7;3.3
383;Building materials;2017 May;110.5;3.0
384;Building materials;2017 June;111.1;3.3
385;Building materials;2017 July;111.2;3.0
386;Building materials;2017 August;112.0;3.6
387;Building materials;2017 September;112.0;3.9
388;Building materials;2017 October;112.7;4.0
389;Building materials;2017 November;113.1;4.0
390;Building materials;2017 December;112.6;3.4
391;Building materials;2017;111.2;3.0
392;Building materials;2018 January;113.4;3.7
