ID;Geslacht;LeeftijdOp31December;Perioden;VanEchtScheidendePersonen_1;VanEchtScheidendenPer1000Gehuwden_2;VanEchtScheidendenPer1000Inwoners_3;VerweduwendePersonen_4;VerweduwendePersonenPer1000Gehuwden_5;VerweduwendePersonenPer1000Inwoners_6
41;Totaal mannen en vrouwen;Totaal;1991;55071;7.9;4.4;57630;8.2;4.6
42;Totaal mannen en vrouwen;Totaal;1992;59231;8.4;4.7;57416;8.1;4.5
43;Totaal mannen en vrouwen;Totaal;1993;59399;8.4;4.7;60132;8.5;4.7
44;Totaal mannen en vrouwen;Totaal;1994;69498;9.8;5.4;58422;8.3;4.6
45;Totaal mannen en vrouwen;Totaal;1995;64224;9.1;5.0;58369;8.3;4.5
46;Totaal mannen en vrouwen;Totaal;1996;65859;9.3;5.1;59269;8.4;4.6
47;Totaal mannen en vrouwen;Totaal;1997;63662;9.0;4.9;57964;8.2;4.5
48;Totaal mannen en vrouwen;Totaal;1998;61310;8.7;4.7;58314;8.3;4.5
49;Totaal mannen en vrouwen;Totaal;1999;63697;9.0;4.8;58824;8.3;4.5
50;Totaal mannen en vrouwen;Totaal;2000;65783;9.3;5.0;58953;8.3;4.4
51;Totaal mannen en vrouwen;Totaal;2001;70672;10.0;5.3;58471;8.3;4.4
52;Totaal mannen en vrouwen;Totaal;2002;62956;8.9;4.7;58525;8.3;4.4
53;Totaal mannen en vrouwen;Totaal;2003;59620;8.5;4.4;58291;8.3;4.3
54;Totaal mannen en vrouwen;Totaal;2004;59039;8.4;4.4;56681;8.1;4.2
55;Totaal mannen en vrouwen;Totaal;2005;60568;8.7;4.4;56273;8.1;4.1
56;Totaal mannen en vrouwen;Totaal;2006;60420;8.7;4.4;55141;7.9;4.0
57;Totaal mannen en vrouwen;Totaal;2007;61016;8.8;4.4;54756;7.9;4.0
58;Totaal mannen en vrouwen;Totaal;2008;61481;8.9;4.5;54743;7.9;4.0
59;Totaal mannen en vrouwen;Totaal;2009;58743;8.5;4.2;54918;8.0;3.9
60;Totaal mannen en vrouwen;Totaal;2010;62368;9.1;4.5;55801;8.1;4.0
61;Totaal mannen en vrouwen;Totaal;2011;62301;9.1;4.4;54723;8.0;3.9
62;Totaal mannen en vrouwen;Totaal;2012;63721;9.3;4.5;56124;8.2;4.0
63;Totaal mannen en vrouwen;Totaal;2013;64284;9.4;4.5;56257;8.3;3.9
64;Totaal mannen en vrouwen;Totaal;2014;67752;10.0;4.7;55398;8.2;3.9
65;Totaal mannen en vrouwen;Totaal;2015;65574;9.7;4.5;57604;8.5;4.0
66;Totaal mannen en vrouwen;Totaal;2016;63880;9.5;4.4;58130;8.6;4.0
67;Totaal mannen en vrouwen;Totaal;2017;62581;9.3;4.3;58467;8.7;4.0
68;Totaal mannen en vrouwen;Totaal;2018;58499;8.7;4.0;59821;8.9;4.0
69;Totaal mannen en vrouwen;Totaal;2019;57148;8.5;3.8;59604;8.9;4.0
70;Totaal mannen en vrouwen;Jonger dan 17 jaar;1950;0;0.0;0.0;1;13.3;0.0
71;Totaal mannen en vrouwen;Jonger dan 17 jaar;1951;0;0.0;0.0;0;0.0;0.0
72;Totaal mannen en vrouwen;Jonger dan 17 jaar;1952;0;0.0;0.0;0;0.0;0.0
73;Totaal mannen en vrouwen;Jonger dan 17 jaar;1953;0;0.0;0.0;0;0.0;0.0
74;Totaal mannen en vrouwen;Jonger dan 17 jaar;1954;0;0.0;0.0;0;0.0;0.0
75;Totaal mannen en vrouwen;Jonger dan 17 jaar;1955;0;0.0;0.0;0;0.0;0.0
76;Totaal mannen en vrouwen;Jonger dan 17 jaar;1956;0;0.0;0.0;0;0.0;0.0
77;Totaal mannen en vrouwen;Jonger dan 17 jaar;1957;1;8.8;0.0;0;0.0;0.0
78;Totaal mannen en vrouwen;Jonger dan 17 jaar;1958;0;0.0;0.0;0;0.0;0.0
79;Totaal mannen en vrouwen;Jonger dan 17 jaar;1959;0;0.0;0.0;0;0.0;0.0
80;Totaal mannen en vrouwen;Jonger dan 17 jaar;1960;1;5.2;0.0;0;0.0;0.0
81;Totaal mannen en vrouwen;Jonger dan 17 jaar;1961;2;10.0;0.0;1;5.0;0.0
82;Totaal mannen en vrouwen;Jonger dan 17 jaar;1962;0;0.0;0.0;0;0.0;0.0
83;Totaal mannen en vrouwen;Jonger dan 17 jaar;1963;0;0.0;0.0;0;0.0;0.0
84;Totaal mannen en vrouwen;Jonger dan 17 jaar;1964;1;3.9;0.0;0;0.0;0.0
85;Totaal mannen en vrouwen;Jonger dan 17 jaar;1965;1;3.8;0.0;0;0.0;0.0
86;Totaal mannen en vrouwen;Jonger dan 17 jaar;1966;1;4.0;0.0;0;0.0;0.0
87;Totaal mannen en vrouwen;Jonger dan 17 jaar;1967;0;0.0;0.0;0;0.0;0.0
88;Totaal mannen en vrouwen;Jonger dan 17 jaar;1968;1;2.9;0.0;1;2.9;0.0
89;Totaal mannen en vrouwen;Jonger dan 17 jaar;1969;1;2.7;0.0;0;0.0;0.0
90;Totaal mannen en vrouwen;Jonger dan 17 jaar;1970;0;0.0;0.0;0;0.0;0.0
91;Totaal mannen en vrouwen;Jonger dan 17 jaar;1971;2;4.7;0.0;0;0.0;0.0
92;Totaal mannen en vrouwen;Jonger dan 17 jaar;1972;3;7.6;0.0;2;5.1;0.0
93;Totaal mannen en vrouwen;Jonger dan 17 jaar;1973;0;0.0;0.0;0;0.0;0.0
94;Totaal mannen en vrouwen;Jonger dan 17 jaar;1974;0;0.0;0.0;1;3.2;0.0
95;Totaal mannen en vrouwen;Jonger dan 17 jaar;1975;0;0.0;0.0;0;0.0;0.0
96;Totaal mannen en vrouwen;Jonger dan 17 jaar;1976;0;0.0;0.0;1;3.1;0.0
97;Totaal mannen en vrouwen;Jonger dan 17 jaar;1977;1;3.4;0.0;3;10.1;0.0
98;Totaal mannen en vrouwen;Jonger dan 17 jaar;1978;0;0.0;0.0;1;3.5;0.0
99;Totaal mannen en vrouwen;Jonger dan 17 jaar;1979;0;0.0;0.0;1;3.3;0.0
100;Totaal mannen en vrouwen;Jonger dan 17 jaar;1980;0;0.0;0.0;1;2.6;0.0
101;Totaal mannen en vrouwen;Jonger dan 17 jaar;1981;1;3.5;0.0;1;3.5;0.0
102;Totaal mannen en vrouwen;Jonger dan 17 jaar;1982;1;5.7;0.0;0;0.0;0.0
103;Totaal mannen en vrouwen;Jonger dan 17 jaar;1983;0;0.0;0.0;0;0.0;0.0
104;Totaal mannen en vrouwen;Jonger dan 17 jaar;1984;0;0.0;0.0;0;0.0;0.0
105;Totaal mannen en vrouwen;Jonger dan 17 jaar;1985;1;6.0;0.0;0;0.0;0.0
106;Totaal mannen en vrouwen;Jonger dan 17 jaar;1986;2;10.0;0.0;0;0.0;0.0
107;Totaal mannen en vrouwen;Jonger dan 17 jaar;1987;0;0.0;0.0;1;6.2;0.0
108;Totaal mannen en vrouwen;Jonger dan 17 jaar;1988;0;0.0;0.0;0;0.0;0.0
109;Totaal mannen en vrouwen;Jonger dan 17 jaar;1989;0;0.0;0.0;0;0.0;0.0
110;Totaal mannen en vrouwen;Jonger dan 17 jaar;1990;0;0.0;0.0;0;0.0;0.0
111;Totaal mannen en vrouwen;Jonger dan 17 jaar;1991;0;0.0;0.0;0;0.0;0.0
112;Totaal mannen en vrouwen;Jonger dan 17 jaar;1992;0;0.0;0.0;0;0.0;0.0
113;Totaal mannen en vrouwen;Jonger dan 17 jaar;1993;0;0.0;0.0;0;0.0;0.0
114;Totaal mannen en vrouwen;Jonger dan 17 jaar;1994;0;0.0;0.0;0;0.0;0.0
115;Totaal mannen en vrouwen;Jonger dan 17 jaar;1995;0;0.0;0.0;0;0.0;0.0
116;Totaal mannen en vrouwen;Jonger dan 17 jaar;1996;0;0.0;0.0;0;0.0;0.0
117;Totaal mannen en vrouwen;Jonger dan 17 jaar;1997;0;0.0;0.0;0;0.0;0.0
118;Totaal mannen en vrouwen;Jonger dan 17 jaar;1998;0;0.0;0.0;0;0.0;0.0
119;Totaal mannen en vrouwen;Jonger dan 17 jaar;1999;0;0.0;0.0;0;0.0;0.0
120;Totaal mannen en vrouwen;Jonger dan 17 jaar;2000;0;0.0;0.0;0;0.0;0.0
121;Totaal mannen en vrouwen;Jonger dan 17 jaar;2001;0;0.0;0.0;0;0.0;0.0
122;Totaal mannen en vrouwen;Jonger dan 17 jaar;2002;0;0.0;0.0;0;0.0;0.0
123;Totaal mannen en vrouwen;Jonger dan 17 jaar;2003;0;0.0;0.0;0;0.0;0.0
124;Totaal mannen en vrouwen;Jonger dan 17 jaar;2004;0;0.0;0.0;0;0.0;0.0
125;Totaal mannen en vrouwen;Jonger dan 17 jaar;2005;0;0.0;0.0;0;0.0;0.0
126;Totaal mannen en vrouwen;Jonger dan 17 jaar;2006;0;0.0;0.0;0;0.0;0.0
127;Totaal mannen en vrouwen;Jonger dan 17 jaar;2007;0;0.0;0.0;0;0.0;0.0
128;Totaal mannen en vrouwen;Jonger dan 17 jaar;2008;0;0.0;0.0;0;0.0;0.0
129;Totaal mannen en vrouwen;Jonger dan 17 jaar;2009;0;0.0;0.0;0;0.0;0.0
130;Totaal mannen en vrouwen;Jonger dan 17 jaar;2010;0;0.0;0.0;0;0.0;0.0
131;Totaal mannen en vrouwen;Jonger dan 17 jaar;2011;0;0.0;0.0;0;0.0;0.0
132;Totaal mannen en vrouwen;Jonger dan 17 jaar;2012;0;0.0;0.0;0;0.0;0.0
133;Totaal mannen en vrouwen;Jonger dan 17 jaar;2013;0;0.0;0.0;0;0.0;0.0
134;Totaal mannen en vrouwen;Jonger dan 17 jaar;2014;0;0.0;0.0;0;0.0;0.0
135;Totaal mannen en vrouwen;Jonger dan 17 jaar;2015;0;0.0;0.0;0;0.0;0.0
136;Totaal mannen en vrouwen;Jonger dan 17 jaar;2016;0;0.0;0.0;0;0.0;0.0
137;Totaal mannen en vrouwen;Jonger dan 17 jaar;2017;0;0.0;0.0;0;0.0;0.0
138;Totaal mannen en vrouwen;Jonger dan 17 jaar;2018;0;0.0;0.0;0;0.0;0.0
139;Totaal mannen en vrouwen;Jonger dan 17 jaar;2019;0;0.0;0.0;0;0.0;0.0
140;Totaal mannen en vrouwen;17 jaar;1950;1;2.3;0.0;0;0.0;0.0
141;Totaal mannen en vrouwen;17 jaar;1951;0;0.0;0.0;0;0.0;0.0
142;Totaal mannen en vrouwen;17 jaar;1952;0;0.0;0.0;0;0.0;0.0
143;Totaal mannen en vrouwen;17 jaar;1953;2;4.3;0.0;1;2.1;0.0
144;Totaal mannen en vrouwen;17 jaar;1954;0;0.0;0.0;0;0.0;0.0
145;Totaal mannen en vrouwen;17 jaar;1955;4;8.0;0.0;0;0.0;0.0
146;Totaal mannen en vrouwen;17 jaar;1956;2;3.5;0.0;0;0.0;0.0
147;Totaal mannen en vrouwen;17 jaar;1957;0;0.0;0.0;0;0.0;0.0
148;Totaal mannen en vrouwen;17 jaar;1958;0;0.0;0.0;0;0.0;0.0
149;Totaal mannen en vrouwen;17 jaar;1959;2;2.5;0.0;1;1.3;0.0
150;Totaal mannen en vrouwen;17 jaar;1960;2;2.3;0.0;1;1.1;0.0
151;Totaal mannen en vrouwen;17 jaar;1961;4;4.1;0.0;5;5.1;0.0
152;Totaal mannen en vrouwen;17 jaar;1962;2;1.9;0.0;0;0.0;0.0
153;Totaal mannen en vrouwen;17 jaar;1963;7;5.0;0.0;0;0.0;0.0
154;Totaal mannen en vrouwen;17 jaar;1964;6;4.2;0.0;0;0.0;0.0
155;Totaal mannen en vrouwen;17 jaar;1965;6;4.6;0.0;0;0.0;0.0
156;Totaal mannen en vrouwen;17 jaar;1966;10;7.4;0.0;0;0.0;0.0
157;Totaal mannen en vrouwen;17 jaar;1967;2;1.5;0.0;1;0.8;0.0
158;Totaal mannen en vrouwen;17 jaar;1968;6;3.9;0.0;1;0.7;0.0
159;Totaal mannen en vrouwen;17 jaar;1969;4;2.5;0.0;0;0.0;0.0
160;Totaal mannen en vrouwen;17 jaar;1970;5;2.9;0.0;0;0.0;0.0
161;Totaal mannen en vrouwen;17 jaar;1971;9;4.9;0.0;4;2.2;0.0
162;Totaal mannen en vrouwen;17 jaar;1972;8;4.4;0.0;0;0.0;0.0
163;Totaal mannen en vrouwen;17 jaar;1973;5;3.1;0.0;3;1.9;0.0
164;Totaal mannen en vrouwen;17 jaar;1974;10;6.5;0.0;3;2.0;0.0
165;Totaal mannen en vrouwen;17 jaar;1975;5;3.9;0.0;1;0.8;0.0
166;Totaal mannen en vrouwen;17 jaar;1976;3;2.5;0.0;1;0.8;0.0
167;Totaal mannen en vrouwen;17 jaar;1977;4;3.6;0.0;1;0.9;0.0
168;Totaal mannen en vrouwen;17 jaar;1978;5;5.2;0.0;0;0.0;0.0
169;Totaal mannen en vrouwen;17 jaar;1979;9;9.8;0.0;1;1.1;0.0
170;Totaal mannen en vrouwen;17 jaar;1980;3;3.2;0.0;3;3.2;0.0
171;Totaal mannen en vrouwen;17 jaar;1981;2;2.1;0.0;1;1.1;0.0
172;Totaal mannen en vrouwen;17 jaar;1982;6;8.1;0.0;0;0.0;0.0
173;Totaal mannen en vrouwen;17 jaar;1983;3;4.9;0.0;1;1.6;0.0
174;Totaal mannen en vrouwen;17 jaar;1984;5;9.6;0.0;1;1.9;0.0
175;Totaal mannen en vrouwen;17 jaar;1985;3;6.4;0.0;0;0.0;0.0
176;Totaal mannen en vrouwen;17 jaar;1986;8;17.4;0.0;0;0.0;0.0
177;Totaal mannen en vrouwen;17 jaar;1987;2;3.2;0.0;1;1.6;0.0
178;Totaal mannen en vrouwen;17 jaar;1988;4;7.8;0.0;1;1.9;0.0
179;Totaal mannen en vrouwen;17 jaar;1989;4;5.5;0.0;0;0.0;0.0
180;Totaal mannen en vrouwen;17 jaar;1990;2;2.9;0.0;1;1.4;0.0
181;Totaal mannen en vrouwen;17 jaar;1991;3;4.6;0.0;0;0.0;0.0
182;Totaal mannen en vrouwen;17 jaar;1992;2;3.5;0.0;0;0.0;0.0
183;Totaal mannen en vrouwen;17 jaar;1993;4;8.3;0.0;1;2.1;0.0
184;Totaal mannen en vrouwen;17 jaar;1994;3;7.9;0.0;0;0.0;0.0
185;Totaal mannen en vrouwen;17 jaar;1995;2;11.6;0.0;0;0.0;0.0
186;Totaal mannen en vrouwen;17 jaar;1996;0;0.0;0.0;0;0.0;0.0
187;Totaal mannen en vrouwen;17 jaar;1997;0;0.0;0.0;0;0.0;0.0
188;Totaal mannen en vrouwen;17 jaar;1998;2;21.1;0.0;0;0.0;0.0
189;Totaal mannen en vrouwen;17 jaar;1999;1;12.2;0.0;1;12.2;0.0
190;Totaal mannen en vrouwen;17 jaar;2000;2;31.7;0.0;0;0.0;0.0
191;Totaal mannen en vrouwen;17 jaar;2001;1;15.4;0.0;0;0.0;0.0
192;Totaal mannen en vrouwen;17 jaar;2002;1;13.9;0.0;0;0.0;0.0
193;Totaal mannen en vrouwen;17 jaar;2003;1;17.9;0.0;0;0.0;0.0
194;Totaal mannen en vrouwen;17 jaar;2004;0;0.0;0.0;0;0.0;0.0
195;Totaal mannen en vrouwen;17 jaar;2005;1;38.5;0.0;0;0.0;0.0
196;Totaal mannen en vrouwen;17 jaar;2006;1;35.7;0.0;0;0.0;0.0
197;Totaal mannen en vrouwen;17 jaar;2007;0;0.0;0.0;0;0.0;0.0
198;Totaal mannen en vrouwen;17 jaar;2008;0;0.0;0.0;0;0.0;0.0
199;Totaal mannen en vrouwen;17 jaar;2009;0;0.0;0.0;0;0.0;0.0
200;Totaal mannen en vrouwen;17 jaar;2010;1;45.5;0.0;0;0.0;0.0
201;Totaal mannen en vrouwen;17 jaar;2011;0;0.0;0.0;0;0.0;0.0
202;Totaal mannen en vrouwen;17 jaar;2012;0;0.0;0.0;0;0.0;0.0
203;Totaal mannen en vrouwen;17 jaar;2013;0;0.0;0.0;0;0.0;0.0
204;Totaal mannen en vrouwen;17 jaar;2014;1;71.4;0.0;0;0.0;0.0
205;Totaal mannen en vrouwen;17 jaar;2015;0;0.0;0.0;0;0.0;0.0
206;Totaal mannen en vrouwen;17 jaar;2016;0;0.0;0.0;0;0.0;0.0
207;Totaal mannen en vrouwen;17 jaar;2017;0;0.0;0.0;0;0.0;0.0
208;Totaal mannen en vrouwen;17 jaar;2018;0;0.0;0.0;0;0.0;0.0
209;Totaal mannen en vrouwen;17 jaar;2019;0;0.0;0.0;0;0.0;0.0
210;Totaal mannen en vrouwen;18 jaar;1950;6;3.8;0.0;0;0.0;0.0
211;Totaal mannen en vrouwen;18 jaar;1951;7;4.2;0.0;2;1.2;0.0
212;Totaal mannen en vrouwen;18 jaar;1952;5;3.0;0.0;0;0.0;0.0
213;Totaal mannen en vrouwen;18 jaar;1953;8;5.0;0.1;2;1.2;0.0
214;Totaal mannen en vrouwen;18 jaar;1954;14;8.3;0.1;1;0.6;0.0
215;Totaal mannen en vrouwen;18 jaar;1955;8;4.6;0.1;0;0.0;0.0
216;Totaal mannen en vrouwen;18 jaar;1956;12;6.5;0.1;0;0.0;0.0
217;Totaal mannen en vrouwen;18 jaar;1957;12;6.0;0.1;0;0.0;0.0
218;Totaal mannen en vrouwen;18 jaar;1958;6;2.8;0.0;2;0.9;0.0
219;Totaal mannen en vrouwen;18 jaar;1959;8;3.4;0.0;1;0.4;0.0
220;Totaal mannen en vrouwen;18 jaar;1960;9;3.4;0.1;5;1.9;0.0
221;Totaal mannen en vrouwen;18 jaar;1961;12;3.9;0.1;1;0.3;0.0
222;Totaal mannen en vrouwen;18 jaar;1962;10;3.0;0.1;2;0.6;0.0
223;Totaal mannen en vrouwen;18 jaar;1963;14;4.1;0.1;1;0.3;0.0
224;Totaal mannen en vrouwen;18 jaar;1964;18;3.8;0.1;3;0.6;0.0
225;Totaal mannen en vrouwen;18 jaar;1965;24;4.8;0.1;4;0.8;0.0
226;Totaal mannen en vrouwen;18 jaar;1966;19;4.2;0.1;2;0.4;0.0
227;Totaal mannen en vrouwen;18 jaar;1967;23;5.1;0.1;3;0.7;0.0
228;Totaal mannen en vrouwen;18 jaar;1968;18;3.9;0.1;4;0.9;0.0
229;Totaal mannen en vrouwen;18 jaar;1969;18;3.6;0.1;4;0.8;0.0
230;Totaal mannen en vrouwen;18 jaar;1970;29;5.3;0.1;5;0.9;0.0
231;Totaal mannen en vrouwen;18 jaar;1971;29;5.1;0.1;4;0.7;0.0
232;Totaal mannen en vrouwen;18 jaar;1972;25;4.3;0.1;5;0.9;0.0
233;Totaal mannen en vrouwen;18 jaar;1973;38;6.7;0.2;1;0.2;0.0
234;Totaal mannen en vrouwen;18 jaar;1974;33;6.4;0.1;5;1.0;0.0
235;Totaal mannen en vrouwen;18 jaar;1975;44;9.1;0.2;3;0.6;0.0
236;Totaal mannen en vrouwen;18 jaar;1976;34;8.2;0.1;4;1.0;0.0
237;Totaal mannen en vrouwen;18 jaar;1977;34;9.2;0.1;4;1.1;0.0
238;Totaal mannen en vrouwen;18 jaar;1978;38;11.4;0.2;2;0.6;0.0
239;Totaal mannen en vrouwen;18 jaar;1979;31;10.7;0.1;1;0.3;0.0
240;Totaal mannen en vrouwen;18 jaar;1980;31;11.1;0.1;3;1.1;0.0
241;Totaal mannen en vrouwen;18 jaar;1981;22;8.7;0.1;0;0.0;0.0
242;Totaal mannen en vrouwen;18 jaar;1982;31;13.7;0.1;2;0.9;0.0
243;Totaal mannen en vrouwen;18 jaar;1983;23;12.1;0.1;2;1.1;0.0
244;Totaal mannen en vrouwen;18 jaar;1984;23;14.5;0.1;4;2.5;0.0
245;Totaal mannen en vrouwen;18 jaar;1985;27;20.1;0.1;2;1.5;0.0
246;Totaal mannen en vrouwen;18 jaar;1986;19;14.7;0.1;2;1.5;0.0
247;Totaal mannen en vrouwen;18 jaar;1987;16;11.7;0.1;1;0.7;0.0
248;Totaal mannen en vrouwen;18 jaar;1988;21;13.5;0.1;1;0.6;0.0
249;Totaal mannen en vrouwen;18 jaar;1989;15;9.7;0.1;3;1.9;0.0
250;Totaal mannen en vrouwen;18 jaar;1990;7;3.8;0.0;0;0.0;0.0
251;Totaal mannen en vrouwen;18 jaar;1991;13;8.3;0.1;2;1.3;0.0
252;Totaal mannen en vrouwen;18 jaar;1992;14;8.9;0.1;1;0.6;0.0
253;Totaal mannen en vrouwen;18 jaar;1993;10;7.8;0.1;1;0.8;0.0
254;Totaal mannen en vrouwen;18 jaar;1994;13;12.7;0.1;1;1.0;0.0
255;Totaal mannen en vrouwen;18 jaar;1995;10;12.7;0.1;1;1.3;0.0
256;Totaal mannen en vrouwen;18 jaar;1996;10;15.9;0.1;0;0.0;0.0
257;Totaal mannen en vrouwen;18 jaar;1997;4;7.0;0.0;0;0.0;0.0
258;Totaal mannen en vrouwen;18 jaar;1998;7;12.2;0.0;1;1.7;0.0
259;Totaal mannen en vrouwen;18 jaar;1999;4;7.2;0.0;0;0.0;0.0
260;Totaal mannen en vrouwen;18 jaar;2000;6;11.7;0.0;0;0.0;0.0
261;Totaal mannen en vrouwen;18 jaar;2001;5;10.5;0.0;1;2.1;0.0
262;Totaal mannen en vrouwen;18 jaar;2002;3;6.1;0.0;1;2.0;0.0
263;Totaal mannen en vrouwen;18 jaar;2003;1;2.2;0.0;0;0.0;0.0
264;Totaal mannen en vrouwen;18 jaar;2004;3;9.6;0.0;0;0.0;0.0
265;Totaal mannen en vrouwen;18 jaar;2005;3;16.8;0.0;0;0.0;0.0
266;Totaal mannen en vrouwen;18 jaar;2006;1;7.2;0.0;0;0.0;0.0
267;Totaal mannen en vrouwen;18 jaar;2007;1;6.7;0.0;0;0.0;0.0
268;Totaal mannen en vrouwen;18 jaar;2008;1;7.9;0.0;0;0.0;0.0
269;Totaal mannen en vrouwen;18 jaar;2009;1;6.8;0.0;0;0.0;0.0
270;Totaal mannen en vrouwen;18 jaar;2010;2;14.3;0.0;0;0.0;0.0
271;Totaal mannen en vrouwen;18 jaar;2011;0;0.0;0.0;0;0.0;0.0
272;Totaal mannen en vrouwen;18 jaar;2012;1;8.5;0.0;0;0.0;0.0
273;Totaal mannen en vrouwen;18 jaar;2013;1;10.8;0.0;0;0.0;0.0
274;Totaal mannen en vrouwen;18 jaar;2014;1;11.8;0.0;0;0.0;0.0
275;Totaal mannen en vrouwen;18 jaar;2015;1;10.9;0.0;0;0.0;0.0
276;Totaal mannen en vrouwen;18 jaar;2016;1;8.4;0.0;1;8.5;0.0
277;Totaal mannen en vrouwen;18 jaar;2017;2;24.4;0.0;0;0.0;0.0
278;Totaal mannen en vrouwen;18 jaar;2018;2;36.4;0.0;0;0.0;0.0
279;Totaal mannen en vrouwen;18 jaar;2019;1;18.9;0.0;0;0.0;0.0
280;Totaal mannen en vrouwen;19 jaar;1950;22;5.7;0.1;4;1.0;0.0
281;Totaal mannen en vrouwen;19 jaar;1951;15;3.5;0.1;2;0.5;0.0
282;Totaal mannen en vrouwen;19 jaar;1952;15;3.5;0.1;5;1.2;0.0
283;Totaal mannen en vrouwen;19 jaar;1953;18;4.0;0.1;10;2.2;0.1
284;Totaal mannen en vrouwen;19 jaar;1954;24;5.7;0.2;3;0.7;0.0
285;Totaal mannen en vrouwen;19 jaar;1955;22;5.0;0.1;3;0.7;0.0
286;Totaal mannen en vrouwen;19 jaar;1956;20;4.4;0.1;2;0.4;0.0
287;Totaal mannen en vrouwen;19 jaar;1957;23;4.6;0.1;6;1.2;0.0
288;Totaal mannen en vrouwen;19 jaar;1958;25;4.8;0.1;3;0.6;0.0
289;Totaal mannen en vrouwen;19 jaar;1959;35;6.1;0.2;3;0.5;0.0
290;Totaal mannen en vrouwen;19 jaar;1960;31;5.0;0.2;5;0.8;0.0
291;Totaal mannen en vrouwen;19 jaar;1961;45;6.5;0.3;4;0.6;0.0
