ID;EnergiedragerTechniek;Perioden;OnttrekkingWarmteUitBodem_1;OnttrekkingKoudeUitBodem_2
176;Bodemwarmte, zonder warmtepompen;1996;11.0;
177;Bodemwarmte, zonder warmtepompen;1997;17.0;
178;Bodemwarmte, zonder warmtepompen;1998;25.0;
179;Bodemwarmte, zonder warmtepompen;1999;35.0;
180;Bodemwarmte, zonder warmtepompen;2000;44.0;
181;Bodemwarmte, zonder warmtepompen;2001;56.0;
182;Bodemwarmte, zonder warmtepompen;2002;66.0;
183;Bodemwarmte, zonder warmtepompen;2003;78.0;
184;Bodemwarmte, zonder warmtepompen;2004;87.0;
185;Bodemwarmte, zonder warmtepompen;2005;108.0;
186;Bodemwarmte, zonder warmtepompen;2006;133.0;
187;Bodemwarmte, zonder warmtepompen;2007;139.0;
188;Bodemwarmte, zonder warmtepompen;2008;164.0;
189;Bodemwarmte, zonder warmtepompen;2009;179.0;
190;Bodemwarmte, zonder warmtepompen;2010;202.0;
191;Bodemwarmte, zonder warmtepompen;2011;172.0;
192;Bodemwarmte, zonder warmtepompen;2012;180.0;
193;Bodemwarmte, zonder warmtepompen;2013;185.0;
194;Bodemwarmte, zonder warmtepompen;2014;169.0;
195;Bodemwarmte, zonder warmtepompen;2015;162.0;
196;Bodemwarmte, zonder warmtepompen;2016;180.0;
197;Bodemwarmte, zonder warmtepompen;2017;176.0;
198;Bodemwarmte, zonder warmtepompen;2018;185.0;
199;Bodemwarmte, zonder warmtepompen;2019;171.0;
200;Bodemwarmte, zonder warmtepompen;2020;193.0;
201;Bodemwarmte, zonder warmtepompen;2021;194.0;
202;Bodemwarmte, zonder warmtepompen;2022;198.0;
203;Bodemwarmte, zonder warmtepompen;2023;198.0;
204;Bodemkoude;1990;;8.0
205;Bodemkoude;1991;;8.0
206;Bodemkoude;1992;;13.0
207;Bodemkoude;1993;;19.0
208;Bodemkoude;1994;;23.0
209;Bodemkoude;1995;;47.0
210;Bodemkoude;1996;;81.0
211;Bodemkoude;1997;;123.0
212;Bodemkoude;1998;;179.0
213;Bodemkoude;1999;;238.0
214;Bodemkoude;2000;;292.0
215;Bodemkoude;2001;;371.0
216;Bodemkoude;2002;;485.0
217;Bodemkoude;2003;;579.0
218;Bodemkoude;2004;;645.0
219;Bodemkoude;2005;;780.0
220;Bodemkoude;2006;;944.0
221;Bodemkoude;2007;;1011.0
222;Bodemkoude;2008;;1200.0
223;Bodemkoude;2009;;1389.0
224;Bodemkoude;2010;;1660.0
225;Bodemkoude;2011;;1646.0
226;Bodemkoude;2012;;1830.0
227;Bodemkoude;2013;;1909.0
228;Bodemkoude;2014;;1850.0
229;Bodemkoude;2015;;1793.0
230;Bodemkoude;2016;;1998.0
231;Bodemkoude;2017;;2163.0
232;Bodemkoude;2018;;2275.0
233;Bodemkoude;2019;;2026.0
234;Bodemkoude;2020;;2374.0
235;Bodemkoude;2021;;2403.0
236;Bodemkoude;2022;;2491.0
237;Bodemkoude;2023;;2507.0
