ID;PlaatsEnGemeentenamen;Gemeentecode_1;Gemeentenaam_2;Provinciecode_3;Provincienaam_4;PlaatsnaamPTTWoonplaatsnaam_5;PlaatsnaamGemeentenaam_6;Plaatsnaam_7
43;44;882;Landgraaf                                       ;31;Limburg      ;nee;nee;Abdissenbosch                                    
44;45;677;Hulst                                           ;29;Zeeland      ;nee;nee;Absdale                                          
45;46;677;Hulst                                           ;29;Zeeland      ;nee;nee;Absdalepolder                                    
46;47;503;Delft                                           ;28;Zuid-Holland ;nee;nee;Abtswoude                                        
47;48;70;Franekeradeel                                   ;21;Friesland    ;ja ;nee;Achlum                                           
48;49;772;Eindhoven                                       ;30;Noord-Brabant;nee;nee;Acht                                             
49;50;340;Rhenen                                          ;26;Utrecht      ;nee;nee;Achterberg                                       
50;51;736;De Ronde Venen                                  ;26;Utrecht      ;nee;nee;Achterbos                                        
51;52;743;Asten                                           ;30;Noord-Brabant;nee;nee;Achterbosch                                      
52;53;1659;Laarbeek                                        ;30;Noord-Brabant;nee;nee;Achterbosch                                      
53;54;491;Bergambacht                                     ;28;Zuid-Holland ;nee;nee;Achterbroek                                      
54;55;847;Someren                                         ;30;Noord-Brabant;nee;nee;Achterbroek                                      
55;56;18;Hoogezand-Sappemeer                             ;20;Groningen    ;nee;nee;Achterdiep                                       
56;57;1709;Moerdijk                                        ;30;Noord-Brabant;nee;nee;Achterdijk                                       
57;58;1876;Bronckhorst                                     ;25;Gelderland   ;nee;nee;Achterdrempt                                     
58;59;866;Waalre                                          ;30;Noord-Brabant;nee;nee;Achtereind                                       
59;60;840;Rucphen                                         ;30;Noord-Brabant;nee;nee;Achterhoek                                       
60;61;642;Zwijndrecht                                     ;28;Zuid-Holland ;nee;nee;Achter-Lindt                                     
61;62;118;Hoogeveen                                       ;22;Drenthe      ;nee;nee;Achterom                                         
62;63;828;Oss                                             ;30;Noord-Brabant;nee;nee;Achterschaijk                                    
63;64;353;IJsselstein                                     ;26;Utrecht      ;nee;nee;Achtersloot                                      
64;65;479;Zaanstad                                        ;27;Noord-Holland;nee;nee;Achtersluispolder                                
65;66;858;Valkenswaard                                    ;30;Noord-Brabant;nee;nee;Achterste Brug                                   
66;67;109;Coevorden                                       ;22;Drenthe      ;nee;nee;Achterste Erm                                    
67;68;1507;Horst aan de Maas                               ;31;Limburg      ;nee;nee;Achterste Hees                                   
68;69;828;Oss                                             ;30;Noord-Brabant;nee;nee;Achterste Heide                                  
69;70;1667;Reusel-De Mierden                               ;30;Noord-Brabant;nee;nee;Achterste Heikant                                
70;71;226;Duiven                                          ;25;Gelderland   ;nee;nee;Achterstehoek                                    
71;72;9;Ten Boer                                        ;20;Groningen    ;nee;nee;Achter-Thesinge                                  
72;73;327;Leusden                                         ;26;Utrecht      ;ja ;nee;Achterveld                                       
73;74;160;Hardenberg                                      ;23;Overijssel   ;nee;nee;Achterveld, In het                               
74;75;1859;Berkelland                                      ;25;Gelderland   ;nee;nee;Achterveld, In het                               
75;76;222;Doetinchem                                      ;25;Gelderland   ;nee;nee;Achterwehl                                       
76;77;310;De Bilt                                         ;26;Utrecht      ;nee;nee;Achterwetering                                   
77;78;420;Medemblik                                       ;27;Noord-Holland;nee;nee;Achterwijzend                                    
78;79;335;Montfoort                                       ;26;Utrecht      ;nee;nee;Achthoven                                        
79;80;707;Zederik                                         ;28;Zuid-Holland ;nee;nee;Achthoven                                        
80;81;580;Oostflakkee                                     ;28;Zuid-Holland ;ja ;nee;Achthuizen                                       
81;82;59;Achtkarspelen                                   ;21;Friesland    ;nee;ja ;Achtkarspelen                                    
82;83;879;Zundert                                         ;30;Noord-Brabant;ja ;nee;Achtmaal                                         
83;84;569;Nieuwkoop                                       ;28;Zuid-Holland ;nee;nee;Achttienhoven                                    
84;85;310;De Bilt                                         ;26;Utrecht      ;nee;nee;Achttienhoven-Westbroek                          
85;86;236;Geldermalsen                                    ;25;Gelderland   ;ja ;nee;Acquoy                                           
86;87;53;Winsum                                          ;20;Groningen    ;ja ;nee;Adorp                                            
87;88;56;Zuidhorn                                        ;20;Groningen    ;ja ;nee;Aduard                                           
88;89;53;Winsum                                          ;20;Groningen    ;nee;nee;Aduarderzijl                                     
89;90;377;Bloemendaal                                     ;27;Noord-Holland;ja ;nee;Aerdenhout                                       
90;91;196;Rijnwaarden                                     ;25;Gelderland   ;ja ;nee;Aerdt                                            
91;92;457;Weesp                                           ;27;Noord-Holland;nee;nee;Aetveldsche Polder                               
92;93;225;Druten                                          ;25;Gelderland   ;ja ;nee;Afferden                                         
93;94;893;Bergen (L.)                                     ;31;Limburg      ;ja ;nee;Afferden                                         
94;95;1774;Dinkelland                                      ;23;Overijssel   ;ja ;nee;Agelo                                            
95;96;48;Vlagtwedde                                      ;20;Groningen    ;nee;nee;Agobuurt                                         
96;97;893;Bergen (L.)                                     ;31;Limburg      ;nee;nee;Aijen                                            
97;98;383;Castricum                                       ;27;Noord-Holland;ja ;nee;Akersloot                                        
98;99;85;Ooststellingwerf                                ;21;Friesland    ;nee;nee;Akinga                                           
99;100;1674;Roosendaal                                      ;30;Noord-Brabant;nee;nee;Akker                                            
100;101;861;Veldhoven                                       ;30;Noord-Brabant;nee;nee;Akkereind                                        
101;102;1714;Sluis                                           ;29;Zeeland      ;nee;nee;Akkerput                                         
102;103;1891;Dantumadiel                                     ;21;Friesland    ;nee;nee;Akkerwoude                                       
103;104;55;Boarnsterhim                                    ;21;Friesland    ;ja ;nee;Akkrum                                           
104;105;51;Skarsterlân                                     ;21;Friesland    ;ja ;nee;Akmarijp                                         
105;106;183;Tubbergen                                       ;23;Overijssel   ;ja ;nee;Albergen                                         
106;107;482;Alblasserdam                                    ;28;Zuid-Holland ;ja ;ja ;Alblasserdam                                     
107;108;613;Albrandswaard                                   ;28;Zuid-Holland ;nee;ja ;Albrandswaard                                    
108;109;55;Boarnsterhim                                    ;21;Friesland    ;ja ;nee;Aldeboarn                                        
109;110;737;Tytsjerksteradiel                               ;21;Friesland    ;nee;nee;Aldemiede                                        
110;111;737;Tytsjerksteradiel                               ;21;Friesland    ;nee;nee;Aldtsjerk                                        
111;112;263;Maasdriel                                       ;25;Gelderland   ;ja ;nee;Alem                                             
112;113;344;Utrecht                                         ;26;Utrecht      ;nee;nee;Alendorp                                         
113;114;177;Raalte                                          ;23;Overijssel   ;nee;nee;Alerdink                                         
114;115;53;Winsum                                          ;20;Groningen    ;nee;nee;Alinghuizen                                      
115;116;1884;Kaag en Braassem                                ;28;Zuid-Holland ;nee;nee;Alkemade                                         
116;117;361;Alkmaar                                         ;27;Noord-Holland;ja ;ja ;Alkmaar                                          
117;118;53;Winsum                                          ;20;Groningen    ;nee;nee;Allersma                                         
118;119;710;Wûnseradiel                                     ;21;Friesland    ;ja ;nee;Allingawier                                      
119;120;141;Almelo                                          ;23;Overijssel   ;ja ;ja ;Almelo                                           
120;121;262;Lochem                                          ;25;Gelderland   ;ja ;nee;Almen                                            
121;122;72;Harlingen                                       ;21;Friesland    ;nee;nee;Almenum                                          
122;123;34;Almere                                          ;24;Flevoland    ;ja ;ja ;Almere                                           
123;124;34;Almere                                          ;24;Flevoland    ;nee;nee;Almere-Buiten                                    
124;125;34;Almere                                          ;24;Flevoland    ;nee;nee;Almere-Haven                                     
125;126;34;Almere                                          ;24;Flevoland    ;nee;nee;Almere-Stad                                      
126;127;874;Woudrichem                                      ;30;Noord-Brabant;ja ;nee;Almkerk                                          
127;128;668;West Maas en Waal                               ;25;Gelderland   ;ja ;nee;Alphen                                           
128;129;1723;Alphen-Chaam                                    ;30;Noord-Brabant;ja ;nee;Alphen                                           
129;130;484;Alphen aan den Rijn                             ;28;Zuid-Holland ;ja ;ja ;Alphen aan den Rijn                              
130;131;1723;Alphen-Chaam                                    ;30;Noord-Brabant;nee;ja ;Alphen-Chaam                                     
131;132;1699;Noordenveld                                     ;22;Drenthe      ;nee;nee;Altena                                           
132;133;37;Stadskanaal                                     ;20;Groningen    ;ja ;nee;Alteveer                                         
133;134;118;Hoogeveen                                       ;22;Drenthe      ;ja ;nee;Alteveer                                         
134;135;202;Arnhem                                          ;25;Gelderland   ;nee;nee;Alteveer                                         
135;136;1690;De Wolden                                       ;22;Drenthe      ;ja ;nee;Alteveer                                         
136;137;1699;Noordenveld                                     ;22;Drenthe      ;ja ;nee;Alteveer                                         
137;138;668;West Maas en Waal                               ;25;Gelderland   ;ja ;nee;Altforst                                         
138;139;1731;Midden-Drenthe                                  ;22;Drenthe      ;nee;nee;Alting                                           
139;140;1731;Midden-Drenthe                                  ;22;Drenthe      ;nee;nee;Alting-Klatering                                 
140;141;988;Weert                                           ;31;Limburg      ;nee;nee;Altweert                                         
141;142;988;Weert                                           ;31;Limburg      ;nee;nee;Altweerterheide                                  
142;143;296;Wijchen                                         ;25;Gelderland   ;nee;nee;Alverna                                          
143;144;820;Nuenen, Gerwen en Nederwetten                   ;30;Noord-Brabant;nee;nee;Alvershool                                       
144;145;1735;Hof van Twente                                  ;23;Overijssel   ;ja ;nee;Ambt Delden                                      
145;146;1669;Roerdalen                                       ;31;Limburg      ;nee;nee;Ambt Montfort                                    
146;147;935;Maastricht                                      ;31;Limburg      ;nee;nee;Amby                                             
147;148;707;Zederik                                         ;28;Zuid-Holland ;ja ;nee;Ameide                                           
148;149;60;Ameland                                         ;21;Friesland    ;nee;ja ;Ameland                                          
149;150;106;Assen                                           ;22;Drenthe      ;nee;nee;Amelte                                           
150;151;1680;Aa en Hunze                                     ;22;Drenthe      ;ja ;nee;Amen                                             
151;152;1507;Horst aan de Maas                               ;31;Limburg      ;ja ;nee;America                                          
152;153;1581;Utrechtse Heuvelrug                             ;26;Utrecht      ;ja ;nee;Amerongen                                        
153;154;307;Amersfoort                                      ;26;Utrecht      ;ja ;ja ;Amersfoort                                       
154;155;342;Soest                                           ;26;Utrecht      ;nee;nee;Amersfoortsestraat                               
155;156;491;Bergambacht                                     ;28;Zuid-Holland ;ja ;nee;Ammerstol                                        
156;157;263;Maasdriel                                       ;25;Gelderland   ;ja ;nee;Ammerzoden                                       
157;158;262;Lochem                                          ;25;Gelderland   ;nee;nee;Ampsen                                           
158;159;305;Abcoude                                         ;26;Utrecht      ;nee;nee;Amstel, Langs de                                 
159;160;362;Amstelveen                                      ;27;Noord-Holland;nee;nee;Amsteldijk                                       
160;161;828;Oss                                             ;30;Noord-Brabant;nee;nee;Amsteleind                                       
161;162;736;De Ronde Venen                                  ;26;Utrecht      ;ja ;nee;Amstelhoek                                       
162;163;362;Amstelveen                                      ;27;Noord-Holland;ja ;ja ;Amstelveen                                       
163;164;962;Schinnen                                        ;31;Limburg      ;ja ;nee;Amstenrade                                       
164;165;363;Amsterdam                                       ;27;Noord-Holland;ja ;ja ;Amsterdam                                        
165;166;114;Emmen                                           ;22;Drenthe      ;nee;nee;Amsterdamsche Veld                               
166;167;363;Amsterdam                                       ;27;Noord-Holland;ja ;nee;Amsterdam-Zuidoost                               
167;168;10;Delfzijl                                        ;20;Groningen    ;nee;nee;Amsweer                                          
168;169;874;Woudrichem                                      ;30;Noord-Brabant;ja ;nee;Andel                                            
169;170;53;Winsum                                          ;20;Groningen    ;ja ;nee;Andel, Den                                       
170;171;1734;Overbetuwe                                      ;25;Gelderland   ;ja ;nee;Andelst                                          
171;172;1680;Aa en Hunze                                     ;22;Drenthe      ;ja ;nee;Anderen                                          
172;173;364;Andijk                                          ;27;Noord-Holland;ja ;ja ;Andijk                                           
173;174;160;Hardenberg                                      ;23;Overijssel   ;ja ;nee;Ane                                              
174;175;160;Hardenberg                                      ;23;Overijssel   ;ja ;nee;Anerveen                                         
175;176;160;Hardenberg                                      ;23;Overijssel   ;ja ;nee;Anevelde                                         
176;177;114;Emmen                                           ;22;Drenthe      ;nee;nee;Angelslo                                         
177;178;1705;Lingewaard                                      ;25;Gelderland   ;ja ;nee;Angeren                                          
178;179;299;Zevenaar                                        ;25;Gelderland   ;ja ;nee;Angerlo                                          
179;180;1690;De Wolden                                       ;22;Drenthe      ;nee;nee;Anholt                                           
180;181;58;Dongeradeel                                     ;21;Friesland    ;ja ;nee;Anjum                                            
181;182;1696;Wijdemeren                                      ;27;Noord-Holland;ja ;nee;Ankeveen                                         
182;183;1696;Wijdemeren                                      ;27;Noord-Holland;nee;nee;Ankeveense Rade                                  
183;184;200;Apeldoorn                                       ;25;Gelderland   ;nee;nee;Anklaar                                          
184;185;148;Dalfsen                                         ;23;Overijssel   ;nee;nee;Ankum                                            
185;186;1680;Aa en Hunze                                     ;22;Drenthe      ;ja ;nee;Anloo                                            
186;187;716;Tholen                                          ;29;Zeeland      ;nee;nee;Anna Jacobapolder                                
187;188;366;Anna Paulowna                                   ;27;Noord-Holland;ja ;ja ;Anna Paulowna                                    
188;189;935;Maastricht                                      ;31;Limburg      ;nee;nee;Annadal                                          
189;190;683;Wymbritseradiel                                 ;21;Friesland    ;nee;nee;Anneburen                                        
190;191;1680;Aa en Hunze                                     ;22;Drenthe      ;ja ;nee;Annen                                            
191;192;1711;Echt-Susteren                                   ;31;Limburg      ;nee;nee;Annendaal                                        
192;193;1680;Aa en Hunze                                     ;22;Drenthe      ;nee;nee;Annerveen                                        
193;194;1680;Aa en Hunze                                     ;22;Drenthe      ;ja ;nee;Annerveenschekanaal                              
194;195;106;Assen                                           ;22;Drenthe      ;nee;nee;Anreep                                           
195;196;1690;De Wolden                                       ;22;Drenthe      ;ja ;nee;Ansen                                            
196;197;48;Vlagtwedde                                      ;20;Groningen    ;ja ;nee;Apel, Ter                                        
197;198;200;Apeldoorn                                       ;25;Gelderland   ;ja ;ja ;Apeldoorn                                        
198;199;48;Vlagtwedde                                      ;20;Groningen    ;ja ;nee;Apelkanaal, Ter                                  
199;200;150;Deventer                                        ;23;Overijssel   ;nee;nee;Apenhuizen                                       
200;201;230;Elburg                                          ;25;Gelderland   ;nee;nee;Aperloo                                          
201;202;267;Nijkerk                                         ;25;Gelderland   ;nee;nee;Appel                                            
202;203;85;Ooststellingwerf                                ;21;Friesland    ;ja ;nee;Appelscha                                        
203;204;668;West Maas en Waal                               ;25;Gelderland   ;ja ;nee;Appeltern                                        
204;205;285;Voorst                                          ;25;Gelderland   ;nee;nee;Appen (Scheveld)                                 
205;206;3;Appingedam                                      ;20;Groningen    ;ja ;ja ;Appingedam                                       
206;207;983;Venlo                                           ;31;Limburg      ;ja ;nee;Arcen                                            
207;208;175;Ommen                                           ;23;Overijssel   ;nee;nee;Archem                                           
208;209;755;Boekel                                          ;30;Noord-Brabant;nee;nee;Arendsnest                                       
209;210;951;Nuth                                            ;31;Limburg      ;nee;nee;Arensgenhout                                     
210;211;689;Giessenlanden                                   ;28;Zuid-Holland ;ja ;nee;Arkel                                            
211;212;70;Franekeradeel                                   ;21;Friesland    ;nee;nee;Arkens                                           
212;213;710;Wûnseradiel                                     ;21;Friesland    ;nee;nee;Arkum                                            
213;214;1690;De Wolden                                       ;22;Drenthe      ;nee;nee;Arlo, Ten                                        
214;215;262;Lochem                                          ;25;Gelderland   ;nee;nee;Armhoede                                         
215;216;1690;De Wolden                                       ;22;Drenthe      ;nee;nee;Armweide                                         
216;217;687;Middelburg                                      ;29;Zeeland      ;ja ;nee;Arnemuiden                                       
217;218;202;Arnhem                                          ;25;Gelderland   ;ja ;ja ;Arnhem                                           
218;219;534;Hillegom                                        ;28;Zuid-Holland ;nee;nee;Arnoud                                           
219;220;175;Ommen                                           ;23;Overijssel   ;ja ;nee;Arriën                                           
220;221;175;Ommen                                           ;23;Overijssel   ;nee;nee;Arriërveld                                       
221;222;710;Wûnseradiel                                     ;21;Friesland    ;ja ;nee;Arum                                             
222;223;10;Delfzijl                                        ;20;Groningen    ;nee;nee;Arwerd                                           
223;224;1640;Leudal                                          ;31;Limburg      ;nee;nee;As                                               
224;225;214;Buren                                           ;25;Gelderland   ;ja ;nee;Asch                                             
225;226;1659;Laarbeek                                        ;30;Noord-Brabant;nee;nee;Asdonk                                           
226;227;957;Roermond                                        ;31;Limburg      ;nee;nee;Asenray                                          
227;228;733;Lingewaal                                       ;25;Gelderland   ;ja ;nee;Asperen                                          
228;229;327;Leusden                                         ;26;Utrecht      ;nee;nee;Asschat                                          
229;230;200;Apeldoorn                                       ;25;Gelderland   ;nee;nee;Assel                                            
230;231;957;Roermond                                        ;31;Limburg      ;nee;nee;Asselt                                           
231;232;106;Assen                                           ;22;Drenthe      ;ja ;ja ;Assen                                            
232;233;479;Zaanstad                                        ;27;Noord-Holland;ja ;nee;Assendelft                                       
233;234;193;Zwolle                                          ;23;Overijssel   ;nee;nee;Assendorp                                        
234;235;450;Uitgeest                                        ;27;Noord-Holland;nee;nee;Assum                                            
235;236;396;Heemskerk                                       ;27;Noord-Holland;nee;nee;Assumburg                                        
236;237;743;Asten                                           ;30;Noord-Brabant;ja ;ja ;Asten                                            
237;238;777;Etten-Leur                                      ;30;Noord-Brabant;nee;nee;Atterlaken                                       
238;239;710;Wûnseradiel                                     ;21;Friesland    ;nee;nee;Atzeburen                                        
239;240;79;Kollumerland en Nieuwkruisland                  ;21;Friesland    ;ja ;nee;Augsbuurt                                        
240;241;59;Achtkarspelen                                   ;21;Friesland    ;ja ;nee;Augustinusga                                     
241;242;355;Zeist                                           ;26;Utrecht      ;ja ;nee;Austerlitz                                       
242;243;748;Bergen op Zoom                                  ;30;Noord-Brabant;nee;nee;Auvergnepolder                                   
243;244;1598;Koggenland                                      ;27;Noord-Holland;ja ;nee;Avenhorn                                         
244;245;160;Hardenberg                                      ;23;Overijssel   ;nee;nee;Avereest                                         
245;246;150;Deventer                                        ;23;Overijssel   ;nee;nee;Averlo                                           
246;247;1859;Berkelland                                      ;25;Gelderland   ;nee;nee;Avest                                            
247;248;281;Tiel                                            ;25;Gelderland   ;nee;nee;Avezaath                                         
248;249;715;Terneuzen                                       ;29;Zeeland      ;ja ;nee;Axel                                             
249;250;715;Terneuzen                                       ;29;Zeeland      ;nee;nee;Axelsche Sassing                                 
250;251;478;Zeevang                                         ;27;Noord-Holland;nee;nee;Axwijk                                           
251;252;1735;Hof van Twente                                  ;23;Overijssel   ;nee;nee;Azelo                                            
252;253;1955;Montferland                                     ;25;Gelderland   ;ja ;nee;Azewijn                                          
253;254;93;Terschelling                                    ;21;Friesland    ;ja ;nee;Baaiduinen                                       
254;255;140;Littenseradiel                                  ;21;Friesland    ;ja ;nee;Baaium                                           
255;256;1876;Bronckhorst                                     ;25;Gelderland   ;ja ;nee;Baak                                             
256;257;1711;Echt-Susteren                                   ;31;Limburg      ;nee;nee;Baakhoven                                        
257;258;965;Simpelveld                                      ;31;Limburg      ;nee;nee;Baaks                                            
258;259;1705;Lingewaard                                      ;25;Gelderland   ;nee;nee;Baal                                             
259;260;160;Hardenberg                                      ;23;Overijssel   ;nee;nee;Baalder                                          
260;261;677;Hulst                                           ;29;Zeeland      ;nee;nee;Baalhoek                                         
261;262;305;Abcoude                                         ;26;Utrecht      ;ja ;nee;Baambrugge                                       
262;263;736;De Ronde Venen                                  ;26;Utrecht      ;nee;nee;Baambrugse Zuwe                                  
263;264;10;Delfzijl                                        ;20;Groningen    ;nee;nee;Baamsum                                          
264;265;809;Loon op Zand                                    ;30;Noord-Brabant;nee;nee;Baan                                             
265;266;870;Werkendam                                       ;30;Noord-Brabant;nee;nee;Baan, De                                         
266;267;140;Littenseradiel                                  ;21;Friesland    ;ja ;nee;Baard                                            
267;268;140;Littenseradiel                                  ;21;Friesland    ;nee;nee;Baarderadeel                                     
268;269;80;Leeuwarden                                      ;21;Friesland    ;nee;nee;Baarderburen                                     
269;270;710;Wûnseradiel                                     ;21;Friesland    ;nee;nee;Baarderburen                                     
270;271;867;Waalwijk                                        ;30;Noord-Brabant;nee;nee;Baardwijk                                        
271;272;654;Borsele                                         ;29;Zeeland      ;ja ;nee;Baarland                                         
272;273;744;Baarle-Nassau                                   ;30;Noord-Brabant;ja ;ja ;Baarle-Nassau                                    
273;274;744;Baarle-Nassau                                   ;30;Noord-Brabant;nee;nee;Baarle-Nassau-Grens                              
274;275;1894;Peel en Maas                                    ;31;Limburg      ;ja ;nee;Baarlo                                           
275;276;1708;Steenwijkerland                                 ;23;Overijssel   ;ja ;nee;Baarlo                                           
276;277;1896;Zwartewaterland                                 ;23;Overijssel   ;ja ;nee;Baarlo                                           
277;278;308;Baarn                                           ;26;Utrecht      ;ja ;ja ;Baarn                                            
278;279;1708;Steenwijkerland                                 ;23;Overijssel   ;ja ;nee;Baars                                            
279;280;798;Hilvarenbeek                                    ;30;Noord-Brabant;nee;nee;Baarschot                                        
280;281;654;Borsele                                         ;29;Zeeland      ;nee;nee;Baarsdorp                                        
281;282;1598;Koggenland                                      ;27;Noord-Holland;nee;nee;Baarsdorpermeer                                  
282;283;1641;Maasgouw                                        ;31;Limburg      ;nee;nee;Baarstraat                                       
283;284;299;Zevenaar                                        ;25;Gelderland   ;ja ;nee;Babberich                                        
284;285;710;Wûnseradiel                                     ;21;Friesland    ;nee;nee;Baburen                                          
285;286;738;Aalburg                                         ;30;Noord-Brabant;ja ;nee;Babyloniënbroek                                  
286;287;394;Haarlemmermeer                                  ;27;Noord-Holland;ja ;nee;Badhoevedorp                                     
287;288;1640;Leudal                                          ;31;Limburg      ;ja ;nee;Baexem                                           
288;289;53;Winsum                                          ;20;Groningen    ;ja ;nee;Baflo                                            
289;290;299;Zevenaar                                        ;25;Gelderland   ;nee;nee;Bahr en Lathum                                   
290;291;1652;Gemert-Bakel                                    ;30;Noord-Brabant;ja ;nee;Bakel                                            
291;292;1652;Gemert-Bakel                                    ;30;Noord-Brabant;nee;nee;Bakelsebrug                                      
292;293;762;Deurne                                          ;30;Noord-Brabant;nee;nee;Bakelsedijk                                      
293;294;202;Arnhem                                          ;25;Gelderland   ;nee;nee;Bakenberg                                        
294;295;654;Borsele                                         ;29;Zeeland      ;nee;nee;Bakendorp                                        
295;296;785;Goirle                                          ;30;Noord-Brabant;nee;nee;Bakertand                                        
296;297;889;Beesel                                          ;31;Limburg      ;nee;nee;Bakheide                                         
297;298;653;Gaasterlân-Sleat                                ;21;Friesland    ;ja ;nee;Bakhuizen                                        
298;299;1714;Sluis                                           ;29;Zeeland      ;nee;nee;Bakkersdam                                       
299;300;86;Opsterland                                      ;21;Friesland    ;ja ;nee;Bakkeveen                                        
300;301;383;Castricum                                       ;27;Noord-Holland;nee;nee;Bakkum                                           
301;302;48;Vlagtwedde                                      ;20;Groningen    ;nee;nee;Bakovensmee                                      
302;303;296;Wijchen                                         ;25;Gelderland   ;ja ;nee;Balgoij                                          
303;304;1731;Midden-Drenthe                                  ;22;Drenthe      ;ja ;nee;Balinge                                          
304;305;653;Gaasterlân-Sleat                                ;21;Friesland    ;ja ;nee;Balk                                             
305;306;160;Hardenberg                                      ;23;Overijssel   ;ja ;nee;Balkbrug                                         
306;307;109;Coevorden                                       ;22;Drenthe      ;nee;nee;Ballast                                          
307;308;1723;Alphen-Chaam                                    ;30;Noord-Brabant;nee;nee;Balleman                                         
308;309;51;Skarsterlân                                     ;21;Friesland    ;nee;nee;Ballingbuur                                      
309;310;1680;Aa en Hunze                                     ;22;Drenthe      ;ja ;nee;Balloërveld                                      
310;311;1680;Aa en Hunze                                     ;22;Drenthe      ;ja ;nee;Balloo                                           
311;312;60;Ameland                                         ;21;Friesland    ;ja ;nee;Ballum                                           
312;313;56;Zuidhorn                                        ;20;Groningen    ;nee;nee;Balmahuizen                                      
313;314;683;Wymbritseradiel                                 ;21;Friesland    ;nee;nee;Band                                             
314;315;668;West Maas en Waal                               ;25;Gelderland   ;nee;nee;Bandijk                                          
315;316;82;Lemsterland                                     ;21;Friesland    ;nee;nee;Bandsloot                                        
316;317;965;Simpelveld                                      ;31;Limburg      ;ja ;nee;Baneheide                                        
317;318;405;Hoorn                                           ;27;Noord-Holland;nee;nee;Bangert                                          
