ID;Perioden;BrutoBinnenlandsProductMarktprijzen_1;Afschrijvingen_2;ExploitatieoverschotNetto_3;NationaalInkomenNetto_4;BeschikbaarNationaalInkomenNetto_5;NationaleBesparingenNetto_6;InvesteringenBruto_7;NationaalVorderingensaldo_8;VeranderingInFinancieelVermogen_9;ArbeidsvolumeWerkzamePersonen_10;Productiewaarde_11;BrutoToegevoegdeWaarde_12;ExploitatieoverschotNetto_13;NettowinstVoorBelasting_14;Winstquote_15;InvesteringenBruto_16;Investeringsquote_17;ArbeidsvolumeWerknemers_18;BrutoToegevoegdeWaarde_19;NettowinstVoorBelasting_20;FinancieleActiva_21;SaldoKredietenAanPrivateSector_22;KredietAanPrivateSectorUltimoStand_23;ArbeidsvolumeWerknemers_24;TotaalInkomsten_25;BelastingEnPremieontvangsten_26;TotaalUitgaven_27;OverheidsschuldEMU_28;OverheidssaldoEMU_29;ArbeidsvolumeWerknemers_30;GemengdInkomenNetto_31;BeschikbaarInkomenNetto_32;NettoReeelBeschikbaarInkomen_33;ConsumptieveBestedingenBruto_34;VrijeIndividueleBesparingenNetto_35;Spaarquote_36;InvesteringenBruto_37;Investeringsquote_38;TotaalVorderingen_39;SpaartegoedenEnOverigeDepositoS_40;AandelenEnOverigeDeelnemingen_41;VoorzieningenLevensverzekeringen_42;VoorzieningenPensioenverzekeringen_43;TotaalSchulden_44;Woninghypotheken_45;SaldoOpgenomenEnAfgelosteHypotheken_46;ArbeidsvolumeWerknemers_47;ArbeidsvolumeZelfstandigen_48;AandeelUitvoeroverschotInBbp_49;Uitvoeroverschot_50;SaldoPrimaireInkomensBuitenland_51;SaldoInkomensoverdrachtenBuitenland_52;SaldoKapitaaloverdrachtenBuitenland_53
33;2002;465214;69427;106231;400041;393399;50399;91587.0;27272;26628.0;6619.5;609124.0;263024.0;64898.0;63198.0;38.9;43115.0;16.8;4044.2;26293.0;48549.0;3400265.0;50771.0;587785.0;234.5;44.1;37.2;46.2;50.5;-2.1;1068.6;34897.0;235462.0;-0.6;233043.0;2419.0;13.9;30530.0;11.4;1171544.0;190898.0;198631.0;120823.0;507776.0;447351.0;367019.0;31224.0;503.1;769.2;6.5;30338.0;4254.0;-6642.0;-967.0
34;2003;476945;71461;107387;410907;404455;49831;92089.0;28181;29875.0;6547.2;610236.0;266631.0;63583.0;68708.0;38.1;39827.0;15.2;3981.9;30357.0;43426.0;3743976.0;63321.0;654759.0;232.0;43.9;36.9;47.1;52.0;-3.1;1071.1;33794.0;235004.0;-2.5;238103.0;-3099.0;13.1;31893.0;11.7;1253154.0;207759.0;211102.0;121718.0;557255.0;495930.0;409585.0;39269.0;491.3;770.9;6.3;29960.0;5423.0;-6452.0;-1022.0
35;2004;491184;73498;111614;430835;423343;61913;93244.0;40847;40443.0;6480.1;632981.0;273709.0;66561.0;81534.0;38.5;42189.0;15.1;3935.3;31614.0;62796.0;3994588.0;52977.0;708445.0;226.5;44.3;37.1;46.1;52.4;-1.7;1051.6;34248.0;238737.0;0.6;242781.0;-4044.0;13.0;32076.0;11.5;1341901.0;221234.0;218240.0;135969.0;608308.0;534252.0;444429.0;34530.0;486.0;780.7;7.4;36217.0;13149.0;-7492.0;-1320.0
36;2005 1e kwartaal;124851;18598;33867;108846;106222;16724;23298.0;11735;14346.0;;164421.0;70654.0;21306.0;25858.0;44.2;10628.0;14.9;;8410.0;10601.0;4147176.0;8851.0;711546.0;;44.4;37.1;45.7;51.8;;;9008.0;55306.0;;61160.0;-5854.0;5.3;8717.0;13.4;1379524.0;226189.0;222297.0;139373.0;630714.0;542805.0;452003.0;7586.0;;;9.6;11958.0;2593.0;-2624.0;-289.0
37;2005 2e kwartaal;130213;18814;23347;111023;109646;15169;24408.0;9135;5455.0;;168036.0;71368.0;11847.0;18127.0;30.6;10138.0;15.5;;8501.0;21684.0;4314835.0;23337.0;734643.0;;44.2;37.0;45.3;54.1;;;8375.0;74870.0;;62620.0;12250.0;28.4;9058.0;10.6;1415319.0;232867.0;222051.0;143877.0;645990.0;556656.0;465005.0;12997.0;;;8.6;11229.0;-376.0;-1377.0;-440.0
38;2005 3e kwartaal;124278;19035;32306;102849;101016;8780;22613.0;4866;7206.0;;162133.0;69376.0;19883.0;26700.0;43.2;10498.0;15.1;;8855.0;19002.0;4441441.0;10248.0;744392.0;;44.2;37.1;45.0;52.7;;;8456.0;58054.0;;63167.0;-5113.0;7.7;8311.0;12.4;1448689.0;234020.0;222086.0;149813.0;674806.0;565878.0;473512.0;8508.0;;;7.5;9329.0;-2394.0;-1833.0;-336.0
39;2005 4e kwartaal;134065;19262;34814;117458;115073;19654;27295.0;10935;10139.0;;176919.0;75764.0;22469.0;21968.0;43.1;12958.0;15.3;;8071.0;21168.0;4576489.0;32791.0;775183.0;;44.5;37.1;44.8;51.8;;;9662.0;54777.0;;63396.0;-8619.0;2.4;9187.0;13.7;1487784.0;234755.0;225766.0;153624.0;697934.0;590740.0;496712.0;23213.0;;;8.4;11249.0;2655.0;-2385.0;-686.0
40;2005;513407;75709;124334;440176;431957;60327;97614.0;36671;37146.0;6478.0;671509.0;287162.0;75505.0;92653.0;40.3;44222.0;15.2;3924.8;33837.0;72455.0;4576489.0;75227.0;775183.0;224.9;44.5;37.1;44.8;51.8;-0.3;1047.6;35501.0;243007.0;-0.3;250343.0;-7336.0;12.3;35273.0;12.4;1487784.0;234755.0;225766.0;153624.0;697934.0;590740.0;496712.0;52304.0;485.2;795.4;8.5;43765.0;2478.0;-8219.0;-1751.0
41;2006 1e kwartaal;132488;19307;37213;116627;114464;20017;25548.0;13340;14769.0;;179909.0;75105.0;24754.0;29956.0;46.3;12062.0;14.9;;8573.0;22145.0;4749088.0;17936.0;790800.0;;44.9;37.6;45.0;51.0;-0.1;;9259.0;53841.0;;62759.0;-8918.0;1.3;9234.0;14.7;1524247.0;239778.0;224795.0;156898.0;726309.0;603465.0;512196.0;15485.0;;;9.4;12390.0;3446.0;-2163.0;-436.0
42;2006 2e kwartaal;136691;19531;23816;125647;124133;24513;26394.0;17138;17522.0;;179912.0;74801.0;11140.0;20469.0;28.7;10716.0;16.0;;8171.0;19127.0;4867085.0;15978.0;805825.0;;45.6;38.0;45.3;50.6;0.4;;9971.0;77900.0;;64107.0;13793.0;28.8;10521.0;11.4;1520925.0;246105.0;220108.0;160135.0;701997.0;617219.0;523368.0;11168.0;;;7.7;10571.0;8487.0;-1514.0;-512.0
43;2006 3e kwartaal;129982;19760;35810;112486;110728;14435;25094.0;8662;6674.0;;172584.0;73577.0;23346.0;25946.0;45.9;10725.0;14.3;;6962.0;22668.0;5035953.0;21525.0;826718.0;;45.9;38.2;45.5;49.6;0.4;;10650.0;58257.0;;64274.0;-6017.0;6.7;8867.0;13.0;1549093.0;247548.0;226666.0;163767.0;731450.0;621507.0;525812.0;2456.0;;;6.5;8485.0;2264.0;-1758.0;-439.0
44;2006 4e kwartaal;141055;19996;36670;121387;118802;19278;31057.0;7716;8449.0;;187676.0;80729.0;23523.0;24705.0;42.3;14361.0;15.8;;7371.0;21355.0;5156288.0;32992.0;861065.0;;46.1;38.5;45.5;47.4;0.5;;11253.0;59616.0;0.5;63735.0;-4119.0;6.0;10349.0;15.1;1574238.0;246070.0;236923.0;160178.0;746053.0;640817.0;541261.0;15466.0;;;7.3;10360.0;328.0;-2585.0;-501.0
45;2006;540216;78594;133509;476147;468127;78243;108093.0;46856;47414.0;6582.8;720081.0;304212.0;82763.0;101076.0;40.8;47864.0;15.2;4003.6;31077.0;85295.0;5156288.0;88431.0;861065.0;233.1;46.1;38.5;45.5;47.4;0.5;1044.5;41133.0;249614.0;0.5;254875.0;-5261.0;12.2;38971.0;13.4;1574238.0;246070.0;236923.0;160178.0;746053.0;640817.0;541261.0;44575.0;491.4;810.2;7.7;41806.0;14525.0;-8020.0;-1888.0
46;2007 1e kwartaal;139690;20162;38741;120925;118533;20005;28120.0;11379;12654.0;;189586.0;80030.0;26485.0;30910.0;45.9;12231.0;14.7;;7248.0;18926.0;5372143.0;19440.0;882576.0;;46.3;38.4;45.6;47.7;0.8;;10584.0;54718.0;1.7;64793.0;-10075.0;2.2;10670.0;16.4;1597522.0;251612.0;242282.0;163425.0;765765.0;653902.0;552941.0;11805.0;;;9.3;12969.0;1397.0;-2392.0;-668.0
47;2007 2e kwartaal;143852;20395;27498;128395;126831;23399;28853.0;14564;14770.0;;190781.0;80367.0;15306.0;25536.0;32.6;12510.0;16.2;;7126.0;35512.0;5532713.0;9357.0;891834.0;;45.8;38.2;45.5;48.1;0.3;;10926.0;81473.0;2.0;65832.0;15641.0;29.7;11436.0;12.2;1625823.0;260812.0;243641.0;166814.0;774196.0;656948.0;555832.0;3119.0;;;8.0;11491.0;4938.0;-1564.0;-377.0
48;2007 3e kwartaal;138091;20634;38742;120115;118007;17271;27925.0;9942;11640.0;;186682.0;78715.0;25145.0;31766.0;45.7;12294.0;14.5;;6951.0;24517.0;5700592.0;11852.0;902649.0;;45.2;38.0;45.5;46.9;-0.2;;11988.0;61709.0;3.4;66385.0;-4676.0;7.1;9869.0;13.3;1650962.0;262734.0;243078.0;167770.0;794817.0;668558.0;568076.0;12121.0;;;6.8;9349.0;2658.0;-2108.0;-38.0
49;2007 4e kwartaal;150140;20881;38233;129768;127075;22147;31909.0;11016;9307.0;;205616.0;86092.0;24267.0;27723.0;41.1;16165.0;17.0;;7282.0;34340.0;6029155.0;3217.0;905099.0;;45.4;38.1;45.3;45.3;0.2;;12491.0;63018.0;2.7;67089.0;-4071.0;7.3;10632.0;14.9;1646800.0;264525.0;242968.0;169335.0;783645.0;680948.0;580717.0;12712.0;;;8.8;13186.0;509.0;-2693.0;-103.0
50;2007;571773;82072;143214;499203;490446;82822;116807.0;46901;48371.0;6728.3;772665.0;325204.0;91203.0;115935.0;41.3;53200.0;15.6;4105.3;28607.0;113295.0;6029155.0;43866.0;905099.0;231.8;45.4;38.1;45.3;45.3;0.2;1058.7;45989.0;260918.0;2.7;264099.0;-3181.0;13.0;42607.0;14.0;1646800.0;264525.0;242968.0;169335.0;783645.0;680948.0;580717.0;39757.0;509.6;822.9;8.2;46995.0;9502.0;-8757.0;-1186.0
51;2008 1e kwartaal;147240;20983;41905;122899;120487;17750;29715.0;8132;7093.0;;206212.0;84643.0;27276.0;30165.0;45.3;12154.0;14.5;;7859.0;18801.0;6060037.0;20706.0;925747.0;;45.6;38.1;45.4;46.3;0.2;;12443.0;58446.0;3.9;66997.0;-8551.0;4.2;11229.0;16.0;1580999.0;270701.0;221217.0;168412.0;750834.0;688218.0;587776.0;7038.0;;;10.0;14701.0;-3358.0;-2412.0;-886.0
52;2008 2e kwartaal;150380;21224;27234;129224;127418;19627;30603.0;9389;6553.0;;208043.0;84404.0;14762.0;21246.0;30.7;13302.0;17.5;;7402.0;24933.0;6199315.0;17120.0;942760.0;;46.3;38.6;45.6;46.3;0.7;;11082.0;81801.0;2.7;68073.0;13728.0;27.8;10654.0;11.6;1575193.0;279490.0;213892.0;168715.0;734900.0;694581.0;595214.0;7434.0;;;7.9;11916.0;68.0;-1806.0;-859.0
53;2008 3e kwartaal;143521;21474;39068;122588;120781;16478;28863.0;8477;12187.0;;201433.0;81996.0;25165.0;31713.0;44.6;14096.0;16.9;;7407.0;22455.0;6244506.0;13851.0;956492.0;;46.4;38.7;45.6;46.8;0.8;;11960.0;61454.0;1.2;68011.0;-6557.0;5.5;9523.0;13.2;1527750.0;280596.0;194648.0;169609.0;711228.0;705119.0;604170.0;8951.0;;;7.2;10283.0;541.0;-1807.0;-612.0
54;2008 4e kwartaal;153340;21731;38660;121732;118769;10672;32675.0;-19;806.0;;205651.0;88829.0;26263.0;25633.0;42.4;16193.0;16.6;;6477.0;16937.0;6022423.0;-2641.0;954530.0;;46.7;38.7;46.2;58.5;0.5;;11405.0;61304.0;-0.3;67336.0;-6032.0;5.9;10228.0;14.0;1462911.0;284945.0;175076.0;169483.0;663246.0;718796.0;613669.0;9506.0;;;8.1;12495.0;-9877.0;-2963.0;253.0
55;2008;594481;85412;146867;496443;487455;64527;121856.0;25979;26639.0;6832.3;821339.0;339872.0;93466.0;108757.0;40.7;55745.0;16.4;4207.4;29145.0;83126.0;6022423.0;49036.0;954530.0;226.2;46.7;38.7;46.2;58.5;0.5;1058.4;46890.0;263005.0;-0.3;270417.0;-7412.0;12.2;41634.0;13.5;1462911.0;284945.0;175076.0;169483.0;663246.0;718796.0;613669.0;32929.0;521.4;819.0;8.3;49395.0;-12626.0;-8988.0;-2104.0
56;2009 1e kwartaal;143752;21612;37572;115707;112599;7856;28168.0;789;3004.0;;193007.0;83198.0;25436.0;24738.0;44.0;11890.0;14.6;;8273.0;17761.0;6040018.0;11895.0;966622.0;;46.7;38.7;47.3;61.4;-0.5;;9422.0;57327.0;-1.9;66401.0;-9074.0;3.0;9841.0;14.3;1456604.0;297342.0;167817.0;169581.0;654091.0;740677.0;620575.0;6738.0;;;7.5;10769.0;-6433.0;-3108.0;-511.0
57;2009 2e kwartaal;143781;21861;20760;123215;123235;15213;26472.0;9892;7667.0;;184756.0;79570.0;10070.0;12185.0;27.2;10711.0;16.6;;8938.0;18068.0;6142356.0;10174.0;976398.0;;46.5;38.4;48.3;60.7;-1.8;;7994.0;79723.0;-2.1;65308.0;14415.0;28.0;9357.0;10.5;1528792.0;305613.0;179105.0;174753.0;693159.0;746837.0;627567.0;7046.0;;;6.4;9226.0;1295.0;20.0;-710.0
58;2009 3e kwartaal;137444;22118;33929;110169;107860;2939;23785.0;794;-380.0;;180913.0;77650.0;20909.0;23154.0;41.8;10167.0;14.5;;9512.0;17780.0;6290313.0;2908.0;979086.0;;46.4;38.2;50.1;61.3;-3.6;;8488.0;58309.0;-2.5;65723.0;-7414.0;3.2;7371.0;10.9;1605343.0;307354.0;205833.0;184270.0;735550.0;757027.0;634432.0;6727.0;;;6.3;8685.0;-5157.0;-2309.0;-478.0
59;2009 4e kwartaal;148258;22383;34342;122320;119450;9689;27066.0;4174;7065.0;;193274.0;82511.0;20721.0;22577.0;39.4;12642.0;14.7;;9953.0;24271.0;6422455.0;1204.0;979976.0;;45.8;37.8;51.4;60.8;-5.6;;9159.0;63513.0;-1.1;66105.0;-2592.0;10.2;8227.0;10.9;1633277.0;303833.0;213754.0;183625.0;758766.0;758824.0;639619.0;5522.0;;;7.7;11387.0;-3555.0;-2870.0;-832.0
60;2009;573235;87974;126603;471411;463144;35697;105491.0;15649;17356.0;6759.5;751950.0;322929.0;77136.0;82654.0;38.1;45410.0;15.1;4121.6;36676.0;77880.0;6422455.0;26181.0;979976.0;220.4;45.8;37.8;51.4;60.8;-5.6;1080.7;35063.0;258872.0;-1.1;263537.0;-4665.0;12.3;34796.0;11.6;1633277.0;303833.0;213754.0;183625.0;758766.0;758824.0;639619.0;26033.0;517.0;819.9;7.0;40067.0;-13850.0;-8267.0;-2531.0
