ID;Geslacht;Leeftijd;Sterftequotient_1;LevendenTafelbevolking_2;OverledenenTafelbevolking_3;LevensverwachtingInJaren_4
44;Mannen;44;0.00205;96732;198;33.4
45;Mannen;45;0.00221;96533;213;32.46
46;Mannen;46;0.00243;96320;235;31.54
47;Mannen;47;0.00276;96086;265;30.61
48;Mannen;48;0.00314;95820;301;29.69
49;Mannen;49;0.00334;95520;319;28.79
50;Mannen;50;0.00374;95200;356;27.88
51;Mannen;51;0.00414;94844;393;26.98
52;Mannen;52;0.00447;94451;422;26.09
53;Mannen;53;0.00514;94029;483;25.21
54;Mannen;54;0.00558;93546;522;24.34
55;Mannen;55;0.00631;93024;587;23.47
56;Mannen;56;0.00678;92436;627;22.62
57;Mannen;57;0.00765;91810;703;21.77
58;Mannen;58;0.00824;91107;751;20.93
59;Mannen;59;0.00932;90356;842;20.1
60;Mannen;60;0.01042;89514;933;19.29
61;Mannen;61;0.01187;88581;1051;18.48
62;Mannen;62;0.01297;87530;1136;17.7
63;Mannen;63;0.01469;86394;1269;16.93
64;Mannen;64;0.01665;85125;1417;16.17
65;Mannen;65;0.01857;83708;1555;15.44
66;Mannen;66;0.02064;82153;1695;14.72
67;Mannen;67;0.02353;80458;1894;14.02
68;Mannen;68;0.02586;78564;2032;13.34
69;Mannen;69;0.02822;76533;2160;12.69
70;Mannen;70;0.03052;74373;2269;12.04
71;Mannen;71;0.03468;72103;2500;11.4
72;Mannen;72;0.03806;69603;2649;10.79
73;Mannen;73;0.04308;66954;2885;10.2
74;Mannen;74;0.0478;64069;3062;9.64
75;Mannen;75;0.05244;61007;3199;9.1
76;Mannen;76;0.05773;57807;3337;8.57
77;Mannen;77;0.06347;54470;3457;8.07
78;Mannen;78;0.07096;51013;3620;7.58
79;Mannen;79;0.07889;47393;3739;7.12
80;Mannen;80;0.08625;43654;3765;6.69
81;Mannen;81;0.09492;39889;3786;6.27
82;Mannen;82;0.10374;36103;3745;5.88
83;Mannen;83;0.11447;32357;3704;5.5
84;Mannen;84;0.12786;28653;3664;5.15
85;Mannen;85;0.13801;24990;3449;4.83
86;Mannen;86;0.14655;21541;3157;4.52
87;Mannen;87;0.16348;18384;3005;4.21
88;Mannen;88;0.17664;15379;2717;3.93
89;Mannen;89;0.19397;12662;2456;3.67
90;Mannen;90;0.20814;10206;2124;3.44
91;Mannen;91;0.23281;8082;1882;3.21
92;Mannen;92;0.24599;6200;1525;3.03
93;Mannen;93;0.25542;4675;1194;2.85
94;Mannen;94;0.27754;3481;966;2.66
95;Mannen;95;0.29541;2515;743;2.49
96;Mannen;96;0.31869;1772;565;2.32
97;Mannen;97;0.33375;1207;403;2.18
98;Mannen;98;0.35897;804;289;2.02
99;Mannen;99;0.38217;516;197;1.86
100;Mannen;99,5 jaar;0.40441;319;129;1.71
101;Mannen;100,5 jaar;0.47619;190;90;1.53
102;Mannen;101,5 jaar;0.49048;99;49;1.46
103;Mannen;102,5 jaar;0.58036;51;29;1.38
104;Mannen;103,5 jaar;0.54545;21;12;1.61
105;Mannen;104,5 jaar;0.34375;10;3;1.94
106;Mannen;105,5 jaar;0.43478;6;3;1.69
107;Vrouwen;0;0.00423;100000;423;80.52
108;Vrouwen;1;0.00069;99577;69;80.37
109;Vrouwen;2;0.00032;99508;32;79.42
110;Vrouwen;3;0.00024;99476;24;78.45
111;Vrouwen;4;0.00016;99452;16;77.46
112;Vrouwen;5;0.00014;99436;14;76.48
113;Vrouwen;6;0.0001;99422;10;75.49
114;Vrouwen;7;0.0001;99412;10;74.5
115;Vrouwen;8;0.0001;99402;10;73.5
116;Vrouwen;9;0.00012;99392;12;72.51
117;Vrouwen;10;9e-05;99380;9;71.52
118;Vrouwen;11;9e-05;99371;9;70.53
119;Vrouwen;12;0.0001;99362;10;69.53
120;Vrouwen;13;0.00017;99352;17;68.54
121;Vrouwen;14;0.00016;99335;16;67.55
122;Vrouwen;15;0.00017;99320;16;66.56
123;Vrouwen;16;0.00021;99303;21;65.57
124;Vrouwen;17;0.00026;99283;25;64.59
125;Vrouwen;18;0.00023;99257;23;63.6
126;Vrouwen;19;0.00026;99234;26;62.62
127;Vrouwen;20;0.00026;99208;25;61.63
128;Vrouwen;21;0.0003;99183;30;60.65
129;Vrouwen;22;0.00027;99153;27;59.67
130;Vrouwen;23;0.00025;99126;25;58.68
131;Vrouwen;24;0.00028;99101;28;57.7
132;Vrouwen;25;0.00032;99073;32;56.71
133;Vrouwen;26;0.00034;99041;33;55.73
134;Vrouwen;27;0.00034;99008;34;54.75
135;Vrouwen;28;0.00038;98974;37;53.77
136;Vrouwen;29;0.00034;98937;34;52.79
137;Vrouwen;30;0.0004;98903;40;51.81
138;Vrouwen;31;0.00042;98863;41;50.83
139;Vrouwen;32;0.00042;98822;41;49.85
140;Vrouwen;33;0.00048;98781;48;48.87
141;Vrouwen;34;0.00057;98733;57;47.89
142;Vrouwen;35;0.00059;98676;58;46.92
143;Vrouwen;36;0.00066;98618;66;45.95
144;Vrouwen;37;0.00077;98553;76;44.98
145;Vrouwen;38;0.00081;98477;80;44.01
146;Vrouwen;39;0.00096;98397;95;43.05
147;Vrouwen;40;0.00106;98302;104;42.09
148;Vrouwen;41;0.00122;98198;120;41.13
149;Vrouwen;42;0.00131;98079;128;40.18
150;Vrouwen;43;0.0014;97950;138;39.23
151;Vrouwen;44;0.00159;97813;156;38.29
152;Vrouwen;45;0.00177;97657;173;37.35
153;Vrouwen;46;0.00189;97484;184;36.41
154;Vrouwen;47;0.00208;97300;203;35.48
155;Vrouwen;48;0.00221;97097;215;34.55
156;Vrouwen;49;0.00242;96882;234;33.63
157;Vrouwen;50;0.00271;96648;262;32.71
158;Vrouwen;51;0.00277;96386;267;31.8
159;Vrouwen;52;0.00331;96119;318;30.88
160;Vrouwen;53;0.0035;95801;335;29.98
161;Vrouwen;54;0.00351;95466;336;29.09
162;Vrouwen;55;0.00396;95130;377;28.19
163;Vrouwen;56;0.0042;94754;398;27.3
164;Vrouwen;57;0.00472;94356;445;26.41
165;Vrouwen;58;0.00503;93911;472;25.54
166;Vrouwen;59;0.00556;93439;520;24.66
167;Vrouwen;60;0.00588;92919;547;23.8
168;Vrouwen;61;0.00671;92372;620;22.93
169;Vrouwen;62;0.00714;91752;655;22.09
170;Vrouwen;63;0.00784;91097;714;21.24
171;Vrouwen;64;0.00866;90382;782;20.41
172;Vrouwen;65;0.00953;89600;854;19.58
173;Vrouwen;66;0.01059;88746;940;18.76
174;Vrouwen;67;0.01136;87806;997;17.96
175;Vrouwen;68;0.0133;86809;1154;17.16
176;Vrouwen;69;0.01427;85655;1222;16.38
177;Vrouwen;70;0.01579;84433;1334;15.61
178;Vrouwen;71;0.01751;83099;1455;14.86
179;Vrouwen;72;0.01951;81645;1593;14.11
180;Vrouwen;73;0.02141;80052;1714;13.38
181;Vrouwen;74;0.02383;78338;1867;12.66
182;Vrouwen;75;0.02662;76471;2036;11.96
183;Vrouwen;76;0.03008;74435;2239;11.27
184;Vrouwen;77;0.03312;72196;2391;10.61
185;Vrouwen;78;0.03779;69805;2638;9.96
186;Vrouwen;79;0.04238;67167;2846;9.33
187;Vrouwen;80;0.04865;64321;3129;8.72
188;Vrouwen;81;0.05497;61192;3364;8.14
189;Vrouwen;82;0.06286;57828;3635;7.58
190;Vrouwen;83;0.07083;54193;3839;7.06
191;Vrouwen;84;0.08036;50354;4046;6.56
192;Vrouwen;85;0.08989;46308;4163;6.09
193;Vrouwen;86;0.10082;42145;4249;5.64
194;Vrouwen;87;0.11455;37896;4341;5.21
195;Vrouwen;88;0.12886;33555;4324;4.82
196;Vrouwen;89;0.1443;29231;4218;4.46
197;Vrouwen;90;0.15943;25013;3988;4.13
198;Vrouwen;91;0.17728;21025;3727;3.82
199;Vrouwen;92;0.19518;17298;3376;3.54
200;Vrouwen;93;0.21734;13922;3026;3.27
201;Vrouwen;94;0.23698;10896;2582;3.04
202;Vrouwen;95;0.25245;8314;2099;2.83
203;Vrouwen;96;0.28327;6215;1761;2.62
204;Vrouwen;97;0.29978;4455;1335;2.45
205;Vrouwen;98;0.32413;3119;1011;2.29
206;Vrouwen;99;0.34559;2108;729;2.15
207;Vrouwen;99,5 jaar;0.36571;1380;505;2.02
208;Vrouwen;100,5 jaar;0.39275;875;344;1.89
209;Vrouwen;101,5 jaar;0.42021;531;223;1.79
210;Vrouwen;102,5 jaar;0.41941;308;129;1.72
211;Vrouwen;103,5 jaar;0.4574;179;82;1.61
212;Vrouwen;104,5 jaar;0.48889;97;47;1.54
213;Vrouwen;105,5 jaar;0.48387;50;24;1.54
