ID;Perioden;AantalInstellingen_1;TotaalBedrijfsopbrengsten_2;NettoOmzetBloedProducten_3;VoorraadToenameOfAfname_4;OverigeBedrijfsopbrengsten_5;TotaalBedrijfslasten_6;GrondEnHulpstoffen_7;TotaalPersoneelskosten_8;BrutoSalarissen_9;Pensioenpremies_10;SocialeLasten_11;VoorHetLenenVanArbeidskrachten_12;OverigePersoneelskosten_13;TotaalAndereKosten_14;Afschrijvingen_15;Huisvestingskosten_16;OverigeAndereKosten_17;Bedrijfsresultaat_18;Rentebaten_19;Rentelasten_20;ResultaatDeelnemingen_21;OnttrokkenAanVoorzieningen_22;DotatiesAanVoorzieningen_23;ResultaatVoorBelastingen_24;TotaalWerkzamePersonen_25;Fulltimers_26;Parttimers_27;TotaalMannen_28;Fulltime_29;Parttime_30;TotaalVrouwen_31;Fulltime_32;Parttime_33;TotaalBezetteArbeidsplaatsen_34;TotaalMannen_35;Fulltime_36;Parttime_37;TotaalVrouwen_38;Fulltime_39;Parttime_40;TotaalKeuringsartsen_41;Mannen_42;Vrouwen_43;TotaalAfnKeuringsEnBewPersoneel_44;Mannen_45;Vrouwen_46;TotaalDirectie_47;Mannen_48;Vrouwen_49;TotaalAdmEnOverigPersoneel_50;Mannen_51;Vrouwen_52;Keuringsartsen_53;Uitzendkrachten_54;Vrijwilligers_55;Overigen_56;Oproepkrachten_57;DonorsPerUltimo_58;Keuringen_59;NieuweDonors_60;DonorsPer1000Inwoners_61;Bloeddonaties_62;BepalingenTotaal_63;Syfilis_64;AuAntigeen_65;Bloedgroep_66;HIV_67;HCV_68;AndereBepalingen_69
10;1995;23;90.4;89.7;;0.7;90.5;27.8;36.0;30.0;0.7;2.3;1.3;1.7;26.7;4.3;4.3;18.1;2.3;0.0;2.5;;;;-0.2;1851;583.0;1268.0;393.0;257.0;136.0;1458.0;326.0;1132.0;1106.0;315.0;;;792.0;;;54.0;29.0;25.0;742.0;156.0;586.0;27.0;22.0;5.0;283.0;109.0;174.0;14.0;22.0;;20.0;;665.0;1150.0;67.0;;997.0;6433.0;1089.0;1098.0;989.0;1096.0;1098.0;1063.0
11;1996;23;94.0;90.3;;3.7;95.7;29.6;38.0;30.9;0.7;3.0;0.7;2.5;27.9;4.6;4.2;19.1;0.7;0.0;2.4;;;;-1.7;1835;605.0;1230.0;396.0;273.0;123.0;1439.0;332.0;1107.0;1147.0;333.0;;;814.0;;;60.0;33.0;27.0;761.0;160.0;601.0;25.0;21.0;4.0;301.0;119.0;182.0;7.0;20.0;;23.0;33.0;658.0;1055.0;66.0;;1042.0;6411.0;1105.0;1116.0;1045.0;1118.0;1119.0;908.0
12;1997 oud;18;99.2;97.2;;2.0;95.8;29.9;40.5;32.8;0.8;3.3;0.7;3.0;25.5;4.8;4.0;16.7;3.4;0.0;2.3;;;;1.1;1881;615.0;1266.0;396.0;272.0;124.0;1485.0;343.0;1142.0;1191.0;328.0;;;864.0;;;58.0;31.0;28.0;786.0;144.0;643.0;22.0;18.0;4.0;325.0;135.0;189.0;7.0;14.0;12.0;12.0;32.0;642.0;1028.0;54.0;;;6635.0;1141.0;1224.0;1034.0;1120.0;1117.0;999.0
13;1997 nieuw;18;171.3;145.3;1.2;24.8;168.1;46.2;67.3;52.3;1.7;7.8;;5.4;54.6;9.6;8.7;36.3;3.2;1.0;3.5;;1.4;0.9;1.2;2700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1998;1;178.7;154.8;3.6;20.3;175.8;54.8;71.8;54.5;2.6;8.5;2.7;3.7;49.2;10.3;9.0;29.9;2.9;0.9;3.5;1.6;;;1.8;2723;1220.0;1503.0;796.0;634.0;162.0;1927.0;586.0;1341.0;1993.0;724.0;634.0;90.0;1269.0;586.0;683.0;;;;;;;;;;;;;;;;;;634.0;;48.0;40.0;1029.0;;;;;;;
15;1999;1;187.6;167.4;-0.2;20.4;182.5;52.2;77.4;58.6;2.6;9.8;2.5;3.9;52.9;12.8;9.3;30.8;5.1;1.1;3.1;1.7;;;4.8;2853;1190.0;1663.0;847.0;625.0;222.0;2006.0;565.0;1441.0;1997.0;737.0;625.0;112.0;1260.0;565.0;695.0;;;;;;;;;;;;;;;;;;631.0;;43.0;40.0;963.0;;;;;;;
16;2000;1;177.3;157.1;0.0;20.2;171.1;45.1;79.3;59.9;2.9;9.3;2.8;4.4;46.6;11.5;9.3;25.8;6.2;0.8;3.2;2.1;;;5.9;2806;1195.0;1611.0;844.0;652.0;192.0;1962.0;543.0;1419.0;2002.0;761.0;652.0;109.0;1241.0;543.0;698.0;;;;;;;;;;;;;;;;;;612.0;;40.0;39.0;875.0;;;;;;;
17;2001;1;207.0;184.2;-0.8;23.6;193.2;52.3;89.0;67.8;3.1;9.3;3.4;5.4;51.9;10.6;9.8;31.4;13.8;0.9;3.3;4.0;;;15.4;2851;1125.0;1726.0;848.0;620.0;228.0;2003.0;505.0;1498.0;1969.0;737.0;620.0;117.0;1232.0;505.0;727.0;;;;;;;;;;;;;;;;;;614.0;;58.0;39.0;872.0;;;;;;;
18;2002;1;244.1;215.3;2.2;26.6;230.8;59.6;97.6;72.0;3.8;10.2;5.5;6.1;73.6;11.8;11.1;50.7;13.2;1.4;3.2;1.6;;;12.9;3038;1131.0;1907.0;911.0;650.0;261.0;2127.0;481.0;1646.0;2024.0;775.0;650.0;125.0;1249.0;481.0;768.0;;;;;;;;;;;;;;;;;;533.0;;51.0;33.0;928.0;;;;;;;
19;2003;1;262.3;231.8;1.4;29.1;244.8;64.4;104.9;79.6;4.1;9.0;5.4;6.7;75.4;11.4;11.9;52.1;17.6;1.4;2.7;1.1;;;17.4;3132;1175.0;1957.0;962.0;687.0;275.0;2170.0;488.0;1682.0;2142.0;829.0;687.0;142.0;1313.0;488.0;825.0;;;;;;;;;;;;;;;;;;510.0;;35.0;32.0;922.0;;;;;;;
20;2004;1;261.0;225.3;6.0;29.7;243.3;67.7;105.3;78.5;5.9;9.9;4.1;6.9;70.3;12.6;11.8;45.9;17.7;1.9;2.5;-1.1;;;16.0;3162;1222.0;1940.0;965.0;720.0;245.0;2197.0;502.0;1695.0;2142.0;826.0;722.0;104.0;1316.0;502.0;814.0;;;;;;;;;;;;;;;;;;503.0;;43.0;31.0;919.0;;;;;;;
21;2005*;1;265.7;224.7;11.3;29.8;251.2;74.8;108.9;82.5;6.5;9.3;3.7;7.0;67.6;12.8;12.4;42.4;14.5;2.2;3.6;-1.5;;;11.6;3064;1169.0;1895.0;939.0;697.0;242.0;2125.0;472.0;1653.0;2102.0;814.0;700.0;114.0;1288.0;472.0;816.0;;;;;;;;;;;;;;;;;;464.0;;30.0;29.0;879.0;;;;;;;
