ID;Geslacht;Leeftijd;IndicatieZZVEnOfZMV;GebruikZZVEnOfZMV;RegioS;Perioden;PersMetIndicatieGebruikInJaar_1;PersMetIndicatieGebruikInJaar_2;PersMetIndicatieGebruikOpPeildatum_3
28;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Zuid-Nederland (LD);2013;269195.0;7.36;224315.0
29;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Zuid-Nederland (LD);2014;267330.0;7.28;222660.0
30;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Groningen (PV);2009;44735.0;7.63;36805.0
31;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Groningen (PV);2010;48000.0;8.15;39185.0
32;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Groningen (PV);2011;49410.0;8.35;40720.0
33;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Groningen (PV);2012;50185.0;8.46;41960.0
34;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Groningen (PV);2013;49630.0;8.37;41475.0
35;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Groningen (PV);2014;49355.0;8.26;41175.0
36;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Friesland (PV);2009;47250.0;7.21;38835.0
37;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Friesland (PV);2010;50620.0;7.7;40750.0
38;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Friesland (PV);2011;51780.0;7.88;42845.0
39;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Friesland (PV);2012;52760.0;8.03;43790.0
40;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Friesland (PV);2013;51325.0;7.82;42715.0
41;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Friesland (PV);2014;51680.0;7.87;43295.0
42;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Drenthe (PV);2009;39455.0;7.93;32470.0
43;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Drenthe (PV);2010;42425.0;8.51;34685.0
44;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Drenthe (PV);2011;43875.0;8.8;36235.0
45;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Drenthe (PV);2012;44425.0;8.93;36950.0
46;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Drenthe (PV);2013;41495.0;8.36;34000.0
47;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Drenthe (PV);2014;43315.0;8.74;35995.0
48;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Overijssel (PV);2009;84725.0;7.39;70075.0
49;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Overijssel (PV);2010;88740.0;7.71;72620.0
50;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Overijssel (PV);2011;91920.0;7.96;76090.0
51;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Overijssel (PV);2012;93455.0;8.07;78370.0
52;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Overijssel (PV);2013;93000.0;8.03;77960.0
53;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Overijssel (PV);2014;93475.0;8.07;78495.0
54;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Flevoland (PV);2009;19250.0;4.9;15525.0
55;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Flevoland (PV);2010;20790.0;5.23;16390.0
56;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Flevoland (PV);2011;21580.0;5.37;17410.0
57;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Flevoland (PV);2012;22140.0;5.47;18320.0
58;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Flevoland (PV);2013;22165.0;5.43;18390.0
59;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Flevoland (PV);2014;22175.0;5.39;18335.0
60;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Gelderland (PV);2009;137580.0;6.79;113500.0
61;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Gelderland (PV);2010;146305.0;7.19;119935.0
62;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Gelderland (PV);2011;151215.0;7.42;125410.0
63;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Gelderland (PV);2012;153805.0;7.53;127940.0
64;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Gelderland (PV);2013;152705.0;7.45;127280.0
65;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Gelderland (PV);2014;152495.0;7.43;127570.0
66;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Utrecht (PV);2009;70855.0;5.73;57835.0
67;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Utrecht (PV);2010;76835.0;6.17;62110.0
68;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Utrecht (PV);2011;78775.0;6.28;64065.0
69;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Utrecht (PV);2012;78910.0;6.25;64940.0
70;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Utrecht (PV);2013;77325.0;6.09;64320.0
71;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Utrecht (PV);2014;76955.0;6.01;63525.0
72;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Noord-Holland (PV);2009;159960.0;5.89;129635.0
73;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Noord-Holland (PV);2010;169950.0;6.2;136765.0
74;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Noord-Holland (PV);2011;172945.0;6.26;140500.0
75;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Noord-Holland (PV);2012;174020.0;6.26;142305.0
76;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Noord-Holland (PV);2013;168715.0;6.04;139130.0
77;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Noord-Holland (PV);2014;167375.0;5.94;137900.0
78;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Zuid-Holland (PV);2009;219405.0;6.14;178830.0
79;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Zuid-Holland (PV);2010;232950.0;6.48;188075.0
80;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Zuid-Holland (PV);2011;237830.0;6.57;193915.0
81;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Zuid-Holland (PV);2012;240695.0;6.61;197775.0
82;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Zuid-Holland (PV);2013;234720.0;6.42;184550.0
83;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Zuid-Holland (PV);2014;224725.0;6.12;183800.0
84;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Zeeland (PV);2009;29250.0;7.54;23525.0
85;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Zeeland (PV);2010;31100.0;8.01;24795.0
86;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Zeeland (PV);2011;31440.0;8.08;25480.0
87;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Zeeland (PV);2012;31680.0;8.15;25840.0
88;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Zeeland (PV);2013;31320.0;8.06;25485.0
89;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Zeeland (PV);2014;31090.0;8.02;25425.0
90;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Noord-Brabant (PV);2009;160145.0;6.45;131400.0
91;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Noord-Brabant (PV);2010;168755.0;6.78;137440.0
92;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Noord-Brabant (PV);2011;173940.0;6.96;143135.0
93;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Noord-Brabant (PV);2012;175910.0;7.01;146330.0
94;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Noord-Brabant (PV);2013;173950.0;6.91;144420.0
95;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Noord-Brabant (PV);2014;172505.0;6.82;143195.0
96;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Limburg (PV);2009;88345.0;7.73;72110.0
97;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Limburg (PV);2010;94305.0;8.25;76365.0
98;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Limburg (PV);2011;96440.0;8.43;79460.0
99;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Limburg (PV);2012;97165.0;8.5;80975.0
100;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Limburg (PV);2013;95245.0;8.34;79900.0
101;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal indicatie en/of gebruik;Limburg (PV);2014;94825.0;8.3;79465.0
102;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Nederland;2009;;;
103;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Nederland;2010;;;
104;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Nederland;2011;;;
105;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Nederland;2012;;;
106;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Nederland;2013;;;
107;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Nederland;2014;;;
108;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Noord-Nederland (LD);2009;;;
109;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Noord-Nederland (LD);2010;;;
110;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Noord-Nederland (LD);2011;;;
111;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Noord-Nederland (LD);2012;;;
112;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Noord-Nederland (LD);2013;;;
113;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Noord-Nederland (LD);2014;;;
114;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Oost-Nederland (LD);2009;;;
115;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Oost-Nederland (LD);2010;;;
116;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Oost-Nederland (LD);2011;;;
117;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Oost-Nederland (LD);2012;;;
118;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Oost-Nederland (LD);2013;;;
119;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Oost-Nederland (LD);2014;;;
120;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;West-Nederland (LD);2009;;;
121;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;West-Nederland (LD);2010;;;
122;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;West-Nederland (LD);2011;;;
123;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;West-Nederland (LD);2012;;;
124;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;West-Nederland (LD);2013;;;
125;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;West-Nederland (LD);2014;;;
126;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Zuid-Nederland (LD);2009;;;
127;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Zuid-Nederland (LD);2010;;;
128;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Zuid-Nederland (LD);2011;;;
129;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Zuid-Nederland (LD);2012;;;
130;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Zuid-Nederland (LD);2013;;;
131;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Zuid-Nederland (LD);2014;;;
132;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Groningen (PV);2009;;;
133;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Groningen (PV);2010;;;
134;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Groningen (PV);2011;;;
135;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Groningen (PV);2012;;;
136;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Groningen (PV);2013;;;
137;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Groningen (PV);2014;;;
138;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Friesland (PV);2009;;;
139;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Friesland (PV);2010;;;
140;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Friesland (PV);2011;;;
141;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Friesland (PV);2012;;;
142;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Friesland (PV);2013;;;
143;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Friesland (PV);2014;;;
144;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Drenthe (PV);2009;;;
145;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Drenthe (PV);2010;;;
146;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Drenthe (PV);2011;;;
147;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Drenthe (PV);2012;;;
148;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Drenthe (PV);2013;;;
149;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Drenthe (PV);2014;;;
150;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Overijssel (PV);2009;;;
151;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Overijssel (PV);2010;;;
152;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Overijssel (PV);2011;;;
153;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Overijssel (PV);2012;;;
154;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Overijssel (PV);2013;;;
155;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Overijssel (PV);2014;;;
156;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Flevoland (PV);2009;;;
157;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Flevoland (PV);2010;;;
158;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Flevoland (PV);2011;;;
159;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Flevoland (PV);2012;;;
160;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Flevoland (PV);2013;;;
161;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Flevoland (PV);2014;;;
162;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Gelderland (PV);2009;;;
163;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Gelderland (PV);2010;;;
164;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Gelderland (PV);2011;;;
165;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Gelderland (PV);2012;;;
166;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Gelderland (PV);2013;;;
167;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Gelderland (PV);2014;;;
168;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Utrecht (PV);2009;;;
169;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Utrecht (PV);2010;;;
170;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik;Totaal ZZV en/of ZMV;Utrecht (PV);2011;;;
