ID;ApparatenVervoerMaterieelEnOverig;WereldEUEnNietEU;Perioden;Invoerwaarde_1;Invoerhoeveelheid_2;Uitvoerwaarde_3;Uitvoerhoeveelheid_4;EenheidVanGoederensoort_5
83;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2014 juni;;;;;                         
84;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2014 juli;;;2.0;26.0;kg                       
85;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2014 augustus;;;;;                         
86;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2014 september;0.0;0.0;;;kg                       
87;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2014 oktober;0.0;0.0;;;kg                       
88;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2014 november;0.0;0.0;;;kg                       
89;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2014 december;0.0;0.0;;;kg                       
90;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2014;6.0;4067.0;2.0;26.0;kg                       
91;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2015 januari;8.0;5039.0;;;kg                       
92;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2015 februari;9.0;5471.0;;;kg                       
93;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2015 maart;6.0;3810.0;;;kg                       
94;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2015 april;3.0;2009.0;;;kg                       
95;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2015 mei;3.0;1603.0;;;kg                       
96;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2015 juni;5.0;2646.0;;;kg                       
97;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2015 juli;5.0;2700.0;;;kg                       
98;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2015 augustus;1.0;792.0;;;kg                       
99;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2015 september;3.0;1605.0;;;kg                       
100;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2015 oktober;9.0;5231.0;;;kg                       
101;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2015 november;2.0;1147.0;;;kg                       
102;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2015 december;2.0;1114.0;;;kg                       
103;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2015;56.0;33167.0;;;kg                       
104;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2016 januari;6.0;3382.0;;;kg                       
105;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2016 februari;14.0;8507.0;;;kg                       
106;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2016 maart;8.0;5089.0;;;kg                       
107;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2016 april;10.0;5818.0;;;kg                       
108;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2016 mei;9.0;5398.0;1.0;128.0;kg                       
109;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2016 juni;14.0;8213.0;;;kg                       
110;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2016 juli;11.0;6612.0;;;kg                       
111;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2016 augustus;10.0;6130.0;;;kg                       
112;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2016 september;6.0;3489.0;;;kg                       
113;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2016 oktober;10.0;5994.0;;;kg                       
114;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2016 november;12.0;7030.0;;;kg                       
115;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2016 december;10.0;5826.0;;;kg                       
116;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2016;120.0;71488.0;1.0;128.0;kg                       
117;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2017 januari;17.0;10529.0;;;kg                       
118;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2017 februari;12.0;7373.0;165.0;152.0;kg                       
119;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2017 maart;25.0;14896.0;449.0;556.0;kg                       
120;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2017 april;12.0;7468.0;;;kg                       
121;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2017 mei;18.0;10627.0;;;kg                       
122;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2017 juni;12.0;7368.0;4.0;36.0;kg                       
123;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2017 juli;16.0;9907.0;;;kg                       
124;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2017 augustus;14.0;8591.0;;;kg                       
125;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2017 september;17.0;10146.0;;;kg                       
126;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2017 oktober;29.0;18000.0;62.0;2284.0;kg                       
127;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2017 november;28.0;17191.0;;;kg                       
128;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2017 december;9.0;5230.0;1.0;50.0;kg                       
129;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2017;209.0;127326.0;681.0;3078.0;kg                       
130;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2018 januari;1041.0;160140.0;;;kg                       
131;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2018 februari;50.0;32980.0;;;kg                       
132;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2018 maart;17.0;8425.0;;;kg                       
133;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2018 april;2.0;1589.0;;;kg                       
134;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2018 mei;42.0;25617.0;;;kg                       
135;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2018 juni;151.0;89707.0;;;kg                       
136;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2018 juli;114.0;64356.0;0.0;5.0;kg                       
137;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2018 augustus;0.0;137.0;;;kg                       
138;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2018 september;19.0;9943.0;0.0;9.0;kg                       
139;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2018 oktober;0.0;13.0;11.0;148.0;kg                       
140;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2018 november;11.0;5258.0;0.0;9.0;kg                       
141;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2018 december;109.0;61150.0;;;kg                       
142;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2018;1557.0;459315.0;12.0;171.0;kg                       
143;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2019 januari;57.0;37622.0;;;kg                       
144;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2019 februari;245.0;162496.0;;;kg                       
145;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2019 maart;222.0;115321.0;;;kg                       
146;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2019 april;77.0;43492.0;;;kg                       
147;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2019 mei;3.0;1790.0;11.0;2519.0;kg                       
148;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2019 juni;114.0;63206.0;;;kg                       
149;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2019 juli;37.0;16659.0;;;kg                       
150;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2019 augustus;35.0;21950.0;;;kg                       
151;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2019 september;31.0;14434.0;;;kg                       
152;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2019 oktober;7.0;4162.0;1.0;24.0;kg                       
153;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2019 november;49.0;26507.0;;;kg                       
154;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2019 december;10.0;5864.0;4.0;1.0;kg                       
155;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2019;888.0;513503.0;15.0;2544.0;kg                       
156;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2020 januari;;;2.0;729.0;kg                       
157;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2020 februari;73.0;31830.0;1.0;308.0;kg                       
158;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2020 maart;88.0;46581.0;0.0;78.0;kg                       
159;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2020 april;65.0;28497.0;;;kg                       
160;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2020 mei;45.0;20121.0;0.0;77.0;kg                       
161;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2020 juni;30.0;19806.0;;;kg                       
162;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2020 juli;28.0;13386.0;2.0;568.0;kg                       
163;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2020 augustus;40.0;17767.0;;;kg                       
164;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2020 september;29.0;19862.0;;;kg                       
165;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2020 oktober;104.0;46094.0;;;kg                       
166;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2020 november;;;;;                         
167;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2020 december;;;;;                         
168;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2020;502.0;243944.0;5.0;1760.0;kg                       
169;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2021 januari;0.0;29.0;1.0;170.0;kg                       
170;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2021 februari;;;7.0;2764.0;kg                       
171;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2021 maart;0.0;27.0;2.0;509.0;kg                       
172;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2021 april;1.0;114.0;3.0;860.0;kg                       
173;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2021 mei;0.0;33.0;1.0;371.0;kg                       
174;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2021 juni;0.0;58.0;2.0;410.0;kg                       
175;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2021 juli;0.0;60.0;7.0;2640.0;kg                       
176;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2021 augustus;0.0;15.0;2.0;838.0;kg                       
177;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2021 september;1.0;127.0;1.0;234.0;kg                       
178;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2021 oktober;1.0;125.0;1.0;357.0;kg                       
179;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2021 november;0.0;44.0;3.0;1127.0;kg                       
180;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2021 december;0.0;51.0;3.0;1279.0;kg                       
181;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2021;5.0;683.0;32.0;11559.0;kg                       
182;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2022 januari;0.0;90.0;3.0;1246.0;kg                       
183;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2022 februari;0.0;77.0;3.0;621.0;kg                       
184;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2022 maart;0.0;180.0;1.0;489.0;kg                       
185;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2022 april;0.0;23.0;1.0;171.0;kg                       
186;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2022 mei;0.0;68.0;7.0;8127.0;kg                       
187;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2022 juni;0.0;77.0;1.0;133.0;kg                       
188;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2022 juli;0.0;35.0;;;kg                       
189;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2022 augustus;0.0;162.0;2.0;757.0;kg                       
190;"8401100000 Kernreactoren ""Euratom""";Totaal landen;2022 januari-augustus;2.0;712.0;17.0;11544.0;kg                       
191;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2008 januari;5.0;13.0;;;kg                       
192;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2008 februari;12.0;1361.0;;;kg                       
193;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2008 maart;0.0;2.0;;;kg                       
194;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2008 april;;;;;                         
195;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2008 mei;;;;;                         
196;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2008 juni;15.0;3752.0;;;kg                       
197;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2008 juli;0.0;2.0;;;kg                       
198;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2008 augustus;1.0;8.0;;;kg                       
199;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2008 september;14.0;1002.0;;;kg                       
200;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2008 oktober;1.0;6.0;;;kg                       
201;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2008 november;4.0;1000.0;18.0;23.0;kg                       
202;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2008 december;4.0;2.0;;;kg                       
203;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2008;57.0;7148.0;18.0;23.0;kg                       
204;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2009 januari;1.0;8.0;;;kg                       
205;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2009 februari;0.0;4.0;9.0;9.0;kg                       
206;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2009 maart;;;;;                         
207;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2009 april;;;;;                         
208;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2009 mei;;;;;                         
209;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2009 juni;;;;;                         
210;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2009 juli;10.0;2.0;110.0;12114.0;kg                       
211;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2009 augustus;;;;;                         
212;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2009 september;;;;;                         
213;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2009 oktober;2.0;2.0;;;kg                       
214;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2009 november;;;;;                         
215;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2009 december;1.0;1.0;;;kg                       
216;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2009;14.0;17.0;119.0;12123.0;kg                       
217;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2010 januari;;;;;                         
218;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2010 februari;;;;;                         
219;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2010 maart;;;;;                         
220;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2010 april;;;68.0;8000.0;kg                       
221;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2010 mei;;;62.0;8000.0;kg                       
222;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2010 juni;;;72.0;8000.0;kg                       
223;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2010 juli;;;73.0;8000.0;kg                       
224;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2010 augustus;;;;;                         
225;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2010 september;;;;;                         
226;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2010 oktober;3.0;4.0;;;kg                       
227;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2010 november;6.0;1.0;;;kg                       
228;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2010 december;;;;;                         
229;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2010;9.0;5.0;275.0;32000.0;kg                       
230;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2011 januari;;;;;                         
231;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2011 februari;;;;;                         
232;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2011 maart;80.0;19.0;;;kg                       
233;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2011 april;0.0;0.0;;;kg                       
234;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2011 mei;0.0;0.0;;;kg                       
235;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2011 juni;;;;;                         
236;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2011 juli;0.0;2.0;;;kg                       
237;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2011 augustus;;;;;                         
238;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2011 september;;;12.0;2304.0;kg                       
239;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2011 oktober;;;;;                         
240;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2011 november;;;;;                         
241;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2011 december;;;;;                         
242;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2011;81.0;21.0;12.0;2304.0;kg                       
243;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2012 januari;;;;;                         
244;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2012 februari;;;;;                         
245;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2012 maart;;;;;                         
246;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2012 april;3.0;1690.0;;;kg                       
247;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2012 mei;;;;;                         
248;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2012 juni;;;;;                         
249;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2012 juli;;;;;                         
250;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2012 augustus;;;;;                         
251;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2012 september;;;;;                         
252;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2012 oktober;;;;;                         
253;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2012 november;;;;;                         
254;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2012 december;;;;;                         
255;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2012;3.0;1690.0;;;kg                       
256;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2013 januari;;;;;                         
257;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2013 februari;;;;;                         
258;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2013 maart;;;;;                         
259;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2013 april;0.0;6.0;;;kg                       
260;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2013 mei;7.0;4958.0;0.0;1.0;kg                       
261;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2013 juni;;;0.0;2.0;kg                       
262;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2013 juli;;;0.0;1.0;kg                       
263;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2013 augustus;;;;;                         
264;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2013 september;;;;;                         
265;"8401100000 Kernreactoren ""Euratom""";EU (exclusief Nederland);2013 oktober;;;;;                         
