ID;SIC2008;Periods;InvestmentsExpectedGrowth_1;InvestmentsRealizedGrowth_2
97;10 Manufacture of food products;2014;10.0;16.0
98;10 Manufacture of food products;2015;8.0;-3.0
99;10 Manufacture of food products;2016;2.0;5.0
100;10 Manufacture of food products;2017;2.0;-1.0
101;10 Manufacture of food products;2018;10.0;16.0
102;10 Manufacture of food products;2019;6.0;0.0
103;10 Manufacture of food products;2020;2.0;-6.0
104;10 Manufacture of food products;2021;16.0;-5.0
105;10 Manufacture of food products;2022;26.0;13.0
106;10 Manufacture of food products;2023;12.0;9.0
107;10 Manufacture of food products;2024;19.0;
108;10-12 Manufacture of food and beverages;2013;21.0;10.0
109;10-12 Manufacture of food and beverages;2014;8.0;13.0
110;10-12 Manufacture of food and beverages;2015;8.0;-3.0
111;10-12 Manufacture of food and beverages;2016;2.0;7.0
112;10-12 Manufacture of food and beverages;2017;1.0;-4.0
113;10-12 Manufacture of food and beverages;2018;12.0;19.0
114;10-12 Manufacture of food and beverages;2019;6.0;2.0
115;10-12 Manufacture of food and beverages;2020;-3.0;-9.0
116;10-12 Manufacture of food and beverages;2021;13.0;-7.0
117;10-12 Manufacture of food and beverages;2022;23.0;12.0
118;10-12 Manufacture of food and beverages;2023;15.0;9.0
119;10-12 Manufacture of food and beverages;2024;19.0;
120;11 Manufacture of beverages;2013;41.0;34.0
121;11 Manufacture of beverages;2014;-1.0;
122;11 Manufacture of beverages;2015;4.0;
123;11 Manufacture of beverages;2016;-7.0;15.0
124;11 Manufacture of beverages;2017;-8.0;-17.0
125;11 Manufacture of beverages;2018;32.0;47.0
126;11 Manufacture of beverages;2019;5.0;
127;11 Manufacture of beverages;2020;-22.0;
128;11 Manufacture of beverages;2021;;
129;11 Manufacture of beverages;2022;;
130;11 Manufacture of beverages;2023;;
131;11 Manufacture of beverages;2024;;
132;12 Manufacture of tobacco products;2013;50.0;31.0
133;12 Manufacture of tobacco products;2014;-8.0;
134;12 Manufacture of tobacco products;2015;-3.0;
135;12 Manufacture of tobacco products;2016;114.0;259.0
136;12 Manufacture of tobacco products;2017;-33.0;-57.0
137;12 Manufacture of tobacco products;2018;34.0;30.0
138;12 Manufacture of tobacco products;2019;19.0;
139;12 Manufacture of tobacco products;2020;-81.0;
140;12 Manufacture of tobacco products;2021;;
141;12 Manufacture of tobacco products;2022;;
142;12 Manufacture of tobacco products;2023;;
143;12 Manufacture of tobacco products;2024;;
144;13 Manufacture of textiles;2013;7.0;0.0
145;13 Manufacture of textiles;2014;-6.0;35.0
146;13 Manufacture of textiles;2015;-20.0;-15.0
147;13 Manufacture of textiles;2016;-31.0;-24.0
148;13 Manufacture of textiles;2017;69.0;23.0
149;13 Manufacture of textiles;2018;28.0;19.0
150;13 Manufacture of textiles;2019;17.0;23.0
151;13 Manufacture of textiles;2020;-23.0;-22.0
152;13 Manufacture of textiles;2021;9.0;5.0
153;13 Manufacture of textiles;2022;53.0;49.0
154;13 Manufacture of textiles;2023;-20.0;-38.0
155;13 Manufacture of textiles;2024;54.0;
156;13-15 Man. of textile-, leatherproducts;2013;8.0;17.0
157;13-15 Man. of textile-, leatherproducts;2014;-8.0;19.0
158;13-15 Man. of textile-, leatherproducts;2015;-19.0;-15.0
159;13-15 Man. of textile-, leatherproducts;2016;-26.0;-24.0
160;13-15 Man. of textile-, leatherproducts;2017;44.0;17.0
161;13-15 Man. of textile-, leatherproducts;2018;33.0;30.0
162;13-15 Man. of textile-, leatherproducts;2019;5.0;15.0
163;13-15 Man. of textile-, leatherproducts;2020;-19.0;-23.0
164;13-15 Man. of textile-, leatherproducts;2021;24.0;6.0
165;13-15 Man. of textile-, leatherproducts;2022;58.0;53.0
166;13-15 Man. of textile-, leatherproducts;2023;-23.0;-29.0
167;13-15 Man. of textile-, leatherproducts;2024;29.0;
168;14 Manufacture of wearing apparel;2013;-8.0;16.0
169;14 Manufacture of wearing apparel;2014;21.0;60.0
170;14 Manufacture of wearing apparel;2015;-58.0;-40.0
171;14 Manufacture of wearing apparel;2016;;
172;14 Manufacture of wearing apparel;2017;;
173;14 Manufacture of wearing apparel;2018;-50.0;-5.0
174;14 Manufacture of wearing apparel;2019;-33.0;-20.0
175;14 Manufacture of wearing apparel;2020;-39.0;
176;14 Manufacture of wearing apparel;2021;;
177;14 Manufacture of wearing apparel;2022;149.0;342.0
178;14 Manufacture of wearing apparel;2023;-56.0;-51.0
179;14 Manufacture of wearing apparel;2024;-9.0;
180;15 Manufacture of leather and footwear;2013;16.0;162.0
181;15 Manufacture of leather and footwear;2014;-28.0;-38.0
182;15 Manufacture of leather and footwear;2015;20.0;-7.0
183;15 Manufacture of leather and footwear;2016;;
184;15 Manufacture of leather and footwear;2017;;
185;15 Manufacture of leather and footwear;2018;212.0;178.0
186;15 Manufacture of leather and footwear;2019;-26.0;-20.0
187;15 Manufacture of leather and footwear;2020;18.0;
188;15 Manufacture of leather and footwear;2021;;
189;15 Manufacture of leather and footwear;2022;76.0;56.0
190;15 Manufacture of leather and footwear;2023;-32.0;34.0
191;15 Manufacture of leather and footwear;2024;-40.0;
192;16 Manufacture of wood products;2013;-20.0;2.0
193;16 Manufacture of wood products;2014;-23.0;-8.0
194;16 Manufacture of wood products;2015;-30.0;32.0
195;16 Manufacture of wood products;2016;-9.0;31.0
196;16 Manufacture of wood products;2017;-28.0;97.0
197;16 Manufacture of wood products;2018;-25.0;-19.0
198;16 Manufacture of wood products;2019;20.0;16.0
199;16 Manufacture of wood products;2020;-29.0;-16.0
200;16 Manufacture of wood products;2021;24.0;37.0
201;16 Manufacture of wood products;2022;-26.0;21.0
202;16 Manufacture of wood products;2023;-42.0;-20.0
203;16 Manufacture of wood products;2024;-24.0;
204;16+23 Man of wooden and buildingmaterial;2013;5.0;15.0
205;16+23 Man of wooden and buildingmaterial;2014;-7.0;-1.0
206;16+23 Man of wooden and buildingmaterial;2015;-10.0;9.0
207;16+23 Man of wooden and buildingmaterial;2016;-7.0;-1.0
208;16+23 Man of wooden and buildingmaterial;2017;24.0;58.0
209;16+23 Man of wooden and buildingmaterial;2018;-14.0;-6.0
210;16+23 Man of wooden and buildingmaterial;2019;36.0;30.0
211;16+23 Man of wooden and buildingmaterial;2020;-6.0;-6.0
212;16+23 Man of wooden and buildingmaterial;2021;-5.0;3.0
213;16+23 Man of wooden and buildingmaterial;2022;1.0;5.0
214;16+23 Man of wooden and buildingmaterial;2023;0.0;4.0
215;16+23 Man of wooden and buildingmaterial;2024;-23.0;
216;16-18 Man. wood en paperprod., printing;2013;;
217;16-18 Man. wood en paperprod., printing;2014;;
218;16-18 Man. wood en paperprod., printing;2015;;
219;16-18 Man. wood en paperprod., printing;2016;;
220;16-18 Man. wood en paperprod., printing;2017;;
221;16-18 Man. wood en paperprod., printing;2018;;
222;16-18 Man. wood en paperprod., printing;2019;;
223;16-18 Man. wood en paperprod., printing;2020;;
224;16-18 Man. wood en paperprod., printing;2021;;
225;16-18 Man. wood en paperprod., printing;2022;;
226;16-18 Man. wood en paperprod., printing;2023;;
227;16-18 Man. wood en paperprod., printing;2024;;
228;17 Manufacture of paper;2013;9.0;-1.0
229;17 Manufacture of paper;2014;-15.0;-16.0
230;17 Manufacture of paper;2015;68.0;18.0
231;17 Manufacture of paper;2016;97.0;79.0
232;17 Manufacture of paper;2017;-28.0;-16.0
233;17 Manufacture of paper;2018;-11.0;-21.0
234;17 Manufacture of paper;2019;8.0;21.0
235;17 Manufacture of paper;2020;-15.0;1.0
236;17 Manufacture of paper;2021;38.0;0.0
237;17 Manufacture of paper;2022;13.0;6.0
238;17 Manufacture of paper;2023;-6.0;29.0
239;17 Manufacture of paper;2024;-26.0;
240;17-18 Manufacture of paper and printing;2013;14.0;6.0
241;17-18 Manufacture of paper and printing;2014;-15.0;-6.0
242;17-18 Manufacture of paper and printing;2015;31.0;-4.0
243;17-18 Manufacture of paper and printing;2016;69.0;62.0
244;17-18 Manufacture of paper and printing;2017;-23.0;-14.0
245;17-18 Manufacture of paper and printing;2018;-8.0;-14.0
246;17-18 Manufacture of paper and printing;2019;3.0;9.0
247;17-18 Manufacture of paper and printing;2020;-14.0;-3.0
248;17-18 Manufacture of paper and printing;2021;31.0;9.0
249;17-18 Manufacture of paper and printing;2022;4.0;2.0
250;17-18 Manufacture of paper and printing;2023;-13.0;27.0
251;17-18 Manufacture of paper and printing;2024;-23.0;
252;18 Printing and reproduction;2013;24.0;20.0
253;18 Printing and reproduction;2014;-16.0;10.0
254;18 Printing and reproduction;2015;-20.0;-32.0
255;18 Printing and reproduction;2016;6.0;24.0
256;18 Printing and reproduction;2017;-8.0;-7.0
257;18 Printing and reproduction;2018;3.0;7.0
258;18 Printing and reproduction;2019;-10.0;-14.0
259;18 Printing and reproduction;2020;-11.0;-16.0
260;18 Printing and reproduction;2021;17.0;40.0
261;18 Printing and reproduction;2022;-15.0;-9.0
262;18 Printing and reproduction;2023;-27.0;23.0
263;18 Printing and reproduction;2024;-15.0;
264;19 Manufacture of coke and petroleum;2013;9.0;
265;19 Manufacture of coke and petroleum;2014;13.0;
266;19 Manufacture of coke and petroleum;2015;-35.0;
267;19 Manufacture of coke and petroleum;2016;;
268;19 Manufacture of coke and petroleum;2017;52.0;-8.0
269;19 Manufacture of coke and petroleum;2018;;
270;19 Manufacture of coke and petroleum;2019;;
271;19 Manufacture of coke and petroleum;2020;-58.0;-50.0
272;19 Manufacture of coke and petroleum;2021;;
273;19 Manufacture of coke and petroleum;2022;;162.0
274;19 Manufacture of coke and petroleum;2023;;-16.0
275;19 Manufacture of coke and petroleum;2024;43.0;
276;19-22 Refineries and chemistry;2013;1.0;-25.0
277;19-22 Refineries and chemistry;2014;12.0;7.0
278;19-22 Refineries and chemistry;2015;17.0;22.0
279;19-22 Refineries and chemistry;2016;-7.0;-17.0
280;19-22 Refineries and chemistry;2017;49.0;22.0
281;19-22 Refineries and chemistry;2018;59.0;39.0
282;19-22 Refineries and chemistry;2019;4.0;9.0
283;19-22 Refineries and chemistry;2020;-13.0;-20.0
284;19-22 Refineries and chemistry;2021;-2.0;-22.0
285;19-22 Refineries and chemistry;2022;39.0;20.0
286;19-22 Refineries and chemistry;2023;30.0;-3.0
287;19-22 Refineries and chemistry;2024;48.0;
288;20 Manufacture of chemicals;2013;-16.0;-29.0
289;20 Manufacture of chemicals;2014;8.0;-10.0
290;20 Manufacture of chemicals;2015;56.0;63.0
291;20 Manufacture of chemicals;2016;-10.0;-22.0
292;20 Manufacture of chemicals;2017;51.0;34.0
293;20 Manufacture of chemicals;2018;10.0;-1.0
294;20 Manufacture of chemicals;2019;1.0;17.0
295;20 Manufacture of chemicals;2020;-2.0;-14.0
296;20 Manufacture of chemicals;2021;8.0;-9.0
297;20 Manufacture of chemicals;2022;33.0;7.0
298;20 Manufacture of chemicals;2023;30.0;1.0
299;20 Manufacture of chemicals;2024;43.0;
300;21 Manufacture of pharmaceuticals;2013;172.0;
301;21 Manufacture of pharmaceuticals;2014;65.0;
302;21 Manufacture of pharmaceuticals;2015;2.0;
303;21 Manufacture of pharmaceuticals;2016;;
304;21 Manufacture of pharmaceuticals;2017;65.0;8.0
305;21 Manufacture of pharmaceuticals;2018;;
306;21 Manufacture of pharmaceuticals;2019;;
307;21 Manufacture of pharmaceuticals;2020;14.0;21.0
308;21 Manufacture of pharmaceuticals;2021;;
309;21 Manufacture of pharmaceuticals;2022;;76.0
310;21 Manufacture of pharmaceuticals;2023;;-17.0
311;21 Manufacture of pharmaceuticals;2024;121.0;
312;Other industry;2013;;
313;Other industry;2014;;
314;Other industry;2015;;
315;Other industry;2016;;
316;Other industry;2017;;
317;Other industry;2018;;
318;Other industry;2019;;
319;Other industry;2020;;
320;Other industry;2021;;
321;Other industry;2022;;
322;Other industry;2023;;
323;Other industry;2024;;
324;22-23 Man. plastics and constructionprod;2013;;
325;22-23 Man. plastics and constructionprod;2014;;
326;22-23 Man. plastics and constructionprod;2015;;
327;22-23 Man. plastics and constructionprod;2016;;
328;22-23 Man. plastics and constructionprod;2017;;
329;22-23 Man. plastics and constructionprod;2018;;
330;22-23 Man. plastics and constructionprod;2019;;
331;22-23 Man. plastics and constructionprod;2020;;
332;22-23 Man. plastics and constructionprod;2021;;
333;22-23 Man. plastics and constructionprod;2022;;
334;22-23 Man. plastics and constructionprod;2023;;
335;22-23 Man. plastics and constructionprod;2024;;
336;22 Manufacture rubber, plastic products;2013;9.0;13.0
337;22 Manufacture rubber, plastic products;2014;-1.0;-9.0
338;22 Manufacture rubber, plastic products;2015;11.0;9.0
339;22 Manufacture rubber, plastic products;2016;34.0;14.0
340;22 Manufacture rubber, plastic products;2017;30.0;14.0
341;22 Manufacture rubber, plastic products;2018;26.0;9.0
342;22 Manufacture rubber, plastic products;2019;20.0;-2.0
343;22 Manufacture rubber, plastic products;2020;40.0;23.0
344;22 Manufacture rubber, plastic products;2021;-2.0;6.0
345;22 Manufacture rubber, plastic products;2022;10.0;-18.0
346;22 Manufacture rubber, plastic products;2023;47.0;13.0
347;22 Manufacture rubber, plastic products;2024;-3.0;
348;23 Manufacture of building materials;2013;10.0;18.0
349;23 Manufacture of building materials;2014;-3.0;0.0
350;23 Manufacture of building materials;2015;-6.0;4.0
351;23 Manufacture of building materials;2016;-6.0;-10.0
352;23 Manufacture of building materials;2017;45.0;41.0
353;23 Manufacture of building materials;2018;-7.0;2.0
354;23 Manufacture of building materials;2019;42.0;36.0
355;23 Manufacture of building materials;2020;4.0;-2.0
356;23 Manufacture of building materials;2021;-15.0;-9.0
357;23 Manufacture of building materials;2022;16.0;-4.0
358;23 Manufacture of building materials;2023;31.0;19.0
359;23 Manufacture of building materials;2024;-23.0;
360;24 Manufacture of basic metals;2013;-8.0;-12.0
361;24 Manufacture of basic metals;2014;-22.0;7.0
362;24 Manufacture of basic metals;2015;-15.0;42.0
363;24 Manufacture of basic metals;2016;-24.0;-4.0
364;24 Manufacture of basic metals;2017;28.0;43.0
365;24 Manufacture of basic metals;2018;-31.0;8.0
366;24 Manufacture of basic metals;2019;1.0;-12.0
367;24 Manufacture of basic metals;2020;-2.0;-33.0
368;24 Manufacture of basic metals;2021;69.0;109.0
369;24 Manufacture of basic metals;2022;19.0;7.0
370;24 Manufacture of basic metals;2023;61.0;79.0
371;24 Manufacture of basic metals;2024;43.0;
372;24-25 Man. of basic metals and -products;2013;-3.0;-4.0
373;24-25 Man. of basic metals and -products;2014;-8.0;10.0
374;24-25 Man. of basic metals and -products;2015;-18.0;18.0
375;24-25 Man. of basic metals and -products;2016;-6.0;10.0
376;24-25 Man. of basic metals and -products;2017;-7.0;16.0
377;24-25 Man. of basic metals and -products;2018;-6.0;11.0
378;24-25 Man. of basic metals and -products;2019;-10.0;9.0
379;24-25 Man. of basic metals and -products;2020;-21.0;-18.0
380;24-25 Man. of basic metals and -products;2021;-4.0;25.0
381;24-25 Man. of basic metals and -products;2022;2.0;9.0
382;24-25 Man. of basic metals and -products;2023;17.0;39.0
383;24-25 Man. of basic metals and -products;2024;12.0;
384;24-30, 33 Metalectro;2013;3.0;-1.0
385;24-30, 33 Metalectro;2014;14.0;-1.0
386;24-30, 33 Metalectro;2015;25.0;21.0
387;24-30, 33 Metalectro;2016;-12.0;2.0
388;24-30, 33 Metalectro;2017;5.0;8.0
389;24-30, 33 Metalectro;2018;9.0;13.0
390;24-30, 33 Metalectro;2019;9.0;11.0
391;24-30, 33 Metalectro;2020;-15.0;-23.0
392;24-30, 33 Metalectro;2021;5.0;31.0
393;24-30, 33 Metalectro;2022;3.0;11.0
394;24-30, 33 Metalectro;2023;9.0;14.0
395;24-30, 33 Metalectro;2024;35.0;
396;25 Manufacture of metal products;2013;-1.0;0.0
397;25 Manufacture of metal products;2014;-3.0;11.0
398;25 Manufacture of metal products;2015;-19.0;8.0
399;25 Manufacture of metal products;2016;1.0;17.0
400;25 Manufacture of metal products;2017;-12.0;4.0
401;25 Manufacture of metal products;2018;3.0;13.0
402;25 Manufacture of metal products;2019;-17.0;20.0
403;25 Manufacture of metal products;2020;-27.0;-12.0
404;25 Manufacture of metal products;2021;-18.0;-2.0
405;25 Manufacture of metal products;2022;-2.0;10.0
406;25 Manufacture of metal products;2023;8.0;12.0
407;25 Manufacture of metal products;2024;-13.0;
408;26 Manufacture of electronic products;2013;39.0;14.0
409;26 Manufacture of electronic products;2014;20.0;17.0
410;26 Manufacture of electronic products;2015;33.0;-21.0
411;26 Manufacture of electronic products;2016;-23.0;62.0
412;26 Manufacture of electronic products;2017;-17.0;3.0
413;26 Manufacture of electronic products;2018;17.0;-26.0
414;26 Manufacture of electronic products;2019;20.0;5.0
415;26 Manufacture of electronic products;2020;17.0;-11.0
416;26 Manufacture of electronic products;2021;33.0;58.0
417;26 Manufacture of electronic products;2022;49.0;14.0
418;26 Manufacture of electronic products;2023;20.0;-4.0
419;26 Manufacture of electronic products;2024;-9.0;
420;26-28 Manufact of electronics, machinery;2013;3.0;-17.0
421;26-28 Manufact of electronics, machinery;2014;39.0;4.0
422;26-28 Manufact of electronics, machinery;2015;54.0;27.0
423;26-28 Manufact of electronics, machinery;2016;-21.0;-5.0
424;26-28 Manufact of electronics, machinery;2017;8.0;-8.0
425;26-28 Manufact of electronics, machinery;2018;36.0;23.0
426;26-28 Manufact of electronics, machinery;2019;32.0;23.0
427;26-28 Manufact of electronics, machinery;2020;1.0;-20.0
428;26-28 Manufact of electronics, machinery;2021;8.0;51.0
429;26-28 Manufact of electronics, machinery;2022;12.0;10.0
430;26-28 Manufact of electronics, machinery;2023;11.0;4.0
431;26-28 Manufact of electronics, machinery;2024;60.0;
432;27 Manufacture of electric equipment;2013;-3.0;-44.0
433;27 Manufacture of electric equipment;2014;-3.0;29.0
434;27 Manufacture of electric equipment;2015;-2.0;-13.0
435;27 Manufacture of electric equipment;2016;25.0;20.0
436;27 Manufacture of electric equipment;2017;5.0;38.0
437;27 Manufacture of electric equipment;2018;1.0;1.0
438;27 Manufacture of electric equipment;2019;15.0;16.0
439;27 Manufacture of electric equipment;2020;-21.0;17.0
440;27 Manufacture of electric equipment;2021;-14.0;-19.0
441;27 Manufacture of electric equipment;2022;6.0;-1.0
442;27 Manufacture of electric equipment;2023;3.0;25.0
443;27 Manufacture of electric equipment;2024;-13.0;
444;28 Manufacture of machinery n.e.c.;2013;-1.0;-16.0
445;28 Manufacture of machinery n.e.c.;2014;49.0;-3.0
446;28 Manufacture of machinery n.e.c.;2015;67.0;48.0
447;28 Manufacture of machinery n.e.c.;2016;-28.0;-18.0
448;28 Manufacture of machinery n.e.c.;2017;13.0;-19.0
449;28 Manufacture of machinery n.e.c.;2018;49.0;48.0
450;28 Manufacture of machinery n.e.c.;2019;38.0;27.0
451;28 Manufacture of machinery n.e.c.;2020;2.0;-29.0
452;28 Manufacture of machinery n.e.c.;2021;9.0;71.0
453;28 Manufacture of machinery n.e.c.;2022;5.0;11.0
454;28 Manufacture of machinery n.e.c.;2023;11.0;2.0
455;28 Manufacture of machinery n.e.c.;2024;83.0;
456;29 Manufacture of cars and trailers;2013;26.0;99.0
457;29 Manufacture of cars and trailers;2014;-21.0;-28.0
458;29 Manufacture of cars and trailers;2015;32.0;20.0
459;29 Manufacture of cars and trailers;2016;4.0;-25.0
460;29 Manufacture of cars and trailers;2017;73.0;66.0
461;29 Manufacture of cars and trailers;2018;-5.0;-23.0
462;29 Manufacture of cars and trailers;2019;8.0;-39.0
463;29 Manufacture of cars and trailers;2020;31.0;3.0
464;29 Manufacture of cars and trailers;2021;124.0;114.0
465;29 Manufacture of cars and trailers;2022;-20.0;-17.0
466;29 Manufacture of cars and trailers;2023;-27.0;-1.0
467;29 Manufacture of cars and trailers;2024;21.0;
468;29-30 Transport equipment;2013;7.0;51.0
469;29-30 Transport equipment;2014;-12.0;-23.0
470;29-30 Transport equipment;2015;22.0;19.0
471;29-30 Transport equipment;2016;9.0;-22.0
472;29-30 Transport equipment;2017;54.0;67.0
473;29-30 Transport equipment;2018;-2.0;-27.0
474;29-30 Transport equipment;2019;18.0;25.0
475;29-30 Transport equipment;2020;1.0;-42.0
476;29-30 Transport equipment;2021;89.0;90.0
477;29-30 Transport equipment;2022;-13.0;-13.0
478;29-30 Transport equipment;2023;-1.0;6.0
479;29-30 Transport equipment;2024;26.0;
480;30 Manufacture of other transport;2013;-12.0;-15.0
481;30 Manufacture of other transport;2014;19.0;-9.0
482;30 Manufacture of other transport;2015;-4.0;17.0
483;30 Manufacture of other transport;2016;24.0;-14.0
484;30 Manufacture of other transport;2017;11.0;70.0
485;30 Manufacture of other transport;2018;14.0;-35.0
486;30 Manufacture of other transport;2019;42.0;188.0
487;30 Manufacture of other transport;2020;-27.0;-67.0
488;30 Manufacture of other transport;2021;27.0;50.0
489;30 Manufacture of other transport;2022;4.0;-5.0
490;30 Manufacture of other transport;2023;30.0;19.0
491;30 Manufacture of other transport;2024;34.0;
492;31 Manufacture of furniture;2013;13.0;38.0
493;31 Manufacture of furniture;2014;-26.0;-2.0
494;31 Manufacture of furniture;2015;18.0;-10.0
495;31 Manufacture of furniture;2016;7.0;14.0
496;31 Manufacture of furniture;2017;20.0;-2.0
497;31 Manufacture of furniture;2018;-15.0;6.0
498;31 Manufacture of furniture;2019;10.0;36.0
499;31 Manufacture of furniture;2020;-6.0;-2.0
500;31 Manufacture of furniture;2021;9.0;-2.0
501;31 Manufacture of furniture;2022;15.0;31.0
502;31 Manufacture of furniture;2023;-22.0;-14.0
503;31 Manufacture of furniture;2024;5.0;
504;31-33 Other manufacturing and repair;2013;;15.0
505;31-33 Other manufacturing and repair;2014;;-11.0
506;31-33 Other manufacturing and repair;2015;;9.0
507;31-33 Other manufacturing and repair;2016;0.0;21.0
508;31-33 Other manufacturing and repair;2017;-3.0;-4.0
509;31-33 Other manufacturing and repair;2018;-6.0;24.0
510;31-33 Other manufacturing and repair;2019;-2.0;-4.0
511;31-33 Other manufacturing and repair;2020;-43.0;-20.0
512;31-33 Other manufacturing and repair;2021;-2.0;-32.0
513;31-33 Other manufacturing and repair;2022;1.0;43.0
514;31-33 Other manufacturing and repair;2023;-1.0;-6.0
515;31-33 Other manufacturing and repair;2024;11.0;
516;32 Manufacture of other products;2013;24.0;2.0
517;32 Manufacture of other products;2014;1.0;-28.0
518;32 Manufacture of other products;2015;-3.0;13.0
519;32 Manufacture of other products;2016;-5.0;-1.0
520;32 Manufacture of other products;2017;19.0;-9.0
521;32 Manufacture of other products;2018;24.0;0.0
522;32 Manufacture of other products;2019;60.0;29.0
523;32 Manufacture of other products;2020;-13.0;10.0
524;32 Manufacture of other products;2021;156.0;13.0
525;32 Manufacture of other products;2022;27.0;-6.0
526;32 Manufacture of other products;2023;37.0;20.0
527;32 Manufacture of other products;2024;34.0;
528;33 Repair and installation of machinery;2013;12.0;17.0
529;33 Repair and installation of machinery;2014;16.0;-6.0
530;33 Repair and installation of machinery;2015;1.0;12.0
531;33 Repair and installation of machinery;2016;0.0;28.0
532;33 Repair and installation of machinery;2017;-10.0;-3.0
533;33 Repair and installation of machinery;2018;-10.0;32.0
534;33 Repair and installation of machinery;2019;-39.0;-14.0
535;33 Repair and installation of machinery;2020;-56.0;-30.0
536;33 Repair and installation of machinery;2021;-45.0;-56.0
537;33 Repair and installation of machinery;2022;-33.0;98.0
538;33 Repair and installation of machinery;2023;-9.0;-14.0
539;33 Repair and installation of machinery;2024;0.0;
540;D Energy supply;2013;;
541;D Energy supply;2014;;
542;D Energy supply;2015;;
543;D Energy supply;2016;;
544;D Energy supply;2017;;
545;D Energy supply;2018;;
546;D Energy supply;2019;;
547;D Energy supply;2020;;
548;D Energy supply;2021;;
549;D Energy supply;2022;;
