ID;RegioS;Perioden;TotaalParticuliereHuishoudens_1;Eenpersoonshuishouden_2;TotaalMeerpersoonshuishoudens_3;ZonderKinderen_4;MetKinderen_5;TotaalNietGehuwdeParen_6;ZonderKinderen_7;MetKinderen_8;TotaalGehuwdeParen_9;ZonderKinderen_10;MetKinderen_11;Eenouderhuishouden_12;OverigHuishouden_13;TotaalPersonenInHuishoudens_14;TotaalPersonenInParticuliereHuish_15;ThuiswonendKind_16;Alleenstaand_17;TotaalSamenwonend_18;PartnerInNietGehuwdPaarZonderKi_19;PartnerInGehuwdPaarZonderKinderen_20;PartnerInNietGehuwdPaarMetKinderen_21;PartnerInGehuwdPaarMetKinderen_22;OuderInEenouderhuishouden_23;OverigLidHuishouden_24;PersoonInInstitutioneelHuishouden_25
96;Overijssel (PV);1971;261;32;229;61;167;4;3;1;208;55;154;13;4;933;919;406;32;422;5;109;2;306;13;45;14
97;Overijssel (PV);1972;268;36;232;63;169;4;3;1;212;56;156;13;4;946;931;409;36;431;5;112;2;312;13;43;15
98;Overijssel (PV);1973;274;39;234;64;170;4;3;1;214;57;157;12;4;956;941;410;39;438;5;115;2;316;12;42;15
99;Overijssel (PV);1974;279;43;237;65;172;4;3;1;217;58;158;12;4;967;952;411;43;445;5;118;2;321;12;41;15
100;Overijssel (PV);1975;285;46;239;66;173;5;3;1;219;59;160;12;3;977;962;411;46;453;5;121;2;326;12;39;15
101;Overijssel (PV);1976;293;51;242;67;175;5;4;1;222;60;162;12;3;986;970;409;51;460;5;124;2;330;12;38;16
102;Overijssel (PV);1977;300;55;245;68;177;5;4;1;225;61;164;12;3;993;977;406;55;467;5;126;1;335;12;37;16
103;Overijssel (PV);1978;308;59;248;70;178;6;4;1;228;63;165;12;3;1001;985;404;59;475;6;129;1;338;12;35;16
104;Overijssel (PV);1979;315;63;252;72;180;6;5;1;230;64;166;12;3;1010;993;402;63;481;7;132;1;340;12;34;17
105;Overijssel (PV);1980;323;68;256;74;182;7;6;1;233;66;167;13;3;1018;1001;401;68;487;9;136;1;342;13;32;17
106;Overijssel (PV);1981;332;72;260;77;183;8;7;1;236;68;168;14;3;1028;1011;400;72;494;11;139;1;342;14;31;17
107;Overijssel (PV);1982;340;76;264;80;185;9;8;1;238;69;169;15;3;1034;1017;396;76;500;14;142;2;342;15;30;17
108;Overijssel (PV);1983;349;81;268;83;186;10;9;1;240;71;168;16;3;1038;1021;391;81;505;17;145;2;341;16;28;17
109;Overijssel (PV);1984;356;85;271;85;186;11;10;1;240;73;167;17;3;1042;1025;387;85;509;20;148;2;339;17;27;17
110;Overijssel (PV);1985;364;89;274;89;186;13;11;1;241;75;166;18;3;1045;1027;381;89;512;23;151;2;336;18;26;18
111;Overijssel (PV);1986;355;89;266;88;178;13;12;1;232;74;158;18;3;999;982;359;89;491;24;147;3;317;18;24;17
112;Overijssel (PV);1987;364;93;271;92;179;15;13;2;235;76;159;18;3;1004;987;356;93;495;26;152;3;314;18;24;17
113;Overijssel (PV);1988;375;97;278;97;181;17;15;2;239;80;160;19;3;1010;993;354;97;500;29;156;4;312;19;23;17
114;Overijssel (PV);1989;382;101;282;101;181;18;16;2;242;82;159;19;3;1015;998;350;101;506;31;161;5;310;19;22;17
115;Overijssel (PV);1990;387;104;283;104;180;20;17;3;242;84;157;19;2;1020;1004;348;104;512;33;166;5;308;19;21;16
116;Overijssel (PV);1991;392;107;285;107;178;22;19;3;242;86;155;19;2;1026;1011;345;107;519;37;170;6;306;19;21;15
117;Overijssel (PV);1992;403;110;292;113;179;24;20;4;246;90;156;19;2;1032;1017;342;110;525;40;175;7;304;19;20;15
118;Overijssel (PV);1993;405;112;292;115;177;26;22;4;245;91;153;19;2;1039;1024;340;112;532;43;179;8;302;19;20;15
119;Overijssel (PV);1994;413;115;298;120;178;29;24;5;247;94;153;19;2;1045;1029;337;115;538;46;183;9;299;19;19;16
120;Flevoland (PV);1971;5;0;5;1;4;0;0;0;5;1;4;0;0;17;17;8;0;8;0;1;0;6;0;0;0
121;Flevoland (PV);1972;6;1;5;1;4;0;0;0;5;1;4;0;0;20;20;10;1;9;0;2;0;7;0;0;0
122;Flevoland (PV);1973;7;1;6;1;4;0;0;0;6;1;4;0;0;22;22;11;1;10;0;2;0;8;0;0;0
123;Flevoland (PV);1974;8;1;7;2;5;0;0;0;7;2;5;0;0;25;25;12;1;11;0;2;0;9;0;0;0
124;Flevoland (PV);1975;12;1;10;3;7;0;0;0;10;3;7;0;0;30;29;14;1;14;0;3;0;10;0;0;1
125;Flevoland (PV);1976;14;2;12;4;9;0;0;0;12;3;8;0;0;36;35;16;2;17;0;4;0;12;0;0;1
126;Flevoland (PV);1977;16;2;14;4;10;0;0;0;13;4;9;0;0;41;40;17;2;20;0;5;0;14;0;1;1
127;Flevoland (PV);1978;19;3;16;5;11;0;0;0;15;5;11;1;0;49;48;20;3;24;0;7;0;17;1;1;1
128;Flevoland (PV);1979;22;4;18;6;13;0;0;0;17;5;12;1;0;59;58;23;4;29;1;8;0;20;1;1;1
129;Flevoland (PV);1980;23;4;19;6;13;1;0;0;17;5;12;1;0;66;65;26;4;33;1;10;0;22;1;1;1
130;Flevoland (PV);1981;25;5;20;6;14;1;0;0;18;6;12;1;0;76;75;30;5;38;1;12;0;25;1;1;1
131;Flevoland (PV);1982;29;6;23;7;16;1;1;0;21;7;14;1;0;90;89;34;6;46;1;14;1;30;1;1;1
132;Flevoland (PV);1983;33;7;26;8;18;1;1;0;23;8;16;2;0;101;100;38;7;52;2;16;1;33;2;1;1
133;Flevoland (PV);1984;38;8;29;9;20;1;1;0;26;8;17;2;0;111;110;41;8;57;2;18;1;36;2;2;1
134;Flevoland (PV);1985;42;9;33;11;22;2;1;0;28;9;19;3;0;121;120;44;9;63;2;20;1;39;3;2;1
135;Flevoland (PV);1986;62;14;48;16;33;3;2;1;42;14;28;4;0;177;176;64;14;91;3;30;1;57;4;3;1
136;Flevoland (PV);1987;66;15;51;17;34;3;2;1;44;15;29;4;0;185;184;67;15;95;4;31;2;59;4;3;1
137;Flevoland (PV);1988;70;16;54;18;36;4;3;1;45;15;30;5;0;194;192;70;16;99;5;32;2;61;5;3;2
138;Flevoland (PV);1989;74;17;57;20;38;4;3;1;48;16;32;5;0;203;201;73;17;103;6;33;2;62;5;3;2
139;Flevoland (PV);1990;79;18;60;21;39;5;4;1;50;17;33;5;0;212;210;76;18;108;7;34;3;64;5;3;2
140;Flevoland (PV);1991;83;20;64;23;41;6;4;2;52;18;34;5;0;222;220;79;20;114;9;36;3;66;5;3;2
141;Flevoland (PV);1992;88;21;67;24;43;7;5;2;54;19;35;5;0;233;232;83;21;120;10;37;3;69;5;3;1
142;Flevoland (PV);1993;92;22;70;26;44;8;6;2;56;20;36;6;0;243;242;85;22;126;12;39;4;72;6;3;1
143;Flevoland (PV);1994;97;23;73;28;46;9;6;2;58;21;37;6;0;254;252;88;23;132;13;41;5;74;6;3;2
144;Gelderland (PV);1971;433;61;372;102;270;6;4;2;338;91;248;21;7;1534;1489;646;61;689;8;182;3;497;21;71;45
145;Gelderland (PV);1972;446;66;381;105;276;6;4;2;346;95;251;22;7;1558;1514;649;66;706;7;190;4;505;22;71;44
146;Gelderland (PV);1973;459;70;389;108;281;6;3;3;354;99;255;23;6;1580;1536;650;70;722;7;197;6;513;23;70;44
147;Gelderland (PV);1974;472;75;397;112;286;7;3;4;361;102;258;23;6;1601;1557;650;75;738;7;205;7;520;23;70;44
148;Gelderland (PV);1975;486;80;406;115;291;7;3;4;368;105;263;24;6;1621;1577;649;80;754;7;211;7;529;24;69;44
149;Gelderland (PV);1976;501;86;415;117;297;8;3;5;376;108;268;25;6;1640;1596;647;86;769;8;216;8;539;25;68;44
150;Gelderland (PV);1977;515;93;423;120;303;9;4;5;382;110;272;26;6;1654;1610;643;93;782;9;219;8;546;26;66;44
151;Gelderland (PV);1978;529;99;430;123;307;10;5;5;388;112;276;27;6;1668;1625;640;99;795;10;224;8;553;27;64;43
152;Gelderland (PV);1979;542;105;437;126;311;11;6;5;393;115;278;28;5;1681;1637;637;105;806;12;229;9;557;28;62;44
153;Gelderland (PV);1980;555;112;444;129;315;12;6;6;398;117;281;29;5;1694;1651;635;112;816;14;233;10;560;29;59;43
154;Gelderland (PV);1981;569;119;451;132;319;13;8;6;402;119;283;30;5;1709;1665;636;119;826;16;237;10;563;30;55;44
155;Gelderland (PV);1982;581;126;455;134;322;15;9;6;404;120;284;31;5;1719;1676;634;126;834;19;239;11;566;31;50;43
156;Gelderland (PV);1983;593;134;459;136;323;16;11;6;404;120;284;33;5;1727;1685;631;134;841;22;240;11;568;33;47;42
157;Gelderland (PV);1984;605;141;463;140;323;18;12;6;405;122;283;34;5;1736;1694;626;141;846;25;243;11;566;34;47;42
158;Gelderland (PV);1985;617;149;468;145;323;21;15;6;406;124;282;35;6;1745;1704;619;149;852;30;247;12;563;35;49;41
159;Gelderland (PV);1986;631;157;473;151;322;24;17;6;408;128;280;36;6;1761;1721;615;157;863;35;255;12;560;36;50;40
160;Gelderland (PV);1987;644;165;479;159;321;27;21;7;410;133;278;36;5;1772;1732;609;165;873;42;264;13;554;36;49;40
161;Gelderland (PV);1988;658;172;486;168;318;31;24;7;413;138;275;37;5;1784;1744;602;172;886;49;275;14;548;37;48;40
162;Gelderland (PV);1989;672;179;493;177;316;36;29;7;415;143;272;37;5;1795;1756;594;179;902;57;287;14;543;37;45;39
163;Gelderland (PV);1990;686;186;500;187;313;40;33;7;419;149;269;36;5;1804;1767;587;186;917;65;299;15;537;36;41;37
164;Gelderland (PV);1991;701;192;508;197;311;44;37;8;422;155;267;37;5;1817;1781;581;192;932;73;311;15;532;37;39;36
165;Gelderland (PV);1992;712;198;514;205;309;48;40;8;424;160;264;37;5;1829;1795;579;198;944;80;320;16;528;37;37;34
166;Gelderland (PV);1993;723;204;519;211;308;51;42;9;426;164;262;37;5;1840;1806;576;204;954;85;328;18;523;37;36;34
167;Gelderland (PV);1994;733;209;524;218;306;55;45;10;427;168;259;37;4;1851;1818;574;209;962;90;335;20;517;37;35;33
168;Utrecht (PV);1971;256;56;200;59;141;4;3;1;180;52;128;12;4;816;792;329;56;369;6;105;2;256;12;26;24
169;Utrecht (PV);1972;263;58;205;61;144;5;4;1;184;54;130;13;4;827;803;331;58;376;6;108;2;260;13;26;24
170;Utrecht (PV);1973;270;59;210;63;147;5;4;1;187;55;132;14;4;838;814;332;59;383;7;111;2;263;14;26;24
171;Utrecht (PV);1974;276;61;215;66;150;6;5;1;191;57;134;15;4;849;825;332;61;391;8;114;2;267;15;26;24
172;Utrecht (PV);1975;283;63;220;68;152;6;6;1;194;59;136;16;4;858;833;330;63;398;9;118;2;270;16;26;25
173;Utrecht (PV);1976;291;66;225;70;155;7;6;1;198;60;138;16;4;868;844;329;66;407;10;122;2;274;16;26;24
174;Utrecht (PV);1977;298;69;229;73;157;8;7;1;201;62;139;17;4;874;849;325;69;414;11;125;2;276;17;26;25
175;Utrecht (PV);1978;305;72;233;75;159;9;8;1;204;63;140;17;4;879;854;321;72;419;12;128;2;277;17;25;25
176;Utrecht (PV);1979;312;75;237;77;161;10;9;1;206;64;141;18;4;886;862;320;75;424;14;130;2;279;18;25;24
177;Utrecht (PV);1980;320;79;241;79;163;11;10;1;208;65;142;19;4;895;871;319;79;430;16;131;2;280;19;25;24
178;Utrecht (PV);1981;328;83;245;81;165;12;11;1;209;66;143;20;4;908;884;321;83;436;18;133;2;282;20;25;24
179;Utrecht (PV);1982;335;87;248;82;166;13;12;1;210;66;144;21;4;917;893;320;87;440;21;133;2;284;21;24;24
180;Utrecht (PV);1983;343;92;251;84;167;15;13;2;210;66;144;22;5;923;899;317;92;444;24;134;3;284;22;24;24
181;Utrecht (PV);1984;351;97;254;86;168;16;14;2;210;67;144;23;5;929;906;315;97;447;27;134;3;283;23;24;23
182;Utrecht (PV);1985;360;102;258;88;169;18;16;2;211;68;144;24;5;936;913;313;102;450;30;134;3;282;24;24;23
183;Utrecht (PV);1986;369;108;262;91;170;19;17;2;213;69;144;24;5;944;921;312;108;454;33;136;4;281;24;23;23
184;Utrecht (PV);1987;378;112;266;95;171;21;19;3;215;71;144;25;5;954;931;312;112;459;36;139;5;280;25;23;23
185;Utrecht (PV);1988;388;117;270;99;172;24;21;3;217;73;144;25;5;965;943;312;117;467;40;143;6;278;25;22;22
186;Utrecht (PV);1989;400;124;276;104;172;26;22;4;220;76;144;25;5;1005;983;321;124;491;45;152;8;286;25;22;22
187;Utrecht (PV);1990;409;129;280;108;172;29;24;4;223;79;143;24;5;1016;994;320;129;500;48;158;9;285;24;21;22
188;Utrecht (PV);1991;419;134;285;113;172;31;26;5;226;83;143;24;4;1027;1006;319;134;510;52;164;10;283;24;20;21
189;Utrecht (PV);1992;428;139;288;117;171;34;28;6;228;85;142;23;4;1037;1018;319;139;518;55;170;12;282;23;19;19
190;Utrecht (PV);1993;436;144;292;121;171;36;30;7;229;88;141;23;4;1047;1027;318;144;525;58;174;13;279;23;17;20
191;Utrecht (PV);1994;444;149;295;124;170;38;31;7;230;90;140;23;3;1056;1036;318;149;530;61;178;14;276;23;16;20
192;Noord-Holland (PV);1971;759;171;588;199;389;16;12;3;523;176;347;39;10;2260;2208;855;171;1081;24;354;6;697;39;62;52
193;Noord-Holland (PV);1972;774;177;597;203;393;19;15;4;529;178;351;39;10;2274;2222;855;177;1089;22;356;7;704;39;62;52
194;Noord-Holland (PV);1973;787;183;604;207;397;22;18;4;534;180;354;39;10;2283;2232;852;183;1095;21;357;8;709;39;63;51
195;Noord-Holland (PV);1974;800;189;611;211;400;25;20;5;538;182;356;39;10;2283;2231;843;189;1097;21;358;9;709;39;63;52
196;Noord-Holland (PV);1975;813;198;616;215;401;28;23;5;540;183;356;39;9;2285;2233;833;198;1101;23;361;9;707;39;63;52
197;Noord-Holland (PV);1976;829;208;621;220;401;31;26;6;541;186;355;40;9;2296;2244;822;208;1110;27;367;10;707;40;64;52
198;Noord-Holland (PV);1977;843;219;624;225;399;35;29;6;539;187;352;41;9;2299;2248;808;219;1115;31;371;10;703;41;64;51
199;Noord-Holland (PV);1978;858;230;628;229;399;38;32;6;538;188;350;43;9;2300;2248;794;230;1118;36;373;11;698;43;63;52
200;Noord-Holland (PV);1979;872;241;632;232;400;42;35;7;537;188;349;44;9;2299;2248;783;241;1118;42;373;12;692;44;62;51
