ID;WayOfEnding;TypeOfPerson;Regions;Periods;EndedDebtRestructuringPlans_1;AverageDuration_2
23;All ended debt restructuring plans;Natural persons total;Total Netherlands;2003 4th quarter;2396.0;31.0
24;All ended debt restructuring plans;Natural persons total;Total Netherlands;2003;8648.0;31.0
25;All ended debt restructuring plans;Natural persons total;Total Netherlands;2004 1st quarter;2032.0;31.0
26;All ended debt restructuring plans;Natural persons total;Total Netherlands;2004 2nd quarter;2305.0;30.0
27;All ended debt restructuring plans;Natural persons total;Total Netherlands;2004 3rd quarter;2092.0;31.0
28;All ended debt restructuring plans;Natural persons total;Total Netherlands;2004 4th quarter;2238.0;30.0
29;All ended debt restructuring plans;Natural persons total;Total Netherlands;2004;8667.0;31.0
30;All ended debt restructuring plans;Natural persons total;Total Netherlands;2005 1st quarter;2361.0;31.0
31;All ended debt restructuring plans;Natural persons total;Total Netherlands;2005 2nd quarter;2505.0;30.0
32;All ended debt restructuring plans;Natural persons total;Total Netherlands;2005 3rd quarter;2525.0;31.0
33;All ended debt restructuring plans;Natural persons total;Total Netherlands;2005 4th quarter;2545.0;31.0
34;All ended debt restructuring plans;Natural persons total;Total Netherlands;2005;9936.0;31.0
35;All ended debt restructuring plans;Natural persons total;Total Netherlands;2006 1st quarter;2330.0;31.0
36;All ended debt restructuring plans;Natural persons total;Total Netherlands;2006 2nd quarter;2731.0;31.0
37;All ended debt restructuring plans;Natural persons total;Total Netherlands;2006 3rd quarter;2638.0;32.0
38;All ended debt restructuring plans;Natural persons total;Total Netherlands;2006 4th quarter;2985.0;32.0
39;All ended debt restructuring plans;Natural persons total;Total Netherlands;2006;10684.0;31.0
40;All ended debt restructuring plans;Natural persons total;Total Netherlands;2007 1st quarter;2768.0;32.0
41;All ended debt restructuring plans;Natural persons total;Total Netherlands;2007 2nd quarter;3176.0;34.0
42;All ended debt restructuring plans;Natural persons total;Total Netherlands;2007 3rd quarter;3084.0;33.0
43;All ended debt restructuring plans;Natural persons total;Total Netherlands;2007 4th quarter;3439.0;34.0
44;All ended debt restructuring plans;Natural persons total;Total Netherlands;2007;12467.0;33.0
45;All ended debt restructuring plans;Natural persons total;Total Netherlands;2008 1st quarter;3633.0;34.0
46;All ended debt restructuring plans;Natural persons total;Total Netherlands;2008 2nd quarter;3483.0;34.0
47;All ended debt restructuring plans;Natural persons total;Total Netherlands;2008 3rd quarter;3216.0;34.0
48;All ended debt restructuring plans;Natural persons total;Total Netherlands;2008 4th quarter;3818.0;35.0
49;All ended debt restructuring plans;Natural persons total;Total Netherlands;2008;14150.0;34.0
50;All ended debt restructuring plans;Natural persons total;Total Netherlands;2009 1st quarter;3542.0;35.0
51;All ended debt restructuring plans;Natural persons total;Total Netherlands;2009 2nd quarter;3543.0;36.0
52;All ended debt restructuring plans;Natural persons total;Total Netherlands;2009 3rd quarter;3322.0;36.0
53;All ended debt restructuring plans;Natural persons total;Total Netherlands;2009 4th quarter;3432.0;37.0
54;All ended debt restructuring plans;Natural persons total;Total Netherlands;2009;13839.0;36.0
55;All ended debt restructuring plans;Natural persons total;Total Netherlands;2010 1st quarter;3388.0;37.0
56;All ended debt restructuring plans;Natural persons total;Total Netherlands;2010 2nd quarter;3390.0;37.0
57;All ended debt restructuring plans;Natural persons total;Total Netherlands;2010 3rd quarter;3180.0;37.0
58;All ended debt restructuring plans;Natural persons total;Total Netherlands;2010 4th quarter;3590.0;37.0
59;All ended debt restructuring plans;Natural persons total;Total Netherlands;2010;13548.0;37.0
60;All ended debt restructuring plans;Natural persons total;Total Netherlands;2011 1st quarter;3163.0;37.0
61;All ended debt restructuring plans;Natural persons total;Total Netherlands;2011 2nd quarter;2582.0;36.0
62;All ended debt restructuring plans;Natural persons total;Total Netherlands;2011 3rd quarter;2581.0;36.0
63;All ended debt restructuring plans;Natural persons total;Total Netherlands;2011 4th quarter;2530.0;36.0
64;All ended debt restructuring plans;Natural persons total;Total Netherlands;2011;10856.0;36.0
65;All ended debt restructuring plans;Natural persons total;Total Netherlands;2012 1st quarter;2450.0;35.0
66;All ended debt restructuring plans;Natural persons total;Total Netherlands;2012 2nd quarter;2405.0;34.0
67;All ended debt restructuring plans;Natural persons total;Total Netherlands;2012 3rd quarter;2342.0;34.0
68;All ended debt restructuring plans;Natural persons total;Total Netherlands;2012 4th quarter;2690.0;34.0
69;All ended debt restructuring plans;Natural persons total;Total Netherlands;2012;9887.0;34.0
70;All ended debt restructuring plans;Natural persons total;Total Netherlands;2013 1st quarter;2712.0;34.0
71;All ended debt restructuring plans;Natural persons total;Total Netherlands;2013 2nd quarter;2810.0;34.0
72;All ended debt restructuring plans;Natural persons total;Total Netherlands;2013 3rd quarter;2779.0;34.0
73;All ended debt restructuring plans;Natural persons total;Total Netherlands;2013 4th quarter;3165.0;35.0
74;All ended debt restructuring plans;Natural persons total;Total Netherlands;2013;11466.0;34.0
75;All ended debt restructuring plans;Natural persons total;Total Netherlands;2014 1st quarter;3288.0;36.0
76;All ended debt restructuring plans;Natural persons total;Total Netherlands;2014 2nd quarter;3394.0;35.0
77;All ended debt restructuring plans;Natural persons total;Total Netherlands;2014 3rd quarter;3387.0;36.0
78;All ended debt restructuring plans;Natural persons total;Total Netherlands;2014 4th quarter;3625.0;35.0
79;All ended debt restructuring plans;Natural persons total;Total Netherlands;2014;13694.0;35.0
80;All ended debt restructuring plans;Natural persons total;Total Netherlands;2015 1st quarter;3501.0;35.0
81;All ended debt restructuring plans;Natural persons total;Total Netherlands;2015 2nd quarter;3327.0;36.0
82;All ended debt restructuring plans;Natural persons total;Total Netherlands;2015 3rd quarter;3337.0;36.0
83;All ended debt restructuring plans;Natural persons total;Total Netherlands;2015 4th quarter;3612.0;36.0
84;All ended debt restructuring plans;Natural persons total;Total Netherlands;2015;13777.0;36.0
85;All ended debt restructuring plans;Natural persons total;Total Netherlands;2016 1st quarter;3381.0;36.0
86;All ended debt restructuring plans;Natural persons total;Total Netherlands;2016 2nd quarter;3002.0;35.0
87;All ended debt restructuring plans;Natural persons total;Total Netherlands;2016 3rd quarter;2913.0;36.0
88;All ended debt restructuring plans;Natural persons total;Total Netherlands;2016 4th quarter;3196.0;36.0
89;All ended debt restructuring plans;Natural persons total;Total Netherlands;2016;12492.0;36.0
90;All ended debt restructuring plans;Natural persons total;Total Netherlands;2017 1st quarter;3009.0;35.0
91;All ended debt restructuring plans;Natural persons total;Total Netherlands;2017 2nd quarter;3049.0;36.0
92;All ended debt restructuring plans;Natural persons total;Total Netherlands;2017 3rd quarter;2907.0;36.0
93;All ended debt restructuring plans;Natural persons total;Total Netherlands;2017 4th quarter;2845.0;36.0
94;All ended debt restructuring plans;Natural persons total;Total Netherlands;2017;11810.0;36.0
95;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);1999 1st quarter;4.0;0.0
96;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);1999 2nd quarter;17.0;1.0
97;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);1999 3rd quarter;22.0;3.0
98;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);1999 4th quarter;20.0;1.0
99;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);1999;63.0;2.0
100;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2000 1st quarter;36.0;4.0
101;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2000 2nd quarter;27.0;6.0
102;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2000 3rd quarter;43.0;8.0
103;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2000 4th quarter;45.0;8.0
104;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2000;151.0;7.0
105;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2001 1st quarter;48.0;11.0
106;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2001 2nd quarter;64.0;9.0
107;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2001 3rd quarter;71.0;11.0
108;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2001 4th quarter;75.0;14.0
109;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2001;258.0;11.0
110;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2002 1st quarter;122.0;20.0
111;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2002 2nd quarter;102.0;27.0
112;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2002 3rd quarter;140.0;27.0
113;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2002 4th quarter;183.0;31.0
114;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2002;547.0;27.0
115;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2003 1st quarter;179.0;31.0
116;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2003 2nd quarter;227.0;32.0
117;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2003 3rd quarter;230.0;32.0
118;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2003 4th quarter;230.0;30.0
119;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2003;866.0;31.0
120;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2004 1st quarter;247.0;32.0
121;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2004 2nd quarter;258.0;31.0
122;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2004 3rd quarter;211.0;32.0
123;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2004 4th quarter;223.0;31.0
124;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2004;939.0;31.0
125;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2005 1st quarter;274.0;33.0
126;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2005 2nd quarter;207.0;32.0
127;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2005 3rd quarter;221.0;30.0
128;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2005 4th quarter;164.0;30.0
129;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2005;866.0;31.0
130;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2006 1st quarter;205.0;32.0
131;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2006 2nd quarter;240.0;33.0
132;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2006 3rd quarter;305.0;33.0
133;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2006 4th quarter;317.0;33.0
134;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2006;1067.0;33.0
135;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2007 1st quarter;326.0;34.0
136;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2007 2nd quarter;385.0;34.0
137;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2007 3rd quarter;358.0;35.0
138;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2007 4th quarter;409.0;34.0
139;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2007;1478.0;34.0
140;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2008 1st quarter;475.0;35.0
141;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2008 2nd quarter;454.0;35.0
142;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2008 3rd quarter;357.0;32.0
143;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2008 4th quarter;469.0;34.0
144;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2008;1755.0;34.0
145;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2009 1st quarter;435.0;34.0
146;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2009 2nd quarter;368.0;35.0
147;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2009 3rd quarter;329.0;35.0
148;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2009 4th quarter;373.0;35.0
149;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2009;1505.0;35.0
150;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2010 1st quarter;330.0;35.0
151;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2010 2nd quarter;359.0;35.0
152;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2010 3rd quarter;342.0;35.0
153;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2010 4th quarter;383.0;33.0
154;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2010;1414.0;34.0
155;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2011 1st quarter;302.0;33.0
156;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2011 2nd quarter;287.0;31.0
157;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2011 3rd quarter;264.0;31.0
158;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2011 4th quarter;308.0;32.0
159;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2011;1161.0;32.0
160;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2012 1st quarter;261.0;32.0
161;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2012 2nd quarter;310.0;33.0
162;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2012 3rd quarter;288.0;33.0
163;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2012 4th quarter;361.0;33.0
164;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2012;1220.0;33.0
165;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2013 1st quarter;321.0;33.0
166;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2013 2nd quarter;386.0;32.0
167;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2013 3rd quarter;367.0;32.0
168;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2013 4th quarter;405.0;33.0
169;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2013;1479.0;32.0
170;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2014 1st quarter;382.0;34.0
171;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2014 2nd quarter;465.0;33.0
172;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2014 3rd quarter;551.0;35.0
173;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2014 4th quarter;530.0;33.0
174;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2014;1928.0;34.0
175;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2015 1st quarter;506.0;33.0
176;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2015 2nd quarter;611.0;33.0
177;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2015 3rd quarter;556.0;33.0
178;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2015 4th quarter;575.0;33.0
179;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2015;2248.0;33.0
180;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2016 1st quarter;527.0;34.0
181;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2016 2nd quarter;534.0;34.0
182;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2016 3rd quarter;514.0;34.0
183;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2016 4th quarter;568.0;35.0
184;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2016;2143.0;34.0
185;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2017 1st quarter;579.0;33.0
186;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2017 2nd quarter;619.0;35.0
187;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2017 3rd quarter;585.0;34.0
188;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2017 4th quarter;545.0;35.0
189;All ended debt restructuring plans;Natural persons total;North of the Netherlands (LD);2017;2328.0;34.0
190;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);1999 1st quarter;5.0;2.0
191;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);1999 2nd quarter;14.0;2.0
192;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);1999 3rd quarter;25.0;2.0
193;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);1999 4th quarter;30.0;4.0
194;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);1999;74.0;3.0
195;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2000 1st quarter;51.0;7.0
196;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2000 2nd quarter;73.0;9.0
197;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2000 3rd quarter;98.0;11.0
198;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2000 4th quarter;127.0;11.0
199;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2000;349.0;10.0
200;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2001 1st quarter;176.0;13.0
201;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2001 2nd quarter;171.0;16.0
202;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2001 3rd quarter;196.0;16.0
203;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2001 4th quarter;216.0;18.0
204;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2001;759.0;16.0
205;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2002 1st quarter;256.0;22.0
206;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2002 2nd quarter;383.0;26.0
207;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2002 3rd quarter;481.0;29.0
208;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2002 4th quarter;617.0;30.0
209;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2002;1737.0;28.0
210;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2003 1st quarter;661.0;31.0
211;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2003 2nd quarter;611.0;30.0
212;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2003 3rd quarter;650.0;29.0
213;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2003 4th quarter;707.0;31.0
214;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2003;2629.0;30.0
215;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2004 1st quarter;640.0;30.0
216;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2004 2nd quarter;652.0;29.0
217;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2004 3rd quarter;640.0;28.0
218;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2004 4th quarter;690.0;30.0
219;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2004;2622.0;29.0
220;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2005 1st quarter;692.0;29.0
221;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2005 2nd quarter;705.0;29.0
222;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2005 3rd quarter;738.0;29.0
223;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2005 4th quarter;670.0;28.0
224;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2005;2805.0;29.0
225;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2006 1st quarter;609.0;28.0
226;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2006 2nd quarter;736.0;29.0
227;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2006 3rd quarter;701.0;31.0
228;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2006 4th quarter;678.0;29.0
229;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2006;2724.0;29.0
230;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2007 1st quarter;625.0;30.0
231;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2007 2nd quarter;586.0;31.0
232;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2007 3rd quarter;746.0;32.0
233;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2007 4th quarter;863.0;32.0
234;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2007;2820.0;31.0
235;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2008 1st quarter;877.0;32.0
236;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2008 2nd quarter;816.0;33.0
237;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2008 3rd quarter;828.0;33.0
238;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2008 4th quarter;865.0;34.0
239;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2008;3386.0;33.0
240;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2009 1st quarter;773.0;34.0
241;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2009 2nd quarter;796.0;35.0
242;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2009 3rd quarter;763.0;34.0
243;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2009 4th quarter;712.0;35.0
244;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2009;3044.0;34.0
245;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2010 1st quarter;803.0;35.0
246;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2010 2nd quarter;854.0;35.0
247;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2010 3rd quarter;690.0;35.0
248;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2010 4th quarter;777.0;35.0
249;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2010;3124.0;35.0
250;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2011 1st quarter;650.0;35.0
251;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2011 2nd quarter;574.0;33.0
252;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2011 3rd quarter;645.0;33.0
253;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2011 4th quarter;588.0;33.0
254;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2011;2457.0;33.0
255;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2012 1st quarter;509.0;32.0
256;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2012 2nd quarter;559.0;31.0
257;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2012 3rd quarter;499.0;31.0
258;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2012 4th quarter;610.0;30.0
259;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2012;2177.0;31.0
260;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2013 1st quarter;619.0;31.0
261;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2013 2nd quarter;678.0;32.0
262;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2013 3rd quarter;619.0;33.0
263;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2013 4th quarter;804.0;33.0
264;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2013;2720.0;32.0
265;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2014 1st quarter;837.0;34.0
266;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2014 2nd quarter;725.0;35.0
267;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2014 3rd quarter;757.0;35.0
268;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2014 4th quarter;872.0;34.0
269;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2014;3191.0;34.0
270;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2015 1st quarter;818.0;35.0
271;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2015 2nd quarter;720.0;35.0
272;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2015 3rd quarter;665.0;35.0
273;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2015 4th quarter;794.0;35.0
274;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2015;2997.0;35.0
275;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2016 1st quarter;715.0;35.0
276;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2016 2nd quarter;567.0;34.0
277;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2016 3rd quarter;546.0;35.0
278;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2016 4th quarter;643.0;34.0
279;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2016;2471.0;34.0
280;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2017 1st quarter;579.0;33.0
281;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2017 2nd quarter;543.0;34.0
282;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2017 3rd quarter;617.0;34.0
283;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2017 4th quarter;606.0;34.0
284;All ended debt restructuring plans;Natural persons total;East of the Netherlands (LD);2017;2345.0;34.0
285;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);1999 1st quarter;2.0;1.0
286;All ended debt restructuring plans;Natural persons total;West of the Netherlands (LD);1999 2nd quarter;23.0;2.0
