ID;Sectoren;Perioden;InvesteringenUitProductieEnInvoer_1;Woningen_2;Bedrijfsgebouwen_3;GrondWegEnWaterbouwkundigeWerken_4;TotaalVervoermiddelen_5;PersonenautoS_6;OverigeWegvervoermiddelen_7;TreinenEnTrams_8;Schepen_9;Vliegtuigen_10;MachinesEnInstallaties_11;Computers_12;OverigeMaterieleVasteActiva_13;Software_14;OverigeImmaterieleVasteActiva_15;InCultuurGebrachteActiva_16;OverdrachtskostenOpGrond_17;TotaalVerkoopGebruikteVasteActiva_18;UitvoerVanGebruikteVasteActiva_19;VerkoopAanConsumenten_20;InvesteringenInVasteActiva_21;InvesteringenUitProductieEnInvoer_22;Woningen_23;Bedrijfsgebouwen_24;GrondWegEnWaterbouwkundigeWerken_25;TotaalVervoermiddelen_26;PersonenautoS_27;OverigeWegvervoermiddelen_28;TreinenEnTrams_29;Schepen_30;Vliegtuigen_31;MachinesEnInstallaties_32;Computers_33;OverigeMaterieleVasteActiva_34;Software_35;OverigeImmaterieleVasteActiva_36;InCultuurGebrachteActiva_37;OverdrachtskostenOpGrond_38;TotaalVerkoopGebruikteVasteActiva_39;UitvoerVanGebruikteVasteActiva_40;VerkoopAanConsumenten_41;InvesteringenInVasteActiva_42;InvesteringenUitProductieEnInvoer_43;Woningen_44;Bedrijfsgebouwen_45;GrondWegEnWaterbouwkundigeWerken_46;TotaalVervoermiddelen_47;PersonenautoS_48;OverigeWegvervoermiddelen_49;TreinenEnTrams_50;Schepen_51;Vliegtuigen_52;MachinesEnInstallaties_53;Computers_54;OverigeMaterieleVasteActiva_55;Software_56;OverigeImmaterieleVasteActiva_57;InCultuurGebrachteActiva_58;OverdrachtskostenOpGrond_59;TotaalVerkoopGebruikteVasteActiva_60;UitvoerVanGebruikteVasteActiva_61;VerkoopAanConsumenten_62;InvesteringenInVasteActiva_63;InvesteringenUitProductieEnInvoer_64;Woningen_65;Bedrijfsgebouwen_66;GrondWegEnWaterbouwkundigeWerken_67;TotaalVervoermiddelen_68;PersonenautoS_69;OverigeWegvervoermiddelen_70;TreinenEnTrams_71;Schepen_72;Vliegtuigen_73;MachinesEnInstallaties_74;Computers_75;OverigeMaterieleVasteActiva_76;Software_77;OverigeImmaterieleVasteActiva_78;InCultuurGebrachteActiva_79;OverdrachtskostenOpGrond_80;TotaalVerkoopGebruikteVasteActiva_81;UitvoerVanGebruikteVasteActiva_82;VerkoopAanConsumenten_83;InvesteringenInVasteActiva_84
10;Totaal alle sectoren;1979;33265;10188;6303;4504;3150;1155.0;903.0;70.0;647.0;375.0;5604;580;1544;351;276;427.0;338;152;152.0;;33113;49678.0;22401.0;12482.0;8814.0;5311.0;2071.0;1420.0;133.0;1184.0;553.0;7591.0;24.0;2444.0;388.0;429.0;408.0;574.0;215.0;240.0;;49526;-2.6;-6.1;-7.0;-6.7;15.8;10.0;18.9;54.5;18.3;17.5;0.8;9.3;1.6;3.8;-14.6;4.5;-1.2;54.3;54.3;;-2.7;67.0;45.5;50.5;51.1;59.3;55.8;63.6;52.6;54.7;67.8;73.8;2401.7;63.2;90.5;64.4;104.6;58.8;70.7;63.2;;66.9
11;Totaal alle sectoren;1980;36736;11387;7305;4935;2878;1021.0;780.0;107.0;554.0;416.0;6339;709;1661;413;412;326.0;371;158;158.0;;36578;51214.0;22951.0;13268.0;8890.0;4542.0;1714.0;1149.0;192.0;948.0;572.0;8323.0;31.0;2500.0;424.0;595.0;303.0;615.0;209.0;234.0;;51071;3.1;2.5;6.3;0.9;-14.5;-17.2;-19.0;44.3;-19.9;3.5;9.6;29.3;2.3;9.4;38.8;-25.8;7.1;-2.6;-2.6;;3.1;71.7;49.6;55.1;55.5;63.4;59.6;67.9;55.7;58.5;72.7;76.2;2270.4;66.4;97.3;69.2;107.6;60.3;75.4;67.5;;71.6
12;Totaal alle sectoren;1981;35567;10896;6434;5094;2744;1038.0;711.0;163.0;534.0;298.0;6150;839;1679;475;503;396.0;357;158;158.0;;35409;46407.0;20580.0;10952.0;8617.0;4075.0;1639.0;986.0;275.0;860.0;387.0;7501.0;36.0;2297.0;462.0;680.0;322.0;584.0;196.0;219.0;;46271;-9.4;-10.3;-17.5;-3.1;-10.3;-4.4;-14.2;43.0;-9.2;-32.5;-9.9;16.2;-8.1;9.0;14.3;6.1;-5.1;-6.3;-6.3;;-9.4;76.6;52.9;58.7;59.1;67.3;63.3;72.1;59.3;62.1;77.1;82.0;2311.7;73.1;102.7;73.9;123.1;61.2;80.5;72.1;;76.5
13;Totaal alle sectoren;1982;35682;10559;6175;4849;3346;1147.0;790.0;209.0;875.0;325.0;6153;978;1705;579;604;383.0;351;198;198.0;;35484;45172.0;19553.0;10293.0;8006.0;4686.0;1705.0;1033.0;336.0;1329.0;397.0;7187.0;43.0;2205.0;554.0;786.0;272.0;571.0;233.0;261.0;;44994;-2.7;-5.0;-6.0;-7.1;15.0;4.0;4.8;22.1;54.5;2.7;-4.2;18.5;-4.0;19.8;15.5;-15.4;-2.2;19.0;19.0;;-2.8;79.0;54.0;60.0;60.6;71.4;67.3;76.5;62.3;65.8;81.9;85.6;2274.5;77.3;104.5;76.9;140.7;61.5;84.8;75.9;;78.9
14;Totaal alle sectoren;1983;36706;10433;5894;4674;4321;1318.0;846.0;166.0;1081.0;910.0;6524;1084;1725;700;614;385.0;352;178;178.0;;36528;46110.0;19384.0;9840.0;7709.0;5832.0;1887.0;1067.0;258.0;1582.0;1073.0;7492.0;47.0;2188.0;667.0;790.0;277.0;571.0;204.0;228.0;;45965;2.1;-0.9;-4.4;-3.7;24.5;10.6;3.3;-23.0;19.0;170.2;4.2;9.1;-0.8;20.4;0.5;1.8;0.0;-12.6;-12.6;;2.2;79.6;53.8;59.9;60.6;74.1;69.9;79.3;64.2;68.4;84.8;87.1;2310.7;78.8;105.0;77.7;138.9;61.7;87.3;78.1;;79.5
15;Totaal alle sectoren;1984;39852;10845;6260;5003;4349;1490.0;1006.0;140.0;719.0;994.0;7932;1365;2049;878;566;254.0;351;362;362.0;;39490;49642.0;19841.0;10299.0;8146.0;5688.0;2063.0;1230.0;213.0;1021.0;1135.0;9121.0;64.0;2553.0;832.0;716.0;212.0;569.0;407.0;455.0;;49281;7.7;2.4;4.7;5.7;-2.5;9.3;15.2;-17.5;-35.4;5.8;21.7;37.2;16.7;24.7;-9.3;-23.6;-0.3;99.4;99.4;;7.2;80.3;54.7;60.8;61.4;76.5;72.2;81.8;65.6;70.4;87.6;87.0;2121.1;80.2;105.6;79.0;120.0;61.7;89.0;79.6;;80.1
16;Totaal alle sectoren;1985;42814;10765;6431;5069;4676;1812.0;1193.0;118.0;836.0;717.0;9515;1626;2375;1049;778;181.0;349;465;451.0;14.0;42349;53505.0;19880.0;10625.0;8253.0;5948.0;2439.0;1417.0;177.0;1153.0;798.0;10983.0;83.0;2955.0;992.0;968.0;147.0;567.0;511.0;555.0;15.0;53035;7.8;0.2;3.2;1.3;4.6;18.3;15.2;-17.1;12.9;-29.7;20.4;28.3;15.7;19.2;35.2;-30.7;-0.3;25.7;22.1;;7.6;80.0;54.2;60.5;61.4;78.6;74.3;84.2;66.8;72.5;89.8;86.6;1969.7;80.4;105.8;80.3;123.4;61.5;90.9;81.2;91.5;79.9
17;Totaal alle sectoren;1986;45174;11321;7030;5035;5001;2257.0;1412.0;79.0;648.0;605.0;10135;1700;2620;1214;513;238.0;367;370;319.0;51.0;44804;56988.0;20968.0;11652.0;8229.0;6380.0;3041.0;1683.0;120.0;899.0;676.0;11886.0;93.0;3277.0;1154.0;646.0;213.0;600.0;406.0;393.0;55.0;56645;6.5;5.5;9.7;-0.3;7.2;24.7;18.8;-32.2;-22.0;-15.3;8.2;12.1;10.9;16.4;-33.3;45.3;5.7;-20.6;-29.3;257.1;6.8;79.3;54.0;60.3;61.2;78.4;74.2;83.9;65.9;72.0;89.5;85.3;1837.8;80.0;105.2;79.4;111.7;61.2;91.2;81.2;93.3;79.1
18;Totaal alle sectoren;1987;46361;11565;7690;4853;5018;2424.0;1581.0;68.0;504.0;441.0;10065;1784;2645;1423;644;229.0;445;535;458.0;77.0;45826;58019.0;21168.0;12582.0;7838.0;6239.0;3185.0;1835.0;102.0;682.0;479.0;11815.0;102.0;3276.0;1343.0;798.0;200.0;726.0;584.0;561.0;83.0;57472;1.8;1.0;8.0;-4.7;-2.2;4.7;9.1;-15.2;-24.2;-29.1;-0.6;10.4;0.0;16.4;23.6;-6.3;21.0;44.1;42.9;51.0;1.5;79.9;54.6;61.1;61.9;80.4;76.1;86.2;66.9;74.0;92.0;85.2;1746.8;80.7;105.9;80.7;114.7;61.3;91.5;81.6;93.3;79.7
19;Totaal alle sectoren;1988;51491;13163;8736;5177;4861;2267.0;1572.0;92.0;513.0;417.0;10016;2074;2763;1482;2316;364.0;539;546;419.0;127.0;50945;63648.0;23574.0;13929.0;8289.0;5865.0;2833.0;1805.0;133.0;684.0;447.0;11666.0;128.0;3406.0;1440.0;2839.0;303.0;873.0;593.0;514.0;133.0;63103;9.7;11.4;10.7;5.7;-6.0;-11.1;-1.6;30.9;0.4;-6.8;-1.3;25.1;4.0;7.2;255.6;52.0;20.2;1.5;-8.5;61.0;9.8;80.9;55.8;62.7;62.5;82.9;80.0;87.1;69.2;75.0;93.4;85.9;1623.8;81.1;102.9;81.6;120.0;61.8;92.0;81.6;95.6;80.7
20;Totaal alle sectoren;1989;53761;13391;9535;5358;6046;2597.0;1591.0;168.0;508.0;1182.0;10429;2211;3068;1833;989;397.0;504;672;426.0;246.0;53089;65833.0;23840.0;15027.0;8308.0;7096.0;3154.0;1791.0;241.0;650.0;1224.0;11942.0;147.0;3755.0;1873.0;1193.0;312.0;809.0;700.0;493.0;253.0;65172;3.4;1.1;7.9;0.2;21.0;11.3;-0.8;81.5;-5.1;174.1;2.4;14.7;10.2;30.1;-58.0;2.7;-7.2;17.9;-4.1;90.6;3.3;81.7;56.2;63.5;64.5;85.2;82.3;88.8;69.6;78.2;96.6;87.3;1509.2;81.7;97.9;82.9;127.4;62.3;96.0;86.5;97.1;81.5
21;Totaal alle sectoren;1990;56198;13410;10177;5638;6504;2851.0;1936.0;269.0;604.0;844.0;10620;2445;3281;2070;1115;368.0;570;870;656.0;214.0;55328;67929.0;23248.0;15648.0;8465.0;7577.0;3403.0;2148.0;372.0;748.0;934.0;11995.0;179.0;3922.0;2176.0;1319.0;323.0;896.0;889.0;746.0;215.0;67050;3.2;-2.5;4.1;1.9;6.8;7.9;19.9;54.2;15.2;-23.7;0.5;22.0;4.5;16.1;10.6;3.5;10.7;27.1;51.4;-15.0;2.9;82.7;57.7;65.0;66.6;85.8;83.8;90.1;72.3;80.7;90.4;88.5;1368.2;83.7;95.1;84.5;114.0;63.6;97.8;87.9;99.5;82.5
22;Totaal alle sectoren;1991;57627;13131;10865;5885;7066;3077.0;2109.0;264.0;565.0;1051.0;10745;2506;3200;2205;1099;398.0;527;700;573.0;127.0;56927;68558.0;22297.0;16293.0;8510.0;7979.0;3495.0;2301.0;351.0;679.0;1157.0;11978.0;204.0;3760.0;2313.0;1270.0;367.0;806.0;706.0;644.0;126.0;67897;0.9;-4.1;4.1;0.5;5.3;2.7;7.1;-5.6;-9.3;23.8;-0.1;14.0;-4.1;6.3;-3.8;13.9;-10.0;-20.6;-13.7;-41.6;1.3;84.1;58.9;66.7;69.2;88.6;88.0;91.7;75.1;83.3;90.9;89.7;1229.8;85.1;95.3;86.6;108.3;65.3;99.1;89.0;101.0;83.8
23;Totaal alle sectoren;1992;59623;14598;10578;6671;6751;3245.0;1933.0;280.0;628.0;665.0;10787;2449;3162;2423;1282;315.0;607;850;640.0;210.0;58773;69958.0;23947.0;15363.0;9395.0;7439.0;3558.0;2040.0;374.0;747.0;751.0;11878.0;233.0;3682.0;2663.0;1469.0;284.0;909.0;870.0;737.0;204.0;69107;2.0;7.4;-5.7;10.4;-6.8;1.8;-11.3;6.4;10.1;-35.1;-0.8;14.5;-2.1;15.1;15.7;-22.6;12.7;23.1;14.5;62.2;1.8;85.2;61.0;68.9;71.0;90.8;91.2;94.7;74.8;84.1;88.6;90.8;1049.4;85.9;91.0;87.2;110.8;66.8;97.7;86.9;103.0;85.0
24;Totaal alle sectoren;1993;59171;15140;9817;6870;6193;2970.0;1625.0;503.0;380.0;715.0;11432;2544;3186;2384;703;309.0;593;869;571.0;298.0;58302;68886.0;24252.0;13931.0;9376.0;6761.0;3225.0;1689.0;672.0;454.0;801.0;12504.0;286.0;3691.0;2619.0;806.0;300.0;890.0;919.0;695.0;285.0;67976;-1.5;1.3;-9.3;-0.2;-9.1;-9.4;-17.2;79.6;-39.2;6.8;5.3;22.6;0.3;-1.7;-45.2;5.4;-2.1;5.6;-5.6;40.0;-1.6;85.9;62.4;70.5;73.3;91.6;92.1;96.2;74.8;83.6;89.2;91.4;889.3;86.3;91.0;87.2;103.1;66.7;94.6;82.1;104.4;85.8
25;Totaal alle sectoren;1994;60600;16542;9906;6852;6408;3025.0;1441.0;266.0;367.0;1309.0;11181;2765;3195;2291;440;367.0;653;951;610.0;341.0;59649;70355.0;25974.0;13817.0;9188.0;7022.0;3310.0;1504.0;354.0;432.0;1469.0;12197.0;354.0;3669.0;2575.0;557.0;366.0;966.0;997.0;739.0;322.0;69361;2.1;7.1;-0.8;-2.0;3.9;2.6;-11.0;-47.3;-5.0;83.4;-2.4;23.7;-0.6;-1.7;-30.9;22.0;8.6;8.5;6.3;12.8;2.0;86.1;63.7;71.7;74.6;91.3;91.4;95.8;75.1;85.0;89.1;91.7;781.3;87.1;89.0;79.0;100.4;67.6;95.4;82.5;106.0;86.0
26;Totaal alle sectoren;1995;64210;16954;10367;7121;7447;3698.0;1680.0;306.0;624.0;1139.0;11950;2737;3352;2286;749;414.0;833;710;283.0;427.0;63500;74139.0;26001.0;14089.0;9344.0;8135.0;4051.0;1739.0;405.0;720.0;1278.0;12974.0;420.0;3830.0;2595.0;924.0;430.0;1228.0;731.0;337.0;395.0;73446;5.4;0.1;2.0;1.7;15.8;22.4;15.6;14.3;66.8;-13.0;6.4;18.6;4.4;0.8;65.9;17.7;27.1;-26.7;-54.4;22.9;5.9;86.6;65.2;73.6;76.2;91.5;91.3;96.6;75.6;86.7;89.1;92.1;652.2;87.5;88.1;81.0;96.2;67.8;97.2;84.0;108.0;86.5
27;Totaal alle sectoren;1996;69948;18321;10470;7663;7587;4160.0;1761.0;262.0;715.0;689.0;13341;3155;3669;2735;1640;388.0;979;799;324.0;475.0;69149;80506.0;27010.0;13784.0;9901.0;8225.0;4518.0;1814.0;337.0;832.0;759.0;14516.0;635.0;4146.0;3125.0;1985.0;465.0;1392.0;832.0;386.0;448.0;79712;8.6;3.9;-2.2;6.0;1.1;11.5;4.3;-16.7;15.5;-40.6;11.9;51.4;8.2;20.4;114.8;8.0;13.3;13.8;14.5;13.3;8.5;86.9;67.8;76.0;77.4;92.2;92.1;97.1;77.7;86.0;90.8;91.9;496.5;88.5;87.5;82.6;83.5;70.4;96.1;84.0;106.0;86.7
28;Totaal alle sectoren;1997;75888;19928;10861;7357;7536;4647.0;1731.0;186.0;517.0;455.0;15032;3583;4387;3545;1836;811.0;1012;770;405.0;365.0;75118;87261.0;28536.0;14019.0;9333.0;8202.0;5076.0;1788.0;238.0;608.0;493.0;16215.0;935.0;4899.0;4072.0;2189.0;919.0;1421.0;806.0;473.0;356.0;86506;8.4;5.6;1.7;-5.7;-0.3;12.4;-1.4;-29.4;-26.9;-35.0;11.7;47.2;18.2;30.3;10.2;97.7;2.1;-3.1;22.5;-20.6;8.5;87.0;69.8;77.5;78.8;91.9;91.5;96.8;78.1;85.0;92.2;92.7;383.0;89.5;87.1;83.9;88.3;71.2;95.6;85.7;102.6;86.8
29;Totaal alle sectoren;1998;81292;21153;11965;7719;8650;5287.0;2093.0;158.0;670.0;442.0;14469;3800;4933;4800;2401;337.0;1065;831;414.0;417.0;80461;93189.0;29379.0;15073.0;9569.0;9327.0;5726.0;2187.0;196.0;730.0;474.0;15385.0;1336.0;5426.0;5571.0;2785.0;386.0;1365.0;866.0;484.0;403.0;92376;6.8;3.0;7.5;2.5;13.7;12.8;22.3;-17.7;19.9;-4.0;-5.1;42.8;10.8;36.8;27.2;-58.0;-4.0;7.5;2.5;13.2;6.8;87.2;72.0;79.4;80.7;92.7;92.3;95.7;80.7;91.8;93.3;94.0;284.4;90.9;86.2;86.2;87.2;78.0;95.9;85.5;103.6;87.1
30;Totaal alle sectoren;1999;89418;22900;13421;8609;9518;6175.0;2203.0;58.0;628.0;454.0;15842;4285;5216;5527;2466;463.0;1171;1035;427.0;608.0;88383;101391.0;30200.0;16442.0;10415.0;10236.0;6688.0;2304.0;69.0;663.0;480.0;16667.0;1936.0;5709.0;6212.0;2800.0;543.0;1465.0;1058.0;473.0;590.0;100379;8.8;2.8;9.1;8.8;9.7;16.8;5.4;-64.6;-9.1;1.4;8.3;44.9;5.2;11.5;0.5;40.7;7.3;22.1;-2.4;46.5;8.7;88.2;75.8;81.6;82.7;93.0;92.3;95.6;83.6;94.7;94.5;95.1;221.3;91.4;89.0;88.1;85.2;79.9;97.8;90.4;103.1;88.0
31;Totaal alle sectoren;2000;92742;24674;14968;9931;9917;6380.0;1895.0;152.0;553.0;937.0;14761;4260;5310;6126;1055;384.0;1356;1090;446.0;644.0;91652;102067.0;30697.0;17508.0;11551.0;10410.0;6703.0;1944.0;181.0;584.0;982.0;15274.0;2206.0;5716.0;6688.0;1169.0;418.0;1577.0;1128.0;489.0;641.0;100979;0.7;1.6;6.5;10.9;1.7;0.2;-15.6;160.3;-11.9;104.4;-8.4;13.9;0.1;7.7;-58.2;-23.1;7.6;6.6;3.5;8.7;0.6;90.9;80.4;85.5;86.0;95.3;95.2;97.5;84.1;94.7;95.4;96.6;193.1;92.9;91.6;90.2;91.9;86.0;96.7;91.2;100.4;90.8
32;Totaal alle sectoren;2001;96197;27189;15828;10517;9920;6633.0;2141.0;138.0;432.0;576.0;14050;4368;5649;6570;458;396.0;1252;1524;698.0;826.0;94673;102696.0;31673.0;17498.0;11691.0;10319.0;6863.0;2190.0;162.0;481.0;600.0;14348.0;2737.0;5935.0;6964.0;488.0;419.0;1332.0;1565.0;739.0;835.0;101143;0.6;3.2;-0.1;1.2;-0.9;2.4;12.6;-10.5;-17.7;-38.8;-6.1;24.1;3.8;4.1;-58.3;0.3;-15.5;38.8;51.1;30.3;0.2;93.7;85.8;90.5;90.0;96.1;96.6;97.8;85.3;89.9;95.9;97.9;159.6;95.2;94.3;93.9;94.6;94.0;97.4;94.4;98.9;93.6
