ID;Countries;Periods;TertiaryEducationAttainment_1;GraduatesInScienceAndEngineering_2;LifeLongLearning_3;PrimaryEducation_4;SecondaryEducation_5;TertiaryEducation_6;PrimaryEducation_7;SecondaryEducation_8;TertiaryEducation_9;TotalMenAndWomen_10;Men_11;Women_12;TotalMenAndWomen_13;Men_14;Women_15;TotalMenAndWomen_16;Men_17;Women_18;UnitLabourCosts_19;Total_20;Manufacturing_21;ServicesSector_22;RecentImmigrants_23;NativeBorn2534Years_24;NativeBorn2565Years_25;PrimaryEducation_26;SecondaryEducation_27;TertiaryEducation_28;PrimaryEducation_29;SecondaryEducation_30;TertiaryEducation_31
57;Belgium;2003;29.0;18.5;7.0;48.9;72.8;83.6;10.7;6.7;3.5;529.0;533.0;525.0;509.0;509.0;509.0;507.0;489.0;526.0;98.9;29.6;32.9;28.5;;;;;;;;;
58;Belgium;2004;30.4;18.9;8.6;48.8;73.1;83.9;11.7;6.9;3.9;;;;;;;;;;98.5;30.3;32.3;29.1;;;;;;;;;
59;Belgium;2005;31.0;18.5;8.3;49.0;74.0;84.2;12.4;6.9;3.7;;;;;;;;;;100.0;30.7;33.1;29.5;42.9;43.5;36.6;;;;;;
60;Belgium;2006;31.8;19.0;7.5;49.0;73.2;83.6;12.3;6.7;3.7;520.0;524.0;517.0;510.0;511.0;510.0;501.0;482.0;522.0;102.0;31.6;34.1;30.3;;;;41.1;66.6;83.7;35.2;53.3;72.9
61;Belgium;2007;32.1;19.6;7.2;49.8;74.2;84.9;11.3;6.2;3.3;;;;;;;;;;104.3;32.7;;;;;;41.4;66.9;85.0;35.4;55.8;72.6
62;Belgium;2008;32.3;15.0;6.8;49.4;74.7;84.7;10.8;5.7;3.2;;;;;;;;;;109.0;;;;;;;;;;;;
63;Belgium;2009;33.4;;6.8;48.0;74.0;84.2;11.9;6.5;3.8;515.0;526.0;504.0;507.0;510.0;503.0;506.0;493.0;520.0;112.9;;;;;;;39.2;66.7;83.4;36.4;55.9;72.8
64;Belgium;2010;35.0;16.0;7.2;48.9;74.5;84.0;13.2;6.6;4.0;;;;;;;;;;113.0;;;;;;;;;;;;
65;Belgium;2011;;;7.1;;;;;;;;;;;;;;;;115.7;;;;;;;;;;;;
66;Canada;1990;;;;;;;;;;;;;;;;;;;80.2;;;;;;;;;;;;
67;Canada;1991;29.9;;;55.2;75.1;83.3;13.8;9.0;5.8;;;;;;;;;;84.2;;;;;;;;;;;;
68;Canada;1992;30.8;;;;;;;;;;;;;;;;;;85.4;;;;;;;;;;;;
69;Canada;1993;;;;;;;;;;;;;;;;;;;85.0;;;;;;;;;;;;
70;Canada;1994;34.2;;;;;;;;;;;;;;;;;;83.1;;;;;;;;;;;;
71;Canada;1995;34.9;;;52.2;73.0;82.1;13.3;8.9;5.6;;;;;;;;;;83.7;;;;;;;;;;;;
72;Canada;1996;35.6;;;;;;;;;;;;;;;;;;84.3;;;;;;;;;;;;
73;Canada;1997;37.4;;;52.5;73.9;81.7;12.9;8.1;5.4;;;;;;;;;;85.4;;;;;;;;;;;;
74;Canada;1998;38.3;17.5;;53.5;74.4;82.3;11.9;7.5;4.7;;;;;;;;;;86.1;;;;;;;;;;;;
75;Canada;1999;39.4;18.0;;54.4;75.3;82.4;10.8;6.7;4.5;;;;;;;;;;86.3;;;;;;;;;;;;
76;Canada;2000;40.1;18.2;;54.7;76.0;82.7;10.2;5.9;4.1;534.0;539.0;529.0;530.0;529.0;531.0;534.0;519.0;551.0;88.9;;;;;;;;;;;;
77;Canada;2001;41.9;;;54.4;75.4;81.9;10.5;6.3;4.7;;;;;;;;;;91.4;;;;;;;;;;;;
78;Canada;2002;42.8;;;55.0;75.8;82.0;11.0;6.7;5.1;;;;;;;;;;92.4;;;;;;;;;;;;
79;Canada;2003;44.1;;;56.4;76.3;82.1;10.9;6.5;5.2;532.0;541.0;530.0;519.0;527.0;516.0;528.0;514.0;546.0;94.9;;;;;;;;;;;;
80;Canada;2004;44.5;17.8;;57.0;76.7;82.2;10.2;6.2;4.8;;;;;;;;;;97.4;;;;;;;;;;;;
81;Canada;2005;45.9;18.4;;56.4;76.3;82.2;9.8;5.9;4.6;;;;;;;;;;100.0;;;;;;;;;;;;
82;Canada;2006;46.9;16.7;;56.9;76.0;82.6;9.3;5.6;4.1;527.0;534.0;520.0;534.0;536.0;532.0;527.0;511.0;543.0;104.0;;;;;;;50.6;75.5;82.7;51.6;68.9;77.4
83;Canada;2007;48.2;20.4;;57.3;76.5;82.9;9.5;5.4;3.9;;;;;;;;;;107.5;;;;;;;50.6;75.5;82.7;51.6;68.9;77.4
84;Canada;2008;48.8;19.4;;57.7;76.5;82.6;9.1;5.5;4.1;;;;;;;;;;111.3;;;;;;;;;;;;
85;Canada;2009;49.5;19.2;;55.1;73.7;81.7;12.6;8.1;5.3;527.0;533.0;521.0;529.0;531.0;526.0;524.0;507.0;542.0;113.9;;;;;;;48.0;72.5;82.9;46.1;65.8;75.9
86;Canada;2010;50.6;18.9;;55.1;74.0;81.3;12.4;7.5;5.4;;;;;;;;;;115.1;;;;;;;;;;;;
87;Canada;2011;;;;;;;;;;;;;;;;;;;117.6;;;;;;;;;;;;
88;Czech Republic;1990;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;Czech Republic;1991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;Czech Republic;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;Czech Republic;1993;;;;;;;;;;;;;;;;;;;49.2;;;;;;;;;;;;
92;Czech Republic;1994;10.1;;;;;;;;;;;;;;;;;;57.0;;;;;;;;;;;;
93;Czech Republic;1995;10.6;;;55.6;82.4;91.9;7.7;2.1;0.7;;;;;;;;;;63.7;;2.3;2.5;;;;;;;;;
94;Czech Republic;1996;10.4;;;;;;;;;;;;;;;;;;71.8;2.8;2.6;2.9;;;;;;;;;
95;Czech Republic;1997;10.6;;;51.1;79.7;89.3;12.1;3.4;1.2;;;;;;;;;;79.3;3.0;2.8;3.1;;;;;;;;;
96;Czech Republic;1998;10.4;18.6;;49.5;78.2;88.7;14.5;4.6;1.9;;;;;;;;;;83.5;3.2;3.1;3.4;;;;;;;;;
97;Czech Republic;1999;10.8;20.7;;46.9;76.4;87.4;18.8;6.5;2.6;;;;;;;;;;84.6;3.4;3.2;3.6;;;;;;;;;
98;Czech Republic;2000;11.0;21.6;;46.9;75.5;86.8;19.3;6.7;2.5;498.0;504.0;492.0;511.0;512.0;511.0;492.0;473.0;510.0;85.9;3.9;3.6;4.1;;;;;;;;;
99;Czech Republic;2001;11.1;18.9;;46.7;75.7;87.8;19.2;6.2;2.0;;;;;;;;;;90.0;4.6;4.3;4.9;;;;;;;;;
100;Czech Republic;2002;11.9;19.6;5.6;45.3;76.2;87.1;18.8;5.6;1.8;;;;;;;;;;94.7;5.4;5.0;5.7;;;;;;;;;
101;Czech Republic;2003;12.0;19.1;5.1;46.0;75.8;86.5;18.3;6.0;2.0;516.0;524.0;509.0;523.0;526.0;520.0;489.0;473.0;504.0;96.3;5.5;5.1;5.7;;;;;;;;;
102;Czech Republic;2004;12.3;18.6;5.8;42.3;74.8;86.4;23.0;6.4;2.0;;;;;;;;;;99.7;5.9;5.4;6.2;;;;;;;;;
103;Czech Republic;2005;13.1;20.5;5.6;41.2;75.5;85.8;24.4;6.2;2.0;;;;;;;;;;100.0;6.6;6.0;7.3;25.6;14.4;14.4;;;;;;
104;Czech Republic;2006;13.5;19.4;5.6;43.9;75.6;85.1;22.3;5.5;2.2;510.0;514.0;504.0;513.0;515.0;510.0;483.0;463.0;509.0;100.1;7.1;6.7;7.5;;;;22.9;72.0;84.0;33.1;67.5;79.8
105;Czech Republic;2007;13.7;18.8;5.7;45.7;76.1;85.2;19.1;4.3;1.5;;;;;;;;;;102.8;7.9;7.4;8.3;;;;23.7;72.6;84.1;40.5;72.4;82.0
106;Czech Republic;2008;14.5;20.1;7.8;46.5;76.6;85.1;17.3;3.3;1.5;;;;;;;;;;106.7;;;;;;;;;;;;
107;Czech Republic;2009;15.5;19.0;6.8;43.9;75.1;84.3;21.8;5.4;2.2;493.0;495.0;490.0;500.0;498.0;503.0;478.0;456.0;504.0;108.4;;;;;;;22.3;71.3;81.9;35.9;69.8;85.4
108;Czech Republic;2010;16.8;17.4;7.5;43.2;74.5;83.3;22.7;6.2;2.5;;;;;;;;;;106.3;;;;;;;;;;;;
109;Czech Republic;2011;;;11.4;;;;;;;;;;;;;;;;106.0;;;;;;;;;;;;
110;Denmark;1990;;;;;;;;;;;;;;;;;;;76.3;;;;;;;;;;;;
111;Denmark;1991;18.3;;;62.0;80.9;89.3;14.2;9.1;4.9;;;;;;;;;;77.8;;;;;;;;;;;;
112;Denmark;1992;19.2;;16.2;;;;;;;;;;;;;;;;78.5;;;;;;;;;;;;
113;Denmark;1993;;;15.6;;;;;;;;;;;;;;;;79.2;;;;;;;;;;;;
114;Denmark;1994;19.6;;15.1;;;;;;;;;;;;;;;;77.7;;;;;;;;;;;;
115;Denmark;1995;20.4;;16.8;61.5;76.5;88.6;14.6;9.9;4.6;;;;;;;;;;79.0;;;;;;;;;;;;
116;Denmark;1996;20.9;;18.0;;;;;;;;;;;;;;;;81.0;;;;;;;;;;;;
117;Denmark;1997;;;18.9;;;;;;;;;;;;;;;;82.3;23.4;22.6;24.1;;;;;;;;;
118;Denmark;1998;25.4;;19.8;60.9;79.1;87.5;7.0;4.6;3.3;;;;;;;;;;85.3;24.6;23.7;25.5;;;;;;;;;
119;Denmark;1999;26.5;20.0;19.8;61.7;80.7;87.9;7.0;4.1;3.0;;;;;;;;;;87.3;25.9;24.7;27.0;;;;;;;;;
120;Denmark;2000;26.2;18.2;19.4;62.2;81.0;88.6;6.9;3.9;3.0;514.0;522.0;507.0;481.0;488.0;476.0;497.0;485.0;510.0;87.9;26.5;25.6;27.3;;;;;;;;;
121;Denmark;2001;28.4;11.5;18.4;61.5;81.0;87.2;6.2;3.7;3.6;;;;;;;;;;92.0;28.5;27.1;29.9;;;;;;;;;
122;Denmark;2002;29.6;11.9;18.0;61.2;80.3;86.0;6.4;3.7;3.9;;;;;;;;;;94.9;29.1;28.2;29.7;;;;;;;;;
123;Denmark;2003;31.9;12.5;24.2;62.6;79.8;85.2;6.7;4.4;4.7;514.0;523.0;506.0;475.0;484.0;467.0;492.0;479.0;505.0;97.0;30.3;29.5;31.0;;;;;;;;;
124;Denmark;2004;32.9;13.9;25.6;61.7;79.9;85.5;8.2;4.8;4.4;;;;;;;;;;97.7;30.7;29.9;31.3;;;;;;;;;
125;Denmark;2005;33.5;13.5;27.4;61.5;79.9;86.4;6.5;4.0;3.7;;;;;;;;;;100.0;32.0;31.1;32.7;39.2;41.2;35.6;;;;;;
126;Denmark;2006;34.7;12.7;29.2;62.8;81.3;87.4;5.5;2.7;3.2;513.0;518.0;508.0;496.0;500.0;491.0;494.0;480.0;509.0;102.3;33.1;32.3;33.7;;;;61.5;81.0;87.8;49.3;63.2;78.9
127;Denmark;2007;30.9;14.6;29.0;66.6;82.5;87.8;4.2;2.5;2.9;;;;;;;;;;107.4;34.7;;;;;;65.0;82.6;88.6;53.7;69.1;76.2
128;Denmark;2008;31.4;14.3;29.9;66.9;83.2;89.2;3.5;2.2;2.3;;;;;;;;;;114.1;;;;;;;;;;;;
129;Denmark;2009;32.5;;31.2;64.6;79.7;87.4;7.3;5.0;3.9;503.0;511.0;495.0;499.0;505.0;494.0;495.0;480.0;509.0;120.3;;;;;;;62.9;79.3;88.1;55.5;68.9;78.5
130;Denmark;2010;33.3;13.0;32.5;62.9;79.1;85.7;9.0;6.1;4.6;;;;;;;;;;119.0;;;;;;;;;;;;
131;Denmark;2011;;;32.3;;;;;;;;;;;;;;;;119.4;;;;;;;;;;;;
132;Finland;1990;;;;;;;;;;;;;;;;;;;88.8;;;;;;;;;;;;
133;Finland;1991;25.0;;;64.2;78.0;88.1;8.6;7.3;3.4;;;;;;;;;;94.8;;;;;;;;;;;;
134;Finland;1992;25.9;;;;;;;;;;;;;;;;;;92.8;;;;;;;;;;;;
135;Finland;1993;;;;;;;;;;;;;;;;;;;88.4;;;;;;;;;;;;
136;Finland;1994;26.8;;;;;;;;;;;;;;;;;;86.8;;;;;;;;;;;;
137;Finland;1995;27.7;;;54.1;69.9;80.8;21.6;16.7;9.1;;;;;;;;;;88.7;;;;;;;;;;;;
138;Finland;1996;28.4;;16.3;;;;;;;;;;;;;;;;89.2;;19.7;20.5;;;;;;;;;
139;Finland;1997;29.4;;15.8;54.7;72.2;82.6;15.6;11.9;6.5;;;;;;;;;;88.5;20.3;19.8;20.6;;;;;;;;;
140;Finland;1998;30.2;25.6;16.1;56.2;73.1;83.2;13.8;10.6;5.8;;;;;;;;;;90.6;20.4;20.3;20.7;;;;;;;;;
141;Finland;1999;31.3;26.0;17.6;58.6;74.3;84.7;13.1;9.5;4.7;;;;;;;;;;91.3;21.4;21.1;21.8;;;;;;;;;
142;Finland;2000;32.0;26.5;17.5;57.3;74.9;84.4;12.1;8.9;4.7;536.0;537.0;536.0;538.0;534.0;541.0;546.0;520.0;571.0;92.1;22.1;22.0;22.3;;;;;;;;;
143;Finland;2001;32.3;24.0;17.2;58.2;75.5;85.1;11.4;8.5;4.4;;;;;;;;;;95.9;23.6;23.7;23.7;;;;;;;;;
144;Finland;2002;32.6;25.0;17.3;57.7;74.4;85.1;12.2;8.8;4.5;;;;;;;;;;97.0;23.8;25.2;22.9;;;;;;;;;
145;Finland;2003;33.2;25.1;22.4;57.9;74.4;85.0;11.2;8.3;4.1;544.0;548.0;541.0;548.0;545.0;551.0;543.0;521.0;565.0;97.8;24.8;26.3;23.9;;;;;;;;;
146;Finland;2004;34.2;26.1;22.8;57.1;74.4;84.2;11.3;7.9;4.5;;;;;;;;;;97.8;25.3;26.7;24.6;;;;;;;;;
147;Finland;2005;34.6;26.3;22.5;57.9;75.2;84.1;10.7;7.4;4.4;;;;;;;;;;100.0;26.7;28.2;25.8;18.5;40.7;37.8;;;;;;
148;Finland;2006;35.1;25.7;23.1;58.4;75.6;85.0;10.1;7.0;3.7;548.0;554.0;543.0;563.0;562.0;565.0;547.0;521.0;572.0;100.1;27.2;31.3;28.2;;;;47.4;73.6;85.6;42.4;65.8;72.9
149;Finland;2007;36.4;24.7;23.4;58.6;76.2;85.2;8.9;6.1;3.6;;;;;;;;;;100.7;27.9;31.3;;;;;46.4;74.2;85.5;40.9;72.8;75.6
150;Finland;2008;36.6;23.4;23.1;59.3;77.3;85.6;8.1;5.4;3.3;;;;;;;;;;107.5;;;;;;;;;;;;
151;Finland;2009;37.3;23.4;22.1;56.8;74.8;84.4;9.8;7.7;4.0;541.0;542.0;539.0;554.0;546.0;562.0;536.0;508.0;563.0;116.0;;;;;;;42.1;72.0;84.3;46.0;68.0;77.2
152;Finland;2010;38.1;26.1;23.0;55.0;74.1;84.1;11.6;7.5;4.4;;;;;;;;;;114.2;;;;;;;;;;;;
153;Finland;2011;;;23.8;;;;;;;;;;;;;;;;115.5;;;;;;;;;;;;
154;France;1990;;;;;;;;;;;;;;;;;;;77.7;;;;;;;;;;;;
155;France;1991;15.2;;;57.6;78.4;84.7;10.6;6.6;3.7;;;;;;;;;;80.3;;;;;;;;;;;;
156;France;1992;16.0;;2.9;;;;;;;;;;;;;;;;82.3;;;;;;;;;;;;
157;France;1993;17.1;;3.0;;;;;;;;;;;;;;;;84.2;;;;;;;;;;;;
158;France;1994;17.8;;2.9;;;;;;;;;;;;;;;;84.1;;;;;;;;;;;;
159;France;1995;18.6;;2.9;56.8;75.8;82.1;13.7;9.0;6.5;;;;;;;;;;85.2;;;;;;;;;;;;
160;France;1996;19.2;;2.7;;;;;;;;;;;;;;;;86.7;;22.2;21.9;;;;;;;;;
161;France;1997;20.0;;2.9;56.3;75.0;81.3;15.0;9.6;7.0;;;;;;;;;;87.1;22.5;22.7;22.3;;;;;;;;;
162;France;1998;20.6;15.9;2.7;56.3;75.0;81.6;14.9;9.6;6.6;;;;;;;;;;87.3;22.9;23.2;22.8;;;;;;;;;
163;France;1999;21.5;16.0;2.6;56.4;75.1;81.8;15.3;9.2;6.1;;;;;;;;;;88.6;23.6;23.9;23.4;;;;;;;;;
164;France;2000;22.0;27.0;2.8;57.0;75.8;83.1;13.9;7.9;5.1;517.0;525.0;511.0;500.0;504.0;498.0;505.0;490.0;519.0;90.0;24.8;25.0;24.8;;;;;;;;;
165;France;2001;23.0;27.3;2.7;57.7;76.5;83.7;11.9;6.9;4.8;;;;;;;;;;92.4;26.0;26.2;26.0;;;;;;;;;
166;France;2002;24.0;27.3;2.7;57.8;76.7;83.3;11.8;6.8;5.2;;;;;;;;;;95.3;27.0;27.2;27.1;;;;;;;;;
167;France;2003;23.9;27.1;6.8;58.9;76.3;83.3;10.4;6.6;5.3;511.0;515.0;507.0;511.0;511.0;511.0;496.0;476.0;514.0;97.2;27.7;28.0;27.7;;;;;;;;;
168;France;2004;24.4;27.1;6.0;59.1;75.7;82.9;10.7;6.7;5.7;;;;;;;;;;98.3;28.5;29.0;28.4;;;;;;;;;
169;France;2005;25.4;22.0;5.9;58.6;75.7;83.0;11.1;6.6;5.4;;;;;;;;;;100.0;29.3;30.0;29.2;33.7;41.0;28.3;;;;;;
170;France;2006;26.2;20.6;6.4;58.2;75.6;83.0;11.0;6.6;5.1;496.0;499.0;492.0;495.0;497.0;494.0;488.0;470.0;505.0;101.6;30.3;31.0;30.2;;;;46.5;69.8;79.3;49.1;60.6;68.8
171;France;2007;26.6;20.7;6.1;57.8;75.7;83.4;10.2;5.9;4.7;;;;;;;;;;103.4;25.3;27.1;25.1;;;;46.6;69.8;81.3;50.1;64.3;68.0
172;France;2008;27.2;20.5;6.0;57.4;75.8;84.6;9.7;5.5;4.0;;;;;;;;;;106.8;;;;;;;;;;;;
173;France;2009;28.6;20.3;5.7;56.2;76.5;83.5;11.6;7.0;5.0;497.0;505.0;489.0;498.0;500.0;497.0;496.0;475.0;515.0;110.2;;;;;;;45.3;68.8;81.2;48.1;60.7;70.4
174;France;2010;29.0;;5.0;55.4;74.4;83.6;12.9;7.2;4.9;;;;;;;;;;110.8;;;;;;;;;;;;
175;France;2011;;;5.5;;;;;;;;;;;;;;;;112.7;;;;;;;;;;;;
176;Germany;1990;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
177;Germany;1991;20.5;;;51.4;73.6;86.0;7.4;4.7;3.2;;;;;;;;;;89.1;;;;;;;;;;;;
178;Germany;1992;20.1;;;;;;;;;;;;;;;;;;95.2;;;;;;;;;;;;
179;Germany;1993;;;;;;;;;;;;;;;;;;;98.5;;;;;;;;;;;;
180;Germany;1994;20.4;;;;;;;;;;;;;;;;;;98.5;;;;;;;;;;;;
181;Germany;1995;22.2;;;49.2;71.0;84.2;13.3;7.9;4.9;;;;;;;;;;100.4;;;;;;;;;;;;
182;Germany;1996;21.8;;5.7;;;;;;;;;;;;;;;;100.4;22.9;24.8;21.4;;;;;;;;;
183;Germany;1997;22.6;;5.4;45.7;68.2;82.3;16.7;10.1;5.7;;;;;;;;;;98.9;23.3;25.3;21.8;;;;;;;;;
184;Germany;1998;23.0;27.4;5.3;46.1;67.9;82.2;16.5;10.3;5.5;;;;;;;;;;99.3;23.6;25.7;22.1;;;;;;;;;
