ID;ManureAndNutrients;Periods;TotalExcretion_1;ExcretionDuringHousing_2;ExcretionDuringGrazing_3;TotalNitrogenLossesN_4;AmmoniaEmissionsN_5;OtherGaseousNitrogenLossesN_6;EffluentAirScrubbersN_7;StoredManureAndManureDuringGrazing_8;ManureRemovalFromFarms_9;ManureSupplyToFarms_10;ProcessedManureExcludingExports_11;NetManureExports_12;SpreadingAreaForManure_13;UseOfLivestockManureInAgriculture_14
72;Nitrogen (N);2003;479.0;380.0;99.0;63.0;55.0;9.0;0.0;416.0;87.0;65.0;4.0;15.0;727.0;394.0
73;Nitrogen (N);2004;467.0;376.0;92.0;64.0;55.0;8.0;0.0;403.0;91.0;65.0;5.0;18.0;720.0;378.0
74;Nitrogen (N);2005;479.0;386.0;93.0;65.0;56.0;9.0;1.0;414.0;108.0;83.0;5.0;29.0;685.0;388.0
75;Nitrogen (N);2006;471.0;382.0;89.0;65.0;56.0;8.0;1.0;406.0;119.0;81.0;2.0;24.0;409.0;369.0
76;Nitrogen (N);2007;480.0;399.0;81.0;68.0;57.0;9.0;1.0;412.0;152.0;94.0;1.0;35.0;409.0;354.0
77;Nitrogen (N);2008;491.0;406.0;86.0;69.0;59.0;9.0;1.0;422.0;158.0;91.0;9.0;41.0;413.0;355.0
78;Nitrogen (N);2009;484.0;411.0;73.0;69.0;59.0;9.0;1.0;415.0;160.0;87.0;15.0;38.0;410.0;342.0
79;Nitrogen (N);2010;490.0;416.0;74.0;68.0;57.0;9.0;3.0;421.0;154.0;82.0;19.0;38.0;400.0;349.0
80;Nitrogen (N);2011;477.0;416.0;62.0;68.0;55.0;9.0;5.0;410.0;163.0;91.0;17.0;37.0;397.0;338.0
81;Nitrogen (N);2012;461.0;403.0;57.0;65.0;52.0;8.0;5.0;396.0;169.0;95.0;20.0;33.0;394.0;322.0
82;Nitrogen (N);2013;473.0;412.0;61.0;64.0;49.0;8.0;7.0;408.0;167.0;92.0;19.0;37.0;394.0;333.0
83;Nitrogen (N);2014;487.0;426.0;61.0;66.0;51.0;9.0;7.0;421.0;170.0;95.0;18.0;41.0;383.0;346.0
84;Nitrogen (N);2015;497.0;440.0;57.0;68.0;52.0;9.0;7.0;430.0;180.0;98.0;19.0;47.0;391.0;348.0
85;Nitrogen (N);2016;504.0;453.0;51.0;68.0;52.0;9.0;8.0;436.0;182.0;98.0;18.0;50.0;385.0;351.0
86;Nitrogen (N);2017;512.0;460.0;52.0;70.0;53.0;9.0;8.0;443.0;193.0;108.0;17.0;48.0;385.0;358.0
87;Nitrogen (N);2018;503.0;452.0;51.0;69.0;51.0;9.0;9.0;435.0;181.0;104.0;14.0;47.0;385.0;357.0
88;Nitrogen (N);2019;490.0;439.0;51.0;66.0;48.0;9.0;9.0;424.0;188.0;106.0;17.0;47.0;385.0;342.0
89;Nitrogen (N);2020;489.0;439.0;51.0;66.0;48.0;9.0;10.0;423.0;188.0;109.0;17.0;46.0;377.0;345.0
90;Nitrogen (N);2021;471.0;423.0;48.0;63.0;46.0;8.0;9.0;408.0;182.0;109.0;16.0;42.0;376.0;334.0
91;Nitrogen (N);2022;467.0;419.0;48.0;63.0;45.0;8.0;10.0;404.0;187.0;114.0;17.0;38.0;373.0;331.0
92;Nitrogen (N);2023;464.0;414.0;50.0;60.0;43.0;8.0;9.0;403.0;175.0;106.0;15.0;43.0;350.0;334.0
93;Nitrogen (N);2024;449.0;404.0;46.0;58.0;42.0;8.0;9.0;391.0;;;;;342.0;
94;Phosphate (P205);1950;117.0;;;;;;;117.0;;;;;;
95;Phosphate (P205);1960;143.0;;;;;;;143.0;;;;;;
96;Phosphate (P205);1965;153.0;;;;;;;153.0;;;;;;
97;Phosphate (P205);1970;181.0;;;;;;;181.0;;;;;;
98;Phosphate (P205);1974;212.0;;;;;;;212.0;;;;;;
99;Phosphate (P205);1976;212.0;;;;;;;212.0;;;;;;
100;Phosphate (P205);1978;228.0;;;;;;;228.0;;;;;;
101;Phosphate (P205);1980;232.0;;;;;;;232.0;;;;;;
102;Phosphate (P205);1982;241.0;;;;;;;241.0;;;;;;
103;Phosphate (P205);1984;255.0;;;;;;;255.0;;;;;;
104;Phosphate (P205);1986;261.0;;;;;;;261.0;29.0;28.0;;;;260.0
105;Phosphate (P205);1988;240.0;;;;;;;240.0;;;;;458.0;
106;Phosphate (P205);1990;229.0;186.0;43.0;;;;;229.0;;;2.0;3.0;433.0;
107;Phosphate (P205);1991;237.0;;;;;;;237.0;;;;3.0;378.0;
108;Phosphate (P205);1992;234.0;;;;;;;234.0;;;;6.0;380.0;
109;Phosphate (P205);1993;242.0;;;;;;;242.0;;;;8.0;371.0;
110;Phosphate (P205);1994;227.0;187.0;40.0;;;;;227.0;78.0;65.0;2.0;12.0;332.0;213.0
111;Phosphate (P205);1995;216.0;177.0;39.0;;;;;216.0;72.0;60.0;1.0;11.0;258.0;204.0
112;Phosphate (P205);1996;198.0;164.0;34.0;;;;;198.0;67.0;58.0;1.0;7.0;243.0;189.0
113;Phosphate (P205);1997;197.0;159.0;38.0;;;;;197.0;64.0;57.0;1.0;5.0;241.0;190.0
114;Phosphate (P205);1998;196.0;162.0;34.0;;;;;196.0;60.0;49.0;2.0;7.0;221.0;185.0
115;Phosphate (P205);1999;200.0;163.0;37.0;;;;;200.0;72.0;58.0;2.0;10.0;221.0;186.0
116;Phosphate (P205);2000;191.0;156.0;34.0;;;;;191.0;65.0;47.0;2.0;13.0;212.0;173.0
117;Phosphate (P205);2001;185.0;150.0;34.0;;;;;185.0;67.0;47.0;2.0;16.0;204.0;165.0
118;Phosphate (P205);2002;173.0;144.0;29.0;;;;;173.0;63.0;43.0;3.0;16.0;198.0;153.0
119;Phosphate (P205);2003;166.0;137.0;28.0;;;;;166.0;56.0;40.0;2.0;9.0;182.0;150.0
120;Phosphate (P205);2004;162.0;134.0;28.0;;;;;162.0;56.0;39.0;3.0;12.0;185.0;145.0
121;Phosphate (P205);2005;170.0;141.0;29.0;;;;;170.0;60.0;44.0;3.0;17.0;175.0;154.0
122;Phosphate (P205);2006;169.0;141.0;28.0;;;;;169.0;64.0;42.0;0.0;15.0;188.0;147.0
123;Phosphate (P205);2007;169.0;143.0;26.0;;;;;169.0;80.0;47.0;0.0;21.0;182.0;137.0
124;Phosphate (P205);2008;176.0;149.0;27.0;;;;;176.0;84.0;46.0;4.0;23.0;178.0;138.0
125;Phosphate (P205);2009;175.0;152.0;22.0;;;;;175.0;86.0;45.0;8.0;23.0;177.0;134.0
126;Phosphate (P205);2010;179.0;155.0;23.0;;;;;179.0;81.0;41.0;10.0;22.0;159.0;139.0
127;Phosphate (P205);2011;170.0;150.0;20.0;;;;;170.0;84.0;44.0;9.0;22.0;154.0;129.0
128;Phosphate (P205);2012;161.0;142.0;19.0;;;;;161.0;83.0;42.0;10.0;20.0;142.0;120.0
129;Phosphate (P205);2013;166.0;147.0;19.0;;;;;166.0;82.0;41.0;9.0;22.0;136.0;124.0
130;Phosphate (P205);2014;172.0;152.0;20.0;;;;;172.0;84.0;42.0;9.0;26.0;138.0;129.0
131;Phosphate (P205);2015;180.0;159.0;21.0;;;;;180.0;90.0;42.0;9.0;31.0;135.0;132.0
132;Phosphate (P205);2016;175.0;159.0;16.0;;;;;175.0;90.0;39.0;8.0;36.0;134.0;124.0
133;Phosphate (P205);2017;169.0;154.0;15.0;;;;;169.0;91.0;42.0;8.0;35.0;135.0;119.0
134;Phosphate (P205);2018;162.0;147.0;15.0;;;;;162.0;85.0;40.0;5.0;34.0;135.0;116.0
135;Phosphate (P205);2019;156.0;142.0;14.0;;;;;156.0;87.0;40.0;7.0;34.0;134.0;108.0
136;Phosphate (P205);2020;151.0;138.0;13.0;;;;;151.0;85.0;40.0;7.0;33.0;138.0;105.0
137;Phosphate (P205);2021;148.0;135.0;13.0;;;;;148.0;81.0;39.0;6.0;30.0;139.0;107.0
138;Phosphate (P205);2022;150.0;137.0;14.0;;;;;150.0;83.0;43.0;6.0;29.0;137.0;110.0
139;Phosphate (P205);2023;147.0;133.0;14.0;;;;;147.0;77.0;38.0;6.0;30.0;133.0;108.0
140;Phosphate (P205);2024;148.0;134.0;14.0;;;;;;;;;;133.0;
