ID;OriginDestination;Periods;NetEnergyConsumption_1;TapWaterUse_2;SolidWasteProduction_3;HeavyMetalsToWater_4;NutrientsToWater_5;ClimateChangeGreenhouseGases_6;Acidification_7;OzoneLayerDepletion_8;FineDust_9;RevenuesEnvironmentalFeesAndTaxes_10;EnvironmentalExpenditure_11;EnvironmentalInvestment_12;LabourInputOfEmployedPersons_13;GrossValueAddedAtBasicPrices_14;LabourInputOfEmployedPersons_15;OutputAtBasicPrices_16;GrossValueAddedAtBasicPrices_17;GrossFixedCapitalFormation_18
43;A-U All economic activities;2002;2767.0;;54558.0;68.0;21536.0;194912.0;25.8;162.2;39.3;6470.0;;;96.0;8496.0;6620.0;929216.0;434620.0;94507.0
44;A-U All economic activities;2003;2839.0;316.8;53883.0;65.0;14917.0;195539.0;25.6;132.6;36.8;6563.0;;;100.0;8987.0;6547.0;923602.0;436743.0;94759.0
45;A-U All economic activities;2004;2909.0;302.8;53618.0;61.0;18349.0;198271.0;25.6;131.0;36.2;6823.0;;;98.0;9341.0;6480.0;941310.0;446904.0;94336.0
46;A-U All economic activities;2005;2958.0;295.5;52100.0;52.0;16472.0;195750.0;25.5;130.2;35.9;7625.0;;;100.0;9360.0;6478.0;960793.0;456182.0;99170.0
47;A-U All economic activities;2006;2847.0;297.3;52942.0;48.0;15591.0;191427.0;23.8;131.2;33.7;8512.0;;;101.0;10405.0;6583.0;995556.0;471376.0;108568.0
48;A-U All economic activities;2007;2999.0;298.8;53993.0;57.0;20739.0;193558.0;23.5;126.9;33.2;8560.0;;;104.0;11246.0;6728.0;1036132.0;490102.0;116712.0
49;A-U All economic activities;2008;2930.0;304.8;55383.0;46.0;15903.0;192791.0;22.1;124.4;32.1;9271.0;;;106.0;12139.0;6832.0;1056539.0;500273.0;124191.0
50;A-U All economic activities;2009;2866.0;304.6;50592.0;44.0;13115.0;188051.0;20.7;118.3;30.4;8625.0;;;108.0;11690.0;6759.0;1017049.0;483757.0;111123.0
51;A-U All economic activities;2010;3024.0;303.4;49952.0;47.0;15668.0;196457.0;19.4;115.1;29.3;8804.0;;;107.0;13340.0;6719.0;1025466.0;491985.0;104492.0
52;A-U All economic activities;2011;2857.0;297.3;;;;186996.0;18.4;113.8;27.9;8860.0;;;108.0;13800.0;6753.0;1033557.0;497884.0;109531.0
53;A-U All economic activities;2012;2887.0;;;;;185519.0;18.1;110.9;26.6;8405.0;;;;;6735.0;1020611.0;492196.0;104493.0
54;A Agriculture, forestry and fishing;1995;192.0;;;17.0;12182.0;33099.0;13.3;0.0;6.3;105.0;;;1.0;67.0;222.0;20961.0;8105.0;2308.0
55;A Agriculture, forestry and fishing;1996;210.0;;;17.0;5716.0;33395.0;10.9;0.0;6.6;152.0;;;1.0;78.0;227.0;20892.0;7912.0;2345.0
56;A Agriculture, forestry and fishing;1997;187.0;;;18.0;7448.0;31657.0;10.6;0.0;6.7;210.0;;;1.0;103.0;228.0;21477.0;8521.0;2977.0
57;A Agriculture, forestry and fishing;1998;188.0;;;18.0;20338.0;30499.0;9.8;0.0;6.8;216.0;;;2.0;103.0;224.0;21110.0;8004.0;2615.0
58;A Agriculture, forestry and fishing;1999;184.0;;;18.0;12946.0;29873.0;9.5;0.0;6.9;278.0;;;2.0;109.0;225.0;22045.0;8465.0;3280.0
59;A Agriculture, forestry and fishing;2000;187.0;;;19.0;13587.0;28975.0;10.5;0.0;6.6;252.0;;;2.0;163.0;223.0;22226.0;8618.0;3240.0
60;A Agriculture, forestry and fishing;2001;183.0;;;18.0;13301.0;28440.0;10.1;0.0;6.4;235.0;;;2.0;174.0;215.0;21605.0;8193.0;3422.0
61;A Agriculture, forestry and fishing;2002;171.0;;4061.0;17.0;12319.0;26856.0;9.5;0.0;6.7;230.0;;;3.0;189.0;212.0;21620.0;8048.0;3459.0
62;A Agriculture, forestry and fishing;2003;171.0;57.6;3858.0;16.0;6304.0;26550.0;9.2;0.0;5.7;224.0;;;3.0;221.0;206.0;21599.0;8401.0;3553.0
63;A Agriculture, forestry and fishing;2004;173.0;49.9;3868.0;14.0;9976.0;26708.0;9.0;0.0;6.4;240.0;;;3.0;228.0;198.0;22359.0;8872.0;3221.0
64;A Agriculture, forestry and fishing;2005;171.0;47.6;3752.0;13.0;8257.0;26608.0;8.9;0.0;6.6;341.0;;;3.0;247.0;196.0;22301.0;8826.0;3262.0
65;A Agriculture, forestry and fishing;2006;153.0;46.5;3999.0;12.0;7940.0;26123.0;8.9;0.0;6.4;377.0;;;3.0;338.0;192.0;22559.0;8747.0;3446.0
66;A Agriculture, forestry and fishing;2007;156.0;46.0;4513.0;17.0;12686.0;26766.0;8.8;0.0;6.6;347.0;;;3.0;371.0;189.0;23200.0;9088.0;4201.0
67;A Agriculture, forestry and fishing;2008;157.0;44.3;4764.0;11.0;8219.0;27811.0;7.9;0.0;6.7;422.0;;;3.0;415.0;185.0;23955.0;9285.0;4519.0
68;A Agriculture, forestry and fishing;2009;162.0;47.2;4258.0;12.0;6405.0;28091.0;7.8;0.0;6.7;422.0;;;4.0;398.0;183.0;24352.0;9700.0;4168.0
69;A Agriculture, forestry and fishing;2010;173.0;43.8;4319.0;15.0;8977.0;29339.0;7.6;0.0;6.8;415.0;;;4.0;577.0;180.0;24563.0;9641.0;4667.0
70;A Agriculture, forestry and fishing;2011;164.0;42.7;;;;28144.0;7.3;0.0;7.2;397.0;;;4.0;547.0;178.0;24426.0;9784.0;5084.0
71;A Agriculture, forestry and fishing;2012;165.0;;;;;27835.0;7.0;0.0;7.0;344.0;;;;;174.0;24468.0;9811.0;4207.0
72;B-E Industry (no construction), energy;1995;1614.0;;;57.0;14589.0;122436.0;7.1;484.9;22.4;1151.0;;;;;971.0;238650.0;70957.0;12332.0
73;B-E Industry (no construction), energy;1996;1610.0;;;51.0;13843.0;125274.0;6.9;364.5;17.6;1259.0;;;;;960.0;246792.0;72743.0;13383.0
74;B-E Industry (no construction), energy;1997;1632.0;;;49.0;13250.0;126182.0;6.3;272.0;15.0;1229.0;;;;;969.0;254884.0;72610.0;14679.0
75;B-E Industry (no construction), energy;1998;1652.0;;;47.0;13415.0;128898.0;5.8;177.6;14.1;1277.0;;;;;977.0;263060.0;73690.0;13402.0
76;B-E Industry (no construction), energy;1999;1652.0;;;44.0;12561.0;119426.0;5.3;164.4;13.2;1431.0;;;;;973.0;269116.0;75953.0;12673.0
77;B-E Industry (no construction), energy;2000;1703.0;;;38.0;10447.0;119326.0;4.7;161.0;13.6;1505.0;;;;;970.0;280063.0;80232.0;12365.0
78;B-E Industry (no construction), energy;2001;1744.0;;;38.0;9462.0;119850.0;4.7;156.9;12.8;1393.0;;;;;969.0;280045.0;81151.0;11916.0
79;B-E Industry (no construction), energy;2002;1758.0;;22037.0;36.0;9090.0;121979.0;4.5;137.2;13.1;1377.0;;;;;950.0;276408.0;82079.0;12247.0
80;B-E Industry (no construction), energy;2003;1817.0;173.4;21794.0;33.0;8539.0;121800.0;4.4;107.6;12.0;1418.0;;;;;919.0;274034.0;81180.0;12078.0
81;B-E Industry (no construction), energy;2004;1873.0;167.4;21460.0;30.0;8327.0;124252.0;4.4;106.0;11.3;1295.0;;;;;891.0;282113.0;84552.0;11088.0
82;B-E Industry (no construction), energy;2005;1913.0;162.0;20180.0;26.0;8159.0;122644.0;4.2;105.2;10.7;1392.0;;;;;870.0;284760.0;84813.0;11901.0
83;B-E Industry (no construction), energy;2006;1813.0;163.5;18871.0;22.0;7387.0;117587.0;4.1;106.2;10.5;1648.0;;;;;863.0;291996.0;86504.0;13494.0
84;B-E Industry (no construction), energy;2007;1966.0;163.4;19047.0;27.0;8018.0;118945.0;3.8;101.9;10.1;1528.0;;;;;868.0;302478.0;89899.0;14203.0
85;B-E Industry (no construction), energy;2008;1885.0;167.7;19068.0;21.0;7677.0;115343.0;3.4;99.4;9.5;1901.0;1461.0;765.0;;;874.0;302793.0;90570.0;15324.0
86;B-E Industry (no construction), energy;2009;1835.0;164.2;16179.0;19.0;6607.0;112393.0;2.9;93.3;8.5;1947.0;1413.0;493.0;;;853.0;283973.0;84246.0;14433.0
87;B-E Industry (no construction), energy;2010;1962.0;165.4;16284.0;19.0;6686.0;118566.0;2.8;90.1;8.5;2193.0;;;;;834.0;299370.0;90554.0;14031.0
88;B-E Industry (no construction), energy;2011;1859.0;159.6;;;;112383.0;2.8;88.8;8.3;2352.0;;;;;827.0;302296.0;90805.0;16622.0
89;B-E Industry (no construction), energy;2012;1867.0;;;;;110007.0;2.8;85.9;7.9;2298.0;;;;;823.0;301794.0;89957.0;15024.0
90;B Mining and quarrying;1995;31.0;;;0.0;85.0;3745.0;0.2;0.0;0.0;54.0;;;;;9.0;17230.0;14454.0;1202.0
91;B Mining and quarrying;1996;37.0;;;0.0;60.0;3712.0;0.2;0.0;0.1;64.0;;;;;10.0;18393.0;15470.0;1172.0
92;B Mining and quarrying;1997;38.0;;;0.0;44.0;3370.0;0.2;0.0;0.1;59.0;;;;;9.0;17480.0;14441.0;2223.0
93;B Mining and quarrying;1998;47.0;;;0.0;27.0;3412.0;0.3;0.0;0.0;70.0;;;;;9.0;16863.0;13614.0;1550.0
94;B Mining and quarrying;1999;43.0;;;0.0;11.0;3143.0;0.2;0.0;0.1;71.0;;;;;9.0;17074.0;13819.0;1124.0
95;B Mining and quarrying;2000;51.0;;;0.0;3.0;3069.0;0.2;0.0;0.1;64.0;;;;;9.0;16517.0;13176.0;1032.0
96;B Mining and quarrying;2001;53.0;;;0.0;2.0;3066.0;0.2;0.3;0.1;66.0;;;;;9.0;17673.0;14115.0;1459.0
97;B Mining and quarrying;2002;55.0;;118.0;0.0;2.0;3244.0;0.2;0.0;0.1;60.0;;;;;9.0;17786.0;14180.0;1576.0
98;B Mining and quarrying;2003;56.0;3.5;240.0;0.0;2.0;3223.0;0.2;0.0;0.1;61.0;;;;;9.0;17137.0;13740.0;1709.0
99;B Mining and quarrying;2004;58.0;3.1;293.0;0.0;2.0;3266.0;0.1;0.0;0.1;29.0;;;;;9.0;18636.0;15222.0;1201.0
100;B Mining and quarrying;2005;56.0;2.9;252.0;0.0;3.0;3298.0;0.1;0.0;0.0;28.0;;;;;7.0;17241.0;12532.0;1375.0
101;B Mining and quarrying;2006;51.0;2.9;207.0;0.0;1.0;3126.0;0.1;0.0;0.0;34.0;;;;;7.0;16939.0;12201.0;2032.0
102;B Mining and quarrying;2007;48.0;2.8;153.0;0.0;0.0;3031.0;0.1;0.0;0.1;26.0;;;;;7.0;16890.0;12183.0;1585.0
103;B Mining and quarrying;2008;47.0;3.0;111.0;0.0;0.0;3028.0;0.1;0.0;0.1;29.0;;;;;7.0;17928.0;13174.0;2074.0
104;B Mining and quarrying;2009;44.0;2.6;127.0;0.0;0.0;2843.0;0.1;0.0;0.0;23.0;;;;;7.0;17457.0;12494.0;1976.0
105;B Mining and quarrying;2010;48.0;2.4;147.0;0.0;0.0;2983.0;0.1;0.0;0.0;22.0;;;;;7.0;19317.0;14286.0;2016.0
106;B Mining and quarrying;2011;48.0;2.3;;;;2684.0;0.1;0.0;0.0;23.0;;;;;7.0;18001.0;13325.0;4073.0
107;B Mining and quarrying;2012;42.0;;;;;2692.0;0.1;0.0;0.0;24.0;;;;;7.0;17915.0;13294.0;3509.0
108;C Manufacturing;1995;1205.0;;;31.0;6703.0;62612.0;4.8;373.3;21.7;621.0;;;7.0;530.0;901.0;192809.0;49760.0;7448.0
109;C Manufacturing;1996;1193.0;;;27.0;6300.0;64111.0;4.5;283.6;16.9;692.0;;;8.0;669.0;891.0;198461.0;50501.0;7795.0
110;C Manufacturing;1997;1222.0;;;25.0;6158.0;64585.0;4.2;194.0;14.3;685.0;;;9.0;721.0;900.0;206640.0;51229.0;9013.0
111;C Manufacturing;1998;1219.0;;;22.0;6163.0;65197.0;3.7;102.6;13.4;718.0;;;9.0;717.0;907.0;214254.0;52765.0;9022.0
112;C Manufacturing;1999;1243.0;;;19.0;5887.0;58985.0;3.3;52.0;12.5;877.0;;;9.0;770.0;904.0;219191.0;54548.0;8804.0
113;C Manufacturing;2000;1274.0;;;15.0;4266.0;57320.0;2.7;41.9;12.9;949.0;;;9.0;778.0;902.0;229135.0;58432.0;8850.0
114;C Manufacturing;2001;1280.0;;;14.0;3046.0;54081.0;2.8;34.3;12.1;823.0;;;10.0;857.0;901.0;227490.0;58420.0;8146.0
115;C Manufacturing;2002;1278.0;;17182.0;14.0;2864.0;54088.0;2.6;19.2;12.3;867.0;;;11.0;981.0;880.0;223136.0;58442.0;8399.0
116;C Manufacturing;2003;1332.0;162.7;16956.0;13.0;2931.0;53502.0;2.5;0.1;11.3;894.0;;;12.0;1040.0;849.0;220982.0;57917.0;7899.0
117;C Manufacturing;2004;1372.0;159.1;15915.0;13.0;2813.0;53465.0;2.7;0.1;10.7;973.0;;;10.0;920.0;824.0;227350.0;60113.0;7103.0
118;C Manufacturing;2005;1422.0;154.4;15699.0;11.0;2984.0;53320.0;2.6;0.0;9.9;1083.0;;;11.0;913.0;804.0;230088.0;61405.0;7594.0
119;C Manufacturing;2006;1352.0;155.1;15397.0;10.0;2631.0;52751.0;2.6;0.0;9.8;1301.0;;;11.0;946.0;800.0;237571.0;63527.0;8065.0
120;C Manufacturing;2007;1492.0;155.2;15335.0;12.0;2790.0;51909.0;2.5;0.0;9.5;1198.0;;;12.0;1014.0;803.0;248432.0;67282.0;8861.0
121;C Manufacturing;2008;1399.0;157.6;15432.0;10.0;2652.0;47361.0;2.3;0.0;8.8;1556.0;;;12.0;1036.0;808.0;245969.0;66292.0;9447.0
122;C Manufacturing;2009;1336.0;148.4;13897.0;8.0;2261.0;43531.0;1.8;0.0;8.0;1631.0;1006.0;264.0;13.0;1008.0;787.0;227359.0;60188.0;8551.0
123;C Manufacturing;2010;1451.0;147.0;14053.0;7.0;1907.0;46738.0;1.7;0.0;8.0;1869.0;;;13.0;1054.0;766.0;238809.0;63976.0;7298.0
124;C Manufacturing;2011;1386.0;142.6;;;;44955.0;1.7;0.0;7.9;1977.0;;;13.0;1057.0;759.0;244762.0;66030.0;8117.0
125;C Manufacturing;2012;1411.0;;;;;45118.0;1.8;0.0;7.5;1967.0;;;;;755.0;244469.0;65368.0;7644.0
126;10-12 Manufacture of food and beverages;1995;94.0;;;3.0;2396.0;4358.0;0.2;118.1;2.6;156.0;;;;;145.0;44019.0;10691.0;1331.0
127;10-12 Manufacture of food and beverages;1996;104.0;;;2.0;2285.0;4668.0;0.2;89.1;2.2;173.0;;;;;138.0;44909.0;10797.0;1472.0
128;10-12 Manufacture of food and beverages;1997;99.0;;;2.0;2210.0;4468.0;0.1;60.1;2.0;176.0;;;;;138.0;45254.0;10665.0;1560.0
129;10-12 Manufacture of food and beverages;1998;102.0;;;2.0;2136.0;4589.0;0.1;31.0;1.9;181.0;;;;;137.0;46337.0;10664.0;1458.0
130;10-12 Manufacture of food and beverages;1999;106.0;;;2.0;2062.0;4878.0;0.1;2.0;2.1;231.0;;;;;137.0;46995.0;10916.0;1584.0
131;10-12 Manufacture of food and beverages;2000;103.0;;;1.0;2025.0;4750.0;0.1;1.7;2.1;237.0;;;;;137.0;47411.0;11181.0;1602.0
132;10-12 Manufacture of food and beverages;2001;101.0;;;1.0;1914.0;4610.0;0.1;1.1;2.0;222.0;;;;;137.0;46964.0;11188.0;1611.0
133;10-12 Manufacture of food and beverages;2002;102.0;;9151.0;1.0;1839.0;4765.0;0.1;0.5;2.1;212.0;;;;;133.0;46685.0;11456.0;1660.0
134;10-12 Manufacture of food and beverages;2003;98.0;46.3;9002.0;1.0;1782.0;4678.0;0.1;0.1;2.0;204.0;;;;;128.0;46873.0;11382.0;1650.0
135;10-12 Manufacture of food and beverages;2004;98.0;44.3;7963.0;1.0;1654.0;4658.0;0.1;0.0;2.0;229.0;;;;;123.0;47384.0;11493.0;1638.0
136;10-12 Manufacture of food and beverages;2005;96.0;43.5;7600.0;1.0;1835.0;4586.0;0.1;0.0;2.1;255.0;;;;;120.0;48287.0;11937.0;1780.0
137;10-12 Manufacture of food and beverages;2006;93.0;46.2;7612.0;1.0;1463.0;4464.0;0.1;0.0;2.0;302.0;;;;;119.0;49210.0;12186.0;1577.0
138;10-12 Manufacture of food and beverages;2007;94.0;45.2;7629.0;1.0;1589.0;4577.0;0.1;0.0;2.0;275.0;;;;;117.0;50356.0;12547.0;1797.0
139;10-12 Manufacture of food and beverages;2008;90.0;48.4;7484.0;0.0;1540.0;4395.0;0.1;0.0;2.0;378.0;;;;;117.0;50592.0;12305.0;1904.0
140;10-12 Manufacture of food and beverages;2009;81.0;46.4;7609.0;0.0;1497.0;4087.0;0.1;0.0;1.9;429.0;;;;;117.0;50632.0;12414.0;1640.0
141;10-12 Manufacture of food and beverages;2010;86.0;40.9;7650.0;0.0;1254.0;4311.0;0.1;0.0;1.9;437.0;;;;;116.0;50777.0;12364.0;1543.0
142;10-12 Manufacture of food and beverages;2011;85.0;38.2;;;;4247.0;0.1;0.0;1.9;434.0;;;;;115.0;51741.0;12368.0;1457.0
143;10-12 Manufacture of food and beverages;2012;85.0;;;;;4417.0;0.1;0.0;1.9;434.0;;;;;116.0;51108.0;12179.0;
144;13-15 Man. of textile-, leatherproducts;1995;9.0;;;1.0;114.0;408.0;0.0;0.0;0.1;11.0;;;;;34.0;4438.0;1237.0;126.0
145;13-15 Man. of textile-, leatherproducts;1996;10.0;;;1.0;82.0;417.0;0.0;0.0;0.0;20.0;;;;;32.0;4323.0;1196.0;119.0
146;13-15 Man. of textile-, leatherproducts;1997;10.0;;;1.0;65.0;417.0;0.0;0.0;0.0;17.0;;;;;32.0;4379.0;1213.0;119.0
147;13-15 Man. of textile-, leatherproducts;1998;10.0;;;1.0;70.0;433.0;0.0;0.0;0.0;18.0;;;;;30.0;4540.0;1285.0;144.0
148;13-15 Man. of textile-, leatherproducts;1999;9.0;;;1.0;67.0;353.0;0.0;0.0;0.0;22.0;;;;;29.0;4512.0;1291.0;160.0
149;13-15 Man. of textile-, leatherproducts;2000;9.0;;;1.0;73.0;389.0;0.0;0.0;0.1;22.0;;;;;28.0;4668.0;1344.0;140.0
150;13-15 Man. of textile-, leatherproducts;2001;8.0;;;1.0;66.0;316.0;0.0;0.0;0.1;25.0;;;;;27.0;4468.0;1327.0;123.0
151;13-15 Man. of textile-, leatherproducts;2002;8.0;;102.0;1.0;67.0;306.0;0.0;0.0;0.1;26.0;;;;;25.0;4289.0;1269.0;111.0
152;13-15 Man. of textile-, leatherproducts;2003;7.0;2.4;100.0;1.0;66.0;306.0;0.0;0.0;0.1;21.0;;;;;23.0;4106.0;1241.0;97.0
153;13-15 Man. of textile-, leatherproducts;2004;7.0;2.0;80.0;1.0;66.0;269.0;0.0;0.0;0.1;25.0;;;;;21.0;3836.0;1090.0;104.0
154;13-15 Man. of textile-, leatherproducts;2005;5.0;1.7;78.0;1.0;47.0;229.0;0.0;0.0;0.1;32.0;;;;;19.0;3768.0;1097.0;104.0
155;13-15 Man. of textile-, leatherproducts;2006;5.0;1.8;79.0;0.0;66.0;201.0;0.0;0.0;0.1;31.0;;;;;19.0;3818.0;1125.0;91.0
156;13-15 Man. of textile-, leatherproducts;2007;5.0;2.0;75.0;0.0;111.0;210.0;0.0;0.0;0.1;36.0;;;;;19.0;3994.0;1204.0;120.0
157;13-15 Man. of textile-, leatherproducts;2008;5.0;2.0;86.0;1.0;77.0;204.0;0.0;0.0;0.1;38.0;;;;;19.0;3743.0;1171.0;149.0
158;13-15 Man. of textile-, leatherproducts;2009;5.0;1.4;76.0;0.0;30.0;192.0;0.0;0.0;0.1;32.0;;;;;18.0;3344.0;1048.0;78.0
159;13-15 Man. of textile-, leatherproducts;2010;5.0;1.4;72.0;0.0;22.0;213.0;0.0;0.0;0.1;34.0;;;;;17.0;3471.0;1099.0;81.0
160;13-15 Man. of textile-, leatherproducts;2011;5.0;1.4;;;;183.0;0.0;0.0;0.1;34.0;;;;;17.0;3563.0;1147.0;78.0
161;13-15 Man. of textile-, leatherproducts;2012;5.0;;;;;193.0;0.0;0.0;0.1;35.0;;;;;17.0;3501.0;1129.0;
162;16-18 Man. wood en paperprod., printing;1995;43.0;;;1.0;127.0;1599.0;0.1;0.0;0.9;48.0;;;;;101.0;12611.0;4628.0;955.0
163;16-18 Man. wood en paperprod., printing;1996;46.0;;;1.0;119.0;1726.0;0.1;0.0;0.0;50.0;;;;;100.0;12899.0;4569.0;989.0
164;16-18 Man. wood en paperprod., printing;1997;48.0;;;1.0;114.0;1772.0;0.1;0.0;0.0;46.0;;;;;98.0;13540.0;4874.0;972.0
165;16-18 Man. wood en paperprod., printing;1998;48.0;;;1.0;108.0;1750.0;0.1;0.0;0.0;54.0;;;;;98.0;13948.0;4958.0;1234.0
166;16-18 Man. wood en paperprod., printing;1999;48.0;;;1.0;103.0;1776.0;0.0;0.0;0.0;62.0;;;;;95.0;14152.0;5041.0;1049.0
167;16-18 Man. wood en paperprod., printing;2000;49.0;;;1.0;100.0;1817.0;0.1;0.0;0.8;63.0;;;;;94.0;14400.0;5083.0;987.0
168;16-18 Man. wood en paperprod., printing;2001;46.0;;;0.0;96.0;1678.0;0.1;0.0;0.8;63.0;;;;;93.0;14160.0;4979.0;964.0
