ID;Geslacht;Onderwijssoort;Regiokenmerken;Perioden;Examenkandidaten_1;Gediplomeerden_2;GediplomeerdenRelatief_3
79;Totaal mannen en vrouwen;Vmbo;Groningen (PV);2012/'13;3210;2970;93.0
80;Totaal mannen en vrouwen;Vmbo;Groningen (PV);2013/'14;3300;3100;94.0
81;Totaal mannen en vrouwen;Vmbo;Groningen (PV);2014/'15;3560;3360;94.0
82;Totaal mannen en vrouwen;Vmbo;Groningen (PV);2015/'16;3710;3490;94.0
83;Totaal mannen en vrouwen;Vmbo;Groningen (PV);2016/'17;3590;3380;94.0
84;Totaal mannen en vrouwen;Vmbo;Groningen (PV);2017/'18;3400;3160;93.0
85;Totaal mannen en vrouwen;Vmbo;Groningen (PV);2018/'19;3430;3220;94.0
86;Totaal mannen en vrouwen;Vmbo;Groningen (PV);2019/'20;3090;3080;100.0
87;Totaal mannen en vrouwen;Vmbo;Groningen (PV);2020/'21;2850;2810;99.0
88;Totaal mannen en vrouwen;Vmbo;Groningen (PV);2021/'22;2660;2550;96.0
89;Totaal mannen en vrouwen;Vmbo;Groningen (PV);2022/'23;2720;2530;93.0
90;Totaal mannen en vrouwen;Vmbo;Groningen (PV);2023/'24;2740;2550;93.0
91;Totaal mannen en vrouwen;Vmbo;Fryslân (PV);2011/'12;4450;4110;92.0
92;Totaal mannen en vrouwen;Vmbo;Fryslân (PV);2012/'13;4610;4300;93.0
93;Totaal mannen en vrouwen;Vmbo;Fryslân (PV);2013/'14;4640;4380;94.0
94;Totaal mannen en vrouwen;Vmbo;Fryslân (PV);2014/'15;4880;4650;95.0
95;Totaal mannen en vrouwen;Vmbo;Fryslân (PV);2015/'16;5110;4870;95.0
96;Totaal mannen en vrouwen;Vmbo;Fryslân (PV);2016/'17;4950;4720;95.0
97;Totaal mannen en vrouwen;Vmbo;Fryslân (PV);2017/'18;4830;4530;94.0
98;Totaal mannen en vrouwen;Vmbo;Fryslân (PV);2018/'19;4650;4350;94.0
99;Totaal mannen en vrouwen;Vmbo;Fryslân (PV);2019/'20;4430;4410;100.0
100;Totaal mannen en vrouwen;Vmbo;Fryslân (PV);2020/'21;4040;3930;97.0
101;Totaal mannen en vrouwen;Vmbo;Fryslân (PV);2021/'22;3720;3600;97.0
102;Totaal mannen en vrouwen;Vmbo;Fryslân (PV);2022/'23;3750;3480;93.0
103;Totaal mannen en vrouwen;Vmbo;Fryslân (PV);2023/'24;4060;3830;94.0
104;Totaal mannen en vrouwen;Vmbo;Drenthe (PV);2011/'12;3340;3140;94.0
105;Totaal mannen en vrouwen;Vmbo;Drenthe (PV);2012/'13;3400;3220;94.0
106;Totaal mannen en vrouwen;Vmbo;Drenthe (PV);2013/'14;3530;3370;95.0
107;Totaal mannen en vrouwen;Vmbo;Drenthe (PV);2014/'15;3960;3780;96.0
108;Totaal mannen en vrouwen;Vmbo;Drenthe (PV);2015/'16;3910;3750;96.0
109;Totaal mannen en vrouwen;Vmbo;Drenthe (PV);2016/'17;3880;3700;95.0
110;Totaal mannen en vrouwen;Vmbo;Drenthe (PV);2017/'18;3840;3620;94.0
111;Totaal mannen en vrouwen;Vmbo;Drenthe (PV);2018/'19;3670;3480;95.0
112;Totaal mannen en vrouwen;Vmbo;Drenthe (PV);2019/'20;3490;3470;100.0
113;Totaal mannen en vrouwen;Vmbo;Drenthe (PV);2020/'21;3230;3180;98.0
114;Totaal mannen en vrouwen;Vmbo;Drenthe (PV);2021/'22;2980;2930;98.0
115;Totaal mannen en vrouwen;Vmbo;Drenthe (PV);2022/'23;2850;2710;95.0
116;Totaal mannen en vrouwen;Vmbo;Drenthe (PV);2023/'24;3160;3010;96.0
117;Totaal mannen en vrouwen;Vmbo;Overijssel (PV);2011/'12;7340;6700;91.0
118;Totaal mannen en vrouwen;Vmbo;Overijssel (PV);2012/'13;7660;7130;93.0
119;Totaal mannen en vrouwen;Vmbo;Overijssel (PV);2013/'14;7910;7490;95.0
120;Totaal mannen en vrouwen;Vmbo;Overijssel (PV);2014/'15;8250;7910;96.0
121;Totaal mannen en vrouwen;Vmbo;Overijssel (PV);2015/'16;8570;8190;96.0
122;Totaal mannen en vrouwen;Vmbo;Overijssel (PV);2016/'17;8890;8520;96.0
123;Totaal mannen en vrouwen;Vmbo;Overijssel (PV);2017/'18;8570;8100;95.0
124;Totaal mannen en vrouwen;Vmbo;Overijssel (PV);2018/'19;8670;8260;95.0
125;Totaal mannen en vrouwen;Vmbo;Overijssel (PV);2019/'20;8540;8480;99.0
126;Totaal mannen en vrouwen;Vmbo;Overijssel (PV);2020/'21;8010;7880;98.0
127;Totaal mannen en vrouwen;Vmbo;Overijssel (PV);2021/'22;7540;7380;98.0
128;Totaal mannen en vrouwen;Vmbo;Overijssel (PV);2022/'23;7330;6900;94.0
129;Totaal mannen en vrouwen;Vmbo;Overijssel (PV);2023/'24;7700;7320;95.0
130;Totaal mannen en vrouwen;Vmbo;Flevoland (PV);2011/'12;2880;2680;93.0
131;Totaal mannen en vrouwen;Vmbo;Flevoland (PV);2012/'13;2990;2780;93.0
132;Totaal mannen en vrouwen;Vmbo;Flevoland (PV);2013/'14;3160;2920;92.0
133;Totaal mannen en vrouwen;Vmbo;Flevoland (PV);2014/'15;3130;2980;95.0
134;Totaal mannen en vrouwen;Vmbo;Flevoland (PV);2015/'16;3190;3060;96.0
135;Totaal mannen en vrouwen;Vmbo;Flevoland (PV);2016/'17;3300;3120;95.0
136;Totaal mannen en vrouwen;Vmbo;Flevoland (PV);2017/'18;3200;3050;95.0
137;Totaal mannen en vrouwen;Vmbo;Flevoland (PV);2018/'19;3090;2930;95.0
138;Totaal mannen en vrouwen;Vmbo;Flevoland (PV);2019/'20;3030;3010;99.0
139;Totaal mannen en vrouwen;Vmbo;Flevoland (PV);2020/'21;2900;2820;97.0
140;Totaal mannen en vrouwen;Vmbo;Flevoland (PV);2021/'22;2740;2640;96.0
141;Totaal mannen en vrouwen;Vmbo;Flevoland (PV);2022/'23;2770;2530;91.0
142;Totaal mannen en vrouwen;Vmbo;Flevoland (PV);2023/'24;2860;2610;91.0
143;Totaal mannen en vrouwen;Vmbo;Gelderland (PV);2011/'12;12330;11310;92.0
144;Totaal mannen en vrouwen;Vmbo;Gelderland (PV);2012/'13;12790;11880;93.0
145;Totaal mannen en vrouwen;Vmbo;Gelderland (PV);2013/'14;12970;12350;95.0
146;Totaal mannen en vrouwen;Vmbo;Gelderland (PV);2014/'15;13380;12760;95.0
147;Totaal mannen en vrouwen;Vmbo;Gelderland (PV);2015/'16;13540;12920;95.0
148;Totaal mannen en vrouwen;Vmbo;Gelderland (PV);2016/'17;14080;13380;95.0
149;Totaal mannen en vrouwen;Vmbo;Gelderland (PV);2017/'18;13920;13200;95.0
150;Totaal mannen en vrouwen;Vmbo;Gelderland (PV);2018/'19;13680;13050;95.0
151;Totaal mannen en vrouwen;Vmbo;Gelderland (PV);2019/'20;12960;12890;99.0
152;Totaal mannen en vrouwen;Vmbo;Gelderland (PV);2020/'21;12260;12040;98.0
153;Totaal mannen en vrouwen;Vmbo;Gelderland (PV);2021/'22;11460;11200;98.0
154;Totaal mannen en vrouwen;Vmbo;Gelderland (PV);2022/'23;11300;10510;93.0
155;Totaal mannen en vrouwen;Vmbo;Gelderland (PV);2023/'24;11630;10870;93.0
156;Totaal mannen en vrouwen;Vmbo;Utrecht (PV);2011/'12;6270;5750;92.0
157;Totaal mannen en vrouwen;Vmbo;Utrecht (PV);2012/'13;6360;5820;91.0
158;Totaal mannen en vrouwen;Vmbo;Utrecht (PV);2013/'14;6660;6290;94.0
159;Totaal mannen en vrouwen;Vmbo;Utrecht (PV);2014/'15;6870;6530;95.0
160;Totaal mannen en vrouwen;Vmbo;Utrecht (PV);2015/'16;7300;6990;96.0
161;Totaal mannen en vrouwen;Vmbo;Utrecht (PV);2016/'17;7390;6940;94.0
162;Totaal mannen en vrouwen;Vmbo;Utrecht (PV);2017/'18;7430;7000;94.0
163;Totaal mannen en vrouwen;Vmbo;Utrecht (PV);2018/'19;7140;6790;95.0
164;Totaal mannen en vrouwen;Vmbo;Utrecht (PV);2019/'20;7280;7210;99.0
165;Totaal mannen en vrouwen;Vmbo;Utrecht (PV);2020/'21;6770;6590;97.0
166;Totaal mannen en vrouwen;Vmbo;Utrecht (PV);2021/'22;6440;6210;97.0
167;Totaal mannen en vrouwen;Vmbo;Utrecht (PV);2022/'23;6180;5680;92.0
168;Totaal mannen en vrouwen;Vmbo;Utrecht (PV);2023/'24;6560;6030;92.0
169;Totaal mannen en vrouwen;Vmbo;Noord-Holland (PV);2011/'12;13730;12570;92.0
170;Totaal mannen en vrouwen;Vmbo;Noord-Holland (PV);2012/'13;14300;13070;91.0
171;Totaal mannen en vrouwen;Vmbo;Noord-Holland (PV);2013/'14;14770;13810;94.0
172;Totaal mannen en vrouwen;Vmbo;Noord-Holland (PV);2014/'15;15220;14330;94.0
173;Totaal mannen en vrouwen;Vmbo;Noord-Holland (PV);2015/'16;15580;14750;95.0
174;Totaal mannen en vrouwen;Vmbo;Noord-Holland (PV);2016/'17;15670;14770;94.0
175;Totaal mannen en vrouwen;Vmbo;Noord-Holland (PV);2017/'18;15230;14190;93.0
176;Totaal mannen en vrouwen;Vmbo;Noord-Holland (PV);2018/'19;14720;13620;93.0
177;Totaal mannen en vrouwen;Vmbo;Noord-Holland (PV);2019/'20;14320;14210;99.0
178;Totaal mannen en vrouwen;Vmbo;Noord-Holland (PV);2020/'21;13510;13060;97.0
179;Totaal mannen en vrouwen;Vmbo;Noord-Holland (PV);2021/'22;12820;12350;96.0
180;Totaal mannen en vrouwen;Vmbo;Noord-Holland (PV);2022/'23;12170;11020;91.0
181;Totaal mannen en vrouwen;Vmbo;Noord-Holland (PV);2023/'24;12980;11890;92.0
182;Totaal mannen en vrouwen;Vmbo;Zuid-Holland (PV);2011/'12;19940;18290;92.0
183;Totaal mannen en vrouwen;Vmbo;Zuid-Holland (PV);2012/'13;20900;19290;92.0
184;Totaal mannen en vrouwen;Vmbo;Zuid-Holland (PV);2013/'14;20980;19600;93.0
185;Totaal mannen en vrouwen;Vmbo;Zuid-Holland (PV);2014/'15;21520;20310;94.0
186;Totaal mannen en vrouwen;Vmbo;Zuid-Holland (PV);2015/'16;21980;20760;94.0
187;Totaal mannen en vrouwen;Vmbo;Zuid-Holland (PV);2016/'17;22050;20690;94.0
188;Totaal mannen en vrouwen;Vmbo;Zuid-Holland (PV);2017/'18;21660;20290;94.0
189;Totaal mannen en vrouwen;Vmbo;Zuid-Holland (PV);2018/'19;21020;19820;94.0
190;Totaal mannen en vrouwen;Vmbo;Zuid-Holland (PV);2019/'20;20220;20090;99.0
191;Totaal mannen en vrouwen;Vmbo;Zuid-Holland (PV);2020/'21;19340;18840;97.0
192;Totaal mannen en vrouwen;Vmbo;Zuid-Holland (PV);2021/'22;18560;18010;97.0
193;Totaal mannen en vrouwen;Vmbo;Zuid-Holland (PV);2022/'23;18180;16910;93.0
194;Totaal mannen en vrouwen;Vmbo;Zuid-Holland (PV);2023/'24;19270;18120;94.0
195;Totaal mannen en vrouwen;Vmbo;Zeeland (PV);2011/'12;2570;2410;94.0
196;Totaal mannen en vrouwen;Vmbo;Zeeland (PV);2012/'13;2620;2450;94.0
197;Totaal mannen en vrouwen;Vmbo;Zeeland (PV);2013/'14;2710;2580;95.0
198;Totaal mannen en vrouwen;Vmbo;Zeeland (PV);2014/'15;2620;2470;94.0
199;Totaal mannen en vrouwen;Vmbo;Zeeland (PV);2015/'16;2780;2680;96.0
200;Totaal mannen en vrouwen;Vmbo;Zeeland (PV);2016/'17;2600;2470;95.0
201;Totaal mannen en vrouwen;Vmbo;Zeeland (PV);2017/'18;2330;2220;95.0
202;Totaal mannen en vrouwen;Vmbo;Zeeland (PV);2018/'19;2290;2210;96.0
203;Totaal mannen en vrouwen;Vmbo;Zeeland (PV);2019/'20;2210;2200;
204;Totaal mannen en vrouwen;Vmbo;Zeeland (PV);2020/'21;2010;1990;99.0
205;Totaal mannen en vrouwen;Vmbo;Zeeland (PV);2021/'22;1970;1930;98.0
206;Totaal mannen en vrouwen;Vmbo;Zeeland (PV);2022/'23;1920;1820;95.0
207;Totaal mannen en vrouwen;Vmbo;Zeeland (PV);2023/'24;2050;1970;96.0
208;Totaal mannen en vrouwen;Vmbo;Noord-Brabant (PV);2011/'12;14590;13710;94.0
209;Totaal mannen en vrouwen;Vmbo;Noord-Brabant (PV);2012/'13;14760;13920;94.0
210;Totaal mannen en vrouwen;Vmbo;Noord-Brabant (PV);2013/'14;15020;14380;96.0
211;Totaal mannen en vrouwen;Vmbo;Noord-Brabant (PV);2014/'15;15640;15080;96.0
212;Totaal mannen en vrouwen;Vmbo;Noord-Brabant (PV);2015/'16;16010;15370;96.0
213;Totaal mannen en vrouwen;Vmbo;Noord-Brabant (PV);2016/'17;16120;15320;95.0
214;Totaal mannen en vrouwen;Vmbo;Noord-Brabant (PV);2017/'18;15580;14800;95.0
215;Totaal mannen en vrouwen;Vmbo;Noord-Brabant (PV);2018/'19;15130;14440;95.0
216;Totaal mannen en vrouwen;Vmbo;Noord-Brabant (PV);2019/'20;14940;14850;99.0
217;Totaal mannen en vrouwen;Vmbo;Noord-Brabant (PV);2020/'21;13830;13540;98.0
218;Totaal mannen en vrouwen;Vmbo;Noord-Brabant (PV);2021/'22;13140;12810;98.0
219;Totaal mannen en vrouwen;Vmbo;Noord-Brabant (PV);2022/'23;12780;11940;93.0
220;Totaal mannen en vrouwen;Vmbo;Noord-Brabant (PV);2023/'24;13670;12910;94.0
221;Totaal mannen en vrouwen;Vmbo;Limburg (PV);2011/'12;6060;5640;93.0
222;Totaal mannen en vrouwen;Vmbo;Limburg (PV);2012/'13;6090;5740;94.0
223;Totaal mannen en vrouwen;Vmbo;Limburg (PV);2013/'14;6110;5850;96.0
224;Totaal mannen en vrouwen;Vmbo;Limburg (PV);2014/'15;6160;5920;96.0
225;Totaal mannen en vrouwen;Vmbo;Limburg (PV);2015/'16;6200;5900;95.0
226;Totaal mannen en vrouwen;Vmbo;Limburg (PV);2016/'17;6310;5990;95.0
227;Totaal mannen en vrouwen;Vmbo;Limburg (PV);2017/'18;5950;5600;94.0
228;Totaal mannen en vrouwen;Vmbo;Limburg (PV);2018/'19;5730;5390;94.0
229;Totaal mannen en vrouwen;Vmbo;Limburg (PV);2019/'20;5380;5330;99.0
230;Totaal mannen en vrouwen;Vmbo;Limburg (PV);2020/'21;5140;5030;98.0
231;Totaal mannen en vrouwen;Vmbo;Limburg (PV);2021/'22;4810;4710;98.0
232;Totaal mannen en vrouwen;Vmbo;Limburg (PV);2022/'23;4710;4450;94.0
233;Totaal mannen en vrouwen;Vmbo;Limburg (PV);2023/'24;4870;4620;95.0
234;Totaal mannen en vrouwen;Vmbo;Niet in te delen (PV);2011/'12;200;190;94.0
235;Totaal mannen en vrouwen;Vmbo;Niet in te delen (PV);2012/'13;190;170;92.0
236;Totaal mannen en vrouwen;Vmbo;Niet in te delen (PV);2013/'14;220;210;95.0
237;Totaal mannen en vrouwen;Vmbo;Niet in te delen (PV);2014/'15;200;190;
238;Totaal mannen en vrouwen;Vmbo;Niet in te delen (PV);2015/'16;200;190;93.0
239;Totaal mannen en vrouwen;Vmbo;Niet in te delen (PV);2016/'17;210;200;93.0
240;Totaal mannen en vrouwen;Vmbo;Niet in te delen (PV);2017/'18;200;190;
241;Totaal mannen en vrouwen;Vmbo;Niet in te delen (PV);2018/'19;200;190;
242;Totaal mannen en vrouwen;Vmbo;Niet in te delen (PV);2019/'20;200;200;
243;Totaal mannen en vrouwen;Vmbo;Niet in te delen (PV);2020/'21;210;200;98.0
244;Totaal mannen en vrouwen;Vmbo;Niet in te delen (PV);2021/'22;190;180;95.0
245;Totaal mannen en vrouwen;Vmbo;Niet in te delen (PV);2022/'23;210;190;91.0
246;Totaal mannen en vrouwen;Vmbo;Niet in te delen (PV);2023/'24;220;210;93.0
247;Totaal mannen en vrouwen;Vmbo;Amsterdam;2011/'12;2870;2510;88.0
248;Totaal mannen en vrouwen;Vmbo;Amsterdam;2012/'13;2990;2650;89.0
249;Totaal mannen en vrouwen;Vmbo;Amsterdam;2013/'14;3230;2960;92.0
250;Totaal mannen en vrouwen;Vmbo;Amsterdam;2014/'15;3190;2940;92.0
251;Totaal mannen en vrouwen;Vmbo;Amsterdam;2015/'16;3340;3130;94.0
252;Totaal mannen en vrouwen;Vmbo;Amsterdam;2016/'17;3300;3080;93.0
253;Totaal mannen en vrouwen;Vmbo;Amsterdam;2017/'18;3180;2880;91.0
254;Totaal mannen en vrouwen;Vmbo;Amsterdam;2018/'19;3140;2800;89.0
255;Totaal mannen en vrouwen;Vmbo;Amsterdam;2019/'20;3130;3100;99.0
256;Totaal mannen en vrouwen;Vmbo;Amsterdam;2020/'21;2960;2800;95.0
257;Totaal mannen en vrouwen;Vmbo;Amsterdam;2021/'22;2770;2620;95.0
258;Totaal mannen en vrouwen;Vmbo;Amsterdam;2022/'23;2600;2180;84.0
259;Totaal mannen en vrouwen;Vmbo;Amsterdam;2023/'24;2920;2520;86.0
260;Totaal mannen en vrouwen;Vmbo;'s-Gravenhage (gemeente);2011/'12;2330;2120;91.0
261;Totaal mannen en vrouwen;Vmbo;'s-Gravenhage (gemeente);2012/'13;2420;2220;92.0
262;Totaal mannen en vrouwen;Vmbo;'s-Gravenhage (gemeente);2013/'14;2560;2330;91.0
263;Totaal mannen en vrouwen;Vmbo;'s-Gravenhage (gemeente);2014/'15;2630;2460;94.0
264;Totaal mannen en vrouwen;Vmbo;'s-Gravenhage (gemeente);2015/'16;2740;2590;94.0
265;Totaal mannen en vrouwen;Vmbo;'s-Gravenhage (gemeente);2016/'17;2750;2540;92.0
266;Totaal mannen en vrouwen;Vmbo;'s-Gravenhage (gemeente);2017/'18;2630;2450;93.0
267;Totaal mannen en vrouwen;Vmbo;'s-Gravenhage (gemeente);2018/'19;2590;2430;94.0
268;Totaal mannen en vrouwen;Vmbo;'s-Gravenhage (gemeente);2019/'20;2560;2540;99.0
269;Totaal mannen en vrouwen;Vmbo;'s-Gravenhage (gemeente);2020/'21;2570;2480;97.0
270;Totaal mannen en vrouwen;Vmbo;'s-Gravenhage (gemeente);2021/'22;2420;2340;96.0
271;Totaal mannen en vrouwen;Vmbo;'s-Gravenhage (gemeente);2022/'23;2340;2100;90.0
272;Totaal mannen en vrouwen;Vmbo;'s-Gravenhage (gemeente);2023/'24;2530;2330;92.0
273;Totaal mannen en vrouwen;Vmbo;Rotterdam;2011/'12;3370;3020;90.0
274;Totaal mannen en vrouwen;Vmbo;Rotterdam;2012/'13;3670;3310;90.0
275;Totaal mannen en vrouwen;Vmbo;Rotterdam;2013/'14;3650;3340;91.0
276;Totaal mannen en vrouwen;Vmbo;Rotterdam;2014/'15;3800;3510;92.0
277;Totaal mannen en vrouwen;Vmbo;Rotterdam;2015/'16;3810;3510;92.0
278;Totaal mannen en vrouwen;Vmbo;Rotterdam;2016/'17;3680;3410;93.0
279;Totaal mannen en vrouwen;Vmbo;Rotterdam;2017/'18;3670;3370;92.0
280;Totaal mannen en vrouwen;Vmbo;Rotterdam;2018/'19;3510;3240;92.0
281;Totaal mannen en vrouwen;Vmbo;Rotterdam;2019/'20;3440;3420;99.0
282;Totaal mannen en vrouwen;Vmbo;Rotterdam;2020/'21;3400;3310;97.0
283;Totaal mannen en vrouwen;Vmbo;Rotterdam;2021/'22;3060;2960;97.0
284;Totaal mannen en vrouwen;Vmbo;Rotterdam;2022/'23;3070;2790;91.0
285;Totaal mannen en vrouwen;Vmbo;Rotterdam;2023/'24;3200;2980;93.0
286;Totaal mannen en vrouwen;Vmbo;Utrecht (gemeente);2011/'12;1070;950;89.0
287;Totaal mannen en vrouwen;Vmbo;Utrecht (gemeente);2012/'13;1120;980;88.0
288;Totaal mannen en vrouwen;Vmbo;Utrecht (gemeente);2013/'14;1230;1120;91.0
289;Totaal mannen en vrouwen;Vmbo;Utrecht (gemeente);2014/'15;1320;1230;93.0
290;Totaal mannen en vrouwen;Vmbo;Utrecht (gemeente);2015/'16;1420;1350;95.0
