ID;Sex;Age;Periods;TotalFatalAccidents_1;TotalTransportAccidents_2;Pedestrian_3;Bicycle_4;MopedsAndLightMopeds_5;MotorisedDisabledVehicle_6;Motorcycle_7;PassengerCar_8;DeliveryVanLorry_9;OtherUnknown_10;AccidentalFall_11;AccidentalDrowning_12;TotalAccidentalPoisoningIncIntent_13;Medicine_14;IllegalDrugsNarcotics_15;Alcohol_16;OtherUnknown_17;TotalOtherFatalAccidents_18;MechanicalEffect_19;SmokeFireAndFlames_20;Suffocation_21;OtherIncludingSequelae_22;TotalFatalAccidents_23;TransportAccidents_24;AccidentalFall_25;AccidentalDrowning_26;AccidentalPoisoningIncIntentUnknown_27;OtherFatalAccidents_28
32;Total men and women;younger than 15 years;2006;82;39;7;17;0;0;0;11;0;4;4;15;1;0;0;0;1;23;2;7;6;8;2.8;1.3;0.1;0.5;0.0;0.8
33;Total men and women;younger than 15 years;2007;75;35;7;15;3;0;0;5;1;4;2;11;2;2;0;0;0;25;7;7;9;2;2.5;1.2;0.1;0.4;0.1;0.8
34;Total men and women;younger than 15 years;2008;67;26;3;13;0;1;0;6;1;2;6;14;0;0;0;0;0;21;1;7;8;5;2.3;0.9;0.2;0.5;0.0;0.7
35;Total men and women;younger than 15 years;2009;70;26;7;16;0;0;0;1;0;2;2;14;1;1;0;0;0;27;9;5;11;2;2.4;0.9;0.1;0.5;0.0;0.9
36;Total men and women;younger than 15 years;2010;56;27;4;9;0;0;0;7;0;7;5;12;0;0;0;0;0;12;1;0;9;2;1.9;0.9;0.2;0.4;0.0;0.4
37;Total men and women;younger than 15 years;2011;45;25;4;10;1;0;0;4;0;6;0;4;1;0;0;0;1;15;5;0;10;0;1.6;0.9;0.0;0.1;0.0;0.5
38;Total men and women;younger than 15 years;2012;59;27;5;13;0;0;0;6;1;2;4;11;3;1;0;0;2;14;4;3;6;1;2.0;0.9;0.1;0.4;0.1;0.5
39;Total men and women;younger than 15 years;2013;39;12;4;5;0;0;0;0;0;3;1;9;0;0;0;0;0;17;2;2;6;7;1.4;0.4;0.0;0.3;0.0;0.6
40;Total men and women;younger than 15 years;2014;50;20;3;13;0;0;0;3;0;1;2;11;1;1;0;0;0;16;4;0;9;3;1.8;0.7;0.1;0.4;0.0;0.6
41;Total men and women;younger than 15 years;2015;45;21;3;9;2;0;0;3;0;4;4;9;0;0;0;0;0;11;2;0;6;3;1.6;0.7;0.1;0.3;0.0;0.4
42;Total men and women;younger than 15 years;2016;43;19;2;6;0;0;0;4;0;7;5;10;0;0;0;0;0;9;1;1;5;2;1.5;0.7;0.2;0.4;0.0;0.3
43;Total men and women;younger than 15 years;2017;47;18;7;3;1;0;0;4;0;3;2;11;1;0;0;0;1;15;1;2;8;4;1.7;0.6;0.1;0.4;0.0;0.5
44;Total men and women;15 to 20 years;1996;150;135;11;25;46;0;5;38;1;9;5;3;2;1;1;0;0;5;3;0;1;1;16.2;14.6;0.5;0.3;0.2;0.5
45;Total men and women;15 to 20 years;1997;135;114;5;26;38;0;4;37;1;3;6;2;3;1;0;1;1;10;4;2;2;2;14.6;12.3;0.6;0.2;0.3;1.1
46;Total men and women;15 to 20 years;1998;137;126;8;18;48;0;2;42;2;6;4;1;2;0;2;0;0;4;2;0;1;1;14.8;13.6;0.4;0.1;0.2;0.4
47;Total men and women;15 to 20 years;1999;135;117;4;22;35;0;2;50;1;3;2;5;3;1;2;0;0;8;5;0;1;2;14.6;12.6;0.2;0.5;0.3;0.9
48;Total men and women;15 to 20 years;2000;149;136;4;19;42;0;5;51;8;7;0;0;3;1;2;0;0;10;6;1;2;1;16.0;14.6;0.0;0.0;0.3;1.1
49;Total men and women;15 to 20 years;2001;118;97;9;15;25;0;3;42;1;2;0;2;3;1;2;0;0;16;6;7;2;1;12.6;10.4;0.0;0.2;0.3;1.7
50;Total men and women;15 to 20 years;2002;150;128;4;18;35;0;2;63;3;3;1;7;2;0;2;0;0;12;2;3;2;5;15.8;13.5;0.1;0.7;0.2;1.3
51;Total men and women;15 to 20 years;2003;121;111;4;12;29;0;2;56;6;2;0;4;3;2;0;0;1;3;0;1;1;1;12.5;11.5;0.0;0.4;0.3;0.3
52;Total men and women;15 to 20 years;2004;105;85;3;11;21;0;3;43;2;2;3;4;3;1;1;0;1;10;1;0;0;9;10.8;8.7;0.3;0.4;0.3;1.0
53;Total men and women;15 to 20 years;2005;81;68;3;12;22;0;1;28;0;2;2;2;3;1;0;0;2;6;2;1;0;3;8.2;6.9;0.2;0.2;0.3;0.6
54;Total men and women;15 to 20 years;2006;75;63;2;16;15;0;1;23;2;4;1;2;2;1;1;0;0;7;0;2;1;4;7.5;6.3;0.1;0.2;0.2;0.7
55;Total men and women;15 to 20 years;2007;89;79;5;15;25;0;2;28;3;1;0;4;1;0;0;0;1;5;2;0;2;1;8.9;7.9;0.0;0.4;0.1;0.5
56;Total men and women;15 to 20 years;2008;78;64;4;12;18;0;2;26;0;2;2;3;3;0;1;1;1;6;1;0;1;4;7.7;6.4;0.2;0.3;0.3;0.6
57;Total men and women;15 to 20 years;2009;82;71;4;10;14;0;1;35;2;5;2;1;1;0;1;0;0;7;4;1;1;1;8.1;7.0;0.2;0.1;0.1;0.7
58;Total men and women;15 to 20 years;2010;58;47;1;9;11;0;2;19;3;2;0;7;3;1;1;0;1;1;0;1;0;0;5.7;4.6;0.0;0.7;0.3;0.1
59;Total men and women;15 to 20 years;2011;58;48;4;11;12;0;0;16;0;5;2;1;3;1;1;1;0;4;1;0;2;1;5.8;4.8;0.2;0.1;0.3;0.4
60;Total men and women;15 to 20 years;2012;45;31;4;8;4;0;0;13;0;2;0;4;3;0;1;0;2;7;3;2;1;1;4.5;3.1;0.0;0.4;0.3;0.7
61;Total men and women;15 to 20 years;2013;59;41;1;8;7;0;2;21;1;1;3;8;3;0;3;0;0;4;2;0;0;2;5.9;4.1;0.3;0.8;0.3;0.4
62;Total men and women;15 to 20 years;2014;54;44;3;8;10;0;1;16;0;6;0;4;2;2;0;0;0;4;2;1;0;1;5.4;4.4;0.0;0.4;0.2;0.4
63;Total men and women;15 to 20 years;2015;52;44;1;7;5;0;3;21;3;4;2;0;2;2;0;0;0;4;3;0;0;1;5.1;4.4;0.2;0.0;0.2;0.4
64;Total men and women;15 to 20 years;2016;43;32;3;5;7;0;1;15;0;1;3;3;3;1;2;0;0;2;2;0;0;0;4.2;3.1;0.3;0.3;0.3;0.2
65;Total men and women;15 to 20 years;2017;49;34;3;4;12;0;0;11;1;3;1;6;2;0;1;0;1;6;2;1;1;2;4.7;3.3;0.1;0.6;0.2;0.6
66;Total men and women;20 to 30 years;1996;396;320;16;9;14;0;33;199;8;41;12;4;35;5;24;0;6;25;10;7;2;6;16.9;13.6;0.5;0.2;1.5;1.1
67;Total men and women;20 to 30 years;1997;349;272;6;14;6;0;36;186;9;15;12;5;26;4;18;0;4;34;11;10;2;11;15.3;11.9;0.5;0.2;1.1;1.5
68;Total men and women;20 to 30 years;1998;302;234;12;9;10;0;27;162;3;11;13;8;23;3;18;0;2;24;7;8;3;6;13.5;10.5;0.6;0.4;1.0;1.1
69;Total men and women;20 to 30 years;1999;315;248;12;10;9;1;34;159;12;11;15;7;20;1;15;1;3;25;13;2;2;8;14.5;11.4;0.7;0.3;0.9;1.2
70;Total men and women;20 to 30 years;2000;300;235;14;10;11;0;26;157;13;4;14;4;27;0;26;0;1;20;8;3;3;6;14.2;11.2;0.7;0.2;1.3;0.9
71;Total men and women;20 to 30 years;2001;277;200;6;13;10;0;22;126;18;5;21;1;25;2;20;0;3;30;10;6;5;9;13.4;9.7;1.0;0.0;1.2;1.5
72;Total men and women;20 to 30 years;2002;266;222;5;11;7;0;28;143;15;13;9;4;17;2;12;1;2;14;6;0;2;6;13.1;11.0;0.4;0.2;0.8;0.7
73;Total men and women;20 to 30 years;2003;258;208;6;8;10;0;32;135;10;7;8;4;20;6;12;1;1;18;7;1;2;8;13.0;10.4;0.4;0.2;1.0;0.9
74;Total men and women;20 to 30 years;2004;230;166;5;13;6;1;30;105;3;3;15;6;25;3;19;1;2;18;4;2;1;11;11.7;8.4;0.8;0.3;1.3;0.9
75;Total men and women;20 to 30 years;2005;188;135;5;12;6;0;11;91;4;6;7;4;20;2;16;1;1;22;6;3;5;8;9.6;6.9;0.4;0.2;1.0;1.1
76;Total men and women;20 to 30 years;2006;171;120;7;3;13;0;14;76;5;2;8;2;19;1;14;3;1;22;3;3;1;15;8.7;6.1;0.4;0.1;1.0;1.1
77;Total men and women;20 to 30 years;2007;188;144;9;12;9;0;21;80;10;3;16;8;13;1;11;0;1;7;3;0;2;2;9.6;7.3;0.8;0.4;0.7;0.4
78;Total men and women;20 to 30 years;2008;162;120;2;6;6;0;14;82;7;3;3;1;19;3;13;2;1;19;5;6;0;8;8.2;6.1;0.2;0.1;1.0;1.0
79;Total men and women;20 to 30 years;2009;181;120;5;7;6;0;21;72;5;4;12;7;26;1;22;1;2;16;5;1;5;5;9.0;6.0;0.6;0.3;1.3;0.8
80;Total men and women;20 to 30 years;2010;159;112;7;7;5;0;15;60;5;13;8;7;19;1;14;0;4;13;4;2;1;6;7.9;5.5;0.4;0.3;0.9;0.6
81;Total men and women;20 to 30 years;2011;154;101;6;9;4;0;19;56;2;5;10;10;16;2;14;0;0;17;8;0;3;6;7.5;4.9;0.5;0.5;0.8;0.8
82;Total men and women;20 to 30 years;2012;153;108;8;4;5;0;10;70;4;7;9;9;21;3;16;2;0;6;2;0;1;3;7.4;5.2;0.4;0.4;1.0;0.3
83;Total men and women;20 to 30 years;2013;152;97;2;9;11;0;11;55;7;2;9;5;25;3;21;1;0;16;3;4;1;8;7.3;4.6;0.4;0.2;1.2;0.8
84;Total men and women;20 to 30 years;2014;122;77;4;5;4;0;16;39;4;5;7;3;22;10;6;1;5;13;8;0;2;3;5.8;3.7;0.3;0.1;1.0;0.6
85;Total men and women;20 to 30 years;2015;127;79;5;7;8;0;13;37;4;5;5;6;23;8;12;0;3;14;5;2;2;5;6.0;3.7;0.2;0.3;1.1;0.7
86;Total men and women;20 to 30 years;2016;151;93;1;10;7;0;12;52;5;6;7;5;34;14;18;1;1;12;6;0;5;1;7.0;4.3;0.3;0.2;1.6;0.6
87;Total men and women;20 to 30 years;2017;126;68;3;7;2;0;9;39;7;1;6;6;29;0;25;2;2;17;5;3;1;8;5.8;3.1;0.3;0.3;1.3;0.8
88;Total men and women;30 to 40 years;1996;254;158;6;3;2;0;27;98;5;17;19;9;37;4;23;2;8;31;15;6;5;5;9.9;6.2;0.7;0.4;1.4;1.2
89;Total men and women;30 to 40 years;1997;268;160;7;13;8;0;30;86;7;9;20;7;44;7;33;2;2;37;20;2;2;13;10.4;6.2;0.8;0.3;1.7;1.4
90;Total men and women;30 to 40 years;1998;254;149;10;10;6;0;20;93;4;6;24;12;35;7;26;0;2;34;15;4;6;9;9.8;5.7;0.9;0.5;1.3;1.3
91;Total men and women;30 to 40 years;1999;257;145;6;10;11;0;26;77;8;7;17;13;46;5;36;3;2;36;15;5;5;11;9.8;5.5;0.6;0.5;1.8;1.4
92;Total men and women;30 to 40 years;2000;255;147;11;18;4;0;21;75;14;4;13;10;43;7;30;1;5;42;19;6;4;13;9.7;5.6;0.5;0.4;1.6;1.6
93;Total men and women;30 to 40 years;2001;266;162;5;17;5;0;36;79;12;8;23;7;41;2;37;0;2;33;13;5;5;10;10.1;6.1;0.9;0.3;1.6;1.2
94;Total men and women;30 to 40 years;2002;246;143;7;12;9;0;33;68;5;9;17;7;41;10;27;2;2;38;7;8;7;16;9.3;5.4;0.6;0.3;1.6;1.4
95;Total men and women;30 to 40 years;2003;274;158;7;12;13;0;28;77;12;9;26;9;41;1;32;7;1;40;10;9;3;18;10.6;6.1;1.0;0.3;1.6;1.5
96;Total men and women;30 to 40 years;2004;210;102;6;8;1;0;21;55;5;6;18;4;49;6;41;1;1;37;8;5;3;21;8.3;4.0;0.7;0.2;1.9;1.5
97;Total men and women;30 to 40 years;2005;221;114;6;9;5;0;29;55;5;5;21;7;42;4;33;3;2;37;14;3;6;14;8.9;4.6;0.9;0.3;1.7;1.5
98;Total men and women;30 to 40 years;2006;184;92;3;7;7;0;14;51;3;7;23;3;35;5;28;2;0;31;8;2;6;15;7.7;3.8;1.0;0.1;1.5;1.3
99;Total men and women;30 to 40 years;2007;166;89;9;4;3;0;14;46;10;3;14;3;37;6;30;1;0;23;7;3;5;8;7.1;3.8;0.6;0.1;1.6;1.0
100;Total men and women;30 to 40 years;2008;186;85;3;7;4;0;13;51;5;2;25;8;47;9;33;3;2;21;6;3;3;9;8.2;3.7;1.1;0.4;2.1;0.9
101;Total men and women;30 to 40 years;2009;151;79;6;7;2;0;20;36;5;3;10;4;46;3;39;0;4;12;3;4;1;4;6.8;3.6;0.5;0.2;2.1;0.5
102;Total men and women;30 to 40 years;2010;135;68;6;5;4;0;10;34;1;8;13;6;28;3;22;3;0;20;6;0;5;9;6.3;3.2;0.6;0.3;1.3;0.9
103;Total men and women;30 to 40 years;2011;136;64;6;2;3;0;8;31;7;7;14;5;32;4;24;2;2;21;10;1;3;7;6.5;3.0;0.7;0.2;1.5;1.0
104;Total men and women;30 to 40 years;2012;128;64;5;4;4;1;13;26;4;7;14;4;27;4;19;1;3;19;6;3;5;5;6.2;3.1;0.7;0.2;1.3;0.9
105;Total men and women;30 to 40 years;2013;94;36;5;5;2;0;4;18;1;1;14;4;25;4;20;0;1;15;5;2;4;4;4.6;1.8;0.7;0.2;1.2;0.7
106;Total men and women;30 to 40 years;2014;106;44;1;5;2;0;9;23;2;2;15;6;26;7;18;0;1;15;2;1;4;8;5.3;2.2;0.7;0.3;1.3;0.7
107;Total men and women;30 to 40 years;2015;128;53;5;3;5;0;7;27;2;4;11;10;47;10;30;2;5;7;3;0;1;3;6.3;2.6;0.5;0.5;2.3;0.3
108;Total men and women;30 to 40 years;2016;115;44;2;3;4;0;7;22;5;1;5;7;44;10;32;2;0;15;3;6;0;6;5.6;2.2;0.2;0.3;2.2;0.7
109;Total men and women;30 to 40 years;2017;133;63;1;10;1;0;12;28;8;3;6;9;38;7;29;1;1;17;6;1;1;9;6.4;3.1;0.3;0.4;1.8;0.8
110;Total men and women;40 to 50 years;1996;240;142;10;13;3;0;13;77;5;21;42;9;21;3;11;4;3;26;10;8;3;5;10.2;6.1;1.8;0.4;0.9;1.1
111;Total men and women;40 to 50 years;1997;245;137;9;21;4;1;13;68;9;12;45;11;26;5;17;0;4;26;6;9;5;6;10.5;5.9;1.9;0.5;1.1;1.1
112;Total men and women;40 to 50 years;1998;235;116;10;10;2;0;20;62;6;6;53;13;24;7;13;3;1;29;8;8;6;7;10.1;5.0;2.3;0.6;1.0;1.2
113;Total men and women;40 to 50 years;1999;208;110;7;15;4;0;8;66;3;7;44;7;22;1;16;2;3;25;6;11;2;6;8.9;4.7;1.9;0.3;0.9;1.1
114;Total men and women;40 to 50 years;2000;244;120;10;15;8;0;22;49;5;11;43;15;30;5;20;2;3;36;17;8;2;9;10.3;5.1;1.8;0.6;1.3;1.5
115;Total men and women;40 to 50 years;2001;256;112;10;19;5;0;11;52;7;8;56;14;46;5;33;4;4;28;8;3;5;12;10.7;4.7;2.3;0.6;1.9;1.2
116;Total men and women;40 to 50 years;2002;258;125;8;16;5;0;22;57;7;10;41;17;34;10;12;6;6;41;5;9;7;20;10.6;5.1;1.7;0.7;1.4;1.7
117;Total men and women;40 to 50 years;2003;259;118;6;12;4;0;19;54;13;10;51;6;39;8;23;6;2;45;12;7;4;22;10.5;4.8;2.1;0.2;1.6;1.8
118;Total men and women;40 to 50 years;2004;255;103;10;13;6;1;19;44;5;5;45;12;42;10;26;4;2;53;13;7;6;27;10.2;4.1;1.8;0.5;1.7;2.1
119;Total men and women;40 to 50 years;2005;210;90;4;14;3;1;17;35;6;10;41;11;34;8;22;2;2;34;7;7;9;11;8.3;3.6;1.6;0.4;1.3;1.3
120;Total men and women;40 to 50 years;2006;222;108;7;21;5;3;15;42;6;9;34;9;28;4;19;3;2;43;12;2;11;18;8.7;4.3;1.3;0.4;1.1;1.7
121;Total men and women;40 to 50 years;2007;203;83;4;17;3;2;17;32;5;3;42;11;34;4;22;7;1;33;10;3;6;14;8.0;3.3;1.6;0.4;1.3;1.3
122;Total men and women;40 to 50 years;2008;213;85;8;14;4;1;18;26;8;6;34;8;40;8;25;3;4;46;11;7;3;25;8.3;3.3;1.3;0.3;1.6;1.8
123;Total men and women;40 to 50 years;2009;206;73;7;11;6;0;9;30;3;7;36;14;44;8;27;6;3;39;9;3;9;18;8.0;2.8;1.4;0.5;1.7;1.5
124;Total men and women;40 to 50 years;2010;193;82;5;9;4;0;14;29;3;18;41;5;28;3;18;5;2;37;10;5;5;17;7.5;3.2;1.6;0.2;1.1;1.4
125;Total men and women;40 to 50 years;2011;167;77;4;14;7;0;12;31;3;6;20;11;34;4;25;4;1;25;11;1;5;8;6.4;3.0;0.8;0.4;1.3;1.0
126;Total men and women;40 to 50 years;2012;184;78;4;17;5;0;15;31;3;3;38;3;40;2;36;1;1;25;6;2;5;12;7.1;3.0;1.5;0.1;1.6;1.0
127;Total men and women;40 to 50 years;2013;172;56;3;12;4;0;4;23;4;6;36;15;32;5;23;2;2;33;8;6;6;13;6.8;2.2;1.4;0.6;1.3;1.3
128;Total men and women;40 to 50 years;2014;138;53;3;13;7;0;13;11;2;4;18;8;33;9;16;8;0;26;8;4;2;12;5.5;2.1;0.7;0.3;1.3;1.0
129;Total men and women;40 to 50 years;2015;163;52;4;7;3;1;14;19;2;2;31;4;39;6;29;2;2;37;12;8;3;14;6.7;2.1;1.3;0.2;1.6;1.5
130;Total men and women;40 to 50 years;2016;172;56;2;12;4;1;8;20;3;6;39;11;43;10;28;3;2;23;4;3;6;10;7.2;2.4;1.6;0.5;1.8;1.0
131;Total men and women;40 to 50 years;2017;197;60;4;13;6;1;10;21;1;4;22;7;79;7;61;6;5;29;9;4;6;10;8.4;2.6;0.9;0.3;3.4;1.2
132;Total men and women;50 to 60 years;1996;215;121;9;21;6;0;12;49;4;20;46;6;6;2;0;1;3;36;13;6;3;14;12.5;7.0;2.7;0.3;0.3;2.1
133;Total men and women;50 to 60 years;1997;223;115;19;24;4;1;7;50;2;8;59;11;6;1;3;1;1;32;14;7;4;7;12.2;6.3;3.2;0.6;0.3;1.8
134;Total men and women;50 to 60 years;1998;216;102;17;26;5;0;3;43;1;7;55;9;15;7;6;2;0;35;11;9;1;14;11.3;5.3;2.9;0.5;0.8;1.8
135;Total men and women;50 to 60 years;1999;237;114;9;27;8;0;6;45;7;12;70;9;10;2;4;1;3;34;7;8;6;13;12.0;5.8;3.5;0.5;0.5;1.7
136;Total men and women;50 to 60 years;2000;263;121;8;22;7;0;13;55;8;8;80;19;14;4;4;5;1;29;11;5;4;9;13.0;6.0;3.9;0.9;0.7;1.4
137;Total men and women;50 to 60 years;2001;257;105;10;28;6;1;5;40;8;7;93;13;13;4;6;1;2;33;13;5;5;10;12.3;5.0;4.5;0.6;0.6;1.6
138;Total men and women;50 to 60 years;2002;239;90;7;14;5;1;7;40;10;6;67;15;24;6;8;7;3;43;11;12;5;15;11.2;4.2;3.1;0.7;1.1;2.0
139;Total men and women;50 to 60 years;2003;262;98;7;25;3;0;10;39;9;5;83;19;24;8;8;6;2;38;12;6;9;11;12.0;4.5;3.8;0.9;1.1;1.7
140;Total men and women;50 to 60 years;2004;264;97;7;21;4;1;12;42;2;8;73;19;31;11;7;11;2;44;6;6;7;25;11.9;4.4;3.3;0.9;1.4;2.0
141;Total men and women;50 to 60 years;2005;268;102;14;21;7;1;11;36;5;7;91;14;17;3;7;5;2;44;12;9;8;15;11.9;4.5;4.0;0.6;0.8;2.0
142;Total men and women;50 to 60 years;2006;228;79;8;22;3;1;7;26;8;4;65;19;14;3;9;2;0;51;11;8;15;17;10.1;3.5;2.9;0.8;0.6;2.3
143;Total men and women;50 to 60 years;2007;252;92;13;16;6;0;11;36;3;7;83;9;13;3;7;2;1;55;12;5;13;25;11.3;4.1;3.7;0.4;0.6;2.5
144;Total men and women;50 to 60 years;2008;244;92;6;19;5;4;14;27;10;7;73;11;27;13;8;6;0;41;4;9;10;18;10.9;4.1;3.3;0.5;1.2;1.8
145;Total men and women;50 to 60 years;2009;236;71;4;19;5;1;7;23;4;8;87;13;23;5;12;4;2;42;7;2;6;27;10.5;3.2;3.9;0.6;1.0;1.9
146;Total men and women;50 to 60 years;2010;242;100;11;16;1;4;14;17;4;33;62;12;21;6;9;4;2;47;8;8;13;18;10.6;4.4;2.7;0.5;0.9;2.1
147;Total men and women;50 to 60 years;2011;222;75;6;19;5;2;11;20;3;9;82;11;17;5;8;1;3;37;6;4;6;21;9.6;3.3;3.6;0.5;0.7;1.6
148;Total men and women;50 to 60 years;2012;244;81;6;12;11;1;11;26;2;12;76;20;17;4;8;2;3;50;9;4;7;30;10.4;3.5;3.3;0.9;0.7;2.1
149;Total men and women;50 to 60 years;2013;230;72;4;20;9;2;7;15;6;9;74;12;24;4;15;4;1;48;15;3;7;23;9.7;3.0;3.1;0.5;1.0;2.0
150;Total men and women;50 to 60 years;2014;202;55;3;15;5;0;6;17;3;6;71;8;28;8;12;6;2;40;16;3;6;15;8.4;2.3;3.0;0.3;1.2;1.7
151;Total men and women;50 to 60 years;2015;226;71;11;14;7;3;5;22;4;5;85;13;22;6;13;3;0;35;9;4;4;18;9.3;2.9;3.5;0.5;0.9;1.4
