ID;Bestedingscategorieen;Perioden;JaarmutatieCPI_1;Wegingscoefficient_2;BijdrageAanDeJaarmutatieCPI_3;ImpactOpDeJaarmutatieCPI_4
61;000000 Alle bestedingen;2020 oktober;1.2;100000;;
62;000000 Alle bestedingen;2020 november;0.8;100000;;
63;000000 Alle bestedingen;2020 december;1.0;100000;;
64;000000 Alle bestedingen;2020;1.3;100000;;
65;000000 Alle bestedingen;2021 januari;1.6;100000;;
66;000000 Alle bestedingen;2021 februari;1.8;100000;;
67;000000 Alle bestedingen;2021 maart;1.9;100000;;
68;000000 Alle bestedingen;2021 april;1.9;100000;;
69;000000 Alle bestedingen;2021 mei;2.1;100000;;
70;000000 Alle bestedingen;2021 juni;2.0;100000;;
71;000000 Alle bestedingen;2021 juli;1.4;100000;;
72;000000 Alle bestedingen;2021 augustus;2.4;100000;;
73;000000 Alle bestedingen;2021 september;2.7;100000;;
74;000000 Alle bestedingen;2021 oktober;3.4;100000;;
75;000000 Alle bestedingen;2021 november;5.2;100000;;
76;000000 Alle bestedingen;2021 december;5.7;100000;;
77;000000 Alle bestedingen;2021;2.7;100000;;
78;000000 Alle bestedingen;2022 januari;6.4;100000;;
79;000000 Alle bestedingen;2022 februari;6.2;100000;;
80;000000 Alle bestedingen;2022 maart;9.7;100000;;
81;000000 Alle bestedingen;2022 april;9.6;100000;;
82;000000 Alle bestedingen;2022 mei;8.8;100000;;
83;000000 Alle bestedingen;2022 juni;8.6;100000;;
84;000000 Alle bestedingen;2022 juli;10.3;100000;;
85;000000 Alle bestedingen;2022 augustus;12.0;100000;;
86;000000 Alle bestedingen;2022 september;14.5;100000;;
87;000000 Alle bestedingen;2022 oktober;14.3;100000;;
88;000000 Alle bestedingen;2022 november;9.9;100000;;
89;000000 Alle bestedingen;2022 december;9.6;100000;;
90;000000 Alle bestedingen;2022;10.0;100000;;
91;000000 Alle bestedingen;2023 januari;7.6;100000;;
92;000000 Alle bestedingen;2023 februari;8.0;100000;;
93;000000 Alle bestedingen;2023 maart;4.4;100000;;
94;000000 Alle bestedingen;2023 april;5.2;100000;;
95;000000 Alle bestedingen;2023 mei;6.1;100000;;
96;000000 Alle bestedingen;2023 juni;5.7;100000;;
97;000000 Alle bestedingen;2023 juli;4.6;100000;;
98;000000 Alle bestedingen;2023 augustus;3.0;100000;;
99;000000 Alle bestedingen;2023 september;0.2;100000;;
100;000000 Alle bestedingen;2023 oktober;-0.4;100000;;
101;000000 Alle bestedingen;2023 november;1.6;100000;;
102;000000 Alle bestedingen;2023 december;1.2;100000;;
103;000000 Alle bestedingen;2023;3.8;100000;;
104;000000 Alle bestedingen;2024 januari;3.2;100000;;
105;000000 Alle bestedingen;2024 februari;2.8;100000;;
106;000000 Alle bestedingen;2024 maart;3.1;100000;;
107;000000 Alle bestedingen;2024 april;2.7;100000;;
108;000000 Alle bestedingen;2024 mei;2.7;100000;;
109;000000 Alle bestedingen;2024 juni;3.2;100000;;
110;000000 Alle bestedingen;2024 juli;3.7;100000;;
111;000000 Alle bestedingen;2024 augustus;3.6;100000;;
112;000000 Alle bestedingen;2024 september;3.5;100000;;
113;000000 Alle bestedingen;2024 oktober;3.5;100000;;
114;000000 Alle bestedingen;2024 november;4.0;100000;;
115;000000 Alle bestedingen;2024 december;4.1;100000;;
116;000000 Alle bestedingen;2024;3.3;100000;;
117;000000 Alle bestedingen;2025 januari;3.3;100000;;
118;000000 Alle bestedingen;2025 februari;3.8;100000;;
119;000000 Alle bestedingen;2025 maart;3.7;100000;;
120;010000 Voedingsmidd. en alc.vrije drank;2016 januari;1.3;11696;0.15;0.09
121;010000 Voedingsmidd. en alc.vrije drank;2016 februari;1.1;11696;0.13;0.07
122;010000 Voedingsmidd. en alc.vrije drank;2016 maart;1.5;11696;0.18;0.12
123;010000 Voedingsmidd. en alc.vrije drank;2016 april;1.2;11696;0.14;0.16
124;010000 Voedingsmidd. en alc.vrije drank;2016 mei;1.3;11696;0.15;0.17
125;010000 Voedingsmidd. en alc.vrije drank;2016 juni;1.6;11696;0.18;0.2
126;010000 Voedingsmidd. en alc.vrije drank;2016 juli;0.7;11696;0.08;0.12
127;010000 Voedingsmidd. en alc.vrije drank;2016 augustus;0.2;11696;0.02;0.0
128;010000 Voedingsmidd. en alc.vrije drank;2016 september;0.1;11696;0.01;0.0
129;010000 Voedingsmidd. en alc.vrije drank;2016 oktober;0.4;11696;0.05;0.0
130;010000 Voedingsmidd. en alc.vrije drank;2016 november;0.8;11696;0.09;0.02
131;010000 Voedingsmidd. en alc.vrije drank;2016 december;1.3;11696;0.15;0.04
132;010000 Voedingsmidd. en alc.vrije drank;2016;1.0;11696;0.11;0.08
133;010000 Voedingsmidd. en alc.vrije drank;2017 januari;1.5;11780;0.18;-0.02
134;010000 Voedingsmidd. en alc.vrije drank;2017 februari;2.1;11780;0.25;0.04
135;010000 Voedingsmidd. en alc.vrije drank;2017 maart;1.9;11780;0.22;0.1
136;010000 Voedingsmidd. en alc.vrije drank;2017 april;1.8;11780;0.21;0.03
137;010000 Voedingsmidd. en alc.vrije drank;2017 mei;2.4;11780;0.29;0.18
138;010000 Voedingsmidd. en alc.vrije drank;2017 juni;2.7;11780;0.32;0.21
139;010000 Voedingsmidd. en alc.vrije drank;2017 juli;3.2;11780;0.38;0.25
140;010000 Voedingsmidd. en alc.vrije drank;2017 augustus;3.6;11780;0.41;0.29
141;010000 Voedingsmidd. en alc.vrije drank;2017 september;3.7;11780;0.43;0.29
142;010000 Voedingsmidd. en alc.vrije drank;2017 oktober;3.4;11780;0.4;0.28
143;010000 Voedingsmidd. en alc.vrije drank;2017 november;3.1;11780;0.37;0.22
144;010000 Voedingsmidd. en alc.vrije drank;2017 december;2.5;11780;0.29;0.17
145;010000 Voedingsmidd. en alc.vrije drank;2017;2.7;11780;0.31;0.17
146;010000 Voedingsmidd. en alc.vrije drank;2018 januari;2.2;11753;0.26;0.1
147;010000 Voedingsmidd. en alc.vrije drank;2018 februari;1.7;11753;0.2;0.07
148;010000 Voedingsmidd. en alc.vrije drank;2018 maart;0.7;11753;0.08;-0.05
149;010000 Voedingsmidd. en alc.vrije drank;2018 april;1.0;11753;0.11;-0.02
150;010000 Voedingsmidd. en alc.vrije drank;2018 mei;0.6;11753;0.07;-0.15
151;010000 Voedingsmidd. en alc.vrije drank;2018 juni;-0.1;11753;-0.01;-0.24
152;010000 Voedingsmidd. en alc.vrije drank;2018 juli;0.1;11753;0.01;-0.27
153;010000 Voedingsmidd. en alc.vrije drank;2018 augustus;0.4;11753;0.05;-0.22
154;010000 Voedingsmidd. en alc.vrije drank;2018 september;0.5;11753;0.06;-0.18
155;010000 Voedingsmidd. en alc.vrije drank;2018 oktober;0.5;11753;0.05;-0.22
156;010000 Voedingsmidd. en alc.vrije drank;2018 november;0.9;11753;0.11;-0.15
157;010000 Voedingsmidd. en alc.vrije drank;2018 december;1.0;11753;0.12;-0.12
158;010000 Voedingsmidd. en alc.vrije drank;2018;0.8;11753;0.09;-0.12
159;010000 Voedingsmidd. en alc.vrije drank;2019 januari;3.0;11466;0.35;0.11
160;010000 Voedingsmidd. en alc.vrije drank;2019 februari;2.9;11466;0.34;0.04
161;010000 Voedingsmidd. en alc.vrije drank;2019 maart;3.6;11466;0.41;0.1
162;010000 Voedingsmidd. en alc.vrije drank;2019 april;3.6;11466;0.41;0.09
163;010000 Voedingsmidd. en alc.vrije drank;2019 mei;3.5;11466;0.4;0.14
164;010000 Voedingsmidd. en alc.vrije drank;2019 juni;4.5;11466;0.51;0.24
165;010000 Voedingsmidd. en alc.vrije drank;2019 juli;4.9;11466;0.55;0.3
166;010000 Voedingsmidd. en alc.vrije drank;2019 augustus;4.8;11466;0.55;0.26
167;010000 Voedingsmidd. en alc.vrije drank;2019 september;4.8;11466;0.55;0.28
168;010000 Voedingsmidd. en alc.vrije drank;2019 oktober;4.9;11466;0.55;0.28
169;010000 Voedingsmidd. en alc.vrije drank;2019 november;4.3;11466;0.49;0.22
170;010000 Voedingsmidd. en alc.vrije drank;2019 december;3.7;11466;0.43;0.13
171;010000 Voedingsmidd. en alc.vrije drank;2019;4.0;11466;0.46;0.18
172;010000 Voedingsmidd. en alc.vrije drank;2020 januari;1.8;11439;0.21;0.0
173;010000 Voedingsmidd. en alc.vrije drank;2020 februari;1.9;11439;0.22;0.04
174;010000 Voedingsmidd. en alc.vrije drank;2020 maart;3.2;11439;0.36;0.23
175;010000 Voedingsmidd. en alc.vrije drank;2020 april;3.5;11439;0.4;0.29
176;010000 Voedingsmidd. en alc.vrije drank;2020 mei;3.2;11439;0.36;0.26
177;010000 Voedingsmidd. en alc.vrije drank;2020 juni;2.7;11439;0.31;0.14
178;010000 Voedingsmidd. en alc.vrije drank;2020 juli;1.9;11439;0.22;0.03
179;010000 Voedingsmidd. en alc.vrije drank;2020 augustus;0.9;11439;0.11;0.03
180;010000 Voedingsmidd. en alc.vrije drank;2020 september;1.2;11439;0.14;0.01
181;010000 Voedingsmidd. en alc.vrije drank;2020 oktober;1.1;11439;0.12;-0.02
182;010000 Voedingsmidd. en alc.vrije drank;2020 november;0.8;11439;0.09;-0.01
183;010000 Voedingsmidd. en alc.vrije drank;2020 december;0.6;11439;0.07;-0.05
184;010000 Voedingsmidd. en alc.vrije drank;2020;1.9;11439;0.22;0.08
185;010000 Voedingsmidd. en alc.vrije drank;2021 januari;0.5;12921;0.05;-0.14
186;010000 Voedingsmidd. en alc.vrije drank;2021 februari;0.3;12921;0.04;-0.21
187;010000 Voedingsmidd. en alc.vrije drank;2021 maart;-1.3;12921;-0.16;-0.45
188;010000 Voedingsmidd. en alc.vrije drank;2021 april;-2.1;12921;-0.25;-0.56
189;010000 Voedingsmidd. en alc.vrije drank;2021 mei;-1.5;12921;-0.17;-0.5
190;010000 Voedingsmidd. en alc.vrije drank;2021 juni;-1.5;12921;-0.18;-0.5
191;010000 Voedingsmidd. en alc.vrije drank;2021 juli;-0.9;12921;-0.09;-0.33
192;010000 Voedingsmidd. en alc.vrije drank;2021 augustus;0.1;12921;0.03;-0.32
193;010000 Voedingsmidd. en alc.vrije drank;2021 september;0.0;12921;0.01;-0.39
194;010000 Voedingsmidd. en alc.vrije drank;2021 oktober;0.3;12921;0.05;-0.46
195;010000 Voedingsmidd. en alc.vrije drank;2021 november;1.2;12921;0.16;-0.58
196;010000 Voedingsmidd. en alc.vrije drank;2021 december;2.6;12921;0.34;-0.46
197;010000 Voedingsmidd. en alc.vrije drank;2021;-0.2;12921;-0.01;-0.41
198;010000 Voedingsmidd. en alc.vrije drank;2022 januari;4.4;12434;0.57;-0.3
199;010000 Voedingsmidd. en alc.vrije drank;2022 februari;5.0;12434;0.65;-0.17
200;010000 Voedingsmidd. en alc.vrije drank;2022 maart;6.4;12434;0.81;-0.49
201;010000 Voedingsmidd. en alc.vrije drank;2022 april;8.4;12434;1.05;-0.17
202;010000 Voedingsmidd. en alc.vrije drank;2022 mei;9.2;12434;1.17;0.06
203;010000 Voedingsmidd. en alc.vrije drank;2022 juni;11.1;12434;1.41;0.37
204;010000 Voedingsmidd. en alc.vrije drank;2022 juli;12.2;12434;1.55;0.28
205;010000 Voedingsmidd. en alc.vrije drank;2022 augustus;13.0;12434;1.65;0.15
206;010000 Voedingsmidd. en alc.vrije drank;2022 september;12.7;12434;1.6;-0.27
207;010000 Voedingsmidd. en alc.vrije drank;2022 oktober;13.8;12434;1.73;-0.07
208;010000 Voedingsmidd. en alc.vrije drank;2022 november;15.4;12434;1.92;0.79
209;010000 Voedingsmidd. en alc.vrije drank;2022 december;16.8;12434;2.09;1.02
210;010000 Voedingsmidd. en alc.vrije drank;2022;10.8;12434;1.35;0.1
211;010000 Voedingsmidd. en alc.vrije drank;2023 januari;17.3;12044;2.14;1.34
212;010000 Voedingsmidd. en alc.vrije drank;2023 februari;17.9;12044;2.22;1.37
213;010000 Voedingsmidd. en alc.vrije drank;2023 maart;17.8;12044;2.13;1.8
214;010000 Voedingsmidd. en alc.vrije drank;2023 april;15.6;12044;1.89;1.43
215;010000 Voedingsmidd. en alc.vrije drank;2023 mei;14.8;12044;1.82;1.21
216;010000 Voedingsmidd. en alc.vrije drank;2023 juni;13.0;12044;1.61;1.01
217;010000 Voedingsmidd. en alc.vrije drank;2023 juli;11.5;12044;1.41;0.96
218;010000 Voedingsmidd. en alc.vrije drank;2023 augustus;9.6;12044;1.17;0.92
219;010000 Voedingsmidd. en alc.vrije drank;2023 september;9.3;12044;1.11;1.26
220;010000 Voedingsmidd. en alc.vrije drank;2023 oktober;7.8;12044;0.93;1.14
221;010000 Voedingsmidd. en alc.vrije drank;2023 november;6.2;12044;0.75;0.63
222;010000 Voedingsmidd. en alc.vrije drank;2023 december;4.0;12044;0.48;0.38
223;010000 Voedingsmidd. en alc.vrije drank;2023;11.9;12044;1.47;1.12
224;010000 Voedingsmidd. en alc.vrije drank;2024 januari;2.5;11747;0.31;-0.09
225;010000 Voedingsmidd. en alc.vrije drank;2024 februari;0.8;11747;0.1;-0.28
226;010000 Voedingsmidd. en alc.vrije drank;2024 maart;0.9;11747;0.11;-0.31
227;010000 Voedingsmidd. en alc.vrije drank;2024 april;1.2;11747;0.14;-0.2
228;010000 Voedingsmidd. en alc.vrije drank;2024 mei;1.0;11747;0.11;-0.24
229;010000 Voedingsmidd. en alc.vrije drank;2024 juni;1.0;11747;0.11;-0.32
230;010000 Voedingsmidd. en alc.vrije drank;2024 juli;1.2;11747;0.14;-0.33
231;010000 Voedingsmidd. en alc.vrije drank;2024 augustus;1.7;11747;0.2;-0.24
232;010000 Voedingsmidd. en alc.vrije drank;2024 september;2.2;11747;0.25;-0.17
233;010000 Voedingsmidd. en alc.vrije drank;2024 oktober;2.1;11747;0.25;-0.17
234;010000 Voedingsmidd. en alc.vrije drank;2024 november;2.5;11747;0.29;-0.21
235;010000 Voedingsmidd. en alc.vrije drank;2024 december;3.0;11747;0.36;-0.14
236;010000 Voedingsmidd. en alc.vrije drank;2024;1.7;11747;0.2;-0.23
237;010000 Voedingsmidd. en alc.vrije drank;2025 januari;3.5;11882;0.41;0.03
238;010000 Voedingsmidd. en alc.vrije drank;2025 februari;4.3;11882;0.51;0.07
239;010000 Voedingsmidd. en alc.vrije drank;2025 maart;3.9;11882;0.45;0.02
240;011000 Voedingsmiddelen;2016 januari;1.2;10692;0.12;0.07
241;011000 Voedingsmiddelen;2016 februari;1.1;10692;0.12;0.06
242;011000 Voedingsmiddelen;2016 maart;1.5;10692;0.16;0.11
243;011000 Voedingsmiddelen;2016 april;1.2;10692;0.13;0.14
244;011000 Voedingsmiddelen;2016 mei;1.1;10692;0.12;0.14
245;011000 Voedingsmiddelen;2016 juni;1.4;10692;0.15;0.16
246;011000 Voedingsmiddelen;2016 juli;0.5;10692;0.06;0.09
247;011000 Voedingsmiddelen;2016 augustus;0.0;10692;0.0;-0.03
248;011000 Voedingsmiddelen;2016 september;-0.2;10692;-0.02;-0.03
249;011000 Voedingsmiddelen;2016 oktober;0.1;10692;0.02;-0.03
250;011000 Voedingsmiddelen;2016 november;0.6;10692;0.07;0.0
251;011000 Voedingsmiddelen;2016 december;1.1;10692;0.12;0.02
252;011000 Voedingsmiddelen;2016;0.8;10692;0.09;0.06
253;011000 Voedingsmiddelen;2017 januari;1.5;10816;0.16;-0.02
254;011000 Voedingsmiddelen;2017 februari;2.2;10816;0.23;0.04
255;011000 Voedingsmiddelen;2017 maart;2.0;10816;0.21;0.1
256;011000 Voedingsmiddelen;2017 april;1.8;10816;0.19;0.03
257;011000 Voedingsmiddelen;2017 mei;2.5;10816;0.27;0.18
258;011000 Voedingsmiddelen;2017 juni;2.8;10816;0.3;0.2
259;011000 Voedingsmiddelen;2017 juli;3.3;10816;0.36;0.24
260;011000 Voedingsmiddelen;2017 augustus;3.7;10816;0.39;0.27
261;011000 Voedingsmiddelen;2017 september;3.8;10816;0.41;0.28
262;011000 Voedingsmiddelen;2017 oktober;3.6;10816;0.38;0.26
263;011000 Voedingsmiddelen;2017 november;3.2;10816;0.34;0.2
264;011000 Voedingsmiddelen;2017 december;2.6;10816;0.28;0.16
265;011000 Voedingsmiddelen;2017;2.7;10816;0.29;0.16
266;011000 Voedingsmiddelen;2018 januari;2.2;10769;0.24;0.1
267;011000 Voedingsmiddelen;2018 februari;1.8;10769;0.2;0.07
268;011000 Voedingsmiddelen;2018 maart;0.7;10769;0.08;-0.03
269;011000 Voedingsmiddelen;2018 april;1.0;10769;0.11;-0.01
270;011000 Voedingsmiddelen;2018 mei;0.6;10769;0.07;-0.13
271;011000 Voedingsmiddelen;2018 juni;0.0;10769;0.0;-0.21
272;011000 Voedingsmiddelen;2018 juli;0.2;10769;0.02;-0.24
273;011000 Voedingsmiddelen;2018 augustus;0.5;10769;0.06;-0.19
274;011000 Voedingsmiddelen;2018 september;0.6;10769;0.07;-0.15
275;011000 Voedingsmiddelen;2018 oktober;0.5;10769;0.05;-0.2
276;011000 Voedingsmiddelen;2018 november;1.1;10769;0.11;-0.12
277;011000 Voedingsmiddelen;2018 december;1.2;10769;0.12;-0.1
278;011000 Voedingsmiddelen;2018;0.9;10769;0.09;-0.1
279;011000 Voedingsmiddelen;2019 januari;3.3;10523;0.35;0.12
280;011000 Voedingsmiddelen;2019 februari;3.2;10523;0.34;0.07
281;011000 Voedingsmiddelen;2019 maart;3.8;10523;0.4;0.12
282;011000 Voedingsmiddelen;2019 april;3.9;10523;0.41;0.12
283;011000 Voedingsmiddelen;2019 mei;3.8;10523;0.4;0.16
284;011000 Voedingsmiddelen;2019 juni;4.8;10523;0.5;0.25
285;011000 Voedingsmiddelen;2019 juli;5.1;10523;0.53;0.3
286;011000 Voedingsmiddelen;2019 augustus;5.0;10523;0.53;0.26
287;011000 Voedingsmiddelen;2019 september;4.9;10523;0.52;0.27
288;011000 Voedingsmiddelen;2019 oktober;5.1;10523;0.53;0.28
289;011000 Voedingsmiddelen;2019 november;4.4;10523;0.46;0.22
290;011000 Voedingsmiddelen;2019 december;3.8;10523;0.4;0.13
291;011000 Voedingsmiddelen;2019;4.3;10523;0.45;0.19
292;011000 Voedingsmiddelen;2020 januari;1.9;10539;0.21;0.01
293;011000 Voedingsmiddelen;2020 februari;2.1;10539;0.22;0.06
294;011000 Voedingsmiddelen;2020 maart;3.2;10539;0.34;0.22
295;011000 Voedingsmiddelen;2020 april;3.6;10539;0.38;0.29
296;011000 Voedingsmiddelen;2020 mei;3.3;10539;0.34;0.25
297;011000 Voedingsmiddelen;2020 juni;2.7;10539;0.29;0.13
298;011000 Voedingsmiddelen;2020 juli;2.0;10539;0.21;0.03
299;011000 Voedingsmiddelen;2020 augustus;1.0;10539;0.1;0.03
300;011000 Voedingsmiddelen;2020 september;1.3;10539;0.13;0.02
301;011000 Voedingsmiddelen;2020 oktober;1.2;10539;0.13;0.0
302;011000 Voedingsmiddelen;2020 november;0.8;10539;0.09;0.0
303;011000 Voedingsmiddelen;2020 december;0.7;10539;0.07;-0.04
304;011000 Voedingsmiddelen;2020;2.0;10539;0.21;0.08
305;011000 Voedingsmiddelen;2021 januari;0.6;11904;0.06;-0.12
306;011000 Voedingsmiddelen;2021 februari;0.4;11904;0.04;-0.18
307;011000 Voedingsmiddelen;2021 maart;-1.3;11904;-0.15;-0.41
308;011000 Voedingsmiddelen;2021 april;-2.2;11904;-0.25;-0.53
309;011000 Voedingsmiddelen;2021 mei;-1.5;11904;-0.16;-0.46
310;011000 Voedingsmiddelen;2021 juni;-1.6;11904;-0.16;-0.46
311;011000 Voedingsmiddelen;2021 juli;-0.9;11904;-0.08;-0.3
312;011000 Voedingsmiddelen;2021 augustus;0.2;11904;0.04;-0.28
313;011000 Voedingsmiddelen;2021 september;0.0;11904;0.01;-0.35
314;011000 Voedingsmiddelen;2021 oktober;0.2;11904;0.04;-0.43
315;011000 Voedingsmiddelen;2021 november;1.1;11904;0.13;-0.55
316;011000 Voedingsmiddelen;2021 december;2.6;11904;0.31;-0.42
317;011000 Voedingsmiddelen;2021;-0.2;11904;-0.01;-0.37
318;011000 Voedingsmiddelen;2022 januari;4.3;11479;0.51;-0.29
319;011000 Voedingsmiddelen;2022 februari;4.9;11479;0.58;-0.18
320;011000 Voedingsmiddelen;2022 maart;6.2;11479;0.73;-0.47
321;011000 Voedingsmiddelen;2022 april;8.5;11479;0.98;-0.15
322;011000 Voedingsmiddelen;2022 mei;9.1;11479;1.07;0.05
323;011000 Voedingsmiddelen;2022 juni;11.2;11479;1.31;0.35
324;011000 Voedingsmiddelen;2022 juli;12.3;11479;1.44;0.27
325;011000 Voedingsmiddelen;2022 augustus;13.1;11479;1.53;0.14
326;011000 Voedingsmiddelen;2022 september;12.8;11479;1.49;-0.23
327;011000 Voedingsmiddelen;2022 oktober;14.0;11479;1.61;-0.04
328;011000 Voedingsmiddelen;2022 november;15.7;11479;1.8;0.76
329;011000 Voedingsmiddelen;2022 december;17.0;11479;1.96;0.97
330;011000 Voedingsmiddelen;2022;10.8;11479;1.25;0.1
331;011000 Voedingsmiddelen;2023 januari;17.6;11130;2.02;1.27
332;011000 Voedingsmiddelen;2023 februari;18.4;11130;2.09;1.31
333;011000 Voedingsmiddelen;2023 maart;18.4;11130;2.02;1.71
334;011000 Voedingsmiddelen;2023 april;15.9;11130;1.78;1.35
335;011000 Voedingsmiddelen;2023 mei;15.2;11130;1.72;1.16
336;011000 Voedingsmiddelen;2023 juni;13.1;11130;1.51;0.94
337;011000 Voedingsmiddelen;2023 juli;11.7;11130;1.32;0.9
338;011000 Voedingsmiddelen;2023 augustus;9.7;11130;1.09;0.86
339;011000 Voedingsmiddelen;2023 september;9.4;11130;1.03;1.16
340;011000 Voedingsmiddelen;2023 oktober;7.9;11130;0.87;1.06
341;011000 Voedingsmiddelen;2023 november;6.3;11130;0.71;0.59
342;011000 Voedingsmiddelen;2023 december;4.1;11130;0.45;0.36
343;011000 Voedingsmiddelen;2023;12.1;11130;1.39;1.06
344;011000 Voedingsmiddelen;2024 januari;2.1;10831;0.24;-0.13
345;011000 Voedingsmiddelen;2024 februari;0.3;10831;0.04;-0.32
346;011000 Voedingsmiddelen;2024 maart;0.3;10831;0.03;-0.36
347;011000 Voedingsmiddelen;2024 april;0.5;10831;0.05;-0.27
348;011000 Voedingsmiddelen;2024 mei;0.4;10831;0.03;-0.3
349;011000 Voedingsmiddelen;2024 juni;0.4;10831;0.04;-0.36
350;011000 Voedingsmiddelen;2024 juli;0.6;10831;0.06;-0.38
351;011000 Voedingsmiddelen;2024 augustus;1.1;10831;0.11;-0.3
352;011000 Voedingsmiddelen;2024 september;1.6;10831;0.17;-0.22
353;011000 Voedingsmiddelen;2024 oktober;1.5;10831;0.16;-0.23
354;011000 Voedingsmiddelen;2024 november;1.8;10831;0.19;-0.27
355;011000 Voedingsmiddelen;2024 december;2.2;10831;0.24;-0.23
356;011000 Voedingsmiddelen;2024;1.1;10831;0.11;-0.28
357;011000 Voedingsmiddelen;2025 januari;3.1;10984;0.33;-0.03
358;011000 Voedingsmiddelen;2025 februari;3.8;10984;0.42;0.01
359;011000 Voedingsmiddelen;2025 maart;3.5;10984;0.38;-0.03
360;011100 Brood en granen;2016 januari;0.4;2483;0.01;0.0
361;011100 Brood en granen;2016 februari;0.1;2483;0.0;-0.01
362;011100 Brood en granen;2016 maart;0.2;2483;0.0;-0.01
363;011100 Brood en granen;2016 april;-0.1;2483;0.0;0.0
364;011100 Brood en granen;2016 mei;-0.6;2483;-0.02;-0.02
365;011100 Brood en granen;2016 juni;0.4;2483;0.01;0.01
366;011100 Brood en granen;2016 juli;-0.2;2483;-0.01;0.0
367;011100 Brood en granen;2016 augustus;-0.4;2483;-0.01;-0.02
368;011100 Brood en granen;2016 september;-0.9;2483;-0.02;-0.02
369;011100 Brood en granen;2016 oktober;-0.3;2483;-0.01;-0.02
370;011100 Brood en granen;2016 november;-0.6;2483;-0.01;-0.03
371;011100 Brood en granen;2016 december;0.7;2483;0.02;-0.01
372;011100 Brood en granen;2016;-0.1;2483;0.0;-0.01
373;011100 Brood en granen;2017 januari;-0.1;2450;0.0;-0.05
