ID;BalanceSheetItemsIntergovOrg;Periods;BalanceSheetItemsAtYearEnd_1
279;A213 - Works in progress;2012;454.0
280;A213 - Works in progress;2013;458.0
281;A213 - Works in progress;2014;498.0
282;A213 - Works in progress;2015;418.0
283;A213 - Works in progress;2016;430.0
284;A213 - Works in progress;2017;467.0
285;A213 - Works in progress;2018;748.0
286;A213 - Works in progress;2019;751.0
287;A213 - Works in progress;2020;656.0
288;A213 - Works in progress;2021;530.0
289;A21a - Other stocks;2005;35.0
290;A21a - Other stocks;2006;34.0
291;A21a - Other stocks;2007;37.0
292;A21a - Other stocks;2008;34.0
293;A21a - Other stocks;2009;28.0
294;A21a - Other stocks;2010;26.0
295;A21a - Other stocks;2011;26.0
296;A21a - Other stocks;2012;26.0
297;A21a - Other stocks;2013;18.0
298;A21a - Other stocks;2014;21.0
299;A21a - Other stocks;2015;26.0
300;A21a - Other stocks;2016;21.0
301;A21a - Other stocks;2017;30.0
302;A21a - Other stocks;2018;26.0
303;A21a - Other stocks;2019;11.0
304;A21a - Other stocks;2020;11.0
305;A21a - Other stocks;2021;11.0
306;A22 - Current assets;2005;3988.0
307;A22 - Current assets;2006;3199.0
308;A22 - Current assets;2007;3716.0
309;A22 - Current assets;2008;4051.0
310;A22 - Current assets;2009;4019.0
311;A22 - Current assets;2010;3848.0
312;A22 - Current assets;2011;3732.0
313;A22 - Current assets;2012;4052.0
314;A22 - Current assets;2013;4265.0
315;A22 - Current assets;2014;3983.0
316;A22 - Current assets;2015;3331.0
317;A22 - Current assets;2016;3422.0
318;A22 - Current assets;2017;3418.0
319;A22 - Current assets;2018;3586.0
320;A22 - Current assets;2019;3249.0
321;A22 - Current assets;2020;4066.0
322;A22 - Current assets;2021;4263.0
323;A22a - Current claims and loans;2005;1663.0
324;A22a - Current claims and loans;2006;1583.0
325;A22a - Current claims and loans;2007;1900.0
326;A22a - Current claims and loans;2008;1944.0
327;A22a - Current claims and loans;2009;1870.0
328;A22a - Current claims and loans;2010;1677.0
329;A22a - Current claims and loans;2011;1605.0
330;A22a - Current claims and loans;2012;1786.0
331;A22a - Current claims and loans;2013;1755.0
332;A22a - Current claims and loans;2014;2167.0
333;A22a - Current claims and loans;2015;2265.0
334;A22a - Current claims and loans;2016;2454.0
335;A22a - Current claims and loans;2017;2292.0
336;A22a - Current claims and loans;2018;2475.0
337;A22a - Current claims and loans;2019;2287.0
338;A22a - Current claims and loans;2020;3001.0
339;A22a - Current claims and loans;2021;3361.0
340;A23 - Liquid assets;2005;1595.0
341;A23 - Liquid assets;2006;1289.0
342;A23 - Liquid assets;2007;1502.0
343;A23 - Liquid assets;2008;1835.0
344;A23 - Liquid assets;2009;1903.0
345;A23 - Liquid assets;2010;1930.0
346;A23 - Liquid assets;2011;1894.0
347;A23 - Liquid assets;2012;2029.0
348;A23 - Liquid assets;2013;2174.0
349;A23 - Liquid assets;2014;1522.0
350;A23 - Liquid assets;2015;626.0
351;A23 - Liquid assets;2016;575.0
352;A23 - Liquid assets;2017;534.0
353;A23 - Liquid assets;2018;414.0
354;A23 - Liquid assets;2019;396.0
355;A23 - Liquid assets;2020;400.0
356;A23 - Liquid assets;2021;254.0
357;A29 - Deferred asset;2005;730.0
358;A29 - Deferred asset;2006;328.0
359;A29 - Deferred asset;2007;315.0
360;A29 - Deferred asset;2008;272.0
361;A29 - Deferred asset;2009;246.0
362;A29 - Deferred asset;2010;242.0
363;A29 - Deferred asset;2011;233.0
364;A29 - Deferred asset;2012;238.0
365;A29 - Deferred asset;2013;335.0
366;A29 - Deferred asset;2014;294.0
367;A29 - Deferred asset;2015;440.0
368;A29 - Deferred asset;2016;393.0
369;A29 - Deferred asset;2017;592.0
370;A29 - Deferred asset;2018;698.0
371;A29 - Deferred asset;2019;566.0
372;A29 - Deferred asset;2020;665.0
373;A29 - Deferred asset;2021;648.0
374;P - Liabilities;2005;7336.0
