ID;VoornaamsteInkomensbronHuishoudens;Perioden;BeloningVanWerknemers_1;PrimairInkomen_2;BeschikbaarInkomenNetto_3;TotaalConsumptieveBestedingen_4;Voedingsmiddelen_5;Genotmiddelen_6;DuurzameConsumptiegoederen_7;OverigeGoederen_8;Diensten_9;TotaleBesparingenNetto_10;VrijeIndividueleBesparingen_11;GemiddeldAantalHuishoudens_12
25;Inkomen uit loon;1996/1998;160650;184617;114130;106751.0;9970.0;5702.0;23124.0;14360.0;48331.0;29013.0;7379.0;3719
26;Inkomen uit loon;1997/1999;171638;196613;119945;114576.0;10367.0;5979.0;25400.0;15136.0;52340.0;28559.0;5369.0;3810
27;Inkomen uit loon;1998/2000;184314;210046;125825;123611.0;10797.0;6237.0;28011.0;16284.0;56699.0;26909.0;2214.0;3891
28;Inkomen uit loon;1999/2001;197827;224749;133674;132649.0;11272.0;6631.0;29983.0;17305.0;61775.0;27840.0;1025.0;3942
29;Inkomen uit loon;2000/2002;210849;236954;140246;140674.0;11893.0;6950.0;31294.0;18213.0;66173.0;29405.0;-428.0;3979
30;Inkomen uit loon;2001/2003;221110;245976;144696;146124.0;12412.0;7212.0;31590.0;18625.0;69880.0;31932.0;-1428.0;3988
31;Inkomen uit loon;2002/2004;228017;250749;144591;149606.0;12688.0;7283.0;31323.0;19142.0;72765.0;31133.0;-5015.0;3991
32;Inkomen uit loon;2005/2007;254191;277173;161557;160183.0;13356.0;7641.0;31288.0;21489.0;79460.0;41493.0;1375.0;4105
33;Inkomen uit loon;2006/2008;265871;288691;167473;163772.0;13911.0;8093.0;32607.0;22281.0;79568.0;44678.0;3701.0;4170
34;Inkomen uit loon;2007/2009;275474;296242;170976;166172.0;14395.0;8602.0;32429.0;22471.0;80767.0;46386.0;4804.0;4210
35;Inkomen uit loon;2012;291709;307980;177187;165164.0;15138.0;8688.0;27643.0;22057.0;84018.0;54896.0;12022.0;4160
36;Inkomen uit eigen bedrijven of vermogen;1995/1997;7428;24481;16949;14849.0;1426.0;762.0;2803.0;1644.0;7250.0;2795.0;2100.0;447
37;Inkomen uit eigen bedrijven of vermogen;1996/1998;8019;26661;18638;16479.0;1480.0;761.0;3176.0;1866.0;8384.0;3092.0;2159.0;461
38;Inkomen uit eigen bedrijven of vermogen;1997/1999;8810;28680;20847;17589.0;1511.0;776.0;3434.0;1994.0;9106.0;4472.0;3258.0;471
39;Inkomen uit eigen bedrijven of vermogen;1998/2000;9604;30167;22524;18658.0;1516.0;788.0;3649.0;2135.0;9782.0;5177.0;3866.0;471
40;Inkomen uit eigen bedrijven of vermogen;1999/2001;10382;32175;25335;19661.0;1603.0;855.0;3810.0;2274.0;10320.0;6647.0;5674.0;484
41;Inkomen uit eigen bedrijven of vermogen;2000/2002;10874;34095;27253;20323.0;1650.0;885.0;4009.0;2354.0;10547.0;7528.0;6930.0;489
42;Inkomen uit eigen bedrijven of vermogen;2001/2003;11336;35400;28692;20911.0;1694.0;914.0;4112.0;2402.0;10858.0;7973.0;7781.0;495
43;Inkomen uit eigen bedrijven of vermogen;2002/2004;11721;35861;28831;21147.0;1684.0;902.0;4030.0;2405.0;11210.0;7880.0;7684.0;488
44;Inkomen uit eigen bedrijven of vermogen;2005/2007;5199;37686;30578;22145.0;1626.0;898.0;3974.0;2600.0;12166.0;8622.0;8433.0;438
45;Inkomen uit eigen bedrijven of vermogen;2006/2008;5627;38907;31995;23539.0;1754.0;954.0;4503.0;2791.0;12617.0;8621.0;8456.0;457
46;Inkomen uit eigen bedrijven of vermogen;2007/2009;5919;38168;31472;23551.0;1854.0;949.0;4462.0;2830.0;12454.0;8068.0;7921.0;474
47;Inkomen uit eigen bedrijven of vermogen;2012;5756;34676;28066;25167.0;2064.0;1115.0;3985.0;2978.0;13673.0;8465.0;2900.0;494
48;Inkomen uit pensioen en AOW;1995/1997;1520;16290;28680;28533.0;3071.0;1670.0;4983.0;4054.0;13345.0;-4291.0;147.0;1564
49;Inkomen uit pensioen en AOW;1996/1998;1642;16945;29590;30576.0;3225.0;1804.0;5422.0;4389.0;14309.0;-6106.0;-986.0;1580
50;Inkomen uit pensioen en AOW;1997/1999;1764;17485;31416;32730.0;3381.0;1844.0;5937.0;4620.0;15151.0;-7364.0;-1315.0;1592
51;Inkomen uit pensioen en AOW;1998/2000;1886;17922;33870;35002.0;3505.0;1864.0;6356.0;4895.0;16253.0;-8517.0;-1132.0;1607
52;Inkomen uit pensioen en AOW;1999/2001;2050;17674;36354;37783.0;3677.0;1956.0;6740.0;5203.0;17734.0;-10711.0;-1429.0;1627
53;Inkomen uit pensioen en AOW;2000/2002;2210;18116;39905;40432.0;3853.0;2153.0;6952.0;5445.0;19484.0;-11963.0;-528.0;1652
54;Inkomen uit pensioen en AOW;2001/2003;2435;18128;42129;42466.0;4020.0;2355.0;6991.0;5591.0;20980.0;-13114.0;-337.0;1676
55;Inkomen uit pensioen en AOW;2002/2004;2598;18643;44341;44236.0;4150.0;2501.0;7002.0;5790.0;22323.0;-13708.0;105.0;1708
56;Inkomen uit pensioen en AOW;2005/2007;2904;19017;41270;48459.0;4537.0;2364.0;8590.0;6431.0;24573.0;-23904.0;-7190.0;1779
57;Inkomen uit pensioen en AOW;2006/2008;3003;20171;40614;50243.0;4816.0;2411.0;8848.0;6786.0;25231.0;-27184.0;-9630.0;1800
58;Inkomen uit pensioen en AOW;2007/2009;3124;19549;40240;51410.0;5063.0;2498.0;9012.0;7083.0;25497.0;-29705.0;-11170.0;1825
59;Inkomen uit pensioen en AOW;2012;3564;18722;42647;55579.0;5656.0;2706.0;9037.0;8102.0;27307.0;-42882.0;-12932.0;2054
60;Inkomen uit uitkeringen anders dan AOW;1995/1997;1748;3540;12390;;;;;;;;;905
61;Inkomen uit uitkeringen anders dan AOW;1996/1998;1845;3634;11982;;;;;;;;;863
62;Inkomen uit uitkeringen anders dan AOW;1997/1999;1734;3486;11483;;;;;;;;;825
63;Inkomen uit uitkeringen anders dan AOW;1998/2000;1600;3341;10927;;;;;;;;;802
64;Inkomen uit uitkeringen anders dan AOW;1999/2001;1600;3301;10996;;;;;;;;;783
65;Inkomen uit uitkeringen anders dan AOW;2000/2002;1667;3526;11326;;;;;;;;;780
66;Inkomen uit uitkeringen anders dan AOW;2001/2003;1843;3640;11700;;;;;;;;;803
67;Inkomen uit uitkeringen anders dan AOW;2002/2004;1954;3822;12079;;;;;;;;;833
68;Inkomen uit uitkeringen anders dan AOW;2005/2007;2001;2894;10942;;;;;;;;;846
69;Inkomen uit uitkeringen anders dan AOW;2006/2008;1874;2917;10791;;;;;;;;;794
70;Inkomen uit uitkeringen anders dan AOW;2007/2009;1861;2831;11352;;;;;;;;;772
71;Inkomen uit uitkeringen anders dan AOW;2012;2211;3205;13846;;;;;;;;;835
72;Totaal institutionele huishoudens;1995/1997;214;835;2345;;;;;;;;;244
73;Totaal institutionele huishoudens;1996/1998;208;786;2260;;;;;;;;;239
74;Totaal institutionele huishoudens;1997/1999;188;766;2240;;;;;;;;;240
75;Totaal institutionele huishoudens;1998/2000;172;755;2206;;;;;;;;;233
76;Totaal institutionele huishoudens;1999/2001;159;729;2235;;;;;;;;;228
77;Totaal institutionele huishoudens;2000/2002;179;741;2318;;;;;;;;;216
78;Totaal institutionele huishoudens;2001/2003;213;744;2402;;;;;;;;;215
79;Totaal institutionele huishoudens;2002/2004;241;769;2495;;;;;;;;;214
80;Totaal institutionele huishoudens;2005/2007;217;727;2398;;;;;;;;;209
81;Totaal institutionele huishoudens;2006/2008;218;823;2395;;;;;;;;;207
82;Totaal institutionele huishoudens;2007/2009;225;815;2392;;;;;;;;;207
83;Totaal institutionele huishoudens;2012;240;685;2404;;;;;;;;;219
