ID;Klimaatsector;Emissies;Perioden;EmissieBroeikasgassen_1
31;Totaal klimaatsectoren;Koolstofdioxide (CO2);2019 2e kwartaal;34.6
32;Totaal klimaatsectoren;Koolstofdioxide (CO2);2019 3e kwartaal;31.8
33;Totaal klimaatsectoren;Koolstofdioxide (CO2);2019 4e kwartaal;43.3
34;Totaal klimaatsectoren;Koolstofdioxide (CO2);2019;156.2
35;Totaal klimaatsectoren;Koolstofdioxide (CO2);2020 1e kwartaal;41.1
36;Totaal klimaatsectoren;Koolstofdioxide (CO2);2020 2e kwartaal;29.0
37;Totaal klimaatsectoren;Koolstofdioxide (CO2);2020 3e kwartaal;31.1
38;Totaal klimaatsectoren;Koolstofdioxide (CO2);2020 4e kwartaal;38.8
39;Totaal klimaatsectoren;Koolstofdioxide (CO2);2020;140.0
40;Totaal klimaatsectoren;Koolstofdioxide (CO2);2021 1e kwartaal;42.1
41;Totaal klimaatsectoren;Koolstofdioxide (CO2);2021 2e kwartaal;32.6
42;Totaal klimaatsectoren;Koolstofdioxide (CO2);2021 3e kwartaal;29.5
43;Totaal klimaatsectoren;Koolstofdioxide (CO2);2021 4e kwartaal;38.8
44;Totaal klimaatsectoren;Koolstofdioxide (CO2);2021;143.1
45;Totaal klimaatsectoren;Koolstofdioxide (CO2);2022 1e kwartaal;37.6
46;Totaal klimaatsectoren;Koolstofdioxide (CO2);2022 2e kwartaal;30.0
47;Totaal klimaatsectoren;Koolstofdioxide (CO2);2022 3e kwartaal;28.8
48;Totaal klimaatsectoren;Koolstofdioxide (CO2);2022 4e kwartaal;34.4
49;Totaal klimaatsectoren;Koolstofdioxide (CO2);2022;130.8
50;Totaal klimaatsectoren;Koolstofdioxide (CO2);2023 1e kwartaal;35.6
51;Totaal klimaatsectoren;Koolstofdioxide (CO2);2023 2e kwartaal;27.7
52;Totaal klimaatsectoren;Koolstofdioxide (CO2);2023 3e kwartaal;25.2
53;Totaal klimaatsectoren;Koolstofdioxide (CO2);2023 4e kwartaal;32.1
54;Totaal klimaatsectoren;Koolstofdioxide (CO2);2023;120.6
55;Totaal klimaatsectoren;Koolstofdioxide (CO2);2024 1e kwartaal;33.9
56;Totaal klimaatsectoren;Koolstofdioxide (CO2);2024 2e kwartaal;26.0
57;Totaal klimaatsectoren;Koolstofdioxide (CO2);2024 3e kwartaal;24.9
58;Totaal klimaatsectoren;Koolstofdioxide (CO2);2024 4e kwartaal;33.5
59;Totaal klimaatsectoren;Koolstofdioxide (CO2);2024;118.3
60;Totaal klimaatsectoren;Overige broeikasgassen;2019 1e kwartaal;7.5
61;Totaal klimaatsectoren;Overige broeikasgassen;2019 2e kwartaal;7.1
62;Totaal klimaatsectoren;Overige broeikasgassen;2019 3e kwartaal;7.0
63;Totaal klimaatsectoren;Overige broeikasgassen;2019 4e kwartaal;7.4
64;Totaal klimaatsectoren;Overige broeikasgassen;2019;29.1
65;Totaal klimaatsectoren;Overige broeikasgassen;2020 1e kwartaal;7.3
66;Totaal klimaatsectoren;Overige broeikasgassen;2020 2e kwartaal;6.9
67;Totaal klimaatsectoren;Overige broeikasgassen;2020 3e kwartaal;6.8
68;Totaal klimaatsectoren;Overige broeikasgassen;2020 4e kwartaal;7.2
69;Totaal klimaatsectoren;Overige broeikasgassen;2020;28.3
70;Totaal klimaatsectoren;Overige broeikasgassen;2021 1e kwartaal;7.2
71;Totaal klimaatsectoren;Overige broeikasgassen;2021 2e kwartaal;6.8
72;Totaal klimaatsectoren;Overige broeikasgassen;2021 3e kwartaal;6.6
73;Totaal klimaatsectoren;Overige broeikasgassen;2021 4e kwartaal;6.9
74;Totaal klimaatsectoren;Overige broeikasgassen;2021;27.5
75;Totaal klimaatsectoren;Overige broeikasgassen;2022 1e kwartaal;6.8
76;Totaal klimaatsectoren;Overige broeikasgassen;2022 2e kwartaal;6.5
77;Totaal klimaatsectoren;Overige broeikasgassen;2022 3e kwartaal;6.4
78;Totaal klimaatsectoren;Overige broeikasgassen;2022 4e kwartaal;6.6
79;Totaal klimaatsectoren;Overige broeikasgassen;2022;26.3
80;Totaal klimaatsectoren;Overige broeikasgassen;2023 1e kwartaal;6.7
81;Totaal klimaatsectoren;Overige broeikasgassen;2023 2e kwartaal;6.4
82;Totaal klimaatsectoren;Overige broeikasgassen;2023 3e kwartaal;6.3
83;Totaal klimaatsectoren;Overige broeikasgassen;2023 4e kwartaal;6.5
84;Totaal klimaatsectoren;Overige broeikasgassen;2023;25.9
85;Totaal klimaatsectoren;Overige broeikasgassen;2024 1e kwartaal;6.6
86;Totaal klimaatsectoren;Overige broeikasgassen;2024 2e kwartaal;6.4
87;Totaal klimaatsectoren;Overige broeikasgassen;2024 3e kwartaal;6.3
88;Totaal klimaatsectoren;Overige broeikasgassen;2024 4e kwartaal;6.5
89;Totaal klimaatsectoren;Overige broeikasgassen;2024;25.9
90;Industrie;Totaal broeikasgassen;2019 1e kwartaal;14.0
91;Industrie;Totaal broeikasgassen;2019 2e kwartaal;13.6
92;Industrie;Totaal broeikasgassen;2019 3e kwartaal;13.4
93;Industrie;Totaal broeikasgassen;2019 4e kwartaal;13.9
94;Industrie;Totaal broeikasgassen;2019;54.9
95;Industrie;Totaal broeikasgassen;2020 1e kwartaal;13.9
96;Industrie;Totaal broeikasgassen;2020 2e kwartaal;12.7
97;Industrie;Totaal broeikasgassen;2020 3e kwartaal;13.2
98;Industrie;Totaal broeikasgassen;2020 4e kwartaal;13.8
99;Industrie;Totaal broeikasgassen;2020;53.6
100;Industrie;Totaal broeikasgassen;2021 1e kwartaal;13.5
101;Industrie;Totaal broeikasgassen;2021 2e kwartaal;13.9
102;Industrie;Totaal broeikasgassen;2021 3e kwartaal;13.3
103;Industrie;Totaal broeikasgassen;2021 4e kwartaal;12.7
104;Industrie;Totaal broeikasgassen;2021;53.4
105;Industrie;Totaal broeikasgassen;2022 1e kwartaal;13.0
106;Industrie;Totaal broeikasgassen;2022 2e kwartaal;12.4
107;Industrie;Totaal broeikasgassen;2022 3e kwartaal;11.8
108;Industrie;Totaal broeikasgassen;2022 4e kwartaal;12.0
109;Industrie;Totaal broeikasgassen;2022;49.2
110;Industrie;Totaal broeikasgassen;2023 1e kwartaal;11.7
111;Industrie;Totaal broeikasgassen;2023 2e kwartaal;11.1
112;Industrie;Totaal broeikasgassen;2023 3e kwartaal;11.3
113;Industrie;Totaal broeikasgassen;2023 4e kwartaal;11.9
114;Industrie;Totaal broeikasgassen;2023;46.1
115;Industrie;Totaal broeikasgassen;2024 1e kwartaal;11.8
116;Industrie;Totaal broeikasgassen;2024 2e kwartaal;11.7
117;Industrie;Totaal broeikasgassen;2024 3e kwartaal;11.5
118;Industrie;Totaal broeikasgassen;2024 4e kwartaal;11.8
119;Industrie;Totaal broeikasgassen;2024;46.8
120;Industrie;Koolstofdioxide (CO2);2019 1e kwartaal;12.2
121;Industrie;Koolstofdioxide (CO2);2019 2e kwartaal;11.8
122;Industrie;Koolstofdioxide (CO2);2019 3e kwartaal;11.6
123;Industrie;Koolstofdioxide (CO2);2019 4e kwartaal;12.1
124;Industrie;Koolstofdioxide (CO2);2019;47.7
125;Industrie;Koolstofdioxide (CO2);2020 1e kwartaal;12.2
126;Industrie;Koolstofdioxide (CO2);2020 2e kwartaal;11.1
127;Industrie;Koolstofdioxide (CO2);2020 3e kwartaal;11.6
128;Industrie;Koolstofdioxide (CO2);2020 4e kwartaal;12.1
129;Industrie;Koolstofdioxide (CO2);2020;47.0
130;Industrie;Koolstofdioxide (CO2);2021 1e kwartaal;11.9
131;Industrie;Koolstofdioxide (CO2);2021 2e kwartaal;12.4
132;Industrie;Koolstofdioxide (CO2);2021 3e kwartaal;11.8
133;Industrie;Koolstofdioxide (CO2);2021 4e kwartaal;11.3
134;Industrie;Koolstofdioxide (CO2);2021;47.4
135;Industrie;Koolstofdioxide (CO2);2022 1e kwartaal;11.6
136;Industrie;Koolstofdioxide (CO2);2022 2e kwartaal;11.1
137;Industrie;Koolstofdioxide (CO2);2022 3e kwartaal;10.5
138;Industrie;Koolstofdioxide (CO2);2022 4e kwartaal;10.7
139;Industrie;Koolstofdioxide (CO2);2022;43.9
140;Industrie;Koolstofdioxide (CO2);2023 1e kwartaal;10.5
141;Industrie;Koolstofdioxide (CO2);2023 2e kwartaal;9.9
142;Industrie;Koolstofdioxide (CO2);2023 3e kwartaal;10.1
143;Industrie;Koolstofdioxide (CO2);2023 4e kwartaal;10.7
144;Industrie;Koolstofdioxide (CO2);2023;41.2
145;Industrie;Koolstofdioxide (CO2);2024 1e kwartaal;10.6
146;Industrie;Koolstofdioxide (CO2);2024 2e kwartaal;10.5
147;Industrie;Koolstofdioxide (CO2);2024 3e kwartaal;10.3
148;Industrie;Koolstofdioxide (CO2);2024 4e kwartaal;10.6
149;Industrie;Koolstofdioxide (CO2);2024;41.9
150;Industrie;Overige broeikasgassen;2019 1e kwartaal;1.8
151;Industrie;Overige broeikasgassen;2019 2e kwartaal;1.8
152;Industrie;Overige broeikasgassen;2019 3e kwartaal;1.8
153;Industrie;Overige broeikasgassen;2019 4e kwartaal;1.8
154;Industrie;Overige broeikasgassen;2019;7.2
155;Industrie;Overige broeikasgassen;2020 1e kwartaal;1.7
156;Industrie;Overige broeikasgassen;2020 2e kwartaal;1.6
157;Industrie;Overige broeikasgassen;2020 3e kwartaal;1.6
158;Industrie;Overige broeikasgassen;2020 4e kwartaal;1.6
159;Industrie;Overige broeikasgassen;2020;6.5
160;Industrie;Overige broeikasgassen;2021 1e kwartaal;1.5
161;Industrie;Overige broeikasgassen;2021 2e kwartaal;1.5
162;Industrie;Overige broeikasgassen;2021 3e kwartaal;1.5
163;Industrie;Overige broeikasgassen;2021 4e kwartaal;1.5
164;Industrie;Overige broeikasgassen;2021;6.0
165;Industrie;Overige broeikasgassen;2022 1e kwartaal;1.4
166;Industrie;Overige broeikasgassen;2022 2e kwartaal;1.3
167;Industrie;Overige broeikasgassen;2022 3e kwartaal;1.3
168;Industrie;Overige broeikasgassen;2022 4e kwartaal;1.3
169;Industrie;Overige broeikasgassen;2022;5.3
170;Industrie;Overige broeikasgassen;2023 1e kwartaal;1.3
171;Industrie;Overige broeikasgassen;2023 2e kwartaal;1.2
172;Industrie;Overige broeikasgassen;2023 3e kwartaal;1.2
173;Industrie;Overige broeikasgassen;2023 4e kwartaal;1.2
174;Industrie;Overige broeikasgassen;2023;4.9
175;Industrie;Overige broeikasgassen;2024 1e kwartaal;1.2
176;Industrie;Overige broeikasgassen;2024 2e kwartaal;1.2
177;Industrie;Overige broeikasgassen;2024 3e kwartaal;1.2
178;Industrie;Overige broeikasgassen;2024 4e kwartaal;1.2
179;Industrie;Overige broeikasgassen;2024;4.9
180;Elektriciteit;Totaal broeikasgassen;2019 1e kwartaal;12.4
181;Elektriciteit;Totaal broeikasgassen;2019 2e kwartaal;9.1
182;Elektriciteit;Totaal broeikasgassen;2019 3e kwartaal;8.7
183;Elektriciteit;Totaal broeikasgassen;2019 4e kwartaal;11.3
184;Elektriciteit;Totaal broeikasgassen;2019;41.6
185;Elektriciteit;Totaal broeikasgassen;2020 1e kwartaal;8.5
186;Elektriciteit;Totaal broeikasgassen;2020 2e kwartaal;6.5
187;Elektriciteit;Totaal broeikasgassen;2020 3e kwartaal;8.8
188;Elektriciteit;Totaal broeikasgassen;2020 4e kwartaal;8.7
189;Elektriciteit;Totaal broeikasgassen;2020;32.5
190;Elektriciteit;Totaal broeikasgassen;2021 1e kwartaal;9.0
191;Elektriciteit;Totaal broeikasgassen;2021 2e kwartaal;6.5
192;Elektriciteit;Totaal broeikasgassen;2021 3e kwartaal;7.3
193;Elektriciteit;Totaal broeikasgassen;2021 4e kwartaal;9.6
194;Elektriciteit;Totaal broeikasgassen;2021;32.4
195;Elektriciteit;Totaal broeikasgassen;2022 1e kwartaal;7.8
196;Elektriciteit;Totaal broeikasgassen;2022 2e kwartaal;6.6
197;Elektriciteit;Totaal broeikasgassen;2022 3e kwartaal;8.3
198;Elektriciteit;Totaal broeikasgassen;2022 4e kwartaal;7.9
199;Elektriciteit;Totaal broeikasgassen;2022;30.5
200;Elektriciteit;Totaal broeikasgassen;2023 1e kwartaal;7.5
201;Elektriciteit;Totaal broeikasgassen;2023 2e kwartaal;5.0
202;Elektriciteit;Totaal broeikasgassen;2023 3e kwartaal;5.2
203;Elektriciteit;Totaal broeikasgassen;2023 4e kwartaal;5.9
204;Elektriciteit;Totaal broeikasgassen;2023;23.6
205;Elektriciteit;Totaal broeikasgassen;2024 1e kwartaal;6.2
206;Elektriciteit;Totaal broeikasgassen;2024 2e kwartaal;4.2
207;Elektriciteit;Totaal broeikasgassen;2024 3e kwartaal;4.8
208;Elektriciteit;Totaal broeikasgassen;2024 4e kwartaal;7.7
209;Elektriciteit;Totaal broeikasgassen;2024;22.9
210;Elektriciteit;Koolstofdioxide (CO2);2019 1e kwartaal;12.3
211;Elektriciteit;Koolstofdioxide (CO2);2019 2e kwartaal;9.1
212;Elektriciteit;Koolstofdioxide (CO2);2019 3e kwartaal;8.7
213;Elektriciteit;Koolstofdioxide (CO2);2019 4e kwartaal;11.2
214;Elektriciteit;Koolstofdioxide (CO2);2019;41.3
215;Elektriciteit;Koolstofdioxide (CO2);2020 1e kwartaal;8.4
216;Elektriciteit;Koolstofdioxide (CO2);2020 2e kwartaal;6.5
217;Elektriciteit;Koolstofdioxide (CO2);2020 3e kwartaal;8.7
218;Elektriciteit;Koolstofdioxide (CO2);2020 4e kwartaal;8.7
219;Elektriciteit;Koolstofdioxide (CO2);2020;32.3
220;Elektriciteit;Koolstofdioxide (CO2);2021 1e kwartaal;8.9
221;Elektriciteit;Koolstofdioxide (CO2);2021 2e kwartaal;6.4
222;Elektriciteit;Koolstofdioxide (CO2);2021 3e kwartaal;7.3
223;Elektriciteit;Koolstofdioxide (CO2);2021 4e kwartaal;9.6
224;Elektriciteit;Koolstofdioxide (CO2);2021;32.2
225;Elektriciteit;Koolstofdioxide (CO2);2022 1e kwartaal;7.7
226;Elektriciteit;Koolstofdioxide (CO2);2022 2e kwartaal;6.5
227;Elektriciteit;Koolstofdioxide (CO2);2022 3e kwartaal;8.2
228;Elektriciteit;Koolstofdioxide (CO2);2022 4e kwartaal;7.9
229;Elektriciteit;Koolstofdioxide (CO2);2022;30.3
230;Elektriciteit;Koolstofdioxide (CO2);2023 1e kwartaal;7.5
231;Elektriciteit;Koolstofdioxide (CO2);2023 2e kwartaal;5.0
232;Elektriciteit;Koolstofdioxide (CO2);2023 3e kwartaal;5.1
233;Elektriciteit;Koolstofdioxide (CO2);2023 4e kwartaal;5.9
234;Elektriciteit;Koolstofdioxide (CO2);2023;23.4
235;Elektriciteit;Koolstofdioxide (CO2);2024 1e kwartaal;6.2
236;Elektriciteit;Koolstofdioxide (CO2);2024 2e kwartaal;4.1
237;Elektriciteit;Koolstofdioxide (CO2);2024 3e kwartaal;4.8
238;Elektriciteit;Koolstofdioxide (CO2);2024 4e kwartaal;7.6
239;Elektriciteit;Koolstofdioxide (CO2);2024;22.7
240;Elektriciteit;Overige broeikasgassen;2019 1e kwartaal;0.1
241;Elektriciteit;Overige broeikasgassen;2019 2e kwartaal;0.0
242;Elektriciteit;Overige broeikasgassen;2019 3e kwartaal;0.0
243;Elektriciteit;Overige broeikasgassen;2019 4e kwartaal;0.1
244;Elektriciteit;Overige broeikasgassen;2019;0.2
245;Elektriciteit;Overige broeikasgassen;2020 1e kwartaal;0.1
246;Elektriciteit;Overige broeikasgassen;2020 2e kwartaal;0.1
247;Elektriciteit;Overige broeikasgassen;2020 3e kwartaal;0.1
248;Elektriciteit;Overige broeikasgassen;2020 4e kwartaal;0.1
249;Elektriciteit;Overige broeikasgassen;2020;0.2
250;Elektriciteit;Overige broeikasgassen;2021 1e kwartaal;0.1
251;Elektriciteit;Overige broeikasgassen;2021 2e kwartaal;0.1
252;Elektriciteit;Overige broeikasgassen;2021 3e kwartaal;0.1
253;Elektriciteit;Overige broeikasgassen;2021 4e kwartaal;0.1
254;Elektriciteit;Overige broeikasgassen;2021;0.3
255;Elektriciteit;Overige broeikasgassen;2022 1e kwartaal;0.1
256;Elektriciteit;Overige broeikasgassen;2022 2e kwartaal;0.1
257;Elektriciteit;Overige broeikasgassen;2022 3e kwartaal;0.1
258;Elektriciteit;Overige broeikasgassen;2022 4e kwartaal;0.1
259;Elektriciteit;Overige broeikasgassen;2022;0.2
260;Elektriciteit;Overige broeikasgassen;2023 1e kwartaal;0.0
261;Elektriciteit;Overige broeikasgassen;2023 2e kwartaal;0.0
262;Elektriciteit;Overige broeikasgassen;2023 3e kwartaal;0.0
263;Elektriciteit;Overige broeikasgassen;2023 4e kwartaal;0.0
264;Elektriciteit;Overige broeikasgassen;2023;0.2
265;Elektriciteit;Overige broeikasgassen;2024 1e kwartaal;0.0
266;Elektriciteit;Overige broeikasgassen;2024 2e kwartaal;0.0
267;Elektriciteit;Overige broeikasgassen;2024 3e kwartaal;0.0
268;Elektriciteit;Overige broeikasgassen;2024 4e kwartaal;0.0
269;Elektriciteit;Overige broeikasgassen;2024;0.2
270;Mobiliteit;Totaal broeikasgassen;2019 1e kwartaal;8.4
271;Mobiliteit;Totaal broeikasgassen;2019 2e kwartaal;8.8
272;Mobiliteit;Totaal broeikasgassen;2019 3e kwartaal;8.4
273;Mobiliteit;Totaal broeikasgassen;2019 4e kwartaal;8.7
274;Mobiliteit;Totaal broeikasgassen;2019;34.4
275;Mobiliteit;Totaal broeikasgassen;2020 1e kwartaal;7.8
276;Mobiliteit;Totaal broeikasgassen;2020 2e kwartaal;7.0
277;Mobiliteit;Totaal broeikasgassen;2020 3e kwartaal;7.7
278;Mobiliteit;Totaal broeikasgassen;2020 4e kwartaal;7.5
279;Mobiliteit;Totaal broeikasgassen;2020;30.0
280;Mobiliteit;Totaal broeikasgassen;2021 1e kwartaal;6.8
281;Mobiliteit;Totaal broeikasgassen;2021 2e kwartaal;7.6
282;Mobiliteit;Totaal broeikasgassen;2021 3e kwartaal;7.6
283;Mobiliteit;Totaal broeikasgassen;2021 4e kwartaal;7.9
284;Mobiliteit;Totaal broeikasgassen;2021;29.9
285;Mobiliteit;Totaal broeikasgassen;2022 1e kwartaal;6.9
286;Mobiliteit;Totaal broeikasgassen;2022 2e kwartaal;7.7
287;Mobiliteit;Totaal broeikasgassen;2022 3e kwartaal;7.3
288;Mobiliteit;Totaal broeikasgassen;2022 4e kwartaal;7.8
289;Mobiliteit;Totaal broeikasgassen;2022;29.7
290;Mobiliteit;Totaal broeikasgassen;2023 1e kwartaal;7.7
291;Mobiliteit;Totaal broeikasgassen;2023 2e kwartaal;8.3
292;Mobiliteit;Totaal broeikasgassen;2023 3e kwartaal;7.0
293;Mobiliteit;Totaal broeikasgassen;2023 4e kwartaal;7.8
294;Mobiliteit;Totaal broeikasgassen;2023;30.8
295;Mobiliteit;Totaal broeikasgassen;2024 1e kwartaal;7.3
296;Mobiliteit;Totaal broeikasgassen;2024 2e kwartaal;7.3
297;Mobiliteit;Totaal broeikasgassen;2024 3e kwartaal;7.0
298;Mobiliteit;Totaal broeikasgassen;2024 4e kwartaal;7.2
299;Mobiliteit;Totaal broeikasgassen;2024;28.8
300;Mobiliteit;Koolstofdioxide (CO2);2019 1e kwartaal;8.2
301;Mobiliteit;Koolstofdioxide (CO2);2019 2e kwartaal;8.6
302;Mobiliteit;Koolstofdioxide (CO2);2019 3e kwartaal;8.2
303;Mobiliteit;Koolstofdioxide (CO2);2019 4e kwartaal;8.5
304;Mobiliteit;Koolstofdioxide (CO2);2019;33.6
305;Mobiliteit;Koolstofdioxide (CO2);2020 1e kwartaal;7.6
306;Mobiliteit;Koolstofdioxide (CO2);2020 2e kwartaal;6.9
307;Mobiliteit;Koolstofdioxide (CO2);2020 3e kwartaal;7.6
308;Mobiliteit;Koolstofdioxide (CO2);2020 4e kwartaal;7.3
309;Mobiliteit;Koolstofdioxide (CO2);2020;29.3
310;Mobiliteit;Koolstofdioxide (CO2);2021 1e kwartaal;6.6
311;Mobiliteit;Koolstofdioxide (CO2);2021 2e kwartaal;7.4
312;Mobiliteit;Koolstofdioxide (CO2);2021 3e kwartaal;7.4
313;Mobiliteit;Koolstofdioxide (CO2);2021 4e kwartaal;7.7
314;Mobiliteit;Koolstofdioxide (CO2);2021;29.2
315;Mobiliteit;Koolstofdioxide (CO2);2022 1e kwartaal;6.7
316;Mobiliteit;Koolstofdioxide (CO2);2022 2e kwartaal;7.5
317;Mobiliteit;Koolstofdioxide (CO2);2022 3e kwartaal;7.1
318;Mobiliteit;Koolstofdioxide (CO2);2022 4e kwartaal;7.6
319;Mobiliteit;Koolstofdioxide (CO2);2022;29.0
320;Mobiliteit;Koolstofdioxide (CO2);2023 1e kwartaal;7.5
321;Mobiliteit;Koolstofdioxide (CO2);2023 2e kwartaal;8.1
322;Mobiliteit;Koolstofdioxide (CO2);2023 3e kwartaal;6.8
323;Mobiliteit;Koolstofdioxide (CO2);2023 4e kwartaal;7.6
324;Mobiliteit;Koolstofdioxide (CO2);2023;30.1
325;Mobiliteit;Koolstofdioxide (CO2);2024 1e kwartaal;7.1
326;Mobiliteit;Koolstofdioxide (CO2);2024 2e kwartaal;7.1
327;Mobiliteit;Koolstofdioxide (CO2);2024 3e kwartaal;6.8
328;Mobiliteit;Koolstofdioxide (CO2);2024 4e kwartaal;7.1
329;Mobiliteit;Koolstofdioxide (CO2);2024;28.1
330;Mobiliteit;Overige broeikasgassen;2019 1e kwartaal;0.2
331;Mobiliteit;Overige broeikasgassen;2019 2e kwartaal;0.2
332;Mobiliteit;Overige broeikasgassen;2019 3e kwartaal;0.2
333;Mobiliteit;Overige broeikasgassen;2019 4e kwartaal;0.2
334;Mobiliteit;Overige broeikasgassen;2019;0.8
335;Mobiliteit;Overige broeikasgassen;2020 1e kwartaal;0.2
336;Mobiliteit;Overige broeikasgassen;2020 2e kwartaal;0.2
337;Mobiliteit;Overige broeikasgassen;2020 3e kwartaal;0.2
338;Mobiliteit;Overige broeikasgassen;2020 4e kwartaal;0.2
339;Mobiliteit;Overige broeikasgassen;2020;0.7
340;Mobiliteit;Overige broeikasgassen;2021 1e kwartaal;0.2
341;Mobiliteit;Overige broeikasgassen;2021 2e kwartaal;0.2
342;Mobiliteit;Overige broeikasgassen;2021 3e kwartaal;0.2
343;Mobiliteit;Overige broeikasgassen;2021 4e kwartaal;0.2
344;Mobiliteit;Overige broeikasgassen;2021;0.7
345;Mobiliteit;Overige broeikasgassen;2022 1e kwartaal;0.2
346;Mobiliteit;Overige broeikasgassen;2022 2e kwartaal;0.2
347;Mobiliteit;Overige broeikasgassen;2022 3e kwartaal;0.2
348;Mobiliteit;Overige broeikasgassen;2022 4e kwartaal;0.2
349;Mobiliteit;Overige broeikasgassen;2022;0.7
350;Mobiliteit;Overige broeikasgassen;2023 1e kwartaal;0.2
351;Mobiliteit;Overige broeikasgassen;2023 2e kwartaal;0.2
352;Mobiliteit;Overige broeikasgassen;2023 3e kwartaal;0.2
353;Mobiliteit;Overige broeikasgassen;2023 4e kwartaal;0.2
354;Mobiliteit;Overige broeikasgassen;2023;0.7
355;Mobiliteit;Overige broeikasgassen;2024 1e kwartaal;0.2
356;Mobiliteit;Overige broeikasgassen;2024 2e kwartaal;0.2
357;Mobiliteit;Overige broeikasgassen;2024 3e kwartaal;0.2
358;Mobiliteit;Overige broeikasgassen;2024 4e kwartaal;0.2
359;Mobiliteit;Overige broeikasgassen;2024;0.7
360;Landbouw;Totaal broeikasgassen;2019 1e kwartaal;7.9
361;Landbouw;Totaal broeikasgassen;2019 2e kwartaal;6.4
362;Landbouw;Totaal broeikasgassen;2019 3e kwartaal;6.0
363;Landbouw;Totaal broeikasgassen;2019 4e kwartaal;7.3
364;Landbouw;Totaal broeikasgassen;2019;27.5
365;Landbouw;Totaal broeikasgassen;2020 1e kwartaal;7.7
366;Landbouw;Totaal broeikasgassen;2020 2e kwartaal;6.2
367;Landbouw;Totaal broeikasgassen;2020 3e kwartaal;6.0
368;Landbouw;Totaal broeikasgassen;2020 4e kwartaal;7.2
369;Landbouw;Totaal broeikasgassen;2020;27.1
370;Landbouw;Totaal broeikasgassen;2021 1e kwartaal;7.8
371;Landbouw;Totaal broeikasgassen;2021 2e kwartaal;6.5
372;Landbouw;Totaal broeikasgassen;2021 3e kwartaal;6.0
373;Landbouw;Totaal broeikasgassen;2021 4e kwartaal;6.8
374;Landbouw;Totaal broeikasgassen;2021;27.0
375;Landbouw;Totaal broeikasgassen;2022 1e kwartaal;7.0
376;Landbouw;Totaal broeikasgassen;2022 2e kwartaal;5.9
377;Landbouw;Totaal broeikasgassen;2022 3e kwartaal;5.4
378;Landbouw;Totaal broeikasgassen;2022 4e kwartaal;6.1
379;Landbouw;Totaal broeikasgassen;2022;24.4
380;Landbouw;Totaal broeikasgassen;2023 1e kwartaal;6.8
381;Landbouw;Totaal broeikasgassen;2023 2e kwartaal;6.0
382;Landbouw;Totaal broeikasgassen;2023 3e kwartaal;5.8
383;Landbouw;Totaal broeikasgassen;2023 4e kwartaal;6.3
384;Landbouw;Totaal broeikasgassen;2023;24.9
385;Landbouw;Totaal broeikasgassen;2024 1e kwartaal;7.0
