ID;KenmerkenInstallaties;Perioden;Productie_1;VerbruikGasmotorenWKKInstallatie_2;VerbruikGasmotorenDirecteAandrijving_3;VerbruikVoorOpwarmingSlibgistingstank_4;VerbruikVoorSlibontwatering_5;Afgefakkeld_6;Afgeblazen_7;VerbruikOfToepassingOnbekend_8;Aflevering_9;Aankoop_10;ProductieInWKKInstallaties_11;TotaalVerbruik_12;Warmteproductie_13;Aardgasverbruik_14;HuisbrandolieVerbruik_15;VerbruikPerKgVerwijdBZVGemiddelde_16;VerbruikPerKgVerwijdBZVLandelijk_17;AandeelBeluchtingInTotaalverbruik_18
208;Parallelle installaties;2005;2804;2583;0.0;0;0;186;0.0;35;0;19;5;24;29.0;529;0;6.6;5.4;53
209;Parallelle installaties;2006;2571;2323;0.0;0;0;196;0.0;53;0;16;6;22;30.0;761;0;6.5;4.4;53
210;Parallelle installaties;2007;2770;2202;0.0;42;0;466;0.0;60;0;26;5;31;25.0;589;0;7.2;5.3;54
211;Parallelle installaties;2008;2759;2467;0.0;0;0;284;0.0;8;0;28;5;34;22.0;623;0;7.9;5.2;54
212;Parallelle installaties;2009;3272;2613;0.0;45;0;568;0.0;47;0;26;5;31;19.0;453;0;6.9;5.9;57
213;Parallelle installaties;2010;4609;3235;0.0;35;0;212;20.0;91;1016;41;6;47;25.0;510;0;6.9;5.9;53
214;Parallelle installaties;2011;2496;895;0.0;22;0;538;0.0;527;0;38;2;40;11.0;180;0;6.4;5.6;52
215;Parallelle installaties;2012;2756;1226;0.0;0;0;161;0.0;1368;0;38;2;40;13.0;160;0;6.3;5.5;54
216;Tweetrapsinstallaties;1981;8255;1208;;944;0;2213;;3890;0;31;5;36;;868;274;3.2;2.4;51
217;Tweetrapsinstallaties;1985;12490;7075;;2379;0;1955;;1082;0;36;12;48;;1728;518;3.4;2.7;44
218;Tweetrapsinstallaties;1990;17934;14761;;1540;0;1252;;380;0;59;22;80;;1368;27;4.0;4.2;47
219;Tweetrapsinstallaties;1991;20598;12322;;1904;0;1006;;5366;0;60;31;90;;1930;848;4.3;4.3;47
220;Tweetrapsinstallaties;1992;17285;9908;;3110;0;1047;;3221;0;56;26;82;;1534;629;4.6;4.7;63
221;Tweetrapsinstallaties;1993;19771;11207;;2565;0;1456;;4542;0;64;23;87;;2429;507;5.0;4.4;48
222;Tweetrapsinstallaties;1995;18583;13287;;3364;0;1841;;91;0;66;23;89;;1434;313;5.5;5.3;47
223;Tweetrapsinstallaties;1996;17539;13607;;2629;0;1302;;1;0;67;23;90;;1002;357;5.0;5.7;47
