ID;RedenBeeindiging;RegioS;Perioden;WmoClienten_1;WmoClientenPer1000Inwoners_2
51;Totaal;Aalburg;1e halfjaar 2023;;
52;Totaal;Aalburg;2e halfjaar 2023;;
53;Totaal;Aalburg;2023;;
54;Totaal;Aalsmeer;1e halfjaar 2015;;
55;Totaal;Aalsmeer;2e halfjaar 2015;;
56;Totaal;Aalsmeer;2015;;
57;Totaal;Aalsmeer;1e halfjaar 2016;;
58;Totaal;Aalsmeer;2e halfjaar 2016;405.0;13.0
59;Totaal;Aalsmeer;2016;;
60;Totaal;Aalsmeer;1e halfjaar 2017;390.0;12.0
61;Totaal;Aalsmeer;2e halfjaar 2017;305.0;10.0
62;Totaal;Aalsmeer;2017;640.0;20.0
63;Totaal;Aalsmeer;1e halfjaar 2018;;
64;Totaal;Aalsmeer;2e halfjaar 2018;;
65;Totaal;Aalsmeer;2018;;
66;Totaal;Aalsmeer;1e halfjaar 2019;;
67;Totaal;Aalsmeer;2e halfjaar 2019;;
68;Totaal;Aalsmeer;2019;;
69;Totaal;Aalsmeer;1e halfjaar 2020;;
70;Totaal;Aalsmeer;2e halfjaar 2020;;
71;Totaal;Aalsmeer;2020;;
72;Totaal;Aalsmeer;1e halfjaar 2021;;
73;Totaal;Aalsmeer;2e halfjaar 2021;;
74;Totaal;Aalsmeer;2021;;
75;Totaal;Aalsmeer;1e halfjaar 2022;;
76;Totaal;Aalsmeer;2e halfjaar 2022;;
77;Totaal;Aalsmeer;2022;;
78;Totaal;Aalsmeer;1e halfjaar 2023;100.0;3.0
79;Totaal;Aalsmeer;2e halfjaar 2023;225.0;7.0
80;Totaal;Aalsmeer;2023;310.0;9.0
81;Totaal;Aalten;1e halfjaar 2015;130.0;0.0
82;Totaal;Aalten;2e halfjaar 2015;735.0;25.0
83;Totaal;Aalten;2015;840.0;30.0
84;Totaal;Aalten;1e halfjaar 2016;200.0;7.0
85;Totaal;Aalten;2e halfjaar 2016;;
86;Totaal;Aalten;2016;;
87;Totaal;Aalten;1e halfjaar 2017;505.0;19.0
88;Totaal;Aalten;2e halfjaar 2017;1110.0;41.0
89;Totaal;Aalten;2017;1270.0;47.0
90;Totaal;Aalten;1e halfjaar 2018;370.0;14.0
91;Totaal;Aalten;2e halfjaar 2018;430.0;16.0
92;Totaal;Aalten;2018;690.0;26.0
93;Totaal;Aalten;1e halfjaar 2019;610.0;23.0
94;Totaal;Aalten;2e halfjaar 2019;685.0;25.0
95;Totaal;Aalten;2019;1070.0;40.0
96;Totaal;Aalten;1e halfjaar 2020;225.0;8.0
97;Totaal;Aalten;2e halfjaar 2020;285.0;11.0
98;Totaal;Aalten;2020;485.0;18.0
99;Totaal;Aalten;1e halfjaar 2021;410.0;15.0
100;Totaal;Aalten;2e halfjaar 2021;555.0;20.0
101;Totaal;Aalten;2021;910.0;34.0
102;Totaal;Aalten;1e halfjaar 2022;455.0;17.0
103;Totaal;Aalten;2e halfjaar 2022;325.0;12.0
104;Totaal;Aalten;2022;690.0;25.0
105;Totaal;Aalten;1e halfjaar 2023;275.0;10.0
106;Totaal;Aalten;2e halfjaar 2023;270.0;10.0
107;Totaal;Aalten;2023;525.0;19.0
108;Totaal;Achtkarspelen;1e halfjaar 2015;225.0;10.0
109;Totaal;Achtkarspelen;2e halfjaar 2015;1400.0;50.0
110;Totaal;Achtkarspelen;2015;1510.0;55.0
111;Totaal;Achtkarspelen;1e halfjaar 2016;1300.0;46.0
112;Totaal;Achtkarspelen;2e halfjaar 2016;;
113;Totaal;Achtkarspelen;2016;;
114;Totaal;Achtkarspelen;1e halfjaar 2017;260.0;9.0
115;Totaal;Achtkarspelen;2e halfjaar 2017;485.0;17.0
116;Totaal;Achtkarspelen;2017;685.0;25.0
117;Totaal;Achtkarspelen;1e halfjaar 2018;500.0;18.0
118;Totaal;Achtkarspelen;2e halfjaar 2018;475.0;17.0
119;Totaal;Achtkarspelen;2018;840.0;30.0
120;Totaal;Achtkarspelen;1e halfjaar 2019;425.0;15.0
121;Totaal;Achtkarspelen;2e halfjaar 2019;660.0;24.0
122;Totaal;Achtkarspelen;2019;940.0;34.0
123;Totaal;Achtkarspelen;1e halfjaar 2020;280.0;10.0
124;Totaal;Achtkarspelen;2e halfjaar 2020;385.0;14.0
125;Totaal;Achtkarspelen;2020;620.0;22.0
126;Totaal;Achtkarspelen;1e halfjaar 2021;275.0;10.0
127;Totaal;Achtkarspelen;2e halfjaar 2021;425.0;15.0
128;Totaal;Achtkarspelen;2021;665.0;24.0
129;Totaal;Achtkarspelen;1e halfjaar 2022;235.0;8.0
130;Totaal;Achtkarspelen;2e halfjaar 2022;400.0;14.0
131;Totaal;Achtkarspelen;2022;590.0;21.0
132;Totaal;Achtkarspelen;1e halfjaar 2023;255.0;9.0
133;Totaal;Achtkarspelen;2e halfjaar 2023;310.0;11.0
134;Totaal;Achtkarspelen;2023;540.0;19.0
135;Totaal;Alblasserdam;1e halfjaar 2015;85.0;0.0
136;Totaal;Alblasserdam;2e halfjaar 2015;155.0;10.0
137;Totaal;Alblasserdam;2015;225.0;10.0
138;Totaal;Alblasserdam;1e halfjaar 2016;;
139;Totaal;Alblasserdam;2e halfjaar 2016;;
140;Totaal;Alblasserdam;2016;;
141;Totaal;Alblasserdam;1e halfjaar 2017;;
142;Totaal;Alblasserdam;2e halfjaar 2017;260.0;13.0
143;Totaal;Alblasserdam;2017;;
144;Totaal;Alblasserdam;1e halfjaar 2018;210.0;10.0
145;Totaal;Alblasserdam;2e halfjaar 2018;220.0;11.0
146;Totaal;Alblasserdam;2018;390.0;19.0
147;Totaal;Alblasserdam;1e halfjaar 2019;240.0;12.0
148;Totaal;Alblasserdam;2e halfjaar 2019;245.0;12.0
149;Totaal;Alblasserdam;2019;435.0;22.0
150;Totaal;Alblasserdam;1e halfjaar 2020;115.0;6.0
151;Totaal;Alblasserdam;2e halfjaar 2020;215.0;11.0
152;Totaal;Alblasserdam;2020;315.0;16.0
153;Totaal;Alblasserdam;1e halfjaar 2021;155.0;8.0
154;Totaal;Alblasserdam;2e halfjaar 2021;140.0;7.0
155;Totaal;Alblasserdam;2021;280.0;14.0
156;Totaal;Alblasserdam;1e halfjaar 2022;120.0;6.0
157;Totaal;Alblasserdam;2e halfjaar 2022;140.0;7.0
158;Totaal;Alblasserdam;2022;250.0;12.0
159;Totaal;Alblasserdam;1e halfjaar 2023;110.0;5.0
160;Totaal;Alblasserdam;2e halfjaar 2023;105.0;5.0
161;Totaal;Alblasserdam;2023;210.0;10.0
162;Totaal;Albrandswaard;1e halfjaar 2015;;
163;Totaal;Albrandswaard;2e halfjaar 2015;;
164;Totaal;Albrandswaard;2015;;
165;Totaal;Albrandswaard;1e halfjaar 2016;;
166;Totaal;Albrandswaard;2e halfjaar 2016;130.0;5.0
167;Totaal;Albrandswaard;2016;;
168;Totaal;Albrandswaard;1e halfjaar 2017;340.0;14.0
169;Totaal;Albrandswaard;2e halfjaar 2017;215.0;9.0
170;Totaal;Albrandswaard;2017;495.0;20.0
171;Totaal;Albrandswaard;1e halfjaar 2018;155.0;6.0
172;Totaal;Albrandswaard;2e halfjaar 2018;370.0;15.0
173;Totaal;Albrandswaard;2018;480.0;19.0
174;Totaal;Albrandswaard;1e halfjaar 2019;260.0;10.0
175;Totaal;Albrandswaard;2e halfjaar 2019;220.0;9.0
176;Totaal;Albrandswaard;2019;455.0;18.0
177;Totaal;Albrandswaard;1e halfjaar 2020;135.0;5.0
178;Totaal;Albrandswaard;2e halfjaar 2020;570.0;22.0
179;Totaal;Albrandswaard;2020;695.0;27.0
180;Totaal;Albrandswaard;1e halfjaar 2021;130.0;5.0
181;Totaal;Albrandswaard;2e halfjaar 2021;300.0;12.0
182;Totaal;Albrandswaard;2021;415.0;16.0
183;Totaal;Albrandswaard;1e halfjaar 2022;145.0;6.0
184;Totaal;Albrandswaard;2e halfjaar 2022;185.0;7.0
185;Totaal;Albrandswaard;2022;325.0;13.0
186;Totaal;Albrandswaard;1e halfjaar 2023;160.0;6.0
187;Totaal;Albrandswaard;2e halfjaar 2023;180.0;7.0
188;Totaal;Albrandswaard;2023;325.0;12.0
189;Totaal;Alkmaar;1e halfjaar 2015;;
190;Totaal;Alkmaar;2e halfjaar 2015;;
191;Totaal;Alkmaar;2015;;
192;Totaal;Alkmaar;1e halfjaar 2016;;
193;Totaal;Alkmaar;2e halfjaar 2016;1680.0;16.0
194;Totaal;Alkmaar;2016;;
195;Totaal;Alkmaar;1e halfjaar 2017;3175.0;29.0
196;Totaal;Alkmaar;2e halfjaar 2017;1760.0;16.0
197;Totaal;Alkmaar;2017;3915.0;36.0
198;Totaal;Alkmaar;1e halfjaar 2018;1625.0;15.0
199;Totaal;Alkmaar;2e halfjaar 2018;1795.0;17.0
200;Totaal;Alkmaar;2018;3030.0;28.0
201;Totaal;Alkmaar;1e halfjaar 2019;1750.0;16.0
202;Totaal;Alkmaar;2e halfjaar 2019;3085.0;28.0
203;Totaal;Alkmaar;2019;3970.0;37.0
204;Totaal;Alkmaar;1e halfjaar 2020;910.0;8.0
205;Totaal;Alkmaar;2e halfjaar 2020;2580.0;24.0
206;Totaal;Alkmaar;2020;3295.0;30.0
207;Totaal;Alkmaar;1e halfjaar 2021;1055.0;10.0
208;Totaal;Alkmaar;2e halfjaar 2021;1165.0;11.0
209;Totaal;Alkmaar;2021;2090.0;19.0
210;Totaal;Alkmaar;1e halfjaar 2022;855.0;8.0
211;Totaal;Alkmaar;2e halfjaar 2022;1025.0;9.0
212;Totaal;Alkmaar;2022;1785.0;16.0
213;Totaal;Alkmaar;1e halfjaar 2023;950.0;8.0
214;Totaal;Alkmaar;2e halfjaar 2023;1095.0;10.0
215;Totaal;Alkmaar;2023;1935.0;17.0
216;Totaal;Almelo;1e halfjaar 2015;1540.0;20.0
217;Totaal;Almelo;2e halfjaar 2015;3065.0;40.0
218;Totaal;Almelo;2015;3655.0;50.0
219;Totaal;Almelo;1e halfjaar 2016;1340.0;18.0
220;Totaal;Almelo;2e halfjaar 2016;1710.0;24.0
221;Totaal;Almelo;2016;2720.0;38.0
222;Totaal;Almelo;1e halfjaar 2017;1495.0;21.0
223;Totaal;Almelo;2e halfjaar 2017;3300.0;46.0
224;Totaal;Almelo;2017;4160.0;57.0
225;Totaal;Almelo;1e halfjaar 2018;1325.0;18.0
226;Totaal;Almelo;2e halfjaar 2018;1500.0;21.0
227;Totaal;Almelo;2018;2390.0;33.0
228;Totaal;Almelo;1e halfjaar 2019;1525.0;21.0
229;Totaal;Almelo;2e halfjaar 2019;1590.0;22.0
230;Totaal;Almelo;2019;2620.0;36.0
231;Totaal;Almelo;1e halfjaar 2020;620.0;8.0
232;Totaal;Almelo;2e halfjaar 2020;3495.0;48.0
233;Totaal;Almelo;2020;3975.0;54.0
234;Totaal;Almelo;1e halfjaar 2021;770.0;11.0
235;Totaal;Almelo;2e halfjaar 2021;1045.0;14.0
236;Totaal;Almelo;2021;1755.0;24.0
237;Totaal;Almelo;1e halfjaar 2022;735.0;10.0
238;Totaal;Almelo;2e halfjaar 2022;870.0;12.0
239;Totaal;Almelo;2022;1545.0;21.0
240;Totaal;Almelo;1e halfjaar 2023;750.0;10.0
241;Totaal;Almelo;2e halfjaar 2023;3220.0;44.0
242;Totaal;Almelo;2023;3845.0;52.0
243;Totaal;Almere;1e halfjaar 2015;;
244;Totaal;Almere;2e halfjaar 2015;;
245;Totaal;Almere;2015;;
246;Totaal;Almere;1e halfjaar 2016;;
247;Totaal;Almere;2e halfjaar 2016;;
248;Totaal;Almere;2016;;
249;Totaal;Almere;1e halfjaar 2017;1790.0;9.0
250;Totaal;Almere;2e halfjaar 2017;1855.0;9.0
251;Totaal;Almere;2017;3280.0;16.0
252;Totaal;Almere;1e halfjaar 2018;3695.0;18.0
253;Totaal;Almere;2e halfjaar 2018;3935.0;19.0
254;Totaal;Almere;2018;6115.0;30.0
255;Totaal;Almere;1e halfjaar 2019;1595.0;8.0
256;Totaal;Almere;2e halfjaar 2019;2210.0;11.0
257;Totaal;Almere;2019;3495.0;17.0
258;Totaal;Almere;1e halfjaar 2020;1100.0;5.0
259;Totaal;Almere;2e halfjaar 2020;6285.0;30.0
260;Totaal;Almere;2020;7145.0;34.0
261;Totaal;Almere;1e halfjaar 2021;1875.0;9.0
262;Totaal;Almere;2e halfjaar 2021;1670.0;8.0
263;Totaal;Almere;2021;3385.0;16.0
264;Totaal;Almere;1e halfjaar 2022;1300.0;6.0
265;Totaal;Almere;2e halfjaar 2022;2435.0;11.0
266;Totaal;Almere;2022;3615.0;17.0
267;Totaal;Almere;1e halfjaar 2023;2490.0;11.0
268;Totaal;Almere;2e halfjaar 2023;3985.0;18.0
269;Totaal;Almere;2023;6160.0;28.0
270;Totaal;Alphen aan den Rijn;1e halfjaar 2015;;
271;Totaal;Alphen aan den Rijn;2e halfjaar 2015;;
272;Totaal;Alphen aan den Rijn;2015;;
273;Totaal;Alphen aan den Rijn;1e halfjaar 2016;;
274;Totaal;Alphen aan den Rijn;2e halfjaar 2016;;
275;Totaal;Alphen aan den Rijn;2016;;
276;Totaal;Alphen aan den Rijn;1e halfjaar 2017;420.0;4.0
277;Totaal;Alphen aan den Rijn;2e halfjaar 2017;435.0;4.0
278;Totaal;Alphen aan den Rijn;2017;825.0;8.0
279;Totaal;Alphen aan den Rijn;1e halfjaar 2018;485.0;4.0
280;Totaal;Alphen aan den Rijn;2e halfjaar 2018;625.0;6.0
281;Totaal;Alphen aan den Rijn;2018;1050.0;10.0
282;Totaal;Alphen aan den Rijn;1e halfjaar 2019;590.0;5.0
283;Totaal;Alphen aan den Rijn;2e halfjaar 2019;1130.0;10.0
284;Totaal;Alphen aan den Rijn;2019;1615.0;15.0
285;Totaal;Alphen aan den Rijn;1e halfjaar 2020;435.0;4.0
286;Totaal;Alphen aan den Rijn;2e halfjaar 2020;2275.0;20.0
287;Totaal;Alphen aan den Rijn;2020;2630.0;24.0
288;Totaal;Alphen aan den Rijn;1e halfjaar 2021;530.0;5.0
289;Totaal;Alphen aan den Rijn;2e halfjaar 2021;1445.0;13.0
290;Totaal;Alphen aan den Rijn;2021;1895.0;17.0
291;Totaal;Alphen aan den Rijn;1e halfjaar 2022;670.0;6.0
292;Totaal;Alphen aan den Rijn;2e halfjaar 2022;705.0;6.0
293;Totaal;Alphen aan den Rijn;2022;1290.0;11.0
294;Totaal;Alphen aan den Rijn;1e halfjaar 2023;665.0;6.0
295;Totaal;Alphen aan den Rijn;2e halfjaar 2023;615.0;5.0
296;Totaal;Alphen aan den Rijn;2023;1210.0;11.0
297;Totaal;Alphen-Chaam;1e halfjaar 2015;;
298;Totaal;Alphen-Chaam;2e halfjaar 2015;;
299;Totaal;Alphen-Chaam;2015;;
300;Totaal;Alphen-Chaam;1e halfjaar 2016;;
301;Totaal;Alphen-Chaam;2e halfjaar 2016;95.0;10.0
302;Totaal;Alphen-Chaam;2016;;
303;Totaal;Alphen-Chaam;1e halfjaar 2017;105.0;10.0
304;Totaal;Alphen-Chaam;2e halfjaar 2017;75.0;7.0
305;Totaal;Alphen-Chaam;2017;160.0;16.0
306;Totaal;Alphen-Chaam;1e halfjaar 2018;75.0;7.0
307;Totaal;Alphen-Chaam;2e halfjaar 2018;65.0;6.0
308;Totaal;Alphen-Chaam;2018;125.0;12.0
309;Totaal;Alphen-Chaam;1e halfjaar 2019;100.0;10.0
310;Totaal;Alphen-Chaam;2e halfjaar 2019;85.0;8.0
311;Totaal;Alphen-Chaam;2019;170.0;17.0
312;Totaal;Alphen-Chaam;1e halfjaar 2020;55.0;5.0
313;Totaal;Alphen-Chaam;2e halfjaar 2020;115.0;11.0
314;Totaal;Alphen-Chaam;2020;170.0;17.0
315;Totaal;Alphen-Chaam;1e halfjaar 2021;60.0;6.0
316;Totaal;Alphen-Chaam;2e halfjaar 2021;75.0;7.0
317;Totaal;Alphen-Chaam;2021;130.0;13.0
318;Totaal;Alphen-Chaam;1e halfjaar 2022;60.0;6.0
319;Totaal;Alphen-Chaam;2e halfjaar 2022;195.0;19.0
320;Totaal;Alphen-Chaam;2022;245.0;24.0
321;Totaal;Alphen-Chaam;1e halfjaar 2023;90.0;9.0
322;Totaal;Alphen-Chaam;2e halfjaar 2023;75.0;7.0
323;Totaal;Alphen-Chaam;2023;160.0;15.0
324;Totaal;Altena;1e halfjaar 2015;;
325;Totaal;Altena;2e halfjaar 2015;;
326;Totaal;Altena;2015;;
327;Totaal;Altena;1e halfjaar 2016;;
328;Totaal;Altena;2e halfjaar 2016;;
329;Totaal;Altena;2016;;
330;Totaal;Altena;1e halfjaar 2017;;
331;Totaal;Altena;2e halfjaar 2017;;
332;Totaal;Altena;2017;;
333;Totaal;Altena;1e halfjaar 2018;;
334;Totaal;Altena;2e halfjaar 2018;;
335;Totaal;Altena;2018;;
336;Totaal;Altena;1e halfjaar 2019;710.0;13.0
337;Totaal;Altena;2e halfjaar 2019;605.0;11.0
338;Totaal;Altena;2019;1155.0;21.0
339;Totaal;Altena;1e halfjaar 2020;295.0;5.0
340;Totaal;Altena;2e halfjaar 2020;855.0;15.0
341;Totaal;Altena;2020;1105.0;20.0
342;Totaal;Altena;1e halfjaar 2021;395.0;7.0
343;Totaal;Altena;2e halfjaar 2021;425.0;8.0
344;Totaal;Altena;2021;795.0;14.0
345;Totaal;Altena;1e halfjaar 2022;355.0;6.0
346;Totaal;Altena;2e halfjaar 2022;400.0;7.0
347;Totaal;Altena;2022;735.0;13.0
348;Totaal;Altena;1e halfjaar 2023;425.0;7.0
349;Totaal;Altena;2e halfjaar 2023;710.0;12.0
350;Totaal;Altena;2023;1085.0;19.0
351;Totaal;Ameland;1e halfjaar 2015;0.0;
352;Totaal;Ameland;2e halfjaar 2015;10.0;0.0
353;Totaal;Ameland;2015;10.0;0.0
354;Totaal;Ameland;1e halfjaar 2016;;
355;Totaal;Ameland;2e halfjaar 2016;;
356;Totaal;Ameland;2016;;
357;Totaal;Ameland;1e halfjaar 2017;10.0;3.0
358;Totaal;Ameland;2e halfjaar 2017;55.0;15.0
359;Totaal;Ameland;2017;65.0;18.0
360;Totaal;Ameland;1e halfjaar 2018;45.0;12.0
361;Totaal;Ameland;2e halfjaar 2018;55.0;15.0
362;Totaal;Ameland;2018;95.0;26.0
363;Totaal;Ameland;1e halfjaar 2019;25.0;7.0
364;Totaal;Ameland;2e halfjaar 2019;40.0;11.0
365;Totaal;Ameland;2019;60.0;16.0
366;Totaal;Ameland;1e halfjaar 2020;30.0;8.0
367;Totaal;Ameland;2e halfjaar 2020;30.0;8.0
368;Totaal;Ameland;2020;55.0;15.0
369;Totaal;Ameland;1e halfjaar 2021;25.0;7.0
370;Totaal;Ameland;2e halfjaar 2021;50.0;13.0
371;Totaal;Ameland;2021;70.0;19.0
372;Totaal;Ameland;1e halfjaar 2022;35.0;9.0
373;Totaal;Ameland;2e halfjaar 2022;55.0;15.0
374;Totaal;Ameland;2022;90.0;24.0
375;Totaal;Ameland;1e halfjaar 2023;30.0;8.0
376;Totaal;Ameland;2e halfjaar 2023;30.0;8.0
377;Totaal;Ameland;2023;55.0;14.0
378;Totaal;Amersfoort;1e halfjaar 2015;;
379;Totaal;Amersfoort;2e halfjaar 2015;;
380;Totaal;Amersfoort;2015;;
381;Totaal;Amersfoort;1e halfjaar 2016;;
382;Totaal;Amersfoort;2e halfjaar 2016;2320.0;15.0
383;Totaal;Amersfoort;2016;;
384;Totaal;Amersfoort;1e halfjaar 2017;2145.0;14.0
385;Totaal;Amersfoort;2e halfjaar 2017;2440.0;16.0
386;Totaal;Amersfoort;2017;4070.0;26.0
387;Totaal;Amersfoort;1e halfjaar 2018;2310.0;15.0
388;Totaal;Amersfoort;2e halfjaar 2018;6020.0;39.0
389;Totaal;Amersfoort;2018;7030.0;45.0
390;Totaal;Amersfoort;1e halfjaar 2019;3105.0;20.0
391;Totaal;Amersfoort;2e halfjaar 2019;3050.0;20.0
392;Totaal;Amersfoort;2019;5245.0;34.0
393;Totaal;Amersfoort;1e halfjaar 2020;1385.0;9.0
394;Totaal;Amersfoort;2e halfjaar 2020;3105.0;20.0
395;Totaal;Amersfoort;2020;4270.0;27.0
396;Totaal;Amersfoort;1e halfjaar 2021;1690.0;11.0
397;Totaal;Amersfoort;2e halfjaar 2021;2170.0;14.0
398;Totaal;Amersfoort;2021;3630.0;23.0
399;Totaal;Amersfoort;1e halfjaar 2022;1730.0;11.0
400;Totaal;Amersfoort;2e halfjaar 2022;4665.0;29.0
401;Totaal;Amersfoort;2022;5965.0;38.0
402;Totaal;Amersfoort;1e halfjaar 2023;1435.0;9.0
403;Totaal;Amersfoort;2e halfjaar 2023;1655.0;10.0
404;Totaal;Amersfoort;2023;2930.0;18.0
405;Totaal;Amstelveen;1e halfjaar 2015;;
406;Totaal;Amstelveen;2e halfjaar 2015;;
407;Totaal;Amstelveen;2015;;
408;Totaal;Amstelveen;1e halfjaar 2016;;
409;Totaal;Amstelveen;2e halfjaar 2016;1095.0;12.0
410;Totaal;Amstelveen;2016;;
411;Totaal;Amstelveen;1e halfjaar 2017;895.0;10.0
412;Totaal;Amstelveen;2e halfjaar 2017;745.0;8.0
413;Totaal;Amstelveen;2017;1485.0;17.0
414;Totaal;Amstelveen;1e halfjaar 2018;;
415;Totaal;Amstelveen;2e halfjaar 2018;;
416;Totaal;Amstelveen;2018;;
417;Totaal;Amstelveen;1e halfjaar 2019;;
418;Totaal;Amstelveen;2e halfjaar 2019;;
419;Totaal;Amstelveen;2019;;
420;Totaal;Amstelveen;1e halfjaar 2020;;
421;Totaal;Amstelveen;2e halfjaar 2020;;
422;Totaal;Amstelveen;2020;;
423;Totaal;Amstelveen;1e halfjaar 2021;;
424;Totaal;Amstelveen;2e halfjaar 2021;;
425;Totaal;Amstelveen;2021;;
426;Totaal;Amstelveen;1e halfjaar 2022;;
427;Totaal;Amstelveen;2e halfjaar 2022;;
428;Totaal;Amstelveen;2022;;
429;Totaal;Amstelveen;1e halfjaar 2023;820.0;9.0
430;Totaal;Amstelveen;2e halfjaar 2023;1000.0;11.0
431;Totaal;Amstelveen;2023;1695.0;18.0
432;Totaal;Amsterdam;1e halfjaar 2015;;
433;Totaal;Amsterdam;2e halfjaar 2015;25255.0;30.0
434;Totaal;Amsterdam;2015;;
435;Totaal;Amsterdam;1e halfjaar 2016;5810.0;7.0
436;Totaal;Amsterdam;2e halfjaar 2016;12305.0;15.0
437;Totaal;Amsterdam;2016;17200.0;21.0
438;Totaal;Amsterdam;1e halfjaar 2017;9450.0;11.0
439;Totaal;Amsterdam;2e halfjaar 2017;11060.0;13.0
440;Totaal;Amsterdam;2017;18970.0;22.0
441;Totaal;Amsterdam;1e halfjaar 2018;7770.0;9.0
442;Totaal;Amsterdam;2e halfjaar 2018;8960.0;10.0
443;Totaal;Amsterdam;2018;15795.0;18.0
444;Totaal;Amsterdam;1e halfjaar 2019;8105.0;9.0
445;Totaal;Amsterdam;2e halfjaar 2019;9660.0;11.0
446;Totaal;Amsterdam;2019;16710.0;19.0
447;Totaal;Amsterdam;1e halfjaar 2020;7110.0;8.0
448;Totaal;Amsterdam;2e halfjaar 2020;28395.0;33.0
449;Totaal;Amsterdam;2020;33315.0;38.0
450;Totaal;Amsterdam;1e halfjaar 2021;10355.0;12.0
451;Totaal;Amsterdam;2e halfjaar 2021;10215.0;12.0
452;Totaal;Amsterdam;2021;17895.0;20.0
453;Totaal;Amsterdam;1e halfjaar 2022;8895.0;10.0
454;Totaal;Amsterdam;2e halfjaar 2022;10445.0;12.0
455;Totaal;Amsterdam;2022;18150.0;21.0
456;Totaal;Amsterdam;1e halfjaar 2023;9390.0;10.0
457;Totaal;Amsterdam;2e halfjaar 2023;9845.0;11.0
458;Totaal;Amsterdam;2023;17815.0;19.0
459;Totaal;Apeldoorn;1e halfjaar 2015;;
460;Totaal;Apeldoorn;2e halfjaar 2015;;
461;Totaal;Apeldoorn;2015;;
462;Totaal;Apeldoorn;1e halfjaar 2016;3620.0;23.0
463;Totaal;Apeldoorn;2e halfjaar 2016;3685.0;23.0
464;Totaal;Apeldoorn;2016;5775.0;36.0
465;Totaal;Apeldoorn;1e halfjaar 2017;3505.0;22.0
466;Totaal;Apeldoorn;2e halfjaar 2017;3685.0;23.0
467;Totaal;Apeldoorn;2017;5565.0;35.0
468;Totaal;Apeldoorn;1e halfjaar 2018;2535.0;16.0
469;Totaal;Apeldoorn;2e halfjaar 2018;4955.0;31.0
470;Totaal;Apeldoorn;2018;6470.0;40.0
471;Totaal;Apeldoorn;1e halfjaar 2019;2630.0;16.0
472;Totaal;Apeldoorn;2e halfjaar 2019;3265.0;20.0
473;Totaal;Apeldoorn;2019;5170.0;32.0
