ID;Geslacht;Leeftijd;Herkomstgroepering;Uitkeringsduur;Perioden;PersonenMetEenBijstandsuitkering_1
28;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;1;2006 september;22320
29;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;1;2007 september;17690
30;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;2;2005 september;20080
31;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;2;2006 september;15950
32;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;2;2007 september;13080
33;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;5;2005 september;25430
34;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;5;2006 september;22630
35;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;5;2007 september;19510
36;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;6;2005 september;17910
37;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;6;2006 september;16160
38;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;6;2007 september;14210
39;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;7;2005 september;12130
40;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;7;2006 september;12650
41;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;7;2007 september;11320
42;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;9;2005 september;10740
43;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;9;2006 september;9060
44;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;9;2007 september;9360
45;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;5 jaar of langer;2005 september;83930
46;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;5 jaar of langer;2006 september;80120
47;Totaal mannen en vrouwen;Totaal leeftijd;Autochtoon;5 jaar of langer;2007 september;75470
48;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;0;2005 september;43670
49;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;0;2006 september;40990
50;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;0;2007 september;37430
51;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;1;2005 september;4820
52;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;1;2006 september;5060
53;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;1;2007 september;4360
54;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;2;2005 september;4710
55;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;2;2006 september;3740
56;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;2;2007 september;3150
57;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;5;2005 september;6210
58;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;5;2006 september;5560
59;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;5;2007 september;4920
60;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;6;2005 september;4590
61;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;6;2006 september;4090
62;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;6;2007 september;3610
63;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;7;2005 september;3250
64;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;7;2006 september;3260
65;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;7;2007 september;2930
66;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;9;2005 september;2840
67;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;9;2006 september;2400
68;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;9;2007 september;2360
69;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;5 jaar of langer;2005 september;17250
70;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;5 jaar of langer;2006 september;16870
71;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;5 jaar of langer;2007 september;16090
72;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;0;2005 september;162800
73;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;0;2006 september;154330
74;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;0;2007 september;140470
75;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;1;2005 september;19610
76;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;1;2006 september;20320
77;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;1;2007 september;16640
78;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;2;2005 september;19380
79;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;2;2006 september;15870
80;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;2;2007 september;12930
81;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;5;2005 september;25270
82;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;5;2006 september;23340
83;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;5;2007 september;20680
84;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;6;2005 september;19460
85;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;6;2006 september;16490
86;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;6;2007 september;15100
87;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;7;2005 september;13770
88;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;7;2006 september;13650
89;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;7;2007 september;11410
90;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;9;2005 september;10840
91;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;9;2006 september;10230
92;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;9;2007 september;10000
93;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;5 jaar of langer;2005 september;54480
94;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;5 jaar of langer;2006 september;54430
95;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;5 jaar of langer;2007 september;53710
96;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;0;2005 september;33520
97;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;0;2006 september;25470
98;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;0;2007 september;18410
99;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;1;2005 september;10030
100;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;1;2006 september;8160
101;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;1;2007 september;6120
102;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;2;2005 september;8340
103;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;2;2006 september;5350
104;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;2;2007 september;3730
105;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;5;2005 september;7860
106;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;5;2006 september;6000
107;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;5;2007 september;4220
108;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;6;2005 september;3940
109;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;6;2006 september;3040
110;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;6;2007 september;2100
111;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;7;2005 september;1960
112;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;7;2006 september;1600
113;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;7;2007 september;1190
114;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;9;2005 september;810
115;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;9;2006 september;820
116;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;9;2007 september;610
117;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;5 jaar of langer;2005 september;580
118;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;5 jaar of langer;2006 september;500
119;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;5 jaar of langer;2007 september;440
120;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;0;2005 september;15340
121;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;0;2006 september;11520
122;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;0;2007 september;8380
123;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;1;2005 september;5090
124;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;1;2006 september;3860
125;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;1;2007 september;2940
126;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;2;2005 september;3990
127;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;2;2006 september;2470
128;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;2;2007 september;1690
129;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;5;2005 september;3470
130;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;5;2006 september;2720
131;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;5;2007 september;1830
132;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;6;2005 september;1590
133;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;6;2006 september;1350
134;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;6;2007 september;960
135;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;7;2005 september;720
136;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;7;2006 september;660
137;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;7;2007 september;550
138;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;9;2005 september;290
139;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;9;2006 september;310
140;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;9;2007 september;270
141;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;5 jaar of langer;2005 september;200
142;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;5 jaar of langer;2006 september;160
143;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;5 jaar of langer;2007 september;150
144;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;0;2005 september;2780
145;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;0;2006 september;2160
146;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;0;2007 september;1540
147;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;1;2005 september;810
148;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;1;2006 september;730
149;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;1;2007 september;550
150;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;2;2005 september;750
151;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;2;2006 september;430
152;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;2;2007 september;320
153;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;5;2005 september;640
154;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;5;2006 september;520
155;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;5;2007 september;350
156;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;6;2005 september;330
157;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;6;2006 september;240
158;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;6;2007 september;160
159;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;7;2005 september;140
160;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;7;2006 september;140
161;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;7;2007 september;90
162;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;9;2005 september;60
163;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;9;2006 september;60
164;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;9;2007 september;50
165;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;5 jaar of langer;2005 september;60
166;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;5 jaar of langer;2006 september;40
167;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;5 jaar of langer;2007 september;30
168;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;0;2005 september;15400
169;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;0;2006 september;11780
170;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;0;2007 september;8490
171;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;1;2005 september;4130
172;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;1;2006 september;3580
173;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;1;2007 september;2640
174;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;2;2005 september;3610
175;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;2;2006 september;2460
176;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;2;2007 september;1730
177;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;5;2005 september;3750
178;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;5;2006 september;2750
179;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;5;2007 september;2040
180;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;6;2005 september;2020
181;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;6;2006 september;1450
182;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;6;2007 september;970
183;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;7;2005 september;1100
184;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;7;2006 september;800
185;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;7;2007 september;550
186;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;9;2005 september;460
187;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;9;2006 september;450
188;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;9;2007 september;300
189;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;5 jaar of langer;2005 september;330
190;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;5 jaar of langer;2006 september;290
191;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;5 jaar of langer;2007 september;250
192;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;0;2005 september;86270
193;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;0;2006 september;75220
194;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;0;2007 september;60600
195;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;1;2005 september;15100
196;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;1;2006 september;13810
197;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;1;2007 september;10520
198;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;2;2005 september;13800
199;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;2;2006 september;10640
200;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;2;2007 september;7960
201;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;5;2005 september;16730
202;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;5;2006 september;15040
203;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;5;2007 september;11990
204;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;6;2005 september;11980
205;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;6;2006 september;9710
206;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;6;2007 september;8270
207;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;7;2005 september;7920
208;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;7;2006 september;7420
209;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;7;2007 september;5710
210;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;9;2005 september;5820
211;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;9;2006 september;5150
212;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;9;2007 september;4530
213;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;5 jaar of langer;2005 september;14920
214;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;5 jaar of langer;2006 september;13450
215;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;5 jaar of langer;2007 september;11620
216;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;0;2005 september;34520
217;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;0;2006 september;29310
218;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;0;2007 september;22970
219;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;1;2005 september;6680
220;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;1;2006 september;5810
221;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;1;2007 september;4220
222;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;2;2005 september;5650
223;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;2;2006 september;4240
224;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;2;2007 september;3130
225;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;5;2005 september;6620
226;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;5;2006 september;5780
227;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;5;2007 september;4480
228;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;6;2005 september;4550
229;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;6;2006 september;3710
230;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;6;2007 september;3050
231;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;7;2005 september;2910
232;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;7;2006 september;2780
233;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;7;2007 september;2150
234;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;9;2005 september;2150
235;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;9;2006 september;1830
236;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;9;2007 september;1680
237;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;5 jaar of langer;2005 september;5960
238;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;5 jaar of langer;2006 september;5150
239;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;5 jaar of langer;2007 september;4280
240;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;0;2005 september;8430
241;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;0;2006 september;7150
242;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;0;2007 september;5770
243;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;1;2005 september;1460
244;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;1;2006 september;1320
245;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;1;2007 september;1090
246;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;2;2005 september;1320
247;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;2;2006 september;960
248;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;2;2007 september;750
249;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;5;2005 september;1680
250;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;5;2006 september;1460
251;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;5;2007 september;1100
252;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;6;2005 september;1130
253;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;6;2006 september;960
254;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;6;2007 september;810
255;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;7;2005 september;750
256;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;7;2006 september;670
257;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;7;2007 september;550
258;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;9;2005 september;600
259;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;9;2006 september;460
260;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;9;2007 september;390
261;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;5 jaar of langer;2005 september;1480
262;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;5 jaar of langer;2006 september;1320
263;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;5 jaar of langer;2007 september;1090
264;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;0;2005 september;43320
265;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;0;2006 september;38760
266;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;0;2007 september;31860
267;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;1;2005 september;6950
268;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;1;2006 september;6670
269;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;1;2007 september;5210
270;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;2;2005 september;6830
271;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;2;2006 september;5440
272;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;2;2007 september;4080
273;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;5;2005 september;8430
274;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;5;2006 september;7800
275;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;5;2007 september;6420
276;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;6;2005 september;6310
277;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;6;2006 september;5040
278;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;6;2007 september;4420
279;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;7;2005 september;4260
280;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;7;2006 september;3970
281;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;7;2007 september;3020
282;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;9;2005 september;3070
283;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;9;2006 september;2860
284;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;9;2007 september;2460
