ID;TypeOfBankruptcy;Regions;Periods;PronouncedBankrupcies_1
86;Total natural persons;Nederland, Abroad, Unclassifiable;1986 February;
87;Total natural persons;Nederland, Abroad, Unclassifiable;1986 March;
88;Total natural persons;Nederland, Abroad, Unclassifiable;1986 1st quarter;
89;Total natural persons;Nederland, Abroad, Unclassifiable;1986 April;
90;Total natural persons;Nederland, Abroad, Unclassifiable;1986 May;
91;Total natural persons;Nederland, Abroad, Unclassifiable;1986 June;
92;Total natural persons;Nederland, Abroad, Unclassifiable;1986 2nd quarter;
93;Total natural persons;Nederland, Abroad, Unclassifiable;1986 July;
94;Total natural persons;Nederland, Abroad, Unclassifiable;1986 August;
95;Total natural persons;Nederland, Abroad, Unclassifiable;1986 September;
96;Total natural persons;Nederland, Abroad, Unclassifiable;1986 3rd quarter;
97;Total natural persons;Nederland, Abroad, Unclassifiable;1986 October;
98;Total natural persons;Nederland, Abroad, Unclassifiable;1986 November;
99;Total natural persons;Nederland, Abroad, Unclassifiable;1986 December;
100;Total natural persons;Nederland, Abroad, Unclassifiable;1986 4th quarter;
101;Total natural persons;Nederland, Abroad, Unclassifiable;1986;
102;Total natural persons;Nederland, Abroad, Unclassifiable;1987 January;
103;Total natural persons;Nederland, Abroad, Unclassifiable;1987 February;
104;Total natural persons;Nederland, Abroad, Unclassifiable;1987 March;
105;Total natural persons;Nederland, Abroad, Unclassifiable;1987 1st quarter;
106;Total natural persons;Nederland, Abroad, Unclassifiable;1987 April;
107;Total natural persons;Nederland, Abroad, Unclassifiable;1987 May;
108;Total natural persons;Nederland, Abroad, Unclassifiable;1987 June;
109;Total natural persons;Nederland, Abroad, Unclassifiable;1987 2nd quarter;
110;Total natural persons;Nederland, Abroad, Unclassifiable;1987 July;
111;Total natural persons;Nederland, Abroad, Unclassifiable;1987 August;
112;Total natural persons;Nederland, Abroad, Unclassifiable;1987 September;
113;Total natural persons;Nederland, Abroad, Unclassifiable;1987 3rd quarter;
114;Total natural persons;Nederland, Abroad, Unclassifiable;1987 October;
115;Total natural persons;Nederland, Abroad, Unclassifiable;1987 November;
116;Total natural persons;Nederland, Abroad, Unclassifiable;1987 December;
117;Total natural persons;Nederland, Abroad, Unclassifiable;1987 4th quarter;
118;Total natural persons;Nederland, Abroad, Unclassifiable;1987;
119;Total natural persons;Nederland, Abroad, Unclassifiable;1988 January;
120;Total natural persons;Nederland, Abroad, Unclassifiable;1988 February;
121;Total natural persons;Nederland, Abroad, Unclassifiable;1988 March;
122;Total natural persons;Nederland, Abroad, Unclassifiable;1988 1st quarter;
123;Total natural persons;Nederland, Abroad, Unclassifiable;1988 April;
124;Total natural persons;Nederland, Abroad, Unclassifiable;1988 May;
125;Total natural persons;Nederland, Abroad, Unclassifiable;1988 June;
126;Total natural persons;Nederland, Abroad, Unclassifiable;1988 2nd quarter;
127;Total natural persons;Nederland, Abroad, Unclassifiable;1988 July;
128;Total natural persons;Nederland, Abroad, Unclassifiable;1988 August;
129;Total natural persons;Nederland, Abroad, Unclassifiable;1988 September;
130;Total natural persons;Nederland, Abroad, Unclassifiable;1988 3rd quarter;
131;Total natural persons;Nederland, Abroad, Unclassifiable;1988 October;
132;Total natural persons;Nederland, Abroad, Unclassifiable;1988 November;
133;Total natural persons;Nederland, Abroad, Unclassifiable;1988 December;
134;Total natural persons;Nederland, Abroad, Unclassifiable;1988 4th quarter;
135;Total natural persons;Nederland, Abroad, Unclassifiable;1988;
136;Total natural persons;Nederland, Abroad, Unclassifiable;1989 January;
137;Total natural persons;Nederland, Abroad, Unclassifiable;1989 February;
138;Total natural persons;Nederland, Abroad, Unclassifiable;1989 March;
139;Total natural persons;Nederland, Abroad, Unclassifiable;1989 1st quarter;
140;Total natural persons;Nederland, Abroad, Unclassifiable;1989 April;
141;Total natural persons;Nederland, Abroad, Unclassifiable;1989 May;
142;Total natural persons;Nederland, Abroad, Unclassifiable;1989 June;
143;Total natural persons;Nederland, Abroad, Unclassifiable;1989 2nd quarter;
144;Total natural persons;Nederland, Abroad, Unclassifiable;1989 July;
145;Total natural persons;Nederland, Abroad, Unclassifiable;1989 August;
146;Total natural persons;Nederland, Abroad, Unclassifiable;1989 September;
147;Total natural persons;Nederland, Abroad, Unclassifiable;1989 3rd quarter;
148;Total natural persons;Nederland, Abroad, Unclassifiable;1989 October;
149;Total natural persons;Nederland, Abroad, Unclassifiable;1989 November;
150;Total natural persons;Nederland, Abroad, Unclassifiable;1989 December;
151;Total natural persons;Nederland, Abroad, Unclassifiable;1989 4th quarter;
152;Total natural persons;Nederland, Abroad, Unclassifiable;1989;
153;Total natural persons;Nederland, Abroad, Unclassifiable;1990 January;
154;Total natural persons;Nederland, Abroad, Unclassifiable;1990 February;
155;Total natural persons;Nederland, Abroad, Unclassifiable;1990 March;
156;Total natural persons;Nederland, Abroad, Unclassifiable;1990 1st quarter;
157;Total natural persons;Nederland, Abroad, Unclassifiable;1990 April;
158;Total natural persons;Nederland, Abroad, Unclassifiable;1990 May;
159;Total natural persons;Nederland, Abroad, Unclassifiable;1990 June;
160;Total natural persons;Nederland, Abroad, Unclassifiable;1990 2nd quarter;
161;Total natural persons;Nederland, Abroad, Unclassifiable;1990 July;
162;Total natural persons;Nederland, Abroad, Unclassifiable;1990 August;
163;Total natural persons;Nederland, Abroad, Unclassifiable;1990 September;
164;Total natural persons;Nederland, Abroad, Unclassifiable;1990 3rd quarter;
165;Total natural persons;Nederland, Abroad, Unclassifiable;1990 October;
166;Total natural persons;Nederland, Abroad, Unclassifiable;1990 November;
167;Total natural persons;Nederland, Abroad, Unclassifiable;1990 December;
168;Total natural persons;Nederland, Abroad, Unclassifiable;1990 4th quarter;
169;Total natural persons;Nederland, Abroad, Unclassifiable;1990;
170;Total natural persons;Nederland, Abroad, Unclassifiable;1991 January;
171;Total natural persons;Nederland, Abroad, Unclassifiable;1991 February;
172;Total natural persons;Nederland, Abroad, Unclassifiable;1991 March;
173;Total natural persons;Nederland, Abroad, Unclassifiable;1991 1st quarter;
174;Total natural persons;Nederland, Abroad, Unclassifiable;1991 April;
175;Total natural persons;Nederland, Abroad, Unclassifiable;1991 May;
176;Total natural persons;Nederland, Abroad, Unclassifiable;1991 June;
177;Total natural persons;Nederland, Abroad, Unclassifiable;1991 2nd quarter;
178;Total natural persons;Nederland, Abroad, Unclassifiable;1991 July;
179;Total natural persons;Nederland, Abroad, Unclassifiable;1991 August;
180;Total natural persons;Nederland, Abroad, Unclassifiable;1991 September;
181;Total natural persons;Nederland, Abroad, Unclassifiable;1991 3rd quarter;
182;Total natural persons;Nederland, Abroad, Unclassifiable;1991 October;
183;Total natural persons;Nederland, Abroad, Unclassifiable;1991 November;
184;Total natural persons;Nederland, Abroad, Unclassifiable;1991 December;
185;Total natural persons;Nederland, Abroad, Unclassifiable;1991 4th quarter;
186;Total natural persons;Nederland, Abroad, Unclassifiable;1991;
187;Total natural persons;Nederland, Abroad, Unclassifiable;1992 January;
188;Total natural persons;Nederland, Abroad, Unclassifiable;1992 February;
189;Total natural persons;Nederland, Abroad, Unclassifiable;1992 March;
190;Total natural persons;Nederland, Abroad, Unclassifiable;1992 1st quarter;
191;Total natural persons;Nederland, Abroad, Unclassifiable;1992 April;
192;Total natural persons;Nederland, Abroad, Unclassifiable;1992 May;
193;Total natural persons;Nederland, Abroad, Unclassifiable;1992 June;
194;Total natural persons;Nederland, Abroad, Unclassifiable;1992 2nd quarter;
195;Total natural persons;Nederland, Abroad, Unclassifiable;1992 July;
196;Total natural persons;Nederland, Abroad, Unclassifiable;1992 August;
197;Total natural persons;Nederland, Abroad, Unclassifiable;1992 September;
198;Total natural persons;Nederland, Abroad, Unclassifiable;1992 3rd quarter;
199;Total natural persons;Nederland, Abroad, Unclassifiable;1992 October;
200;Total natural persons;Nederland, Abroad, Unclassifiable;1992 November;
201;Total natural persons;Nederland, Abroad, Unclassifiable;1992 December;
202;Total natural persons;Nederland, Abroad, Unclassifiable;1992 4th quarter;
203;Total natural persons;Nederland, Abroad, Unclassifiable;1992;
204;Total natural persons;Nederland, Abroad, Unclassifiable;1993 January;
205;Total natural persons;Nederland, Abroad, Unclassifiable;1993 February;
206;Total natural persons;Nederland, Abroad, Unclassifiable;1993 March;
207;Total natural persons;Nederland, Abroad, Unclassifiable;1993 1st quarter;
208;Total natural persons;Nederland, Abroad, Unclassifiable;1993 April;
209;Total natural persons;Nederland, Abroad, Unclassifiable;1993 May;
210;Total natural persons;Nederland, Abroad, Unclassifiable;1993 June;
211;Total natural persons;Nederland, Abroad, Unclassifiable;1993 2nd quarter;
212;Total natural persons;Nederland, Abroad, Unclassifiable;1993 July;
213;Total natural persons;Nederland, Abroad, Unclassifiable;1993 August;
214;Total natural persons;Nederland, Abroad, Unclassifiable;1993 September;
215;Total natural persons;Nederland, Abroad, Unclassifiable;1993 3rd quarter;
216;Total natural persons;Nederland, Abroad, Unclassifiable;1993 October;
217;Total natural persons;Nederland, Abroad, Unclassifiable;1993 November;
218;Total natural persons;Nederland, Abroad, Unclassifiable;1993 December;
219;Total natural persons;Nederland, Abroad, Unclassifiable;1993 4th quarter;
220;Total natural persons;Nederland, Abroad, Unclassifiable;1993;
221;Total natural persons;Nederland, Abroad, Unclassifiable;1994 January;
222;Total natural persons;Nederland, Abroad, Unclassifiable;1994 February;
223;Total natural persons;Nederland, Abroad, Unclassifiable;1994 March;
224;Total natural persons;Nederland, Abroad, Unclassifiable;1994 1st quarter;
225;Total natural persons;Nederland, Abroad, Unclassifiable;1994 April;
226;Total natural persons;Nederland, Abroad, Unclassifiable;1994 May;
227;Total natural persons;Nederland, Abroad, Unclassifiable;1994 June;
228;Total natural persons;Nederland, Abroad, Unclassifiable;1994 2nd quarter;
229;Total natural persons;Nederland, Abroad, Unclassifiable;1994 July;
230;Total natural persons;Nederland, Abroad, Unclassifiable;1994 August;
231;Total natural persons;Nederland, Abroad, Unclassifiable;1994 September;
232;Total natural persons;Nederland, Abroad, Unclassifiable;1994 3rd quarter;
233;Total natural persons;Nederland, Abroad, Unclassifiable;1994 October;
234;Total natural persons;Nederland, Abroad, Unclassifiable;1994 November;
235;Total natural persons;Nederland, Abroad, Unclassifiable;1994 December;
236;Total natural persons;Nederland, Abroad, Unclassifiable;1994 4th quarter;
237;Total natural persons;Nederland, Abroad, Unclassifiable;1994;
238;Total natural persons;Nederland, Abroad, Unclassifiable;1995 January;
239;Total natural persons;Nederland, Abroad, Unclassifiable;1995 February;
240;Total natural persons;Nederland, Abroad, Unclassifiable;1995 March;
241;Total natural persons;Nederland, Abroad, Unclassifiable;1995 1st quarter;
242;Total natural persons;Nederland, Abroad, Unclassifiable;1995 April;
243;Total natural persons;Nederland, Abroad, Unclassifiable;1995 May;
244;Total natural persons;Nederland, Abroad, Unclassifiable;1995 June;
245;Total natural persons;Nederland, Abroad, Unclassifiable;1995 2nd quarter;
246;Total natural persons;Nederland, Abroad, Unclassifiable;1995 July;
247;Total natural persons;Nederland, Abroad, Unclassifiable;1995 August;
248;Total natural persons;Nederland, Abroad, Unclassifiable;1995 September;
249;Total natural persons;Nederland, Abroad, Unclassifiable;1995 3rd quarter;
250;Total natural persons;Nederland, Abroad, Unclassifiable;1995 October;
251;Total natural persons;Nederland, Abroad, Unclassifiable;1995 November;
252;Total natural persons;Nederland, Abroad, Unclassifiable;1995 December;
253;Total natural persons;Nederland, Abroad, Unclassifiable;1995 4th quarter;
254;Total natural persons;Nederland, Abroad, Unclassifiable;1995;
255;Total natural persons;Nederland, Abroad, Unclassifiable;1996 January;
256;Total natural persons;Nederland, Abroad, Unclassifiable;1996 February;
257;Total natural persons;Nederland, Abroad, Unclassifiable;1996 March;
258;Total natural persons;Nederland, Abroad, Unclassifiable;1996 1st quarter;
259;Total natural persons;Nederland, Abroad, Unclassifiable;1996 April;
260;Total natural persons;Nederland, Abroad, Unclassifiable;1996 May;
261;Total natural persons;Nederland, Abroad, Unclassifiable;1996 June;
262;Total natural persons;Nederland, Abroad, Unclassifiable;1996 2nd quarter;
263;Total natural persons;Nederland, Abroad, Unclassifiable;1996 July;
264;Total natural persons;Nederland, Abroad, Unclassifiable;1996 August;
265;Total natural persons;Nederland, Abroad, Unclassifiable;1996 September;
266;Total natural persons;Nederland, Abroad, Unclassifiable;1996 3rd quarter;
267;Total natural persons;Nederland, Abroad, Unclassifiable;1996 October;
268;Total natural persons;Nederland, Abroad, Unclassifiable;1996 November;
269;Total natural persons;Nederland, Abroad, Unclassifiable;1996 December;
270;Total natural persons;Nederland, Abroad, Unclassifiable;1996 4th quarter;
271;Total natural persons;Nederland, Abroad, Unclassifiable;1996;
272;Total natural persons;Nederland, Abroad, Unclassifiable;1997 January;
273;Total natural persons;Nederland, Abroad, Unclassifiable;1997 February;
274;Total natural persons;Nederland, Abroad, Unclassifiable;1997 March;
275;Total natural persons;Nederland, Abroad, Unclassifiable;1997 1st quarter;
276;Total natural persons;Nederland, Abroad, Unclassifiable;1997 April;
277;Total natural persons;Nederland, Abroad, Unclassifiable;1997 May;
278;Total natural persons;Nederland, Abroad, Unclassifiable;1997 June;
279;Total natural persons;Nederland, Abroad, Unclassifiable;1997 2nd quarter;
280;Total natural persons;Nederland, Abroad, Unclassifiable;1997 July;
281;Total natural persons;Nederland, Abroad, Unclassifiable;1997 August;
282;Total natural persons;Nederland, Abroad, Unclassifiable;1997 September;
283;Total natural persons;Nederland, Abroad, Unclassifiable;1997 3rd quarter;
284;Total natural persons;Nederland, Abroad, Unclassifiable;1997 October;
285;Total natural persons;Nederland, Abroad, Unclassifiable;1997 November;
286;Total natural persons;Nederland, Abroad, Unclassifiable;1997 December;
287;Total natural persons;Nederland, Abroad, Unclassifiable;1997 4th quarter;
288;Total natural persons;Nederland, Abroad, Unclassifiable;1997;
289;Total natural persons;Nederland, Abroad, Unclassifiable;1998 January;
290;Total natural persons;Nederland, Abroad, Unclassifiable;1998 February;
291;Total natural persons;Nederland, Abroad, Unclassifiable;1998 March;
292;Total natural persons;Nederland, Abroad, Unclassifiable;1998 1st quarter;
293;Total natural persons;Nederland, Abroad, Unclassifiable;1998 April;
294;Total natural persons;Nederland, Abroad, Unclassifiable;1998 May;
295;Total natural persons;Nederland, Abroad, Unclassifiable;1998 June;
296;Total natural persons;Nederland, Abroad, Unclassifiable;1998 2nd quarter;
297;Total natural persons;Nederland, Abroad, Unclassifiable;1998 July;
298;Total natural persons;Nederland, Abroad, Unclassifiable;1998 August;
299;Total natural persons;Nederland, Abroad, Unclassifiable;1998 September;
300;Total natural persons;Nederland, Abroad, Unclassifiable;1998 3rd quarter;
301;Total natural persons;Nederland, Abroad, Unclassifiable;1998 October;
302;Total natural persons;Nederland, Abroad, Unclassifiable;1998 November;
303;Total natural persons;Nederland, Abroad, Unclassifiable;1998 December;
304;Total natural persons;Nederland, Abroad, Unclassifiable;1998 4th quarter;
305;Total natural persons;Nederland, Abroad, Unclassifiable;1998;
306;Total natural persons;Nederland, Abroad, Unclassifiable;1999 January;
307;Total natural persons;Nederland, Abroad, Unclassifiable;1999 February;
308;Total natural persons;Nederland, Abroad, Unclassifiable;1999 March;
309;Total natural persons;Nederland, Abroad, Unclassifiable;1999 1st quarter;
310;Total natural persons;Nederland, Abroad, Unclassifiable;1999 April;
311;Total natural persons;Nederland, Abroad, Unclassifiable;1999 May;
312;Total natural persons;Nederland, Abroad, Unclassifiable;1999 June;
313;Total natural persons;Nederland, Abroad, Unclassifiable;1999 2nd quarter;
314;Total natural persons;Nederland, Abroad, Unclassifiable;1999 July;
315;Total natural persons;Nederland, Abroad, Unclassifiable;1999 August;
316;Total natural persons;Nederland, Abroad, Unclassifiable;1999 September;
317;Total natural persons;Nederland, Abroad, Unclassifiable;1999 3rd quarter;
318;Total natural persons;Nederland, Abroad, Unclassifiable;1999 October;
319;Total natural persons;Nederland, Abroad, Unclassifiable;1999 November;
320;Total natural persons;Nederland, Abroad, Unclassifiable;1999 December;
321;Total natural persons;Nederland, Abroad, Unclassifiable;1999 4th quarter;
322;Total natural persons;Nederland, Abroad, Unclassifiable;1999;
323;Total natural persons;Nederland, Abroad, Unclassifiable;2000 January;
324;Total natural persons;Nederland, Abroad, Unclassifiable;2000 February;
325;Total natural persons;Nederland, Abroad, Unclassifiable;2000 March;
326;Total natural persons;Nederland, Abroad, Unclassifiable;2000 1st quarter;
327;Total natural persons;Nederland, Abroad, Unclassifiable;2000 April;
328;Total natural persons;Nederland, Abroad, Unclassifiable;2000 May;
329;Total natural persons;Nederland, Abroad, Unclassifiable;2000 June;
330;Total natural persons;Nederland, Abroad, Unclassifiable;2000 2nd quarter;
331;Total natural persons;Nederland, Abroad, Unclassifiable;2000 July;
332;Total natural persons;Nederland, Abroad, Unclassifiable;2000 August;
333;Total natural persons;Nederland, Abroad, Unclassifiable;2000 September;
334;Total natural persons;Nederland, Abroad, Unclassifiable;2000 3rd quarter;
335;Total natural persons;Nederland, Abroad, Unclassifiable;2000 October;
336;Total natural persons;Nederland, Abroad, Unclassifiable;2000 November;
337;Total natural persons;Nederland, Abroad, Unclassifiable;2000 December;
338;Total natural persons;Nederland, Abroad, Unclassifiable;2000 4th quarter;
339;Total natural persons;Nederland, Abroad, Unclassifiable;2000;
340;Total natural persons;Nederland, Abroad, Unclassifiable;2001 January;
341;Total natural persons;Nederland, Abroad, Unclassifiable;2001 February;
342;Total natural persons;Nederland, Abroad, Unclassifiable;2001 March;
343;Total natural persons;Nederland, Abroad, Unclassifiable;2001 1st quarter;
344;Total natural persons;Nederland, Abroad, Unclassifiable;2001 April;
345;Total natural persons;Nederland, Abroad, Unclassifiable;2001 May;
346;Total natural persons;Nederland, Abroad, Unclassifiable;2001 June;
347;Total natural persons;Nederland, Abroad, Unclassifiable;2001 2nd quarter;
348;Total natural persons;Nederland, Abroad, Unclassifiable;2001 July;
349;Total natural persons;Nederland, Abroad, Unclassifiable;2001 August;
350;Total natural persons;Nederland, Abroad, Unclassifiable;2001 September;
351;Total natural persons;Nederland, Abroad, Unclassifiable;2001 3rd quarter;
352;Total natural persons;Nederland, Abroad, Unclassifiable;2001 October;
353;Total natural persons;Nederland, Abroad, Unclassifiable;2001 November;
354;Total natural persons;Nederland, Abroad, Unclassifiable;2001 December;
355;Total natural persons;Nederland, Abroad, Unclassifiable;2001 4th quarter;
356;Total natural persons;Nederland, Abroad, Unclassifiable;2001;
357;Total natural persons;Nederland, Abroad, Unclassifiable;2002 January;
358;Total natural persons;Nederland, Abroad, Unclassifiable;2002 February;
359;Total natural persons;Nederland, Abroad, Unclassifiable;2002 March;
360;Total natural persons;Nederland, Abroad, Unclassifiable;2002 1st quarter;
361;Total natural persons;Nederland, Abroad, Unclassifiable;2002 April;
362;Total natural persons;Nederland, Abroad, Unclassifiable;2002 May;
363;Total natural persons;Nederland, Abroad, Unclassifiable;2002 June;
364;Total natural persons;Nederland, Abroad, Unclassifiable;2002 2nd quarter;
365;Total natural persons;Nederland, Abroad, Unclassifiable;2002 July;
366;Total natural persons;Nederland, Abroad, Unclassifiable;2002 August;
367;Total natural persons;Nederland, Abroad, Unclassifiable;2002 September;
368;Total natural persons;Nederland, Abroad, Unclassifiable;2002 3rd quarter;
369;Total natural persons;Nederland, Abroad, Unclassifiable;2002 October;
370;Total natural persons;Nederland, Abroad, Unclassifiable;2002 November;
371;Total natural persons;Nederland, Abroad, Unclassifiable;2002 December;
372;Total natural persons;Nederland, Abroad, Unclassifiable;2002 4th quarter;
373;Total natural persons;Nederland, Abroad, Unclassifiable;2002;
374;Total natural persons;Nederland, Abroad, Unclassifiable;2003 January;
375;Total natural persons;Nederland, Abroad, Unclassifiable;2003 February;
376;Total natural persons;Nederland, Abroad, Unclassifiable;2003 March;
377;Total natural persons;Nederland, Abroad, Unclassifiable;2003 1st quarter;
378;Total natural persons;Nederland, Abroad, Unclassifiable;2003 April;
379;Total natural persons;Nederland, Abroad, Unclassifiable;2003 May;
380;Total natural persons;Nederland, Abroad, Unclassifiable;2003 June;
381;Total natural persons;Nederland, Abroad, Unclassifiable;2003 2nd quarter;
382;Total natural persons;Nederland, Abroad, Unclassifiable;2003 July;
383;Total natural persons;Nederland, Abroad, Unclassifiable;2003 August;
384;Total natural persons;Nederland, Abroad, Unclassifiable;2003 September;
385;Total natural persons;Nederland, Abroad, Unclassifiable;2003 3rd quarter;
386;Total natural persons;Nederland, Abroad, Unclassifiable;2003 October;
387;Total natural persons;Nederland, Abroad, Unclassifiable;2003 November;
388;Total natural persons;Nederland, Abroad, Unclassifiable;2003 December;
389;Total natural persons;Nederland, Abroad, Unclassifiable;2003 4th quarter;
390;Total natural persons;Nederland, Abroad, Unclassifiable;2003;
391;Total natural persons;Nederland, Abroad, Unclassifiable;2004 January;
392;Total natural persons;Nederland, Abroad, Unclassifiable;2004 February;
393;Total natural persons;Nederland, Abroad, Unclassifiable;2004 March;
394;Total natural persons;Nederland, Abroad, Unclassifiable;2004 1st quarter;
395;Total natural persons;Nederland, Abroad, Unclassifiable;2004 April;
396;Total natural persons;Nederland, Abroad, Unclassifiable;2004 May;
397;Total natural persons;Nederland, Abroad, Unclassifiable;2004 June;
398;Total natural persons;Nederland, Abroad, Unclassifiable;2004 2nd quarter;
399;Total natural persons;Nederland, Abroad, Unclassifiable;2004 July;
400;Total natural persons;Nederland, Abroad, Unclassifiable;2004 August;
401;Total natural persons;Nederland, Abroad, Unclassifiable;2004 September;
402;Total natural persons;Nederland, Abroad, Unclassifiable;2004 3rd quarter;
403;Total natural persons;Nederland, Abroad, Unclassifiable;2004 October;
404;Total natural persons;Nederland, Abroad, Unclassifiable;2004 November;
405;Total natural persons;Nederland, Abroad, Unclassifiable;2004 December;
406;Total natural persons;Nederland, Abroad, Unclassifiable;2004 4th quarter;
407;Total natural persons;Nederland, Abroad, Unclassifiable;2004;
408;Total natural persons;Nederland, Abroad, Unclassifiable;2005 January;
409;Total natural persons;Nederland, Abroad, Unclassifiable;2005 February;
