ID;WijkenEnBuurten1995;Regioaanduiding_1;Gemeentenaam_2;Gemeentecode_3;Wijkcode_4;Stedelijkheid_5;Buurtcode_6;OmgevingsadressendichtheidPerKm2_7;MeestVoorkomendeNumeriekePostcode_8;AdressenMetDezelfdePostcode_9;AantalInwoners_10;Mannen_11;Vrouwen_12;Leeftijd014Jaar_13;Leeftijd1524Jaar_14;Leeftijd2544Jaar_15;Leeftijd4564Jaar_16;Leeftijd65JaarEnOuder_17;AantalGezinnen_18;NietInGezinsverbandLevendePersonen_19;GezinnenMetKinderen_20;GemiddeldeGezinsgrootte_21;Bevolkingsdichtheid_22;Allochtonen_23;GemiddeldBesteedbaarInkomenPerInw_24;GemiddeldInkomenPerInkomensontvanger_25;InkomensontvangersMetLaagInkomen_26;InkomensontvangersMetHoogInkomen_27;NietActieveInkomensontvangers_28;TotaleOppervlakteInKm2_29;OppervlakteLandInKm2_30;Woningvoorraad_31;AantalVestigingenVanBedrijven_32;Nijverheid_33;TotaalCommercieleDienstverlening_34;Groothandel_35;Detailhandel_36;Horeca_37;OverigeDienstverlening_38;ZakelijkeDienstverlening_39;OverigeDienstverlening_40
10;50000;B;Bedum                                   ;5;00;4.0;00;664.0;9781.0;1.0;7190;3570;3610;21.0;15.0;30.0;23.0;12.0;1910.0;14.0;66.0;3.2;2580;0.0;8055.0;13364.0;39.0;20.0;18.0;2.9;2.8;2680;5;18.0;61.0;6.0;24.0;5.0;21.0;7.0;18.0
11;50001;B;Bedum                                   ;5;00;5.0;01;411.0;9781.0;1.0;1040;540;510;30.0;14.0;36.0;18.0;3.0;250.0;10.0;77.0;3.6;50;;7124.0;15383.0;31.0;28.0;11.0;22.2;22.0;310;2;;;;;;;;
12;50002;B;Bedum                                   ;5;00;5.0;02;401.0;9785.0;2.0;1040;520;510;18.0;12.0;30.0;26.0;14.0;290.0;16.0;60.0;3.0;1490;;8871.0;13477.0;41.0;20.0;19.0;0.7;0.7;410;3;;;;;;;;
13;50003;B;Bedum                                   ;5;00;5.0;03;228.0;9785.0;2.0;150;80;70;22.0;19.0;24.0;27.0;8.0;30.0;10.0;;;20;;6693.0;17629.0;;;;7.0;7.0;40;1;;;;;;;;
14;50004;B;Bedum                                   ;5;00;5.0;04;110.0;9959.0;1.0;680;350;340;22.0;10.0;33.0;22.0;13.0;180.0;18.0;60.0;3.1;1240;;7941.0;14385.0;33.0;23.0;11.0;0.6;0.6;270;2;;;;;;;;
15;50005;B;Bedum                                   ;5;00;5.0;05;44.0;9959.0;1.0;110;60;40;31.0;;30.0;19.0;;20.0;;;;20;;6239.0;16586.0;;;;5.4;5.3;20;1;;;;;;;;
16;50006;B;Bedum                                   ;5;00;5.0;06;95.0;9784.0;1.0;170;90;80;21.0;14.0;29.0;29.0;7.0;40.0;10.0;;;730;;7828.0;15792.0;28.0;;;0.2;0.2;60;1;;;;;;;;
17;50007;B;Bedum                                   ;5;00;5.0;07;26.0;9784.0;1.0;160;90;70;27.0;14.0;30.0;23.0;6.0;30.0;13.0;;;30;;6852.0;14158.0;;;;6.0;5.9;50;1;;;;;;;;
18;7;G;Bellingwedde                            ;7;  ;5.0;  ;135.0;;;9480;4770;4700;16.0;11.0;29.0;27.0;17.0;2680.0;18.0;57.0;2.9;80;0.0;7850.0;12229.0;47.0;15.0;29.0;110.1;108.5;3910;6;18.0;58.0;7.0;21.0;8.0;23.0;6.0;16.0
19;700;W;Bellingwedde                            ;7;00;5.0;  ;115.0;;;4030;2010;2030;16.0;11.0;29.0;27.0;17.0;1140.0;19.0;55.0;2.9;100;;7805.0;12116.0;48.0;14.0;32.0;43.6;43.0;1720;5;16.0;58.0;7.0;22.0;10.0;26.0;4.0;15.0
20;70000;B;Bellingwedde                            ;7;00;5.0;00;152.0;9695.0;1.0;2300;1120;1180;15.0;10.0;28.0;28.0;19.0;640.0;21.0;55.0;2.9;500;;8009.0;12366.0;48.0;16.0;28.0;4.7;4.6;970;4;16.0;53.0;1.0;20.0;10.0;30.0;2.0;21.0
21;70001;B;Bellingwedde                            ;7;00;5.0;01;36.0;9699.0;1.0;250;130;120;21.0;13.0;30.0;24.0;13.0;70.0;15.0;56.0;3.0;180;;8123.0;13409.0;35.0;23.0;;1.4;1.4;110;1;;;;;;;;
22;70002;B;Bellingwedde                            ;7;00;5.0;02;84.0;9695.0;1.0;480;240;240;18.0;10.0;31.0;28.0;13.0;140.0;16.0;57.0;2.9;310;;6512.0;10550.0;54.0;;44.0;1.6;1.5;210;1;;;;;;;;
23;70004;B;Bellingwedde                            ;7;00;5.0;04;91.0;9699.0;1.0;350;190;170;18.0;11.0;26.0;26.0;20.0;100.0;21.0;55.0;3.0;470;;7374.0;10732.0;58.0;;59.0;0.8;0.8;150;1;;;;;;;;
24;70005;B;Bellingwedde                            ;7;00;5.0;05;18.0;9696.0;1.0;110;60;60;18.0;;36.0;30.0;;30.0;23.0;;;240;;;;;;;0.5;0.4;50;1;;;;;;;;
25;70006;B;Bellingwedde                            ;7;00;5.0;06;10.0;9696.0;1.0;50;30;20;;;;;;10.0;;;;170;;;;;;;0.3;0.3;20;1;;;;;;;;
26;70007;B;Bellingwedde                            ;7;00;5.0;07;84.0;9695.0;1.0;300;140;150;16.0;10.0;33.0;26.0;15.0;90.0;14.0;55.0;2.8;70;;8281.0;13205.0;37.0;;;4.2;4.2;130;2;;;;;;;;
27;70008;B;Bellingwedde                            ;7;00;5.0;08;46.0;9699.0;1.0;110;50;60;17.0;12.0;22.0;31.0;18.0;30.0;14.0;;;30;;7056.0;9144.0;62.0;;;4.3;4.2;50;1;;;;;;;;
28;70009;B;Bellingwedde                            ;7;00;5.0;09;15.0;9695.0;4.0;80;50;40;26.0;;23.0;33.0;;20.0;;;;0;;;;;;;26.0;25.6;30;1;;;;;;;;
29;701;W;Bellingwedde                            ;7;01;5.0;  ;49.0;;;1120;590;530;17.0;8.0;28.0;31.0;15.0;330.0;16.0;53.0;2.8;50;;7487.0;11503.0;46.0;9.0;45.0;24.5;24.2;490;3;;;;;;;;
30;70100;B;Bellingwedde                            ;7;01;5.0;00;59.0;9566.0;3.0;700;350;350;17.0;9.0;29.0;30.0;15.0;200.0;16.0;53.0;2.8;170;;7442.0;11571.0;46.0;9.0;39.0;4.4;4.3;300;2;;;;;;;;
31;70101;B;Bellingwedde                            ;7;01;5.0;01;36.0;9695.0;1.0;140;70;60;17.0;10.0;26.0;36.0;11.0;40.0;13.0;;;70;;6262.0;9711.0;53.0;;61.0;2.0;2.0;70;1;;;;;;;;
32;70108;B;Bellingwedde                            ;7;01;5.0;08;42.0;9695.0;1.0;110;60;40;18.0;;20.0;41.0;;30.0;17.0;;;20;;9484.0;11866.0;;;;5.4;5.3;50;1;;;;;;;;
33;70109;B;Bellingwedde                            ;7;01;5.0;09;21.0;9699.0;2.0;170;90;80;19.0;7.0;33.0;28.0;13.0;50.0;19.0;;;10;;7238.0;12751.0;;;;12.9;12.6;70;1;;;;;;;;
34;702;W;Bellingwedde                            ;7;02;5.0;  ;194.0;;;4320;2180;2140;16.0;11.0;29.0;26.0;17.0;1220.0;17.0;59.0;3.0;100;0.0;7987.0;12524.0;46.0;18.0;22.0;42.0;41.4;1710;5;17.0;60.0;6.0;20.0;7.0;23.0;7.0;19.0
35;70200;B;Bellingwedde                            ;7;02;5.0;00;281.0;9697.0;1.0;2250;1100;1140;15.0;12.0;27.0;25.0;21.0;630.0;19.0;55.0;2.9;950;;8077.0;11980.0;51.0;17.0;23.0;2.4;2.4;910;3;;;;;;;;
36;70201;B;Bellingwedde                            ;7;02;5.0;01;144.0;9697.0;1.0;480;250;230;18.0;14.0;35.0;25.0;9.0;130.0;13.0;67.0;3.1;410;;7510.0;11980.0;43.0;16.0;28.0;1.2;1.2;180;2;;;;;;;;
37;70202;B;Bellingwedde                            ;7;02;5.0;02;110.0;9698.0;1.0;690;330;360;15.0;13.0;26.0;28.0;19.0;190.0;18.0;62.0;3.0;980;;7442.0;12978.0;42.0;19.0;25.0;0.7;0.7;300;2;;;;;;;;
38;70203;B;Bellingwedde                            ;7;02;5.0;03;90.0;9698.0;1.0;250;130;110;20.0;6.0;34.0;29.0;11.0;70.0;13.0;60.0;3.0;160;;7601.0;11345.0;47.0;;28.0;1.5;1.5;90;1;;;;;;;;
39;70204;B;Bellingwedde                            ;7;02;5.0;04;44.0;9698.0;1.0;140;80;60;17.0;8.0;27.0;32.0;17.0;40.0;9.0;;;310;;9098.0;13931.0;51.0;;;0.5;0.4;60;1;;;;;;;;
40;70206;B;Bellingwedde                            ;7;02;5.0;06;48.0;9697.0;1.0;80;40;40;23.0;;19.0;32.0;;30.0;;;;10;;;;;;;17.9;17.6;20;1;;;;;;;;
41;70207;B;Bellingwedde                            ;7;02;5.0;07;83.0;9697.0;1.0;150;80;70;21.0;;40.0;28.0;;40.0;13.0;;;40;;8009.0;13273.0;;;;3.9;3.9;60;1;;;;;;;;
42;70208;B;Bellingwedde                            ;7;02;5.0;08;23.0;9698.0;1.0;170;90;70;23.0;9.0;34.0;24.0;11.0;50.0;8.0;;;20;;10278.0;16450.0;;;;9.1;9.1;50;1;;;;;;;;
43;70209;B;Bellingwedde                            ;7;02;5.0;09;58.0;9698.0;1.0;130;70;60;13.0;12.0;35.0;30.0;10.0;30.0;26.0;;;30;;8871.0;15315.0;;;;4.8;4.6;50;1;;;;;;;;
44;9;G;Ten Boer                                ;9;  ;5.0;  ;220.0;;;6960;3540;3420;22.0;13.0;31.0;21.0;12.0;1790.0;14.0;69.0;3.3;160;1.0;8009.0;13840.0;36.0;21.0;14.0;45.7;45.2;2490;5;23.0;54.0;8.0;13.0;7.0;23.0;10.0;16.0
45;900;W;Ten Boer                                ;9;00;5.0;  ;285.0;;;5450;2770;2680;23.0;14.0;31.0;21.0;11.0;1400.0;14.0;69.0;3.3;170;1.0;7987.0;13886.0;35.0;22.0;12.0;31.0;30.6;1900;5;19.0;54.0;6.0;14.0;6.0;27.0;11.0;17.0
46;90000;B;Ten Boer                                ;9;00;5.0;00;382.0;9791.0;1.0;3830;1930;1910;23.0;14.0;30.0;21.0;12.0;990.0;14.0;69.0;3.3;2780;1.0;7760.0;13545.0;37.0;21.0;14.0;1.4;1.4;1340;4;15.0;59.0;5.0;16.0;6.0;26.0;12.0;20.0
47;90001;B;Ten Boer                                ;9;00;5.0;01;61.0;9798.0;1.0;490;240;240;24.0;10.0;31.0;24.0;10.0;130.0;14.0;62.0;3.2;690;;9076.0;15519.0;29.0;25.0;;0.7;0.7;180;2;;;;;;;;
48;90002;B;Ten Boer                                ;9;00;5.0;02;59.0;9797.0;1.0;450;240;210;23.0;13.0;35.0;20.0;9.0;110.0;15.0;68.0;3.4;650;;7873.0;13659.0;32.0;18.0;18.0;0.7;0.7;180;2;;;;;;;;
49;90003;B;Ten Boer                                ;9;00;5.0;03;22.0;9796.0;1.0;130;70;60;13.0;15.0;37.0;21.0;14.0;30.0;22.0;;;240;;8486.0;13001.0;38.0;;;0.5;0.5;50;1;;;;;;;;
50;90005;B;Ten Boer                                ;9;00;5.0;05;36.0;9797.0;3.0;70;30;30;;21.0;30.0;25.0;;20.0;17.0;;;50;;;;;;;1.3;1.3;20;1;;;;;;;;
51;90009;B;Ten Boer                                ;9;00;5.0;09;75.0;9791.0;6.0;480;250;230;25.0;15.0;33.0;20.0;7.0;120.0;10.0;80.0;3.7;20;;8849.0;14839.0;25.0;23.0;;26.3;26.1;130;1;;;;;;;;
52;901;W;Ten Boer                                ;9;01;5.0;  ;71.0;;;1510;770;730;21.0;12.0;33.0;21.0;13.0;390.0;16.0;68.0;3.3;110;;8055.0;13704.0;42.0;21.0;21.0;14.8;14.6;580;3;;;;;;;;
53;90100;B;Ten Boer                                ;9;01;5.0;00;100.0;9792.0;1.0;740;370;370;19.0;12.0;31.0;23.0;14.0;200.0;16.0;64.0;3.1;920;;7896.0;13455.0;42.0;21.0;21.0;0.8;0.8;310;3;;;;;;;;
54;90101;B;Ten Boer                                ;9;01;5.0;01;42.0;9793.0;1.0;140;80;70;24.0;15.0;30.0;23.0;8.0;30.0;18.0;;;950;;7601.0;13954.0;57.0;;;0.2;0.2;50;1;;;;;;;;
55;90102;B;Ten Boer                                ;9;01;5.0;02;54.0;9795.0;1.0;300;160;150;15.0;9.0;34.0;23.0;19.0;80.0;21.0;63.0;3.0;830;;9325.0;13001.0;43.0;19.0;30.0;0.4;0.4;140;1;;;;;;;;
56;90104;B;Ten Boer                                ;9;01;5.0;04;12.0;9792.0;1.0;100;60;50;31.0;;44.0;12.0;;30.0;10.0;;;220;;;;;;;0.5;0.5;30;1;;;;;;;;
57;90106;B;Ten Boer                                ;9;01;5.0;06;39.0;9794.0;1.0;70;40;40;32.0;;38.0;17.0;;10.0;;;;250;;;;;;;0.3;0.3;20;1;;;;;;;;
58;90109;B;Ten Boer                                ;9;01;5.0;09;32.0;9792.0;4.0;140;80;60;29.0;16.0;34.0;;;40.0;8.0;;;20;;7102.0;16427.0;;;;12.6;12.5;20;1;;;;;;;;
59;10;G;Delfzijl                                ;10;  ;4.0;  ;791.0;;;30740;15300;15450;18.0;13.0;29.0;25.0;14.0;8330.0;20.0;60.0;3.0;230;5.0;8145.0;13114.0;43.0;20.0;27.0;227.4;133.5;13020;7;14.0;69.0;5.0;20.0;8.0;17.0;6.0;30.0
60;1000;W;Delfzijl                                ;10;00;3.0;  ;1039.0;;;21510;10640;10870;18.0;13.0;29.0;26.0;15.0;5840.0;21.0;57.0;2.9;2410;7.0;8213.0;13023.0;44.0;20.0;31.0;9.7;8.9;9560;7;11.0;73.0;4.0;21.0;8.0;17.0;6.0;34.0
61;100000;B;Delfzijl                                ;10;00;4.0;00;913.0;9934.0;1.0;920;430;480;5.0;6.0;17.0;29.0;42.0;280.0;31.0;22.0;2.3;2720;;10165.0;12706.0;51.0;19.0;24.0;0.4;0.3;550;6;4.0;87.0;1.0;32.0;9.0;9.0;4.0;40.0
62;100001;B;Delfzijl                                ;10;00;4.0;01;513.0;9936.0;2.0;2160;1100;1070;15.0;11.0;28.0;28.0;18.0;630.0;19.0;53.0;2.8;1030;1.0;8123.0;12819.0;41.0;18.0;26.0;2.6;2.1;940;5;26.0;68.0;11.0;6.0;7.0;6.0;5.0;38.0
63;100002;B;Delfzijl                                ;10;00;3.0;02;1316.0;9933.0;3.0;10060;5010;5050;18.0;15.0;28.0;25.0;13.0;2640.0;23.0;61.0;2.9;4160;12.0;7624.0;12184.0;48.0;16.0;42.0;2.4;2.4;4630;5;6.0;65.0;2.0;27.0;9.0;28.0;8.0;20.0
64;100003;B;Delfzijl                                ;10;00;3.0;03;1191.0;9934.0;1.0;3940;1900;2040;14.0;11.0;24.0;32.0;20.0;1150.0;20.0;46.0;2.8;2530;1.0;9280.0;13704.0;45.0;24.0;22.0;1.7;1.6;1730;4;8.0;63.0;3.0;15.0;6.0;29.0;3.0;37.0
65;100004;B;Delfzijl                                ;10;00;4.0;04;628.0;9932.0;1.0;1690;860;820;22.0;13.0;35.0;28.0;2.0;490.0;8.0;69.0;3.2;2140;1.0;9189.0;16744.0;22.0;37.0;9.0;0.8;0.8;570;2;;;;;;;;
66;100005;B;Delfzijl                                ;10;00;5.0;05;480.0;9932.0;1.0;2740;1340;1410;24.0;13.0;38.0;17.0;7.0;650.0;22.0;74.0;3.2;1580;7.0;7397.0;12978.0;39.0;18.0;27.0;1.9;1.7;1140;3;;;;;;;;
67;1001;W;Delfzijl                                ;10;01;5.0;  ;114.0;;;740;390;340;18.0;10.0;33.0;26.0;13.0;220.0;11.0;57.0;3.0;20;;8554.0;13772.0;38.0;23.0;14.0;40.8;37.8;290;3;;;;;;;;
68;100103;B;Delfzijl                                ;10;01;5.0;03;55.0;9937.0;1.0;310;160;160;18.0;12.0;36.0;27.0;7.0;100.0;9.0;54.0;3.0;570;;8327.0;13908.0;38.0;28.0;;0.6;0.6;120;1;;;;;;;;
69;100104;B;Delfzijl                                ;10;01;4.0;04;595.0;9931.0;1.0;80;40;30;;;29.0;25.0;19.0;20.0;16.0;;;380;;;;;;;0.2;0.2;30;1;;;;;;;;
70;100107;B;Delfzijl                                ;10;01;5.0;07;47.0;9937.0;2.0;320;180;140;17.0;10.0;33.0;27.0;14.0;100.0;12.0;58.0;2.9;10;;8758.0;14430.0;30.0;19.0;;24.3;24.1;120;1;;;;;;;;
71;100108;B;Delfzijl                                ;10;01;5.0;08;124.0;9936.0;1.0;30;10;10;;;;;;10.0;;;;10;;;;;;;13.6;10.8;20;3;;;;;;;;
72;100109;B;Delfzijl                                ;10;01;;09;;;;0;0;0;;;;;;0.0;;;;0;;;;;;;2.2;2.1;0;1;;;;;;;;
73;1002;W;Delfzijl                                ;10;02;5.0;  ;152.0;;;4210;2100;2100;17.0;11.0;30.0;24.0;17.0;1100.0;20.0;63.0;3.1;100;;7918.0;12570.0;46.0;17.0;25.0;42.2;41.6;1580;4;14.0;62.0;4.0;22.0;17.0;24.0;6.0;13.0
74;100200;B;Delfzijl                                ;10;02;5.0;00;127.0;9946.0;1.0;1030;510;530;19.0;12.0;31.0;26.0;13.0;290.0;14.0;64.0;3.0;830;;7487.0;12819.0;43.0;19.0;19.0;1.3;1.3;410;2;;;;;;;;
75;100201;B;Delfzijl                                ;10;02;5.0;01;94.0;9947.0;3.0;470;240;220;17.0;11.0;34.0;26.0;13.0;140.0;15.0;57.0;2.9;830;;7805.0;11685.0;48.0;;40.0;0.6;0.6;210;1;;;;;;;;
76;100202;B;Delfzijl                                ;10;02;5.0;02;95.0;9948.0;1.0;280;140;130;15.0;13.0;32.0;25.0;14.0;80.0;16.0;57.0;3.0;1010;;8304.0;13840.0;47.0;23.0;25.0;0.3;0.3;120;2;;;;;;;;
77;100203;B;Delfzijl                                ;10;02;5.0;03;32.0;9949.0;1.0;110;60;50;18.0;13.0;35.0;21.0;14.0;30.0;13.0;;;240;;9779.0;12933.0;;;;0.5;0.5;50;1;;;;;;;;
78;100205;B;Delfzijl                                ;10;02;5.0;05;219.0;9945.0;1.0;2080;1000;1070;17.0;11.0;28.0;24.0;20.0;500.0;26.0;63.0;3.1;1150;;7828.0;12071.0;51.0;16.0;27.0;1.8;1.8;710;3;;;;;;;;
79;100207;B;Delfzijl                                ;10;02;5.0;07;79.0;9945.0;1.0;60;30;30;26.0;;38.0;;;10.0;;;;0;;;;;;;9.5;9.4;20;1;;;;;;;;
80;100209;B;Delfzijl                                ;10;02;5.0;09;35.0;9946.0;6.0;190;110;80;21.0;11.0;35.0;23.0;11.0;50.0;12.0;65.0;3.2;10;;10414.0;16041.0;22.0;35.0;;28.3;27.9;80;1;;;;;;;;
81;1003;W;Delfzijl                                ;10;03;5.0;  ;107.0;;;4300;2160;2130;20.0;13.0;32.0;24.0;11.0;1170.0;13.0;68.0;3.2;90;0.0;7964.0;14022.0;35.0;22.0;12.0;45.5;45.2;1600;5;21.0;57.0;8.0;15.0;9.0;22.0;5.0;20.0
82;100300;B;Delfzijl                                ;10;03;5.0;00;83.0;9906.0;1.0;680;330;360;17.0;13.0;28.0;24.0;18.0;180.0;19.0;63.0;3.1;910;;8531.0;13976.0;43.0;22.0;;0.8;0.8;240;2;;;;;;;;
83;100301;B;Delfzijl                                ;10;03;5.0;01;166.0;9909.0;1.0;1330;670;650;22.0;12.0;31.0;20.0;14.0;350.0;15.0;69.0;3.3;1250;;7442.0;13795.0;36.0;20.0;17.0;1.1;1.1;500;3;;;;;;;;
84;100302;B;Delfzijl                                ;10;03;5.0;02;125.0;9905.0;1.0;1090;540;550;21.0;12.0;33.0;27.0;8.0;320.0;10.0;63.0;3.1;1180;;8281.0;14680.0;30.0;26.0;12.0;0.9;0.9;420;3;;;;;;;;
85;100303;B;Delfzijl                                ;10;03;5.0;03;45.0;9908.0;1.0;290;150;130;19.0;10.0;36.0;23.0;11.0;80.0;13.0;67.0;3.0;620;;7828.0;12502.0;45.0;;;0.5;0.5;110;2;;;;;;;;
86;100304;B;Delfzijl                                ;10;03;5.0;04;40.0;9907.0;1.0;210;110;110;23.0;12.0;34.0;22.0;9.0;50.0;13.0;71.0;3.3;360;;9030.0;14362.0;;;;0.6;0.6;90;1;;;;;;;;
87;100305;B;Delfzijl                                ;10;03;5.0;05;20.0;9904.0;1.0;100;50;50;14.0;16.0;28.0;32.0;11.0;30.0;15.0;;;280;;6171.0;10732.0;49.0;;;0.4;0.4;40;1;;;;;;;;
88;100309;B;Delfzijl                                ;10;03;5.0;09;43.0;9904.0;6.0;590;310;280;20.0;16.0;32.0;26.0;6.0;160.0;8.0;76.0;3.3;10;;8032.0;14657.0;29.0;23.0;;41.3;41.1;200;2;;;;;;;;
89;14;G;Groningen                               ;14;  ;1.0;  ;2941.0;;;170670;83300;87360;13.0;21.0;35.0;17.0;13.0;32320.0;46.0;60.0;2.9;2140;4.0;8259.0;11866.0;50.0;13.0;31.0;82.8;79.8;79080;9;14.0;67.0;7.0;21.0;8.0;19.0;14.0;18.0
90;1400;W;Groningen                               ;14;00;1.0;  ;4982.0;;;14560;7610;6960;4.0;35.0;42.0;11.0;8.0;1210.0;79.0;53.0;2.6;8920;2.0;8327.0;11413.0;59.0;13.0;31.0;1.7;1.6;6220;8;9.0;76.0;5.0;33.0;15.0;16.0;13.0;10.0
91;140000;B;Groningen                               ;14;00;1.0;00;5052.0;9712.0;1.0;1990;1090;900;4.0;38.0;39.0;12.0;7.0;140.0;82.0;46.0;2.5;7240;3.0;8440.0;11549.0;58.0;13.0;32.0;0.3;0.3;730;6;5.0;79.0;5.0;37.0;13.0;16.0;14.0;10.0
92;140001;B;Groningen                               ;14;00;1.0;01;4852.0;9711.0;1.0;4790;2530;2250;4.0;34.0;44.0;10.0;8.0;360.0;81.0;55.0;2.6;8540;3.0;8690.0;11866.0;59.0;14.0;30.0;0.6;0.6;2200;7;7.0;77.0;3.0;34.0;18.0;16.0;12.0;10.0
93;140002;B;Groningen                               ;14;00;1.0;02;4610.0;9711.0;1.0;2590;1310;1270;7.0;31.0;42.0;12.0;8.0;280.0;71.0;58.0;2.6;11850;2.0;7918.0;11118.0;57.0;9.0;34.0;0.2;0.2;1130;5;18.0;66.0;11.0;21.0;14.0;16.0;12.0;7.0
94;140003;B;Groningen                               ;14;00;1.0;03;5348.0;9712.0;1.0;1460;820;650;2.0;38.0;46.0;10.0;3.0;80.0;86.0;48.0;2.6;13100;3.0;8599.0;11367.0;63.0;17.0;27.0;0.1;0.1;560;5;12.0;74.0;5.0;30.0;15.0;14.0;19.0;5.0
95;140004;B;Groningen                               ;14;00;1.0;04;5246.0;9712.0;1.0;3740;1840;1900;4.0;36.0;37.0;12.0;11.0;340.0;76.0;52.0;2.6;7990;1.0;7964.0;10959.0;60.0;11.0;31.0;0.5;0.5;1590;6;10.0;74.0;5.0;33.0;9.0;16.0;13.0;14.0
96;1401;W;Groningen                               ;14;01;1.0;  ;3081.0;;;22410;10920;11480;10.0;26.0;32.0;19.0;13.0;4010.0;51.0;54.0;2.8;6300;4.0;7987.0;11367.0;53.0;12.0;36.0;3.7;3.6;10040;7;14.0;65.0;7.0;18.0;6.0;21.0;14.0;21.0
97;140100;B;Groningen                               ;14;01;1.0;00;4652.0;9718.0;1.0;5610;2790;2810;8.0;35.0;38.0;13.0;6.0;610.0;69.0;56.0;2.8;11970;1.0;8645.0;12751.0;48.0;19.0;25.0;0.5;0.5;2160;6;11.0;65.0;6.0;14.0;6.0;24.0;15.0;22.0
98;140101;B;Groningen                               ;14;01;1.0;01;3616.0;9726.0;1.0;3500;1600;1900;4.0;38.0;36.0;11.0;11.0;380.0;72.0;47.0;2.5;6930;2.0;8145.0;11186.0;52.0;11.0;28.0;0.5;0.5;1540;5;9.0;76.0;5.0;24.0;7.0;16.0;17.0;22.0
