ID;EnergySourcesAndTechniques;EnergyApplication;Periods;FinalConsumption_1;FinalConsumptionRelative_2
225;Tot  renewable incl statistical transfer;Heating and cooling;2011;;
226;Tot  renewable incl statistical transfer;Heating and cooling;2012;;
227;Tot  renewable incl statistical transfer;Heating and cooling;2013;;
228;Tot  renewable incl statistical transfer;Heating and cooling;2014;;
229;Tot  renewable incl statistical transfer;Heating and cooling;2015;;
230;Tot  renewable incl statistical transfer;Heating and cooling;2016;;
231;Tot  renewable incl statistical transfer;Heating and cooling;2017;;
232;Tot  renewable incl statistical transfer;Heating and cooling;2018;;
233;Tot  renewable incl statistical transfer;Heating and cooling;2019;;
234;Tot  renewable incl statistical transfer;Heating and cooling;2020;;
235;Tot  renewable incl statistical transfer;Heating and cooling;2021;;
236;Tot  renewable incl statistical transfer;Heating and cooling;2022;;
237;Tot  renewable incl statistical transfer;Heating and cooling;2023;;
238;Tot  renewable incl statistical transfer;Transport;1990;;
239;Tot  renewable incl statistical transfer;Transport;1991;;
240;Tot  renewable incl statistical transfer;Transport;1992;;
241;Tot  renewable incl statistical transfer;Transport;1993;;
242;Tot  renewable incl statistical transfer;Transport;1994;;
243;Tot  renewable incl statistical transfer;Transport;1995;;
244;Tot  renewable incl statistical transfer;Transport;1996;;
245;Tot  renewable incl statistical transfer;Transport;1997;;
246;Tot  renewable incl statistical transfer;Transport;1998;;
247;Tot  renewable incl statistical transfer;Transport;1999;;
248;Tot  renewable incl statistical transfer;Transport;2000;;
249;Tot  renewable incl statistical transfer;Transport;2001;;
250;Tot  renewable incl statistical transfer;Transport;2002;;
251;Tot  renewable incl statistical transfer;Transport;2003;;
252;Tot  renewable incl statistical transfer;Transport;2004;;
253;Tot  renewable incl statistical transfer;Transport;2005;;
254;Tot  renewable incl statistical transfer;Transport;2006;;
255;Tot  renewable incl statistical transfer;Transport;2007;;
256;Tot  renewable incl statistical transfer;Transport;2008;;
257;Tot  renewable incl statistical transfer;Transport;2009;;
258;Tot  renewable incl statistical transfer;Transport;2010;;
259;Tot  renewable incl statistical transfer;Transport;2011;;
260;Tot  renewable incl statistical transfer;Transport;2012;;
261;Tot  renewable incl statistical transfer;Transport;2013;;
262;Tot  renewable incl statistical transfer;Transport;2014;;
263;Tot  renewable incl statistical transfer;Transport;2015;;
264;Tot  renewable incl statistical transfer;Transport;2016;;
265;Tot  renewable incl statistical transfer;Transport;2017;;
266;Tot  renewable incl statistical transfer;Transport;2018;;
267;Tot  renewable incl statistical transfer;Transport;2019;;
268;Tot  renewable incl statistical transfer;Transport;2020;;
269;Tot  renewable incl statistical transfer;Transport;2021;;
270;Tot  renewable incl statistical transfer;Transport;2022;;
271;Tot  renewable incl statistical transfer;Transport;2023;;
272;Statistical transfer;Total energy applications;1990;;
273;Statistical transfer;Total energy applications;1991;;
274;Statistical transfer;Total energy applications;1992;;
275;Statistical transfer;Total energy applications;1993;;
276;Statistical transfer;Total energy applications;1994;;
277;Statistical transfer;Total energy applications;1995;;
278;Statistical transfer;Total energy applications;1996;;
279;Statistical transfer;Total energy applications;1997;;
280;Statistical transfer;Total energy applications;1998;;
281;Statistical transfer;Total energy applications;1999;;
282;Statistical transfer;Total energy applications;2000;;
283;Statistical transfer;Total energy applications;2001;;
284;Statistical transfer;Total energy applications;2002;;
285;Statistical transfer;Total energy applications;2003;;
286;Statistical transfer;Total energy applications;2004;;
287;Statistical transfer;Total energy applications;2005;;
288;Statistical transfer;Total energy applications;2006;;
289;Statistical transfer;Total energy applications;2007;;
290;Statistical transfer;Total energy applications;2008;;
291;Statistical transfer;Total energy applications;2009;;
292;Statistical transfer;Total energy applications;2010;;
293;Statistical transfer;Total energy applications;2011;;
294;Statistical transfer;Total energy applications;2012;;
295;Statistical transfer;Total energy applications;2013;;
296;Statistical transfer;Total energy applications;2014;;
297;Statistical transfer;Total energy applications;2015;;
298;Statistical transfer;Total energy applications;2016;;
299;Statistical transfer;Total energy applications;2017;;
300;Statistical transfer;Total energy applications;2018;;
301;Statistical transfer;Total energy applications;2019;;
302;Statistical transfer;Total energy applications;2020;49140.0;2.53
303;Statistical transfer;Total energy applications;2021;;
304;Statistical transfer;Total energy applications;2022;;
305;Statistical transfer;Total energy applications;2023;;
306;Statistical transfer;Electricity;1990;;
307;Statistical transfer;Electricity;1991;;
308;Statistical transfer;Electricity;1992;;
309;Statistical transfer;Electricity;1993;;
310;Statistical transfer;Electricity;1994;;
311;Statistical transfer;Electricity;1995;;
312;Statistical transfer;Electricity;1996;;
313;Statistical transfer;Electricity;1997;;
314;Statistical transfer;Electricity;1998;;
315;Statistical transfer;Electricity;1999;;
316;Statistical transfer;Electricity;2000;;
317;Statistical transfer;Electricity;2001;;
318;Statistical transfer;Electricity;2002;;
319;Statistical transfer;Electricity;2003;;
320;Statistical transfer;Electricity;2004;;
321;Statistical transfer;Electricity;2005;;
322;Statistical transfer;Electricity;2006;;
323;Statistical transfer;Electricity;2007;;
324;Statistical transfer;Electricity;2008;;
325;Statistical transfer;Electricity;2009;;
326;Statistical transfer;Electricity;2010;;
327;Statistical transfer;Electricity;2011;;
328;Statistical transfer;Electricity;2012;;
329;Statistical transfer;Electricity;2013;;
330;Statistical transfer;Electricity;2014;;
331;Statistical transfer;Electricity;2015;;
332;Statistical transfer;Electricity;2016;;
333;Statistical transfer;Electricity;2017;;
334;Statistical transfer;Electricity;2018;;
335;Statistical transfer;Electricity;2019;;
336;Statistical transfer;Electricity;2020;;
337;Statistical transfer;Electricity;2021;;
338;Statistical transfer;Electricity;2022;;
339;Statistical transfer;Electricity;2023;;
340;Statistical transfer;Heating and cooling;1990;;
341;Statistical transfer;Heating and cooling;1991;;
342;Statistical transfer;Heating and cooling;1992;;
343;Statistical transfer;Heating and cooling;1993;;
344;Statistical transfer;Heating and cooling;1994;;
345;Statistical transfer;Heating and cooling;1995;;
346;Statistical transfer;Heating and cooling;1996;;
347;Statistical transfer;Heating and cooling;1997;;
348;Statistical transfer;Heating and cooling;1998;;
349;Statistical transfer;Heating and cooling;1999;;
350;Statistical transfer;Heating and cooling;2000;;
351;Statistical transfer;Heating and cooling;2001;;
352;Statistical transfer;Heating and cooling;2002;;
353;Statistical transfer;Heating and cooling;2003;;
354;Statistical transfer;Heating and cooling;2004;;
355;Statistical transfer;Heating and cooling;2005;;
356;Statistical transfer;Heating and cooling;2006;;
357;Statistical transfer;Heating and cooling;2007;;
358;Statistical transfer;Heating and cooling;2008;;
359;Statistical transfer;Heating and cooling;2009;;
360;Statistical transfer;Heating and cooling;2010;;
361;Statistical transfer;Heating and cooling;2011;;
362;Statistical transfer;Heating and cooling;2012;;
363;Statistical transfer;Heating and cooling;2013;;
364;Statistical transfer;Heating and cooling;2014;;
365;Statistical transfer;Heating and cooling;2015;;
366;Statistical transfer;Heating and cooling;2016;;
367;Statistical transfer;Heating and cooling;2017;;
368;Statistical transfer;Heating and cooling;2018;;
369;Statistical transfer;Heating and cooling;2019;;
370;Statistical transfer;Heating and cooling;2020;;
371;Statistical transfer;Heating and cooling;2021;;
372;Statistical transfer;Heating and cooling;2022;;
373;Statistical transfer;Heating and cooling;2023;;
374;Statistical transfer;Transport;1990;;
375;Statistical transfer;Transport;1991;;
376;Statistical transfer;Transport;1992;;
377;Statistical transfer;Transport;1993;;
378;Statistical transfer;Transport;1994;;
379;Statistical transfer;Transport;1995;;
380;Statistical transfer;Transport;1996;;
381;Statistical transfer;Transport;1997;;
382;Statistical transfer;Transport;1998;;
383;Statistical transfer;Transport;1999;;
384;Statistical transfer;Transport;2000;;
385;Statistical transfer;Transport;2001;;
386;Statistical transfer;Transport;2002;;
387;Statistical transfer;Transport;2003;;
388;Statistical transfer;Transport;2004;;
389;Statistical transfer;Transport;2005;;
390;Statistical transfer;Transport;2006;;
391;Statistical transfer;Transport;2007;;
392;Statistical transfer;Transport;2008;;
393;Statistical transfer;Transport;2009;;
394;Statistical transfer;Transport;2010;;
395;Statistical transfer;Transport;2011;;
396;Statistical transfer;Transport;2012;;
397;Statistical transfer;Transport;2013;;
398;Statistical transfer;Transport;2014;;
399;Statistical transfer;Transport;2015;;
400;Statistical transfer;Transport;2016;;
401;Statistical transfer;Transport;2017;;
402;Statistical transfer;Transport;2018;;
403;Statistical transfer;Transport;2019;;
404;Statistical transfer;Transport;2020;;
405;Statistical transfer;Transport;2021;;
406;Statistical transfer;Transport;2022;;
407;Statistical transfer;Transport;2023;;
408;Total, including non-renewables;Total energy applications;1990;1818792.0;
409;Total, including non-renewables;Total energy applications;1991;1947665.0;
410;Total, including non-renewables;Total energy applications;1992;1918884.0;
411;Total, including non-renewables;Total energy applications;1993;1989966.0;
412;Total, including non-renewables;Total energy applications;1994;1963753.0;
413;Total, including non-renewables;Total energy applications;1995;2034780.0;
414;Total, including non-renewables;Total energy applications;1996;2206321.0;
415;Total, including non-renewables;Total energy applications;1997;2115236.0;
416;Total, including non-renewables;Total energy applications;1998;2119199.0;
417;Total, including non-renewables;Total energy applications;1999;2078323.0;
418;Total, including non-renewables;Total energy applications;2000;2139719.0;
419;Total, including non-renewables;Total energy applications;2001;2177170.0;
420;Total, including non-renewables;Total energy applications;2002;2164264.0;
421;Total, including non-renewables;Total energy applications;2003;2203715.0;
422;Total, including non-renewables;Total energy applications;2004;2328387.0;
423;Total, including non-renewables;Total energy applications;2005;2300710.0;
424;Total, including non-renewables;Total energy applications;2006;2284781.0;
425;Total, including non-renewables;Total energy applications;2007;2247857.0;
426;Total, including non-renewables;Total energy applications;2008;2282493.0;
427;Total, including non-renewables;Total energy applications;2009;2195534.0;
428;Total, including non-renewables;Total energy applications;2010;2359420.0;
429;Total, including non-renewables;Total energy applications;2011;2192915.0;
430;Total, including non-renewables;Total energy applications;2012;2203277.0;
431;Total, including non-renewables;Total energy applications;2013;2205198.0;
432;Total, including non-renewables;Total energy applications;2014;2009118.0;
433;Total, including non-renewables;Total energy applications;2015;2046519.0;
434;Total, including non-renewables;Total energy applications;2016;2091289.0;
435;Total, including non-renewables;Total energy applications;2017;2104645.0;
436;Total, including non-renewables;Total energy applications;2018;2116089.0;
437;Total, including non-renewables;Total energy applications;2019;2077604.0;
438;Total, including non-renewables;Total energy applications;2020;1944180.0;
439;Total, including non-renewables;Total energy applications;2021;2008051.0;
440;Total, including non-renewables;Total energy applications;2022;1855683.0;
441;Total, including non-renewables;Total energy applications;2023;1790898.0;
442;Total, including non-renewables;Electricity;1990;;
443;Total, including non-renewables;Electricity;1991;;
444;Total, including non-renewables;Electricity;1992;;
445;Total, including non-renewables;Electricity;1993;;
446;Total, including non-renewables;Electricity;1994;;
447;Total, including non-renewables;Electricity;1995;;
448;Total, including non-renewables;Electricity;1996;;
449;Total, including non-renewables;Electricity;1997;;
450;Total, including non-renewables;Electricity;1998;;
451;Total, including non-renewables;Electricity;1999;;
452;Total, including non-renewables;Electricity;2000;;
453;Total, including non-renewables;Electricity;2001;;
454;Total, including non-renewables;Electricity;2002;;
455;Total, including non-renewables;Electricity;2003;;
456;Total, including non-renewables;Electricity;2004;422752.0;
457;Total, including non-renewables;Electricity;2005;425570.0;
458;Total, including non-renewables;Electricity;2006;433051.0;
459;Total, including non-renewables;Electricity;2007;441986.0;
460;Total, including non-renewables;Electricity;2008;444251.0;
461;Total, including non-renewables;Electricity;2009;426895.0;
462;Total, including non-renewables;Electricity;2010;439362.0;
463;Total, including non-renewables;Electricity;2011;442987.0;
464;Total, including non-renewables;Electricity;2012;433240.0;
465;Total, including non-renewables;Electricity;2013;431522.0;
466;Total, including non-renewables;Electricity;2014;425109.0;
467;Total, including non-renewables;Electricity;2015;428253.0;
468;Total, including non-renewables;Electricity;2016;432259.0;
469;Total, including non-renewables;Electricity;2017;434524.0;
470;Total, including non-renewables;Electricity;2018;440020.0;
471;Total, including non-renewables;Electricity;2019;439947.0;
472;Total, including non-renewables;Electricity;2020;435223.0;
473;Total, including non-renewables;Electricity;2021;440724.0;
474;Total, including non-renewables;Electricity;2022;422303.0;
475;Total, including non-renewables;Electricity;2023;416416.0;
476;Total, including non-renewables;Heating and cooling;1990;;
477;Total, including non-renewables;Heating and cooling;1991;;
478;Total, including non-renewables;Heating and cooling;1992;;
479;Total, including non-renewables;Heating and cooling;1993;;
480;Total, including non-renewables;Heating and cooling;1994;;
481;Total, including non-renewables;Heating and cooling;1995;;
