ID;VerdachtenNaarSoortMisdrijf;Regio;Perioden;AantalVerdachten_1;VerdachtenPer1000Inwoners_2
225;Totaal verdachten van misdrijven;Abcoude;2004;70.0;9.0
226;Totaal verdachten van misdrijven;Abcoude;2005;60.0;8.0
227;Totaal verdachten van misdrijven;Abcoude;2006;80.0;11.0
228;Totaal verdachten van misdrijven;Abcoude;2007;80.0;12.0
229;Totaal verdachten van misdrijven;Abcoude;2008;70.0;10.0
230;Totaal verdachten van misdrijven;Achtkarspelen;1999;100.0;4.0
231;Totaal verdachten van misdrijven;Achtkarspelen;2000;140.0;6.0
232;Totaal verdachten van misdrijven;Achtkarspelen;2001;150.0;6.0
233;Totaal verdachten van misdrijven;Achtkarspelen;2002;180.0;8.0
234;Totaal verdachten van misdrijven;Achtkarspelen;2003;170.0;7.0
235;Totaal verdachten van misdrijven;Achtkarspelen;2004;220.0;9.0
236;Totaal verdachten van misdrijven;Achtkarspelen;2005;250.0;10.0
237;Totaal verdachten van misdrijven;Achtkarspelen;2006;270.0;12.0
238;Totaal verdachten van misdrijven;Achtkarspelen;2007;220.0;9.0
239;Totaal verdachten van misdrijven;Achtkarspelen;2008;230.0;10.0
240;Totaal verdachten van misdrijven;Akersloot;1999;20.0;6.0
241;Totaal verdachten van misdrijven;Akersloot;2000;20.0;5.0
242;Totaal verdachten van misdrijven;Akersloot;2001;10.0;3.0
243;Totaal verdachten van misdrijven;Akersloot;2002;;
244;Totaal verdachten van misdrijven;Akersloot;2003;;
245;Totaal verdachten van misdrijven;Akersloot;2004;;
246;Totaal verdachten van misdrijven;Akersloot;2005;;
247;Totaal verdachten van misdrijven;Akersloot;2006;;
248;Totaal verdachten van misdrijven;Akersloot;2007;;
249;Totaal verdachten van misdrijven;Akersloot;2008;;
250;Totaal verdachten van misdrijven;Alblasserdam;1999;140.0;9.0
251;Totaal verdachten van misdrijven;Alblasserdam;2000;150.0;10.0
252;Totaal verdachten van misdrijven;Alblasserdam;2001;140.0;9.0
253;Totaal verdachten van misdrijven;Alblasserdam;2002;160.0;11.0
254;Totaal verdachten van misdrijven;Alblasserdam;2003;180.0;12.0
255;Totaal verdachten van misdrijven;Alblasserdam;2004;190.0;12.0
256;Totaal verdachten van misdrijven;Alblasserdam;2005;240.0;16.0
257;Totaal verdachten van misdrijven;Alblasserdam;2006;210.0;13.0
258;Totaal verdachten van misdrijven;Alblasserdam;2007;250.0;16.0
259;Totaal verdachten van misdrijven;Alblasserdam;2008;190.0;12.0
260;Totaal verdachten van misdrijven;Albrandswaard;1999;90.0;6.0
261;Totaal verdachten van misdrijven;Albrandswaard;2000;90.0;6.0
262;Totaal verdachten van misdrijven;Albrandswaard;2001;100.0;7.0
263;Totaal verdachten van misdrijven;Albrandswaard;2002;100.0;6.0
264;Totaal verdachten van misdrijven;Albrandswaard;2003;160.0;10.0
265;Totaal verdachten van misdrijven;Albrandswaard;2004;170.0;10.0
266;Totaal verdachten van misdrijven;Albrandswaard;2005;190.0;11.0
267;Totaal verdachten van misdrijven;Albrandswaard;2006;220.0;12.0
268;Totaal verdachten van misdrijven;Albrandswaard;2007;270.0;14.0
269;Totaal verdachten van misdrijven;Albrandswaard;2008;220.0;11.0
270;Totaal verdachten van misdrijven;Alkemade;1999;110.0;9.0
271;Totaal verdachten van misdrijven;Alkemade;2000;80.0;7.0
272;Totaal verdachten van misdrijven;Alkemade;2001;70.0;6.0
273;Totaal verdachten van misdrijven;Alkemade;2002;90.0;7.0
274;Totaal verdachten van misdrijven;Alkemade;2003;90.0;7.0
275;Totaal verdachten van misdrijven;Alkemade;2004;110.0;9.0
276;Totaal verdachten van misdrijven;Alkemade;2005;120.0;9.0
277;Totaal verdachten van misdrijven;Alkemade;2006;110.0;9.0
278;Totaal verdachten van misdrijven;Alkemade;2007;130.0;10.0
279;Totaal verdachten van misdrijven;Alkemade;2008;90.0;7.0
280;Totaal verdachten van misdrijven;Alkmaar;1999;990.0;12.0
281;Totaal verdachten van misdrijven;Alkmaar;2000;820.0;10.0
282;Totaal verdachten van misdrijven;Alkmaar;2001;660.0;8.0
283;Totaal verdachten van misdrijven;Alkmaar;2002;1050.0;13.0
284;Totaal verdachten van misdrijven;Alkmaar;2003;1270.0;16.0
285;Totaal verdachten van misdrijven;Alkmaar;2004;1200.0;15.0
286;Totaal verdachten van misdrijven;Alkmaar;2005;1360.0;17.0
287;Totaal verdachten van misdrijven;Alkmaar;2006;1210.0;15.0
288;Totaal verdachten van misdrijven;Alkmaar;2007;1380.0;17.0
289;Totaal verdachten van misdrijven;Alkmaar;2008;1310.0;16.0
290;Totaal verdachten van misdrijven;Almelo;1999;900.0;16.0
291;Totaal verdachten van misdrijven;Almelo;2000;950.0;17.0
292;Totaal verdachten van misdrijven;Almelo;2001;920.0;15.0
293;Totaal verdachten van misdrijven;Almelo;2002;900.0;15.0
294;Totaal verdachten van misdrijven;Almelo;2003;940.0;15.0
295;Totaal verdachten van misdrijven;Almelo;2004;1020.0;17.0
296;Totaal verdachten van misdrijven;Almelo;2005;1110.0;18.0
297;Totaal verdachten van misdrijven;Almelo;2006;1070.0;17.0
298;Totaal verdachten van misdrijven;Almelo;2007;1100.0;18.0
299;Totaal verdachten van misdrijven;Almelo;2008;970.0;16.0
300;Totaal verdachten van misdrijven;Almere;1999;1470.0;13.0
301;Totaal verdachten van misdrijven;Almere;2000;1450.0;12.0
302;Totaal verdachten van misdrijven;Almere;2001;1860.0;15.0
303;Totaal verdachten van misdrijven;Almere;2002;2130.0;16.0
304;Totaal verdachten van misdrijven;Almere;2003;2590.0;19.0
305;Totaal verdachten van misdrijven;Almere;2004;3070.0;22.0
306;Totaal verdachten van misdrijven;Almere;2005;3200.0;22.0
307;Totaal verdachten van misdrijven;Almere;2006;3380.0;23.0
308;Totaal verdachten van misdrijven;Almere;2007;3270.0;22.0
309;Totaal verdachten van misdrijven;Almere;2008;3250.0;21.0
310;Totaal verdachten van misdrijven;Alphen aan den Rijn;1999;590.0;10.0
311;Totaal verdachten van misdrijven;Alphen aan den Rijn;2000;610.0;10.0
312;Totaal verdachten van misdrijven;Alphen aan den Rijn;2001;690.0;12.0
313;Totaal verdachten van misdrijven;Alphen aan den Rijn;2002;810.0;14.0
314;Totaal verdachten van misdrijven;Alphen aan den Rijn;2003;760.0;13.0
315;Totaal verdachten van misdrijven;Alphen aan den Rijn;2004;920.0;15.0
316;Totaal verdachten van misdrijven;Alphen aan den Rijn;2005;920.0;15.0
317;Totaal verdachten van misdrijven;Alphen aan den Rijn;2006;880.0;15.0
318;Totaal verdachten van misdrijven;Alphen aan den Rijn;2007;880.0;14.0
319;Totaal verdachten van misdrijven;Alphen aan den Rijn;2008;830.0;14.0
320;Totaal verdachten van misdrijven;Alphen-Chaam;1999;40.0;5.0
321;Totaal verdachten van misdrijven;Alphen-Chaam;2000;20.0;2.0
322;Totaal verdachten van misdrijven;Alphen-Chaam;2001;30.0;4.0
323;Totaal verdachten van misdrijven;Alphen-Chaam;2002;30.0;4.0
324;Totaal verdachten van misdrijven;Alphen-Chaam;2003;40.0;6.0
325;Totaal verdachten van misdrijven;Alphen-Chaam;2004;40.0;5.0
326;Totaal verdachten van misdrijven;Alphen-Chaam;2005;50.0;7.0
327;Totaal verdachten van misdrijven;Alphen-Chaam;2006;50.0;6.0
328;Totaal verdachten van misdrijven;Alphen-Chaam;2007;50.0;6.0
329;Totaal verdachten van misdrijven;Alphen-Chaam;2008;40.0;5.0
330;Totaal verdachten van misdrijven;Ambt Delden;1999;30.0;7.0
331;Totaal verdachten van misdrijven;Ambt Delden;2000;30.0;6.0
332;Totaal verdachten van misdrijven;Ambt Delden;2001;;
333;Totaal verdachten van misdrijven;Ambt Delden;2002;;
334;Totaal verdachten van misdrijven;Ambt Delden;2003;;
335;Totaal verdachten van misdrijven;Ambt Delden;2004;;
336;Totaal verdachten van misdrijven;Ambt Delden;2005;;
337;Totaal verdachten van misdrijven;Ambt Delden;2006;;
338;Totaal verdachten van misdrijven;Ambt Delden;2007;;
339;Totaal verdachten van misdrijven;Ambt Delden;2008;;
340;Totaal verdachten van misdrijven;Ambt Montfort;1999;50.0;5.0
341;Totaal verdachten van misdrijven;Ambt Montfort;2000;60.0;6.0
342;Totaal verdachten van misdrijven;Ambt Montfort;2001;50.0;5.0
343;Totaal verdachten van misdrijven;Ambt Montfort;2002;50.0;5.0
344;Totaal verdachten van misdrijven;Ambt Montfort;2003;50.0;5.0
345;Totaal verdachten van misdrijven;Ambt Montfort;2004;60.0;6.0
346;Totaal verdachten van misdrijven;Ambt Montfort;2005;50.0;6.0
347;Totaal verdachten van misdrijven;Ambt Montfort;2006;60.0;7.0
348;Totaal verdachten van misdrijven;Ambt Montfort;2007;;
349;Totaal verdachten van misdrijven;Ambt Montfort;2008;;
350;Totaal verdachten van misdrijven;Ameland;1999;0.0;0.0
351;Totaal verdachten van misdrijven;Ameland;2000;0.0;0.0
352;Totaal verdachten van misdrijven;Ameland;2001;10.0;2.0
353;Totaal verdachten van misdrijven;Ameland;2002;20.0;7.0
354;Totaal verdachten van misdrijven;Ameland;2003;30.0;9.0
355;Totaal verdachten van misdrijven;Ameland;2004;20.0;8.0
356;Totaal verdachten van misdrijven;Ameland;2005;20.0;5.0
357;Totaal verdachten van misdrijven;Ameland;2006;20.0;7.0
358;Totaal verdachten van misdrijven;Ameland;2007;20.0;7.0
359;Totaal verdachten van misdrijven;Ameland;2008;20.0;7.0
360;Totaal verdachten van misdrijven;Amerongen;1999;70.0;11.0
361;Totaal verdachten van misdrijven;Amerongen;2000;80.0;12.0
362;Totaal verdachten van misdrijven;Amerongen;2001;70.0;11.0
363;Totaal verdachten van misdrijven;Amerongen;2002;70.0;11.0
364;Totaal verdachten van misdrijven;Amerongen;2003;80.0;13.0
365;Totaal verdachten van misdrijven;Amerongen;2004;90.0;15.0
366;Totaal verdachten van misdrijven;Amerongen;2005;90.0;14.0
367;Totaal verdachten van misdrijven;Amerongen;2006;;
368;Totaal verdachten van misdrijven;Amerongen;2007;;
369;Totaal verdachten van misdrijven;Amerongen;2008;;
370;Totaal verdachten van misdrijven;Amersfoort;1999;1070.0;10.0
371;Totaal verdachten van misdrijven;Amersfoort;2000;1120.0;11.0
372;Totaal verdachten van misdrijven;Amersfoort;2001;920.0;9.0
373;Totaal verdachten van misdrijven;Amersfoort;2002;1490.0;14.0
374;Totaal verdachten van misdrijven;Amersfoort;2003;1590.0;15.0
375;Totaal verdachten van misdrijven;Amersfoort;2004;1820.0;16.0
376;Totaal verdachten van misdrijven;Amersfoort;2005;1880.0;17.0
377;Totaal verdachten van misdrijven;Amersfoort;2006;2000.0;17.0
378;Totaal verdachten van misdrijven;Amersfoort;2007;1950.0;17.0
379;Totaal verdachten van misdrijven;Amersfoort;2008;1950.0;16.0
