ID;Perioden;Prijsindex_1;MutatiesTovDezelfdePeriodeVorigJaar_2;Prijsindex_3;MutatiesTovDezelfdePeriodeVorigJaar_4;Prijsindex_5;MutatiesTovDezelfdePeriodeVorigJaar_6
176;2003 augustus;112.2;2.0;116.5;3.1;108.6;1.1
177;2003 september;112.2;2.0;116.5;3.1;108.5;0.9
178;2003 oktober;111.5;1.4;115.5;2.2;108.3;0.8
179;2003 november;111.5;1.5;115.5;2.5;108.3;0.6
180;2003 december;111.5;1.6;115.5;2.5;108.3;0.7
181;2003;111.5;2.1;115.4;3.4;108.4;1.0
182;2004 januari;112.1;0.9;116.3;1.5;108.4;0.2
183;2004 februari;112.8;1.5;117.2;2.3;109.1;0.8
184;2004 maart;113.2;1.8;117.2;2.3;109.8;1.4
185;2004 april;113.0;1.5;116.2;1.1;110.3;1.8
186;2004 mei;112.9;1.4;116.2;1.1;110.2;1.6
187;2004 juni;113.2;1.6;116.3;1.2;110.7;2.0
188;2004 juli;114.4;2.1;118.2;1.4;111.2;2.6
189;2004 augustus;114.5;2.1;118.2;1.4;111.4;2.6
190;2004 september;114.4;2.0;118.3;1.6;111.1;2.4
191;2004 oktober;114.7;2.8;118.3;2.5;111.7;3.1
192;2004 november;114.5;2.7;118.3;2.5;111.4;2.8
193;2004 december;114.4;2.6;118.3;2.5;111.2;2.7
194;2004;113.7;1.9;117.4;1.8;110.5;2.0
195;2005 januari;115.2;2.8;118.2;1.6;112.4;3.7
196;2005 februari;115.5;2.4;119.1;1.6;112.4;3.1
197;2005 maart;115.6;2.2;119.3;1.7;112.5;2.5
198;2005 april;115.8;2.5;119.3;2.7;112.8;2.3
199;2005 mei;115.6;2.4;119.0;2.4;112.7;2.3
200;2005 juni;115.6;2.1;119.0;2.2;112.7;1.9
201;2005 juli;115.9;1.3;119.8;1.4;112.8;1.5
202;2005 augustus;116.0;1.3;119.8;1.4;112.9;1.4
203;2005 september;116.2;1.6;119.8;1.2;113.3;1.9
204;2005 oktober;116.8;1.8;119.8;1.2;114.0;2.0
205;2005 november;116.6;1.8;119.8;1.2;113.7;2.0
206;2005 december;116.6;1.9;119.8;1.2;113.8;2.3
207;2005;116.0;2.0;119.4;1.7;113.0;2.2
208;2006 januari;117.6;2.0;120.1;1.6;115.2;2.4
209;2006 februari;117.8;1.9;120.1;0.9;115.5;2.7
210;2006 maart;117.9;1.9;119.9;0.5;115.8;2.9
211;2006 april;118.4;2.2;120.0;0.6;116.6;3.3
212;2006 mei;118.6;2.6;120.0;0.9;116.8;3.6
213;2006 juni;118.7;2.6;120.2;1.0;116.9;3.7
214;2006 juli;120.1;3.6;120.8;0.9;118.8;5.3
215;2006 augustus;120.3;3.7;120.8;0.9;119.1;5.5
216;2006 september;120.4;3.6;120.8;0.9;119.3;5.4
217;2006 oktober;120.9;3.6;120.8;0.9;120.1;5.4
218;2006 november;120.8;3.7;120.8;0.9;119.9;5.5
219;2006 december;120.7;3.6;120.8;0.9;119.8;5.3
220;2006;119.4;2.9;120.4;0.9;117.8;4.3
221;2007 januari;122.9;4.5;121.5;1.2;122.8;6.6
222;2007 februari;123.0;4.4;121.5;1.2;123.0;6.5
223;2007 maart;123.3;4.6;121.5;1.4;123.5;6.6
224;2007 april;123.9;4.7;121.1;0.9;124.7;7.0
225;2007 mei;124.0;4.6;121.1;0.9;124.8;6.9
226;2007 juni;124.0;4.5;121.2;0.8;124.9;6.8
227;2007 juli;124.7;3.8;122.5;1.4;125.2;5.4
228;2007 augustus;124.6;3.6;122.5;1.4;125.0;4.9
229;2007 september;124.4;3.3;122.5;1.4;124.6;4.4
230;2007 oktober;124.7;3.1;122.5;1.4;125.1;4.1
231;2007 november;124.6;3.1;122.5;1.4;125.0;4.2
232;2007 december;124.7;3.3;122.5;1.4;125.1;4.4
233;2007;124.1;4.0;121.9;1.2;124.5;5.7
234;2008 januari;127.1;3.4;124.3;2.3;127.9;4.2
235;2008 februari;127.5;3.6;124.8;2.7;128.2;4.3
236;2008 maart;127.6;3.5;124.8;2.7;128.3;3.9
237;2008 april;129.3;4.4;126.2;4.2;130.2;4.4
238;2008 mei;129.6;4.5;126.2;4.2;130.7;4.7
239;2008 juni;130.1;4.9;126.4;4.3;131.4;5.2
240;2008 juli;131.9;5.7;127.8;4.3;133.4;6.6
241;2008 augustus;131.9;5.8;127.8;4.3;133.3;6.6
242;2008 september;131.4;5.7;127.8;4.3;132.7;6.5
243;2008 oktober;130.8;4.9;127.8;4.3;131.7;5.3
244;2008 november;130.3;4.6;127.8;4.3;130.9;4.7
245;2008 december;129.9;4.2;127.8;4.3;130.2;4.0
246;2008;129.8;4.6;126.6;3.9;130.7;5.0
247;2009 januari;131.1;3.2;130.0;4.6;130.8;2.3
248;2009 februari;131.3;3.0;131.0;5.0;130.5;1.8
249;2009 maart;131.1;2.7;131.0;5.0;130.3;1.5
250;2009 april;130.4;0.8;131.2;3.9;129.0;-0.9
251;2009 mei;130.4;0.6;131.2;3.9;129.0;-1.3
252;2009 juni;130.3;0.1;131.3;3.9;128.9;-1.9
253;2009 juli;129.8;-1.6;131.5;2.9;128.0;-4.0
254;2009 augustus;129.9;-1.5;131.5;2.9;128.4;-3.7
255;2009 september;130.0;-1.1;131.5;2.9;128.4;-3.3
256;2009 oktober;129.0;-1.4;131.9;3.2;126.5;-3.9
257;2009 november;129.0;-1.0;131.9;3.2;126.5;-3.3
258;2009 december;129.0;-0.7;131.3;2.7;126.9;-2.5
259;2009;130.1;0.3;131.3;3.7;128.6;-1.6
260;2010 januari;129.7;-1.1;133.5;2.8;126.8;-3.1
261;2010 februari;129.9;-1.1;133.5;1.9;127.0;-2.7
262;2010 maart;130.4;-0.5;133.5;1.9;127.9;-1.8
263;2010 april;130.8;0.4;133.5;1.8;128.6;-0.4
264;2010 mei;131.1;0.5;133.5;1.8;128.8;-0.2
265;2010 juni;130.8;0.4;133.5;1.7;128.5;-0.4
266;2010 juli;131.0;0.9;134.0;1.9;128.4;0.3
267;2010 augustus;131.1;0.9;134.0;1.9;128.6;0.2
268;2010 september;131.2;0.9;134.0;1.9;128.8;0.4
269;2010 oktober;131.2;1.7;134.3;1.8;128.7;1.7
270;2010 november;131.3;1.8;134.3;1.8;128.8;1.8
271;2010 december;131.8;2.2;134.3;2.3;129.5;2.0
272;2010;130.9;0.6;133.8;1.9;128.4;-0.2
273;2011 januari;132.7;2.3;134.9;1.0;130.6;3.0
274;2011 februari;132.7;2.1;135.5;1.4;130.3;2.6
275;2011 maart;132.6;1.7;135.5;1.4;130.2;1.8
276;2011 april;133.2;1.8;135.5;1.4;131.1;1.9
277;2011 mei;133.3;1.7;135.6;1.5;131.1;1.8
278;2011 juni;133.3;1.9;135.7;1.6;131.2;2.1
279;2011 juli;133.9;2.2;136.2;1.6;131.6;2.6
280;2011 augustus;133.7;2.0;136.2;1.6;131.5;2.3
281;2011 september;133.7;1.9;136.2;1.6;131.6;2.2
282;2011 oktober;133.7;1.9;136.5;1.7;131.3;2.0
283;2011 november;133.7;1.9;136.5;1.7;131.3;1.9
284;2011 december;133.9;1.6;136.5;1.7;131.5;1.6
285;2011;133.4;1.9;135.9;1.6;131.1;2.1
286;2012 januari;135.0;1.7;137.5;1.9;132.8;1.6
287;2012 februari;135.3;1.9;138.0;1.9;132.9;2.0
288;2012 maart;135.4;2.1;138.0;1.9;133.0;2.2
289;2012 april;135.6;1.9;139.0;2.6;132.9;1.4
290;2012 mei;135.7;1.8;139.0;2.5;133.0;1.5
291;2012 juni;135.7;1.8;139.1;2.5;133.0;1.4
292;2012 juli;135.7;1.4;139.2;2.2;132.9;1.0
293;2012 augustus;136.2;1.8;140.3;3.0;133.0;1.1
294;2012 september;136.1;1.8;140.3;3.0;132.9;1.0
295;2012 oktober;136.0;1.7;140.3;2.8;132.8;1.2
296;2012 november;136.0;1.7;140.3;2.8;132.8;1.1
297;2012 december;136.0;1.6;140.3;2.8;132.7;0.9
298;2012;135.7;1.8;139.3;2.5;132.9;1.4
299;2013 januari;136.0;0.8;141.1;2.7;132.3;-0.3
300;2013 februari;136.3;0.8;141.6;2.7;132.5;-0.3
301;2013 maart;136.2;0.7;141.6;2.7;132.4;-0.5
302;2013 april;136.2;0.4;142.0;2.1;132.2;-0.6
303;2013 mei;136.1;0.3;142.0;2.1;132.1;-0.7
304;2013 juni;136.0;0.2;142.0;2.0;131.9;-0.8
305;2013 juli;135.9;0.1;142.0;2.0;131.7;-0.9
306;2013 augustus;135.9;-0.2;142.0;1.2;131.8;-0.9
307;2013 september;135.9;-0.2;142.0;1.2;131.7;-0.9
308;2013 oktober;135.7;-0.3;142.0;1.2;131.4;-1.1
309;2013 november;135.7;-0.2;142.0;1.2;131.4;-1.0
310;2013 december;135.7;-0.2;142.0;1.2;131.4;-1.0
311;2013;136.0;0.2;141.9;1.9;131.9;-0.7
312;2014 januari;136.7;0.5;144.4;2.3;131.7;-0.5
313;2014 februari;136.6;0.2;144.4;1.9;131.5;-0.7
314;2014 maart;136.6;0.3;144.5;2.0;131.4;-0.8
315;2014 april;136.8;0.5;144.5;1.8;131.8;-0.3
316;2014 mei;136.9;0.6;144.5;1.8;131.8;-0.2
317;2014 juni;136.9;0.7;144.5;1.8;131.9;0.0
318;2014 juli;137.1;0.9;144.5;1.8;132.1;0.3
319;2014 augustus;137.2;1.0;144.5;1.8;132.4;0.5
320;2014 september;137.3;1.0;144.5;1.8;132.4;0.5
321;2014 oktober;138.0;1.7;145.5;2.5;133.0;1.2
322;2014 november;138.0;1.7;145.5;2.5;133.1;1.3
323;2014 december;138.0;1.7;145.5;2.5;133.1;1.3
324;2014;137.2;0.9;144.7;2.0;132.2;0.2
325;2015 januari;138.3;1.1;144.9;0.4;133.7;1.6
326;2015 februari;138.3;1.3;144.9;0.4;133.8;1.8
327;2015 maart;138.6;1.5;145.1;0.4;134.2;2.1
328;2015 april;139.2;1.7;145.1;0.4;135.1;2.6
329;2015 mei;139.1;1.7;145.1;0.4;135.0;2.4
330;2015 juni;139.1;1.6;145.1;0.4;135.0;2.4
331;2015 juli;139.9;2.1;146.8;1.6;135.3;2.4
332;2015 augustus;139.9;2.0;146.8;1.6;135.3;2.2
333;2015 september;139.9;1.9;146.8;1.6;135.3;2.1
334;2015 oktober;141.4;2.5;146.9;1.0;137.4;3.3
335;2015 november;141.6;2.6;146.9;1.0;137.7;3.5
336;2015 december;141.8;2.7;148.0;1.7;137.4;3.3
337;2015;139.8;1.9;146.0;0.9;135.4;2.5
338;2016 januari;142.1;2.8;147.3;1.7;138.3;3.4
339;2016 februari;142.1;2.7;147.3;1.7;138.3;3.4
340;2016 maart;142.3;2.7;147.3;1.6;138.6;3.3
341;2016 april;141.6;1.7;147.3;1.6;137.6;1.8
342;2016 mei;141.7;1.9;147.3;1.6;137.8;2.0
343;2016 juni;141.9;2.0;147.3;1.6;138.0;2.2
344;2016 juli;142.9;2.1;149.4;1.7;138.5;2.4
345;2016 augustus;143.0;2.2;149.4;1.7;138.7;2.5
346;2016 september;142.9;2.1;149.5;1.8;138.4;2.3
347;2016 oktober;143.4;1.4;149.5;1.7;139.1;1.2
348;2016 november;143.7;1.5;149.5;1.7;139.6;1.3
349;2016 december;143.8;1.4;149.5;1.0;139.8;1.7
350;2016;142.6;2.0;148.4;1.6;138.6;2.3
351;2017 januari;144.6;1.8;150.6;2.2;140.3;1.4
352;2017 februari;144.8;1.9;150.6;2.2;140.7;1.7
353;2017 maart;145.0;1.9;150.6;2.2;141.0;1.7
354;2017 april;145.5;2.7;150.6;2.2;142.1;3.3
355;2017 mei;145.3;2.5;150.4;2.1;141.9;3.0
356;2017 juni;145.5;2.5;150.4;2.1;142.5;3.3
