ID;LeeftijdVanDeMoeder;BurgerlijkeStaatMoeder;VolgordeGeboorteUitDeMoeder;Perioden;LevendgebLeeftijdMoederOp3112_1;LevendgebLftMoederOp3112Rel_2;LevendgebLftMoederLaatsteVerjDag_3
59;Totaal leeftijd;Totaal burgerlijke staat;Totaal;2009;184915;47.99;184915
60;Totaal leeftijd;Totaal burgerlijke staat;Totaal;2010;184397;48.01;184397
61;Totaal leeftijd;Totaal burgerlijke staat;Totaal;2011;180060;47.09;180060
62;Totaal leeftijd;Totaal burgerlijke staat;Totaal;2012;175959;46.25;175959
63;Totaal leeftijd;Totaal burgerlijke staat;Totaal;2013;171341;45.29;171341
64;Totaal leeftijd;Totaal burgerlijke staat;Totaal;2014;175181;46.54;175181
65;Totaal leeftijd;Totaal burgerlijke staat;Totaal;2015;170510;45.4;170510
66;Totaal leeftijd;Totaal burgerlijke staat;Totaal;2016;172520;45.96;172520
67;Totaal leeftijd;Totaal burgerlijke staat;Totaal;2017;169836;45.19;169836
68;Totaal leeftijd;Totaal burgerlijke staat;Totaal;2018;168525;44.78;168525
69;Totaal leeftijd;Totaal burgerlijke staat;Totaal;2019;169680;45.06;169680
70;Totaal leeftijd;Totaal burgerlijke staat;Totaal;2020;168681;44.85;168681
71;Totaal leeftijd;Totaal burgerlijke staat;Totaal;2021;179441;47.7;179441
72;Totaal leeftijd;Totaal burgerlijke staat;Totaal;2022;167504;44.08;167504
73;Totaal leeftijd;Totaal burgerlijke staat;Totaal;2023;164487;42.69;164487
74;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1950;62373;24.58;62373
75;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1951;64301;25.17;64301
76;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1952;67992;26.56;67992
77;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1953;65933;25.7;65933
78;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1954;66458;25.82;66458
79;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1955;68443;26.44;68443
80;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1956;70117;26.96;70117
81;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1957;72540;27.74;72540
82;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1958;74821;28.34;74821
83;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1959;76420;28.65;76420
84;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1960;74486;27.73;74486
85;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1961;77577;28.26;77577
86;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1962;79152;28.29;79152
87;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1963;80776;28.43;80776
88;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1964;83512;29.02;83512
89;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1965;86598;29.7;86598
90;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1966;89397;30.27;89397
91;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1967;93373;31.21;93373
92;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1968;94222;31.08;94222
93;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1969;96717;31.48;96717
94;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1970;93167;30.01;93167
95;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1971;91766;29.2;91766
96;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1972;90338;28.37;90338
97;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1973;84363;26.17;84363
98;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1974;81122;24.82;81122
99;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1975;77995;23.49;77995
100;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1976;76465;22.66;76465
101;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1977;74026;21.61;74026
102;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1978;74971;21.56;74971
103;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1979;75894;21.48;75894
104;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1980;78103;21.77;78103
105;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1981;76368;20.98;76368
106;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1982;73445;19.95;73445
107;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1983;74602;20.02;74602
108;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1984;78076;20.68;78076
109;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1985;78392;20.51;78392
110;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1986;80380;20.79;80380
111;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1987;81712;20.92;81712
112;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1988;83209;21.15;83209
113;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1989;83684;21.16;83684
114;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1990;89237;22.48;89237
115;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1991;90011;22.55;90011
116;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1992;87147;21.74;87147
117;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1993;86888;21.61;86888
118;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1994;86999;21.63;86999
119;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1995;85030;21.12;85030
120;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1996;85792;21.47;85792
121;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1997;89322;22.5;89322
122;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1998;93876;23.74;93876
123;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;1999;93815;23.77;93815
124;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;2000;95972;24.33;95972
125;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;2001;93695;23.72;93695
126;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;2002;92199;23.34;92199
127;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;2003;91120;23.11;91120
128;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;2004;88432;22.49;88432
129;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;2005;84928;21.68;84928
130;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;2006;82877;21.26;82877
131;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;2007;81905;21.13;81905
132;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;2008;83335;21.57;83335
133;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;2009;85242;22.12;85242
134;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;2010;85466;22.25;85466
135;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;2011;83538;21.85;83538
136;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;2012;81617;21.45;81617
137;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;2013;79460;21.0;79460
138;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;2014;80744;21.45;80744
139;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;2015;77666;20.68;77666
140;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;2016;78092;20.8;78092
141;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;2017;76507;20.36;76507
142;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;2018;75553;20.08;75553
143;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;2019;77225;20.51;77225
144;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;2020;76723;20.4;76723
145;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;2021;81529;21.67;81529
146;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;2022;78156;20.57;78156
147;Totaal leeftijd;Totaal burgerlijke staat;Eerste kind;2023;75601;19.62;75601
148;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1950;56399;22.23;56399
149;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1951;54907;21.49;54907
150;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1952;54982;21.48;54982
151;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1953;55623;21.68;55623
152;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1954;56692;22.02;56692
153;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1955;56654;21.88;56654
154;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1956;58050;22.32;58050
155;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1957;59466;22.74;59466
156;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1958;60882;23.06;60882
157;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1959;64416;24.15;64416
158;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1960;64779;24.11;64779
159;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1961;67152;24.46;67152
160;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1962;66954;23.93;66954
161;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1963;69214;24.36;69214
162;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1964;70157;24.38;70157
163;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1965;69786;23.93;69786
164;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1966;70477;23.87;70477
165;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1967;72096;24.1;72096
166;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1968;74292;24.5;74292
167;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1969;80305;26.14;80305
168;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1970;80091;25.8;80091
169;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1971;77838;24.77;77838
170;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1972;76593;24.05;76593
171;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1973;72954;22.63;72954
172;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1974;72589;22.21;72589
173;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1975;70411;21.21;70411
174;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1976;70789;20.98;70789
175;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1977;69289;20.23;69289
176;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1978;69222;19.91;69222
177;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1979;66510;18.82;66510
178;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1980;67228;18.74;67228
179;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1981;65497;18.0;65497
180;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1982;62512;16.98;62512
181;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1983;60638;16.27;60638
182;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1984;60727;16.08;60727
183;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1985;63184;16.53;63184
184;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1986;66218;17.12;66218
185;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1987;66588;17.05;66588
186;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1988;65216;16.58;65216
187;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1989;66292;16.76;66292
188;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1990;68193;17.18;68193
189;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1991;68892;17.26;68892
190;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1992;69696;17.38;69696
191;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1993;70237;17.47;70237
192;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1994;69798;17.35;69798
193;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1995;69611;17.29;69611
194;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1996;68334;17.1;68334
195;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1997;68173;17.17;68173
196;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1998;69877;17.67;69877
197;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;1999;71289;18.06;71289
198;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;2000;74014;18.76;74014
199;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;2001;73533;18.61;73533
200;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;2002;74403;18.84;74403
201;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;2003;73952;18.75;73952
202;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;2004;71462;18.17;71462
203;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;2005;69668;17.78;69668
204;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;2006;69127;17.74;69127
205;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;2007;66842;17.24;66842
206;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;2008;68144;17.64;68144
207;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;2009;66819;17.34;66819
208;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;2010;66412;17.29;66412
209;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;2011;65423;17.11;65423
210;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;2012;64343;16.91;64343
211;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;2013;62905;16.63;62905
212;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;2014;64013;17.01;64013
213;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;2015;62811;16.72;62811
214;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;2016;63287;16.86;63287
215;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;2017;62356;16.59;62356
216;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;2018;61742;16.41;61742
217;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;2019;61267;16.27;61267
218;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;2020;61405;16.33;61405
219;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;2021;65209;17.33;65209
220;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;2022;59193;15.58;59193
221;Totaal leeftijd;Totaal burgerlijke staat;Tweede kind;2023;60044;15.58;60044
222;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1950;39183;15.44;39183
223;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1951;38459;15.05;38459
224;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1952;38141;14.9;38141
225;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1953;37664;14.68;37664
226;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1954;37338;14.5;37338
227;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1955;37823;14.61;37823
228;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1956;37347;14.36;37347
229;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1957;37828;14.47;37828
230;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1958;38041;14.41;38041
231;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1959;39073;14.65;39073
232;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1960;39735;14.79;39735
233;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1961;41793;15.22;41793
234;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1962;41503;14.83;41503
235;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1963;42269;14.88;42269
236;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1964;42748;14.86;42748
237;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1965;40497;13.89;40497
238;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1966;38199;12.94;38199
239;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1967;36448;12.18;36448
240;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1968;35484;11.7;35484
241;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1969;38099;12.4;38099
242;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1970;36879;11.88;36879
243;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1971;33441;10.64;33441
244;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1972;28500;8.95;28500
245;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1973;23310;7.23;23310
246;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1974;20948;6.41;20948
247;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1975;19457;5.86;19457
248;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1976;20136;5.97;20136
249;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1977;20475;5.98;20475
250;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1978;21923;6.31;21923
251;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1979;22753;6.44;22753
252;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1980;24985;6.96;24985
253;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1981;25169;6.92;25169
254;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1982;24364;6.62;24364
255;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1983;23426;6.29;23426
256;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1984;23866;6.32;23866
257;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1985;24507;6.41;24507
258;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1986;25560;6.61;25560
259;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1987;25731;6.59;25731
260;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1988;25601;6.51;25601
261;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1989;26247;6.64;26247
262;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1990;27474;6.92;27474
263;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1991;26965;6.76;26965
264;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1992;27007;6.74;27007
265;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1993;26396;6.56;26396
266;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1994;26652;6.63;26652
267;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1995;24861;6.18;24861
268;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1996;24631;6.16;24631
269;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1997;24238;6.11;24238
270;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1998;24970;6.32;24970
271;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;1999;24840;6.29;24840
272;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;2000;25685;6.51;25685
273;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;2001;24896;6.3;24896
274;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;2002;25312;6.41;25312
275;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;2003;25299;6.42;25299
276;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;2004;24518;6.24;24518
277;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;2005;23980;6.12;23980
278;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;2006;23680;6.08;23680
279;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;2007;23456;6.05;23456
280;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;2008;24021;6.22;24021
281;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;2009;23810;6.18;23810
282;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;2010;23604;6.15;23604
283;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;2011;22436;5.87;22436
284;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;2012;21616;5.68;21616
285;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;2013;20930;5.53;20930
286;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;2014;21754;5.78;21754
287;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;2015;21588;5.75;21588
288;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;2016;22345;5.95;22345
289;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;2017;22123;5.89;22123
290;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;2018;22222;5.91;22222
291;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;2019;22206;5.9;22206
292;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;2020;21587;5.74;21587
293;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;2021;23356;6.21;23356
294;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;2022;21235;5.59;21235
295;Totaal leeftijd;Totaal burgerlijke staat;Derde kind;2023;20159;5.23;20159
296;Totaal leeftijd;Totaal burgerlijke staat;Vierde of volgende kind;1950;71763;28.28;71763
297;Totaal leeftijd;Totaal burgerlijke staat;Vierde of volgende kind;1951;70740;27.69;70740
298;Totaal leeftijd;Totaal burgerlijke staat;Vierde of volgende kind;1952;70773;27.65;70773
299;Totaal leeftijd;Totaal burgerlijke staat;Vierde of volgende kind;1953;68744;26.8;68744
300;Totaal leeftijd;Totaal burgerlijke staat;Vierde of volgende kind;1954;67685;26.29;67685
301;Totaal leeftijd;Totaal burgerlijke staat;Vierde of volgende kind;1955;66302;25.61;66302
302;Totaal leeftijd;Totaal burgerlijke staat;Vierde of volgende kind;1956;65978;25.36;65978
303;Totaal leeftijd;Totaal burgerlijke staat;Vierde of volgende kind;1957;64058;24.5;64058
304;Totaal leeftijd;Totaal burgerlijke staat;Vierde of volgende kind;1958;63115;23.91;63115
305;Totaal leeftijd;Totaal burgerlijke staat;Vierde of volgende kind;1959;62609;23.47;62609
306;Totaal leeftijd;Totaal burgerlijke staat;Vierde of volgende kind;1960;60128;22.38;60128
307;Totaal leeftijd;Totaal burgerlijke staat;Vierde of volgende kind;1961;60885;22.18;60885
308;Totaal leeftijd;Totaal burgerlijke staat;Vierde of volgende kind;1962;58541;20.92;58541
