ID;RegioS;Begindatum_1;Einddatum_2;GebiedsOfGemeentecode_3;Provincie_4;ProvincieAfkorting_5;BegindatumSorteerveld_6;EinddatumSorteerveld_7
31;Zuidwest-Gelderland (CR);01 jan 1970 ;            ;CR16    ;Gelderland                         ;Gld.           ;19700101;            
32;Utrecht (CR);01 jan 1970 ;            ;CR17    ;Utrecht                            ;U.             ;19700101;            
33;Kop van Noord-Holland (CR);01 jan 1970 ;            ;CR18    ;Noord-Holland                      ;NH.            ;19700101;            
34;Alkmaar en omgeving (CR);01 jan 1970 ;            ;CR19    ;Noord-Holland                      ;NH.            ;19700101;            
35;IJmond (CR);01 jan 1970 ;            ;CR20    ;Noord-Holland                      ;NH.            ;19700101;            
36;Agglomeratie Haarlem (CR);01 jan 1970 ;            ;CR21    ;Noord-Holland                      ;NH.            ;19700101;            
37;Zaanstreek (CR);01 jan 1970 ;            ;CR22    ;Noord-Holland                      ;NH.            ;19700101;            
38;Groot-Amsterdam (CR);01 jan 1970 ;            ;CR23    ;Noord-Holland                      ;NH.            ;19700101;            
39;Het Gooi en Vechtstreek (CR);01 jan 1970 ;            ;CR24    ;Noord-Holland                      ;NH.            ;19700101;            
40;Agglomeratie Leiden en Bollenstreek (CR);01 jan 1970 ;            ;CR25    ;Zuid-Holland                       ;ZH.            ;19700101;            
41;Agglomeratie 's-Gravenhage (CR);01 jan 1970 ;            ;CR26    ;Zuid-Holland                       ;ZH.            ;19700101;            
42;Delft en Westland (CR);01 jan 1970 ;            ;CR27    ;Zuid-Holland                       ;ZH.            ;19700101;            
43;Oost-Zuid-Holland (CR);01 jan 1970 ;            ;CR28    ;Zuid-Holland                       ;ZH.            ;19700101;            
44;Groot-Rijnmond (CR);01 jan 1970 ;            ;CR29    ;Zuid-Holland                       ;ZH.            ;19700101;            
45;Zuidoost-Zuid-Holland (CR);01 jan 1970 ;            ;CR30    ;Zuid-Holland                       ;ZH.            ;19700101;            
46;Zeeuwsch-Vlaanderen (CR);01 jan 1970 ;            ;CR31    ;Zeeland                            ;Z.             ;19700101;            
47;Overig Zeeland (CR);01 jan 1970 ;            ;CR32    ;Zeeland                            ;Z.             ;19700101;            
48;West-Noord-Brabant (CR);01 jan 1970 ;            ;CR33    ;Noord-Brabant                      ;NB.            ;19700101;            
49;Midden-Noord-Brabant (CR);01 jan 1970 ;            ;CR34    ;Noord-Brabant                      ;NB.            ;19700101;            
50;Noordoost-Noord-Brabant (CR);01 jan 1970 ;            ;CR35    ;Noord-Brabant                      ;NB.            ;19700101;            
51;Zuidoost-Noord-Brabant (CR);01 jan 1970 ;            ;CR36    ;Noord-Brabant                      ;NB.            ;19700101;            
52;Noord-Limburg (CR);01 jan 1970 ;            ;CR37    ;Limburg                            ;L.             ;19700101;            
53;Midden-Limburg (CR);01 jan 1970 ;            ;CR38    ;Limburg                            ;L.             ;19700101;            
54;Zuid-Limburg (CR);01 jan 1970 ;            ;CR39    ;Limburg                            ;L.             ;19700101;            
55;Flevoland (CR);01 jan 1970 ;            ;CR40    ;Flevoland                          ;Fle.           ;19700101;            
56;Aa en Hunze;01 jan 1998 ;            ;GM1680  ;Drenthe                            ;D.             ;19980101;            
57;Aagtekerke;01 jan 1830 ;01 jul 1966 ;GM1000  ;Zeeland                            ;Z.             ;18300101;19660701    
58;Aalburg;01 jan 1973 ;01 jan 2019 ;GM0738  ;Noord-Brabant                      ;NB.            ;19730101;20190101    
59;Aalsmeer;01 jan 1830 ;            ;GM0358  ;Noord-Holland                      ;NH.            ;18300101;            
60;Aalst;01 jan 1830 ;01 jan 1923 ;GM1001  ;Noord-Brabant                      ;NB.            ;18300101;19230101    
61;Aalten;01 jan 1830 ;            ;GM0197  ;Gelderland                         ;Gld.           ;18300101;            
62;Ter Aar;01 jan 1830 ;01 jan 2007 ;GM0480  ;Zuid-Holland                       ;ZH.            ;18300101;20070101    
63;Aardenburg;01 jan 1830 ;01 jan 1995 ;GM0648  ;Zeeland                            ;Z.             ;18300101;19950101    
64;Aarlanderveen;01 jan 1830 ;01 jan 1918 ;GM1002  ;Zuid-Holland                       ;ZH.            ;18300101;19180101    
65;Aarle-Rixtel;01 jan 1830 ;01 jan 1997 ;GM0739  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
66;Abbekerk;01 jan 1830 ;01 jan 1979 ;GM0359  ;Noord-Holland                      ;NH.            ;18300101;19790101    
67;Abbenbroek;01 jan 1830 ;01 jan 1980 ;GM0481  ;Zuid-Holland                       ;ZH.            ;18300101;19800101    
68;Abcoude;01 mei 1941 ;01 jan 2011 ;GM0305  ;Utrecht                            ;U.             ;19410501;20110101    
69;Abcoude-Baambrugge;01 jan 1830 ;01 mei 1941 ;GM1003  ;Utrecht                            ;U.             ;18300101;19410501    
70;Abcoude-Proosdij;01 jan 1830 ;01 mei 1941 ;GM1004  ;Utrecht                            ;U.             ;18300101;19410501    
71;Abtsregt;01 jan 1830 ;01 sep 1855 ;GM1301  ;Zuid-Holland                       ;ZH.            ;18300101;18550901    
72;Achthoven;01 jan 1830 ;13 jun 1857 ;GM1302  ;Utrecht                            ;U.             ;18300101;18570613    
73;Achtkarspelen;01 jan 1830 ;            ;GM0059  ;Friesland                          ;F.             ;18300101;            
74;Achttienhoven (U.);01 jan 1830 ;01 jan 1954 ;GM1005  ;Utrecht                            ;U.             ;18300101;19540101    
75;Achttienhoven (ZH.);01 jan 1830 ;11 jul 1855 ;GM1303  ;Zuid-Holland                       ;ZH.            ;18300101;18550711    
76;Ackersdijk en Vrouwenregt;01 jan 1830 ;01 sep 1855 ;GM1304  ;Zuid-Holland                       ;ZH.            ;18300101;18550901    
77;Adorp;01 jan 1830 ;01 jan 1990 ;GM0001  ;Groningen                          ;Gr.            ;18300101;19900101    
78;Aduard;01 jan 1830 ;01 jan 1990 ;GM0002  ;Groningen                          ;Gr.            ;18300101;19900101    
79;Aengwirden;01 jan 1830 ;01 jul 1934 ;GM1006  ;Friesland                          ;F.             ;18300101;19340701    
80;Akersloot;01 jan 1830 ;01 jan 2002 ;GM0360  ;Noord-Holland                      ;NH.            ;18300101;20020101    
81;Alblasserdam;01 jan 1830 ;            ;GM0482  ;Zuid-Holland                       ;ZH.            ;18300101;            
82;Albrandswaard;01 jan 1985 ;            ;GM0613  ;Zuid-Holland                       ;ZH.            ;19850101;            
83;Albrandswaard (oud);01 jan 1830 ;21 aug 1841 ;GM0477  ;Zuid-Holland                       ;ZH.            ;18300101;18410821    
84;Alem, Maren en Kessel;01 jan 1830 ;01 jan 1958 ;GM1007  ;Noord-Brabant                      ;NB.            ;18300101;19580101    
85;Alkemade;01 jan 1830 ;01 jan 2009 ;GM0483  ;Zuid-Holland                       ;ZH.            ;18300101;20090101    
86;Alkmaar;01 jan 1830 ;            ;GM0361  ;Noord-Holland                      ;NH.            ;18300101;            
87;Almelo;01 dec 1913 ;            ;GM0141  ;Overijssel                         ;O.             ;19131201;            
88;Almere;01 jan 1984 ;            ;GM0034  ;Flevoland                          ;Fle.           ;19840101;            
89;Almkerk;01 jan 1830 ;01 jan 1973 ;GM0740  ;Noord-Brabant                      ;NB.            ;18300101;19730101    
90;Alphen;01 jan 1830 ;01 jan 1918 ;GM1008  ;Zuid-Holland                       ;ZH.            ;18300101;19180101    
91;Alphen aan den Rijn;01 jan 1918 ;            ;GM0484  ;Zuid-Holland                       ;ZH.            ;19180101;            
92;Alphen en Riel;01 jan 1830 ;01 jan 1997 ;GM0741  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
93;Alphen-Chaam;01 jan 1997 ;            ;GM1723  ;Noord-Brabant                      ;NB.            ;19970101;            
94;Altena;01 jan 2019 ;            ;GM1959  ;Noord-Brabant                      ;NB.            ;20190101;            
95;Ambt Delden;01 jan 1830 ;01 jan 2001 ;GM0142  ;Overijssel                         ;O.             ;18300101;20010101    
96;Ambt Montfort;01 feb 1994 ;01 jan 2007 ;GM1679  ;Limburg                            ;L.             ;19940201;20070101    
97;Ambt-Almelo;01 jan 1830 ;01 dec 1913 ;GM1009  ;Overijssel                         ;O.             ;18300101;19131201    
98;Ambt-Doetinchem;01 jan 1830 ;01 jan 1920 ;GM1010  ;Gelderland                         ;Gld.           ;18300101;19200101    
99;Ambt-Hardenberg;01 jan 1830 ;01 mei 1941 ;GM1011  ;Overijssel                         ;O.             ;18300101;19410501    
100;Ambt-Ommen;01 jan 1830 ;28 apr 1923 ;GM1012  ;Overijssel                         ;O.             ;18300101;19230428    
101;Ambt-Vollenhove;01 jan 1830 ;01 feb 1942 ;GM1013  ;Overijssel                         ;O.             ;18300101;19420201    
102;Amby;02 jan 1839 ;01 jul 1970 ;GM0883  ;Limburg                            ;L.             ;18390102;19700701    
103;Ameide;01 jan 1830 ;01 jan 1986 ;GM0485  ;Zuid-Holland                       ;ZH.            ;18300101;19860101    
104;Ameland;01 jan 1830 ;            ;GM0060  ;Friesland                          ;F.             ;18300101;            
105;Amerongen;01 jan 1830 ;01 jan 2006 ;GM0306  ;Utrecht                            ;U.             ;18300101;20060101    
106;Amersfoort;01 jan 1830 ;            ;GM0307  ;Utrecht                            ;U.             ;18300101;            
107;Ammerstol;01 jan 1830 ;01 jan 1985 ;GM0486  ;Zuid-Holland                       ;ZH.            ;18300101;19850101    
108;Ammerzoden;01 jan 1830 ;01 jan 1999 ;GM0198  ;Gelderland                         ;Gld.           ;18300101;19990101    
109;Amstelveen;01 jan 1964 ;            ;GM0362  ;Noord-Holland                      ;NH.            ;19640101;            
110;Amstenrade;02 jan 1839 ;01 jan 1982 ;GM0884  ;Limburg                            ;L.             ;18390102;19820101    
111;Amsterdam;01 jan 1830 ;            ;GM0363  ;Noord-Holland                      ;NH.            ;18300101;            
112;Andel;01 jan 1830 ;01 jan 1973 ;GM0742  ;Noord-Brabant                      ;NB.            ;18300101;19730101    
113;Andijk;01 jan 1830 ;01 jan 2011 ;GM0364  ;Noord-Holland                      ;NH.            ;18300101;20110101    
114;Angerlo;01 jan 1830 ;01 jan 2005 ;GM0199  ;Gelderland                         ;Gld.           ;18300101;20050101    
115;Ankeveen;01 jan 1830 ;01 aug 1966 ;GM1014  ;Noord-Holland                      ;NH.            ;18300101;19660801    
116;Anloo;01 jan 1830 ;01 jan 1998 ;GM0105  ;Drenthe                            ;D.             ;18300101;19980101    
117;Anna Paulowna;18 jul 1870 ;01 jan 2012 ;GM0366  ;Noord-Holland                      ;NH.            ;18700718;20120101    
118;Apeldoorn;01 jan 1830 ;            ;GM0200  ;Gelderland                         ;Gld.           ;18300101;            
119;Appeltern;01 jan 1830 ;01 jan 1984 ;GM0201  ;Gelderland                         ;Gld.           ;18300101;19840101    
120;Appingedam;01 jan 1830 ;01 jan 2021 ;GM0003  ;Groningen                          ;Gr.            ;18300101;20210101    
121;Arcen en Velden;02 jan 1839 ;01 jan 2010 ;GM0885  ;Limburg                            ;L.             ;18390102;20100101    
122;Arkel;01 jan 1830 ;01 jan 1986 ;GM0487  ;Zuid-Holland                       ;ZH.            ;18300101;19860101    
123;Arnemuiden;01 jan 1830 ;01 jan 1997 ;GM0649  ;Zeeland                            ;Z.             ;18300101;19970101    
124;Arnhem;01 jan 1830 ;            ;GM0202  ;Gelderland                         ;Gld.           ;18300101;            
125;Asperen;01 jan 1830 ;01 jan 1986 ;GM0488  ;Zuid-Holland                       ;ZH.            ;18300101;19860101    
126;Assen;01 jan 1830 ;            ;GM0106  ;Drenthe                            ;D.             ;18300101;            
127;Assendelft;01 jan 1830 ;01 jan 1974 ;GM0367  ;Noord-Holland                      ;NH.            ;18300101;19740101    
128;Asten;01 jan 1830 ;            ;GM0743  ;Noord-Brabant                      ;NB.            ;18300101;            
129;Avenhorn;01 jan 1830 ;01 jan 1979 ;GM0368  ;Noord-Holland                      ;NH.            ;18300101;19790101    
130;Avereest;01 jan 1830 ;01 jan 2001 ;GM0143  ;Overijssel                         ;O.             ;18300101;20010101    
131;Axel;01 jan 1830 ;01 jan 2003 ;GM0650  ;Zeeland                            ;Z.             ;18300101;20030101    
132;Baarderadeel;01 jan 1830 ;01 jan 1984 ;GM0061  ;Friesland                          ;F.             ;18300101;19840101    
133;Baardwijk;01 jan 1830 ;01 jan 1922 ;GM1015  ;Noord-Brabant                      ;NB.            ;18300101;19220101    
134;Baarland;01 jan 1830 ;01 jan 1970 ;GM0651  ;Zeeland                            ;Z.             ;18300101;19700101    
135;Baarle-Nassau;01 jan 1830 ;            ;GM0744  ;Noord-Brabant                      ;NB.            ;18300101;            
136;Baarn;01 jan 1830 ;            ;GM0308  ;Utrecht                            ;U.             ;18300101;            
137;Baexem;02 jan 1839 ;01 jan 1991 ;GM0886  ;Limburg                            ;L.             ;18390102;19910101    
138;Baflo;01 jan 1830 ;01 jan 1990 ;GM0004  ;Groningen                          ;Gr.            ;18300101;19900101    
139;Bakel en Milheeze;01 jan 1830 ;01 jan 1997 ;GM0745  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
140;Balgoij;01 jan 1830 ;01 mei 1923 ;GM1016  ;Gelderland                         ;Gld.           ;18300101;19230501    
141;Bangert;01 jan 1979 ;01 jan 1980 ;GM1246  ;Noord-Holland                      ;NH.            ;19790101;19800101    
142;Barendrecht;10 dec 1886 ;            ;GM0489  ;Zuid-Holland                       ;ZH.            ;18861210;            
143;Barneveld;01 jan 1830 ;            ;GM0203  ;Gelderland                         ;Gld.           ;18300101;            
144;Barradeel;01 jan 1830 ;01 jan 1984 ;GM0062  ;Friesland                          ;F.             ;18300101;19840101    
145;Barsingerhorn;01 jan 1830 ;01 jan 1990 ;GM0369  ;Noord-Holland                      ;NH.            ;18300101;19900101    
146;Barwoutswaarder;01 jan 1830 ;01 feb 1964 ;GM1017  ;Zuid-Holland                       ;ZH.            ;18300101;19640201    
147;Batenburg;01 jan 1830 ;01 jan 1984 ;GM0204  ;Gelderland                         ;Gld.           ;18300101;19840101    
148;Bath;01 jan 1830 ;09 okt 1877 ;GM1018  ;Zeeland                            ;Z.             ;18300101;18771009    
149;Bathmen;01 jan 1830 ;01 jan 2005 ;GM0144  ;Overijssel                         ;O.             ;18300101;20050101    
150;Bedum;01 jan 1830 ;01 jan 2019 ;GM0005  ;Groningen                          ;Gr.            ;18300101;20190101    
151;Beegden;02 jan 1839 ;01 jan 1991 ;GM0887  ;Limburg                            ;L.             ;18390102;19910101    
152;Beek (L.);02 jan 1839 ;            ;GM0888  ;Limburg                            ;L.             ;18390102;            
153;Beek (NB.);01 jan 1942 ;01 jan 1951 ;GM1247  ;Noord-Brabant                      ;NB.            ;19420101;19510101    
154;Beek en Donk;01 jan 1830 ;01 jan 1997 ;GM0746  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
155;Beekdaelen;01 jan 2019 ;            ;GM1954  ;Limburg                            ;L.             ;20190101;            
156;Beemster;01 jan 1830 ;01 jan 2022 ;GM0370  ;Noord-Holland                      ;NH.            ;18300101;20220101    
157;Beers;01 jan 1830 ;01 jan 1994 ;GM0747  ;Noord-Brabant                      ;NB.            ;18300101;19940101    
158;Beerta;01 jan 1830 ;01 jul 1991 ;GM0006  ;Groningen                          ;Gr.            ;18300101;19910701    
159;Beesd;01 jan 1830 ;01 jan 1978 ;GM0205  ;Gelderland                         ;Gld.           ;18300101;19780101    
160;Beesel;02 jan 1839 ;            ;GM0889  ;Limburg                            ;L.             ;18390102;            
161;Beets;01 jan 1830 ;01 aug 1970 ;GM0371  ;Noord-Holland                      ;NH.            ;18300101;19700801    
162;Beilen;01 jan 1830 ;01 jan 1998 ;GM0107  ;Drenthe                            ;D.             ;18300101;19980101    
163;Belfeld;02 jan 1839 ;01 jan 2001 ;GM0890  ;Limburg                            ;L.             ;18390102;20010101    
164;Bellingwedde;01 sep 1968 ;01 jan 2018 ;GM0007  ;Groningen                          ;Gr.            ;19680901;20180101    
165;Bellingwolde;01 jan 1830 ;01 sep 1968 ;GM1019  ;Groningen                          ;Gr.            ;18300101;19680901    
166;Bemelen;02 jan 1839 ;01 jan 1982 ;GM0891  ;Limburg                            ;L.             ;18390102;19820101    
167;Bemmel;01 jan 1830 ;01 jan 2003 ;GM0206  ;Gelderland                         ;Gld.           ;18300101;20030101    
168;Bennebroek;01 jan 1830 ;01 jan 2009 ;GM0372  ;Noord-Holland                      ;NH.            ;18300101;20090101    
169;Benschop;01 jan 1830 ;01 jan 1989 ;GM0309  ;Utrecht                            ;U.             ;18300101;19890101    
170;Benthorn;01 jan 1830 ;09 feb 1845 ;GM1305  ;Zuid-Holland                       ;ZH.            ;18300101;18450209    
171;Benthuizen;01 jan 1830 ;01 jan 1991 ;GM0490  ;Zuid-Holland                       ;ZH.            ;18300101;19910101    
172;Berg en Dal;01 jan 2016 ;            ;GM1945  ;Gelderland                         ;Gld.           ;20160101;            
173;Berg en Terblijt;02 jan 1839 ;01 jan 1982 ;GM0892  ;Limburg                            ;L.             ;18390102;19820101    
174;Bergambacht;01 jan 1830 ;01 jan 2015 ;GM0491  ;Zuid-Holland                       ;ZH.            ;18300101;20150101    
175;Bergeijk;25 sep 1998 ;            ;GM1724  ;Noord-Brabant                      ;NB.            ;19980925;            
176;Bergen (L.);02 jan 1839 ;            ;GM0893  ;Limburg                            ;L.             ;18390102;            
177;Bergen (NH.);01 jan 1830 ;            ;GM0373  ;Noord-Holland                      ;NH.            ;18300101;            
178;Bergen op Zoom;01 jan 1830 ;            ;GM0748  ;Noord-Brabant                      ;NB.            ;18300101;            
179;Bergeyk;01 jan 1830 ;25 sep 1998 ;GM0749  ;Noord-Brabant                      ;NB.            ;18300101;19980925    
180;Bergh;01 jan 1830 ;01 jan 2005 ;GM0207  ;Gelderland                         ;Gld.           ;18300101;20050101    
181;Bergharen;01 jan 1830 ;01 jan 1984 ;GM0208  ;Gelderland                         ;Gld.           ;18300101;19840101    
182;Berghem;01 jan 1830 ;01 jan 1994 ;GM0750  ;Noord-Brabant                      ;NB.            ;18300101;19940101    
183;Bergschenhoek;01 jan 1830 ;01 jan 2007 ;GM0492  ;Zuid-Holland                       ;ZH.            ;18300101;20070101    
184;Berkel en Rodenrijs;01 jan 1830 ;01 jan 2007 ;GM0493  ;Zuid-Holland                       ;ZH.            ;18300101;20070101    
185;Berkel-Enschot;01 jan 1830 ;01 jan 1997 ;GM0751  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
186;Berkelland;01 jan 2005 ;            ;GM1859  ;Gelderland                         ;Gld.           ;20050101;            
187;Berkenrode;01 jan 1830 ;01 jan 1858 ;GM1306  ;Noord-Holland                      ;NH.            ;18300101;18580101    
188;Berkenwoude;01 jan 1830 ;01 jan 1985 ;GM0494  ;Zuid-Holland                       ;ZH.            ;18300101;19850101    
189;Berkhout;01 jan 1830 ;01 jan 1979 ;GM0374  ;Noord-Holland                      ;NH.            ;18300101;19790101    
190;Berlicum;01 jan 1830 ;01 jan 1996 ;GM0752  ;Noord-Brabant                      ;NB.            ;18300101;19960101    
191;Bernheze;28 jan 1995 ;            ;GM1721  ;Noord-Brabant                      ;NB.            ;19950128;            
192;Bernisse;01 jan 1980 ;01 jan 2015 ;GM0568  ;Zuid-Holland                       ;ZH.            ;19800101;20150101    
193;Besoijen;01 jan 1830 ;01 jan 1922 ;GM1020  ;Noord-Brabant                      ;NB.            ;18300101;19220101    
194;Best;01 jan 1830 ;            ;GM0753  ;Noord-Brabant                      ;NB.            ;18300101;            
195;Beugen en Rijkevoort;01 jan 1830 ;01 mei 1942 ;GM1021  ;Noord-Brabant                      ;NB.            ;18300101;19420501    
196;Beuningen;01 jan 1830 ;            ;GM0209  ;Gelderland                         ;Gld.           ;18300101;            
197;Beusichem;01 jan 1830 ;01 jan 1978 ;GM0210  ;Gelderland                         ;Gld.           ;18300101;19780101    
198;Beverwijk;01 jan 1830 ;            ;GM0375  ;Noord-Holland                      ;NH.            ;18300101;            
199;Biert;01 jan 1830 ;01 sep 1855 ;GM1307  ;Zuid-Holland                       ;ZH.            ;18300101;18550901    
200;Bierum;01 jan 1830 ;01 jan 1990 ;GM0008  ;Groningen                          ;Gr.            ;18300101;19900101    
201;Biervliet;01 jan 1830 ;01 apr 1970 ;GM0652  ;Zeeland                            ;Z.             ;18300101;19700401    
202;Biesland;01 jan 1830 ;01 jan 1833 ;GM1308  ;Zuid-Holland                       ;ZH.            ;18300101;18330101    
203;Biggekerke;01 jan 1830 ;01 jul 1966 ;GM1022  ;Zeeland                            ;Z.             ;18300101;19660701    
204;Bijlmermeer;01 jan 1830 ;20 dec 1846 ;GM1309  ;Noord-Holland                      ;NH.            ;18300101;18461220    
205;het Bildt;01 jan 1830 ;01 jan 2018 ;GM0063  ;Friesland                          ;F.             ;18300101;20180101    
206;De Bilt;01 jan 1830 ;            ;GM0310  ;Utrecht                            ;U.             ;18300101;            
207;Bingelrade;02 jan 1839 ;01 jan 1982 ;GM0894  ;Limburg                            ;L.             ;18390102;19820101    
208;Binnenmaas;01 jan 1984 ;01 jan 2019 ;GM0585  ;Zuid-Holland                       ;ZH.            ;19840101;20190101    
209;Bladel;01 jan 1997 ;            ;GM1728  ;Noord-Brabant                      ;NB.            ;19970101;            
210;Bladel en Netersel;01 jan 1830 ;01 jan 1997 ;GM0754  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
211;Blankenham;01 jan 1830 ;01 jan 1973 ;GM0145  ;Overijssel                         ;O.             ;18300101;19730101    
212;Blaricum;01 jan 1830 ;            ;GM0376  ;Noord-Holland                      ;NH.            ;18300101;            
213;Bleiswijk;01 jan 1830 ;01 jan 2007 ;GM0495  ;Zuid-Holland                       ;ZH.            ;18300101;20070101    
214;Bleskensgraaf;01 jan 1830 ;01 sep 1855 ;GM1262  ;Zuid-Holland                       ;ZH.            ;18300101;18550901    
215;Bleskensgraaf en Hofwege;01 sep 1855 ;01 jan 1986 ;GM0496  ;Zuid-Holland                       ;ZH.            ;18550901;19860101    
216;Bloemendaal;01 jan 1830 ;            ;GM0377  ;Noord-Holland                      ;NH.            ;18300101;            
217;Blokker;01 jan 1830 ;01 jan 1979 ;GM0378  ;Noord-Holland                      ;NH.            ;18300101;19790101    
218;Blokzijl;01 jan 1830 ;01 jan 1973 ;GM0146  ;Overijssel                         ;O.             ;18300101;19730101    
219;Boarnsterhim;03 jan 1985 ;01 jan 2014 ;GM0055  ;Friesland                          ;F.             ;19850103;20140101    
220;Bocholtz;02 jan 1839 ;01 jan 1982 ;GM0895  ;Limburg                            ;L.             ;18390102;19820101    
221;Bodegraven;01 jan 1830 ;01 jan 2011 ;GM0497  ;Zuid-Holland                       ;ZH.            ;18300101;20110101    
222;Bodegraven-Reeuwijk;01 jan 2011 ;            ;GM1901  ;Zuid-Holland                       ;ZH.            ;20110101;            
223;Boekel;01 jan 1830 ;            ;GM0755  ;Noord-Brabant                      ;NB.            ;18300101;            
224;Ten Boer;01 jan 1830 ;01 jan 2019 ;GM0009  ;Groningen                          ;Gr.            ;18300101;20190101    
225;Bokhoven;01 jan 1830 ;01 jan 1922 ;GM1023  ;Noord-Brabant                      ;NB.            ;18300101;19220101    
226;Bolsward;01 jan 1830 ;01 jan 2011 ;GM0064  ;Friesland                          ;F.             ;18300101;20110101    
227;Den Bommel;01 jan 1830 ;01 jan 1966 ;GM1024  ;Zuid-Holland                       ;ZH.            ;18300101;19660101    
228;Bommenede;01 jan 1830 ;30 dec 1865 ;GM1025  ;Zeeland                            ;Z.             ;18300101;18651230    
229;Boornsterhem;01 jan 1984 ;03 jan 1985 ;GM0057  ;Friesland                          ;F.             ;19840101;19850103    
230;Borculo;01 jan 1830 ;01 jan 2005 ;GM0211  ;Gelderland                         ;Gld.           ;18300101;20050101    
231;Borger;01 jan 1830 ;01 jan 1998 ;GM0108  ;Drenthe                            ;D.             ;18300101;19980101    
232;Borger-Odoorn;01 jan 1998 ;            ;GM1681  ;Drenthe                            ;D.             ;19980101;            
233;Borgharen;02 jan 1839 ;01 jul 1970 ;GM0896  ;Limburg                            ;L.             ;18390102;19700701    
234;Borkel en Schaft;01 jan 1830 ;01 mei 1934 ;GM1026  ;Noord-Brabant                      ;NB.            ;18300101;19340501    
235;Born;02 jan 1839 ;01 jan 2001 ;GM0897  ;Limburg                            ;L.             ;18390102;20010101    
236;Borne;01 jan 1830 ;            ;GM0147  ;Overijssel                         ;O.             ;18300101;            
237;Borsele;01 jan 1970 ;            ;GM0654  ;Zeeland                            ;Z.             ;19700101;            
