ID;RegioS;Perioden;OppervlakteTotaalFruit_1;OppervlakteAppelsEnPeren_2;AppelsTotaal_3;Elstar_4;Jonagold_5;Jonagored_6;Cox_7;GoldenDelicious_8;SchoneVanBoskoop_9;Delcorf_10;Gala_11;Santana_12;Braeburn_13;Alkmene_14;Summerred_15;Discovery_16;Elise_17;Delblush_18;JamesGrieve_19;Karmijn_20;Gloster_21;Elan_22;ZoeteAppelen_23;OverigeAppels_24;PerenTotaal_25;HandperenTotaal_26;Conference_27;DoyenneDuComice_28;BeurreLucas_29;BeurreHardy_30;TriompheDeVienne_31;Verdi_32;BonneLouiseDAvranches_33;Legipont_34;Concorde_35;OverigeHandperen_36;StoofperenTotaal_37;GieserWilderman_38;SaintRemy_39;OverigeStoofperen_40;KleinfruitTotaal_41;Frambozen_42;ZwarteBessen_43;RodeBessen_44;BlauweBessen_45;Bramen_46;OverigKleinfruit_47;OverkappingKleinfruit_48;SteenvruchtenTotaal_49;Pruimen_50;ZoeteKersen_51;ZureKersen_52;OverigeSteenvruchten_53;OverkappingSteenvruchten_54;Oppervlakte_55;InVanOppervlakteAppelsEnPeren_56;Oppervlakte_57;InVanOppervlakteAppelsEnPeren_58;TotaleKoelcapaciteit_59;TotaleKoelcapPerHaAppelsPeren_60;ULOKoelcapaciteit_61;KoelcapaciteitAndersDanULO_62;Veiling_63;Consument_64;HandelVanafHout_65;HandelVanafKoelcel_66;OverigeAfzet_67;MetFruitTotaal_68;MetAppelsEnOfPeren_69;AppelsTotaal_70;Elstar_71;Jonagold_72;Jonagored_73;Cox_74;GoldenDelicious_75;SchoneVanBoskoop_76;Delcorf_77;Gala_78;Santana_79;Braeburn_80;Alkmene_81;Summerred_82;Discovery_83;Elise_84;Delblush_85;JamesGrieve_86;Gloster_87;Karmijn_88;Elan_89;ZoeteAppelen_90;OverigeAppels_91;PerenTotaal_92;HandperenTotaal_93;Conference_94;DoyenneDuComice_95;BeurreLucas_96;BeurreHardy_97;TriompheDeVienne_98;Verdi_99;BonneLouiseDAvranches_100;Legipont_101;Concorde_102;OverigeHandperen_103;StoofperenTotaal_104;GieserWilderman_105;SaintRemy_106;OverigeStoofperen_107;KleinfruitTotaal_108;Frambozen_109;ZwarteBessen_110;RodeBessen_111;BlauweBessen_112;Bramen_113;OverigKleinfruit_114;OverkappingKleinfruit_115;SteenvruchtenTotaal_116;Pruimen_117;ZoeteKersen_118;ZureKersen_119;OverigeSteenvruchten_120;OverkappingSteenvruchten_121;TotaalBedrijven_122;InVanAantalBedrMetAppelsPeren_123;TotaalBedrijven_124;InVanAantalBedrMetAppelsPeren_125;TotaalBedrijven_126;InVanAantalBedrMetAppelsPeren_127;MetULOKoeling_128;MetKoelingAndersDanULOKoeling_129;Veiling_130;Consument_131;HandelVanafHout_132;HandelVanafKoelcel_133;OverigeAfzet_134
10;Utrecht;1997;2142.0;2029.0;1301.0;470.0;239.0;114.0;102.0;98.0;136.0;30.0;14.0;;;14.0;7.0;5.0;;;15.0;;16.0;;7.0;28.0;728.0;655.0;437.0;136.0;7.0;17.0;28.0;;6.0;7.0;;18.0;73.0;52.0;17.0;4.0;24.0;2.0;;19.0;;2.0;1.0;;89.0;56.0;31.0;;;;1111.0;55.0;512.0;25.0;37100.0;18.0;22300.0;14800.0;;;;;;371.0;328.0;265.0;222.0;173.0;96.0;148.0;138.0;173.0;66.0;16.0;;;60.0;41.0;17.0;;;75.0;46.0;;;28.0;83.0;274.0;262.0;246.0;186.0;17.0;55.0;76.0;;31.0;30.0;;54.0;169.0;146.0;58.0;20.0;32.0;12.0;;27.0;;13.0;11.0;;118.0;99.0;33.0;;;;168.0;51.0;103.0;31.0;146.0;45.0;54.0;129.0;;;;;
11;Utrecht;2002;1861.0;1750.0;978.0;360.0;188.0;87.0;46.0;74.0;112.0;42.0;13.0;;;5.0;3.0;;;;;;;;6.0;27.0;772.0;711.0;518.0;110.0;21.0;4.0;33.0;;;;;21.0;61.0;47.0;;15.0;21.0;;;15.0;;;;13.0;90.0;30.0;60.0;;;;1377.0;79.0;540.0;31.0;42600.0;24.0;29300.0;13300.0;54.0;4.7;10.1;24.7;6.5;282.0;247.0;186.0;172.0;110.0;72.0;79.0;101.0;107.0;76.0;16.0;;;20.0;14.0;;;;;;;;21.0;47.0;221.0;219.0;208.0;160.0;32.0;12.0;72.0;;;;;55.0;146.0;127.0;;46.0;28.0;;;22.0;;;;13.0;75.0;54.0;29.0;;;;169.0;68.0;89.0;36.0;117.0;47.0;58.0;102.0;56.7;31.9;22.7;26.2;9.6
12;Noord-Holland;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Noord-Holland;1997;1323.0;1255.0;720.0;280.0;160.0;58.0;61.0;21.0;65.0;9.0;;;;11.0;;6.0;;;7.0;;4.0;;2.0;19.0;535.0;487.0;309.0;133.0;8.0;12.0;11.0;;4.0;;;9.0;47.0;33.0;12.0;;16.0;;;13.0;;;;;52.0;51.0;;;;;379.0;30.0;274.0;22.0;19000.0;15.0;9200.0;9800.0;;;;;;250.0;211.0;181.0;154.0;107.0;49.0;93.0;49.0;109.0;30.0;;;;47.0;;27.0;;;38.0;14.0;;;17.0;59.0;179.0;169.0;159.0;138.0;18.0;33.0;33.0;;13.0;;;33.0;107.0;88.0;44.0;;38.0;;;35.0;;;;;109.0;108.0;;;;;62.0;29.0;57.0;27.0;116.0;55.0;29.0;109.0;;;;;
14;Noord-Holland;2002;1120.0;1038.0;446.0;165.0;112.0;64.0;29.0;7.0;24.0;9.0;17.0;;;3.0;;;;;;;;;;8.0;592.0;547.0;384.0;132.0;11.0;;6.0;;;;;9.0;44.0;38.0;;6.0;20.0;;;17.0;;;;;62.0;53.0;;;;;382.0;37.0;118.0;11.0;17000.0;16.0;7300.0;9700.0;69.3;4.9;15.5;7.2;3.1;186.0;153.0;119.0;104.0;75.0;43.0;42.0;23.0;56.0;33.0;11.0;;;15.0;;;;;;;;;;21.0;136.0;130.0;124.0;112.0;16.0;;22.0;;;;;29.0;89.0;82.0;;21.0;29.0;;;21.0;;;;;91.0;82.0;;;;;47.0;31.0;24.0;16.0;102.0;67.0;34.0;98.0;69.9;40.3;15.1;12.4;9.7
15;Zuid-Holland;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Zuid-Holland;1997;1650.0;1613.0;1027.0;315.0;222.0;58.0;118.0;65.0;109.0;18.0;13.0;;;16.0;7.0;9.0;;;23.0;3.0;12.0;3.0;5.0;31.0;586.0;515.0;294.0;140.0;9.0;24.0;22.0;;4.0;9.0;;12.0;72.0;45.0;21.0;5.0;7.0;;;3.0;;;;;30.0;24.0;;;;;475.0;29.0;412.0;26.0;20200.0;13.0;10200.0;10100.0;;;;;;338.0;322.0;271.0;215.0;195.0;53.0;157.0;107.0;182.0;46.0;19.0;;;69.0;38.0;33.0;;;100.0;42.0;14.0;11.0;18.0;96.0;284.0;265.0;234.0;187.0;30.0;79.0;78.0;;21.0;35.0;;50.0;181.0;143.0;98.0;33.0;24.0;;;17.0;;;;;63.0;59.0;;;;;89.0;28.0;78.0;24.0;124.0;39.0;36.0;114.0;;;;;
17;Zuid-Holland;2002;1125.0;1084.0;576.0;207.0;115.0;25.0;52.0;20.0;76.0;26.0;18.0;;;7.0;3.0;6.0;;;;;;;;17.0;508.0;441.0;266.0;113.0;14.0;10.0;20.0;;;;;17.0;67.0;34.0;;33.0;6.0;;;5.0;;;;;35.0;29.0;4.0;;;;428.0;39.0;192.0;18.0;13400.0;12.0;6800.0;6600.0;66.3;5.4;19.1;5.2;4.0;219.0;199.0;157.0;133.0;92.0;29.0;87.0;45.0;112.0;53.0;19.0;;;30.0;16.0;19.0;;;;;;;;47.0;182.0;171.0;161.0;144.0;30.0;33.0;75.0;;;;;41.0;144.0;104.0;;90.0;17.0;;;15.0;;;;;43.0;33.0;11.0;;;;57.0;29.0;43.0;22.0;85.0;43.0;24.0;80.0;56.2;36.1;31.5;12.8;11.9
18;Zeeland;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Zeeland;1997;4596.0;4235.0;2483.0;717.0;552.0;165.0;311.0;250.0;207.0;32.0;11.0;;;52.0;23.0;24.0;;;33.0;6.0;28.0;10.0;4.0;57.0;1752.0;1640.0;1009.0;378.0;41.0;93.0;58.0;;16.0;6.0;;37.0;112.0;69.0;38.0;5.0;281.0;3.0;259.0;12.0;;5.0;1.0;;80.0;40.0;;29.0;;;539.0;13.0;1168.0;28.0;44200.0;10.0;24900.0;19400.0;;;;;;630.0;564.0;440.0;399.0;350.0;137.0;317.0;314.0;287.0;79.0;25.0;;;160.0;91.0;70.0;;;156.0;95.0;23.0;37.0;22.0;175.0;514.0;503.0;487.0;428.0;99.0;207.0;142.0;;61.0;32.0;;110.0;270.0;208.0;150.0;26.0;88.0;25.0;46.0;42.0;;33.0;17.0;;117.0;106.0;;10.0;;;90.0;16.0;228.0;40.0;242.0;43.0;93.0;215.0;;;;;
20;Zeeland;2002;4354.0;3827.0;1975.0;611.0;399.0;240.0;183.0;173.0;144.0;62.0;6.0;;;20.0;18.0;18.0;12.0;31.0;;;;;1.0;52.0;1852.0;1770.0;1152.0;343.0;90.0;67.0;65.0;7.0;;;3.0;44.0;82.0;41.0;;41.0;422.0;2.0;385.0;27.0;;2.0;6.0;;105.0;56.0;10.0;;;;496.0;13.0;1219.0;32.0;40900.0;11.0;31800.0;9200.0;59.0;3.1;25.3;11.1;1.5;505.0;453.0;335.0;299.0;242.0;133.0;198.0;218.0;173.0;116.0;16.0;;;82.0;51.0;52.0;21.0;31.0;;;;;14.0;110.0;426.0;421.0;414.0;370.0;147.0;112.0;167.0;19.0;;;10.0;104.0;206.0;174.0;;96.0;65.0;16.0;33.0;42.0;;19.0;11.0;;101.0;84.0;25.0;;;;45.0;10.0;208.0;46.0;186.0;41.0;90.0;138.0;51.5;23.0;42.4;11.5;4.4
21;Noord-Brabant;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Noord-Brabant;1997;1751.0;1588.0;1237.0;431.0;316.0;94.0;132.0;93.0;71.0;12.0;8.0;;;18.0;5.0;2.0;;;18.0;3.0;7.0;3.0;2.0;23.0;351.0;330.0;222.0;75.0;5.0;9.0;10.0;;;1.0;;7.0;20.0;15.0;5.0;;146.0;5.0;70.0;24.0;44.0;1.0;3.0;;17.0;12.0;;;;;693.0;44.0;545.0;34.0;24500.0;15.0;13200.0;11300.0;;;;;;314.0;227.0;202.0;177.0;169.0;65.0;119.0;131.0;118.0;40.0;11.0;;;53.0;33.0;11.0;;;79.0;27.0;12.0;11.0;11.0;69.0;138.0;129.0;124.0;97.0;11.0;31.0;34.0;;;10.0;;25.0;68.0;55.0;26.0;;92.0;34.0;18.0;48.0;16.0;12.0;14.0;;63.0;51.0;;;;;102.0;45.0;86.0;38.0;127.0;56.0;45.0;110.0;;;;;
23;Noord-Brabant;2002;1568.0;1270.0;890.0;358.0;206.0;95.0;67.0;59.0;44.0;26.0;;;;3.0;;;;;;;;;;25.0;380.0;361.0;256.0;78.0;;5.0;6.0;;;;;7.0;19.0;15.0;;4.0;239.0;4.0;;71.0;49.0;;;14.0;59.0;16.0;16.0;;;;994.0;78.0;528.0;42.0;25800.0;20.0;17700.0;8100.0;57.9;8.2;17.2;15.3;1.4;251.0;186.0;147.0;119.0;105.0;42.0;59.0;68.0;69.0;46.0;;;;14.0;;;;;;;;;;53.0;130.0;119.0;115.0;88.0;;10.0;18.0;;;;;20.0;64.0;51.0;;22.0;64.0;15.0;;42.0;11.0;;;13.0;49.0;37.0;19.0;;;;133.0;72.0;69.0;37.0;118.0;63.0;44.0;98.0;65.3;49.4;23.5;12.0;8.4
24;Limburg;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Limburg;1997;2528.0;2147.0;1869.0;602.0;449.0;140.0;147.0;193.0;176.0;30.0;12.0;;;19.0;9.0;3.0;;;27.0;5.0;21.0;3.0;5.0;28.0;278.0;259.0;165.0;59.0;;9.0;9.0;;;7.0;;7.0;19.0;11.0;7.0;;120.0;7.0;;23.0;82.0;;5.0;;261.0;33.0;33.0;188.0;;;586.0;27.0;519.0;24.0;28900.0;13.0;15300.0;13600.0;;;;;;447.0;320.0;290.0;266.0;245.0;124.0;190.0;207.0;203.0;99.0;22.0;;;83.0;58.0;21.0;;;113.0;73.0;23.0;17.0;18.0;105.0;193.0;188.0;176.0;136.0;;39.0;47.0;;;19.0;;30.0;64.0;38.0;35.0;;91.0;11.0;;29.0;49.0;;19.0;;195.0;106.0;74.0;84.0;;;91.0;28.0;97.0;30.0;166.0;52.0;60.0;151.0;;;;;
26;Limburg;2002;2313.0;1866.0;1601.0;665.0;309.0;133.0;56.0;182.0;130.0;43.0;11.0;2.0;18.0;5.0;5.0;;;;;;;;;39.0;265.0;258.0;197.0;42.0;;3.0;6.0;;;;;8.0;7.0;3.0;;4.0;166.0;8.0;;37.0;97.0;4.0;10.0;25.0;281.0;28.0;22.0;209.0;;;423.0;23.0;296.0;16.0;26000.0;14.0;15600.0;10400.0;66.3;14.0;10.0;6.2;3.4;348.0;249.0;235.0;210.0;185.0;101.0;94.0;177.0;159.0;100.0;33.0;12.0;26.0;34.0;23.0;;;;;;;;;97.0;158.0;158.0;152.0;111.0;;14.0;35.0;;;;;28.0;31.0;18.0;;14.0;91.0;16.0;;37.0;38.0;13.0;18.0;26.0;132.0;86.0;40.0;63.0;;;51.0;20.0;58.0;23.0;136.0;55.0;62.0;110.0;65.8;49.1;22.1;12.9;12.9
27;Overige provincies (Gr.,Fr.,Dr. & Ov.);1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Overige provincies (Gr.,Fr.,Dr. & Ov.);1997;310.0;236.0;194.0;84.0;32.0;;18.0;9.0;19.0;2.0;;;;3.0;;;;;3.0;;;;;6.0;42.0;37.0;16.0;13.0;;;;;;;;2.0;5.0;3.0;;;61.0;8.0;;5.0;23.0;1.0;5.0;;13.0;10.0;;;;;83.0;35.0;78.0;33.0;4900.0;21.0;;2500.0;;;;;;97.0;55.0;50.0;39.0;35.0;;24.0;19.0;27.0;11.0;;;;13.0;;;;;14.0;;;;;19.0;38.0;33.0;26.0;20.0;;;;;;;;11.0;22.0;19.0;;;44.0;10.0;;14.0;14.0;10.0;17.0;;23.0;22.0;;;;;17.0;31.0;14.0;25.0;25.0;45.0;;23.0;;;;;
29;Overige provincies (Gr.,Fr.,Dr. & Ov.);2002;283.0;197.0;147.0;62.0;23.0;;6.0;6.0;15.0;3.0;;;;3.0;;;;;;;;;;12.0;50.0;45.0;29.0;13.0;;;;;;;;1.0;5.0;4.0;;1.0;72.0;;31.0;5.0;24.0;;10.0;;14.0;9.0;;;;;95.0;48.0;84.0;43.0;3300.0;17.0;2200.0;1000.0;56.0;20.9;;9.2;;92.0;50.0;45.0;41.0;31.0;;17.0;22.0;24.0;17.0;;;;13.0;;;;;;;;;;13.0;38.0;37.0;29.0;17.0;;;;;;;;10.0;27.0;16.0;;14.0;46.0;;10.0;19.0;23.0;;15.0;;30.0;24.0;;;;;14.0;28.0;15.0;30.0;22.0;44.0;10.0;21.0;63.0;73.9;;13.0;
