ID;RegioS;Perioden;DigiDBezittersRelatief_1;DigiDBezittersAbsoluut_2;Bevolking_3
54;Noord-Friesland (CR);2008 1 juli;40.7;134467;330643
55;Noord-Friesland (CR);2009 1 januari;39.6;131235;331455
56;Zuidwest-Friesland (CR);2008 1 juli;38.4;40653;105757
57;Zuidwest-Friesland (CR);2009 1 januari;37.1;39232;105802
58;Zuidoost-Friesland (CR);2008 1 juli;39.5;81747;207112
59;Zuidoost-Friesland (CR);2009 1 januari;38.0;78822;207554
60;Noord-Drenthe (CR);2008 1 juli;41.9;78909;188192
61;Noord-Drenthe (CR);2009 1 januari;40.3;76149;188915
62;Zuidoost-Drenthe (CR);2008 1 juli;41.8;71742;171432
63;Zuidoost-Drenthe (CR);2009 1 januari;39.7;68138;171479
64;Zuidwest-Drenthe (CR);2008 1 juli;40.6;52367;129075
65;Zuidwest-Drenthe (CR);2009 1 januari;38.4;49740;129524
66;Noord-Overijssel (CR);2008 1 juli;39.5;138399;350706
67;Noord-Overijssel (CR);2009 1 januari;38.0;133621;351878
68;Zuidwest-Overijssel (CR);2008 1 juli;43.8;66537;151930
69;Zuidwest-Overijssel (CR);2009 1 januari;41.9;63852;152265
70;Twente (CR);2008 1 juli;42.4;263047;619785
71;Twente (CR);2009 1 januari;40.6;252502;621292
72;Veluwe (CR);2008 1 juli;40.4;262258;648963
73;Veluwe (CR);2009 1 januari;39.0;253790;650922
74;Achterhoek (CR);2008 1 juli;38.9;156347;402181
75;Achterhoek (CR);2009 1 januari;37.4;150374;402200
76;Arnhem/Nijmegen (CR);2008 1 juli;42.6;298409;701193
77;Arnhem/Nijmegen (CR);2009 1 januari;41.2;290261;703792
78;Zuidwest-Gelderland (CR);2008 1 juli;36.0;84350;234069
79;Zuidwest-Gelderland (CR);2009 1 januari;34.7;81166;234148
80;Utrecht (CR);2008 1 juli;43.2;519977;1204936
81;Utrecht (CR);2009 1 januari;42.1;510085;1210869
82;Kop van Noord-Holland (CR);2008 1 juli;40.0;146944;367548
83;Kop van Noord-Holland (CR);2009 1 januari;38.2;140657;368174
84;Alkmaar en omgeving (CR);2008 1 juli;42.5;97526;229483
85;Alkmaar en omgeving (CR);2009 1 januari;40.7;93501;229879
86;IJmond (CR);2008 1 juli;43.1;82311;191028
87;IJmond (CR);2009 1 januari;41.0;78510;191470
88;Agglomeratie Haarlem (CR);2008 1 juli;40.2;87413;217532
89;Agglomeratie Haarlem (CR);2009 1 januari;39.0;85075;217977
90;Zaanstreek (CR);2008 1 juli;40.4;64319;159041
91;Zaanstreek (CR);2009 1 januari;38.7;61889;159955
92;Groot-Amsterdam (CR);2008 1 juli;38.0;466058;1228080
93;Groot-Amsterdam (CR);2009 1 januari;37.1;458421;1235514
94;Het Gooi en Vechtstreek (CR);2008 1 juli;37.3;90485;242800
95;Het Gooi en Vechtstreek (CR);2009 1 januari;36.2;88133;243476
96;Agglomeratie Leiden en Bollenstreek (CR);2008 1 juli;41.4;161723;390851
97;Agglomeratie Leiden en Bollenstreek (CR);2009 1 januari;40.2;161762;402770
98;Agglomeratie 's-Gravenhage (CR);2008 1 juli;41.0;323435;788929
99;Agglomeratie 's-Gravenhage (CR);2009 1 januari;39.9;317049;794009
100;Delft en Westland (CR);2008 1 juli;41.2;87696;212756
101;Delft en Westland (CR);2009 1 januari;40.2;85794;213551
102;Oost-Zuid-Holland (CR);2008 1 juli;40.3;129859;321940
103;Oost-Zuid-Holland (CR);2009 1 januari;39.2;121981;311456
104;Groot-Rijnmond (CR);2008 1 juli;40.4;550535;1361767
105;Groot-Rijnmond (CR);2009 1 januari;38.8;530980;1367012
106;Zuidoost-Zuid-Holland (CR);2008 1 juli;40.5;158785;391917
107;Zuidoost-Zuid-Holland (CR);2009 1 januari;39.1;153374;392760
108;Zeeuwsch-Vlaanderen (CR);2008 1 juli;37.5;40291;107346
109;Zeeuwsch-Vlaanderen (CR);2009 1 januari;36.1;38647;107191
110;Overig Zeeland (CR);2008 1 juli;37.9;103787;273516
111;Overig Zeeland (CR);2009 1 januari;36.5;100047;273793
112;West-Noord-Brabant (CR);2008 1 juli;42.6;260083;610484
113;West-Noord-Brabant (CR);2009 1 januari;40.7;249145;612073
114;Midden-Noord-Brabant (CR);2008 1 juli;41.5;188711;454437
115;Midden-Noord-Brabant (CR);2009 1 januari;40.1;182747;456033
116;Noordoost-Noord-Brabant (CR);2008 1 juli;42.3;267859;632489
117;Noordoost-Noord-Brabant (CR);2009 1 januari;40.8;258402;633723
118;Zuidoost-Noord-Brabant (CR);2008 1 juli;42.2;308493;731228
119;Zuidoost-Noord-Brabant (CR);2009 1 januari;40.7;298046;732731
120;Noord-Limburg (CR);2008 1 juli;43.7;121929;279299
121;Noord-Limburg (CR);2009 1 januari;42.0;117381;279355
122;Midden-Limburg (CR);2008 1 juli;42.9;100559;234144
123;Midden-Limburg (CR);2009 1 januari;41.0;96152;234364
124;Zuid-Limburg (CR);2008 1 juli;45.2;275616;609598
125;Zuid-Limburg (CR);2009 1 januari;43.7;266290;608885
126;Flevoland (CR);2008 1 juli;43.4;165287;380740
127;Flevoland (CR);2009 1 januari;42.0;161199;383449
128;Buitenland (CR);2008 1 juli;0.0;0;0
129;Buitenland (CR);2009 1 januari;0.0;0;0
130;Niet in te delen (CR);2008 1 juli;0.0;0;0
131;Niet in te delen (CR);2009 1 januari;0.0;0;0
132;Extra-Regio (CR);2008 1 juli;0.0;0;0
133;Extra-Regio (CR);2009 1 januari;0.0;0;0
134;Geen grootstedelijke agglomeratie (GA);2008 1 juli;0.0;0;0
135;Geen grootstedelijke agglomeratie (GA);2009 1 januari;0.0;0;0
136;Groningen (GA);2008 1 juli;46.3;92902;200561
137;Groningen (GA);2009 1 januari;47.2;95718;202859
138;Leeuwarden (GA);2008 1 juli;44.3;41150;92836
139;Leeuwarden (GA);2009 1 januari;44.0;41119;93498
140;Zwolle (GA);2008 1 juli;45.6;53378;117109
141;Zwolle (GA);2009 1 januari;44.4;52266;117703
142;Enschede (GA);2008 1 juli;43.2;67011;154999
143;Enschede (GA);2009 1 januari;41.6;64868;156071
144;Apeldoorn (GA);2008 1 juli;44.7;69196;154962
145;Apeldoorn (GA);2009 1 januari;43.3;67200;155332
146;Arnhem (GA);2008 1 juli;41.3;60103;145611
147;Arnhem (GA);2009 1 januari;40.1;58949;147089
148;Nijmegen (GA);2008 1 juli;42.4;68305;161177
149;Nijmegen (GA);2009 1 januari;41.9;67750;161817
150;Amersfoort (GA);2008 1 juli;44.6;76105;170811
151;Amersfoort (GA);2009 1 januari;43.7;75056;171795
152;Utrecht (GA);2008 1 juli;45.6;196406;430969
153;Utrecht (GA);2009 1 januari;44.8;194643;434697
154;Amsterdam (GA);2008 1 juli;36.8;379921;1032257
155;Amsterdam (GA);2009 1 januari;36.0;374487;1039029
156;Haarlem (GA);2008 1 juli;40.7;77489;190378
157;Haarlem (GA);2009 1 januari;39.5;77368;195940
158;Leiden (GA);2008 1 juli;41.8;104365;249611
159;Leiden (GA);2009 1 januari;40.9;102431;250154
160;'s-Gravenhage (GA);2008 1 juli;39.3;244968;624117
161;'s-Gravenhage (GA);2009 1 januari;38.3;239920;627228
162;Rotterdam (GA);2008 1 juli;40.1;395389;984932
163;Rotterdam (GA);2009 1 januari;38.6;381783;989319
164;Dordrecht (GA);2008 1 juli;42.4;99986;235762
165;Dordrecht (GA);2009 1 januari;40.9;96413;235883
166;Breda (GA);2008 1 juli;44.3;75740;171132
167;Breda (GA);2009 1 januari;42.9;73777;171916
168;Tilburg (GA);2008 1 juli;43.6;97750;224355
169;Tilburg (GA);2009 1 januari;42.4;95812;225930
170;'s-Hertogenbosch (GA);2008 1 juli;42.9;69734;162412
171;'s-Hertogenbosch (GA);2009 1 januari;41.8;68082;163063
172;Eindhoven (GA);2008 1 juli;43.7;141651;324088
173;Eindhoven (GA);2009 1 januari;42.2;137291;325342
174;Geleen/Sittard (GA);2008 1 juli;45.9;63466;138271
175;Geleen/Sittard (GA);2009 1 januari;44.2;60945;137799
176;Heerlen (GA);2008 1 juli;46.8;96518;206086
177;Heerlen (GA);2009 1 januari;45.0;92555;205677
178;Maastricht (GA);2008 1 juli;43.2;50772;117548
179;Maastricht (GA);2009 1 januari;42.6;50393;118286
180;Buitenland (GA);2008 1 juli;0.0;0;0
181;Buitenland (GA);2009 1 januari;0.0;0;0
182;Niet in te delen (GA);2008 1 juli;0.0;0;0
183;Niet in te delen (GA);2009 1 januari;0.0;0;0
184;Geen stadsgewest (SG);2008 1 juli;0.0;0;0
185;Geen stadsgewest (SG);2009 1 januari;0.0;0;0
186;Groningen (SG);2008 1 juli;43.7;150298;343795
187;Groningen (SG);2009 1 januari;43.6;151078;346417
188;Leeuwarden (SG);2008 1 juli;43.2;69057;159914
189;Leeuwarden (SG);2009 1 januari;42.4;68098;160662
190;Zwolle (SG);2008 1 juli;43.6;75790;173934
191;Zwolle (SG);2009 1 januari;42.2;73826;174768
192;Enschede (SG);2008 1 juli;44.2;137479;311279
193;Enschede (SG);2009 1 januari;42.4;132406;312455
194;Apeldoorn (SG);2008 1 juli;43.3;91671;211681
195;Apeldoorn (SG);2009 1 januari;41.9;88927;211992
196;Arnhem (SG);2008 1 juli;42.2;148275;351529
197;Arnhem (SG);2009 1 januari;40.7;143861;353488
198;Nijmegen (SG);2008 1 juli;42.9;119805;279332
199;Nijmegen (SG);2009 1 januari;41.9;117259;280079
200;Amersfoort (SG);2008 1 juli;43.4;119454;275175
201;Amersfoort (SG);2009 1 januari;42.3;117009;276339
202;Utrecht (SG);2008 1 juli;44.8;266116;594586
203;Utrecht (SG);2009 1 januari;43.9;262751;598714
204;Amsterdam (SG);2008 1 juli;39.0;579783;1488507
205;Amsterdam (SG);2009 1 januari;38.0;568303;1497278
206;Haarlem (SG);2008 1 juli;41.5;169724;408560
207;Haarlem (SG);2009 1 januari;40.0;163585;409447
208;Leiden (SG);2008 1 juli;41.4;138005;333690
209;Leiden (SG);2009 1 januari;40.3;134971;334570
210;'s-Gravenhage (SG);2008 1 juli;41.0;411131;1001685
211;'s-Gravenhage (SG);2009 1 januari;40.0;402843;1007560
212;Rotterdam (SG);2008 1 juli;40.5;474189;1170123
213;Rotterdam (SG);2009 1 januari;38.9;456832;1174583
214;Dordrecht (SG);2008 1 juli;42.2;117930;279710
215;Dordrecht (SG);2009 1 januari;40.6;113986;280603
216;Breda (SG);2008 1 juli;43.3;135600;313522
217;Breda (SG);2009 1 januari;41.6;131104;314818
218;Tilburg (SG);2008 1 juli;43.0;125151;291085
219;Tilburg (SG);2009 1 januari;41.8;122125;292498
220;'s-Hertogenbosch (SG);2008 1 juli;42.9;81820;190613
221;'s-Hertogenbosch (SG);2009 1 januari;41.6;79622;191330
222;Eindhoven (SG);2008 1 juli;43.6;177384;406665
223;Eindhoven (SG);2009 1 januari;42.0;171333;407667
224;Geleen/Sittard (SG);2008 1 juli;45.9;69686;151679
225;Geleen/Sittard (SG);2009 1 januari;44.2;66925;151277
226;Heerlen (SG);2008 1 juli;46.8;118771;254029
227;Heerlen (SG);2009 1 januari;45.0;113911;253383
228;Maastricht (SG);2008 1 juli;43.3;77687;179436
229;Maastricht (SG);2009 1 januari;42.5;76362;179815
230;Buitenland (SG);2008 1 juli;0.0;0;0
231;Buitenland (SG);2009 1 januari;0.0;0;0
232;Niet in te delen (SG);2008 1 juli;0.0;0;0
233;Niet in te delen (SG);2009 1 januari;0.0;0;0
234;Aa en Hunze;2008 1 juli;39.4;10130;25708
235;Aa en Hunze;2009 1 januari;37.6;9663;25675
236;Aalburg;2008 1 juli;29.3;3669;12519
237;Aalburg;2009 1 januari;28.2;3538;12556
238;Aalsmeer;2008 1 juli;39.9;10852;27204
239;Aalsmeer;2009 1 januari;38.9;10890;28006
240;Aalten;2008 1 juli;37.8;10370;27464
241;Aalten;2009 1 januari;36.2;9940;27447
242;Abcoude;2008 1 juli;33.4;2897;8673
243;Abcoude;2009 1 januari;32.9;2857;8680
244;Achtkarspelen;2008 1 juli;36.7;10319;28102
245;Achtkarspelen;2009 1 januari;35.3;9935;28139
246;Alblasserdam;2008 1 juli;38.5;7243;18828
247;Alblasserdam;2009 1 januari;36.9;6943;18839
248;Albrandswaard;2008 1 juli;42.2;9541;22606
249;Albrandswaard;2009 1 januari;40.5;9302;22974
250;Alkemade;2008 1 juli;36.0;5235;14538
251;Alkemade;2009 1 januari;0.0;0;0
252;Alkmaar;2008 1 juli;44.6;41747;93581
253;Alkmaar;2009 1 januari;42.6;39800;93416
254;Almelo;2008 1 juli;43.5;31466;72275
255;Almelo;2009 1 januari;41.5;30092;72428
256;Almere;2008 1 juli;45.4;83664;184414
257;Almere;2009 1 januari;43.9;81629;185746
258;Alphen aan den Rijn;2008 1 juli;45.2;32449;71841
259;Alphen aan den Rijn;2009 1 januari;43.5;31397;72178
260;Alphen-Chaam;2008 1 juli;35.2;3326;9449
261;Alphen-Chaam;2009 1 januari;33.8;3188;9421
262;Ameland;2008 1 juli;26.1;909;3483
263;Ameland;2009 1 januari;24.7;855;3466
264;Amersfoort;2008 1 juli;44.5;63320;142299
265;Amersfoort;2009 1 januari;43.7;62606;143212
266;Amstelveen;2008 1 juli;38.7;30566;78888
267;Amstelveen;2009 1 januari;38.0;30272;79768
268;Amsterdam;2008 1 juli;35.7;268215;750771
269;Amsterdam;2009 1 januari;35.2;265990;755605
270;Andijk;2008 1 juli;36.3;2370;6529
271;Andijk;2009 1 januari;34.6;2245;6495
272;Anna Paulowna;2008 1 juli;40.7;5766;14171
273;Anna Paulowna;2009 1 januari;39.5;5593;14155
274;Apeldoorn;2008 1 juli;44.7;69196;154962
275;Apeldoorn;2009 1 januari;43.3;67200;155332
276;Appingedam;2008 1 juli;42.0;5099;12154
277;Appingedam;2009 1 januari;40.4;4889;12114
278;Arcen en Velden;2008 1 juli;43.7;3828;8750
279;Arcen en Velden;2009 1 januari;40.4;3523;8711
280;Arnhem;2008 1 juli;41.3;59536;144101
281;Arnhem;2009 1 januari;40.1;58379;145574
282;Assen;2008 1 juli;44.8;29416;65643
283;Assen;2009 1 januari;43.3;28733;66369
284;Asten;2008 1 juli;38.6;6331;16411
285;Asten;2009 1 januari;37.3;6108;16363
286;Baarle-Nassau;2008 1 juli;35.3;2358;6684
287;Baarle-Nassau;2009 1 januari;33.6;2248;6682
288;Baarn;2008 1 juli;39.9;9704;24345
289;Baarn;2009 1 januari;38.5;9379;24335
290;Barendrecht;2008 1 juli;44.1;20109;45637
291;Barendrecht;2009 1 januari;42.4;19433;45861
292;Barneveld;2008 1 juli;32.7;16956;51778
293;Barneveld;2009 1 januari;31.6;16477;52066
294;Bedum;2008 1 juli;40.0;4207;10505
295;Bedum;2009 1 januari;39.0;4085;10462
296;Beek (L.);2008 1 juli;46.2;7662;16584
297;Beek (L.);2009 1 januari;44.6;7404;16607
298;Beemster;2008 1 juli;34.9;2968;8498
299;Beemster;2009 1 januari;34.2;2925;8564
300;Beesel;2008 1 juli;45.3;6224;13744
301;Beesel;2009 1 januari;43.8;6038;13795
302;Bellingwedde;2008 1 juli;35.8;3343;9345
303;Bellingwedde;2009 1 januari;34.0;3151;9270
304;Bennebroek;2008 1 juli;38.1;1961;5150
305;Bennebroek;2009 1 januari;0.0;0;0
306;Bergambacht;2008 1 juli;34.9;3342;9583
307;Bergambacht;2009 1 januari;33.4;3227;9649
308;Bergeijk;2008 1 juli;36.2;6576;18157
309;Bergeijk;2009 1 januari;35.0;6339;18087
310;Bergen (L.);2008 1 juli;40.9;5541;13532
311;Bergen (L.);2009 1 januari;39.5;5300;13402
312;Bergen (NH.);2008 1 juli;33.8;10582;31286
313;Bergen (NH.);2009 1 januari;32.4;10090;31154
314;Bergen op Zoom;2008 1 juli;42.6;27847;65352
315;Bergen op Zoom;2009 1 januari;40.7;26686;65582
316;Berkelland;2008 1 juli;36.2;16392;45221
317;Berkelland;2009 1 januari;34.6;15615;45142
318;Bernheze;2008 1 juli;39.8;11821;29688
319;Bernheze;2009 1 januari;37.6;11148;29615
320;Bernisse;2008 1 juli;43.8;5502;12572
321;Bernisse;2009 1 januari;41.2;5173;12545
322;Best;2008 1 juli;42.9;12491;29111
323;Best;2009 1 januari;40.8;11849;29017
324;Beuningen;2008 1 juli;42.7;10823;25364
325;Beuningen;2009 1 januari;41.1;10390;25304
326;Beverwijk;2008 1 juli;42.9;16201;37749
327;Beverwijk;2009 1 januari;40.7;15584;38284
328;het Bildt;2008 1 juli;40.7;4402;10825
329;het Bildt;2009 1 januari;39.0;4247;10887
330;De Bilt;2008 1 juli;40.8;17182;42067
331;De Bilt;2009 1 januari;39.8;16699;41984
332;Binnenmaas;2008 1 juli;41.8;11999;28735
333;Binnenmaas;2009 1 januari;40.5;11698;28862
334;Bladel;2008 1 juli;41.5;7963;19172
335;Bladel;2009 1 januari;38.7;7411;19129
336;Blaricum;2008 1 juli;32.8;2956;9002
337;Blaricum;2009 1 januari;32.0;2873;8987
338;Bloemendaal;2008 1 juli;33.3;5645;16951
339;Bloemendaal;2009 1 januari;33.1;7298;22069
340;Boarnsterhim;2008 1 juli;38.5;7422;19276
341;Boarnsterhim;2009 1 januari;37.1;7165;19306
342;Bodegraven;2008 1 juli;38.6;7506;19447
343;Bodegraven;2009 1 januari;37.5;7299;19470
344;Boekel;2008 1 juli;35.9;3468;9668
345;Boekel;2009 1 januari;33.3;3228;9692
346;Ten Boer;2008 1 juli;41.3;3058;7406
347;Ten Boer;2009 1 januari;39.9;2970;7447
348;Bolsward;2008 1 juli;43.2;4224;9780
349;Bolsward;2009 1 januari;41.7;4093;9823
350;Borger-Odoorn;2008 1 juli;40.3;10547;26193
351;Borger-Odoorn;2009 1 januari;38.4;10038;26151
352;Borne;2008 1 juli;44.1;9220;20927
353;Borne;2009 1 januari;41.8;8814;21106
354;Borsele;2008 1 juli;38.5;8699;22577
355;Borsele;2009 1 januari;36.7;8279;22551
356;Boskoop;2008 1 juli;35.9;5439;15168
357;Boskoop;2009 1 januari;34.6;5234;15133
358;Boxmeer;2008 1 juli;42.3;12113;28618
359;Boxmeer;2009 1 januari;40.9;11704;28609
360;Boxtel;2008 1 juli;43.2;13064;30241
361;Boxtel;2009 1 januari;41.8;12644;30281
362;Breda;2008 1 juli;44.3;75740;171132
363;Breda;2009 1 januari;42.9;73777;171916
364;Breukelen;2008 1 juli;39.3;5748;14638
365;Breukelen;2009 1 januari;38.4;5635;14657
366;Brielle;2008 1 juli;41.7;6540;15687
367;Brielle;2009 1 januari;39.5;6159;15597
368;Bronckhorst;2008 1 juli;36.1;13670;37877
369;Bronckhorst;2009 1 januari;34.6;13109;37897
370;Brummen;2008 1 juli;39.3;8319;21175
371;Brummen;2009 1 januari;38.0;8042;21159
372;Brunssum;2008 1 juli;48.5;14415;29694
373;Brunssum;2009 1 januari;45.7;13496;29532
374;Bunnik;2008 1 juli;43.1;6164;14315
375;Bunnik;2009 1 januari;42.2;6077;14407
376;Bunschoten;2008 1 juli;40.7;8008;19680
377;Bunschoten;2009 1 januari;39.5;7800;19753
378;Buren;2008 1 juli;32.8;8412;25640
379;Buren;2009 1 januari;31.6;8099;25667
380;Bussum;2008 1 juli;36.4;11557;31749
381;Bussum;2009 1 januari;35.5;11344;31979
382;Capelle aan den IJssel;2008 1 juli;43.2;28057;65013
383;Capelle aan den IJssel;2009 1 januari;41.7;27243;65273
384;Castricum;2008 1 juli;43.5;15113;34750
385;Castricum;2009 1 januari;41.4;14371;34739
386;Coevorden;2008 1 juli;40.5;14573;35985
387;Coevorden;2009 1 januari;38.7;13897;35887
388;Cranendonck;2008 1 juli;43.5;8796;20236
389;Cranendonck;2009 1 januari;42.6;8627;20272
390;Cromstrijen;2008 1 juli;40.0;5144;12858
391;Cromstrijen;2009 1 januari;38.4;4930;12837
392;Cuijk;2008 1 juli;44.8;10882;24271
393;Cuijk;2009 1 januari;43.4;10545;24309
394;Culemborg;2008 1 juli;41.3;11292;27321
395;Culemborg;2009 1 januari;40.1;10990;27414
396;Dalfsen;2008 1 juli;37.0;9955;26894
397;Dalfsen;2009 1 januari;35.4;9577;27044
398;Dantumadeel;2008 1 juli;38.1;7388;19384
399;Dantumadeel;2009 1 januari;0.0;0;0
400;Dantumadiel;2008 1 juli;0.0;0;0
401;Dantumadiel;2009 1 januari;36.8;7129;19367
402;Delft;2008 1 juli;44.5;42714;95975
403;Delft;2009 1 januari;43.5;41988;96517
404;Delfzijl;2008 1 juli;40.9;10997;26902
405;Delfzijl;2009 1 januari;39.1;10463;26744
406;Deurne;2008 1 juli;40.0;12650;31610
407;Deurne;2009 1 januari;38.9;12238;31466
408;Deventer;2008 1 juli;44.6;43467;97452
409;Deventer;2009 1 januari;42.7;41831;97892
410;Diemen;2008 1 juli;37.6;9103;24208
411;Diemen;2009 1 januari;37.1;9037;24361
412;Dinkelland;2008 1 juli;39.9;10436;26143
413;Dinkelland;2009 1 januari;38.7;10079;26066
414;Dirksland;2008 1 juli;36.8;3069;8340
415;Dirksland;2009 1 januari;34.9;2916;8347
416;Doesburg;2008 1 juli;39.1;4509;11532
417;Doesburg;2009 1 januari;37.7;4331;11503
418;Doetinchem;2008 1 juli;41.3;23193;56151
419;Doetinchem;2009 1 januari;39.5;22200;56136
420;Dongen;2008 1 juli;44.1;11171;25307
421;Dongen;2009 1 januari;42.0;10661;25411
422;Dongeradeel;2008 1 juli;40.5;9978;24619
423;Dongeradeel;2009 1 januari;39.0;9596;24610
424;Dordrecht;2008 1 juli;43.2;51073;118283
425;Dordrecht;2009 1 januari;41.9;49622;118408
426;Drechterland;2008 1 juli;39.7;7541;18985
427;Drechterland;2009 1 januari;37.6;7175;19091
428;Drimmelen;2008 1 juli;44.1;11716;26589
429;Drimmelen;2009 1 januari;41.9;11150;26624
430;Dronten;2008 1 juli;42.1;16294;38684
431;Dronten;2009 1 januari;40.7;15967;39206
432;Druten;2008 1 juli;43.2;7834;18128
433;Druten;2009 1 januari;41.4;7502;18102
434;Duiven;2008 1 juli;46.9;11952;25505
435;Duiven;2009 1 januari;45.2;11521;25510
436;Echt-Susteren;2008 1 juli;44.1;14161;32129
437;Echt-Susteren;2009 1 januari;41.6;13332;32049
438;Edam-Volendam;2008 1 juli;41.1;11699;28480
439;Edam-Volendam;2009 1 januari;39.8;11350;28483
440;Ede;2008 1 juli;40.3;43330;107560
441;Ede;2009 1 januari;38.6;41547;107623
442;Eemnes;2008 1 juli;39.3;3512;8930
443;Eemnes;2009 1 januari;37.8;3356;8880
444;Eemsmond;2008 1 juli;36.9;6098;16538
445;Eemsmond;2009 1 januari;35.8;5906;16487
446;Eersel;2008 1 juli;39.9;7204;18056
447;Eersel;2009 1 januari;38.0;6884;18104
448;Eijsden;2008 1 juli;44.8;5132;11452
449;Eijsden;2009 1 januari;44.1;5030;11418
450;Eindhoven;2008 1 juli;43.2;91004;210876
451;Eindhoven;2009 1 januari;41.7;88487;212269
452;Elburg;2008 1 juli;36.5;8088;22168
453;Elburg;2009 1 januari;35.0;7747;22112
454;Emmen;2008 1 juli;42.7;46622;109254
455;Emmen;2009 1 januari;40.4;44203;109441
456;Enkhuizen;2008 1 juli;43.0;7723;17978
457;Enkhuizen;2009 1 januari;41.4;7502;18104
458;Enschede;2008 1 juli;43.2;67011;154999
459;Enschede;2009 1 januari;41.6;64868;156071
460;Epe;2008 1 juli;40.0;13196;33003
461;Epe;2009 1 januari;38.7;12738;32954
462;Ermelo;2008 1 juli;38.9;10247;26311
463;Ermelo;2009 1 januari;37.5;9866;26306
464;Etten-Leur;2008 1 juli;44.0;17926;40726
465;Etten-Leur;2009 1 januari;42.4;17364;40997
466;Ferwerderadiel;2008 1 juli;39.3;3462;8817
467;Ferwerderadiel;2009 1 januari;37.7;3323;8825
468;Franekeradeel;2008 1 juli;42.5;8743;20555
469;Franekeradeel;2009 1 januari;41.6;8571;20579
470;Gaasterlân-Sleat;2008 1 juli;35.5;3642;10264
471;Gaasterlân-Sleat;2009 1 januari;34.2;3518;10280
472;Geertruidenberg;2008 1 juli;41.4;8632;20846
473;Geertruidenberg;2009 1 januari;38.7;8038;20794
474;Geldermalsen;2008 1 juli;34.5;9066;26243
475;Geldermalsen;2009 1 januari;33.3;8754;26289
476;Geldrop-Mierlo;2008 1 juli;45.0;17126;38034
477;Geldrop-Mierlo;2009 1 januari;43.3;16441;37996
478;Gemert-Bakel;2008 1 juli;39.2;11078;28263
