ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzet_25;TotaalHandel_26;TotaalVerleendeDiensten_27;CaravansEnBungalows_28;ToeristischeStandplaatsen_29;SeizoenEnJaarplaatsen_30;Groepsverblijven_31;Ligplaatsen_32;OverigeVerhuur_33;ToegangsopbrengstenAttracties_34;Dranken_35;MaaltijdenSnacks_36;OverigeHorecaActiviteiten_37;OntvangstenVoorUitleenEnSubsidie_38;TotaalPersoneelskosten_39;BrutoLonenEnSalarissen_40;SocialeLasten_41;Pensioenpremies_42;KostenUitzendkrachten_43;KostenIngeleendPersoneel_44;OverigePersoneelskosten_45;TotaalOverigeBedrijfslasten_46;TotaalHuisvestingskosten_47;BetaaldeHurenPachtenEDVanLeasing_48;OnroerendeZaakbelastingMilieuheffing_49;Energiekosten_50;ReparatieEnOnderhoudskosten_51;Verzekeringen_52;OverigeHuisvestingskosten_53;TotaalInventarisEnMachinekosten_54;BetaaldeHurenEnKostenVanOperLease_55;Onderhoudskosten_56;OverigeInventarisEnMachinekosten_57;TotaalAutokosten_58;BetaaldeHurenEnKostenVanOperLease_59;Brandstof_60;OverigeAutokosten_61;TotaalVerkoopkosten_62;ReclameEnAdvertentiekosten_63;ReisVerblijfsEnRepresentatiekosten_64;OverigeVerkoopkosten_65;TotaalAndereKosten_66;AccountantsEnAdviesdiensten_67;KantoorbenodigdhDrukwerkVakliteratuur_68;OverigeVerzekeringen_69;OverigeKostprijsverhogendeBelastingen_70;Communicatiekosten_71;Beheerskosten_72;OverigeAutomatiseringskosten_73;NogNietEerderGenoemdeBedrijfskosten_74;TotaalAantalWerkzamePersonen_75;WerknemersOpDeLoonlijst_76;WerknemersNietOpLoonlijst_77;OverigPersoneel_78;AantalVte_79;TotaalInvesteringen_80;TotaalMaterieleVasteActiva_81;Bedrijfsruimten_82;Vervoermiddelen_83;Computers_84;OverigeMachinesApparatenED_85;OverigeMaterieleVasteActiva_86;TotaalImmaterieleVasteActiva_87
10;250 000 tot 500 000 euro;1998;3.1;105;100;89;11;5;83;19.2;19.9;16.3;44.5;37;19;3;1;3;11;22;-4;18;84.0;17.3;17.0;11.5;100;11.3;88.7;17.3;17.1;26.6;4.3;1.9;7.7;0.4;5.1;5.9;2.4;1.6;17;78.0;10.3;1.7;4.8;3.6;3.2;37;19;;;;;;;3;;;;1;;;;3;;;;11;;;;;;;;;18;78.2;17.9;3.9;11;12;100.0;19.6;11.6;1.5;17.3;49.9;0.0
11;250 000 tot 500 000 euro;1999;3.2;110;106;95;11;4;91;19.6;22.5;16.4;41.5;38;20;3;1;4;10;19;-6;13;83.2;12.5;12.2;9.4;106;10.0;90.0;12.8;16.5;30.6;3.5;2.2;9.5;0.2;5.7;6.4;2.5;0.8;20;76.6;10.7;5.8;3.7;0.7;3.2;38;20;;;;;;;3;;;;1;;;;4;;;;10;;;;;;;;;17;75.8;19.4;4.9;11;10;100.0;34.0;4.5;2.1;18.5;40.9;0.0
12;500 000 tot 1 500 000 euro;1996;2.2;172;169;153;16;3;156;18.2;25.2;15.8;40.8;64;34;3;2;7;18;16;-9;7;83.1;3.9;4.0;5.1;169;9.3;90.7;17.4;14.6;22.8;4.2;2.6;10.1;0.7;5.9;9.6;2.8;0.6;39;77.5;9.2;2.1;5.8;1.8;4.1;64;34;20.2;9.0;23.0;24.8;3.0;20.0;3;3.8;70.0;26.2;2;10.3;28.4;61.3;7;54.0;9.6;36.4;18;17.4;8.2;3.5;2.6;6.8;39.9;1.8;19.8;39;89.8;5.0;5.2;18;9;99.7;31.0;3.5;1.3;19.0;45.0;0.3
13;500 000 tot 1 500 000 euro;1997;2.6;205;202;182;19;3;178;19.8;23.8;15.4;41.1;73;38;5;2;7;22;28;-8;20;82.6;8.9;9.5;7.6;202;9.6;90.4;18.7;16.9;23.7;3.8;2.6;7.9;1.0;5.4;8.5;1.9;1.6;42;81.4;8.4;2.7;3.6;1.4;4.1;73;38;27.4;8.3;22.9;22.5;3.5;15.6;5;7.9;66.5;25.6;2;11.1;25.1;63.8;7;64.9;7.1;28.0;22;19.7;6.4;2.9;3.4;5.9;37.9;1.0;22.7;41;92.9;4.6;2.5;21;16;96.3;11.6;6.8;0.9;18.2;58.8;3.7
14;500 000 tot 1 500 000 euro;1998;2.1;176;173;157;16;3;154;18.5;25.6;15.2;40.6;63;33;5;2;6;17;21;-7;14;83.4;7.5;7.8;11.8;173;9.0;91.0;18.0;15.6;26.1;3.9;2.4;8.6;1.2;5.3;8.4;1.5;0.9;40;76.8;10.9;2.6;4.2;2.2;4.2;63;33;;;;;;;5;;;;2;;;;6;;;;17;;;;;;;;;35;91.4;3.5;5.1;18;21;100.0;35.3;9.1;1.5;20.1;34.0;0.0
15;500 000 tot 1 500 000 euro;1999;1.9;150;146;139;7;4;132;15.0;26.9;15.0;43.1;57;32;4;1;5;15;18;-6;12;86.4;6.9;8.0;17.7;146;4.8;95.2;22.0;17.8;21.9;4.7;1.8;10.6;0.9;5.7;8.5;1.2;1.5;35;76.4;11.7;2.8;5.2;2.0;3.5;57;32;;;;;;;4;;;;1;;;;5;;;;15;;;;;;;;;32;92.3;4.1;3.6;14;27;99.3;43.1;2.3;1.0;8.5;44.4;0.7
16;1 500 000 euro en meer;1996;0.5;429;426;381;45;3;376;16.8;29.9;12.9;40.4;152;73;11;2;24;41;53;-35;18;85.2;5.0;4.1;13.1;426;10.5;89.5;47.1;4.7;4.2;1.4;0.7;8.9;2.2;6.1;12.9;1.2;0.9;113;79.7;7.3;2.6;4.3;0.8;6.2;152;73;13.3;7.5;21.7;25.5;2.6;29.4;11;17.2;18.7;64.1;2;16.2;16.0;67.7;24;55.7;5.1;39.2;41;8.6;6.6;2.0;2.7;8.8;53.2;2.7;15.5;77;95.6;0.4;4.1;40;56;100.0;35.3;0.3;1.3;24.9;38.1;0.0
17;1 500 000 euro en meer;1997;0.5;452;448;400;49;4;415;16.8;29.5;15.9;37.7;157;74;10;2;26;45;38;-30;8;84.5;2.5;1.7;6.7;448;10.9;89.1;45.5;4.9;4.2;1.4;0.4;8.8;2.2;6.2;13.6;2.0;1.0;123;79.5;7.3;3.1;3.3;1.4;6.3;157;74;12.6;7.3;22.5;25.3;2.8;29.5;10;14.7;29.8;55.5;2;17.8;16.9;65.3;26;54.7;4.5;40.8;45;7.0;7.2;1.9;2.9;8.6;51.0;4.2;17.2;85;96.3;0.3;3.5;44;30;100.0;30.8;1.0;5.2;8.8;54.1;0.0
18;1 500 000 euro en meer;1998;0.6;492;487;433;55;5;439;19.4;29.9;13.1;37.6;165;81;10;2;24;48;52;-25;27;82.5;5.0;5.5;7.8;487;11.2;88.8;43.8;4.8;4.2;1.5;0.3;9.3;2.0;6.1;14.7;1.9;1.2;131;76.9;9.0;3.1;4.5;1.3;6.2;165;81;;;;;;;10;;;;2;;;;24;;;;48;;;;;;;;;91;94.9;0.3;4.8;48;39;99.8;35.7;2.2;2.1;6.8;53.0;0.2
19;1 500 000 euro en meer;1999;0.8;545;540;473;67;5;503;20.1;30.2;12.7;37.1;186;90;17;3;28;49;42;-27;15;81.3;2.3;2.7;17.3;540;12.3;87.7;40.8;5.1;6.4;1.9;0.3;8.7;2.5;5.8;14.1;2.0;1.5;152;73.6;9.4;3.7;5.5;1.4;7.9;186;90;;;;;;;17;;;;3;;;;28;;;;49;;;;;;;;;100;93.7;0.3;6.0;52;94;99.5;24.2;1.5;1.1;19.6;53.1;0.5
