ID;Telpunten;TypeSchip;Perioden;TotaalBeideVaarrichtingen_1;k_21Tot250Ton_2;k_250Tot400Ton_3;k_400Tot650Ton_4;k_650Tot1000Ton_5;k_1000Tot1500Ton_6;k_1500Tot2000Ton_7;k_2000Tot3000Ton_8;k_3000TonEnMeer_9;OnbekendLaadvermogen_10;TotaalVaarrichting1_11;k_21Tot250Ton_12;k_250Tot400Ton_13;k_400Tot650Ton_14;k_650Tot1000Ton_15;k_1000Tot1500Ton_16;k_1500Tot2000Ton_17;k_2000Tot3000Ton_18;k_3000TonEnMeer_19;OnbekendLaadvermogen_20;TotaalVaarrichting2_21;k_21Tot250Ton_22;k_250Tot400Ton_23;k_400Tot650Ton_24;k_650Tot1000Ton_25;k_1000Tot1500Ton_26;k_1500Tot2000Ton_27;k_2000Tot3000Ton_28;k_3000TonEnMeer_29;OnbekendLaadvermogen_30;Vaarrichting_31;Telpuntnaam_32;Vaarwegnaam_33;Provincie_34;Telpuntnummer_35;Vaarwegnummer_36;TypeTelpunt_37
22;1;1;2000;8472.0;4.0;674.0;1031.0;2391.0;3637.0;541.0;177.0;7.0;10.0;4427.0;2.0;348.0;592.0;1280.0;1837.0;268.0;89.0;4.0;7.0;4045.0;2.0;326.0;439.0;1111.0;1800.0;273.0;88.0;3.0;3.0;"1=Noord ; 2=Zuid";Zeesluis Farmsum                      ;Eemskanaal                                  ;Groningen       ;001;001 ;Primair    
23;1;1;2001;8271.0;18.0;534.0;812.0;2025.0;4050.0;584.0;233.0;8.0;7.0;4362.0;8.0;278.0;464.0;1114.0;2079.0;295.0;116.0;4.0;4.0;3909.0;10.0;256.0;348.0;911.0;1971.0;289.0;117.0;4.0;3.0;"1=Noord ; 2=Zuid";Zeesluis Farmsum                      ;Eemskanaal                                  ;Groningen       ;001;001 ;Primair    
24;1;1;2002;7117.0;112.0;358.0;709.0;1888.0;3183.0;611.0;223.0;19.0;14.0;3758.0;58.0;185.0;409.0;1037.0;1635.0;307.0;111.0;10.0;6.0;3359.0;54.0;173.0;300.0;851.0;1548.0;304.0;112.0;9.0;8.0;"1=Noord ; 2=Zuid";Zeesluis Farmsum                      ;Eemskanaal                                  ;Groningen       ;001;001 ;Primair    
25;1;2;1998;2610.0;818.0;70.0;219.0;150.0;781.0;367.0;203.0;0.0;2.0;1296.0;410.0;35.0;129.0;78.0;374.0;170.0;100.0;0.0;0.0;1314.0;408.0;35.0;90.0;72.0;407.0;197.0;103.0;0.0;2.0;"1=Noord ; 2=Zuid";Zeesluis Farmsum                      ;Eemskanaal                                  ;Groningen       ;001;001 ;Primair    
26;1;2;1999;2397.0;804.0;17.0;198.0;184.0;692.0;320.0;182.0;0.0;0.0;1215.0;408.0;9.0;118.0;94.0;346.0;150.0;90.0;0.0;0.0;1182.0;396.0;8.0;80.0;90.0;346.0;170.0;92.0;0.0;0.0;"1=Noord ; 2=Zuid";Zeesluis Farmsum                      ;Eemskanaal                                  ;Groningen       ;001;001 ;Primair    
27;1;2;2000;2585.0;967.0;25.0;194.0;177.0;710.0;326.0;185.0;0.0;1.0;1332.0;495.0;13.0;118.0;91.0;372.0;152.0;91.0;0.0;0.0;1253.0;472.0;12.0;76.0;86.0;338.0;174.0;94.0;0.0;1.0;"1=Noord ; 2=Zuid";Zeesluis Farmsum                      ;Eemskanaal                                  ;Groningen       ;001;001 ;Primair    
28;1;2;2001;2344.0;913.0;38.0;173.0;117.0;683.0;212.0;203.0;2.0;3.0;1184.0;458.0;19.0;110.0;58.0;333.0;100.0;102.0;1.0;3.0;1160.0;455.0;19.0;63.0;59.0;350.0;112.0;101.0;1.0;0.0;"1=Noord ; 2=Zuid";Zeesluis Farmsum                      ;Eemskanaal                                  ;Groningen       ;001;001 ;Primair    
29;1;2;2002;2143.0;859.0;10.0;216.0;112.0;643.0;122.0;179.0;0.0;2.0;1103.0;441.0;5.0;131.0;60.0;334.0;43.0;88.0;0.0;1.0;1040.0;418.0;5.0;85.0;52.0;309.0;79.0;91.0;0.0;1.0;"1=Noord ; 2=Zuid";Zeesluis Farmsum                      ;Eemskanaal                                  ;Groningen       ;001;001 ;Primair    
30;1;3;1998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;            Zero;                                  Zero;                                        Zero;            Zero;Zero;Zero;       Zero
31;1;3;1999;8.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;"1=Noord ; 2=Zuid";Zeesluis Farmsum                      ;Eemskanaal                                  ;Groningen       ;001;001 ;Primair    
