ID;BedrijfstakkenBranchesSBI2008;Perioden;PrijsindexArbeid_1;JaarmutatiePrijsVanArbeid_2;LoonkostenPerGewerktUur_3;JaarmutatieLoonkostenPerGewerktUur_4;Structuureffect_5
24;A-U Alle economische activiteiten;2006 januari - 2006 december;76.6;1.5;73.4;2.1;0.6
25;A-U Alle economische activiteiten;2006 april - 2007 maart;77.3;;74.2;;
26;A-U Alle economische activiteiten;2006 juli - 2007 juni;77.9;;74.7;;
27;A-U Alle economische activiteiten;2006 oktober - 2007 september;78.3;;75.1;;
28;A-U Alle economische activiteiten;2007 januari - 2007 december;78.9;3.1;75.7;3.1;0.1
29;A-U Alle economische activiteiten;2007 april - 2008 maart;80.0;3.4;76.7;3.5;0.1
30;A-U Alle economische activiteiten;2007 juli - 2008 juni;80.8;3.7;77.6;3.8;0.0
31;A-U Alle economische activiteiten;2007 oktober - 2008 september;81.3;3.8;78.0;3.8;0.0
32;A-U Alle economische activiteiten;2008 januari - 2008 december;81.9;3.8;78.7;3.9;0.1
33;A-U Alle economische activiteiten;2008 april - 2009 maart;82.3;2.9;79.2;3.2;0.3
34;A-U Alle economische activiteiten;2008 juli - 2009 juni;83.1;2.8;80.2;3.4;0.6
35;A-U Alle economische activiteiten;2008 oktober - 2009 september;83.2;2.4;80.6;3.3;0.9
36;A-U Alle economische activiteiten;2009 januari - 2009 december;83.3;1.7;80.9;2.8;1.2
37;A-U Alle economische activiteiten;2009 april - 2010 maart;83.6;1.6;81.5;2.9;1.3
38;A-U Alle economische activiteiten;2009 juli - 2010 juni;83.9;1.0;81.9;2.2;1.2
39;A-U Alle economische activiteiten;2009 oktober - 2010 september;83.5;0.3;81.6;1.3;0.9
40;A-U Alle economische activiteiten;2010 januari - 2010 december;83.5;0.3;81.7;1.0;0.7
41;A-U Alle economische activiteiten;2010 april - 2011 maart;83.6;0.0;81.9;0.4;0.4
42;A-U Alle economische activiteiten;2010 juli - 2011 juni;83.7;-0.2;81.9;0.0;0.3
43;A-U Alle economische activiteiten;2010 oktober - 2011 september;83.9;0.5;82.3;0.8;0.3
44;A-U Alle economische activiteiten;2011 januari - 2011 december;85.0;1.8;83.4;2.0;0.2
45;A-U Alle economische activiteiten;2011 april - 2012 maart;85.0;1.6;83.5;2.0;0.3
46;A-U Alle economische activiteiten;2011 juli - 2012 juni;85.3;1.9;83.9;2.4;0.4
47;A-U Alle economische activiteiten;2011 oktober - 2012 september;86.1;2.5;84.8;3.1;0.5
48;A-U Alle economische activiteiten;2012 januari - 2012 december;86.8;2.1;85.8;2.8;0.7
49;A-U Alle economische activiteiten;2012 april - 2013 maart;87.9;3.5;87.0;4.2;0.7
50;A-U Alle economische activiteiten;2012 juli - 2013 juni;87.9;3.1;87.2;3.9;0.8
51;A-U Alle economische activiteiten;2012 oktober - 2013 september;88.0;2.2;87.4;3.1;0.8
52;A-U Alle economische activiteiten;2013 januari - 2013 december;87.8;1.1;87.4;1.9;0.8
53;A-U Alle economische activiteiten;2013 april - 2014 maart;87.7;-0.2;87.4;0.5;0.7
54;A-U Alle economische activiteiten;2013 juli - 2014 juni;87.9;0.0;87.7;0.6;0.6
55;A-U Alle economische activiteiten;2013 oktober - 2014 september;87.9;-0.1;87.7;0.3;0.5
56;A-U Alle economische activiteiten;2014 januari - 2014 december;88.5;0.8;88.4;1.2;0.4
57;A-U Alle economische activiteiten;2014 april - 2015 maart;88.7;1.1;88.6;1.3;0.2
58;A-U Alle economische activiteiten;2014 juli - 2015 juni;89.0;1.2;88.8;1.3;0.1
59;A-U Alle economische activiteiten;2014 oktober - 2015 september;89.3;1.7;89.2;1.6;0.0
60;A-U Alle economische activiteiten;2015 januari - 2015 december;88.8;0.3;88.6;0.2;-0.1
61;A-U Alle economische activiteiten;2015 april - 2016 maart;89.2;0.6;89.0;0.5;-0.1
62;A-U Alle economische activiteiten;2015 juli - 2016 juni;88.8;-0.2;88.5;-0.4;-0.2
63;A-U Alle economische activiteiten;2015 oktober - 2016 september;89.2;-0.1;88.9;-0.3;-0.2
64;A-U Alle economische activiteiten;2016 januari - 2016 december ;89.9;1.3;89.5;1.0;-0.3
65;A-U Alle economische activiteiten;2016 april - 2017 maart;89.5;0.2;88.9;-0.1;-0.3
66;A-U Alle economische activiteiten;2016 juli - 2017 juni;90.1;1.5;89.4;1.1;-0.3
67;A-U Alle economische activiteiten;2016 oktober - 2017 september;90.4;1.3;89.6;0.8;-0.5
68;A-U Alle economische activiteiten;2017 januari - 2017 december;91.3;1.5;90.3;0.9;-0.5
69;A-U Alle economische activiteiten;2017 april - 2018 maart;92.2;3.0;91.1;2.4;-0.6
70;A-U Alle economische activiteiten;2017 juli - 2018 juni;92.8;3.1;91.7;2.5;-0.6
71;A-U Alle economische activiteiten;2017 oktober - 2018 september;93.5;3.4;92.2;2.9;-0.5
72;A-U Alle economische activiteiten;2018 januari - 2018 december;93.7;2.6;92.4;2.3;-0.3
73;A-U Alle economische activiteiten;2018 april - 2019 maart;94.5;2.5;93.1;2.3;-0.2
74;A-U Alle economische activiteiten;2018 juli - 2019 juni;95.1;2.4;93.8;2.3;-0.1
75;A-U Alle economische activiteiten;2018 oktober - 2019 september;95.2;1.8;94.0;1.9;0.0
76;A-U Alle economische activiteiten;2019 januari - 2019 december;96.1;2.7;94.9;2.8;0.1
77;A-U Alle economische activiteiten;2019 april - 2020 maart;97.7;3.5;96.7;3.8;0.3
78;A-U Alle economische activiteiten;2019 juli - 2020 juni;97.2;2.3;96.7;3.1;0.8
79;A-U Alle economische activiteiten;2019 oktober - 2020 september;98.9;3.8;98.6;4.9;1.0
80;A-U Alle economische activiteiten;2020 januari - 2020 december;98.8;2.7;98.9;4.2;1.4
81;A-U Alle economische activiteiten;2020 april - 2021 maart;97.5;-0.3;98.0;1.4;1.7
82;A-U Alle economische activiteiten;2020 juli - 2021 juni;98.7;1.5;99.0;2.5;1.0
83;A-U Alle economische activiteiten;2020 oktober - 2021 september;99.5;0.6;99.7;1.2;0.5
84;A-U Alle economische activiteiten;2021 januari - 2021 december;100.0;1.2;100.0;1.1;-0.2
85;A-U Alle economische activiteiten;2021 april - 2022 maart;101.4;4.1;101.1;3.1;-0.9
86;A-U Alle economische activiteiten;2021 juli - 2022 juni;103.5;4.9;103.0;3.9;-0.9
87;A-U Alle economische activiteiten;2021 oktober - 2022 september;103.8;4.3;103.3;3.6;-0.7
88;A-U Alle economische activiteiten;2022 januari - 2022 december;106.0;6.0;105.5;5.5;-0.5
89;A-U Alle economische activiteiten;2022 april - 2023 maart;107.1;5.6;106.7;5.5;-0.1
90;A-U Alle economische activiteiten;2022 juli - 2023 juni;109.0;5.3;108.7;5.6;0.2
91;A-U Alle economische activiteiten;2022 oktober - 2023 september;110.7;6.7;110.5;6.9;0.3
92;A-U Alle economische activiteiten;2023 januari - 2023 december;112.9;6.5;112.7;6.9;0.4
93;A-U Alle economische activiteiten;2023 april - 2024 maart;114.8;7.2;114.8;7.6;0.4
94;A-U Alle economische activiteiten;2023 juli - 2024 juni;116.2;6.6;116.3;7.0;0.3
95;A-U Alle economische activiteiten;2023 oktober - 2024 september;117.4;6.1;117.6;6.5;0.4
96;A-U Alle economische activiteiten;2024 januari - 2024 december;118.9;5.4;119.2;5.8;0.4
97;A Landbouw, bosbouw en visserij;2001;73.8;;66.5;;
98;A Landbouw, bosbouw en visserij;2002;77.8;5.5;70.5;6.1;0.6
99;A Landbouw, bosbouw en visserij;2003;80.3;3.2;73.2;3.8;0.5
100;A Landbouw, bosbouw en visserij;2004;79.3;-1.3;72.9;-0.3;1.0
101;A Landbouw, bosbouw en visserij;2005;80.8;1.9;73.1;0.2;-1.7
102;A Landbouw, bosbouw en visserij;2006;81.3;0.6;74.2;1.6;0.9
103;A Landbouw, bosbouw en visserij;2007;83.8;3.0;76.9;3.6;0.6
104;A Landbouw, bosbouw en visserij;2008;86.8;3.6;80.3;4.4;0.7
105;A Landbouw, bosbouw en visserij;2009;86.7;-0.2;80.2;-0.1;0.1
106;A Landbouw, bosbouw en visserij;2010;88.8;2.4;83.7;4.4;2.0
107;A Landbouw, bosbouw en visserij;2011;91.0;2.4;86.3;3.0;0.6
108;A Landbouw, bosbouw en visserij;2012;93.8;3.1;89.4;3.7;0.5
109;A Landbouw, bosbouw en visserij;2013;93.4;-0.4;89.9;0.5;0.9
110;A Landbouw, bosbouw en visserij;2014;93.7;0.3;91.0;1.3;1.0
111;A Landbouw, bosbouw en visserij;2015;94.6;1.0;92.2;1.4;0.4
112;A Landbouw, bosbouw en visserij;2016;93.5;-1.2;91.7;-0.6;0.6
113;A Landbouw, bosbouw en visserij;2017;94.1;0.6;92.2;0.5;-0.2
114;A Landbouw, bosbouw en visserij;2018;96.6;2.6;94.9;3.0;0.4
115;A Landbouw, bosbouw en visserij;2019;98.1;1.6;97.1;2.3;0.6
116;A Landbouw, bosbouw en visserij;2020;98.6;0.5;97.6;0.5;0.0
117;A Landbouw, bosbouw en visserij;2021;100.0;1.4;100.0;2.5;1.0
118;A Landbouw, bosbouw en visserij;2022;104.9;4.9;106.4;6.4;1.5
119;A Landbouw, bosbouw en visserij;2023;113.5;8.2;115.8;8.8;0.6
120;A Landbouw, bosbouw en visserij;2024;121.5;7.1;124.1;7.1;0.1
121;A Landbouw, bosbouw en visserij;2006 januari - 2006 december;81.3;0.6;74.2;1.6;0.9
122;A Landbouw, bosbouw en visserij;2006 april - 2007 maart;81.7;;74.6;;
123;A Landbouw, bosbouw en visserij;2006 juli - 2007 juni;81.9;;74.9;;
124;A Landbouw, bosbouw en visserij;2006 oktober - 2007 september;83.0;;76.0;;
125;A Landbouw, bosbouw en visserij;2007 januari - 2007 december;83.8;3.0;76.9;3.6;0.6
126;A Landbouw, bosbouw en visserij;2007 april - 2008 maart;84.2;3.0;77.3;3.6;0.6
127;A Landbouw, bosbouw en visserij;2007 juli - 2008 juni;85.0;3.8;78.2;4.4;0.6
128;A Landbouw, bosbouw en visserij;2007 oktober - 2008 september;86.7;4.5;80.0;5.3;0.8
129;A Landbouw, bosbouw en visserij;2008 januari - 2008 december;86.8;3.6;80.3;4.4;0.7
130;A Landbouw, bosbouw en visserij;2008 april - 2009 maart;87.4;3.9;80.9;4.6;0.7
131;A Landbouw, bosbouw en visserij;2008 juli - 2009 juni;87.6;3.1;81.1;3.7;0.6
132;A Landbouw, bosbouw en visserij;2008 oktober - 2009 september;87.7;1.1;81.2;1.4;0.3
133;A Landbouw, bosbouw en visserij;2009 januari - 2009 december;86.7;-0.2;80.2;-0.1;0.1
134;A Landbouw, bosbouw en visserij;2009 april - 2010 maart;88.9;1.7;82.6;2.2;0.5
135;A Landbouw, bosbouw en visserij;2009 juli - 2010 juni;89.3;1.9;83.5;3.0;1.1
136;A Landbouw, bosbouw en visserij;2009 oktober - 2010 september;87.8;0.1;82.4;1.6;1.5
137;A Landbouw, bosbouw en visserij;2010 januari - 2010 december;88.8;2.4;83.7;4.4;2.0
138;A Landbouw, bosbouw en visserij;2010 april - 2011 maart;89.0;0.1;84.0;1.6;1.5
139;A Landbouw, bosbouw en visserij;2010 juli - 2011 juni;89.1;-0.2;84.2;0.9;1.1
140;A Landbouw, bosbouw en visserij;2010 oktober - 2011 september;89.7;2.2;84.9;3.0;0.8
141;A Landbouw, bosbouw en visserij;2011 januari - 2011 december;91.0;2.4;86.3;3.0;0.6
142;A Landbouw, bosbouw en visserij;2011 april - 2012 maart;91.3;2.6;86.6;3.1;0.5
143;A Landbouw, bosbouw en visserij;2011 juli - 2012 juni;92.0;3.2;87.4;3.8;0.6
144;A Landbouw, bosbouw en visserij;2011 oktober - 2012 september;92.9;3.6;88.4;4.1;0.5
145;A Landbouw, bosbouw en visserij;2012 januari - 2012 december;93.8;3.1;89.4;3.7;0.5
146;A Landbouw, bosbouw en visserij;2012 april - 2013 maart;94.5;3.5;90.2;4.2;0.7
147;A Landbouw, bosbouw en visserij;2012 juli - 2013 juni;94.2;2.5;90.2;3.2;0.7
148;A Landbouw, bosbouw en visserij;2012 oktober - 2013 september;94.2;1.4;90.4;2.3;0.8
149;A Landbouw, bosbouw en visserij;2013 januari - 2013 december;93.4;-0.4;89.9;0.5;0.9
150;A Landbouw, bosbouw en visserij;2013 april - 2014 maart;93.2;-1.4;89.9;-0.4;1.0
151;A Landbouw, bosbouw en visserij;2013 juli - 2014 juni;93.2;-1.2;89.9;-0.3;0.8
152;A Landbouw, bosbouw en visserij;2013 oktober - 2014 september;92.8;-1.5;90.0;-0.5;1.0
153;A Landbouw, bosbouw en visserij;2014 januari - 2014 december;93.7;0.3;91.0;1.3;1.0
154;A Landbouw, bosbouw en visserij;2014 april - 2015 maart;94.0;0.8;91.4;1.7;0.8
155;A Landbouw, bosbouw en visserij;2014 juli - 2015 juni;94.7;1.7;92.3;2.7;1.0
156;A Landbouw, bosbouw en visserij;2014 oktober - 2015 september;95.3;2.7;93.0;3.3;0.6
157;A Landbouw, bosbouw en visserij;2015 januari - 2015 december;94.6;1.0;92.2;1.4;0.4
158;A Landbouw, bosbouw en visserij;2015 april - 2016 maart;94.6;0.7;92.4;1.1;0.3
159;A Landbouw, bosbouw en visserij;2015 juli - 2016 juni;93.1;-1.7;91.0;-1.4;0.3
160;A Landbouw, bosbouw en visserij;2015 oktober - 2016 september;93.1;-2.3;91.2;-1.9;0.4
161;A Landbouw, bosbouw en visserij;2016 januari - 2016 december ;93.5;-1.2;91.7;-0.6;0.6
162;A Landbouw, bosbouw en visserij;2016 april - 2017 maart;92.8;-1.9;91.1;-1.4;0.5
163;A Landbouw, bosbouw en visserij;2016 juli - 2017 juni;93.4;0.2;91.6;0.6;0.4
164;A Landbouw, bosbouw en visserij;2016 oktober - 2017 september;93.3;0.2;91.4;0.3;0.1
165;A Landbouw, bosbouw en visserij;2017 januari - 2017 december;94.1;0.6;92.2;0.5;-0.2
166;A Landbouw, bosbouw en visserij;2017 april - 2018 maart;94.9;2.3;93.0;2.1;-0.1
167;A Landbouw, bosbouw en visserij;2017 juli - 2018 juni;96.0;2.8;94.2;2.8;0.0
168;A Landbouw, bosbouw en visserij;2017 oktober - 2018 september;96.7;3.6;95.0;3.9;0.2
169;A Landbouw, bosbouw en visserij;2018 januari - 2018 december;96.6;2.6;94.9;3.0;0.4
170;A Landbouw, bosbouw en visserij;2018 april - 2019 maart;97.1;2.3;95.5;2.7;0.4
171;A Landbouw, bosbouw en visserij;2018 juli - 2019 juni;97.4;1.5;96.0;1.9;0.4
172;A Landbouw, bosbouw en visserij;2018 oktober - 2019 september;97.5;0.8;96.2;1.3;0.5
173;A Landbouw, bosbouw en visserij;2019 januari - 2019 december;98.1;1.6;97.1;2.3;0.6
174;A Landbouw, bosbouw en visserij;2019 april - 2020 maart;99.3;2.2;98.5;3.1;0.8
175;A Landbouw, bosbouw en visserij;2019 juli - 2020 juni;98.4;1.0;97.3;1.4;0.4
176;A Landbouw, bosbouw en visserij;2019 oktober - 2020 september;99.5;2.0;98.4;2.3;0.3
177;A Landbouw, bosbouw en visserij;2020 januari - 2020 december;98.6;0.5;97.6;0.5;0.0
178;A Landbouw, bosbouw en visserij;2020 april - 2021 maart;97.3;-2.0;96.4;-2.1;-0.2
179;A Landbouw, bosbouw en visserij;2020 juli - 2021 juni;98.6;0.2;98.1;0.8;0.6
180;A Landbouw, bosbouw en visserij;2020 oktober - 2021 september;99.4;-0.1;99.2;0.7;0.8
181;A Landbouw, bosbouw en visserij;2021 januari - 2021 december;100.0;1.4;100.0;2.5;1.0
182;A Landbouw, bosbouw en visserij;2021 april - 2022 maart;101.2;4.0;101.6;5.5;1.4
183;A Landbouw, bosbouw en visserij;2021 juli - 2022 juni;103.4;4.8;104.2;6.2;1.3
184;A Landbouw, bosbouw en visserij;2021 oktober - 2022 september;103.2;3.8;104.4;5.3;1.4
185;A Landbouw, bosbouw en visserij;2022 januari - 2022 december;104.9;4.9;106.4;6.4;1.5
186;A Landbouw, bosbouw en visserij;2022 april - 2023 maart;106.4;5.1;108.2;6.5;1.3
187;A Landbouw, bosbouw en visserij;2022 juli - 2023 juni;108.5;4.9;110.5;6.0;1.0
188;A Landbouw, bosbouw en visserij;2022 oktober - 2023 september;111.2;7.8;113.5;8.6;0.8
189;A Landbouw, bosbouw en visserij;2023 januari - 2023 december;113.5;8.2;115.8;8.8;0.6
190;A Landbouw, bosbouw en visserij;2023 april - 2024 maart;115.7;8.7;118.1;9.1;0.4
191;A Landbouw, bosbouw en visserij;2023 juli - 2024 juni;117.4;8.3;119.9;8.5;0.2
192;A Landbouw, bosbouw en visserij;2023 oktober - 2024 september;119.7;7.6;122.3;7.8;0.2
193;A Landbouw, bosbouw en visserij;2024 januari - 2024 december;121.5;7.1;124.1;7.1;0.1
194;B-F Nijverheid en energie;2001;68.8;;60.7;;
195;B-F Nijverheid en energie;2002;71.7;4.3;64.1;5.5;1.1
196;B-F Nijverheid en energie;2003;73.7;2.7;66.5;3.8;1.1
197;B-F Nijverheid en energie;2004;75.0;1.8;68.4;2.9;1.1
198;B-F Nijverheid en energie;2005;75.8;1.0;69.9;2.1;1.0
199;B-F Nijverheid en energie;2006;77.3;2.0;71.7;2.7;0.7
200;B-F Nijverheid en energie;2007;79.1;2.3;73.7;2.8;0.5
201;B-F Nijverheid en energie;2008;82.9;4.9;77.5;5.1;0.2
202;B-F Nijverheid en energie;2009;85.6;3.3;80.9;4.4;1.0
203;B-F Nijverheid en energie;2010;83.2;-2.9;79.8;-1.3;1.6
204;B-F Nijverheid en energie;2011;84.6;1.7;81.5;2.1;0.4
205;B-F Nijverheid en energie;2012;87.0;2.9;84.6;3.7;0.8
206;B-F Nijverheid en energie;2013;86.8;-0.2;85.4;1.0;1.2
207;B-F Nijverheid en energie;2014;88.4;1.9;87.7;2.8;0.8
208;B-F Nijverheid en energie;2015;88.2;-0.3;87.8;0.2;0.4
209;B-F Nijverheid en energie;2016;89.8;1.8;89.7;2.1;0.3
210;B-F Nijverheid en energie;2017;90.8;1.2;90.7;1.1;-0.1
211;B-F Nijverheid en energie;2018;93.2;2.6;93.0;2.5;-0.1
212;B-F Nijverheid en energie;2019;95.3;2.2;95.1;2.2;0.0
213;B-F Nijverheid en energie;2020;99.9;4.9;99.8;5.0;0.1
214;B-F Nijverheid en energie;2021;100.0;0.1;100.0;0.2;0.1
215;B-F Nijverheid en energie;2022;104.8;4.8;104.9;4.9;0.1
216;B-F Nijverheid en energie;2023;111.0;5.9;111.4;6.2;0.3
217;B-F Nijverheid en energie;2024;116.5;5.0;117.2;5.2;0.2
218;B-F Nijverheid en energie;2006 januari - 2006 december;77.3;2.0;71.7;2.7;0.7
219;B-F Nijverheid en energie;2006 april - 2007 maart;78.0;;72.4;;
220;B-F Nijverheid en energie;2006 juli - 2007 juni;78.4;;73.0;;
221;B-F Nijverheid en energie;2006 oktober - 2007 september;78.7;;73.3;;
222;B-F Nijverheid en energie;2007 januari - 2007 december;79.1;2.3;73.7;2.8;0.5
223;B-F Nijverheid en energie;2007 april - 2008 maart;80.5;3.2;75.1;3.7;0.4
224;B-F Nijverheid en energie;2007 juli - 2008 juni;81.7;4.2;76.3;4.5;0.3
225;B-F Nijverheid en energie;2007 oktober - 2008 september;82.3;4.6;76.8;4.8;0.3
226;B-F Nijverheid en energie;2008 januari - 2008 december;82.9;4.9;77.5;5.1;0.2
227;B-F Nijverheid en energie;2008 april - 2009 maart;83.7;4.0;78.3;4.3;0.4
228;B-F Nijverheid en energie;2008 juli - 2009 juni;84.7;3.7;79.5;4.3;0.6
229;B-F Nijverheid en energie;2008 oktober - 2009 september;85.3;3.7;80.3;4.5;0.8
230;B-F Nijverheid en energie;2009 januari - 2009 december;85.6;3.3;80.9;4.4;1.0
231;B-F Nijverheid en energie;2009 april - 2010 maart;85.6;2.3;81.2;3.6;1.3
232;B-F Nijverheid en energie;2009 juli - 2010 juni;85.1;0.5;81.1;2.0;1.5
233;B-F Nijverheid en energie;2009 oktober - 2010 september;83.8;-1.8;80.1;-0.2;1.6
234;B-F Nijverheid en energie;2010 januari - 2010 december;83.2;-2.9;79.8;-1.3;1.6
235;B-F Nijverheid en energie;2010 april - 2011 maart;83.2;-2.7;80.0;-1.5;1.3
236;B-F Nijverheid en energie;2010 juli - 2011 juni;83.2;-2.3;80.0;-1.3;1.0
237;B-F Nijverheid en energie;2010 oktober - 2011 september;83.5;-0.4;80.4;0.3;0.7
238;B-F Nijverheid en energie;2011 januari - 2011 december;84.6;1.7;81.5;2.1;0.4
239;B-F Nijverheid en energie;2011 april - 2012 maart;84.7;1.8;81.8;2.3;0.5
240;B-F Nijverheid en energie;2011 juli - 2012 juni;85.2;2.4;82.4;2.9;0.5
241;B-F Nijverheid en energie;2011 oktober - 2012 september;86.1;3.1;83.4;3.8;0.7
242;B-F Nijverheid en energie;2012 januari - 2012 december;87.0;2.9;84.6;3.7;0.8
243;B-F Nijverheid en energie;2012 april - 2013 maart;87.9;3.8;85.7;4.8;1.0
244;B-F Nijverheid en energie;2012 juli - 2013 juni;87.7;2.9;85.7;4.1;1.1
245;B-F Nijverheid en energie;2012 oktober - 2013 september;87.3;1.4;85.6;2.6;1.2
246;B-F Nijverheid en energie;2013 januari - 2013 december;86.8;-0.2;85.4;1.0;1.2
247;B-F Nijverheid en energie;2013 april - 2014 maart;86.7;-1.4;85.5;-0.3;1.1
248;B-F Nijverheid en energie;2013 juli - 2014 juni;87.2;-0.6;86.1;0.5;1.0
249;B-F Nijverheid en energie;2013 oktober - 2014 september;87.4;0.1;86.5;1.1;1.0
250;B-F Nijverheid en energie;2014 januari - 2014 december;88.4;1.9;87.7;2.8;0.8
251;B-F Nijverheid en energie;2014 april - 2015 maart;88.6;2.1;88.0;2.9;0.7
252;B-F Nijverheid en energie;2014 juli - 2015 juni;88.8;1.8;88.3;2.5;0.6
253;B-F Nijverheid en energie;2014 oktober - 2015 september;88.9;1.8;88.5;2.3;0.5
254;B-F Nijverheid en energie;2015 januari - 2015 december;88.2;-0.3;87.8;0.2;0.4
255;B-F Nijverheid en energie;2015 april - 2016 maart;88.8;0.3;88.6;0.7;0.4
256;B-F Nijverheid en energie;2015 juli - 2016 juni;88.6;-0.2;88.4;0.2;0.3
257;B-F Nijverheid en energie;2015 oktober - 2016 september;89.1;0.2;89.0;0.5;0.3
258;B-F Nijverheid en energie;2016 januari - 2016 december ;89.8;1.8;89.7;2.1;0.3
259;B-F Nijverheid en energie;2016 april - 2017 maart;89.2;0.4;89.2;0.7;0.3
260;B-F Nijverheid en energie;2016 juli - 2017 juni;89.7;1.2;89.7;1.4;0.2
261;B-F Nijverheid en energie;2016 oktober - 2017 september;90.0;1.0;89.9;1.0;0.1
262;B-F Nijverheid en energie;2017 januari - 2017 december;90.8;1.2;90.7;1.1;-0.1
263;B-F Nijverheid en energie;2017 april - 2018 maart;91.8;2.9;91.7;2.8;-0.1
264;B-F Nijverheid en energie;2017 juli - 2018 juni;92.6;3.3;92.5;3.2;-0.2
265;B-F Nijverheid en energie;2017 oktober - 2018 september;93.3;3.7;93.1;3.6;-0.1
266;B-F Nijverheid en energie;2018 januari - 2018 december;93.2;2.6;93.0;2.5;-0.1
267;B-F Nijverheid en energie;2018 april - 2019 maart;93.7;2.0;93.5;1.9;-0.1
268;B-F Nijverheid en energie;2018 juli - 2019 juni;94.3;1.7;94.0;1.6;-0.1
269;B-F Nijverheid en energie;2018 oktober - 2019 september;94.4;1.2;94.1;1.1;-0.1
270;B-F Nijverheid en energie;2019 januari - 2019 december;95.3;2.2;95.1;2.2;0.0
271;B-F Nijverheid en energie;2019 april - 2020 maart;96.8;3.3;96.6;3.4;0.1
272;B-F Nijverheid en energie;2019 juli - 2020 juni;96.9;2.8;96.8;3.0;0.2
273;B-F Nijverheid en energie;2019 oktober - 2020 september;99.3;5.3;99.2;5.4;0.1
274;B-F Nijverheid en energie;2020 januari - 2020 december;99.9;4.9;99.8;5.0;0.1
275;B-F Nijverheid en energie;2020 april - 2021 maart;99.5;2.8;99.5;3.0;0.1
276;B-F Nijverheid en energie;2020 juli - 2021 juni;100.2;3.4;100.2;3.5;0.1
277;B-F Nijverheid en energie;2020 oktober - 2021 september;100.1;0.8;100.2;0.9;0.1
278;B-F Nijverheid en energie;2021 januari - 2021 december;100.0;0.1;100.0;0.2;0.1
279;B-F Nijverheid en energie;2021 april - 2022 maart;100.8;1.3;100.8;1.3;0.0
280;B-F Nijverheid en energie;2021 juli - 2022 juni;102.7;2.5;102.7;2.5;0.0
281;B-F Nijverheid en energie;2021 oktober - 2022 september;103.0;2.8;103.0;2.8;0.0
282;B-F Nijverheid en energie;2022 januari - 2022 december;104.8;4.8;104.9;4.9;0.1
283;B-F Nijverheid en energie;2022 april - 2023 maart;105.9;5.1;106.1;5.3;0.2
284;B-F Nijverheid en energie;2022 juli - 2023 juni;107.8;4.9;108.1;5.2;0.3
285;B-F Nijverheid en energie;2022 oktober - 2023 september;109.2;6.1;109.6;6.4;0.3
286;B-F Nijverheid en energie;2023 januari - 2023 december;111.0;5.9;111.4;6.2;0.3
287;B-F Nijverheid en energie;2023 april - 2024 maart;112.8;6.5;113.3;6.7;0.3
288;B-F Nijverheid en energie;2023 juli - 2024 juni;113.8;5.6;114.4;5.8;0.2
289;B-F Nijverheid en energie;2023 oktober - 2024 september;115.2;5.4;115.8;5.7;0.2
290;B-F Nijverheid en energie;2024 januari - 2024 december;116.5;5.0;117.2;5.2;0.2
291;B-E Nijverheid (geen bouw) en energie;2001;67.3;;59.4;;
292;B-E Nijverheid (geen bouw) en energie;2002;70.3;4.3;62.8;5.7;1.3
293;B-E Nijverheid (geen bouw) en energie;2003;72.0;2.5;65.0;3.6;1.1
