ID;Marges;Geslacht;Leeftijd;Perioden;TevredenMetArbeidsomstandigheden_1;TevredenMetWerk_2;LeeftijdWillenDoorwerken_3;LeeftijdInStaatDoorwerken_4;VoldoenAanFysiekeEisenWerk_5;VoldoenAanPsychischeEisenWerk_6
94;Waarde;Vrouwen;45 tot 55 jaar;2023;82.4;83.0;65.8;66.5;83.6;86.1
95;Waarde;Vrouwen;55 tot 65 jaar;2015;80.6;81.0;66.7;67.6;82.4;84.9
96;Waarde;Vrouwen;55 tot 65 jaar;2017;79.9;81.7;66.5;67.4;79.8;82.8
97;Waarde;Vrouwen;55 tot 65 jaar;2019;80.3;81.8;67.2;68.7;82.2;85.5
98;Waarde;Vrouwen;55 tot 65 jaar;2021;78.4;81.1;67.2;68.8;78.9;82.4
99;Waarde;Vrouwen;55 tot 65 jaar;2023;84.0;84.1;67.0;69.0;82.7;86.8
100;Waarde;Vrouwen;65 jaar of ouder;2015;;;;;;
101;Waarde;Vrouwen;65 jaar of ouder;2017;80.2;81.6;;;76.2;82.3
102;Waarde;Vrouwen;65 jaar of ouder;2019;84.5;83.8;;;80.8;83.8
103;Waarde;Vrouwen;65 jaar of ouder;2021;76.2;79.8;72.4;72.8;74.2;76.6
104;Waarde;Vrouwen;65 jaar of ouder;2023;83.4;83.7;73.9;74.0;78.1;85.8
105;Ondergrens 95%-interval;Totaal mannen en vrouwen;Totaal;2015;77.2;80.2;65.8;66.4;81.9;84.0
106;Ondergrens 95%-interval;Totaal mannen en vrouwen;Totaal;2017;77.1;80.0;65.8;66.2;81.0;83.7
107;Ondergrens 95%-interval;Totaal mannen en vrouwen;Totaal;2019;77.8;79.9;65.9;66.8;83.9;86.0
108;Ondergrens 95%-interval;Totaal mannen en vrouwen;Totaal;2021;76.9;80.1;65.7;67.0;78.7;80.2
109;Ondergrens 95%-interval;Totaal mannen en vrouwen;Totaal;2023;78.9;81.1;65.3;66.4;83.0;84.9
110;Ondergrens 95%-interval;Totaal mannen en vrouwen;15 tot 25 jaar;2015;;;;;;
111;Ondergrens 95%-interval;Totaal mannen en vrouwen;15 tot 25 jaar;2017;;;;;;
112;Ondergrens 95%-interval;Totaal mannen en vrouwen;15 tot 25 jaar;2019;;;;;;
113;Ondergrens 95%-interval;Totaal mannen en vrouwen;15 tot 25 jaar;2021;65.8;71.1;;;72.5;74.3
114;Ondergrens 95%-interval;Totaal mannen en vrouwen;15 tot 25 jaar;2023;65.3;68.4;;;81.4;79.4
115;Ondergrens 95%-interval;Totaal mannen en vrouwen;25 tot 35 jaar;2015;74.2;83.9;61.9;62.0;85.4;84.8
116;Ondergrens 95%-interval;Totaal mannen en vrouwen;25 tot 35 jaar;2017;72.0;75.4;62.3;62.2;82.0;82.7
117;Ondergrens 95%-interval;Totaal mannen en vrouwen;25 tot 35 jaar;2019;73.5;76.4;62.4;62.9;85.6;82.3
118;Ondergrens 95%-interval;Totaal mannen en vrouwen;25 tot 35 jaar;2021;70.0;74.7;61.4;62.6;82.5;79.9
119;Ondergrens 95%-interval;Totaal mannen en vrouwen;25 tot 35 jaar;2023;73.0;76.1;59.9;61.1;83.6;80.3
120;Ondergrens 95%-interval;Totaal mannen en vrouwen;35 tot 45 jaar;2015;77.8;79.9;63.7;64.7;82.8;83.9
121;Ondergrens 95%-interval;Totaal mannen en vrouwen;35 tot 45 jaar;2017;74.1;76.7;63.7;64.3;83.0;83.5
122;Ondergrens 95%-interval;Totaal mannen en vrouwen;35 tot 45 jaar;2019;74.6;78.2;63.4;64.8;84.9;86.0
123;Ondergrens 95%-interval;Totaal mannen en vrouwen;35 tot 45 jaar;2021;74.7;78.3;63.4;64.9;81.9;82.2
124;Ondergrens 95%-interval;Totaal mannen en vrouwen;35 tot 45 jaar;2023;75.7;78.8;62.6;64.1;84.0;84.8
125;Ondergrens 95%-interval;Totaal mannen en vrouwen;45 tot 55 jaar;2015;72.5;74.4;65.7;66.4;80.5;82.5
126;Ondergrens 95%-interval;Totaal mannen en vrouwen;45 tot 55 jaar;2017;77.3;81.3;65.3;65.8;81.4;84.5
127;Ondergrens 95%-interval;Totaal mannen en vrouwen;45 tot 55 jaar;2019;75.8;77.1;64.9;66.2;82.7;85.3
128;Ondergrens 95%-interval;Totaal mannen en vrouwen;45 tot 55 jaar;2021;75.7;78.4;65.2;66.4;77.5;79.6
129;Ondergrens 95%-interval;Totaal mannen en vrouwen;45 tot 55 jaar;2023;79.3;80.3;65.4;66.4;82.3;84.9
130;Ondergrens 95%-interval;Totaal mannen en vrouwen;55 tot 65 jaar;2015;76.5;78.7;66.7;67.9;78.0;82.3
131;Ondergrens 95%-interval;Totaal mannen en vrouwen;55 tot 65 jaar;2017;76.4;78.8;66.7;67.5;75.1;80.3
132;Ondergrens 95%-interval;Totaal mannen en vrouwen;55 tot 65 jaar;2019;77.9;79.8;66.8;68.2;79.1;84.3
133;Ondergrens 95%-interval;Totaal mannen en vrouwen;55 tot 65 jaar;2021;79.0;81.0;67.0;68.7;75.1;78.6
134;Ondergrens 95%-interval;Totaal mannen en vrouwen;55 tot 65 jaar;2023;79.7;81.5;67.1;68.7;79.9;85.5
135;Ondergrens 95%-interval;Totaal mannen en vrouwen;65 jaar of ouder;2015;79.9;81.2;73.0;74.5;71.9;76.5
136;Ondergrens 95%-interval;Totaal mannen en vrouwen;65 jaar of ouder;2017;79.5;81.3;72.9;74.1;72.8;77.4
137;Ondergrens 95%-interval;Totaal mannen en vrouwen;65 jaar of ouder;2019;81.1;81.3;73.5;74.0;78.9;83.8
138;Ondergrens 95%-interval;Totaal mannen en vrouwen;65 jaar of ouder;2021;79.2;83.0;73.1;74.0;65.6;70.5
139;Ondergrens 95%-interval;Totaal mannen en vrouwen;65 jaar of ouder;2023;80.9;83.6;73.6;74.7;75.5;79.9
140;Ondergrens 95%-interval;Mannen;Totaal;2015;76.4;80.3;65.7;66.2;80.7;83.0
141;Ondergrens 95%-interval;Mannen;Totaal;2017;77.3;80.7;65.8;66.2;79.7;82.8
142;Ondergrens 95%-interval;Mannen;Totaal;2019;77.8;80.1;66.0;66.9;82.9;85.6
143;Ondergrens 95%-interval;Mannen;Totaal;2021;78.1;81.2;65.8;67.0;77.5;79.3
144;Ondergrens 95%-interval;Mannen;Totaal;2023;78.3;80.6;65.4;66.7;82.8;84.5
145;Ondergrens 95%-interval;Mannen;15 tot 25 jaar;2015;;;;;;
146;Ondergrens 95%-interval;Mannen;15 tot 25 jaar;2017;;;;;;
147;Ondergrens 95%-interval;Mannen;15 tot 25 jaar;2019;;;;;;
148;Ondergrens 95%-interval;Mannen;15 tot 25 jaar;2021;65.9;70.5;;;70.5;73.0
149;Ondergrens 95%-interval;Mannen;15 tot 25 jaar;2023;63.4;66.7;;;79.3;75.9
150;Ondergrens 95%-interval;Mannen;25 tot 35 jaar;2015;69.9;82.0;61.1;61.2;83.6;83.7
151;Ondergrens 95%-interval;Mannen;25 tot 35 jaar;2017;73.4;76.1;61.9;62.5;80.3;81.8
152;Ondergrens 95%-interval;Mannen;25 tot 35 jaar;2019;73.6;76.8;61.9;62.6;83.7;83.0
153;Ondergrens 95%-interval;Mannen;25 tot 35 jaar;2021;71.0;74.6;60.8;61.8;82.0;79.4
154;Ondergrens 95%-interval;Mannen;25 tot 35 jaar;2023;72.9;75.2;59.8;61.5;83.8;79.2
155;Ondergrens 95%-interval;Mannen;35 tot 45 jaar;2015;75.5;78.8;63.5;64.0;81.8;82.7
156;Ondergrens 95%-interval;Mannen;35 tot 45 jaar;2017;74.2;77.4;63.5;63.8;81.0;81.9
157;Ondergrens 95%-interval;Mannen;35 tot 45 jaar;2019;73.8;77.7;63.4;65.0;83.5;84.4
158;Ondergrens 95%-interval;Mannen;35 tot 45 jaar;2021;74.4;78.5;63.2;64.8;81.2;81.4
159;Ondergrens 95%-interval;Mannen;35 tot 45 jaar;2023;74.9;76.8;62.3;63.8;83.3;83.9
160;Ondergrens 95%-interval;Mannen;45 tot 55 jaar;2015;72.5;75.1;65.4;66.1;78.2;80.0
161;Ondergrens 95%-interval;Mannen;45 tot 55 jaar;2017;76.5;81.9;65.3;65.7;79.6;82.9
162;Ondergrens 95%-interval;Mannen;45 tot 55 jaar;2019;75.3;76.8;65.1;66.2;80.9;83.2
163;Ondergrens 95%-interval;Mannen;45 tot 55 jaar;2021;76.6;79.6;65.4;66.5;76.0;78.5
164;Ondergrens 95%-interval;Mannen;45 tot 55 jaar;2023;77.8;79.2;65.3;66.5;82.1;84.8
165;Ondergrens 95%-interval;Mannen;55 tot 65 jaar;2015;74.9;78.1;66.9;68.2;76.2;81.6
166;Ondergrens 95%-interval;Mannen;55 tot 65 jaar;2017;75.1;77.8;66.8;67.7;73.1;79.6
167;Ondergrens 95%-interval;Mannen;55 tot 65 jaar;2019;77.2;79.2;66.7;68.0;77.9;84.1
168;Ondergrens 95%-interval;Mannen;55 tot 65 jaar;2021;80.1;81.5;67.0;68.8;73.4;76.7
169;Ondergrens 95%-interval;Mannen;55 tot 65 jaar;2023;77.6;80.4;67.2;68.6;78.7;85.2
170;Ondergrens 95%-interval;Mannen;65 jaar of ouder;2015;79.6;81.3;72.9;74.3;71.7;76.3
171;Ondergrens 95%-interval;Mannen;65 jaar of ouder;2017;80.0;82.1;73.1;74.3;72.3;76.3
172;Ondergrens 95%-interval;Mannen;65 jaar of ouder;2019;80.5;81.0;73.3;74.0;78.9;84.6
173;Ondergrens 95%-interval;Mannen;65 jaar of ouder;2021;81.0;84.9;73.4;74.4;63.0;68.7
174;Ondergrens 95%-interval;Mannen;65 jaar of ouder;2023;80.5;84.0;73.7;75.0;75.1;78.2
175;Ondergrens 95%-interval;Vrouwen;Totaal;2015;77.4;78.7;65.6;66.4;82.8;84.5
176;Ondergrens 95%-interval;Vrouwen;Totaal;2017;75.5;77.5;65.3;65.8;82.1;84.0
177;Ondergrens 95%-interval;Vrouwen;Totaal;2019;76.4;78.2;65.2;66.2;84.4;85.6
178;Ondergrens 95%-interval;Vrouwen;Totaal;2021;73.8;77.1;65.2;66.5;79.5;80.7
179;Ondergrens 95%-interval;Vrouwen;Totaal;2023;78.8;80.9;64.9;65.7;82.2;84.7
180;Ondergrens 95%-interval;Vrouwen;15 tot 25 jaar;2015;;;;;;
181;Ondergrens 95%-interval;Vrouwen;15 tot 25 jaar;2017;;;;;;
182;Ondergrens 95%-interval;Vrouwen;15 tot 25 jaar;2019;;;;;;
183;Ondergrens 95%-interval;Vrouwen;15 tot 25 jaar;2021;;;;;;
184;Ondergrens 95%-interval;Vrouwen;15 tot 25 jaar;2023;;;;;;
185;Ondergrens 95%-interval;Vrouwen;25 tot 35 jaar;2015;76.7;82.7;;62.5;84.1;82.2
186;Ondergrens 95%-interval;Vrouwen;25 tot 35 jaar;2017;65.1;70.0;62.3;60.6;81.2;80.4
187;Ondergrens 95%-interval;Vrouwen;25 tot 35 jaar;2019;68.5;71.1;61.9;62.2;85.1;76.7
188;Ondergrens 95%-interval;Vrouwen;25 tot 35 jaar;2021;64.2;71.1;61.6;63.1;80.2;77.6
189;Ondergrens 95%-interval;Vrouwen;25 tot 35 jaar;2023;68.9;73.6;58.7;59.0;79.7;78.3
190;Ondergrens 95%-interval;Vrouwen;35 tot 45 jaar;2015;78.6;78.9;63.3;65.3;81.5;83.3
191;Ondergrens 95%-interval;Vrouwen;35 tot 45 jaar;2017;70.6;72.1;63.5;64.7;83.7;83.6
192;Ondergrens 95%-interval;Vrouwen;35 tot 45 jaar;2019;72.6;75.9;62.6;63.6;84.5;86.0
193;Ondergrens 95%-interval;Vrouwen;35 tot 45 jaar;2021;72.6;75.4;63.1;64.5;80.7;81.1
194;Ondergrens 95%-interval;Vrouwen;35 tot 45 jaar;2023;73.9;79.1;62.6;63.8;82.5;83.7
195;Ondergrens 95%-interval;Vrouwen;45 tot 55 jaar;2015;69.8;70.8;65.6;66.4;81.9;84.3
196;Ondergrens 95%-interval;Vrouwen;45 tot 55 jaar;2017;76.4;78.3;64.8;65.5;82.3;85.2
197;Ondergrens 95%-interval;Vrouwen;45 tot 55 jaar;2019;74.4;75.2;64.1;65.6;83.4;86.6
198;Ondergrens 95%-interval;Vrouwen;45 tot 55 jaar;2021;72.4;74.6;64.3;65.9;77.8;79.3
199;Ondergrens 95%-interval;Vrouwen;45 tot 55 jaar;2023;79.4;79.8;65.1;65.8;80.5;83.2
200;Ondergrens 95%-interval;Vrouwen;55 tot 65 jaar;2015;76.3;76.7;65.8;66.6;78.1;80.8
201;Ondergrens 95%-interval;Vrouwen;55 tot 65 jaar;2017;76.2;78.1;66.0;66.7;76.0;79.2
202;Ondergrens 95%-interval;Vrouwen;55 tot 65 jaar;2019;76.7;78.3;66.6;67.9;78.7;82.3
203;Ondergrens 95%-interval;Vrouwen;55 tot 65 jaar;2021;75.3;78.2;66.6;68.1;75.8;79.5
204;Ondergrens 95%-interval;Vrouwen;55 tot 65 jaar;2023;81.0;81.1;66.5;68.4;79.7;84.1
205;Ondergrens 95%-interval;Vrouwen;65 jaar of ouder;2015;;;;;;
206;Ondergrens 95%-interval;Vrouwen;65 jaar of ouder;2017;72.4;73.9;;;68.4;75.0
207;Ondergrens 95%-interval;Vrouwen;65 jaar of ouder;2019;77.6;76.9;;;73.5;76.8
208;Ondergrens 95%-interval;Vrouwen;65 jaar of ouder;2021;70.5;74.1;71.2;71.8;68.3;70.7
209;Ondergrens 95%-interval;Vrouwen;65 jaar of ouder;2023;78.1;78.4;72.4;72.8;72.3;80.7
210;Bovengrens 95%-interval;Totaal mannen en vrouwen;Totaal;2015;79.8;82.6;66.5;67.2;84.2;86.2
211;Bovengrens 95%-interval;Totaal mannen en vrouwen;Totaal;2017;79.4;82.2;66.3;66.7;83.1;85.6
212;Bovengrens 95%-interval;Totaal mannen en vrouwen;Totaal;2019;80.1;82.1;66.5;67.4;85.9;87.9
213;Bovengrens 95%-interval;Totaal mannen en vrouwen;Totaal;2021;79.0;82.0;66.3;67.5;80.6;82.0
214;Bovengrens 95%-interval;Totaal mannen en vrouwen;Totaal;2023;81.1;83.2;65.9;67.1;84.9;86.8
215;Bovengrens 95%-interval;Totaal mannen en vrouwen;15 tot 25 jaar;2015;;;;;;
216;Bovengrens 95%-interval;Totaal mannen en vrouwen;15 tot 25 jaar;2017;;;;;;
217;Bovengrens 95%-interval;Totaal mannen en vrouwen;15 tot 25 jaar;2019;;;;;;
218;Bovengrens 95%-interval;Totaal mannen en vrouwen;15 tot 25 jaar;2021;81.6;85.9;;;86.5;88.0
219;Bovengrens 95%-interval;Totaal mannen en vrouwen;15 tot 25 jaar;2023;80.1;82.9;;;92.5;90.8
220;Bovengrens 95%-interval;Totaal mannen en vrouwen;25 tot 35 jaar;2015;82.4;90.5;64.1;64.5;91.6;91.2
221;Bovengrens 95%-interval;Totaal mannen en vrouwen;25 tot 35 jaar;2017;79.4;82.4;64.4;64.1;88.1;88.6
222;Bovengrens 95%-interval;Totaal mannen en vrouwen;25 tot 35 jaar;2019;80.9;83.4;64.9;65.3;91.2;88.4
223;Bovengrens 95%-interval;Totaal mannen en vrouwen;25 tot 35 jaar;2021;76.3;80.6;63.3;64.6;87.6;85.2
224;Bovengrens 95%-interval;Totaal mannen en vrouwen;25 tot 35 jaar;2023;79.9;82.6;61.9;63.2;89.1;86.3
225;Bovengrens 95%-interval;Totaal mannen en vrouwen;35 tot 45 jaar;2015;83.0;85.0;65.1;66.3;87.4;88.4
226;Bovengrens 95%-interval;Totaal mannen en vrouwen;35 tot 45 jaar;2017;79.4;81.8;65.0;65.6;87.5;88.0
227;Bovengrens 95%-interval;Totaal mannen en vrouwen;35 tot 45 jaar;2019;80.3;83.6;64.8;66.3;89.4;90.4
228;Bovengrens 95%-interval;Totaal mannen en vrouwen;35 tot 45 jaar;2021;79.4;82.7;64.8;66.2;86.0;86.2
229;Bovengrens 95%-interval;Totaal mannen en vrouwen;35 tot 45 jaar;2023;80.9;83.8;64.0;65.5;88.4;89.0
230;Bovengrens 95%-interval;Totaal mannen en vrouwen;45 tot 55 jaar;2015;77.0;78.9;66.8;67.6;84.5;86.2
231;Bovengrens 95%-interval;Totaal mannen en vrouwen;45 tot 55 jaar;2017;81.1;84.8;66.0;66.6;84.9;87.7
232;Bovengrens 95%-interval;Totaal mannen en vrouwen;45 tot 55 jaar;2019;80.1;81.2;65.8;67.1;86.4;88.7
233;Bovengrens 95%-interval;Totaal mannen en vrouwen;45 tot 55 jaar;2021;79.4;81.9;66.1;67.3;81.1;83.0
234;Bovengrens 95%-interval;Totaal mannen en vrouwen;45 tot 55 jaar;2023;83.3;84.3;66.3;67.4;86.1;88.4
235;Bovengrens 95%-interval;Totaal mannen en vrouwen;55 tot 65 jaar;2015;81.2;83.3;67.6;68.9;82.7;86.6
236;Bovengrens 95%-interval;Totaal mannen en vrouwen;55 tot 65 jaar;2017;80.6;82.8;67.3;68.3;79.3;84.2
237;Bovengrens 95%-interval;Totaal mannen en vrouwen;55 tot 65 jaar;2019;82.1;83.8;67.6;68.9;83.2;87.9
238;Bovengrens 95%-interval;Totaal mannen en vrouwen;55 tot 65 jaar;2021;82.5;84.3;67.7;69.5;78.9;82.1
239;Bovengrens 95%-interval;Totaal mannen en vrouwen;55 tot 65 jaar;2023;83.4;85.0;67.7;69.5;83.6;88.6
240;Bovengrens 95%-interval;Totaal mannen en vrouwen;65 jaar of ouder;2015;87.2;88.4;74.9;76.4;80.4;84.3
241;Bovengrens 95%-interval;Totaal mannen en vrouwen;65 jaar of ouder;2017;85.7;87.3;74.2;75.5;79.7;83.9
242;Bovengrens 95%-interval;Totaal mannen en vrouwen;65 jaar of ouder;2019;87.0;87.2;75.1;75.6;85.2;89.4
243;Bovengrens 95%-interval;Totaal mannen en vrouwen;65 jaar of ouder;2021;84.3;87.7;74.5;75.2;71.8;76.3
244;Bovengrens 95%-interval;Totaal mannen en vrouwen;65 jaar of ouder;2023;85.9;88.2;74.8;75.9;81.1;85.1
245;Bovengrens 95%-interval;Mannen;Totaal;2015;79.6;83.2;66.5;67.2;83.6;85.8
