ID;LeeftijdReferentiepersoon;BurgerlijkeStaatReferentiepersoon;Perioden;TotaalParticuliereHuishoudens_1;Eenpersoonshuishouden_2;TotaalMeerpersoonshuishoudens_3;Paar_4;Eenouderhuishouden_5;OverigHuishouden_6
25;Totaal leeftijd;Totaal burgerlijke staat;2038;8511159;3618326;4892833;4313396;533339;46098
26;Totaal leeftijd;Totaal burgerlijke staat;2039;8521896;3635359;4886537;4306293;534027;46217
27;Totaal leeftijd;Totaal burgerlijke staat;2040;8531786;3651283;4880503;4299337;534799;46367
28;Totaal leeftijd;Totaal burgerlijke staat;2041;8541046;3666375;4874671;4292617;535518;46536
29;Totaal leeftijd;Totaal burgerlijke staat;2042;8549823;3680718;4869105;4286204;536179;46722
30;Totaal leeftijd;Totaal burgerlijke staat;2043;8558139;3694335;4863804;4280151;536740;46913
31;Totaal leeftijd;Totaal burgerlijke staat;2044;8566158;3707371;4858787;4274459;537213;47115
32;Totaal leeftijd;Totaal burgerlijke staat;2045;8573829;3719752;4854077;4269190;537556;47331
33;Totaal leeftijd;Totaal burgerlijke staat;2046;8581191;3731474;4849717;4264424;537749;47544
34;Totaal leeftijd;Totaal burgerlijke staat;2047;8588136;3742488;4845648;4260127;537777;47744
35;Totaal leeftijd;Totaal burgerlijke staat;2048;8594694;3752716;4841978;4256354;537659;47965
36;Totaal leeftijd;Totaal burgerlijke staat;2049;8600709;3762060;4838649;4253088;537407;48154
37;Totaal leeftijd;Totaal burgerlijke staat;2050;8606153;3770405;4835748;4250379;537036;48333
38;Totaal leeftijd;Totaal burgerlijke staat;2051;8610979;3777676;4833303;4248241;536561;48501
39;Totaal leeftijd;Totaal burgerlijke staat;2052;8615088;3783758;4831330;4246705;535974;48651
40;Totaal leeftijd;Totaal burgerlijke staat;2053;8618503;3788604;4829899;4245786;535325;48788
41;Totaal leeftijd;Totaal burgerlijke staat;2054;8621234;3792266;4828968;4245501;534581;48886
42;Totaal leeftijd;Totaal burgerlijke staat;2055;8623409;3794776;4828633;4245861;533795;48977
43;Totaal leeftijd;Totaal burgerlijke staat;2056;8625075;3796205;4828870;4246864;532948;49058
44;Totaal leeftijd;Totaal burgerlijke staat;2057;8626352;3796640;4829712;4248512;532089;49111
45;Totaal leeftijd;Totaal burgerlijke staat;2058;8627332;3796218;4831114;4250798;531170;49146
46;Totaal leeftijd;Totaal burgerlijke staat;2059;8628237;3795115;4833122;4253694;530263;49165
47;Totaal leeftijd;Totaal burgerlijke staat;2060;8629269;3793515;4835754;4257195;529398;49161
48;Totaal leeftijd;Ongehuwd;2013;2407630;1522438;885192;699088;149107;36997
49;Totaal leeftijd;Ongehuwd;2014;2461597;1551248;910349;718653;155275;36421
50;Totaal leeftijd;Ongehuwd;2015;2515459;1574875;940584;743481;160727;36376
51;Totaal leeftijd;Ongehuwd;2016;2570305;1595344;974961;772699;165567;36695
52;Totaal leeftijd;Ongehuwd;2017;2623638;1617032;1006606;799310;170315;36981
53;Totaal leeftijd;Ongehuwd;2018;2675810;1639695;1036115;823894;174915;37306
54;Totaal leeftijd;Ongehuwd;2019;2726088;1663152;1062936;845817;179472;37647
55;Totaal leeftijd;Ongehuwd;2020;2774141;1686565;1087576;865681;183903;37992
56;Totaal leeftijd;Ongehuwd;2021;2820016;1709585;1110431;883922;188192;38317
57;Totaal leeftijd;Ongehuwd;2022;2864084;1732236;1131848;900936;192268;38644
58;Totaal leeftijd;Ongehuwd;2023;2906225;1754259;1151966;916848;196166;38952
59;Totaal leeftijd;Ongehuwd;2024;2946827;1775888;1170939;931782;199850;39307
60;Totaal leeftijd;Ongehuwd;2025;2985764;1797126;1188638;945718;203320;39600
61;Totaal leeftijd;Ongehuwd;2026;3023094;1817992;1205102;958645;206570;39887
62;Totaal leeftijd;Ongehuwd;2027;3059129;1838841;1220288;970563;209584;40141
63;Totaal leeftijd;Ongehuwd;2028;3093960;1859725;1234235;981487;212373;40375
64;Totaal leeftijd;Ongehuwd;2029;3127635;1880567;1247068;991468;214970;40630
65;Totaal leeftijd;Ongehuwd;2030;3159914;1901082;1258832;1000640;217357;40835
66;Totaal leeftijd;Ongehuwd;2031;3190753;1921016;1269737;1009120;219594;41023
67;Totaal leeftijd;Ongehuwd;2032;3220422;1940566;1279856;1017040;221628;41188
68;Totaal leeftijd;Ongehuwd;2033;3249243;1959959;1289284;1024467;223501;41316
69;Totaal leeftijd;Ongehuwd;2034;3277616;1979450;1298166;1031457;225238;41471
70;Totaal leeftijd;Ongehuwd;2035;3305685;1999178;1306507;1038064;226813;41630
71;Totaal leeftijd;Ongehuwd;2036;3333647;2019159;1314488;1044376;228314;41798
72;Totaal leeftijd;Ongehuwd;2037;3361506;2039438;1322068;1050484;229642;41942
73;Totaal leeftijd;Ongehuwd;2038;3389336;2059925;1329411;1056422;230896;42093
74;Totaal leeftijd;Ongehuwd;2039;3417220;2080583;1336637;1062325;232051;42261
75;Totaal leeftijd;Ongehuwd;2040;3445154;2101378;1343776;1068188;233125;42463
76;Totaal leeftijd;Ongehuwd;2041;3473202;2122356;1350846;1074099;234073;42674
77;Totaal leeftijd;Ongehuwd;2042;3501298;2143483;1357815;1079986;234922;42907
78;Totaal leeftijd;Ongehuwd;2043;3529343;2164680;1364663;1085860;235658;43145
79;Totaal leeftijd;Ongehuwd;2044;3557267;2185868;1371399;1091692;236317;43390
80;Totaal leeftijd;Ongehuwd;2045;3584865;2206927;1377938;1097423;236873;43642
81;Totaal leeftijd;Ongehuwd;2046;3612062;2227770;1384292;1103075;237331;43886
82;Totaal leeftijd;Ongehuwd;2047;3638714;2248267;1390447;1108628;237693;44126
83;Totaal leeftijd;Ongehuwd;2048;3664726;2268299;1396427;1114078;237983;44366
84;Totaal leeftijd;Ongehuwd;2049;3689954;2287781;1402173;1119382;238204;44587
85;Totaal leeftijd;Ongehuwd;2050;3714327;2306628;1407699;1124537;238369;44793
86;Totaal leeftijd;Ongehuwd;2051;3737720;2324751;1412969;1129502;238488;44979
87;Totaal leeftijd;Ongehuwd;2052;3760064;2342077;1417987;1134266;238571;45150
88;Totaal leeftijd;Ongehuwd;2053;3781245;2358494;1422751;1138814;238630;45307
89;Totaal leeftijd;Ongehuwd;2054;3801198;2374002;1427196;1143105;238657;45434
90;Totaal leeftijd;Ongehuwd;2055;3819861;2388549;1431312;1147109;238660;45543
91;Totaal leeftijd;Ongehuwd;2056;3837316;2402162;1435154;1150863;238655;45636
92;Totaal leeftijd;Ongehuwd;2057;3853439;2414830;1438609;1154259;238637;45713
93;Totaal leeftijd;Ongehuwd;2058;3868294;2426590;1441704;1157347;238591;45766
94;Totaal leeftijd;Ongehuwd;2059;3881930;2437493;1444437;1160082;238551;45804
95;Totaal leeftijd;Ongehuwd;2060;3894354;2447589;1446765;1162454;238492;45819
96;Totaal leeftijd;Wettig gehuwd plus partnerschap;2013;3434789;81747;3353042;3315115;36774;1153
97;Totaal leeftijd;Wettig gehuwd plus partnerschap;2014;3417908;80141;3337767;3300332;36343;1092
98;Totaal leeftijd;Wettig gehuwd plus partnerschap;2015;3402314;78418;3323896;3287517;35322;1057
99;Totaal leeftijd;Wettig gehuwd plus partnerschap;2016;3388203;76725;3311478;3276379;34069;1030
100;Totaal leeftijd;Wettig gehuwd plus partnerschap;2017;3376560;75655;3300905;3266735;33151;1019
101;Totaal leeftijd;Wettig gehuwd plus partnerschap;2018;3367090;75052;3292038;3258595;32436;1007
102;Totaal leeftijd;Wettig gehuwd plus partnerschap;2019;3358957;74781;3284176;3251249;31935;992
103;Totaal leeftijd;Wettig gehuwd plus partnerschap;2020;3351825;74711;3277114;3244559;31566;989
104;Totaal leeftijd;Wettig gehuwd plus partnerschap;2021;3345255;74772;3270483;3238235;31266;982
105;Totaal leeftijd;Wettig gehuwd plus partnerschap;2022;3338946;74913;3264033;3232040;31011;982
106;Totaal leeftijd;Wettig gehuwd plus partnerschap;2023;3332703;75107;3257596;3225821;30798;977
107;Totaal leeftijd;Wettig gehuwd plus partnerschap;2024;3326387;75344;3251043;3219456;30611;976
108;Totaal leeftijd;Wettig gehuwd plus partnerschap;2025;3319814;75597;3244217;3212814;30430;973
109;Totaal leeftijd;Wettig gehuwd plus partnerschap;2026;3312882;75876;3237006;3205773;30267;966
110;Totaal leeftijd;Wettig gehuwd plus partnerschap;2027;3305492;76159;3229333;3198255;30109;969
111;Totaal leeftijd;Wettig gehuwd plus partnerschap;2028;3297558;76424;3221134;3190203;29961;970
112;Totaal leeftijd;Wettig gehuwd plus partnerschap;2029;3289075;76670;3212405;3181610;29831;964
113;Totaal leeftijd;Wettig gehuwd plus partnerschap;2030;3279967;76882;3203085;3172424;29700;961
114;Totaal leeftijd;Wettig gehuwd plus partnerschap;2031;3270247;77034;3193213;3162658;29604;951
115;Totaal leeftijd;Wettig gehuwd plus partnerschap;2032;3259897;77135;3182762;3152307;29509;946
116;Totaal leeftijd;Wettig gehuwd plus partnerschap;2033;3248986;77198;3171788;3141418;29427;943
117;Totaal leeftijd;Wettig gehuwd plus partnerschap;2034;3237589;77234;3160355;3130062;29352;941
118;Totaal leeftijd;Wettig gehuwd plus partnerschap;2035;3225819;77244;3148575;3118340;29300;935
119;Totaal leeftijd;Wettig gehuwd plus partnerschap;2036;3213754;77241;3136513;3106313;29273;927
120;Totaal leeftijd;Wettig gehuwd plus partnerschap;2037;3201507;77227;3124280;3094107;29252;921
121;Totaal leeftijd;Wettig gehuwd plus partnerschap;2038;3189213;77200;3112013;3081852;29244;917
122;Totaal leeftijd;Wettig gehuwd plus partnerschap;2039;3176960;77184;3099776;3069611;29257;908
123;Totaal leeftijd;Wettig gehuwd plus partnerschap;2040;3164874;77146;3087728;3057548;29276;904
124;Totaal leeftijd;Wettig gehuwd plus partnerschap;2041;3153005;77136;3075869;3045672;29294;903
125;Totaal leeftijd;Wettig gehuwd plus partnerschap;2042;3141475;77140;3064335;3034123;29310;902
126;Totaal leeftijd;Wettig gehuwd plus partnerschap;2043;3130308;77136;3053172;3022944;29331;897
127;Totaal leeftijd;Wettig gehuwd plus partnerschap;2044;3119552;77142;3042410;3012170;29347;893
128;Totaal leeftijd;Wettig gehuwd plus partnerschap;2045;3109354;77163;3032191;3001933;29366;892
129;Totaal leeftijd;Wettig gehuwd plus partnerschap;2046;3099740;77191;3022549;2992270;29386;893
130;Totaal leeftijd;Wettig gehuwd plus partnerschap;2047;3090655;77195;3013460;2983168;29403;889
131;Totaal leeftijd;Wettig gehuwd plus partnerschap;2048;3082161;77190;3004971;2974672;29406;893
132;Totaal leeftijd;Wettig gehuwd plus partnerschap;2049;3074284;77164;2997120;2966811;29416;893
133;Totaal leeftijd;Wettig gehuwd plus partnerschap;2050;3067046;77111;2989935;2959630;29416;889
134;Totaal leeftijd;Wettig gehuwd plus partnerschap;2051;3060526;77042;2983484;2953173;29419;892
135;Totaal leeftijd;Wettig gehuwd plus partnerschap;2052;3054724;76943;2977781;2947476;29410;895
136;Totaal leeftijd;Wettig gehuwd plus partnerschap;2053;3049705;76821;2972884;2942576;29414;894
137;Totaal leeftijd;Wettig gehuwd plus partnerschap;2054;3045502;76686;2968816;2938516;29408;892
138;Totaal leeftijd;Wettig gehuwd plus partnerschap;2055;3042174;76545;2965629;2935327;29411;891
139;Totaal leeftijd;Wettig gehuwd plus partnerschap;2056;3039705;76395;2963310;2933016;29403;891
140;Totaal leeftijd;Wettig gehuwd plus partnerschap;2057;3038160;76247;2961913;2931624;29396;893
141;Totaal leeftijd;Wettig gehuwd plus partnerschap;2058;3037548;76119;2961429;2931146;29390;893
142;Totaal leeftijd;Wettig gehuwd plus partnerschap;2059;3037835;75993;2961842;2931566;29385;891
143;Totaal leeftijd;Wettig gehuwd plus partnerschap;2060;3039079;75915;2963164;2932891;29384;889
144;Totaal leeftijd;Verweduwd;2013;742546;648589;93957;17432;75883;642
145;Totaal leeftijd;Verweduwd;2014;744883;652333;92550;17544;74362;644
146;Totaal leeftijd;Verweduwd;2015;747201;656129;91072;17697;72721;654
147;Totaal leeftijd;Verweduwd;2016;749531;660016;89515;17877;70983;655
148;Totaal leeftijd;Verweduwd;2017;752177;664122;88055;18004;69391;660
149;Totaal leeftijd;Verweduwd;2018;755080;668457;86623;18075;67892;656
150;Totaal leeftijd;Verweduwd;2019;758336;673045;85291;18126;66500;665
151;Totaal leeftijd;Verweduwd;2020;761912;677888;84024;18171;65193;660
152;Totaal leeftijd;Verweduwd;2021;765747;682902;82845;18197;63992;656
153;Totaal leeftijd;Verweduwd;2022;769828;688165;81663;18212;62790;661
154;Totaal leeftijd;Verweduwd;2023;774070;693516;80554;18217;61677;660
155;Totaal leeftijd;Verweduwd;2024;778417;698942;79475;18204;60610;661
156;Totaal leeftijd;Verweduwd;2025;782775;704328;78447;18177;59618;652
157;Totaal leeftijd;Verweduwd;2026;787067;709624;77443;18132;58650;661
158;Totaal leeftijd;Verweduwd;2027;791122;714706;76416;18055;57708;653
159;Totaal leeftijd;Verweduwd;2028;794930;719495;75435;17967;56811;657
160;Totaal leeftijd;Verweduwd;2029;798304;723866;74438;17850;55939;649
161;Totaal leeftijd;Verweduwd;2030;801216;727747;73469;17727;55097;645
162;Totaal leeftijd;Verweduwd;2031;803517;731000;72517;17576;54295;646
163;Totaal leeftijd;Verweduwd;2032;805114;733606;71508;17396;53475;637
164;Totaal leeftijd;Verweduwd;2033;805980;735447;70533;17212;52686;635
165;Totaal leeftijd;Verweduwd;2034;806031;736468;69563;17005;51936;622
166;Totaal leeftijd;Verweduwd;2035;805208;736590;68618;16779;51226;613
167;Totaal leeftijd;Verweduwd;2036;803532;735783;67749;16527;50616;606
168;Totaal leeftijd;Verweduwd;2037;800997;734162;66835;16271;49974;590
169;Totaal leeftijd;Verweduwd;2038;797623;731663;65960;16005;49382;573
170;Totaal leeftijd;Verweduwd;2039;793482;728385;65097;15725;48817;555
171;Totaal leeftijd;Verweduwd;2040;788619;724356;64263;15438;48287;538
172;Totaal leeftijd;Verweduwd;2041;783084;719643;63441;15144;47778;519
173;Totaal leeftijd;Verweduwd;2042;776963;714339;62624;14846;47282;496
174;Totaal leeftijd;Verweduwd;2043;770359;708529;61830;14552;46800;478
175;Totaal leeftijd;Verweduwd;2044;763435;702385;61050;14256;46339;455
176;Totaal leeftijd;Verweduwd;2045;756147;695879;60268;13956;45875;437
177;Totaal leeftijd;Verweduwd;2046;748562;689070;59492;13661;45412;419
178;Totaal leeftijd;Verweduwd;2047;740787;682072;58715;13357;44957;401
179;Totaal leeftijd;Verweduwd;2048;732816;674863;57953;13063;44505;385
180;Totaal leeftijd;Verweduwd;2049;724615;667426;57189;12768;44053;368
181;Totaal leeftijd;Verweduwd;2050;716154;659718;56436;12478;43601;357
182;Totaal leeftijd;Verweduwd;2051;707373;651696;55677;12182;43153;342
183;Totaal leeftijd;Verweduwd;2052;698252;643329;54923;11902;42693;328
184;Totaal leeftijd;Verweduwd;2053;688804;634630;54174;11622;42235;317
185;Totaal leeftijd;Verweduwd;2054;679015;625615;53400;11338;41762;300
186;Totaal leeftijd;Verweduwd;2055;668954;616303;52651;11080;41284;287
187;Totaal leeftijd;Verweduwd;2056;658609;606723;51886;10805;40802;279
188;Totaal leeftijd;Verweduwd;2057;648058;596931;51127;10553;40309;265
189;Totaal leeftijd;Verweduwd;2058;637310;586963;50347;10297;39797;253
190;Totaal leeftijd;Verweduwd;2059;626514;576944;49570;10055;39275;240
191;Totaal leeftijd;Verweduwd;2060;615750;566939;48811;9822;38758;231
192;Totaal leeftijd;Gescheiden;2013;987991;561527;426464;161398;261886;3180
193;Totaal leeftijd;Gescheiden;2014;1006673;575350;431323;162849;265368;3106
194;Totaal leeftijd;Gescheiden;2015;1022974;588648;434326;164473;266798;3055
195;Totaal leeftijd;Gescheiden;2016;1036901;601330;435571;166141;266399;3031
196;Totaal leeftijd;Gescheiden;2017;1049235;613378;435857;167271;265580;3006
197;Totaal leeftijd;Gescheiden;2018;1060299;624973;435326;167951;264389;2986
198;Totaal leeftijd;Gescheiden;2019;1070119;636133;433986;168304;262720;2962
199;Totaal leeftijd;Gescheiden;2020;1078796;646866;431930;168391;260591;2948
200;Totaal leeftijd;Gescheiden;2021;1086589;657124;429465;168307;258229;2929
201;Totaal leeftijd;Gescheiden;2022;1093561;667082;426479;168089;255480;2910
202;Totaal leeftijd;Gescheiden;2023;1099853;676576;423277;167790;252593;2894
203;Totaal leeftijd;Gescheiden;2024;1105500;685705;419795;167397;249530;2868
204;Totaal leeftijd;Gescheiden;2025;1110606;694309;416297;166941;246497;2859
205;Totaal leeftijd;Gescheiden;2026;1115147;702478;412669;166413;243418;2838
206;Totaal leeftijd;Gescheiden;2027;1119160;710111;409049;165820;240413;2816
207;Totaal leeftijd;Gescheiden;2028;1122680;717182;405498;165177;237528;2793
208;Totaal leeftijd;Gescheiden;2029;1125742;723622;402120;164526;234824;2770
209;Totaal leeftijd;Gescheiden;2030;1128343;729383;398960;163859;232355;2746
210;Totaal leeftijd;Gescheiden;2031;1130506;734362;396144;163193;230234;2717
211;Totaal leeftijd;Gescheiden;2032;1132284;738679;393605;162548;228367;2690
212;Totaal leeftijd;Gescheiden;2033;1133647;742233;391414;161930;226818;2666
213;Totaal leeftijd;Gescheiden;2034;1134625;745053;389572;161326;225608;2638
214;Totaal leeftijd;Gescheiden;2035;1135253;747172;388081;160740;224725;2616
215;Totaal leeftijd;Gescheiden;2036;1135520;748535;386985;160177;224228;2580
216;Totaal leeftijd;Gescheiden;2037;1135409;749337;386072;159631;223889;2552
217;Totaal leeftijd;Gescheiden;2038;1134987;749538;385449;159117;223817;2515
218;Totaal leeftijd;Gescheiden;2039;1134234;749207;385027;158632;223902;2493
219;Totaal leeftijd;Gescheiden;2040;1133139;748403;384736;158163;224111;2462
220;Totaal leeftijd;Gescheiden;2041;1131755;747240;384515;157702;224373;2440
221;Totaal leeftijd;Gescheiden;2042;1130087;745756;384331;157249;224665;2417
222;Totaal leeftijd;Gescheiden;2043;1128129;743990;384139;156795;224951;2393
223;Totaal leeftijd;Gescheiden;2044;1125904;741976;383928;156341;225210;2377
224;Totaal leeftijd;Gescheiden;2045;1123463;739783;383680;155878;225442;2360
225;Totaal leeftijd;Gescheiden;2046;1120827;737443;383384;155418;225620;2346
226;Totaal leeftijd;Gescheiden;2047;1117980;734954;383026;154974;225724;2328
227;Totaal leeftijd;Gescheiden;2048;1114991;732364;382627;154541;225765;2321
228;Totaal leeftijd;Gescheiden;2049;1111856;729689;382167;154127;225734;2306
229;Totaal leeftijd;Gescheiden;2050;1108626;726948;381678;153734;225650;2294
230;Totaal leeftijd;Gescheiden;2051;1105360;724187;381173;153384;225501;2288
231;Totaal leeftijd;Gescheiden;2052;1102048;721409;380639;153061;225300;2278
232;Totaal leeftijd;Gescheiden;2053;1098749;718659;380090;152774;225046;2270
233;Totaal leeftijd;Gescheiden;2054;1095519;715963;379556;152542;224754;2260
234;Totaal leeftijd;Gescheiden;2055;1092420;713379;379041;152345;224440;2256
235;Totaal leeftijd;Gescheiden;2056;1089445;710925;378520;152180;224088;2252
236;Totaal leeftijd;Gescheiden;2057;1086695;708632;378063;152076;223747;2240
237;Totaal leeftijd;Gescheiden;2058;1084180;706546;377634;152008;223392;2234
238;Totaal leeftijd;Gescheiden;2059;1081958;704685;377273;151991;223052;2230
239;Totaal leeftijd;Gescheiden;2060;1080086;703072;377014;152028;222764;2222
240;15 jaar;Totaal burgerlijke staat;2013;458;269;189;10;2;177
241;15 jaar;Totaal burgerlijke staat;2014;553;364;189;12;2;175
242;15 jaar;Totaal burgerlijke staat;2015;707;508;199;23;2;174
243;15 jaar;Totaal burgerlijke staat;2016;1007;739;268;95;2;171
244;15 jaar;Totaal burgerlijke staat;2017;997;729;268;94;2;172
245;15 jaar;Totaal burgerlijke staat;2018;992;726;266;94;2;170
246;15 jaar;Totaal burgerlijke staat;2019;991;724;267;94;2;171
247;15 jaar;Totaal burgerlijke staat;2020;965;703;262;93;2;167
248;15 jaar;Totaal burgerlijke staat;2021;941;684;257;91;2;164
249;15 jaar;Totaal burgerlijke staat;2022;932;677;255;90;2;163
250;15 jaar;Totaal burgerlijke staat;2023;918;665;253;89;2;162
251;15 jaar;Totaal burgerlijke staat;2024;934;676;258;91;2;165
252;15 jaar;Totaal burgerlijke staat;2025;930;674;256;90;2;164
253;15 jaar;Totaal burgerlijke staat;2026;926;671;255;89;2;164
254;15 jaar;Totaal burgerlijke staat;2027;909;658;251;88;2;161
255;15 jaar;Totaal burgerlijke staat;2028;895;648;247;86;2;159
256;15 jaar;Totaal burgerlijke staat;2029;896;649;247;86;2;159
257;15 jaar;Totaal burgerlijke staat;2030;898;651;247;86;2;159
258;15 jaar;Totaal burgerlijke staat;2031;905;656;249;87;2;160
259;15 jaar;Totaal burgerlijke staat;2032;911;661;250;87;2;161
260;15 jaar;Totaal burgerlijke staat;2033;917;666;251;87;2;162
261;15 jaar;Totaal burgerlijke staat;2034;922;669;253;88;2;163
262;15 jaar;Totaal burgerlijke staat;2035;927;673;254;88;2;164
263;15 jaar;Totaal burgerlijke staat;2036;930;675;255;88;2;165
264;15 jaar;Totaal burgerlijke staat;2037;935;679;256;89;2;165
265;15 jaar;Totaal burgerlijke staat;2038;939;682;257;89;2;166
266;15 jaar;Totaal burgerlijke staat;2039;942;683;259;90;2;167
267;15 jaar;Totaal burgerlijke staat;2040;944;685;259;90;2;167
268;15 jaar;Totaal burgerlijke staat;2041;946;687;259;90;2;167
269;15 jaar;Totaal burgerlijke staat;2042;947;687;260;91;2;167
270;15 jaar;Totaal burgerlijke staat;2043;949;689;260;91;2;167
271;15 jaar;Totaal burgerlijke staat;2044;949;689;260;91;2;167
272;15 jaar;Totaal burgerlijke staat;2045;949;689;260;91;2;167
273;15 jaar;Totaal burgerlijke staat;2046;949;689;260;91;2;167
274;15 jaar;Totaal burgerlijke staat;2047;948;688;260;91;2;167
275;15 jaar;Totaal burgerlijke staat;2048;947;687;260;91;2;167
276;15 jaar;Totaal burgerlijke staat;2049;944;685;259;91;2;166
277;15 jaar;Totaal burgerlijke staat;2050;941;682;259;91;2;166
278;15 jaar;Totaal burgerlijke staat;2051;937;680;257;90;2;165
279;15 jaar;Totaal burgerlijke staat;2052;932;676;256;90;2;164
280;15 jaar;Totaal burgerlijke staat;2053;929;673;256;90;2;164
281;15 jaar;Totaal burgerlijke staat;2054;923;669;254;89;2;163
282;15 jaar;Totaal burgerlijke staat;2055;919;666;253;89;2;162
283;15 jaar;Totaal burgerlijke staat;2056;917;664;253;89;2;162
284;15 jaar;Totaal burgerlijke staat;2057;913;662;251;88;2;161
285;15 jaar;Totaal burgerlijke staat;2058;912;661;251;88;2;161
286;15 jaar;Totaal burgerlijke staat;2059;909;659;250;88;2;160
287;15 jaar;Totaal burgerlijke staat;2060;909;659;250;88;2;160
288;15 jaar;Ongehuwd;2013;454;269;185;6;2;177
289;15 jaar;Ongehuwd;2014;549;364;185;8;2;175
290;15 jaar;Ongehuwd;2015;703;508;195;19;2;174
291;15 jaar;Ongehuwd;2016;1003;739;264;91;2;171
292;15 jaar;Ongehuwd;2017;993;729;264;90;2;172
293;15 jaar;Ongehuwd;2018;988;726;262;90;2;170
294;15 jaar;Ongehuwd;2019;987;724;263;90;2;171
295;15 jaar;Ongehuwd;2020;961;703;258;89;2;167
296;15 jaar;Ongehuwd;2021;937;684;253;87;2;164
297;15 jaar;Ongehuwd;2022;928;677;251;86;2;163
298;15 jaar;Ongehuwd;2023;914;665;249;85;2;162
299;15 jaar;Ongehuwd;2024;930;676;254;87;2;165
300;15 jaar;Ongehuwd;2025;926;674;252;86;2;164
301;15 jaar;Ongehuwd;2026;923;671;252;86;2;164
302;15 jaar;Ongehuwd;2027;906;658;248;85;2;161
303;15 jaar;Ongehuwd;2028;892;648;244;83;2;159
304;15 jaar;Ongehuwd;2029;893;649;244;83;2;159
305;15 jaar;Ongehuwd;2030;895;651;244;83;2;159
306;15 jaar;Ongehuwd;2031;902;656;246;84;2;160
307;15 jaar;Ongehuwd;2032;908;661;247;84;2;161
308;15 jaar;Ongehuwd;2033;914;666;248;84;2;162
309;15 jaar;Ongehuwd;2034;919;669;250;85;2;163
310;15 jaar;Ongehuwd;2035;924;673;251;85;2;164
311;15 jaar;Ongehuwd;2036;927;675;252;85;2;165
312;15 jaar;Ongehuwd;2037;932;679;253;86;2;165
313;15 jaar;Ongehuwd;2038;936;682;254;86;2;166
314;15 jaar;Ongehuwd;2039;939;683;256;87;2;167
315;15 jaar;Ongehuwd;2040;941;685;256;87;2;167
316;15 jaar;Ongehuwd;2041;943;687;256;87;2;167
317;15 jaar;Ongehuwd;2042;944;687;257;88;2;167
318;15 jaar;Ongehuwd;2043;946;689;257;88;2;167
319;15 jaar;Ongehuwd;2044;946;689;257;88;2;167
320;15 jaar;Ongehuwd;2045;946;689;257;88;2;167
321;15 jaar;Ongehuwd;2046;946;689;257;88;2;167
322;15 jaar;Ongehuwd;2047;945;688;257;88;2;167
323;15 jaar;Ongehuwd;2048;944;687;257;88;2;167
