ID;Perioden;TotaalOverheidsuitgavenVoorOnderwijs_1;TotaalUitgavenPrePrimairOnderwijs_2;TotaalUitgaven_3;LopendeUitgavenPerLeerling_4;TotaalUitgaven_5;LopendeUitgavenPerLeerling_6;TotaalUitgaven_7;LopendeUitgavenPerLeerling_8;TotaalUitgavenSecundairOnderwijs_9;TotaalUitgaven_10;LopendeUitgavenPerDeelnemer_11;TotaalUitgaven_12;LopendeUitgavenPerDeelnemer_13;TotaalUitgaven_14;TotaalUitgavenTertiairOnderwijs_15;TotaalUitgaven_16;LopendeUitgavenPerStudent_17;TotaalUitgaven_18;LopendeUitgavenPerStudent_19;StudietoelagenStudentenvoorzieningen_20;Apparaatskosten_21;NietTeVerdelenEnOverigeUitgaven_22;PerHoofdVanDeBevolking_23;PercentageVanNettoNationaalInkomen_24;PercentageVanDeRijksuitgaven_25;PercentageVanBrutoBinnenlandsProduct_26
14;1950;252.9;130.4;8.5;21.8;114.6;81.7;7.3;219.6;74.1;49.0;208.7;25.1;;;29.6;8.2;;21.4;539.1;2.7;3.3;12.8;25.0;3.3;7.3;3.0
15;1951;281.1;143.8;9.3;23.6;125.6;87.1;8.9;229.2;79.1;50.4;210.1;28.7;141.6;;33.7;9.3;307.2;24.4;559.1;3.1;3.6;17.8;27.2;3.2;7.3;2.9
16;1952;310.2;159.4;9.7;25.4;139.9;93.9;9.8;246.9;88.2;55.0;223.7;33.2;151.6;;38.8;10.7;327.2;28.1;623.0;2.7;4.0;17.2;29.9;3.4;8.0;3.0
17;1953;363.6;185.2;12.0;29.5;160.2;98.0;13.0;284.1;103.6;64.7;245.9;38.9;169.7;;46.5;12.6;354.9;33.9;782.8;3.4;4.5;20.4;34.5;3.7;8.2;3.3
18;1954;424.0;204.1;13.7;32.7;174.7;101.2;15.7;315.8;136.0;83.2;280.0;52.8;225.5;;56.2;17.1;457.9;39.1;910.7;4.5;5.3;18.0;39.9;3.8;8.7;3.5
19;1955;511.0;242.6;18.3;40.4;206.4;113.0;17.9;339.9;160.1;96.1;309.5;64.0;265.0;;68.0;20.7;533.2;47.3;1197.1;2.5;6.1;31.6;47.6;4.1;10.4;3.8
20;1956;595.6;276.9;29.6;70.3;226.8;120.7;20.5;390.3;196.1;113.1;334.4;83.0;315.8;;82.1;26.9;768.7;55.2;1179.8;8.9;9.3;22.2;54.9;4.5;12.0;4.1
21;1957;691.7;319.0;41.6;82.6;252.4;131.6;25.0;446.1;227.9;131.0;353.0;95.5;342.6;1.4;105.5;29.9;809.1;75.6;1425.3;10.3;11.8;17.2;62.6;4.8;13.8;4.4
22;1958;730.4;321.8;42.0;88.5;253.3;144.3;26.5;475.1;247.4;139.8;341.2;105.5;350.8;2.2;110.6;31.1;779.1;79.5;1453.5;13.7;13.2;23.7;65.3;5.0;14.5;4.5
23;1959;813.5;342.9;49.3;93.0;263.6;146.1;30.0;480.1;276.2;161.5;340.3;112.5;342.2;2.2;138.5;37.3;884.9;101.2;1534.7;17.0;13.7;25.3;71.7;5.2;15.2;4.7
24;1960;905.0;361.2;56.5;101.6;274.2;156.1;30.5;473.7;333.8;183.3;356.2;147.8;420.2;2.6;161.7;41.4;926.2;120.3;1710.3;22.1;12.4;13.7;79.0;5.2;19.8;4.7
25;1961;1045.0;393.0;66.5;121.2;291.2;175.2;35.3;531.8;377.6;206.5;391.6;168.0;455.6;3.1;202.3;47.5;1001.9;154.8;1930.4;25.9;9.5;36.6;89.8;5.7;20.2;5.1
26;1962;1196.8;432.8;69.1;131.6;323.1;196.0;40.6;589.0;433.0;236.4;443.3;192.9;514.1;3.8;245.5;53.1;1054.6;192.4;2140.9;30.7;15.7;39.0;101.2;6.1;22.2;5.5
27;1963;1355.0;483.0;78.9;146.1;357.9;217.8;46.2;652.5;486.4;263.1;494.2;217.8;571.3;5.5;295.4;62.2;1193.0;233.2;2360.6;37.4;17.8;35.2;113.4;6.3;22.9;5.7
28;1964;1708.2;595.6;100.9;177.9;433.8;265.0;60.9;827.7;592.0;320.1;602.2;265.2;682.0;6.8;406.9;82.9;1549.2;324.0;2866.1;48.2;20.4;45.2;140.7;6.7;22.9;6.1
29;1965;1960.1;677.6;117.2;196.9;489.9;295.0;70.5;951.1;689.2;370.6;682.9;308.3;768.7;10.3;464.1;91.2;1591.9;372.9;3335.3;56.8;25.1;47.3;159.3;6.9;22.9;6.3
30;1966;2248.8;751.0;135.7;228.3;541.4;327.2;73.9;999.2;778.1;410.8;757.4;354.3;857.2;13.0;575.7;105.5;1733.0;470.2;3679.7;65.4;28.5;50.1;180.6;7.3;23.8;6.7
31;1967;2565.9;833.1;147.1;245.9;605.5;354.4;80.5;1089.5;887.0;475.0;856.7;396.7;930.2;15.2;691.2;121.7;1828.3;569.5;3977.8;62.2;33.2;59.3;203.7;7.6;23.9;6.9
32;1968;2886.8;919.5;165.0;262.3;661.9;378.9;92.6;1192.1;1011.6;522.2;906.7;471.7;1075.0;17.7;762.7;128.7;1722.5;634.0;4192.0;84.6;36.8;71.6;226.9;7.7;23.8;7.0
33;1969;3345.7;1057.7;193.5;297.7;756.2;439.7;108.0;1331.4;1183.7;627.4;1006.5;535.8;1115.8;20.5;866.5;176.9;1842.3;689.6;4544.2;113.3;50.9;73.5;260.0;7.4;25.4;6.8
34;1970;3873.2;1195.7;211.6;324.9;853.1;521.4;131.0;1493.4;1361.7;718.4;1128.1;610.3;1184.4;33.0;1028.8;207.2;1911.3;821.6;4762.4;143.3;70.7;73.0;297.2;7.7;26.2;7.0
35;1971;4500.9;1379.7;262.0;400.2;967.0;555.9;150.7;1725.7;1591.7;831.9;1278.8;713.8;1371.3;46.0;1208.7;244.3;2158.6;964.4;5356.0;156.8;84.0;80.0;341.2;7.9;26.0;7.2
36;1972;5067.2;1596.0;308.1;483.3;1109.7;636.7;178.2;1959.9;1838.4;977.0;1412.2;806.8;1491.1;54.5;1253.6;288.3;2474.0;965.3;5797.0;193.3;100.2;85.8;380.3;7.9;26.2;7.2
37;1973;5809.0;1824.0;345.9;555.0;1269.0;741.9;209.1;2245.3;2044.6;1097.1;1498.4;891.1;1598.2;56.4;1480.0;337.6;2749.9;1142.4;6812.1;217.5;123.2;119.7;432.5;7.9;25.3;7.2
38;1974;6801.8;2145.9;424.0;669.8;1465.3;867.6;256.6;2647.4;2369.5;1274.3;1641.8;1026.0;1868.2;69.2;1760.6;407.3;3343.9;1353.3;8138.5;243.1;152.7;129.9;502.3;8.1;22.4;7.4
39;1975;8029.2;2532.5;523.4;830.9;1704.7;1017.8;304.4;3112.9;2866.2;1535.6;1850.1;1241.0;2127.8;89.6;1959.5;486.3;3595.3;1473.2;9176.3;311.9;198.8;160.1;587.6;8.9;24.5;8.0
40;1976;9037.6;2816.0;588.2;947.0;1881.5;1139.0;346.3;3535.4;3199.5;1708.6;2027.9;1414.8;2298.4;76.1;2258.1;558.6;3765.9;1699.5;10355.7;371.4;225.5;167.4;656.2;8.7;23.4;7.9
41;1977;9768.1;3037.5;616.7;1091.3;2017.9;1249.7;402.9;3977.8;3342.4;1812.1;2106.4;1462.9;2390.1;67.4;2477.9;633.7;4085.8;1844.2;10681.1;428.7;279.3;202.2;705.2;8.6;24.2;7.8
42;1978;10558.9;3307.4;674.2;1262.0;2192.8;1361.3;440.4;4334.1;3643.4;1960.4;2261.2;1613.3;2616.0;69.7;2604.8;708.1;4390.8;1896.7;10093.4;474.1;315.6;213.4;757.4;8.6;22.9;7.9
43;1979;11200.8;3413.7;675.3;1404.9;2271.1;1476.1;467.3;4859.1;3906.9;2147.0;2408.2;1671.1;2649.2;88.8;2781.5;759.9;4612.2;2021.6;10386.6;522.4;331.8;244.8;798.2;8.6;20.6;7.8
44;1980;11708.3;3523.2;698.4;1533.3;2330.0;1585.5;494.8;5085.5;4028.3;2192.8;2421.4;1744.0;2715.4;91.5;2901.5;785.8;3777.7;2115.7;10259.1;618.3;380.3;256.7;827.7;8.5;18.7;7.7
45;1981;12088.5;3607.6;720.4;1632.2;2369.4;1696.7;517.8;5315.6;4207.4;2289.2;2523.0;1829.6;2794.4;88.6;2956.1;805.5;3752.3;2150.6;10746.0;698.8;407.8;211.0;848.6;8.4;18.2;7.6
46;1982;12482.7;3728.9;750.3;1721.6;2398.0;1793.3;580.6;5730.8;4330.8;2320.9;2533.9;1912.1;2844.7;97.9;2964.9;835.3;3747.3;2129.6;10780.9;826.3;422.8;208.9;872.2;8.3;17.5;7.5
47;1983;12476.5;3553.1;720.9;1726.2;2261.0;1822.4;571.2;5619.2;4290.2;2297.9;2503.5;1896.7;2794.8;95.6;3003.7;890.6;3651.1;2113.1;9849.3;955.3;460.8;213.3;868.5;8.0;17.1;7.2
48;1984;12120.0;3393.4;689.9;1676.7;2123.3;1814.2;580.2;5640.9;4170.6;2206.1;2410.5;1880.7;2800.3;83.7;2938.4;883.1;3732.3;2055.3;9263.5;924.5;439.1;254.1;840.4;7.4;15.9;6.7
49;1985;12521.9;3725.3;;;3109.9;1928.1;615.4;5827.0;4255.1;2249.3;2493.5;1934.9;2895.6;70.9;2975.7;879.7;3922.5;2096.0;9171.4;882.5;484.5;198.8;864.5;7.3;15.4;6.5
50;1986;13099.1;3877.8;;;3212.7;2029.3;665.1;6195.9;4278.8;2249.0;2518.5;1951.7;2944.1;78.1;3020.8;927.2;4187.0;2093.6;8883.2;1178.6;498.8;244.4;899.4;7.4;15.1;6.6
51;1987;13880.7;3710.9;;;2995.0;1925.8;715.9;6350.7;4288.0;2273.1;2614.2;1915.2;2907.4;99.7;3002.4;844.8;3873.5;2157.6;9143.2;2042.8;555.7;280.8;946.6;7.8;16.1;7.0
52;1988;13522.1;3734.2;;;3059.3;1997.1;674.9;5940.9;4199.8;2218.6;2619.7;1856.2;2892.4;125.0;2842.8;868.9;4028.2;1973.9;9239.9;1814.2;604.7;326.4;916.1;7.4;15.4;6.6
53;1989;13480.1;3649.6;;;2962.9;1917.2;686.7;6081.6;4116.3;2157.9;2652.8;1823.0;2971.4;135.5;2960.4;868.4;3870.3;2092.0;9636.9;1665.2;608.8;479.6;908.0;6.9;13.3;6.1
54;1990;14096.7;3732.5;;;3032.1;1993.9;700.4;6086.1;4163.2;2162.1;2669.6;1824.2;3014.5;176.9;3108.3;937.3;3888.9;2171.0;9784.9;2023.7;565.8;503.3;943.1;6.8;14.6;6.0
55;1991;14533.0;3976.9;;;3242.8;2163.6;734.1;6447.8;4247.0;2266.4;2868.3;1832.6;3139.3;148.0;3191.2;965.9;3856.7;2225.3;9419.6;1938.5;656.4;523.1;964.5;6.7;13.9;5.9
56;1992;15303.9;4167.7;;;3385.7;2258.0;782.0;6706.9;4541.1;2165.1;;2166.3;;209.7;3355.4;996.0;3838.1;2359.4;9808.0;2066.3;638.7;534.7;1006.9;6.8;14.4;6.0
57;1993;15150.4;4260.6;;;3446.7;2332.0;813.9;7043.6;4567.9;2614.2;;1953.7;;;3401.6;1086.7;3898.4;2314.9;9587.9;1747.0;646.0;527.3;990.9;6.5;13.6;5.7
58;1994;15603.5;4480.8;;;3624.7;2444.1;856.1;7257.8;4807.4;2809.9;;1997.5;;;3469.6;1118.2;3998.3;2351.4;9583.4;1764.0;622.8;458.8;1014.5;6.3;13.8;5.6
59;1995;15664.8;4616.3;;;3923.8;;692.4;;6014.7;3849.4;;2165.3;;;5033.8;1862.5;;3171.3;;1916.3;;;1015.6;5.9;;5.1
60;1996;16139.8;4852.4;;;4124.5;;727.9;;6293.7;4090.9;;2202.8;;;4993.8;1847.7;;3146.1;;1920.6;;;1041.7;5.9;;5.0
61;1997;16464.0;5100.1;;;4405.8;;694.3;;6321.0;4098.6;;2222.4;;;5042.8;1894.3;;3148.5;;1996.8;;;1057.6;5.5;;4.8
62;1998;17903.2;5720.1;;;4973.0;;747.1;;7010.5;4544.9;;2465.6;;;5172.7;2077.3;;3095.3;;2019.5;;;1143.7;5.8;;4.9
63;1999;18905.0;6026.2;;;5311.5;;714.7;;7433.7;5000.6;;2433.0;;;5445.1;2190.3;;3254.8;;2074.3;;;1199.6;5.7;;4.9
64;2000;20725.1;6651.1;;;5952.4;;698.7;;8267.3;5492.8;;2774.5;;;5806.6;2358.6;;3448.0;;2416.4;;;1306.4;5.7;;5.0
65;2001;22646.7;7540.4;;;6754.5;;785.9;;9030.4;6147.7;;2882.8;;;6075.9;2471.7;;3604.2;;2318.0;;;1416.6;5.9;;5.1
66;2002;24084.2;8376.5;;;7430.9;;945.7;;9486.1;6508.6;;2977.5;;;6221.5;2441.3;;3780.2;;2152.1;;;1495.4;6.0;;5.2
67;2003;25847.8;9127.3;;;8035.9;;1091.4;;9952.2;6674.0;;3278.2;;;6768.3;2716.0;;4052.4;;2682.1;;;1596.2;6.3;;5.4
68;2004;26797.6;9122.8;;;8000.8;;1122.0;;10549.3;7030.5;;3518.8;;;7125.5;2897.1;;4228.4;;2986.3;;;1648.3;6.2;;5.5
69;2005;28146.8;9472.7;;;8366.2;;1106.5;;11138.1;7417.8;;3720.4;;;7536.0;3063.9;;4472.1;;3053.4;;;1726.2;6.4;;5.5
70;2006;29484.6;9609.3;;;8461.1;;1148.1;;11765.0;7476.4;;4288.6;;;8110.4;3374.1;;4736.2;;3769.3;;;1805.1;6.2;;5.5
71;2007;30257.8;9704.0;;;8525.7;;1178.2;;12309.8;7965.9;;4344.0;;;8244.0;3455.1;;4788.9;;3456.7;;;1849.7;6.1;;5.3
72;2008*;32453.1;10221.8;;;8986.2;;1235.6;;13251.6;8499.1;;4752.5;;;8979.8;3874.9;;5104.8;;4256.6;;;1978.2;6.6;;5.4
