ID;BedrijfstakkenBranchesSBI2008;Perioden;TotaalSnelgroeiendeBedrijven_1;k_10Tot50WerkzamePersonen_2;k_50Tot250WerkzamePersonen_3;k_250WerkzamePersonenOfMeer_4;NatuurlijkePersonen_5;Rechtspersonen_6
143;09 Dienstverlening delfstoffenwinning;2013;5;0;5;0;0;5
144;09 Dienstverlening delfstoffenwinning;2014;10;5;5;5;0;10
145;09 Dienstverlening delfstoffenwinning;2015;10;5;5;0;0;5
146;09 Dienstverlening delfstoffenwinning;2016;5;0;5;0;0;5
147;09 Dienstverlening delfstoffenwinning;2017;0;0;0;0;0;0
148;09 Dienstverlening delfstoffenwinning;2018;0;0;0;0;0;0
149;09 Dienstverlening delfstoffenwinning;2019;0;0;0;0;0;0
150;09 Dienstverlening delfstoffenwinning;2020;0;0;0;0;0;0
151;09 Dienstverlening delfstoffenwinning;2021;0;0;0;0;0;0
152;09 Dienstverlening delfstoffenwinning;2022;0;0;0;0;0;0
153;09 Dienstverlening delfstoffenwinning;2023;5;5;0;0;0;5
154;C Industrie;2010;710;460;185;40;45;665
155;C Industrie;2011;690;475;160;30;65;625
156;C Industrie;2012;805;570;185;30;55;750
157;C Industrie;2013;800;555;200;30;40;760
158;C Industrie;2014;735;515;180;20;40;695
159;C Industrie;2015;765;550;185;20;35;730
160;C Industrie;2016;900;640;215;25;50;845
161;C Industrie;2017;1055;755;255;25;60;995
162;C Industrie;2018;1240;890;295;35;75;1165
163;C Industrie;2019;1145;795;280;50;75;1070
164;C Industrie;2020;960;640;255;55;50;910
165;C Industrie;2021;915;625;220;50;40;870
166;C Industrie;2022;900;635;195;50;50;850
167;C Industrie;2023;900;605;225;55;50;850
168;10-12 Voedings-, genotmiddelenindustrie;2010;155;95;40;5;35;115
169;10-12 Voedings-, genotmiddelenindustrie;2011;155;100;35;5;55;100
170;10-12 Voedings-, genotmiddelenindustrie;2012;160;110;35;5;40;120
171;10-12 Voedings-, genotmiddelenindustrie;2013;140;85;40;5;25;115
172;10-12 Voedings-, genotmiddelenindustrie;2014;150;95;40;5;30;120
173;10-12 Voedings-, genotmiddelenindustrie;2015;150;105;40;5;25;125
174;10-12 Voedings-, genotmiddelenindustrie;2016;165;115;40;5;40;125
175;10-12 Voedings-, genotmiddelenindustrie;2017;175;105;55;5;40;135
176;10-12 Voedings-, genotmiddelenindustrie;2018;200;135;45;10;55;145
177;10-12 Voedings-, genotmiddelenindustrie;2019;185;120;45;10;50;135
178;10-12 Voedings-, genotmiddelenindustrie;2020;165;105;45;10;40;125
179;10-12 Voedings-, genotmiddelenindustrie;2021;165;105;40;10;35;130
180;10-12 Voedings-, genotmiddelenindustrie;2022;180;120;40;5;40;135
181;10-12 Voedings-, genotmiddelenindustrie;2023;180;120;40;10;45;135
182;10 Voedingsmiddelenindustrie;2010;150;95;40;5;35;115
183;10 Voedingsmiddelenindustrie;2011;150;100;35;5;55;100
184;10 Voedingsmiddelenindustrie;2012;155;105;35;5;40;115
185;10 Voedingsmiddelenindustrie;2013;135;85;40;5;25;110
186;10 Voedingsmiddelenindustrie;2014;145;95;40;5;30;115
187;10 Voedingsmiddelenindustrie;2015;145;105;35;5;25;120
188;10 Voedingsmiddelenindustrie;2016;155;110;40;5;40;120
189;10 Voedingsmiddelenindustrie;2017;165;100;50;5;40;125
190;10 Voedingsmiddelenindustrie;2018;190;130;45;5;55;135
191;10 Voedingsmiddelenindustrie;2019;170;115;40;10;45;125
192;10 Voedingsmiddelenindustrie;2020;160;100;45;10;40;125
193;10 Voedingsmiddelenindustrie;2021;160;100;40;10;35;125
194;10 Voedingsmiddelenindustrie;2022;170;115;40;5;40;125
195;10 Voedingsmiddelenindustrie;2023;170;110;40;10;45;125
196;11 Drankenindustrie;2010;0;0;0;0;0;0
197;11 Drankenindustrie;2011;5;0;0;0;0;5
198;11 Drankenindustrie;2012;5;5;0;0;0;5
199;11 Drankenindustrie;2013;5;0;0;0;0;5
200;11 Drankenindustrie;2014;5;5;0;0;0;5
201;11 Drankenindustrie;2015;5;5;0;0;0;5
202;11 Drankenindustrie;2016;10;5;0;0;0;10
203;11 Drankenindustrie;2017;10;5;0;0;0;10
204;11 Drankenindustrie;2018;10;5;5;0;0;10
205;11 Drankenindustrie;2019;10;5;5;0;5;10
206;11 Drankenindustrie;2020;0;0;0;0;0;0
207;11 Drankenindustrie;2021;10;5;0;0;0;5
208;11 Drankenindustrie;2022;10;5;0;0;0;10
209;11 Drankenindustrie;2023;10;10;0;0;0;10
210;12 Tabaksindustrie;2010;0;0;0;0;0;0
211;12 Tabaksindustrie;2011;0;0;0;0;0;0
212;12 Tabaksindustrie;2012;0;0;0;0;0;0
213;12 Tabaksindustrie;2013;0;0;0;0;0;0
214;12 Tabaksindustrie;2014;0;0;0;0;0;0
215;12 Tabaksindustrie;2015;0;0;0;0;0;0
216;12 Tabaksindustrie;2016;0;0;0;0;0;0
217;12 Tabaksindustrie;2017;0;0;0;0;0;0
218;12 Tabaksindustrie;2018;0;0;0;0;0;0
219;12 Tabaksindustrie;2019;0;0;0;0;0;0
220;12 Tabaksindustrie;2020;0;0;0;0;0;0
221;12 Tabaksindustrie;2021;0;0;0;0;0;0
222;12 Tabaksindustrie;2022;0;0;0;0;0;0
223;12 Tabaksindustrie;2023;0;0;0;0;0;0
224;13-15 Textiel-, kleding-, lederindustrie;2010;20;15;5;0;0;20
225;13-15 Textiel-, kleding-, lederindustrie;2011;20;15;5;0;5;20
226;13-15 Textiel-, kleding-, lederindustrie;2012;30;25;5;0;5;25
227;13-15 Textiel-, kleding-, lederindustrie;2013;20;20;0;0;0;15
228;13-15 Textiel-, kleding-, lederindustrie;2014;15;15;0;0;0;15
229;13-15 Textiel-, kleding-, lederindustrie;2015;20;20;5;0;0;20
230;13-15 Textiel-, kleding-, lederindustrie;2016;20;15;5;0;0;20
231;13-15 Textiel-, kleding-, lederindustrie;2017;25;15;5;0;0;20
232;13-15 Textiel-, kleding-, lederindustrie;2018;30;25;5;0;5;30
233;13-15 Textiel-, kleding-, lederindustrie;2019;20;20;5;0;0;20
234;13-15 Textiel-, kleding-, lederindustrie;2020;20;15;0;0;0;20
235;13-15 Textiel-, kleding-, lederindustrie;2021;25;25;0;0;0;25
236;13-15 Textiel-, kleding-, lederindustrie;2022;30;30;0;0;0;30
237;13-15 Textiel-, kleding-, lederindustrie;2023;30;25;5;0;0;25
238;13 Textielindustrie;2010;15;10;5;0;0;15
239;13 Textielindustrie;2011;15;10;5;0;0;15
240;13 Textielindustrie;2012;20;15;5;0;0;20
241;13 Textielindustrie;2013;15;10;0;0;0;15
242;13 Textielindustrie;2014;10;10;0;0;0;10
243;13 Textielindustrie;2015;10;10;0;0;0;10
244;13 Textielindustrie;2016;15;10;0;0;0;10
245;13 Textielindustrie;2017;15;10;5;0;0;15
246;13 Textielindustrie;2018;20;15;0;0;5;15
247;13 Textielindustrie;2019;15;10;0;0;0;10
248;13 Textielindustrie;2020;10;10;0;0;0;10
249;13 Textielindustrie;2021;15;15;0;0;0;15
250;13 Textielindustrie;2022;20;20;0;0;0;20
251;13 Textielindustrie;2023;20;15;5;0;0;20
252;14 Kledingindustrie;2010;5;5;0;0;0;5
253;14 Kledingindustrie;2011;5;5;0;0;0;5
254;14 Kledingindustrie;2012;5;5;0;0;0;5
255;14 Kledingindustrie;2013;0;0;0;0;0;0
256;14 Kledingindustrie;2014;5;5;0;0;0;5
257;14 Kledingindustrie;2015;5;5;0;0;0;5
258;14 Kledingindustrie;2016;5;0;0;0;0;5
259;14 Kledingindustrie;2017;5;5;0;0;0;5
260;14 Kledingindustrie;2018;5;5;0;0;0;5
261;14 Kledingindustrie;2019;5;5;0;0;0;5
262;14 Kledingindustrie;2020;5;5;0;0;0;5
263;14 Kledingindustrie;2021;5;5;0;0;0;5
264;14 Kledingindustrie;2022;10;10;0;0;0;10
265;14 Kledingindustrie;2023;5;5;0;0;0;5
266;15 Leer- en schoenenindustrie;2010;0;0;0;0;0;0
267;15 Leer- en schoenenindustrie;2011;5;5;0;0;0;0
268;15 Leer- en schoenenindustrie;2012;5;5;0;0;0;0
269;15 Leer- en schoenenindustrie;2013;5;5;0;0;0;0
270;15 Leer- en schoenenindustrie;2014;5;0;0;0;0;5
271;15 Leer- en schoenenindustrie;2015;5;0;0;0;0;5
272;15 Leer- en schoenenindustrie;2016;5;5;0;0;0;5
273;15 Leer- en schoenenindustrie;2017;5;0;0;0;0;5
274;15 Leer- en schoenenindustrie;2018;5;0;5;0;0;5
275;15 Leer- en schoenenindustrie;2019;5;0;0;0;0;0
276;15 Leer- en schoenenindustrie;2020;0;0;0;0;0;0
277;15 Leer- en schoenenindustrie;2021;0;0;0;0;0;0
278;15 Leer- en schoenenindustrie;2022;0;0;0;0;0;0
279;15 Leer- en schoenenindustrie;2023;0;0;0;0;0;0
280;16+23 Hout- en bouwmaterialenindustrie;2010;30;20;10;0;0;30
281;16+23 Hout- en bouwmaterialenindustrie;2011;30;20;5;0;0;30
282;16+23 Hout- en bouwmaterialenindustrie;2012;30;20;10;0;0;30
283;16+23 Hout- en bouwmaterialenindustrie;2013;30;25;5;0;0;30
284;16+23 Hout- en bouwmaterialenindustrie;2014;25;15;5;0;0;20
285;16+23 Hout- en bouwmaterialenindustrie;2015;35;30;0;0;0;30
286;16+23 Hout- en bouwmaterialenindustrie;2016;45;30;10;0;0;45
287;16+23 Hout- en bouwmaterialenindustrie;2017;75;60;15;0;0;75
288;16+23 Hout- en bouwmaterialenindustrie;2018;100;80;20;0;0;100
289;16+23 Hout- en bouwmaterialenindustrie;2019;80;60;15;0;0;75
290;16+23 Hout- en bouwmaterialenindustrie;2020;75;55;15;5;0;75
291;16+23 Hout- en bouwmaterialenindustrie;2021;70;55;10;5;0;70
292;16+23 Hout- en bouwmaterialenindustrie;2022;60;45;15;0;0;60
293;16+23 Hout- en bouwmaterialenindustrie;2023;45;30;20;0;0;45
294;16 Houtindustrie;2010;15;10;5;0;0;15
295;16 Houtindustrie;2011;10;10;0;0;0;10
296;16 Houtindustrie;2012;10;5;5;0;0;10
297;16 Houtindustrie;2013;10;10;0;0;0;10
298;16 Houtindustrie;2014;10;10;0;0;0;10
299;16 Houtindustrie;2015;20;20;0;0;0;20
300;16 Houtindustrie;2016;30;25;5;0;0;30
301;16 Houtindustrie;2017;40;35;5;0;0;40
302;16 Houtindustrie;2018;60;45;10;0;0;55
303;16 Houtindustrie;2019;40;35;5;0;0;40
304;16 Houtindustrie;2020;45;35;5;0;0;45
305;16 Houtindustrie;2021;45;35;10;0;0;45
306;16 Houtindustrie;2022;35;25;5;0;0;30
307;16 Houtindustrie;2023;25;15;10;0;0;25
308;17-18 Papier- en grafische industrie;2010;50;35;10;0;0;45
309;17-18 Papier- en grafische industrie;2011;50;35;10;5;0;50
310;17-18 Papier- en grafische industrie;2012;60;40;15;0;0;60
311;17-18 Papier- en grafische industrie;2013;50;40;10;0;0;50
312;17-18 Papier- en grafische industrie;2014;40;30;5;0;0;40
313;17-18 Papier- en grafische industrie;2015;40;25;10;5;0;40
314;17-18 Papier- en grafische industrie;2016;45;30;15;0;0;45
315;17-18 Papier- en grafische industrie;2017;55;40;10;5;0;55
316;17-18 Papier- en grafische industrie;2018;55;35;15;5;0;55
317;17-18 Papier- en grafische industrie;2019;55;40;15;5;0;55
318;17-18 Papier- en grafische industrie;2020;45;30;10;5;5;40
319;17-18 Papier- en grafische industrie;2021;40;25;5;5;0;35
320;17-18 Papier- en grafische industrie;2022;40;25;5;5;0;40
321;17-18 Papier- en grafische industrie;2023;40;25;10;5;0;40
322;17 Papierindustrie;2010;10;5;5;0;0;10
323;17 Papierindustrie;2011;5;5;5;0;0;5
324;17 Papierindustrie;2012;15;5;5;0;0;10
