ID;HerkomstVanUitvoer;Perioden;UitvoerVanGoederenEnDiensten_1;UitvoerVanGoederen_2;UitvoerVanDiensten_3;UitvoerVanGoederenEnDiensten_4;UitvoerVanGoederen_5;UitvoerVanDiensten_6;UitvoerVanGoederenEnDiensten_7;UitvoerVanGoederen_8;UitvoerVanDiensten_9;UitvoerVanGoederenEnDiensten_10;UitvoerVanGoederen_11;UitvoerVanDiensten_12
29;A Landbouw, bosbouw en visserij;2002;9408;9297;111;9590.0;9469.0;124.0;2.9;2.8;18.5;98.1;98.2;89.3
30;A Landbouw, bosbouw en visserij;2003;9565;9464;101;9722.0;9613.0;110.0;1.4;1.5;-11.7;98.4;98.4;92.0
31;A Landbouw, bosbouw en visserij;2004;9367;9270;97;10301.0;10198.0;103.0;6.0;6.1;-5.9;90.9;90.9;94.0
32;A Landbouw, bosbouw en visserij;2005;9852;9750;102;10552.0;10446.0;106.0;2.4;2.4;3.1;93.4;93.3;95.9
33;A Landbouw, bosbouw en visserij;2006;10570;10453;117;10607.0;10487.0;120.0;0.5;0.4;12.7;99.7;99.7;97.5
34;A Landbouw, bosbouw en visserij;2007;10967;10846;121;10673.0;10551.0;122.0;0.6;0.6;1.7;102.8;102.8;99.2
35;A Landbouw, bosbouw en visserij;2008;11059;10918;141;10974.0;10836.0;138.0;2.8;2.7;13.2;100.8;100.8;102.1
36;A Landbouw, bosbouw en visserij;2009;10318;10176;142;11068.0;10928.0;140.0;0.9;0.9;1.4;93.2;93.1;101.3
37;A Landbouw, bosbouw en visserij;2010;11335;11186;149;11335.0;11186.0;149.0;2.4;2.4;6.3;100.0;100.0;100.0
38;A Landbouw, bosbouw en visserij;2011;10922;10760;162;11186.0;11030.0;156.0;-1.3;-1.4;4.7;97.6;97.6;103.8
39;A Landbouw, bosbouw en visserij;2012;11548;11415;133;10989.0;10864.0;127.0;-1.8;-1.5;-18.5;105.1;105.1;104.6
40;A Landbouw, bosbouw en visserij;2013;11822;11685;137;10955.0;10829.0;128.0;-0.3;-0.3;0.8;107.9;107.9;107.0
41;A Landbouw, bosbouw en visserij;2014;11360;11210;150;11081.0;10946.0;136.0;1.2;1.1;6.6;102.5;102.4;109.9
42;A Landbouw, bosbouw en visserij;2015;11894;11729;165;11084.0;10936.0;149.0;0.0;-0.1;9.3;107.3;107.3;110.6
43;A Landbouw, bosbouw en visserij;2016;11987;11819;168;11159.0;11008.0;151.0;0.7;0.7;1.2;107.4;107.4;111.2
44;01 Landbouw;1995;7459;7394;65;8486.0;8402.0;83.0;;;;87.9;88.0;78.7
45;01 Landbouw;1996;7670;7604;66;8415.0;8330.0;84.0;-0.8;-0.9;1.5;91.2;91.3;78.7
46;01 Landbouw;1997;7519;7448;71;8118.0;8030.0;89.0;-3.5;-3.6;6.1;92.6;92.8;79.8
47;01 Landbouw;1998;7754;7683;71;8158.0;8069.0;89.0;0.5;0.5;0.0;95.0;95.2;79.8
48;01 Landbouw;1999;7653;7580;73;8661.0;8569.0;91.0;6.2;6.2;2.8;88.4;88.5;79.8
49;01 Landbouw;2000;8386;8307;79;8898.0;8801.0;96.0;2.7;2.7;5.5;94.2;94.4;81.9
50;01 Landbouw;2001;8601;8511;90;8796.0;8693.0;104.0;-1.1;-1.2;7.6;97.8;97.9;86.7
51;01 Landbouw;2002;8882;8773;109;9105.0;8984.0;123.0;3.5;3.3;18.9;97.6;97.6;88.3
52;01 Landbouw;2003;9035;8936;99;9228.0;9120.0;109.0;1.4;1.5;-11.9;97.9;98.0;91.1
53;01 Landbouw;2004;8865;8770;95;9806.0;9704.0;102.0;6.3;6.4;-6.1;90.4;90.4;93.1
54;01 Landbouw;2005;9317;9217;100;10032.0;9927.0;105.0;2.3;2.3;3.2;92.9;92.9;95.0
55;01 Landbouw;2006;10024;9909;115;10120.0;10001.0;119.0;0.9;0.7;13.0;99.1;99.1;96.6
56;01 Landbouw;2007;10371;10252;119;10113.0;9993.0;120.0;-0.1;-0.1;0.9;102.6;102.6;99.1
57;01 Landbouw;2008;10478;10339;139;10420.0;10284.0;136.0;3.0;2.9;13.4;100.6;100.5;102.1
58;01 Landbouw;2009;9854;9714;140;10586.0;10448.0;138.0;1.6;1.6;1.4;93.1;93.0;101.4
59;01 Landbouw;2010;10831;10684;147;10831.0;10684.0;147.0;2.3;2.3;6.4;100.0;100.0;100.0
60;01 Landbouw;2011;10413;10253;160;10731.0;10577.0;154.0;-0.9;-1.0;4.8;97.0;96.9;103.9
61;01 Landbouw;2012;10991;10860;131;10524.0;10401.0;125.0;-1.9;-1.7;-18.8;104.4;104.4;104.7
62;01 Landbouw;2013;11347;11212;135;10539.0;10415.0;126.0;0.1;0.1;0.8;107.7;107.7;107.1
63;01 Landbouw;2014;10868;10720;148;10670.0;10538.0;134.0;1.2;1.2;6.7;101.9;101.7;110.0
64;01 Landbouw;2015;11334;11171;163;10649.0;10502.0;147.0;-0.2;-0.3;9.5;106.4;106.4;110.7
65;01 Landbouw;2016;11360;11194;166;10703.0;10555.0;149.0;0.5;0.5;1.2;106.1;106.1;111.4
66;02 Bosbouw;1995;53;53;0;58.0;58.0;;;;;90.7;90.7;
67;02 Bosbouw;1996;51;51;0;56.0;56.0;;-3.8;-3.8;;90.7;90.7;
68;02 Bosbouw;1997;50;50;0;57.0;57.0;;2.0;2.0;;87.2;87.2;
69;02 Bosbouw;1998;50;50;0;56.0;56.0;;-2.0;-2.0;;89.0;89.0;
70;02 Bosbouw;1999;58;58;0;64.0;64.0;;14.0;14.0;;90.5;90.5;
71;02 Bosbouw;2000;59;59;0;64.0;64.0;;0.0;0.0;;92.1;92.1;
72;02 Bosbouw;2001;65;65;0;61.0;61.0;;-5.1;-5.1;;106.9;106.9;
73;02 Bosbouw;2002;59;59;0;58.0;58.0;;-4.6;-4.6;;101.7;101.7;
74;02 Bosbouw;2003;62;62;0;61.0;61.0;;5.1;5.1;;101.7;101.7;
75;02 Bosbouw;2004;63;63;0;59.0;59.0;;-3.2;-3.2;;106.8;106.8;
76;02 Bosbouw;2005;73;73;0;69.0;69.0;;17.5;17.5;;105.4;105.4;
77;02 Bosbouw;2006;92;92;0;87.0;87.0;;26.0;26.0;;105.4;105.4;
78;02 Bosbouw;2007;98;98;0;92.0;92.0;;5.4;5.4;;106.5;106.5;
79;02 Bosbouw;2008;103;103;0;103.0;103.0;;12.2;12.2;;99.7;99.7;
80;02 Bosbouw;2009;96;96;0;98.0;98.0;;-4.9;-4.9;;97.6;97.6;
81;02 Bosbouw;2010;85;85;0;85.0;85.0;0.0;-13.5;-13.5;;100.0;100.0;
82;02 Bosbouw;2011;87;87;0;77.0;77.0;;-9.4;-9.4;;113.0;113.0;
83;02 Bosbouw;2012;105;105;0;88.0;88.0;;13.8;13.8;;119.8;119.8;
84;02 Bosbouw;2013;96;96;0;81.0;81.0;;-7.6;-7.6;;118.6;118.6;
85;02 Bosbouw;2014;98;98;0;87.0;87.0;;7.3;7.3;;112.8;112.8;
86;02 Bosbouw;2015;111;111;0;100.0;100.0;;15.3;15.3;;110.8;110.8;
87;02 Bosbouw;2016;114;114;0;101.0;101.0;;0.9;0.9;;112.8;112.8;
88;03 Visserij;1995;432;430;2;501.0;500.0;1.0;;;;86.2;86.0;150.0
89;03 Visserij;1996;431;429;2;487.0;486.0;1.0;-2.8;-2.8;0.0;88.5;88.3;150.0
90;03 Visserij;1997;429;427;2;448.0;446.0;1.0;-8.1;-8.2;0.0;95.9;95.7;150.0
91;03 Visserij;1998;441;439;2;463.0;462.0;1.0;3.5;3.5;0.0;95.2;95.0;150.0
92;03 Visserij;1999;457;455;2;468.0;467.0;1.0;1.1;1.1;0.0;97.6;97.4;150.0
93;03 Visserij;2000;454;452;2;437.0;435.0;1.0;-6.8;-6.8;0.0;104.0;103.8;150.0
94;03 Visserij;2001;495;493;2;456.0;455.0;1.0;4.4;4.4;0.0;108.6;108.4;150.0
95;03 Visserij;2002;467;465;2;427.0;426.0;1.0;-6.3;-6.3;0.0;109.3;109.1;150.0
96;03 Visserij;2003;468;466;2;433.0;432.0;1.0;1.3;1.3;0.0;108.1;108.0;150.0
97;03 Visserij;2004;439;437;2;438.0;437.0;1.0;1.3;1.3;0.0;100.1;99.9;150.0
98;03 Visserij;2005;462;460;2;451.0;450.0;1.0;3.0;3.0;0.0;102.4;102.2;150.0
99;03 Visserij;2006;454;452;2;403.0;401.0;1.0;-10.8;-10.9;0.0;112.8;112.6;150.0
100;03 Visserij;2007;498;496;2;463.0;461.0;2.0;15.0;14.8;50.0;107.6;107.6;100.0
101;03 Visserij;2008;478;476;2;446.0;444.0;2.0;-3.6;-3.6;0.0;107.2;107.2;100.0
102;03 Visserij;2009;368;366;2;384.0;382.0;2.0;-14.0;-14.1;0.0;95.9;95.9;100.0
103;03 Visserij;2010;419;417;2;419.0;417.0;2.0;9.2;9.3;0.0;100.0;100.0;100.0
104;03 Visserij;2011;422;420;2;378.0;376.0;2.0;-9.8;-9.8;0.0;111.6;111.7;100.0
105;03 Visserij;2012;452;450;2;375.0;373.0;2.0;-0.7;-0.7;0.0;120.4;120.5;100.0
106;03 Visserij;2013;379;377;2;339.0;337.0;2.0;-9.7;-9.8;0.0;111.9;111.9;100.0
107;03 Visserij;2014;394;392;2;328.0;326.0;2.0;-3.2;-3.2;0.0;120.1;120.2;100.0
108;03 Visserij;2015;449;447;2;336.0;334.0;2.0;2.5;2.6;0.0;133.5;133.7;100.0
109;03 Visserij;2016;513;511;2;352.0;350.0;2.0;4.7;4.7;0.0;145.7;145.9;100.0
110;B-E Nijverheid (geen bouw) en energie;1995;81573;76625;4948;111013.0;104785.0;6255.0;;;;73.5;73.1;79.1
111;B-E Nijverheid (geen bouw) en energie;1996;84787;79403;5384;114149.0;107412.0;6739.0;2.8;2.5;7.7;74.3;73.9;79.9
112;B-E Nijverheid (geen bouw) en energie;1997;92287;86299;5988;120034.0;112646.0;7368.0;5.2;4.9;9.3;76.9;76.6;81.3
113;B-E Nijverheid (geen bouw) en energie;1998;93707;87520;6187;124745.0;117248.0;7486.0;3.9;4.1;1.6;75.1;74.6;82.6
114;B-E Nijverheid (geen bouw) en energie;1999;97780;91335;6445;130364.0;122704.0;7665.0;4.5;4.7;2.4;75.0;74.4;84.1
115;B-E Nijverheid (geen bouw) en energie;2000;116105;109292;6813;138955.0;131014.0;7973.0;6.6;6.8;4.0;83.6;83.4;85.5
116;B-E Nijverheid (geen bouw) en energie;2001;115749;108925;6824;136754.0;128969.0;7817.0;-1.6;-1.6;-2.0;84.6;84.5;87.3
117;B-E Nijverheid (geen bouw) en energie;2002;115217;107880;7337;139318.0;131119.0;8223.0;1.9;1.7;5.2;82.7;82.3;89.2
118;B-E Nijverheid (geen bouw) en energie;2003;113605;106013;7592;137312.0;128873.0;8435.0;-1.4;-1.7;2.6;82.7;82.3;90.0
119;B-E Nijverheid (geen bouw) en energie;2004;121554;113179;8375;143335.0;134082.0;9210.0;4.4;4.0;9.2;84.8;84.4;90.9
120;B-E Nijverheid (geen bouw) en energie;2005;131920;122847;9073;145527.0;135628.0;9819.0;1.5;1.2;6.6;90.6;90.6;92.4
121;B-E Nijverheid (geen bouw) en energie;2006;144808;135039;9769;151087.0;140625.0;10376.0;3.8;3.7;5.7;95.8;96.0;94.2
122;B-E Nijverheid (geen bouw) en energie;2007;152233;142180;10053;155536.0;144953.0;10490.0;2.9;3.1;1.1;97.9;98.1;95.8
123;B-E Nijverheid (geen bouw) en energie;2008;158614;148239;10375;151390.0;140711.0;10597.0;-2.7;-2.9;1.0;104.8;105.3;97.9
124;B-E Nijverheid (geen bouw) en energie;2009;128354;118189;10165;137472.0;127181.0;10262.0;-9.2;-9.6;-3.2;93.4;92.9;99.1
125;B-E Nijverheid (geen bouw) en energie;2010;148421;137814;10607;148421.0;137814.0;10607.0;8.0;8.4;3.4;100.0;100.0;100.0
126;B-E Nijverheid (geen bouw) en energie;2011;170499;159316;11183;157124.0;146086.0;11038.0;5.9;6.0;4.1;108.5;109.1;101.3
127;B-E Nijverheid (geen bouw) en energie;2012;179519;167380;12139;160412.0;148550.0;11908.0;2.1;1.7;7.9;111.9;112.7;101.9
128;B-E Nijverheid (geen bouw) en energie;2013;179875;167478;12397;163525.0;151514.0;12049.0;1.9;2.0;1.2;110.0;110.5;102.9
129;B-E Nijverheid (geen bouw) en energie;2014;179315;166874;12441;168046.0;156095.0;11961.0;2.8;3.0;-0.7;106.7;106.9;104.0
130;B-E Nijverheid (geen bouw) en energie;2015;179758;166399;13359;174559.0;162033.0;12538.0;3.9;3.8;4.8;103.0;102.7;106.5
131;B-E Nijverheid (geen bouw) en energie;2016;179557;166671;12886;180958.0;169034.0;11976.0;3.7;4.3;-4.5;99.2;98.6;107.6
132;B Delfstoffenwinning;1995;3341;2503;838;7835.0;6689.0;1234.0;;;;42.6;37.4;67.9
133;B Delfstoffenwinning;1996;4196;3169;1027;8848.0;7432.0;1461.0;12.9;11.1;18.4;47.4;42.6;70.3
134;B Delfstoffenwinning;1997;4267;3142;1125;8066.0;6456.0;1525.0;-8.8;-13.1;4.4;52.9;48.7;73.8
135;B Delfstoffenwinning;1998;3849;2645;1204;7523.0;5745.0;1605.0;-6.7;-11.0;5.2;51.2;46.0;75.0
136;B Delfstoffenwinning;1999;3477;2386;1091;7123.0;5611.0;1415.0;-5.3;-2.3;-11.9;48.8;42.5;77.1
137;B Delfstoffenwinning;2000;5022;3953;1069;7459.0;6109.0;1352.0;4.7;8.9;-4.4;67.3;64.7;79.1
138;B Delfstoffenwinning;2001;7257;6016;1241;9067.0;7596.0;1505.0;21.6;24.3;11.3;80.0;79.2;82.4
139;B Delfstoffenwinning;2002;6078;4892;1186;9095.0;7749.0;1385.0;0.3;2.0;-8.0;66.8;63.1;85.6
140;B Delfstoffenwinning;2003;6170;4839;1331;9012.0;7435.0;1552.0;-0.9;-4.0;12.1;68.5;65.1;85.7
141;B Delfstoffenwinning;2004;7172;5848;1324;10682.0;9211.0;1537.0;18.5;23.9;-1.0;67.1;63.5;86.1
142;B Delfstoffenwinning;2005;8107;6711;1396;9772.0;8202.0;1572.0;-8.5;-11.0;2.3;83.0;81.8;88.8
143;B Delfstoffenwinning;2006;10905;9366;1539;9934.0;8277.0;1654.0;1.7;0.9;5.2;109.8;113.2;93.0
144;B Delfstoffenwinning;2007;10190;8702;1488;9971.0;8383.0;1568.0;0.4;1.3;-5.2;102.2;103.8;94.9
145;B Delfstoffenwinning;2008;14959;13390;1569;11270.0;9633.0;1601.0;13.0;14.9;2.1;132.7;139.0;98.0
146;B Delfstoffenwinning;2009;11141;9541;1600;10549.0;8938.0;1609.0;-6.4;-7.2;0.5;105.6;106.7;99.4
147;B Delfstoffenwinning;2010;11556;9768;1788;11556.0;9768.0;1788.0;9.6;9.3;11.1;100.0;100.0;100.0
148;B Delfstoffenwinning;2011;13108;11153;1955;11223.0;9300.0;1923.0;-2.9;-4.8;7.6;116.8;119.9;101.7
149;B Delfstoffenwinning;2012;15406;13144;2262;11434.0;9282.0;2188.0;1.9;-0.2;13.8;134.7;141.6;103.4
150;B Delfstoffenwinning;2013;16789;14298;2491;12554.0;10224.0;2356.0;9.8;10.2;7.7;133.7;139.8;105.7
151;B Delfstoffenwinning;2014;13315;10462;2853;11261.0;8769.0;2644.0;-10.3;-14.2;12.2;118.2;119.3;107.9
152;B Delfstoffenwinning;2015;10767;7373;3394;9836.0;6939.0;3106.0;-12.7;-20.9;17.5;109.5;106.2;109.3
153;B Delfstoffenwinning;2016;8266;5914;2352;9472.0;7575.0;2124.0;-3.7;9.2;-31.6;87.3;78.1;110.7
154;06 Winning van aardolie en aardgas;1995;3080;2284;796;7632.0;6572.0;1185.0;;;;40.4;34.8;67.1
155;06 Winning van aardolie en aardgas;1996;3918;2946;972;8657.0;7358.0;1395.0;13.4;12.0;17.7;45.3;40.0;69.7
156;06 Winning van aardolie en aardgas;1997;3964;2904;1060;7804.0;6299.0;1450.0;-9.9;-14.4;3.9;50.8;46.1;73.1
157;06 Winning van aardolie en aardgas;1998;3544;2404;1140;7218.0;5520.0;1533.0;-7.5;-12.4;5.8;49.1;43.6;74.3
158;06 Winning van aardolie en aardgas;1999;3126;2100;1026;6658.0;5212.0;1344.0;-7.8;-5.6;-12.4;47.0;40.3;76.4
159;06 Winning van aardolie en aardgas;2000;4670;3662;1008;6981.0;5704.0;1284.0;4.9;9.4;-4.5;66.9;64.2;78.5
160;06 Winning van aardolie en aardgas;2001;6879;5700;1179;8617.0;7218.0;1439.0;23.4;26.5;12.1;79.8;79.0;81.9
161;06 Winning van aardolie en aardgas;2002;5714;4590;1124;8669.0;7394.0;1321.0;0.6;2.4;-8.2;65.9;62.1;85.1
162;06 Winning van aardolie en aardgas;2003;5845;4577;1268;8631.0;7122.0;1490.0;-0.4;-3.7;12.8;67.7;64.3;85.1
163;06 Winning van aardolie en aardgas;2004;6886;5614;1272;10368.0;8954.0;1487.0;20.1;25.7;-0.2;66.4;62.7;85.5
164;06 Winning van aardolie en aardgas;2005;7840;6483;1357;9475.0;7942.0;1536.0;-8.6;-11.3;3.3;82.7;81.6;88.3
165;06 Winning van aardolie en aardgas;2006;10720;9221;1499;9724.0;8107.0;1617.0;2.6;2.1;5.2;110.2;113.7;92.7
166;06 Winning van aardolie en aardgas;2007;10013;8566;1447;9768.0;8222.0;1527.0;0.4;1.4;-5.5;102.5;104.2;94.7
167;06 Winning van aardolie en aardgas;2008;14763;13236;1527;11066.0;9473.0;1557.0;13.3;15.2;1.9;133.4;139.7;98.1
168;06 Winning van aardolie en aardgas;2009;10983;9423;1560;10377.0;8807.0;1568.0;-6.2;-7.0;0.7;105.8;107.0;99.5
169;06 Winning van aardolie en aardgas;2010;11378;9629;1749;11378.0;9629.0;1749.0;9.7;9.3;11.5;100.0;100.0;100.0
170;06 Winning van aardolie en aardgas;2011;12915;11000;1915;11041.0;9158.0;1883.0;-3.0;-4.9;7.7;117.0;120.1;101.7
171;06 Winning van aardolie en aardgas;2012;15272;13047;2225;11313.0;9195.0;2151.0;2.5;0.4;14.3;135.0;141.9;103.4
172;06 Winning van aardolie en aardgas;2013;16661;14198;2463;12436.0;10135.0;2328.0;9.9;10.2;8.2;134.0;140.1;105.8
173;06 Winning van aardolie en aardgas;2014;13175;10350;2825;11134.0;8672.0;2617.0;-10.5;-14.4;12.4;118.3;119.3;108.0
174;06 Winning van aardolie en aardgas;2015;10622;7266;3356;9708.0;6850.0;3069.0;-12.8;-21.0;17.3;109.4;106.1;109.4
175;06 Winning van aardolie en aardgas;2016;8145;5834;2311;9367.0;7512.0;2085.0;-3.5;9.7;-32.1;87.0;77.7;110.8
176;08 Delfstoffenwinning (geen olie en gas);1995;261;219;42;296.0;255.0;46.0;;;;88.0;85.9;92.0
177;08 Delfstoffenwinning (geen olie en gas);1996;278;223;55;317.0;261.0;60.0;6.9;2.3;31.0;87.7;85.5;92.0
178;08 Delfstoffenwinning (geen olie en gas);1997;303;238;65;334.0;270.0;67.0;5.4;3.6;12.7;90.7;88.1;96.5
179;08 Delfstoffenwinning (geen olie en gas);1998;305;241;64;346.0;285.0;65.0;3.6;5.5;-3.1;88.1;84.6;98.0
180;08 Delfstoffenwinning (geen olie en gas);1999;351;286;65;426.0;370.0;63.0;23.0;29.9;-3.1;82.5;77.3;102.8
181;08 Delfstoffenwinning (geen olie en gas);2000;352;291;61;440.0;388.0;61.0;3.4;4.9;-3.1;80.0;75.0;99.5
182;08 Delfstoffenwinning (geen olie en gas);2001;378;316;62;426.0;375.0;60.0;-3.1;-3.4;-1.6;88.7;84.4;102.8
183;08 Delfstoffenwinning (geen olie en gas);2002;364;302;62;404.0;353.0;58.0;-5.3;-5.7;-3.2;90.2;85.5;106.2
184;08 Delfstoffenwinning (geen olie en gas);2003;325;262;63;370.0;319.0;57.0;-8.2;-9.6;-1.6;87.7;82.0;109.7
185;08 Delfstoffenwinning (geen olie en gas);2004;286;234;52;333.0;293.0;47.0;-10.2;-8.4;-17.5;85.9;80.0;109.7
186;08 Delfstoffenwinning (geen olie en gas);2005;267;228;39;312.0;285.0;36.0;-6.3;-2.6;-23.1;85.6;80.0;107.0
187;08 Delfstoffenwinning (geen olie en gas);2006;185;145;40;229.0;194.0;38.0;-26.6;-32.0;5.1;80.8;74.8;104.4
188;08 Delfstoffenwinning (geen olie en gas);2007;177;136;41;219.0;179.0;41.0;-4.3;-7.6;7.5;80.8;75.9;99.5
189;08 Delfstoffenwinning (geen olie en gas);2008;196;154;42;215.0;171.0;44.0;-1.7;-4.4;7.3;91.0;90.0;95.0
190;08 Delfstoffenwinning (geen olie en gas);2009;158;118;40;174.0;132.0;41.0;-19.4;-22.7;-7.1;91.0;89.2;97.4
191;08 Delfstoffenwinning (geen olie en gas);2010;178;139;39;178.0;139.0;39.0;2.5;5.1;-5.0;100.0;100.0;100.0
192;08 Delfstoffenwinning (geen olie en gas);2011;193;153;40;182.0;142.0;40.0;2.2;2.2;2.6;106.0;107.7;100.0
193;08 Delfstoffenwinning (geen olie en gas);2012;134;97;37;115.0;80.0;36.0;-36.8;-43.8;-10.0;116.5;121.5;102.8
194;08 Delfstoffenwinning (geen olie en gas);2013;128;100;28;109.0;81.0;27.0;-5.2;2.1;-24.3;117.4;122.8;102.8
195;08 Delfstoffenwinning (geen olie en gas);2014;140;112;28;121.0;93.0;27.0;10.9;14.0;0.0;115.7;120.6;102.8
196;08 Delfstoffenwinning (geen olie en gas);2015;145;107;38;123.0;86.0;37.0;1.4;-7.1;35.7;118.2;124.1;102.8
197;08 Delfstoffenwinning (geen olie en gas);2016;121;80;41;102.0;64.0;40.0;-16.6;-25.2;7.9;118.2;124.1;102.8
198;09 Dienstverlening delfstoffenwinning;1995;0;0;0;;;;;;;;;
199;09 Dienstverlening delfstoffenwinning;1996;0;0;0;;;;;;;;;
200;09 Dienstverlening delfstoffenwinning;1997;0;0;0;;;;;;;;;
201;09 Dienstverlening delfstoffenwinning;1998;0;0;0;;;;;;;;;
202;09 Dienstverlening delfstoffenwinning;1999;0;0;0;;;;;;;;;
203;09 Dienstverlening delfstoffenwinning;2000;0;0;0;;;;;;;;;
204;09 Dienstverlening delfstoffenwinning;2001;0;0;0;;;;;;;;;
205;09 Dienstverlening delfstoffenwinning;2002;0;0;0;;;;;;;;;
206;09 Dienstverlening delfstoffenwinning;2003;0;0;0;;;;;;;;;
207;09 Dienstverlening delfstoffenwinning;2004;0;0;0;;;;;;;;;
208;09 Dienstverlening delfstoffenwinning;2005;0;0;0;;;;;;;;;
209;09 Dienstverlening delfstoffenwinning;2006;0;0;0;;;;;;;;;
210;09 Dienstverlening delfstoffenwinning;2007;0;0;0;;;;;;;;;
211;09 Dienstverlening delfstoffenwinning;2008;0;0;0;;;;;;;;;
212;09 Dienstverlening delfstoffenwinning;2009;0;0;0;;;;;;;;;
213;09 Dienstverlening delfstoffenwinning;2010;0;0;0;0.0;0.0;0.0;;;;;;
214;09 Dienstverlening delfstoffenwinning;2011;0;0;0;;;;;;;;;
215;09 Dienstverlening delfstoffenwinning;2012;0;0;0;;;;;;;;;
216;09 Dienstverlening delfstoffenwinning;2013;0;0;0;;;;;;;;;
217;09 Dienstverlening delfstoffenwinning;2014;0;0;0;;;;;;;;;
218;09 Dienstverlening delfstoffenwinning;2015;0;0;0;;;;;;;;;
219;09 Dienstverlening delfstoffenwinning;2016;0;0;0;;;;;;;;;
220;C Industrie;1995;77826;73806;4020;102903.0;97996.0;4945.0;;;;75.6;75.3;81.3
