ID;CPA;Perioden;Prijsindexcijfers_1;Kwartaalmutaties_2;Jaarmutaties_3
113;60 Vervoer te land en vervoer via pijp..;2007 1e kwartaal;101.5;1.4;1.8
114;60 Vervoer te land en vervoer via pijp..;2007 2e kwartaal;102.3;0.7;2.4
115;60 Vervoer te land en vervoer via pijp..;2007 3e kwartaal;102.5;0.2;2.2
116;60 Vervoer te land en vervoer via pijp..;2007 4e kwartaal;103.0;0.5;2.9
117;60 Vervoer te land en vervoer via pijp..;2007;102.3;;2.3
118;60 Vervoer te land en vervoer via pijp..;2008 1e kwartaal;105.6;2.5;4.0
119;60 Vervoer te land en vervoer via pijp..;2008 2e kwartaal;106.6;0.9;4.2
120;60 Vervoer te land en vervoer via pijp..;2008 3e kwartaal;108.0;1.4;5.4
121;60 Vervoer te land en vervoer via pijp..;2008 4e kwartaal;107.1;-0.9;4.0
122;60 Vervoer te land en vervoer via pijp..;2008;106.8;;4.4
123;60 Vervoer te land en vervoer via pijp..;2009 1e kwartaal;106.4;-0.7;0.7
124;60 Vervoer te land en vervoer via pijp..;2009 2e kwartaal;105.7;-0.7;-0.8
125;60 Vervoer te land en vervoer via pijp..;2009 3e kwartaal;105.1;-0.6;-2.8
126;60 Vervoer te land en vervoer via pijp..;2009 4e kwartaal;105.2;0.2;-1.7
127;60 Vervoer te land en vervoer via pijp..;2009;105.6;;-1.2
128;60 Vervoer te land en vervoer via pijp..;2010 1e kwartaal;104.8;-0.5;-1.5
129;60 Vervoer te land en vervoer via pijp..;2010 2e kwartaal;105.8;1.0;0.1
130;60 Vervoer te land en vervoer via pijp..;2010 3e kwartaal;105.8;-0.1;0.7
131;60 Vervoer te land en vervoer via pijp..;2010 4e kwartaal;106.1;0.3;0.8
132;60 Vervoer te land en vervoer via pijp..;2010;105.6;;0.0
133;60 Vervoer te land en vervoer via pijp..;2011 1e kwartaal;108.3;2.1;3.4
134;60 Vervoer te land en vervoer via pijp..;2011 2e kwartaal;109.6;1.2;3.6
135;60 Vervoer te land en vervoer via pijp..;2011 3e kwartaal;109.3;-0.2;3.4
136;60 Vervoer te land en vervoer via pijp..;2011 4e kwartaal;109.6;0.3;3.4
137;60 Vervoer te land en vervoer via pijp..;2011;109.2;;3.4
138;6024 Totaal goederenvervoer over de weg;2002 4e kwartaal;;;
139;6024 Totaal goederenvervoer over de weg;2003 1e kwartaal;93.1;;
140;6024 Totaal goederenvervoer over de weg;2003 2e kwartaal;93.7;0.6;
141;6024 Totaal goederenvervoer over de weg;2003 3e kwartaal;93.8;0.1;
142;6024 Totaal goederenvervoer over de weg;2003 4e kwartaal;93.7;0.0;
143;6024 Totaal goederenvervoer over de weg;2003;93.6;;
144;6024 Totaal goederenvervoer over de weg;2004 1e kwartaal;94.2;0.5;1.1
145;6024 Totaal goederenvervoer over de weg;2004 2e kwartaal;94.6;0.5;1.0
146;6024 Totaal goederenvervoer over de weg;2004 3e kwartaal;94.8;0.2;1.1
147;6024 Totaal goederenvervoer over de weg;2004 4e kwartaal;95.6;0.9;2.0
148;6024 Totaal goederenvervoer over de weg;2004;94.8;;1.3
149;6024 Totaal goederenvervoer over de weg;2005 1e kwartaal;97.3;1.7;3.3
150;6024 Totaal goederenvervoer over de weg;2005 2e kwartaal;97.6;0.4;3.2
151;6024 Totaal goederenvervoer over de weg;2005 3e kwartaal;97.9;0.3;3.3
152;6024 Totaal goederenvervoer over de weg;2005 4e kwartaal;98.2;0.3;2.7
153;6024 Totaal goederenvervoer over de weg;2005;97.8;;3.1
154;6024 Totaal goederenvervoer over de weg;2006 1e kwartaal;99.7;1.5;2.5
155;6024 Totaal goederenvervoer over de weg;2006 2e kwartaal;99.9;0.2;2.3
156;6024 Totaal goederenvervoer over de weg;2006 3e kwartaal;100.3;0.4;2.4
157;6024 Totaal goederenvervoer over de weg;2006 4e kwartaal;100.1;-0.1;1.9
158;6024 Totaal goederenvervoer over de weg;2006;100.0;;2.3
159;6024 Totaal goederenvervoer over de weg;2007 1e kwartaal;101.5;1.4;1.8
160;6024 Totaal goederenvervoer over de weg;2007 2e kwartaal;102.3;0.7;2.4
161;6024 Totaal goederenvervoer over de weg;2007 3e kwartaal;102.5;0.2;2.2
162;6024 Totaal goederenvervoer over de weg;2007 4e kwartaal;103.0;0.5;2.9
163;6024 Totaal goederenvervoer over de weg;2007;102.3;;2.3
164;6024 Totaal goederenvervoer over de weg;2008 1e kwartaal;105.6;2.5;4.0
165;6024 Totaal goederenvervoer over de weg;2008 2e kwartaal;106.6;0.9;4.2
166;6024 Totaal goederenvervoer over de weg;2008 3e kwartaal;108.0;1.4;5.4
167;6024 Totaal goederenvervoer over de weg;2008 4e kwartaal;107.1;-0.9;4.0
168;6024 Totaal goederenvervoer over de weg;2008;106.8;;4.4
169;6024 Totaal goederenvervoer over de weg;2009 1e kwartaal;106.4;-0.7;0.7
170;6024 Totaal goederenvervoer over de weg;2009 2e kwartaal;105.7;-0.7;-0.8
171;6024 Totaal goederenvervoer over de weg;2009 3e kwartaal;105.1;-0.6;-2.8
172;6024 Totaal goederenvervoer over de weg;2009 4e kwartaal;105.2;0.2;-1.7
173;6024 Totaal goederenvervoer over de weg;2009;105.6;;-1.2
174;6024 Totaal goederenvervoer over de weg;2010 1e kwartaal;104.8;-0.5;-1.5
175;6024 Totaal goederenvervoer over de weg;2010 2e kwartaal;105.8;1.0;0.1
176;6024 Totaal goederenvervoer over de weg;2010 3e kwartaal;105.8;-0.1;0.7
177;6024 Totaal goederenvervoer over de weg;2010 4e kwartaal;106.1;0.3;0.8
178;6024 Totaal goederenvervoer over de weg;2010;105.6;;0.0
179;6024 Totaal goederenvervoer over de weg;2011 1e kwartaal;108.3;2.1;3.4
180;6024 Totaal goederenvervoer over de weg;2011 2e kwartaal;109.6;1.2;3.6
181;6024 Totaal goederenvervoer over de weg;2011 3e kwartaal;109.3;-0.2;3.4
182;6024 Totaal goederenvervoer over de weg;2011 4e kwartaal;109.6;0.3;3.4
183;6024 Totaal goederenvervoer over de weg;2011;109.2;;3.4
184;6024A Totaal containervervoer;2002 4e kwartaal;;;
185;6024A Totaal containervervoer;2003 1e kwartaal;94.1;;
186;6024A Totaal containervervoer;2003 2e kwartaal;94.0;-0.1;
187;6024A Totaal containervervoer;2003 3e kwartaal;94.3;0.3;
188;6024A Totaal containervervoer;2003 4e kwartaal;94.0;-0.3;
189;6024A Totaal containervervoer;2003;94.1;;
190;6024A Totaal containervervoer;2004 1e kwartaal;94.3;0.3;0.2
191;6024A Totaal containervervoer;2004 2e kwartaal;94.1;-0.2;0.1
192;6024A Totaal containervervoer;2004 3e kwartaal;94.3;0.2;0.0
193;6024A Totaal containervervoer;2004 4e kwartaal;94.8;0.5;0.8
194;6024A Totaal containervervoer;2004;94.4;;0.3
195;6024A Totaal containervervoer;2005 1e kwartaal;97.0;2.3;2.8
196;6024A Totaal containervervoer;2005 2e kwartaal;97.3;0.4;3.4
197;6024A Totaal containervervoer;2005 3e kwartaal;97.9;0.6;3.8
198;6024A Totaal containervervoer;2005 4e kwartaal;98.9;1.0;4.3
199;6024A Totaal containervervoer;2005;97.8;;3.6
200;6024A Totaal containervervoer;2006 1e kwartaal;99.3;0.5;2.4
201;6024A Totaal containervervoer;2006 2e kwartaal;99.8;0.5;2.5
202;6024A Totaal containervervoer;2006 3e kwartaal;100.3;0.5;2.5
203;6024A Totaal containervervoer;2006 4e kwartaal;100.5;0.2;1.6
204;6024A Totaal containervervoer;2006;100.0;;2.3
205;6024A Totaal containervervoer;2007 1e kwartaal;102.8;2.2;3.5
206;6024A Totaal containervervoer;2007 2e kwartaal;102.9;0.2;3.1
207;6024A Totaal containervervoer;2007 3e kwartaal;104.0;1.0;3.6
208;6024A Totaal containervervoer;2007 4e kwartaal;104.0;0.1;3.5
209;6024A Totaal containervervoer;2007;103.4;;3.4
210;6024A Totaal containervervoer;2008 1e kwartaal;108.5;4.3;5.6
211;6024A Totaal containervervoer;2008 2e kwartaal;108.5;0.0;5.4
212;6024A Totaal containervervoer;2008 3e kwartaal;111.3;2.5;7.0
213;6024A Totaal containervervoer;2008 4e kwartaal;110.3;-0.8;6.0
214;6024A Totaal containervervoer;2008;109.7;;6.0
215;6024A Totaal containervervoer;2009 1e kwartaal;106.7;-3.3;-1.7
216;6024A Totaal containervervoer;2009 2e kwartaal;106.8;0.1;-1.6
217;6024A Totaal containervervoer;2009 3e kwartaal;105.5;-1.2;-5.2
218;6024A Totaal containervervoer;2009 4e kwartaal;105.7;0.2;-4.2
219;6024A Totaal containervervoer;2009;106.2;;-3.2
220;6024A Totaal containervervoer;2010 1e kwartaal;105.3;-0.4;-1.3
221;6024A Totaal containervervoer;2010 2e kwartaal;106.8;1.4;0.0
222;6024A Totaal containervervoer;2010 3e kwartaal;106.9;0.1;1.3
223;6024A Totaal containervervoer;2010 4e kwartaal;106.9;0.0;1.2
224;6024A Totaal containervervoer;2010;106.5;;0.3
225;6024A Totaal containervervoer;2011 1e kwartaal;111.4;4.2;5.8
226;6024A Totaal containervervoer;2011 2e kwartaal;115.0;3.2;7.7
227;6024A Totaal containervervoer;2011 3e kwartaal;115.4;0.3;7.9
228;6024A Totaal containervervoer;2011 4e kwartaal;115.2;-0.1;7.7
229;6024A Totaal containervervoer;2011;114.2;;7.3
230;6024B Totaal verhuisvervoer;2002 4e kwartaal;;;
231;6024B Totaal verhuisvervoer;2003 1e kwartaal;94.7;;
232;6024B Totaal verhuisvervoer;2003 2e kwartaal;95.9;1.3;
233;6024B Totaal verhuisvervoer;2003 3e kwartaal;96.5;0.6;
234;6024B Totaal verhuisvervoer;2003 4e kwartaal;96.0;-0.5;
235;6024B Totaal verhuisvervoer;2003;95.8;;
236;6024B Totaal verhuisvervoer;2004 1e kwartaal;97.7;1.8;3.2
237;6024B Totaal verhuisvervoer;2004 2e kwartaal;97.5;-0.2;1.7
238;6024B Totaal verhuisvervoer;2004 3e kwartaal;97.7;0.2;1.3
239;6024B Totaal verhuisvervoer;2004 4e kwartaal;98.2;0.5;2.3
240;6024B Totaal verhuisvervoer;2004;97.8;;2.1
241;6024B Totaal verhuisvervoer;2005 1e kwartaal;98.1;-0.1;0.4
242;6024B Totaal verhuisvervoer;2005 2e kwartaal;98.2;0.1;0.7
243;6024B Totaal verhuisvervoer;2005 3e kwartaal;98.5;0.3;0.8
244;6024B Totaal verhuisvervoer;2005 4e kwartaal;98.7;0.2;0.5
245;6024B Totaal verhuisvervoer;2005;98.4;;0.6
246;6024B Totaal verhuisvervoer;2006 1e kwartaal;99.4;0.7;1.3
247;6024B Totaal verhuisvervoer;2006 2e kwartaal;99.9;0.5;1.7
248;6024B Totaal verhuisvervoer;2006 3e kwartaal;100.2;0.4;1.8
249;6024B Totaal verhuisvervoer;2006 4e kwartaal;100.5;0.3;1.9
250;6024B Totaal verhuisvervoer;2006;100.0;;1.7
251;6024B Totaal verhuisvervoer;2007 1e kwartaal;102.0;1.5;2.6
252;6024B Totaal verhuisvervoer;2007 2e kwartaal;103.9;1.8;4.0
253;6024B Totaal verhuisvervoer;2007 3e kwartaal;104.6;0.6;4.3
254;6024B Totaal verhuisvervoer;2007 4e kwartaal;105.1;0.6;4.6
255;6024B Totaal verhuisvervoer;2007;103.9;;3.9
256;6024B Totaal verhuisvervoer;2008 1e kwartaal;105.6;0.5;3.6
257;6024B Totaal verhuisvervoer;2008 2e kwartaal;105.7;0.0;1.7
258;6024B Totaal verhuisvervoer;2008 3e kwartaal;105.9;0.2;1.3
259;6024B Totaal verhuisvervoer;2008 4e kwartaal;104.9;-1.0;-0.3
260;6024B Totaal verhuisvervoer;2008;105.5;;1.6
261;6024B Totaal verhuisvervoer;2009 1e kwartaal;104.1;-0.7;-1.4
262;6024B Totaal verhuisvervoer;2009 2e kwartaal;102.5;-1.5;-3.0
263;6024B Totaal verhuisvervoer;2009 3e kwartaal;100.8;-1.7;-4.8
264;6024B Totaal verhuisvervoer;2009 4e kwartaal;100.5;-0.3;-4.2
265;6024B Totaal verhuisvervoer;2009;102.0;;-3.4
266;6024B Totaal verhuisvervoer;2010 1e kwartaal;100.6;0.2;-3.3
267;6024B Totaal verhuisvervoer;2010 2e kwartaal;101.3;0.7;-1.2
268;6024B Totaal verhuisvervoer;2010 3e kwartaal;103.4;2.0;2.6
269;6024B Totaal verhuisvervoer;2010 4e kwartaal;103.4;0.0;2.9
270;6024B Totaal verhuisvervoer;2010;102.2;;0.2
271;6024B Totaal verhuisvervoer;2011 1e kwartaal;103.5;0.1;2.8
272;6024B Totaal verhuisvervoer;2011 2e kwartaal;102.9;-0.6;1.5
273;6024B Totaal verhuisvervoer;2011 3e kwartaal;104.1;1.2;0.7
274;6024B Totaal verhuisvervoer;2011 4e kwartaal;102.6;-1.4;-0.7
275;6024B Totaal verhuisvervoer;2011;103.3;;1.1
276;6024C Totaal koel- en vriesvervoer;2002 4e kwartaal;;;
277;6024C Totaal koel- en vriesvervoer;2003 1e kwartaal;95.3;;
278;6024C Totaal koel- en vriesvervoer;2003 2e kwartaal;95.4;0.2;
279;6024C Totaal koel- en vriesvervoer;2003 3e kwartaal;95.4;0.0;
280;6024C Totaal koel- en vriesvervoer;2003 4e kwartaal;95.4;0.0;
281;6024C Totaal koel- en vriesvervoer;2003;95.4;;
282;6024C Totaal koel- en vriesvervoer;2004 1e kwartaal;95.7;0.3;0.5
283;6024C Totaal koel- en vriesvervoer;2004 2e kwartaal;95.6;-0.1;0.2
284;6024C Totaal koel- en vriesvervoer;2004 3e kwartaal;95.9;0.3;0.5
285;6024C Totaal koel- en vriesvervoer;2004 4e kwartaal;97.3;1.4;1.9
286;6024C Totaal koel- en vriesvervoer;2004;96.1;;0.8
287;6024C Totaal koel- en vriesvervoer;2005 1e kwartaal;98.2;1.0;2.6
288;6024C Totaal koel- en vriesvervoer;2005 2e kwartaal;99.3;1.1;3.8
289;6024C Totaal koel- en vriesvervoer;2005 3e kwartaal;98.8;-0.5;3.0
290;6024C Totaal koel- en vriesvervoer;2005 4e kwartaal;98.6;-0.2;1.4
291;6024C Totaal koel- en vriesvervoer;2005;98.7;;2.7
292;6024C Totaal koel- en vriesvervoer;2006 1e kwartaal;99.5;0.8;1.2
293;6024C Totaal koel- en vriesvervoer;2006 2e kwartaal;99.9;0.4;0.6
294;6024C Totaal koel- en vriesvervoer;2006 3e kwartaal;100.5;0.6;1.7
295;6024C Totaal koel- en vriesvervoer;2006 4e kwartaal;100.2;-0.2;1.6
296;6024C Totaal koel- en vriesvervoer;2006;100.0;;1.3
297;6024C Totaal koel- en vriesvervoer;2007 1e kwartaal;100.4;0.2;0.9
298;6024C Totaal koel- en vriesvervoer;2007 2e kwartaal;101.2;0.8;1.3
299;6024C Totaal koel- en vriesvervoer;2007 3e kwartaal;100.5;-0.6;0.1
300;6024C Totaal koel- en vriesvervoer;2007 4e kwartaal;100.8;0.3;0.6
301;6024C Totaal koel- en vriesvervoer;2007;100.7;;0.7
302;6024C Totaal koel- en vriesvervoer;2008 1e kwartaal;102.2;1.4;1.8
303;6024C Totaal koel- en vriesvervoer;2008 2e kwartaal;103.8;1.5;2.6
304;6024C Totaal koel- en vriesvervoer;2008 3e kwartaal;104.6;0.8;4.0
305;6024C Totaal koel- en vriesvervoer;2008 4e kwartaal;102.3;-2.2;1.4
306;6024C Totaal koel- en vriesvervoer;2008;103.2;;2.5
307;6024C Totaal koel- en vriesvervoer;2009 1e kwartaal;102.5;0.2;0.3
308;6024C Totaal koel- en vriesvervoer;2009 2e kwartaal;102.2;-0.3;-1.6
309;6024C Totaal koel- en vriesvervoer;2009 3e kwartaal;101.1;-1.0;-3.3
310;6024C Totaal koel- en vriesvervoer;2009 4e kwartaal;101.0;-0.1;-1.2
311;6024C Totaal koel- en vriesvervoer;2009;101.7;;-1.5
312;6024C Totaal koel- en vriesvervoer;2010 1e kwartaal;101.5;0.5;-1.0
313;6024C Totaal koel- en vriesvervoer;2010 2e kwartaal;100.5;-1.0;-1.6
314;6024C Totaal koel- en vriesvervoer;2010 3e kwartaal;98.7;-1.8;-2.4
315;6024C Totaal koel- en vriesvervoer;2010 4e kwartaal;98.8;0.1;-2.2
316;6024C Totaal koel- en vriesvervoer;2010;99.9;;-1.8
317;6024C Totaal koel- en vriesvervoer;2011 1e kwartaal;100.9;2.1;-0.6
318;6024C Totaal koel- en vriesvervoer;2011 2e kwartaal;100.6;-0.3;0.0
319;6024C Totaal koel- en vriesvervoer;2011 3e kwartaal;100.5;0.0;1.8
320;6024C Totaal koel- en vriesvervoer;2011 4e kwartaal;100.6;0.1;1.8
321;6024C Totaal koel- en vriesvervoer;2011;100.7;;0.8
322;6024D Totaal tankvervoer;2002 4e kwartaal;;;
323;6024D Totaal tankvervoer;2003 1e kwartaal;94.7;;
324;6024D Totaal tankvervoer;2003 2e kwartaal;95.6;0.9;
325;6024D Totaal tankvervoer;2003 3e kwartaal;95.6;0.0;
326;6024D Totaal tankvervoer;2003 4e kwartaal;95.8;0.2;
327;6024D Totaal tankvervoer;2003;95.4;;
328;6024D Totaal tankvervoer;2004 1e kwartaal;95.9;0.1;1.2
329;6024D Totaal tankvervoer;2004 2e kwartaal;95.8;-0.1;0.2
330;6024D Totaal tankvervoer;2004 3e kwartaal;95.9;0.1;0.3
331;6024D Totaal tankvervoer;2004 4e kwartaal;96.3;0.5;0.6
332;6024D Totaal tankvervoer;2004;96.0;;0.6
333;6024D Totaal tankvervoer;2005 1e kwartaal;97.7;1.4;1.9
334;6024D Totaal tankvervoer;2005 2e kwartaal;98.1;0.4;2.4
335;6024D Totaal tankvervoer;2005 3e kwartaal;98.4;0.4;2.7
336;6024D Totaal tankvervoer;2005 4e kwartaal;98.7;0.2;2.4
337;6024D Totaal tankvervoer;2005;98.2;;2.3
338;6024D Totaal tankvervoer;2006 1e kwartaal;100.0;1.3;2.3
339;6024D Totaal tankvervoer;2006 2e kwartaal;99.7;-0.3;1.6
340;6024D Totaal tankvervoer;2006 3e kwartaal;99.7;0.0;1.2
341;6024D Totaal tankvervoer;2006 4e kwartaal;100.7;1.0;2.1
342;6024D Totaal tankvervoer;2006;100.0;;1.8
343;6024D Totaal tankvervoer;2007 1e kwartaal;101.3;0.6;1.4
344;6024D Totaal tankvervoer;2007 2e kwartaal;101.9;0.6;2.3
345;6024D Totaal tankvervoer;2007 3e kwartaal;102.6;0.6;2.9
346;6024D Totaal tankvervoer;2007 4e kwartaal;103.9;1.3;3.2
347;6024D Totaal tankvervoer;2007;102.4;;2.4
348;6024D Totaal tankvervoer;2008 1e kwartaal;105.8;1.8;4.4
349;6024D Totaal tankvervoer;2008 2e kwartaal;106.3;0.5;4.3
350;6024D Totaal tankvervoer;2008 3e kwartaal;107.7;1.3;5.0
351;6024D Totaal tankvervoer;2008 4e kwartaal;107.5;-0.2;3.4
352;6024D Totaal tankvervoer;2008;106.8;;4.3
353;6024D Totaal tankvervoer;2009 1e kwartaal;104.2;-3.1;-1.5
354;6024D Totaal tankvervoer;2009 2e kwartaal;103.6;-0.6;-2.6
355;6024D Totaal tankvervoer;2009 3e kwartaal;104.3;0.7;-3.1
356;6024D Totaal tankvervoer;2009 4e kwartaal;104.0;-0.3;-3.2
357;6024D Totaal tankvervoer;2009;104.0;;-2.6
358;6024D Totaal tankvervoer;2010 1e kwartaal;102.6;-1.3;-1.5
359;6024D Totaal tankvervoer;2010 2e kwartaal;103.2;0.5;-0.4
360;6024D Totaal tankvervoer;2010 3e kwartaal;103.2;0.1;-1.0
361;6024D Totaal tankvervoer;2010 4e kwartaal;103.5;0.3;-0.5
362;6024D Totaal tankvervoer;2010;103.1;;-0.8
363;6024D Totaal tankvervoer;2011 1e kwartaal;106.1;2.5;3.3
364;6024D Totaal tankvervoer;2011 2e kwartaal;107.3;1.2;4.0
