ID;SoortBromfiets;RegioS;Perioden;VoertuigenMetBromfietskenteken_1;VoertuigenPer1000Inwoners_2
4161;Voertuigen met bromfietskenteken;Maasdriel;2008;1461.0;62.0
4162;Voertuigen met bromfietskenteken;Maasdriel;2009;1644.0;69.0
4163;Voertuigen met bromfietskenteken;Maasdriel;2010;1832.0;77.0
4164;Voertuigen met bromfietskenteken;Maasdriel;2011;1967.0;82.0
4165;Voertuigen met bromfietskenteken;Maasdriel;2012;2058.0;86.0
4166;Voertuigen met bromfietskenteken;Maasdriel;2013;2055.0;85.0
4167;Voertuigen met bromfietskenteken;Maasdriel;2014;2056.0;85.0
4168;Voertuigen met bromfietskenteken;Maasdriel;2015;2057.0;85.0
4169;Voertuigen met bromfietskenteken;Maasdriel;2016;2077.0;86.0
4170;Voertuigen met bromfietskenteken;Maasdriel;2017;2098.0;87.0
4171;Voertuigen met bromfietskenteken;Maasdriel;2018;2105.0;86.0
4172;Voertuigen met bromfietskenteken;Maasdriel;2019;2199.0;89.0
4173;Voertuigen met bromfietskenteken;Maasdriel;2020;2265.0;90.0
4174;Voertuigen met bromfietskenteken;Maasdriel;2021;2343.0;92.0
4175;Voertuigen met bromfietskenteken;Maasdriel;2022;2430.0;95.0
4176;Voertuigen met bromfietskenteken;Maasgouw;2007;904.0;37.0
4177;Voertuigen met bromfietskenteken;Maasgouw;2008;933.0;38.0
4178;Voertuigen met bromfietskenteken;Maasgouw;2009;1061.0;43.0
4179;Voertuigen met bromfietskenteken;Maasgouw;2010;1053.0;43.0
4180;Voertuigen met bromfietskenteken;Maasgouw;2011;1184.0;49.0
4181;Voertuigen met bromfietskenteken;Maasgouw;2012;1172.0;49.0
4182;Voertuigen met bromfietskenteken;Maasgouw;2013;1214.0;51.0
4183;Voertuigen met bromfietskenteken;Maasgouw;2014;1301.0;54.0
4184;Voertuigen met bromfietskenteken;Maasgouw;2015;1380.0;58.0
4185;Voertuigen met bromfietskenteken;Maasgouw;2016;1458.0;61.0
4186;Voertuigen met bromfietskenteken;Maasgouw;2017;1591.0;67.0
4187;Voertuigen met bromfietskenteken;Maasgouw;2018;1702.0;72.0
4188;Voertuigen met bromfietskenteken;Maasgouw;2019;1786.0;75.0
4189;Voertuigen met bromfietskenteken;Maasgouw;2020;1869.0;78.0
4190;Voertuigen met bromfietskenteken;Maasgouw;2021;1989.0;83.0
4191;Voertuigen met bromfietskenteken;Maasgouw;2022;2119.0;88.0
4192;Voertuigen met bromfietskenteken;Maashorst;2007;;
4193;Voertuigen met bromfietskenteken;Maashorst;2008;;
4194;Voertuigen met bromfietskenteken;Maashorst;2009;;
4195;Voertuigen met bromfietskenteken;Maashorst;2010;;
4196;Voertuigen met bromfietskenteken;Maashorst;2011;;
4197;Voertuigen met bromfietskenteken;Maashorst;2012;;
4198;Voertuigen met bromfietskenteken;Maashorst;2013;;
4199;Voertuigen met bromfietskenteken;Maashorst;2014;;
4200;Voertuigen met bromfietskenteken;Maashorst;2015;;
4201;Voertuigen met bromfietskenteken;Maashorst;2016;;
4202;Voertuigen met bromfietskenteken;Maashorst;2017;;
4203;Voertuigen met bromfietskenteken;Maashorst;2018;;
4204;Voertuigen met bromfietskenteken;Maashorst;2019;;
4205;Voertuigen met bromfietskenteken;Maashorst;2020;;
4206;Voertuigen met bromfietskenteken;Maashorst;2021;;
4207;Voertuigen met bromfietskenteken;Maashorst;2022;4826.0;83.0
4208;Voertuigen met bromfietskenteken;Maassluis;2007;1443.0;46.0
4209;Voertuigen met bromfietskenteken;Maassluis;2008;1611.0;51.0
4210;Voertuigen met bromfietskenteken;Maassluis;2009;1754.0;56.0
4211;Voertuigen met bromfietskenteken;Maassluis;2010;1906.0;60.0
4212;Voertuigen met bromfietskenteken;Maassluis;2011;2058.0;64.0
4213;Voertuigen met bromfietskenteken;Maassluis;2012;2147.0;67.0
4214;Voertuigen met bromfietskenteken;Maassluis;2013;2247.0;70.0
4215;Voertuigen met bromfietskenteken;Maassluis;2014;2266.0;71.0
4216;Voertuigen met bromfietskenteken;Maassluis;2015;2260.0;70.0
4217;Voertuigen met bromfietskenteken;Maassluis;2016;2290.0;71.0
4218;Voertuigen met bromfietskenteken;Maassluis;2017;2301.0;71.0
4219;Voertuigen met bromfietskenteken;Maassluis;2018;2382.0;73.0
4220;Voertuigen met bromfietskenteken;Maassluis;2019;2452.0;75.0
4221;Voertuigen met bromfietskenteken;Maassluis;2020;2535.0;76.0
4222;Voertuigen met bromfietskenteken;Maassluis;2021;2625.0;78.0
4223;Voertuigen met bromfietskenteken;Maassluis;2022;2635.0;77.0
4224;Voertuigen met bromfietskenteken;Maastricht;2007;9887.0;83.0
4225;Voertuigen met bromfietskenteken;Maastricht;2008;10779.0;91.0
4226;Voertuigen met bromfietskenteken;Maastricht;2009;11737.0;99.0
4227;Voertuigen met bromfietskenteken;Maastricht;2010;12536.0;106.0
4228;Voertuigen met bromfietskenteken;Maastricht;2011;13335.0;111.0
4229;Voertuigen met bromfietskenteken;Maastricht;2012;13614.0;112.0
4230;Voertuigen met bromfietskenteken;Maastricht;2013;13587.0;112.0
4231;Voertuigen met bromfietskenteken;Maastricht;2014;13427.0;110.0
4232;Voertuigen met bromfietskenteken;Maastricht;2015;13440.0;110.0
4233;Voertuigen met bromfietskenteken;Maastricht;2016;13423.0;110.0
4234;Voertuigen met bromfietskenteken;Maastricht;2017;13503.0;110.0
4235;Voertuigen met bromfietskenteken;Maastricht;2018;13309.0;108.0
4236;Voertuigen met bromfietskenteken;Maastricht;2019;13100.0;108.0
4237;Voertuigen met bromfietskenteken;Maastricht;2020;12851.0;106.0
4238;Voertuigen met bromfietskenteken;Maastricht;2021;12646.0;105.0
4239;Voertuigen met bromfietskenteken;Maastricht;2022;12522.0;103.0
4240;Voertuigen met bromfietskenteken;Margraten;2007;742.0;55.0
4241;Voertuigen met bromfietskenteken;Margraten;2008;817.0;60.0
4242;Voertuigen met bromfietskenteken;Margraten;2009;868.0;65.0
4243;Voertuigen met bromfietskenteken;Margraten;2010;939.0;70.0
4244;Voertuigen met bromfietskenteken;Margraten;2011;;
4245;Voertuigen met bromfietskenteken;Margraten;2012;;
4246;Voertuigen met bromfietskenteken;Margraten;2013;;
4247;Voertuigen met bromfietskenteken;Margraten;2014;;
4248;Voertuigen met bromfietskenteken;Margraten;2015;;
4249;Voertuigen met bromfietskenteken;Margraten;2016;;
4250;Voertuigen met bromfietskenteken;Margraten;2017;;
4251;Voertuigen met bromfietskenteken;Margraten;2018;;
