ID;Sex;Age;ModesOfTravel;TravelMotives;Margins;Periods;StagesPerPersonPerDayAverage_1;DistanceTravelledPerStageAverage_2;AverageTravelTimePerStage_3
168;Total male and female;10000;Total;Shopping, groceries, funshopping.;Value;2017;0.59;5.22;14.34
169;Total male and female;10000;Total;Shopping, groceries, funshopping.;Value;2018;0.59;5.21;14.3
170;Total male and female;10000;Total;Shopping, groceries, funshopping.;Value;2019;0.57;5.36;14.35
171;Total male and female;10000;Total;Shopping, groceries, funshopping.;Value;2020;0.57;4.33;12.66
172;Total male and female;10000;Total;Shopping, groceries, funshopping.;Value;2021;0.57;4.43;13.27
173;Total male and female;10000;Total;Shopping, groceries, funshopping.;Value;2022;0.6;4.7;13.61
174;Total male and female;10000;Total;Shopping, groceries, funshopping.;Value;2023;0.6;5.01;14.1
175;Total male and female;10000;Total;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;1999;0.68;4.63;14.21
176;Total male and female;10000;Total;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2000;0.66;4.68;14.17
177;Total male and female;10000;Total;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2001;0.66;4.66;13.93
178;Total male and female;10000;Total;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2002;0.66;4.68;13.9
179;Total male and female;10000;Total;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2003;0.65;4.77;13.97
180;Total male and female;10000;Total;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2004;0.66;4.77;14.04
181;Total male and female;10000;Total;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2005;0.63;4.74;14.07
182;Total male and female;10000;Total;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2006;0.63;4.73;13.9
183;Total male and female;10000;Total;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2007;0.61;4.87;14.0
184;Total male and female;10000;Total;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2008;0.6;4.59;13.77
185;Total male and female;10000;Total;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2009;0.6;4.69;13.88
186;Total male and female;10000;Total;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2010;0.62;4.84;14.09
187;Total male and female;10000;Total;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2011;0.58;4.92;14.02
188;Total male and female;10000;Total;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2012;0.59;4.81;13.9
189;Total male and female;10000;Total;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2013;0.59;4.84;13.87
190;Total male and female;10000;Total;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2014;0.6;4.87;13.96
191;Total male and female;10000;Total;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2015;0.58;4.9;14.07
192;Total male and female;10000;Total;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2016;0.57;4.82;13.8
193;Total male and female;10000;Total;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2017;0.57;5.01;13.93
194;Total male and female;10000;Total;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2018;0.58;5.07;14.04
195;Total male and female;10000;Total;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2019;0.56;5.2;14.09
196;Total male and female;10000;Total;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2020;0.56;4.19;12.4
197;Total male and female;10000;Total;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2021;0.57;4.29;12.98
198;Total male and female;10000;Total;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2022;0.59;4.57;13.39
