ID;Sex;Age;ModesOfTravel;TravelMotives;Margins;Periods;StagesPerPersonPerDayAverage_1;DistanceTravelledPerStageAverage_2;AverageTravelTimePerStage_3
5129;Total male and female;51511;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2003;;;
5130;Total male and female;51511;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2004;;;
5131;Total male and female;51511;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2005;;;
5132;Total male and female;51511;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2006;;;
5133;Total male and female;51511;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2007;;;
5134;Total male and female;51511;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2008;;;
5135;Total male and female;51511;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2009;;;
5136;Total male and female;51511;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2010;;;
5137;Total male and female;51511;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2011;;;
5138;Total male and female;51511;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2012;;;
5139;Total male and female;51511;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2013;;;
5140;Total male and female;51511;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2014;;;
5141;Total male and female;51511;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2015;;;
5142;Total male and female;51511;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2016;;;
5143;Total male and female;51511;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2017;;;
5144;Total male and female;51511;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2018;;;
5145;Total male and female;51511;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2019;;;
5146;Total male and female;51511;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2020;;;
5147;Total male and female;51511;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2021;;;
5148;Total male and female;51511;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2022;;;
5149;Total male and female;51511;Train;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2023;;;
5150;Total male and female;51511;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;1999;;;
5151;Total male and female;51511;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2000;;;
5152;Total male and female;51511;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2001;;;
5153;Total male and female;51511;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2002;;;
5154;Total male and female;51511;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2003;;;
5155;Total male and female;51511;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2004;;;
5156;Total male and female;51511;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2005;;;
5157;Total male and female;51511;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2006;;;
5158;Total male and female;51511;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2007;;;
5159;Total male and female;51511;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2008;;;
5160;Total male and female;51511;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2009;;;
5161;Total male and female;51511;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2010;;;
5162;Total male and female;51511;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2011;;;
5163;Total male and female;51511;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2012;;;
5164;Total male and female;51511;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2013;;;
5165;Total male and female;51511;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2014;;;
5166;Total male and female;51511;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2015;;;
5167;Total male and female;51511;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2016;;;
5168;Total male and female;51511;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2017;;;
5169;Total male and female;51511;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2018;;;
5170;Total male and female;51511;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2019;;;
5171;Total male and female;51511;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2020;;;
5172;Total male and female;51511;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2021;;;
5173;Total male and female;51511;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2022;;;
5174;Total male and female;51511;Train;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2023;;;
5175;Total male and female;51511;Train;Attending education/courses;Value;1999;;;
5176;Total male and female;51511;Train;Attending education/courses;Value;2000;;;
5177;Total male and female;51511;Train;Attending education/courses;Value;2001;;;
5178;Total male and female;51511;Train;Attending education/courses;Value;2002;;;
5179;Total male and female;51511;Train;Attending education/courses;Value;2003;;;
5180;Total male and female;51511;Train;Attending education/courses;Value;2004;;;
5181;Total male and female;51511;Train;Attending education/courses;Value;2005;;;
5182;Total male and female;51511;Train;Attending education/courses;Value;2006;;;
5183;Total male and female;51511;Train;Attending education/courses;Value;2007;;;
5184;Total male and female;51511;Train;Attending education/courses;Value;2008;;;
5185;Total male and female;51511;Train;Attending education/courses;Value;2009;;;
5186;Total male and female;51511;Train;Attending education/courses;Value;2010;;;
5187;Total male and female;51511;Train;Attending education/courses;Value;2011;;;
5188;Total male and female;51511;Train;Attending education/courses;Value;2012;;;
5189;Total male and female;51511;Train;Attending education/courses;Value;2013;;;
5190;Total male and female;51511;Train;Attending education/courses;Value;2014;;;
5191;Total male and female;51511;Train;Attending education/courses;Value;2015;;;
5192;Total male and female;51511;Train;Attending education/courses;Value;2016;;;
5193;Total male and female;51511;Train;Attending education/courses;Value;2017;;;
5194;Total male and female;51511;Train;Attending education/courses;Value;2018;;;
5195;Total male and female;51511;Train;Attending education/courses;Value;2019;;;
5196;Total male and female;51511;Train;Attending education/courses;Value;2020;;;
5197;Total male and female;51511;Train;Attending education/courses;Value;2021;;;
5198;Total male and female;51511;Train;Attending education/courses;Value;2022;;;
5199;Total male and female;51511;Train;Attending education/courses;Value;2023;;;
5200;Total male and female;51511;Train;Attending education/courses;Lower bound 95% confidence interval;1999;;;
5201;Total male and female;51511;Train;Attending education/courses;Lower bound 95% confidence interval;2000;;;
5202;Total male and female;51511;Train;Attending education/courses;Lower bound 95% confidence interval;2001;;;
5203;Total male and female;51511;Train;Attending education/courses;Lower bound 95% confidence interval;2002;;;
5204;Total male and female;51511;Train;Attending education/courses;Lower bound 95% confidence interval;2003;;;
5205;Total male and female;51511;Train;Attending education/courses;Lower bound 95% confidence interval;2004;;;
5206;Total male and female;51511;Train;Attending education/courses;Lower bound 95% confidence interval;2005;;;
5207;Total male and female;51511;Train;Attending education/courses;Lower bound 95% confidence interval;2006;;;
5208;Total male and female;51511;Train;Attending education/courses;Lower bound 95% confidence interval;2007;;;
5209;Total male and female;51511;Train;Attending education/courses;Lower bound 95% confidence interval;2008;;;
5210;Total male and female;51511;Train;Attending education/courses;Lower bound 95% confidence interval;2009;;;
5211;Total male and female;51511;Train;Attending education/courses;Lower bound 95% confidence interval;2010;;;
5212;Total male and female;51511;Train;Attending education/courses;Lower bound 95% confidence interval;2011;;;
5213;Total male and female;51511;Train;Attending education/courses;Lower bound 95% confidence interval;2012;;;
5214;Total male and female;51511;Train;Attending education/courses;Lower bound 95% confidence interval;2013;;;
5215;Total male and female;51511;Train;Attending education/courses;Lower bound 95% confidence interval;2014;;;
5216;Total male and female;51511;Train;Attending education/courses;Lower bound 95% confidence interval;2015;;;
5217;Total male and female;51511;Train;Attending education/courses;Lower bound 95% confidence interval;2016;;;
5218;Total male and female;51511;Train;Attending education/courses;Lower bound 95% confidence interval;2017;;;
5219;Total male and female;51511;Train;Attending education/courses;Lower bound 95% confidence interval;2018;;;
5220;Total male and female;51511;Train;Attending education/courses;Lower bound 95% confidence interval;2019;;;
5221;Total male and female;51511;Train;Attending education/courses;Lower bound 95% confidence interval;2020;;;
5222;Total male and female;51511;Train;Attending education/courses;Lower bound 95% confidence interval;2021;;;
5223;Total male and female;51511;Train;Attending education/courses;Lower bound 95% confidence interval;2022;;;
5224;Total male and female;51511;Train;Attending education/courses;Lower bound 95% confidence interval;2023;;;
5225;Total male and female;51511;Train;Attending education/courses;Upper bound 95% confidence interval;1999;;;
5226;Total male and female;51511;Train;Attending education/courses;Upper bound 95% confidence interval;2000;;;
5227;Total male and female;51511;Train;Attending education/courses;Upper bound 95% confidence interval;2001;;;
5228;Total male and female;51511;Train;Attending education/courses;Upper bound 95% confidence interval;2002;;;
5229;Total male and female;51511;Train;Attending education/courses;Upper bound 95% confidence interval;2003;;;
5230;Total male and female;51511;Train;Attending education/courses;Upper bound 95% confidence interval;2004;;;
5231;Total male and female;51511;Train;Attending education/courses;Upper bound 95% confidence interval;2005;;;
5232;Total male and female;51511;Train;Attending education/courses;Upper bound 95% confidence interval;2006;;;
5233;Total male and female;51511;Train;Attending education/courses;Upper bound 95% confidence interval;2007;;;
5234;Total male and female;51511;Train;Attending education/courses;Upper bound 95% confidence interval;2008;;;
5235;Total male and female;51511;Train;Attending education/courses;Upper bound 95% confidence interval;2009;;;
5236;Total male and female;51511;Train;Attending education/courses;Upper bound 95% confidence interval;2010;;;
5237;Total male and female;51511;Train;Attending education/courses;Upper bound 95% confidence interval;2011;;;
5238;Total male and female;51511;Train;Attending education/courses;Upper bound 95% confidence interval;2012;;;
5239;Total male and female;51511;Train;Attending education/courses;Upper bound 95% confidence interval;2013;;;
5240;Total male and female;51511;Train;Attending education/courses;Upper bound 95% confidence interval;2014;;;
5241;Total male and female;51511;Train;Attending education/courses;Upper bound 95% confidence interval;2015;;;
5242;Total male and female;51511;Train;Attending education/courses;Upper bound 95% confidence interval;2016;;;
5243;Total male and female;51511;Train;Attending education/courses;Upper bound 95% confidence interval;2017;;;
5244;Total male and female;51511;Train;Attending education/courses;Upper bound 95% confidence interval;2018;;;
5245;Total male and female;51511;Train;Attending education/courses;Upper bound 95% confidence interval;2019;;;
5246;Total male and female;51511;Train;Attending education/courses;Upper bound 95% confidence interval;2020;;;
5247;Total male and female;51511;Train;Attending education/courses;Upper bound 95% confidence interval;2021;;;
5248;Total male and female;51511;Train;Attending education/courses;Upper bound 95% confidence interval;2022;;;
5249;Total male and female;51511;Train;Attending education/courses;Upper bound 95% confidence interval;2023;;;
5250;Total male and female;51511;Train;Leisure;Value;1999;;;
5251;Total male and female;51511;Train;Leisure;Value;2000;;;
5252;Total male and female;51511;Train;Leisure;Value;2001;;;
5253;Total male and female;51511;Train;Leisure;Value;2002;;;
5254;Total male and female;51511;Train;Leisure;Value;2003;;;
5255;Total male and female;51511;Train;Leisure;Value;2004;;;
5256;Total male and female;51511;Train;Leisure;Value;2005;;;
5257;Total male and female;51511;Train;Leisure;Value;2006;;;
5258;Total male and female;51511;Train;Leisure;Value;2007;;;
5259;Total male and female;51511;Train;Leisure;Value;2008;;;
5260;Total male and female;51511;Train;Leisure;Value;2009;;;
5261;Total male and female;51511;Train;Leisure;Value;2010;;;
5262;Total male and female;51511;Train;Leisure;Value;2011;;;
5263;Total male and female;51511;Train;Leisure;Value;2012;;;
5264;Total male and female;51511;Train;Leisure;Value;2013;;;
5265;Total male and female;51511;Train;Leisure;Value;2014;;;
5266;Total male and female;51511;Train;Leisure;Value;2015;;;
5267;Total male and female;51511;Train;Leisure;Value;2016;;;
5268;Total male and female;51511;Train;Leisure;Value;2017;;;
5269;Total male and female;51511;Train;Leisure;Value;2018;;;
5270;Total male and female;51511;Train;Leisure;Value;2019;;;
5271;Total male and female;51511;Train;Leisure;Value;2020;;;
5272;Total male and female;51511;Train;Leisure;Value;2021;;;
5273;Total male and female;51511;Train;Leisure;Value;2022;;;
5274;Total male and female;51511;Train;Leisure;Value;2023;;;
5275;Total male and female;51511;Train;Leisure;Lower bound 95% confidence interval;1999;;;
5276;Total male and female;51511;Train;Leisure;Lower bound 95% confidence interval;2000;;;
5277;Total male and female;51511;Train;Leisure;Lower bound 95% confidence interval;2001;;;
5278;Total male and female;51511;Train;Leisure;Lower bound 95% confidence interval;2002;;;
5279;Total male and female;51511;Train;Leisure;Lower bound 95% confidence interval;2003;;;
5280;Total male and female;51511;Train;Leisure;Lower bound 95% confidence interval;2004;;;
5281;Total male and female;51511;Train;Leisure;Lower bound 95% confidence interval;2005;;;
5282;Total male and female;51511;Train;Leisure;Lower bound 95% confidence interval;2006;;;
5283;Total male and female;51511;Train;Leisure;Lower bound 95% confidence interval;2007;;;
5284;Total male and female;51511;Train;Leisure;Lower bound 95% confidence interval;2008;;;
5285;Total male and female;51511;Train;Leisure;Lower bound 95% confidence interval;2009;;;
5286;Total male and female;51511;Train;Leisure;Lower bound 95% confidence interval;2010;;;
5287;Total male and female;51511;Train;Leisure;Lower bound 95% confidence interval;2011;;;
5288;Total male and female;51511;Train;Leisure;Lower bound 95% confidence interval;2012;;;
5289;Total male and female;51511;Train;Leisure;Lower bound 95% confidence interval;2013;;;
5290;Total male and female;51511;Train;Leisure;Lower bound 95% confidence interval;2014;;;
5291;Total male and female;51511;Train;Leisure;Lower bound 95% confidence interval;2015;;;
5292;Total male and female;51511;Train;Leisure;Lower bound 95% confidence interval;2016;;;
5293;Total male and female;51511;Train;Leisure;Lower bound 95% confidence interval;2017;;;
5294;Total male and female;51511;Train;Leisure;Lower bound 95% confidence interval;2018;;;
5295;Total male and female;51511;Train;Leisure;Lower bound 95% confidence interval;2019;;;
5296;Total male and female;51511;Train;Leisure;Lower bound 95% confidence interval;2020;;;
5297;Total male and female;51511;Train;Leisure;Lower bound 95% confidence interval;2021;;;
5298;Total male and female;51511;Train;Leisure;Lower bound 95% confidence interval;2022;;;
5299;Total male and female;51511;Train;Leisure;Lower bound 95% confidence interval;2023;;;
5300;Total male and female;51511;Train;Leisure;Upper bound 95% confidence interval;1999;;;
5301;Total male and female;51511;Train;Leisure;Upper bound 95% confidence interval;2000;;;
5302;Total male and female;51511;Train;Leisure;Upper bound 95% confidence interval;2001;;;
5303;Total male and female;51511;Train;Leisure;Upper bound 95% confidence interval;2002;;;
5304;Total male and female;51511;Train;Leisure;Upper bound 95% confidence interval;2003;;;
5305;Total male and female;51511;Train;Leisure;Upper bound 95% confidence interval;2004;;;
5306;Total male and female;51511;Train;Leisure;Upper bound 95% confidence interval;2005;;;
5307;Total male and female;51511;Train;Leisure;Upper bound 95% confidence interval;2006;;;
5308;Total male and female;51511;Train;Leisure;Upper bound 95% confidence interval;2007;;;
5309;Total male and female;51511;Train;Leisure;Upper bound 95% confidence interval;2008;;;
5310;Total male and female;51511;Train;Leisure;Upper bound 95% confidence interval;2009;;;
5311;Total male and female;51511;Train;Leisure;Upper bound 95% confidence interval;2010;;;
5312;Total male and female;51511;Train;Leisure;Upper bound 95% confidence interval;2011;;;
5313;Total male and female;51511;Train;Leisure;Upper bound 95% confidence interval;2012;;;
5314;Total male and female;51511;Train;Leisure;Upper bound 95% confidence interval;2013;;;
5315;Total male and female;51511;Train;Leisure;Upper bound 95% confidence interval;2014;;;
5316;Total male and female;51511;Train;Leisure;Upper bound 95% confidence interval;2015;;;
5317;Total male and female;51511;Train;Leisure;Upper bound 95% confidence interval;2016;;;
5318;Total male and female;51511;Train;Leisure;Upper bound 95% confidence interval;2017;;;
5319;Total male and female;51511;Train;Leisure;Upper bound 95% confidence interval;2018;;;
5320;Total male and female;51511;Train;Leisure;Upper bound 95% confidence interval;2019;;;
5321;Total male and female;51511;Train;Leisure;Upper bound 95% confidence interval;2020;;;
5322;Total male and female;51511;Train;Leisure;Upper bound 95% confidence interval;2021;;;
5323;Total male and female;51511;Train;Leisure;Upper bound 95% confidence interval;2022;;;
5324;Total male and female;51511;Train;Leisure;Upper bound 95% confidence interval;2023;;;
5325;Total male and female;51511;Train;Other;Value;1999;;;
5326;Total male and female;51511;Train;Other;Value;2000;;;
5327;Total male and female;51511;Train;Other;Value;2001;;;
5328;Total male and female;51511;Train;Other;Value;2002;;;
5329;Total male and female;51511;Train;Other;Value;2003;;;
5330;Total male and female;51511;Train;Other;Value;2004;;;
5331;Total male and female;51511;Train;Other;Value;2005;;;
5332;Total male and female;51511;Train;Other;Value;2006;;;
5333;Total male and female;51511;Train;Other;Value;2007;;;
5334;Total male and female;51511;Train;Other;Value;2008;;;
5335;Total male and female;51511;Train;Other;Value;2009;;;
5336;Total male and female;51511;Train;Other;Value;2010;;;
5337;Total male and female;51511;Train;Other;Value;2011;;;
5338;Total male and female;51511;Train;Other;Value;2012;;;
5339;Total male and female;51511;Train;Other;Value;2013;;;
5340;Total male and female;51511;Train;Other;Value;2014;;;
5341;Total male and female;51511;Train;Other;Value;2015;;;
5342;Total male and female;51511;Train;Other;Value;2016;;;
5343;Total male and female;51511;Train;Other;Value;2017;;;
5344;Total male and female;51511;Train;Other;Value;2018;;;
5345;Total male and female;51511;Train;Other;Value;2019;;;
5346;Total male and female;51511;Train;Other;Value;2020;;;
5347;Total male and female;51511;Train;Other;Value;2021;;;
5348;Total male and female;51511;Train;Other;Value;2022;;;
5349;Total male and female;51511;Train;Other;Value;2023;;;
5350;Total male and female;51511;Train;Other;Lower bound 95% confidence interval;1999;;;
5351;Total male and female;51511;Train;Other;Lower bound 95% confidence interval;2000;;;
5352;Total male and female;51511;Train;Other;Lower bound 95% confidence interval;2001;;;
5353;Total male and female;51511;Train;Other;Lower bound 95% confidence interval;2002;;;
5354;Total male and female;51511;Train;Other;Lower bound 95% confidence interval;2003;;;
5355;Total male and female;51511;Train;Other;Lower bound 95% confidence interval;2004;;;
5356;Total male and female;51511;Train;Other;Lower bound 95% confidence interval;2005;;;
5357;Total male and female;51511;Train;Other;Lower bound 95% confidence interval;2006;;;
5358;Total male and female;51511;Train;Other;Lower bound 95% confidence interval;2007;;;
5359;Total male and female;51511;Train;Other;Lower bound 95% confidence interval;2008;;;
5360;Total male and female;51511;Train;Other;Lower bound 95% confidence interval;2009;;;
5361;Total male and female;51511;Train;Other;Lower bound 95% confidence interval;2010;;;
5362;Total male and female;51511;Train;Other;Lower bound 95% confidence interval;2011;;;
5363;Total male and female;51511;Train;Other;Lower bound 95% confidence interval;2012;;;
5364;Total male and female;51511;Train;Other;Lower bound 95% confidence interval;2013;;;
5365;Total male and female;51511;Train;Other;Lower bound 95% confidence interval;2014;;;
5366;Total male and female;51511;Train;Other;Lower bound 95% confidence interval;2015;;;
5367;Total male and female;51511;Train;Other;Lower bound 95% confidence interval;2016;;;
5368;Total male and female;51511;Train;Other;Lower bound 95% confidence interval;2017;;;
5369;Total male and female;51511;Train;Other;Lower bound 95% confidence interval;2018;;;
5370;Total male and female;51511;Train;Other;Lower bound 95% confidence interval;2019;;;
5371;Total male and female;51511;Train;Other;Lower bound 95% confidence interval;2020;;;
5372;Total male and female;51511;Train;Other;Lower bound 95% confidence interval;2021;;;
5373;Total male and female;51511;Train;Other;Lower bound 95% confidence interval;2022;;;
5374;Total male and female;51511;Train;Other;Lower bound 95% confidence interval;2023;;;
5375;Total male and female;51511;Train;Other;Upper bound 95% confidence interval;1999;;;
5376;Total male and female;51511;Train;Other;Upper bound 95% confidence interval;2000;;;
5377;Total male and female;51511;Train;Other;Upper bound 95% confidence interval;2001;;;
5378;Total male and female;51511;Train;Other;Upper bound 95% confidence interval;2002;;;
5379;Total male and female;51511;Train;Other;Upper bound 95% confidence interval;2003;;;
5380;Total male and female;51511;Train;Other;Upper bound 95% confidence interval;2004;;;
5381;Total male and female;51511;Train;Other;Upper bound 95% confidence interval;2005;;;
5382;Total male and female;51511;Train;Other;Upper bound 95% confidence interval;2006;;;
5383;Total male and female;51511;Train;Other;Upper bound 95% confidence interval;2007;;;
5384;Total male and female;51511;Train;Other;Upper bound 95% confidence interval;2008;;;
5385;Total male and female;51511;Train;Other;Upper bound 95% confidence interval;2009;;;
5386;Total male and female;51511;Train;Other;Upper bound 95% confidence interval;2010;;;
5387;Total male and female;51511;Train;Other;Upper bound 95% confidence interval;2011;;;
5388;Total male and female;51511;Train;Other;Upper bound 95% confidence interval;2012;;;
5389;Total male and female;51511;Train;Other;Upper bound 95% confidence interval;2013;;;
5390;Total male and female;51511;Train;Other;Upper bound 95% confidence interval;2014;;;
5391;Total male and female;51511;Train;Other;Upper bound 95% confidence interval;2015;;;
5392;Total male and female;51511;Train;Other;Upper bound 95% confidence interval;2016;;;
5393;Total male and female;51511;Train;Other;Upper bound 95% confidence interval;2017;;;
5394;Total male and female;51511;Train;Other;Upper bound 95% confidence interval;2018;;;
5395;Total male and female;51511;Train;Other;Upper bound 95% confidence interval;2019;;;
5396;Total male and female;51511;Train;Other;Upper bound 95% confidence interval;2020;;;
5397;Total male and female;51511;Train;Other;Upper bound 95% confidence interval;2021;;;
5398;Total male and female;51511;Train;Other;Upper bound 95% confidence interval;2022;;;
5399;Total male and female;51511;Train;Other;Upper bound 95% confidence interval;2023;;;
5400;Total male and female;51511;Bus/metro;Total;Value;1999;0.05;10.0;26.82
5401;Total male and female;51511;Bus/metro;Total;Value;2000;0.05;10.14;26.78
5402;Total male and female;51511;Bus/metro;Total;Value;2001;0.05;9.98;26.47
5403;Total male and female;51511;Bus/metro;Total;Value;2002;0.04;9.8;26.53
5404;Total male and female;51511;Bus/metro;Total;Value;2003;0.04;9.53;26.46
5405;Total male and female;51511;Bus/metro;Total;Value;2004;0.04;9.39;26.48
5406;Total male and female;51511;Bus/metro;Total;Value;2005;0.04;8.98;26.36
5407;Total male and female;51511;Bus/metro;Total;Value;2006;0.04;8.53;26.21
5408;Total male and female;51511;Bus/metro;Total;Value;2007;0.04;8.41;26.18
5409;Total male and female;51511;Bus/metro;Total;Value;2008;;;
5410;Total male and female;51511;Bus/metro;Total;Value;2009;;;
5411;Total male and female;51511;Bus/metro;Total;Value;2010;0.04;8.2;26.15
5412;Total male and female;51511;Bus/metro;Total;Value;2011;;;
5413;Total male and female;51511;Bus/metro;Total;Value;2012;;;
5414;Total male and female;51511;Bus/metro;Total;Value;2013;;;
5415;Total male and female;51511;Bus/metro;Total;Value;2014;;;
5416;Total male and female;51511;Bus/metro;Total;Value;2015;;;
5417;Total male and female;51511;Bus/metro;Total;Value;2016;;;
5418;Total male and female;51511;Bus/metro;Total;Value;2017;;;
5419;Total male and female;51511;Bus/metro;Total;Value;2018;0.03;7.42;26.11
5420;Total male and female;51511;Bus/metro;Total;Value;2019;0.03;7.39;26.09
5421;Total male and female;51511;Bus/metro;Total;Value;2020;;;
5422;Total male and female;51511;Bus/metro;Total;Value;2021;;;
5423;Total male and female;51511;Bus/metro;Total;Value;2022;0.02;7.44;27.43
5424;Total male and female;51511;Bus/metro;Total;Value;2023;0.03;7.29;26.9
5425;Total male and female;51511;Bus/metro;Total;Lower bound 95% confidence interval;1999;0.04;8.52;23.52
5426;Total male and female;51511;Bus/metro;Total;Lower bound 95% confidence interval;2000;0.04;8.73;23.54
5427;Total male and female;51511;Bus/metro;Total;Lower bound 95% confidence interval;2001;0.03;8.59;23.43
5428;Total male and female;51511;Bus/metro;Total;Lower bound 95% confidence interval;2002;0.03;8.44;23.56
5429;Total male and female;51511;Bus/metro;Total;Lower bound 95% confidence interval;2003;0.03;8.27;23.54
5430;Total male and female;51511;Bus/metro;Total;Lower bound 95% confidence interval;2004;0.03;8.13;23.86
5431;Total male and female;51511;Bus/metro;Total;Lower bound 95% confidence interval;2005;0.03;7.83;23.72
5432;Total male and female;51511;Bus/metro;Total;Lower bound 95% confidence interval;2006;0.03;7.51;23.69
5433;Total male and female;51511;Bus/metro;Total;Lower bound 95% confidence interval;2007;0.03;7.41;23.88
5434;Total male and female;51511;Bus/metro;Total;Lower bound 95% confidence interval;2008;;;
5435;Total male and female;51511;Bus/metro;Total;Lower bound 95% confidence interval;2009;;;
5436;Total male and female;51511;Bus/metro;Total;Lower bound 95% confidence interval;2010;0.03;7.38;24.13
5437;Total male and female;51511;Bus/metro;Total;Lower bound 95% confidence interval;2011;;;
5438;Total male and female;51511;Bus/metro;Total;Lower bound 95% confidence interval;2012;;;
5439;Total male and female;51511;Bus/metro;Total;Lower bound 95% confidence interval;2013;;;
5440;Total male and female;51511;Bus/metro;Total;Lower bound 95% confidence interval;2014;;;
5441;Total male and female;51511;Bus/metro;Total;Lower bound 95% confidence interval;2015;;;
5442;Total male and female;51511;Bus/metro;Total;Lower bound 95% confidence interval;2016;;;
5443;Total male and female;51511;Bus/metro;Total;Lower bound 95% confidence interval;2017;;;
5444;Total male and female;51511;Bus/metro;Total;Lower bound 95% confidence interval;2018;0.03;6.8;24.4
5445;Total male and female;51511;Bus/metro;Total;Lower bound 95% confidence interval;2019;0.03;6.75;24.28
5446;Total male and female;51511;Bus/metro;Total;Lower bound 95% confidence interval;2020;;;
5447;Total male and female;51511;Bus/metro;Total;Lower bound 95% confidence interval;2021;;;
5448;Total male and female;51511;Bus/metro;Total;Lower bound 95% confidence interval;2022;0.02;6.8;25.58
5449;Total male and female;51511;Bus/metro;Total;Lower bound 95% confidence interval;2023;0.02;6.64;24.95
5450;Total male and female;51511;Bus/metro;Total;Upper bound 95% confidence interval;1999;0.07;11.61;30.24
5451;Total male and female;51511;Bus/metro;Total;Upper bound 95% confidence interval;2000;0.07;11.74;30.0
5452;Total male and female;51511;Bus/metro;Total;Upper bound 95% confidence interval;2001;0.06;11.48;29.61
5453;Total male and female;51511;Bus/metro;Total;Upper bound 95% confidence interval;2002;0.06;11.22;29.43
5454;Total male and female;51511;Bus/metro;Total;Upper bound 95% confidence interval;2003;0.05;10.92;29.21
5455;Total male and female;51511;Bus/metro;Total;Upper bound 95% confidence interval;2004;0.05;10.64;29.27
5456;Total male and female;51511;Bus/metro;Total;Upper bound 95% confidence interval;2005;0.05;10.14;28.94
5457;Total male and female;51511;Bus/metro;Total;Upper bound 95% confidence interval;2006;0.05;9.64;28.72
5458;Total male and female;51511;Bus/metro;Total;Upper bound 95% confidence interval;2007;0.05;9.43;28.73
5459;Total male and female;51511;Bus/metro;Total;Upper bound 95% confidence interval;2008;;;
5460;Total male and female;51511;Bus/metro;Total;Upper bound 95% confidence interval;2009;;;
5461;Total male and female;51511;Bus/metro;Total;Upper bound 95% confidence interval;2010;0.04;9.08;28.3
5462;Total male and female;51511;Bus/metro;Total;Upper bound 95% confidence interval;2011;;;
5463;Total male and female;51511;Bus/metro;Total;Upper bound 95% confidence interval;2012;;;
5464;Total male and female;51511;Bus/metro;Total;Upper bound 95% confidence interval;2013;;;
5465;Total male and female;51511;Bus/metro;Total;Upper bound 95% confidence interval;2014;;;
5466;Total male and female;51511;Bus/metro;Total;Upper bound 95% confidence interval;2015;;;
5467;Total male and female;51511;Bus/metro;Total;Upper bound 95% confidence interval;2016;;;
5468;Total male and female;51511;Bus/metro;Total;Upper bound 95% confidence interval;2017;;;
5469;Total male and female;51511;Bus/metro;Total;Upper bound 95% confidence interval;2018;0.04;8.06;27.9
5470;Total male and female;51511;Bus/metro;Total;Upper bound 95% confidence interval;2019;0.04;8.06;27.84
5471;Total male and female;51511;Bus/metro;Total;Upper bound 95% confidence interval;2020;;;
5472;Total male and female;51511;Bus/metro;Total;Upper bound 95% confidence interval;2021;;;
5473;Total male and female;51511;Bus/metro;Total;Upper bound 95% confidence interval;2022;0.03;8.16;29.34
5474;Total male and female;51511;Bus/metro;Total;Upper bound 95% confidence interval;2023;0.03;8.0;28.82
5475;Total male and female;51511;Bus/metro;Travel to/from work, (non)-daily commute;Value;1999;;;
5476;Total male and female;51511;Bus/metro;Travel to/from work, (non)-daily commute;Value;2000;;;
