ID;ProductsOfActivityAndOtherItems;Periods;TotalSupplyAtBasicPrices_1;DomesticOutput_2;Total_3;ImportsOfGoods_4;ImportsOfServices_5;TotalUseAtPurchaserSPrices_6;IntermediateConsumption_7;Total_8;HouseholdsAndNPISHs_9;GeneralGovernment_10;GrossFixedCapitalFormation_11;ChangesInInventoriesInclValuables_12;Total_13;ExportsOfGoods_14;ExportsOfServices_15;TotalSupplyAtBasicPrices_16;DomesticOutput_17;Total_18;ImportsOfGoods_19;ImportsOfServices_20;TotalUseAtPurchaserSPrices_21;IntermediateConsumption_22;Total_23;HouseholdsAndNPISHs_24;GeneralGovernment_25;GrossFixedCapitalFormation_26;ChangesInInventoriesInclValuables_27;Total_28;ExportsOfGoods_29;ExportsOfServices_30;TotalSupplyAtBasicPrices_31;DomesticOutput_32;Total_33;ImportsOfGoods_34;ImportsOfServices_35;TotalUseAtPurchaserSPrices_36;IntermediateConsumption_37;Total_38;HouseholdsAndNPISHs_39;GeneralGovernment_40;GrossFixedCapitalFormation_41;ChangesInInventoriesInclValuables_42;Total_43;ExportsOfGoods_44;ExportsOfServices_45;TotalSupplyAtBasicPrices_46;DomesticOutput_47;Total_48;ImportsOfGoods_49;ImportsOfServices_50;TotalUseAtPurchaserSPrices_51;IntermediateConsumption_52;Total_53;HouseholdsAndNPISHs_54;GeneralGovernment_55;GrossFixedCapitalFormation_56;ChangesInInventoriesInclValuables_57;Total_58;ExportsOfGoods_59;ExportsOfServices_60
61;104 Vegetable and animal oils and fats;2022;25428;13917;11511;11511;0;28217;15984;1068;1068;0;0;68;11097;11097;0;18389.0;10284.0;8105.0;8105.0;;21074.0;11942.0;845.0;845.0;;;;8227.0;8227.0;;21.4;47.0;-0.5;-0.5;;21.9;45.7;-6.2;-6.2;;;;-0.1;-0.1;;138.3;135.3;142.0;142.0;;133.9;133.8;126.4;126.4;;;;134.9;134.9;
62;104 Vegetable and animal oils and fats;2023;20782;11538;9244;9244;0;23404;13725;1160;1160;0;0;-214;8733;8733;0;16074.0;9190.0;6893.0;6893.0;;18458.0;10987.0;816.0;816.0;;;;6830.0;6830.0;;-12.6;-10.6;-15.0;-15.0;;-12.4;-8.0;-3.5;-3.5;;;;-17.0;-17.0;;129.3;125.5;134.1;134.1;;126.8;124.9;142.2;142.2;;;;127.9;127.9;
63;105 Dairy products;2021;17197;12051;5146;5146;0;21151;6149;5065;5065;0;0;171;9766;9766;0;17197.0;12051.0;5146.0;5146.0;0.0;21151.0;6149.0;5065.0;5065.0;0.0;0.0;;9766.0;9766.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;;;;100.0;100.0;
64;105 Dairy products;2022;24446;17717;6729;6729;0;28709;9076;5868;5868;0;0;283;13482;13482;0;17408.0;12132.0;5276.0;5276.0;;21419.0;6604.0;5054.0;5054.0;;;;9547.0;9547.0;;1.2;0.7;2.5;2.5;;1.3;7.4;-0.2;-0.2;;;;-2.2;-2.2;;140.4;146.0;127.5;127.5;;134.0;137.4;116.1;116.1;;;;141.2;141.2;
65;105 Dairy products;2023;23367;16921;6446;6446;0;27967;8350;6389;6389;0;0;257;12971;12971;0;17374.0;11964.0;5430.0;5430.0;;21353.0;6616.0;4922.0;4922.0;;;;9647.0;9647.0;;-0.2;-1.4;2.9;2.9;;-0.3;0.2;-2.6;-2.6;;;;1.0;1.0;;134.5;141.4;118.7;118.7;;131.0;126.2;129.8;129.8;;;;134.5;134.5;
66;106-107 Grain, starches, baker products;2021;11171;7626;3545;3545;0;15305;2902;7671;7671;0;0;111;4621;4621;0;11171.0;7626.0;3545.0;3545.0;0.0;15305.0;2902.0;7671.0;7671.0;0.0;0.0;;4621.0;4621.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;;;;100.0;100.0;
67;106-107 Grain, starches, baker products;2022;13573;9163;4410;4410;0;17668;3672;8392;8392;0;0;36;5568;5568;0;11000.0;7459.0;3541.0;3541.0;;15161.0;2863.0;7736.0;7736.0;;;;4530.0;4530.0;;-1.5;-2.2;-0.1;-0.1;;-0.9;-1.3;0.8;0.8;;;;-2.0;-2.0;;123.4;122.8;124.5;124.5;;116.5;128.3;108.5;108.5;;;;122.9;122.9;
68;106-107 Grain, starches, baker products;2023;15963;10959;5004;5004;0;20175;4537;9108;9108;0;0;348;6182;6182;0;10790.0;7409.0;3382.0;3382.0;;14752.0;2905.0;7282.0;7282.0;;;;4252.0;4252.0;;-1.9;-0.7;-4.5;-4.5;;-2.7;1.5;-5.9;-5.9;;;;-6.1;-6.1;;147.9;147.9;148.0;148.0;;136.8;156.2;125.1;125.1;;;;145.4;145.4;
69;108 Other food products;2021;36690;22015;14675;13544;1131;45918;13040;9668;9668;0;0;172;23038;22322;716;36690.0;22015.0;14675.0;13544.0;1131.0;45918.0;13040.0;9668.0;9668.0;0.0;0.0;;23038.0;22322.0;716.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;;;100.0;100.0;100.0
70;108 Other food products;2022;43364;25976;17388;15793;1595;53731;15214;10566;10566;0;0;289;27662;26705;957;38899.0;23066.0;15833.0;14282.0;1551.0;48556.0;13870.0;9784.0;9784.0;;;;24643.0;23709.0;934.0;6.0;4.8;7.9;5.4;37.1;5.7;6.4;1.2;1.2;;;;7.0;6.2;30.4;111.5;112.6;109.8;110.6;102.8;110.7;109.7;108.0;108.0;;;;112.3;112.6;102.5
71;108 Other food products;2023;47984;29342;18642;16995;1647;58461;17616;11417;11417;0;0;908;28520;27577;943;38154.0;23417.0;14717.0;13311.0;1403.0;47463.0;14057.0;9503.0;9503.0;;;;23251.0;22443.0;800.0;-1.9;1.5;-7.1;-6.8;-9.5;-2.3;1.3;-2.9;-2.9;;;;-5.7;-5.3;-14.3;125.8;125.3;126.7;127.7;117.4;123.2;125.3;120.1;120.1;;;;122.7;122.9;117.8
72;109 Prepared animal feeds;2021;9670;8245;1425;1425;0;11520;5860;1886;1886;0;0;75;3699;3699;0;9670.0;8245.0;1425.0;1425.0;0.0;11520.0;5860.0;1886.0;1886.0;0.0;0.0;;3699.0;3699.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;;;;100.0;100.0;
73;109 Prepared animal feeds;2022;11963;10206;1757;1757;0;14053;7473;2154;2154;0;0;-28;4454;4454;0;9648.0;8263.0;1385.0;1385.0;;11577.0;5880.0;1997.0;1997.0;;;;3716.0;3716.0;;-0.2;0.2;-2.8;-2.8;;0.5;0.3;5.9;5.9;;;;0.5;0.5;;124.0;123.5;126.9;126.9;;121.4;127.1;107.9;107.9;;;;119.9;119.9;
74;109 Prepared animal feeds;2023;11071;9264;1807;1807;0;13203;6596;2320;2320;0;0;28;4259;4259;0;9683.0;8333.0;1352.0;1352.0;;11566.0;5767.0;1907.0;1907.0;;;;3858.0;3858.0;;0.4;0.8;-2.4;-2.4;;-0.1;-1.9;-4.5;-4.5;;;;3.8;3.8;;114.3;111.2;133.7;133.7;;114.2;114.4;121.7;121.7;;;;110.4;110.4;
75;11 Beverages;2021;12842;7017;5825;5822;3;18853;4663;6027;6027;0;0;229;7934;7925;9;12842.0;7017.0;5825.0;5822.0;3.0;18853.0;4663.0;6027.0;6027.0;0.0;0.0;;7934.0;7925.0;9.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;;;100.0;100.0;100.0
76;11 Beverages;2022;15127;8663;6464;6461;3;21465;5751;6114;6114;0;0;165;9435;9420;15;13239.0;7508.0;5731.0;5728.0;3.0;19282.0;5057.0;5816.0;5816.0;;;;8241.0;8226.0;15.0;3.1;7.0;-1.6;-1.6;0.0;2.3;8.4;-3.5;-3.5;;;;3.9;3.8;66.7;114.3;115.4;112.8;112.8;100.0;111.3;113.7;105.1;105.1;;;;114.5;114.5;100.0
77;11 Beverages;2023;15938;9186;6752;6749;3;22353;6295;6486;6486;0;0;-55;9627;9615;12;12748.0;7248.0;5500.0;5497.0;3.0;18751.0;5129.0;5791.0;5791.0;;;;7863.0;7851.0;12.0;-3.7;-3.5;-4.0;-4.0;0.0;-2.8;1.4;-0.4;-0.4;;;;-4.6;-4.6;-20.0;125.0;126.7;122.8;122.8;100.0;119.2;122.7;112.0;112.0;;;;122.4;122.5;100.0
78;12 Tobacco products;2021;2661;1918;743;656;87;9157;106;7495;7495;0;0;127;1429;1315;114;2661.0;1918.0;743.0;656.0;87.0;9157.0;106.0;7495.0;7495.0;0.0;0.0;;1429.0;1315.0;114.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;;;100.0;100.0;100.0
79;12 Tobacco products;2022;2371;1623;748;650;98;8915;6;7540;7540;0;0;113;1256;1062;194;2392.0;1639.0;753.0;658.0;95.0;8890.0;6.0;7542.0;7542.0;;;;1226.0;1036.0;190.0;-10.1;-14.5;1.3;0.3;9.2;-2.9;-94.3;0.6;0.6;;;;-14.2;-21.2;66.7;99.1;99.0;99.3;98.8;103.2;100.3;100.0;100.0;100.0;;;;102.4;102.5;102.1
80;12 Tobacco products;2023;2529;1746;783;681;102;9554;6;8184;8184;0;0;75;1289;1119;170;2398.0;1649.0;749.0;654.0;95.0;8808.0;6.0;7452.0;7452.0;;;;1253.0;1088.0;166.0;0.3;0.6;-0.5;-0.6;0.0;-0.9;0.0;-1.2;-1.2;;;;2.2;5.0;-12.9;105.5;105.9;104.5;104.1;107.4;108.5;100.0;109.8;109.8;;;;102.8;102.9;102.7
81;13-15 Textiles, wearing apparel, leather;2021;27869;4607;23262;23254;8;48823;4595;21340;21340;0;494;1183;21211;21211;0;27869.0;4607.0;23262.0;23254.0;8.0;48823.0;4595.0;21340.0;21340.0;0.0;494.0;;21211.0;21211.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;;100.0;100.0;
82;13-15 Textiles, wearing apparel, leather;2022;32343;4488;27855;27845;10;56507;4837;25112;25112;0;561;1341;24656;24656;0;29259.0;4166.0;25093.0;25084.0;9.0;52427.0;4313.0;23845.0;23845.0;;515.0;;22476.0;22476.0;;5.0;-9.6;7.9;7.9;12.5;7.4;-6.1;11.7;11.7;;4.3;;6.0;6.0;;110.5;107.7;111.0;111.0;111.1;107.8;112.1;105.3;105.3;;108.9;;109.7;109.7;
83;13-15 Textiles, wearing apparel, leather;2023;30618;4444;26174;26164;10;55092;4931;26030;26030;0;533;-312;23910;23910;0;26822.0;3827.0;22995.0;22986.0;9.0;49301.0;4231.0;23400.0;23400.0;;467.0;;21449.0;21449.0;;-8.3;-8.1;-8.4;-8.4;0.0;-6.0;-1.9;-1.9;-1.9;;-9.3;;-4.6;-4.6;;114.2;116.1;113.8;113.8;111.1;111.7;116.5;111.2;111.2;;114.1;;111.5;111.5;
84;13 Textiles;2021;8066;3433;4633;4633;0;11693;2505;3406;3406;0;494;328;4960;4960;0;8066.0;3433.0;4633.0;4633.0;0.0;11693.0;2505.0;3406.0;3406.0;0.0;494.0;;4960.0;4960.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;;100.0;;100.0;100.0;
85;13 Textiles;2022;8417;3394;5023;5023;0;12161;2716;3581;3581;0;561;194;5109;5109;0;7517.0;3141.0;4376.0;4376.0;;11020.0;2365.0;3362.0;3362.0;;515.0;;4610.0;4610.0;;-6.8;-8.5;-5.5;-5.5;;-5.8;-5.6;-1.3;-1.3;;4.3;;-7.1;-7.1;;112.0;108.1;114.8;114.8;;110.4;114.8;106.5;106.5;;108.9;;110.8;110.8;
86;13 Textiles;2023;8104;3374;4730;4730;0;11813;2751;3697;3697;0;533;-205;5037;5037;0;6811.0;2887.0;3926.0;3926.0;;10085.0;2274.0;3216.0;3216.0;;467.0;;4312.0;4312.0;;-9.4;-8.1;-10.3;-10.3;;-8.5;-3.9;-4.4;-4.4;;-9.3;;-6.5;-6.5;;119.0;116.9;120.5;120.5;;117.1;121.0;115.0;115.0;;114.1;;116.8;116.8;
87;14 Wearing apparel;2021;13788;765;13023;13015;8;26972;1324;13940;13940;0;0;638;11070;11070;0;13788.0;765.0;13023.0;13015.0;8.0;26972.0;1324.0;13940.0;13940.0;0.0;0.0;;11070.0;11070.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;;;100.0;100.0;
88;14 Wearing apparel;2022;16539;794;15745;15735;10;32272;1366;17118;17118;0;0;761;13027;13027;0;14915.0;737.0;14178.0;14169.0;9.0;30056.0;1259.0;16191.0;16191.0;;;;11865.0;11865.0;;8.2;-3.7;8.9;8.9;12.5;11.4;-4.9;16.1;16.1;;;;7.2;7.2;;110.9;107.7;111.1;111.1;111.1;107.4;108.5;105.7;105.7;;;;109.8;109.8;
89;14 Wearing apparel;2023;15457;772;14685;14675;10;31423;1429;17805;17805;0;0;-107;12296;12296;0;13676.0;674.0;13002.0;12993.0;9.0;28442.0;1297.0;15939.0;15939.0;;;;11269.0;11269.0;;-8.3;-8.6;-8.3;-8.3;0.0;-5.4;3.0;-1.6;-1.6;;;;-5.0;-5.0;;113.0;114.6;112.9;112.9;111.1;110.5;110.2;111.7;111.7;;;;109.1;109.1;
90;15 Leather and related products;2021;6015;409;5606;5606;0;10158;766;3994;3994;0;0;217;5181;5181;0;6015.0;409.0;5606.0;5606.0;0.0;10158.0;766.0;3994.0;3994.0;0.0;0.0;;5181.0;5181.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;;;;100.0;100.0;
91;15 Leather and related products;2022;7387;300;7087;7087;0;12074;755;4413;4413;0;0;386;6520;6520;0;6827.0;288.0;6539.0;6539.0;;11351.0;689.0;4292.0;4292.0;;;;6001.0;6001.0;;13.5;-29.6;16.6;16.6;;11.7;-10.1;7.5;7.5;;;;15.8;15.8;;108.2;104.2;108.4;108.4;;106.4;109.6;102.8;102.8;;;;108.6;108.6;
92;15 Leather and related products;2023;7057;298;6759;6759;0;11856;751;4528;4528;0;0;0;6577;6577;0;6337.0;266.0;6071.0;6071.0;;10783.0;663.0;4246.0;4246.0;;;;5869.0;5869.0;;-7.2;-7.7;-7.2;-7.2;;-5.0;-3.7;-1.1;-1.1;;;;-2.2;-2.2;;111.4;112.1;111.3;111.3;;109.9;113.2;106.6;106.6;;;;112.1;112.1;
93;16-18 Wood, paper and printing services;2021;27165;13296;13869;13249;620;34349;19858;3597;3597;0;325;293;10276;10151;125;27165.0;13296.0;13869.0;13249.0;620.0;34349.0;19858.0;3597.0;3597.0;0.0;325.0;;10276.0;10151.0;125.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;;100.0;100.0;100.0
94;16-18 Wood, paper and printing services;2022;32099;16006;16093;15315;778;39664;23402;3811;3811;0;409;124;11918;11751;167;26288.0;13348.0;12940.0;12184.0;756.0;33433.0;19554.0;3585.0;3585.0;;365.0;;9783.0;9619.0;164.0;-3.2;0.4;-6.7;-8.0;21.9;-2.7;-1.5;-0.3;-0.3;;12.3;;-4.8;-5.2;31.2;122.1;119.9;124.4;125.7;102.9;118.6;119.7;106.3;106.3;;112.1;;121.8;122.2;101.8
95;16-18 Wood, paper and printing services;2023;29189;15290;13899;13058;841;36674;22376;3989;3989;0;393;-44;9960;9819;141;24684.0;12782.0;11911.0;11138.0;790.0;31503.0;19191.0;3399.0;3399.0;;353.0;;8568.0;8430.0;137.0;-6.1;-4.2;-8.0;-8.6;4.5;-5.8;-1.9;-5.2;-5.2;;-3.2;;-12.4;-12.4;-16.8;118.3;119.6;116.7;117.2;106.5;116.4;116.6;117.4;117.4;;111.2;;116.2;116.5;103.3
96;16 Wood, wood and cork products ...;2021;9116;4395;4721;4721;0;12609;8545;1592;1592;0;325;216;1931;1918;13;9116.0;4395.0;4721.0;4721.0;0.0;12609.0;8545.0;1592.0;1592.0;0.0;325.0;;1931.0;1918.0;13.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;;100.0;;100.0;100.0;100.0
97;16 Wood, wood and cork products ...;2022;10513;5096;5417;5417;0;14080;9845;1618;1618;0;409;52;2156;2138;18;8763.0;4487.0;4276.0;4276.0;;12171.0;8426.0;1542.0;1542.0;;365.0;;1787.0;1769.0;18.0;-3.9;2.1;-9.4;-9.4;;-3.5;-1.4;-3.1;-3.1;;12.3;;-7.5;-7.8;38.5;120.0;113.6;126.7;126.7;;115.7;116.8;104.9;104.9;;112.1;;120.6;120.9;100.0
98;16 Wood, wood and cork products ...;2023;9681;5375;4306;4306;0;13239;9459;1645;1645;0;393;-50;1792;1778;14;8387.0;4621.0;3800.0;3800.0;;11688.0;8440.0;1451.0;1451.0;;353.0;;1487.0;1473.0;14.0;-4.3;3.0;-11.1;-11.1;;-4.0;0.2;-5.9;-5.9;;-3.2;;-16.8;-16.7;-22.2;115.4;116.3;113.3;113.3;;113.3;112.1;113.3;113.3;;111.2;;120.5;120.7;100.0
99;17 Paper and paper products;2021;17214;8099;9115;8495;620;20888;10488;1992;1992;0;0;77;8331;8219;112;17214.0;8099.0;9115.0;8495.0;620.0;20888.0;10488.0;1992.0;1992.0;0.0;0.0;;8331.0;8219.0;112.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;;;100.0;100.0;100.0
100;17 Paper and paper products;2022;20504;9849;10655;9877;778;24479;12486;2175;2175;0;0;72;9746;9597;149;16582.0;7937.0;8645.0;7889.0;756.0;20298.0;10197.0;2026.0;2026.0;;;;7980.0;7834.0;146.0;-3.7;-2.0;-5.2;-7.1;21.9;-2.8;-2.8;1.7;1.7;;;;-4.2;-4.7;30.4;123.7;124.1;123.3;125.2;102.9;120.6;122.4;107.4;107.4;;;;122.1;122.5;102.1
101;17 Paper and paper products;2023;18398;8827;9571;8730;841;22304;11781;2328;2328;0;0;43;8152;8025;127;15387.0;7291.0;8096.0;7320.0;790.0;18888.0;9817.0;1934.0;1934.0;;;;7065.0;6942.0;122.0;-7.2;-8.1;-6.4;-7.2;4.5;-6.9;-3.7;-4.6;-4.6;;;;-11.5;-11.4;-16.1;119.6;121.1;118.2;119.3;106.5;118.1;120.0;120.4;120.4;;;;115.4;115.6;103.7
102;18 Printing and recording services;2021;835;802;33;33;0;852;825;13;13;0;0;0;14;14;0;835.0;802.0;33.0;33.0;0.0;852.0;825.0;13.0;13.0;0.0;0.0;;14.0;14.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;;;;100.0;100.0;
103;18 Printing and recording services;2022;1082;1061;21;21;0;1105;1071;18;18;0;0;0;16;16;0;943.0;924.0;19.0;19.0;;964.0;931.0;17.0;17.0;;;;16.0;16.0;;12.9;15.2;-42.4;-42.4;;13.1;12.8;30.8;30.8;;;;14.3;14.3;;114.7;114.8;110.5;110.5;;114.6;115.0;105.9;105.9;;;;100.0;100.0;
104;18 Printing and recording services;2023;1110;1088;22;22;0;1131;1136;16;16;0;0;-37;16;16;0;917.0;898.0;19.0;19.0;;938.0;943.0;13.0;13.0;;;;15.0;15.0;;-2.8;-2.8;0.0;0.0;;-2.7;1.3;-22.2;-22.2;;;;-6.3;-6.3;;121.1;121.2;115.8;115.8;;120.6;120.4;121.0;121.0;;;;106.7;106.7;
105;19 Coke and refined petroleum products;2021;54652;32441;22211;22211;0;68238;20523;10597;10597;0;0;890;36228;35780;448;54652.0;32441.0;22211.0;22211.0;0.0;68238.0;20523.0;10597.0;10597.0;0.0;0.0;;36228.0;35780.0;448.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;;;;100.0;100.0;100.0
106;19 Coke and refined petroleum products;2022;88585;53290;35295;35295;0;102328;30718;12169;12169;0;0;912;58529;57935;594;54562.0;32641.0;21921.0;21921.0;;67783.0;21254.0;10296.0;10296.0;;;;35657.0;35089.0;568.0;-0.2;0.6;-1.3;-1.3;;-0.7;3.6;-2.8;-2.8;;;;-1.6;-1.9;26.8;162.4;163.3;161.0;161.0;;151.0;144.5;118.2;118.2;;;;164.1;165.1;104.6
107;19 Coke and refined petroleum products;2023;76246;46244;30002;30002;0;90644;25814;11453;11453;0;0;447;52930;52426;504;56893.0;34219.0;22671.0;22671.0;;70417.0;21122.0;10504.0;10504.0;;;;38283.0;37686.0;589.0;4.3;4.8;3.4;3.4;;3.9;-0.6;2.0;2.0;;;;7.4;7.4;3.7;134.0;135.1;132.3;132.3;;128.7;122.2;109.0;109.0;;;;138.3;139.1;85.6
108;20-21 Chemicals, pharmaceutical products;2021;149677;71744;77933;75864;2069;172854;51609;13992;9701;4291;0;1718;105535;102562;2973;149677.0;71744.0;77933.0;75864.0;2069.0;172854.0;51609.0;13992.0;9701.0;4291.0;0.0;;105535.0;102562.0;2973.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;;100.0;100.0;100.0
109;20-21 Chemicals, pharmaceutical products;2022;186245;89470;96775;94799;1976;211794;65755;15027;10338;4689;0;2175;128837;124741;4096;153454.0;73060.0;80394.0;78492.0;1902.0;177493.0;52672.0;14423.0;10007.0;4416.0;;;108266.0;104297.0;3969.0;2.5;1.8;3.2;3.5;-8.1;2.7;2.1;3.1;3.2;2.9;;;2.6;1.7;33.5;121.4;122.5;120.4;120.8;103.9;119.3;124.8;104.2;103.3;106.2;;;119.0;119.6;103.2
110;20-21 Chemicals, pharmaceutical products;2023;161660;75129;86531;84440;2091;188019;55313;16240;11144;5096;0;390;116076;112565;3511;143217.0;66001.0;77254.0;75165.0;2131.0;167057.0;48630.0;14879.0;10087.0;4785.0;;;103148.0;99927.0;3133.0;-6.7;-9.7;-3.9;-4.2;12.0;-5.9;-7.7;3.2;0.8;8.4;;;-4.7;-4.2;-21.1;112.9;113.8;112.0;112.3;98.1;112.5;113.7;109.1;110.5;106.5;;;112.5;112.6;112.1
111;20 Chemicals and chemical products;2021;117313;60515;56798;54917;1881;131004;43828;6834;6834;0;0;1298;79044;76535;2509;117313.0;60515.0;56798.0;54917.0;1881.0;131004.0;43828.0;6834.0;6834.0;0.0;0.0;;79044.0;76535.0;2509.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;;;100.0;100.0;100.0
112;20 Chemicals and chemical products;2022;149666;77416;72250;70768;1482;164365;58152;7080;7080;0;0;1538;97595;94147;3448;118392.0;61269.0;57123.0;55697.0;1426.0;132153.0;45570.0;6807.0;6807.0;;;;78270.0;74928.0;3342.0;0.9;1.2;0.6;1.4;-24.2;0.9;4.0;-0.4;-0.4;;;;-1.0;-2.1;33.2;126.4;126.4;126.5;127.1;103.9;124.4;127.6;104.0;104.0;;;;124.7;125.6;103.2
113;20 Chemicals and chemical products;2023;123372;63470;59902;58333;1569;137804;48272;7609;7609;0;0;-130;82053;79106;2947;107177.0;55008.0;52168.0;50596.0;1632.0;120157.0;41967.0;6781.0;6781.0;;;;71365.0;68684.0;2601.0;-9.5;-10.2;-8.7;-9.2;14.4;-9.1;-7.9;-0.4;-0.4;;;;-8.8;-8.3;-22.2;115.1;115.4;114.8;115.3;96.1;114.7;115.0;112.2;112.2;;;;115.0;115.2;113.3
114;21 Basic pharmaceutical products and..;2021;32364;11229;21135;20947;188;41850;7781;7158;2867;4291;0;420;26491;26027;464;32364.0;11229.0;21135.0;20947.0;188.0;41850.0;7781.0;7158.0;2867.0;4291.0;0.0;;26491.0;26027.0;464.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;;100.0;100.0;100.0
115;21 Basic pharmaceutical products and..;2022;36579;12054;24525;24031;494;47429;7603;7947;3258;4689;0;637;31242;30594;648;35062.0;11791.0;23271.0;22795.0;476.0;45340.0;7102.0;7616.0;3200.0;4416.0;;;29996.0;29369.0;627.0;8.3;5.0;10.1;8.8;153.2;8.3;-8.7;6.4;11.6;2.9;;;13.2;12.8;35.1;104.3;102.2;105.4;105.4;103.8;104.6;107.1;104.3;101.8;106.2;;;104.2;104.2;103.3
116;21 Basic pharmaceutical products and..;2023;38288;11659;26629;26107;522;50215;7041;8631;3535;5096;0;520;34023;33459;564;36743.0;11074.0;25631.0;25131.0;499.0;47698.0;6684.0;8097.0;3308.0;4785.0;;;32415.0;31883.0;531.0;4.8;-6.1;10.1;10.2;4.9;5.2;-5.9;6.3;3.4;8.4;;;8.1;8.6;-15.3;104.2;105.3;103.9;103.9;104.6;105.3;105.3;106.6;106.9;106.5;;;105.0;104.9;106.2
117;22-23 Rubber, plastics and other..;2021;39369;18470;20899;20899;0;49536;26869;4316;4316;0;685;859;16807;16807;0;39369.0;18470.0;20899.0;20899.0;0.0;49536.0;26869.0;4316.0;4316.0;0.0;685.0;;16807.0;16807.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;;100.0;;100.0;100.0;
118;22-23 Rubber, plastics and other..;2022;44471;21148;23323;23323;0;55340;30792;4669;4669;0;810;492;18577;18577;0;38689.0;18446.0;20243.0;20243.0;;48788.0;27054.0;4196.0;4196.0;;714.0;;16367.0;16367.0;;-1.7;-0.1;-3.1;-3.1;;-1.5;0.7;-2.8;-2.8;;4.2;;-2.6;-2.6;;114.9;114.6;115.2;115.2;;113.4;113.8;111.3;111.3;;113.4;;113.5;113.5;
119;22-23 Rubber, plastics and other..;2023;42414;19997;22417;22417;0;53185;31909;4811;4811;0;725;-1096;16836;16836;0;35058.0;16271.0;18785.0;18785.0;;44494.0;26386.0;3813.0;3813.0;;610.0;;14544.0;14544.0;;-9.4;-11.8;-7.2;-7.2;;-8.8;-2.5;-9.1;-9.1;;-14.6;;-11.1;-11.1;;121.0;122.9;119.3;119.3;;119.5;120.9;126.2;126.2;;118.9;;115.8;115.8;
120;22 Rubber and plastics products;2021;26958;10935;16023;16023;0;31647;14773;2805;2805;0;387;568;13114;13114;0;26958.0;10935.0;16023.0;16023.0;0.0;31647.0;14773.0;2805.0;2805.0;0.0;387.0;;13114.0;13114.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;;100.0;;100.0;100.0;
121;22 Rubber and plastics products;2022;30079;12221;17858;17858;0;35010;16945;3095;3095;0;464;272;14234;14234;0;25968.0;10503.0;15465.0;15465.0;;30540.0;14739.0;2743.0;2743.0;;400.0;;12414.0;12414.0;;-3.7;-4.0;-3.5;-3.5;;-3.5;-0.2;-2.2;-2.2;;3.4;;-5.3;-5.3;;115.8;116.4;115.5;115.5;;114.6;115.0;112.8;112.8;;116.0;;114.7;114.7;
122;22 Rubber and plastics products;2023;28324;11363;16961;16961;0;33213;17109;3210;3210;0;414;-475;12955;12955;0;23965.0;9565.0;14402.0;14402.0;;28248.0;14642.0;2415.0;2415.0;;354.0;;11231.0;11231.0;;-7.7;-8.9;-6.9;-6.9;;-7.5;-0.7;-12.0;-12.0;;-11.4;;-9.5;-9.5;;118.2;118.8;117.8;117.8;;117.6;116.8;132.9;132.9;;116.8;;115.4;115.4;
123;23 Other non-metallic mineral products;2021;12411;7535;4876;4876;0;17889;12096;1511;1511;0;298;291;3693;3693;0;12411.0;7535.0;4876.0;4876.0;0.0;17889.0;12096.0;1511.0;1511.0;0.0;298.0;;3693.0;3693.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;;100.0;;100.0;100.0;
