ID;SeizoenEnWerkdagcorrectie;Perioden;Totaal_1;k_1BasisonderwijsVmboMbo1OfOnbekend_2;k_2HavoVwoMbo24_3;k_3HboWo_4;Beroepsbevolking_5;WerkzameBeroepsbevolking_6;Deeltijd_7;MinderDan20UurPerWeek_8;k_20Tot35UurPerWeek_9;Voltijd_10;WilMeerUrenWerkenBeschikbaar_11;WilNietMeerWerkenOfNietBeschikbaar_12;Werknemer_13;WerknemerMetVasteArbeidsrelatie_14;WerknemerMetFlexibeleArbeidsrelatie_15;Zelfstandige_16;ZelfstandigeZonderPersoneelZzp_17;ZelfstandigeMetPersoneelOfMeewerkend_18;k_1BasisonderwijsVmboMbo1_19;k_2HavoVwoMbo24_20;k_3HboWo_21;WerklozeBeroepsbevolking_22;Kortdurig_23;LangdurigOfOnbekend_24;Werkloosheidspercentage_25;NietBeroepsbevolking_26;BeschikbaarNietGezocht_27;GezochtNietBeschikbaar_28;NietGezochtNietBeschikbaar_29;BrutoArbeidsparticipatie_30;NettoArbeidsparticipatie_31;k_1BasisonderwijsVmboMbo1OfOnbekend_32;k_2HavoVwoMbo24_33;k_3HboWo_34
10;Oorspronkelijke, ongecorrigeerde cijfers;2015 1e kwartaal;12669.0;3908.0;4975.0;3785.0;9172.0;8395.0;3988.0;1650.0;2338.0;4407.0;821.0;7574.0;7136.0;4627.0;2509.0;1259.0;930.0;329.0;1924.0;3507.0;2965.0;777.0;451.0;326.0;8.5;3497.0;362.0;125.0;3010.0;72.4;66.3;49.2;70.5;78.3
11;Oorspronkelijke, ongecorrigeerde cijfers;2015 2e kwartaal;12680.0;3875.0;4996.0;3809.0;9186.0;8457.0;4024.0;1661.0;2363.0;4432.0;799.0;7657.0;7201.0;4611.0;2590.0;1256.0;926.0;330.0;1944.0;3531.0;2982.0;730.0;417.0;313.0;7.9;3493.0;334.0;157.0;3002.0;72.4;66.7;50.2;70.7;78.3
12;Oorspronkelijke, ongecorrigeerde cijfers;2015 3e kwartaal;12691.0;3798.0;5043.0;3849.0;9191.0;8499.0;4005.0;1625.0;2380.0;4494.0;795.0;7704.0;7233.0;4595.0;2638.0;1266.0;937.0;328.0;1915.0;3582.0;3002.0;692.0;410.0;282.0;7.5;3500.0;342.0;160.0;2998.0;72.4;67.0;50.4;71.0;78.0
13;Oorspronkelijke, ongecorrigeerde cijfers;2015 4e kwartaal;12701.0;3832.0;5005.0;3865.0;9178.0;8480.0;4000.0;1643.0;2357.0;4479.0;793.0;7687.0;7193.0;4600.0;2593.0;1287.0;951.0;335.0;1909.0;3542.0;3029.0;698.0;420.0;278.0;7.6;3523.0;345.0;126.0;3052.0;72.3;66.8;49.8;70.8;78.4
14;Oorspronkelijke, ongecorrigeerde cijfers;2015;12685.0;3853.0;5005.0;3827.0;9182.0;8458.0;4005.0;1645.0;2360.0;4453.0;802.0;7656.0;7191.0;4608.0;2583.0;1267.0;936.0;330.0;1923.0;3540.0;2994.0;724.0;424.0;300.0;7.9;3503.0;346.0;142.0;3015.0;72.4;66.7;49.9;70.7;78.2
15;Oorspronkelijke, ongecorrigeerde cijfers;2016 1e kwartaal;12722.0;3874.0;4986.0;3863.0;9167.0;8456.0;3999.0;1634.0;2365.0;4456.0;801.0;7654.0;7165.0;4604.0;2561.0;1291.0;953.0;338.0;1914.0;3521.0;3021.0;711.0;433.0;278.0;7.8;3555.0;345.0;133.0;3077.0;72.1;66.5;49.4;70.6;78.2
16;Oorspronkelijke, ongecorrigeerde cijfers;2016 2e kwartaal;12753.0;3875.0;5004.0;3874.0;9216.0;8552.0;4032.0;1639.0;2393.0;4520.0;761.0;7791.0;7266.0;4624.0;2642.0;1285.0;950.0;335.0;1967.0;3553.0;3032.0;665.0;393.0;271.0;7.2;3536.0;309.0;157.0;3070.0;72.3;67.1;50.8;71.0;78.3
17;Oorspronkelijke, ongecorrigeerde cijfers;2016 3e kwartaal;12783.0;3788.0;5076.0;3919.0;9240.0;8628.0;4039.0;1597.0;2442.0;4589.0;724.0;7904.0;7332.0;4637.0;2696.0;1296.0;957.0;338.0;1953.0;3618.0;3058.0;612.0;375.0;237.0;6.6;3543.0;326.0;159.0;3058.0;72.3;67.5;51.5;71.3;78.0
18;Oorspronkelijke, ongecorrigeerde cijfers;2016 4e kwartaal;12814.0;3802.0;5055.0;3958.0;9239.0;8644.0;4058.0;1623.0;2435.0;4586.0;706.0;7938.0;7315.0;4625.0;2691.0;1329.0;980.0;349.0;1942.0;3602.0;3100.0;595.0;363.0;232.0;6.4;3575.0;314.0;124.0;3137.0;72.1;67.5;51.1;71.3;78.3
19;Oorspronkelijke, ongecorrigeerde cijfers;2016;12768.0;3835.0;5030.0;3903.0;9215.0;8570.0;4032.0;1623.0;2409.0;4538.0;748.0;7822.0;7270.0;4622.0;2647.0;1300.0;960.0;340.0;1944.0;3573.0;3053.0;646.0;391.0;255.0;7.0;3553.0;324.0;143.0;3086.0;72.2;67.1;50.7;71.0;78.2
20;Oorspronkelijke, ongecorrigeerde cijfers;2017 1e kwartaal;12840.0;3818.0;5036.0;3986.0;9249.0;8640.0;4065.0;1614.0;2450.0;4575.0;714.0;7926.0;7310.0;4629.0;2681.0;1330.0;987.0;343.0;1941.0;3580.0;3119.0;609.0;384.0;225.0;6.6;3591.0;301.0;124.0;3165.0;72.0;67.3;50.8;71.1;78.2
21;Oorspronkelijke, ongecorrigeerde cijfers;2017 2e kwartaal;12860.0;3805.0;5046.0;4009.0;9277.0;8719.0;4104.0;1623.0;2481.0;4615.0;687.0;8031.0;7407.0;4639.0;2768.0;1312.0;978.0;334.0;1951.0;3618.0;3150.0;559.0;348.0;210.0;6.0;3582.0;272.0;153.0;3157.0;72.1;67.8;51.3;71.7;78.6
22;Oorspronkelijke, ongecorrigeerde cijfers;2017 3e kwartaal;12880.0;3701.0;5098.0;4081.0;9321.0;8804.0;4122.0;1590.0;2532.0;4683.0;669.0;8135.0;7490.0;4699.0;2791.0;1315.0;981.0;334.0;1929.0;3667.0;3209.0;517.0;332.0;184.0;5.5;3560.0;271.0;150.0;3139.0;72.4;68.4;52.1;71.9;78.6
23;Oorspronkelijke, ongecorrigeerde cijfers;2017 4e kwartaal;12901.0;3747.0;5041.0;4113.0;9313.0;8815.0;4158.0;1619.0;2539.0;4658.0;659.0;8156.0;7482.0;4720.0;2762.0;1333.0;997.0;336.0;1946.0;3624.0;3245.0;498.0;324.0;174.0;5.3;3587.0;269.0;132.0;3186.0;72.2;68.3;51.9;71.9;78.9
24;Oorspronkelijke, ongecorrigeerde cijfers;2017;12870.0;3768.0;5055.0;4047.0;9290.0;8744.0;4112.0;1612.0;2500.0;4633.0;682.0;8062.0;7422.0;4672.0;2751.0;1322.0;986.0;337.0;1942.0;3622.0;3180.0;546.0;347.0;198.0;5.9;3580.0;278.0;140.0;3162.0;72.2;67.9;51.5;71.6;78.6
25;Oorspronkelijke, ongecorrigeerde cijfers;2018 1e kwartaal;12917.0;3785.0;5007.0;4125.0;9323.0;8819.0;4165.0;1612.0;2553.0;4654.0;655.0;8164.0;7481.0;4733.0;2748.0;1338.0;998.0;340.0;1969.0;3595.0;3256.0;503.0;339.0;165.0;5.4;3595.0;266.0;135.0;3194.0;72.2;68.3;52.0;71.8;78.9
26;Oorspronkelijke, ongecorrigeerde cijfers;2018 2e kwartaal;12930.0;3771.0;4983.0;4176.0;9375.0;8913.0;4227.0;1616.0;2611.0;4685.0;636.0;8277.0;7582.0;4797.0;2785.0;1331.0;995.0;335.0;1984.0;3618.0;3311.0;462.0;302.0;160.0;4.9;3555.0;219.0;160.0;3176.0;72.5;68.9;52.6;72.6;79.3
27;Oorspronkelijke, ongecorrigeerde cijfers;2018 3e kwartaal;12943.0;3655.0;5045.0;4242.0;9439.0;9000.0;4234.0;1577.0;2657.0;4766.0;601.0;8399.0;7672.0;4845.0;2827.0;1328.0;995.0;334.0;1958.0;3676.0;3366.0;439.0;299.0;140.0;4.6;3504.0;229.0;159.0;3116.0;72.9;69.5;53.6;72.9;79.4
28;Oorspronkelijke, ongecorrigeerde cijfers;2018 4e kwartaal;12956.0;3683.0;5022.0;4251.0;9457.0;9026.0;4280.0;1614.0;2665.0;4746.0;595.0;8431.0;7683.0;4880.0;2802.0;1343.0;1009.0;333.0;1975.0;3661.0;3390.0;431.0;303.0;128.0;4.6;3499.0;222.0;131.0;3147.0;73.0;69.7;53.6;72.9;79.8
29;Oorspronkelijke, ongecorrigeerde cijfers;2018;12936.0;3723.0;5015.0;4199.0;9398.0;8939.0;4227.0;1605.0;2622.0;4713.0;622.0;8318.0;7605.0;4814.0;2791.0;1335.0;999.0;336.0;1971.0;3637.0;3331.0;459.0;311.0;148.0;4.9;3538.0;234.0;146.0;3158.0;72.6;69.1;52.9;72.5;79.3
30;Oorspronkelijke, ongecorrigeerde cijfers;2019 1e kwartaal;12975.0;3709.0;4983.0;4283.0;9480.0;9030.0;4308.0;1615.0;2693.0;4722.0;607.0;8423.0;7684.0;4934.0;2750.0;1346.0;1015.0;331.0;1978.0;3639.0;3412.0;450.0;322.0;128.0;4.7;3496.0;225.0;133.0;3138.0;73.1;69.6;53.3;73.0;79.7
31;Oorspronkelijke, ongecorrigeerde cijfers;2019 2e kwartaal;13002.0;3721.0;4976.0;4305.0;9519.0;9104.0;4332.0;1620.0;2712.0;4773.0;579.0;8525.0;7760.0;4974.0;2786.0;1345.0;1010.0;335.0;2017.0;3650.0;3438.0;415.0;305.0;110.0;4.4;3483.0;205.0;161.0;3116.0;73.2;70.0;54.2;73.3;79.9
32;Oorspronkelijke, ongecorrigeerde cijfers;2019 3e kwartaal;13029.0;3620.0;5037.0;4372.0;9568.0;9156.0;4348.0;1580.0;2768.0;4808.0;567.0;8589.0;7808.0;5012.0;2796.0;1348.0;1015.0;332.0;1968.0;3706.0;3482.0;412.0;307.0;105.0;4.3;3461.0;209.0;153.0;3098.0;73.4;70.3;54.4;73.6;79.7
33;Oorspronkelijke, ongecorrigeerde cijfers;2019 4e kwartaal;13055.0;3656.0;4992.0;4407.0;9593.0;9177.0;4367.0;1610.0;2757.0;4810.0;565.0;8612.0;7792.0;5066.0;2726.0;1386.0;1037.0;349.0;1987.0;3667.0;3524.0;416.0;315.0;101.0;4.3;3462.0;211.0;134.0;3117.0;73.5;70.3;54.3;73.5;79.9
34;Oorspronkelijke, ongecorrigeerde cijfers;2019;13015.0;3677.0;4997.0;4342.0;9540.0;9117.0;4339.0;1606.0;2732.0;4778.0;579.0;8537.0;7761.0;4996.0;2765.0;1356.0;1019.0;337.0;1987.0;3665.0;3464.0;423.0;312.0;111.0;4.4;3475.0;213.0;145.0;3117.0;73.3;70.0;54.1;73.4;79.8
35;Oorspronkelijke, ongecorrigeerde cijfers;2020 1e kwartaal;13075.0;3659.0;4969.0;4447.0;9584.0;9174.0;4417.0;1613.0;2805.0;4757.0;562.0;8612.0;7776.0;5129.0;2647.0;1399.0;1047.0;352.0;1972.0;3641.0;3561.0;410.0;315.0;95.0;4.3;3491.0;231.0;128.0;3131.0;73.3;70.2;53.9;73.3;80.1
36;Oorspronkelijke, ongecorrigeerde cijfers;2020 2e kwartaal;13088.0;3628.0;5012.0;4448.0;9511.0;9051.0;4321.0;1546.0;2776.0;4730.0;662.0;8390.0;7646.0;5135.0;2511.0;1405.0;1047.0;358.0;1888.0;3599.0;3563.0;460.0;380.0;81.0;4.8;3576.0;298.0;130.0;3148.0;72.7;69.2;52.1;71.8;80.1
37;Oorspronkelijke, ongecorrigeerde cijfers;2020 3e kwartaal;13101.0;3581.0;5063.0;4457.0;9608.0;9100.0;4322.0;1530.0;2792.0;4778.0;627.0;8473.0;7688.0;5187.0;2501.0;1412.0;1052.0;360.0;1881.0;3663.0;3556.0;508.0;413.0;95.0;5.3;3492.0;242.0;118.0;3132.0;73.3;69.5;52.5;72.4;79.8
38;Oorspronkelijke, ongecorrigeerde cijfers;2020 4e kwartaal;13113.0;3554.0;5027.0;4532.0;9619.0;9138.0;4391.0;1584.0;2807.0;4748.0;625.0;8513.0;7701.0;5182.0;2519.0;1437.0;1069.0;368.0;1868.0;3627.0;3644.0;481.0;380.0;101.0;5.0;3494.0;248.0;109.0;3138.0;73.4;69.7;52.5;72.2;80.4
39;Oorspronkelijke, ongecorrigeerde cijfers;2020;13094.0;3606.0;5018.0;4471.0;9581.0;9116.0;4363.0;1568.0;2795.0;4753.0;619.0;8497.0;7703.0;5158.0;2545.0;1413.0;1054.0;359.0;1902.0;3633.0;3581.0;465.0;372.0;93.0;4.8;3513.0;255.0;121.0;3137.0;73.2;69.6;52.8;72.4;80.1
40;Oorspronkelijke, ongecorrigeerde cijfers;2021 1e kwartaal;13148.0;3562.0;5012.0;4575.0;9599.0;9135.0;4422.0;1598.0;2824.0;4713.0;632.0;8503.0;7699.0;5180.0;2519.0;1437.0;1071.0;366.0;1847.0;3610.0;3679.0;464.0;364.0;100.0;4.8;3549.0;291.0;97.0;3161.0;73.0;69.5;51.9;72.0;80.4
41;Oorspronkelijke, ongecorrigeerde cijfers;2021 2e kwartaal;13139.0;3532.0;4988.0;4619.0;9623.0;9207.0;4434.0;1571.0;2863.0;4773.0;596.0;8611.0;7776.0;5247.0;2529.0;1431.0;1068.0;362.0;1849.0;3624.0;3734.0;416.0;317.0;98.0;4.3;3516.0;231.0;127.0;3158.0;73.2;70.1;52.3;72.6;80.9
42;Oorspronkelijke, ongecorrigeerde cijfers;2021 3e kwartaal;13128.0;3447.0;4971.0;4710.0;9697.0;9309.0;4458.0;1524.0;2934.0;4851.0;509.0;8799.0;7866.0;5234.0;2632.0;1443.0;1077.0;366.0;1840.0;3656.0;3812.0;389.0;301.0;88.0;4.0;3431.0;220.0;121.0;3090.0;73.9;70.9;53.4;73.5;80.9
43;Oorspronkelijke, ongecorrigeerde cijfers;2021 4e kwartaal;13170.0;3443.0;4943.0;4785.0;9734.0;9370.0;4510.0;1564.0;2946.0;4860.0;506.0;8865.0;7900.0;5261.0;2639.0;1470.0;1097.0;373.0;1845.0;3635.0;3891.0;364.0;274.0;90.0;3.7;3437.0;211.0;112.0;3114.0;73.9;71.1;53.6;73.5;81.3
44;Oorspronkelijke, ongecorrigeerde cijfers;2021;13147.0;3496.0;4979.0;4672.0;9663.0;9255.0;4456.0;1564.0;2892.0;4799.0;561.0;8695.0;7810.0;5230.0;2580.0;1445.0;1078.0;367.0;1845.0;3631.0;3779.0;408.0;314.0;94.0;4.2;3483.0;238.0;114.0;3131.0;73.5;70.4;52.8;72.9;80.9
45;Oorspronkelijke, ongecorrigeerde cijfers;2022 1e kwartaal;13175.0;3488.0;4883.0;4804.0;9768.0;9412.0;4500.0;1555.0;2945.0;4912.0;505.0;8907.0;7926.0;5296.0;2630.0;1486.0;1120.0;367.0;1871.0;3614.0;3928.0;356.0;273.0;83.0;3.6;3407.0;196.0;104.0;3107.0;74.1;71.4;53.6;74.0;81.8
46;Oorspronkelijke, ongecorrigeerde cijfers;2022 2e kwartaal;13212.0;3511.0;4887.0;4815.0;9873.0;9544.0;4571.0;1573.0;2998.0;4973.0;501.0;9043.0;8037.0;5282.0;2755.0;1507.0;1143.0;364.0;1943.0;3630.0;3971.0;329.0;249.0;81.0;3.3;3339.0;172.0;123.0;3044.0;74.7;72.2;55.3;74.3;82.5
47;Oorspronkelijke, ongecorrigeerde cijfers;2022 3e kwartaal;13232.0;3389.0;4966.0;4877.0;9939.0;9573.0;4546.0;1494.0;3051.0;5027.0;505.0;9067.0;8009.0;5329.0;2680.0;1564.0;1204.0;359.0;1870.0;3701.0;4001.0;366.0;294.0;72.0;3.7;3293.0;188.0;115.0;2990.0;75.1;72.3;55.2;74.5;82.0
48;Oorspronkelijke, ongecorrigeerde cijfers;2022 4e kwartaal;13291.0;3440.0;4963.0;4888.0;10013.0;9663.0;4636.0;1577.0;3059.0;5027.0;522.0;9141.0;8065.0;5364.0;2701.0;1598.0;1236.0;362.0;1915.0;3713.0;4035.0;350.0;283.0;67.0;3.5;3279.0;201.0;105.0;2973.0;75.3;72.7;55.7;74.8;82.5
49;Oorspronkelijke, ongecorrigeerde cijfers;2022;13228.0;3467.0;4925.0;4836.0;9898.0;9548.0;4563.0;1548.0;3014.0;4985.0;507.0;9041.0;8008.0;5317.0;2691.0;1540.0;1178.0;362.0;1908.0;3660.0;3980.0;350.0;274.0;76.0;3.5;3330.0;190.0;110.0;3029.0;74.8;72.2;55.0;74.3;82.3
50;Oorspronkelijke, ongecorrigeerde cijfers;2023 1e kwartaal;13307.0;3553.0;4944.0;4810.0;10039.0;9668.0;4655.0;1585.0;3070.0;5013.0;556.0;9113.0;8095.0;5361.0;2735.0;1573.0;1215.0;358.0;1979.0;3716.0;3973.0;371.0;300.0;71.0;3.7;3267.0;204.0;101.0;2962.0;75.4;72.7;55.7;75.2;82.6
51;Oorspronkelijke, ongecorrigeerde cijfers;2023 2e kwartaal;13310.0;3574.0;4924.0;4812.0;10079.0;9731.0;4672.0;1576.0;3096.0;5059.0;532.0;9199.0;8164.0;5390.0;2774.0;1567.0;1210.0;357.0;2030.0;3719.0;3983.0;348.0;288.0;59.0;3.4;3231.0;172.0;118.0;2941.0;75.7;73.1;56.8;75.5;82.8
52;Oorspronkelijke, ongecorrigeerde cijfers;2023 3e kwartaal;13317.0;3509.0;4943.0;4865.0;10119.0;9752.0;4658.0;1513.0;3145.0;5094.0;503.0;9249.0;8166.0;5449.0;2717.0;1586.0;1233.0;354.0;2010.0;3731.0;4011.0;366.0;311.0;55.0;3.6;3199.0;190.0;112.0;2897.0;76.0;73.2;57.3;75.5;82.4
53;Oorspronkelijke, ongecorrigeerde cijfers;2023 4e kwartaal;13368.0;3536.0;4927.0;4906.0;10145.0;9796.0;4707.0;1576.0;3131.0;5089.0;519.0;9277.0;8181.0;5465.0;2716.0;1616.0;1261.0;354.0;2021.0;3713.0;4063.0;349.0;290.0;59.0;3.4;3223.0;187.0;102.0;2934.0;75.9;73.3;57.1;75.4;82.8
54;Oorspronkelijke, ongecorrigeerde cijfers;2023;13326.0;3543.0;4935.0;4848.0;10096.0;9737.0;4673.0;1563.0;3110.0;5064.0;528.0;9209.0;8151.0;5416.0;2735.0;1586.0;1230.0;356.0;2010.0;3720.0;4007.0;359.0;298.0;61.0;3.6;3230.0;188.0;108.0;2934.0;75.8;73.1;56.7;75.4;82.7
55;Oorspronkelijke, ongecorrigeerde cijfers;2024 1e kwartaal;13375.0;3583.0;4918.0;4875.0;10153.0;9767.0;4715.0;1594.0;3121.0;5051.0;533.0;9234.0;8165.0;5459.0;2705.0;1602.0;1255.0;348.0;2047.0;3697.0;4024.0;386.0;320.0;66.0;3.8;3222.0;181.0;101.0;2940.0;75.9;73.0;57.1;75.2;82.5
56;Oorspronkelijke, ongecorrigeerde cijfers;2024 2e kwartaal;13377.0;3560.0;4887.0;4931.0;10187.0;9822.0;4741.0;1578.0;3164.0;5081.0;517.0;9305.0;8212.0;5495.0;2717.0;1610.0;1256.0;354.0;2044.0;3686.0;4091.0;365.0;301.0;64.0;3.6;3190.0;165.0;113.0;2913.0;76.2;73.4;57.4;75.4;83.0
57;Oorspronkelijke, ongecorrigeerde cijfers;2024 3e kwartaal;13379.0;3449.0;4939.0;4991.0;10169.0;9792.0;4684.0;1513.0;3171.0;5108.0;487.0;9305.0;8174.0;5531.0;2643.0;1618.0;1263.0;354.0;1973.0;3701.0;4118.0;377.0;312.0;65.0;3.7;3210.0;186.0;109.0;2916.0;76.0;73.2;57.2;74.9;82.5
58;Oorspronkelijke, ongecorrigeerde cijfers;2024 4e kwartaal;13418.0;3480.0;4908.0;5030.0;10171.0;9809.0;4729.0;1573.0;3156.0;5080.0;501.0;9308.0;8179.0;5516.0;2663.0;1630.0;1275.0;355.0;1985.0;3669.0;4155.0;362.0;306.0;56.0;3.6;3247.0;184.0;99.0;2964.0;75.8;73.1;57.1;74.7;82.6
59;Oorspronkelijke, ongecorrigeerde cijfers;2024;13387.0;3518.0;4913.0;4957.0;10170.0;9798.0;4717.0;1565.0;3153.0;5080.0;510.0;9288.0;8183.0;5500.0;2682.0;1615.0;1262.0;353.0;2012.0;3688.0;4097.0;372.0;310.0;63.0;3.7;3217.0;179.0;105.0;2933.0;76.0;73.2;57.2;75.1;82.7
60;Seizoengecorrigeerde cijfers;2013 1e kwartaal;12617.0;3998.0;5097.0;3521.0;9172.0;8464.0;3968.0;1645.0;2323.0;4495.0;799.0;7664.0;7250.0;4785.0;2465.0;1214.0;879.0;335.0;2070.0;3612.0;2781.0;709.0;477.0;232.0;7.7;3444.0;336.0;125.0;2983.0;72.7;67.1;51.8;70.9;79.0
61;Seizoengecorrigeerde cijfers;2013 2e kwartaal;12631.0;3944.0;5121.0;3565.0;9183.0;8434.0;3964.0;1645.0;2319.0;4470.0;793.0;7641.0;7205.0;4750.0;2454.0;1229.0;890.0;339.0;2035.0;3602.0;2796.0;749.0;491.0;258.0;8.2;3448.0;360.0;127.0;2960.0;72.7;66.8;51.6;70.3;78.4
62;Seizoengecorrigeerde cijfers;2013 3e kwartaal;12645.0;3989.0;5066.0;3589.0;9198.0;8415.0;3956.0;1644.0;2312.0;4459.0;814.0;7601.0;7171.0;4704.0;2466.0;1244.0;901.0;343.0;2036.0;3573.0;2806.0;782.0;503.0;279.0;8.5;3447.0;369.0;129.0;2949.0;72.7;66.6;51.0;70.5;78.2
63;Seizoengecorrigeerde cijfers;2013 4e kwartaal;12659.0;3981.0;5064.0;3614.0;9199.0;8422.0;3983.0;1660.0;2323.0;4438.0;857.0;7565.0;7171.0;4658.0;2513.0;1251.0;908.0;343.0;2027.0;3564.0;2830.0;778.0;497.0;280.0;8.5;3459.0;358.0;126.0;2976.0;72.7;66.5;50.9;70.4;78.3
64;Seizoengecorrigeerde cijfers;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;Seizoengecorrigeerde cijfers;2014 1e kwartaal;12665.0;3952.0;5052.0;3662.0;9153.0;8359.0;3942.0;1638.0;2304.0;4417.0;840.0;7520.0;7118.0;4615.0;2503.0;1242.0;901.0;341.0;1970.0;3538.0;2851.0;793.0;500.0;293.0;8.7;3513.0;370.0;126.0;3016.0;72.3;66.0;49.8;70.0;77.9
66;Seizoengecorrigeerde cijfers;2014 2e kwartaal;12665.0;3909.0;5071.0;3685.0;9127.0;8354.0;3943.0;1636.0;2307.0;4411.0;829.0;7525.0;7108.0;4599.0;2509.0;1246.0;912.0;334.0;1935.0;3549.0;2870.0;773.0;482.0;291.0;8.5;3537.0;376.0;125.0;3036.0;72.1;66.0;49.5;70.0;77.9
