ID;RegionAndCompanyCharacteristics;Periods;PronouncedBankruptciesCompanies_1;k_0105AgricultureHuntingFishing_2;k_1037ManufacturingMiningQuarrying_3;k_45Construction_4;k_5052RepairOfConsumerGoodsAndTrade_5;k_55HotelsAndRestaurants_6;k_6064TransportStorageCommunication_7;k_6567FinancialIntermediation_8;k_7075BusinessIntermediation_9;k_80EducationAndOthers_10;OtherUnknownEconomicActivity_11
31;North of the Netherlands;2005;615.0;20.0;69.0;115.0;147.0;49.0;43.0;62.0;87.0;20.0;3.0
32;North of the Netherlands;2006;489.0;18.0;51.0;69.0;127.0;41.0;19.0;55.0;86.0;19.0;4.0
33;North of the Netherlands;2007;418.0;13.0;54.0;71.0;104.0;21.0;16.0;30.0;80.0;26.0;3.0
34;North of the Netherlands;2008;454.0;24.0;41.0;79.0;116.0;17.0;27.0;39.0;80.0;31.0;0.0
35;North of the Netherlands;2009;728.0;15.0;90.0;96.0;164.0;25.0;48.0;84.0;158.0;48.0;0.0
36;North of the Netherlands;2010;669.0;8.0;103.0;108.0;138.0;28.0;40.0;49.0;157.0;37.0;1.0
37;North of the Netherlands;2011;633.0;16.0;81.0;118.0;157.0;33.0;47.0;42.0;112.0;27.0;0.0
38;East of the Netherlands;1993;1055.0;24.0;184.0;133.0;302.0;68.0;49.0;66.0;156.0;56.0;17.0
39;East of the Netherlands;1994;991.0;21.0;153.0;120.0;300.0;71.0;42.0;61.0;172.0;45.0;6.0
40;East of the Netherlands;1995;860.0;15.0;119.0;96.0;303.0;70.0;47.0;28.0;134.0;44.0;4.0
41;East of the Netherlands;1996;870.0;17.0;116.0;125.0;282.0;61.0;56.0;26.0;134.0;48.0;5.0
42;East of the Netherlands;1997;862.0;18.0;135.0;109.0;279.0;65.0;51.0;36.0;111.0;52.0;6.0
43;East of the Netherlands;1998;780.0;18.0;107.0;118.0;227.0;45.0;58.0;42.0;121.0;41.0;3.0
44;East of the Netherlands;1999;628.0;7.0;88.0;90.0;176.0;32.0;42.0;25.0;127.0;38.0;3.0
45;East of the Netherlands;2000;724.0;14.0;98.0;94.0;205.0;48.0;42.0;36.0;140.0;42.0;5.0
46;East of the Netherlands;2001;926.0;14.0;133.0;116.0;230.0;42.0;43.0;54.0;236.0;51.0;7.0
47;East of the Netherlands;2002;974.0;14.0;139.0;123.0;235.0;29.0;54.0;97.0;234.0;48.0;1.0
48;East of the Netherlands;2003;1373.0;23.0;223.0;172.0;303.0;61.0;59.0;140.0;329.0;59.0;4.0
49;East of the Netherlands;2004;1387.0;30.0;176.0;161.0;325.0;69.0;86.0;177.0;287.0;71.0;5.0
50;East of the Netherlands;2005;1439.0;21.0;178.0;187.0;334.0;81.0;93.0;176.0;291.0;68.0;10.0
51;East of the Netherlands;2006;1237.0;19.0;127.0;141.0;308.0;137.0;86.0;123.0;237.0;54.0;5.0
52;East of the Netherlands;2007;1013.0;13.0;125.0;106.0;288.0;71.0;55.0;104.0;188.0;61.0;2.0
53;East of the Netherlands;2008;998.0;20.0;104.0;127.0;287.0;60.0;39.0;95.0;210.0;56.0;0.0
54;East of the Netherlands;2009;1795.0;29.0;240.0;237.0;446.0;63.0;97.0;205.0;382.0;96.0;0.0
55;East of the Netherlands;2010;1593.0;28.0;227.0;248.0;361.0;93.0;81.0;148.0;292.0;113.0;2.0
56;East of the Netherlands;2011;1530.0;28.0;229.0;234.0;355.0;91.0;78.0;126.0;304.0;82.0;3.0
57;West of the Netherlands;1993;2832.0;75.0;339.0;343.0;854.0;151.0;181.0;190.0;531.0;133.0;35.0
58;West of the Netherlands;1994;2804.0;78.0;331.0;345.0;855.0;136.0;188.0;170.0;529.0;154.0;18.0
59;West of the Netherlands;1995;2492.0;71.0;220.0;284.0;786.0;191.0;151.0;139.0;499.0;122.0;29.0
60;West of the Netherlands;1996;2288.0;45.0;238.0;295.0;746.0;154.0;146.0;97.0;424.0;121.0;22.0
61;West of the Netherlands;1997;2313.0;49.0;203.0;286.0;714.0;175.0;184.0;126.0;416.0;142.0;18.0
62;West of the Netherlands;1998;2016.0;31.0;191.0;249.0;631.0;153.0;128.0;107.0;381.0;139.0;6.0
63;West of the Netherlands;1999;1594.0;23.0;153.0;218.0;502.0;88.0;121.0;81.0;320.0;80.0;8.0
64;West of the Netherlands;2000;1727.0;27.0;151.0;262.0;483.0;84.0;143.0;107.0;356.0;98.0;16.0
65;West of the Netherlands;2001;2125.0;30.0;150.0;293.0;567.0;83.0;178.0;118.0;572.0;121.0;13.0
66;West of the Netherlands;2002;2504.0;42.0;207.0;281.0;562.0;92.0;169.0;239.0;766.0;136.0;10.0
67;West of the Netherlands;2003;3033.0;73.0;289.0;413.0;639.0;123.0;201.0;299.0;838.0;136.0;22.0
68;West of the Netherlands;2004;3185.0;109.0;293.0;388.0;756.0;141.0;170.0;343.0;818.0;151.0;16.0
69;West of the Netherlands;2005;3203.0;69.0;244.0;395.0;766.0;208.0;221.0;329.0;759.0;169.0;43.0
70;West of the Netherlands;2006;2854.0;84.0;178.0;393.0;646.0;256.0;186.0;254.0;657.0;176.0;24.0
71;West of the Netherlands;2007;2136.0;33.0;159.0;288.0;511.0;145.0;117.0;198.0;529.0;153.0;3.0
72;West of the Netherlands;2008;2102.0;31.0;169.0;275.0;510.0;109.0;127.0;209.0;535.0;132.0;5.0
73;West of the Netherlands;2009;3604.0;63.0;305.0;456.0;843.0;134.0;210.0;354.0;995.0;244.0;0.0
74;West of the Netherlands;2010;3298.0;75.0;343.0;464.0;736.0;139.0;193.0;287.0;807.0;254.0;0.0
75;West of the Netherlands;2011;3269.0;65.0;268.0;465.0;733.0;190.0;154.0;301.0;869.0;223.0;1.0
76;South of the Netherlands;1993;1162.0;32.0;191.0;164.0;340.0;71.0;78.0;70.0;170.0;34.0;12.0
77;South of the Netherlands;1994;1090.0;18.0;172.0;174.0;328.0;81.0;69.0;50.0;153.0;42.0;3.0
78;South of the Netherlands;1995;996.0;17.0;140.0;135.0;305.0;71.0;53.0;42.0;178.0;39.0;16.0
79;South of the Netherlands;1996;958.0;11.0;135.0;148.0;293.0;71.0;56.0;37.0;158.0;43.0;6.0
80;South of the Netherlands;1997;841.0;13.0;134.0;107.0;264.0;55.0;62.0;42.0;127.0;23.0;14.0
81;South of the Netherlands;1998;842.0;9.0;124.0;130.0;245.0;62.0;63.0;30.0;130.0;47.0;2.0
82;South of the Netherlands;1999;716.0;22.0;114.0;113.0;204.0;32.0;37.0;37.0;129.0;27.0;1.0
83;South of the Netherlands;2000;790.0;8.0;135.0;120.0;185.0;41.0;54.0;32.0;171.0;39.0;5.0
84;South of the Netherlands;2001;899.0;12.0;156.0;156.0;193.0;40.0;54.0;47.0;193.0;39.0;9.0
85;South of the Netherlands;2002;1074.0;10.0;161.0;154.0;227.0;38.0;72.0;87.0;274.0;44.0;7.0
86;South of the Netherlands;2003;1352.0;16.0;194.0;196.0;281.0;59.0;97.0;146.0;317.0;40.0;6.0
87;South of the Netherlands;2004;1482.0;33.0;201.0;218.0;354.0;86.0;77.0;157.0;283.0;63.0;10.0
88;South of the Netherlands;2005;1523.0;29.0;166.0;200.0;348.0;82.0;112.0;177.0;319.0;80.0;10.0
89;South of the Netherlands;2006;1361.0;20.0;149.0;163.0;340.0;106.0;105.0;137.0;271.0;58.0;12.0
90;South of the Netherlands;2007;1035.0;24.0;125.0;150.0;260.0;61.0;52.0;113.0;204.0;44.0;2.0
91;South of the Netherlands;2008;1081.0;13.0;112.0;147.0;298.0;47.0;83.0;105.0;204.0;70.0;2.0
92;South of the Netherlands;2009;1913.0;36.0;280.0;208.0;481.0;89.0;121.0;183.0;430.0;85.0;0.0
93;South of the Netherlands;2010;1650.0;29.0;207.0;303.0;393.0;85.0;104.0;104.0;360.0;63.0;2.0
94;South of the Netherlands;2011;1702.0;34.0;199.0;273.0;343.0;111.0;101.0;138.0;382.0;118.0;3.0
95;Province of Groningen;1993;169.0;5.0;38.0;21.0;48.0;19.0;7.0;5.0;15.0;8.0;3.0
96;Province of Groningen;1994;166.0;6.0;20.0;16.0;55.0;20.0;8.0;6.0;20.0;14.0;1.0
97;Province of Groningen;1995;163.0;6.0;20.0;25.0;45.0;21.0;8.0;7.0;18.0;11.0;2.0
98;Province of Groningen;1996;154.0;4.0;20.0;15.0;52.0;26.0;11.0;3.0;16.0;5.0;2.0
99;Province of Groningen;1997;160.0;4.0;24.0;29.0;48.0;16.0;6.0;5.0;23.0;4.0;1.0
100;Province of Groningen;1998;136.0;0.0;19.0;21.0;38.0;17.0;6.0;3.0;21.0;11.0;0.0
101;Province of Groningen;1999;115.0;4.0;19.0;17.0;26.0;11.0;9.0;2.0;19.0;6.0;2.0
102;Province of Groningen;2000;117.0;4.0;10.0;22.0;36.0;9.0;2.0;9.0;19.0;6.0;0.0
103;Province of Groningen;2001;130.0;1.0;19.0;25.0;24.0;18.0;7.0;4.0;24.0;8.0;0.0
104;Province of Groningen;2002;154.0;1.0;28.0;23.0;40.0;8.0;8.0;12.0;28.0;5.0;1.0
105;Province of Groningen;2003;250.0;1.0;36.0;43.0;45.0;13.0;19.0;31.0;49.0;12.0;1.0
106;Province of Groningen;2004;215.0;3.0;25.0;36.0;43.0;17.0;16.0;26.0;35.0;13.0;1.0
107;Province of Groningen;2005;233.0;6.0;27.0;36.0;64.0;20.0;9.0;24.0;36.0;10.0;1.0
108;Province of Groningen;2006;171.0;1.0;16.0;22.0;55.0;13.0;10.0;19.0;24.0;9.0;2.0
109;Province of Groningen;2007;156.0;3.0;23.0;21.0;45.0;11.0;9.0;12.0;21.0;9.0;2.0
110;Province of Groningen;2008;153.0;3.0;18.0;21.0;43.0;7.0;8.0;12.0;29.0;12.0;0.0
111;Province of Groningen;2009;234.0;4.0;20.0;36.0;50.0;9.0;23.0;28.0;46.0;18.0;0.0
112;Province of Groningen;2010;259.0;1.0;36.0;40.0;44.0;12.0;23.0;14.0;73.0;16.0;0.0
113;Province of Groningen;2011;215.0;3.0;29.0;36.0;54.0;12.0;22.0;14.0;34.0;11.0;0.0
114;Province of Friesland;1993;165.0;6.0;21.0;26.0;47.0;14.0;8.0;15.0;20.0;7.0;1.0
115;Province of Friesland;1994;155.0;7.0;28.0;17.0;43.0;15.0;8.0;4.0;20.0;11.0;2.0
116;Province of Friesland;1995;140.0;4.0;19.0;22.0;42.0;17.0;8.0;6.0;10.0;12.0;0.0
117;Province of Friesland;1996;163.0;1.0;23.0;27.0;51.0;14.0;5.0;9.0;23.0;9.0;1.0
118;Province of Friesland;1997;130.0;2.0;20.0;15.0;32.0;15.0;8.0;8.0;21.0;9.0;0.0
119;Province of Friesland;1998;131.0;7.0;16.0;20.0;36.0;8.0;7.0;1.0;22.0;12.0;2.0
120;Province of Friesland;1999;96.0;4.0;13.0;10.0;32.0;9.0;9.0;4.0;13.0;2.0;0.0
121;Province of Friesland;2000;114.0;3.0;17.0;16.0;33.0;6.0;5.0;10.0;22.0;2.0;0.0
122;Province of Friesland;2001;124.0;1.0;27.0;25.0;29.0;5.0;4.0;11.0;19.0;2.0;1.0
123;Province of Friesland;2002;132.0;1.0;36.0;17.0;28.0;3.0;6.0;17.0;20.0;3.0;1.0
124;Province of Friesland;2003;195.0;3.0;35.0;22.0;40.0;5.0;15.0;15.0;48.0;9.0;3.0
125;Province of Friesland;2004;179.0;2.0;23.0;27.0;42.0;10.0;10.0;20.0;33.0;12.0;0.0
126;Province of Friesland;2005;190.0;2.0;25.0;38.0;43.0;18.0;12.0;15.0;28.0;9.0;0.0
127;Province of Friesland;2006;148.0;4.0;21.0;20.0;30.0;14.0;5.0;17.0;30.0;5.0;2.0
128;Province of Friesland;2007;130.0;1.0;23.0;27.0;33.0;5.0;4.0;3.0;28.0;5.0;1.0
129;Province of Friesland;2008;129.0;2.0;13.0;29.0;29.0;7.0;4.0;12.0;25.0;8.0;0.0
130;Province of Friesland;2009;229.0;5.0;40.0;28.0;47.0;6.0;4.0;26.0;65.0;8.0;0.0
131;Province of Friesland;2010;180.0;4.0;28.0;33.0;34.0;8.0;8.0;10.0;44.0;10.0;1.0
132;Province of Friesland;2011;196.0;5.0;30.0;40.0;44.0;11.0;11.0;11.0;38.0;6.0;0.0
133;Province of Drenthe;1993;129.0;7.0;17.0;15.0;35.0;12.0;10.0;2.0;23.0;7.0;1.0
134;Province of Drenthe;1994;127.0;4.0;14.0;16.0;44.0;17.0;5.0;3.0;13.0;9.0;2.0
135;Province of Drenthe;1995;132.0;5.0;13.0;18.0;42.0;13.0;7.0;5.0;18.0;11.0;0.0
136;Province of Drenthe;1996;101.0;6.0;4.0;8.0;36.0;12.0;15.0;3.0;14.0;2.0;1.0
137;Province of Drenthe;1997;103.0;6.0;9.0;14.0;33.0;6.0;6.0;1.0;21.0;6.0;1.0
138;Province of Drenthe;1998;110.0;4.0;18.0;21.0;29.0;11.0;6.0;0.0;15.0;6.0;0.0
139;Province of Drenthe;1999;89.0;0.0;6.0;19.0;23.0;7.0;9.0;2.0;18.0;5.0;0.0
140;Province of Drenthe;2000;107.0;1.0;17.0;17.0;22.0;7.0;8.0;10.0;16.0;9.0;0.0
141;Province of Drenthe;2001;126.0;3.0;22.0;30.0;26.0;4.0;12.0;8.0;19.0;2.0;0.0
142;Province of Drenthe;2002;125.0;3.0;33.0;9.0;28.0;3.0;6.0;11.0;24.0;8.0;0.0
143;Province of Drenthe;2003;183.0;6.0;27.0;41.0;38.0;10.0;13.0;12.0;30.0;5.0;1.0
144;Province of Drenthe;2004;200.0;12.0;23.0;25.0;42.0;9.0;13.0;19.0;41.0;14.0;2.0
145;Province of Drenthe;2005;192.0;12.0;17.0;41.0;40.0;11.0;22.0;23.0;23.0;1.0;2.0
146;Province of Drenthe;2006;170.0;13.0;14.0;27.0;42.0;14.0;4.0;19.0;32.0;5.0;0.0
147;Province of Drenthe;2007;132.0;9.0;8.0;23.0;26.0;5.0;3.0;15.0;31.0;12.0;0.0
148;Province of Drenthe;2008;172.0;19.0;10.0;29.0;44.0;3.0;15.0;15.0;26.0;11.0;0.0
149;Province of Drenthe;2009;265.0;6.0;30.0;32.0;67.0;10.0;21.0;30.0;47.0;22.0;0.0
150;Province of Drenthe;2010;230.0;3.0;39.0;35.0;60.0;8.0;9.0;25.0;40.0;11.0;0.0
151;Province of Drenthe;2011;222.0;8.0;22.0;42.0;59.0;10.0;14.0;17.0;40.0;10.0;0.0
152;Province of Overijssel;1993;356.0;6.0;58.0;39.0;101.0;29.0;19.0;26.0;53.0;20.0;5.0
153;Province of Overijssel;1994;334.0;6.0;62.0;40.0;99.0;31.0;15.0;21.0;44.0;13.0;3.0
154;Province of Overijssel;1995;311.0;5.0;43.0;31.0;116.0;24.0;22.0;9.0;44.0;15.0;2.0
155;Province of Overijssel;1996;290.0;2.0;44.0;37.0;113.0;23.0;13.0;5.0;37.0;15.0;1.0
156;Province of Overijssel;1997;289.0;2.0;49.0;34.0;95.0;26.0;12.0;15.0;36.0;18.0;2.0
157;Province of Overijssel;1998;239.0;6.0;31.0;39.0;72.0;13.0;24.0;10.0;33.0;10.0;1.0
158;Province of Overijssel;1999;200.0;1.0;33.0;29.0;56.0;16.0;13.0;6.0;31.0;13.0;2.0
159;Province of Overijssel;2000;211.0;4.0;31.0;27.0;67.0;8.0;11.0;13.0;36.0;12.0;2.0
160;Province of Overijssel;2001;329.0;5.0;52.0;40.0;84.0;15.0;10.0;19.0;81.0;20.0;3.0
161;Province of Overijssel;2002;309.0;4.0;58.0;37.0;85.0;6.0;15.0;23.0;68.0;13.0;0.0
162;Province of Overijssel;2003;420.0;6.0;66.0;54.0;104.0;15.0;27.0;43.0;89.0;16.0;0.0
163;Province of Overijssel;2004;442.0;13.0;71.0;51.0;104.0;20.0;24.0;56.0;71.0;29.0;3.0
164;Province of Overijssel;2005;429.0;4.0;70.0;40.0;105.0;34.0;23.0;46.0;82.0;20.0;5.0
165;Province of Overijssel;2006;387.0;9.0;38.0;41.0;89.0;48.0;23.0;39.0;78.0;21.0;1.0
166;Province of Overijssel;2007;332.0;2.0;40.0;32.0;78.0;21.0;22.0;43.0;65.0;27.0;2.0
167;Province of Overijssel;2008;313.0;6.0;35.0;39.0;88.0;31.0;11.0;30.0;57.0;16.0;0.0
168;Province of Overijssel;2009;558.0;6.0;75.0;75.0;148.0;17.0;31.0;67.0;114.0;25.0;0.0
169;Province of Overijssel;2010;562.0;7.0;94.0;89.0;125.0;34.0;35.0;55.0;80.0;42.0;1.0
170;Province of Overijssel;2011;540.0;7.0;102.0;84.0;133.0;32.0;24.0;43.0;87.0;27.0;1.0
171;Province of Flevoland;1993;113.0;1.0;22.0;14.0;33.0;7.0;4.0;7.0;14.0;6.0;5.0
172;Province of Flevoland;1994;97.0;1.0;11.0;13.0;29.0;4.0;7.0;1.0;22.0;6.0;3.0
173;Province of Flevoland;1995;90.0;1.0;16.0;9.0;23.0;9.0;9.0;5.0;15.0;3.0;0.0
174;Province of Flevoland;1996;106.0;6.0;8.0;17.0;42.0;7.0;3.0;3.0;11.0;7.0;2.0
175;Province of Flevoland;1997;126.0;7.0;17.0;14.0;39.0;6.0;9.0;4.0;19.0;11.0;0.0
176;Province of Flevoland;1998;93.0;3.0;11.0;11.0;29.0;1.0;10.0;5.0;15.0;7.0;1.0
177;Province of Flevoland;1999;74.0;1.0;7.0;15.0;21.0;1.0;3.0;3.0;21.0;2.0;0.0
178;Province of Flevoland;2000;73.0;2.0;7.0;10.0;22.0;3.0;3.0;6.0;15.0;4.0;1.0
179;Province of Flevoland;2001;121.0;3.0;14.0;17.0;32.0;9.0;10.0;6.0;22.0;7.0;1.0
180;Province of Flevoland;2002;127.0;2.0;11.0;12.0;29.0;4.0;10.0;21.0;38.0;0.0;0.0
181;Province of Flevoland;2003;187.0;4.0;32.0;29.0;41.0;2.0;1.0;16.0;56.0;6.0;0.0
182;Province of Flevoland;2004;201.0;3.0;23.0;30.0;60.0;4.0;12.0;24.0;36.0;8.0;1.0
183;Province of Flevoland;2005;232.0;8.0;20.0;26.0;57.0;9.0;13.0;34.0;55.0;10.0;0.0
184;Province of Flevoland;2006;144.0;2.0;11.0;17.0;43.0;10.0;7.0;11.0;35.0;7.0;1.0
185;Province of Flevoland;2007;144.0;4.0;19.0;14.0;43.0;4.0;5.0;13.0;32.0;10.0;0.0
186;Province of Flevoland;2008;160.0;7.0;14.0;10.0;39.0;7.0;3.0;20.0;50.0;10.0;0.0
187;Province of Flevoland;2009;242.0;6.0;33.0;26.0;60.0;7.0;7.0;28.0;64.0;11.0;0.0
188;Province of Flevoland;2010;190.0;7.0;27.0;20.0;49.0;9.0;5.0;18.0;38.0;17.0;0.0
189;Province of Flevoland;2011;209.0;4.0;35.0;18.0;50.0;6.0;8.0;18.0;54.0;16.0;0.0
190;Province of Gelderland;1993;586.0;17.0;104.0;80.0;168.0;32.0;26.0;33.0;89.0;30.0;7.0
191;Province of Gelderland;1994;560.0;14.0;80.0;67.0;172.0;36.0;20.0;39.0;106.0;26.0;0.0
192;Province of Gelderland;1995;459.0;9.0;60.0;56.0;164.0;37.0;16.0;14.0;75.0;26.0;2.0
193;Province of Gelderland;1996;474.0;9.0;64.0;71.0;127.0;31.0;40.0;18.0;86.0;26.0;2.0
194;Province of Gelderland;1997;447.0;9.0;69.0;61.0;145.0;33.0;30.0;17.0;56.0;23.0;4.0
195;Province of Gelderland;1998;448.0;9.0;65.0;68.0;126.0;31.0;24.0;27.0;73.0;24.0;1.0
196;Province of Gelderland;1999;354.0;5.0;48.0;46.0;99.0;15.0;26.0;16.0;75.0;23.0;1.0
197;Province of Gelderland;2000;440.0;8.0;60.0;57.0;116.0;37.0;28.0;17.0;89.0;26.0;2.0
198;Province of Gelderland;2001;476.0;6.0;67.0;59.0;114.0;18.0;23.0;29.0;133.0;24.0;3.0
199;Province of Gelderland;2002;538.0;8.0;70.0;74.0;121.0;19.0;29.0;53.0;128.0;35.0;1.0
200;Province of Gelderland;2003;766.0;13.0;125.0;89.0;158.0;44.0;31.0;81.0;184.0;37.0;4.0
201;Province of Gelderland;2004;744.0;14.0;82.0;80.0;161.0;45.0;50.0;97.0;180.0;34.0;1.0
202;Province of Gelderland;2005;778.0;9.0;88.0;121.0;172.0;38.0;57.0;96.0;154.0;38.0;5.0
203;Province of Gelderland;2006;706.0;8.0;78.0;83.0;176.0;79.0;56.0;73.0;124.0;26.0;3.0
204;Province of Gelderland;2007;537.0;7.0;66.0;60.0;167.0;46.0;28.0;48.0;91.0;24.0;0.0
205;Province of Gelderland;2008;525.0;7.0;55.0;78.0;160.0;22.0;25.0;45.0;103.0;30.0;0.0
206;Province of Gelderland;2009;995.0;17.0;132.0;136.0;238.0;39.0;59.0;110.0;204.0;60.0;0.0
207;Province of Gelderland;2010;841.0;14.0;106.0;139.0;187.0;50.0;41.0;75.0;174.0;54.0;1.0
208;Province of Gelderland;2011;781.0;17.0;92.0;132.0;172.0;53.0;46.0;65.0;163.0;39.0;2.0
209;Province of Utrecht;1993;415.0;7.0;47.0;57.0;136.0;17.0;14.0;33.0;79.0;20.0;5.0
210;Province of Utrecht;1994;373.0;3.0;44.0;39.0;121.0;13.0;14.0;30.0;81.0;24.0;4.0
211;Province of Utrecht;1995;308.0;2.0;29.0;45.0;99.0;17.0;16.0;15.0;69.0;13.0;3.0
212;Province of Utrecht;1996;274.0;1.0;25.0;28.0;95.0;12.0;16.0;18.0;55.0;18.0;6.0
213;Province of Utrecht;1997;299.0;2.0;30.0;44.0;88.0;26.0;14.0;19.0;59.0;14.0;3.0
214;Province of Utrecht;1998;249.0;1.0;28.0;38.0;74.0;13.0;12.0;21.0;46.0;16.0;0.0
215;Province of Utrecht;1999;224.0;3.0;18.0;28.0;75.0;9.0;16.0;17.0;39.0;17.0;2.0
216;Province of Utrecht;2000;277.0;5.0;19.0;31.0;85.0;8.0;21.0;23.0;70.0;13.0;2.0
217;Province of Utrecht;2001;309.0;6.0;25.0;29.0;70.0;9.0;24.0;18.0;106.0;19.0;3.0
218;Province of Utrecht;2002;461.0;0.0;34.0;47.0;90.0;11.0;21.0;52.0;179.0;27.0;0.0
219;Province of Utrecht;2003;464.0;10.0;40.0;58.0;93.0;13.0;23.0;52.0;145.0;28.0;2.0
220;Province of Utrecht;2004;516.0;5.0;53.0;43.0;102.0;22.0;30.0;53.0;181.0;25.0;2.0
221;Province of Utrecht;2005;439.0;1.0;49.0;58.0;102.0;20.0;23.0;38.0;117.0;24.0;7.0
222;Province of Utrecht;2006;385.0;2.0;19.0;67.0;94.0;34.0;23.0;32.0;83.0;25.0;6.0
223;Province of Utrecht;2007;378.0;1.0;34.0;60.0;89.0;8.0;15.0;32.0;110.0;27.0;2.0
224;Province of Utrecht;2008;321.0;2.0;37.0;36.0;79.0;13.0;22.0;39.0;75.0;18.0;0.0
225;Province of Utrecht;2009;615.0;1.0;48.0;77.0;153.0;18.0;22.0;74.0;182.0;40.0;0.0
226;Province of Utrecht;2010;502.0;7.0;60.0;64.0;104.0;18.0;22.0;35.0;150.0;42.0;0.0
227;Province of Utrecht;2011;471.0;3.0;39.0;68.0;93.0;21.0;19.0;42.0;149.0;37.0;0.0
228;Province of Noord-Holland;1993;992.0;9.0;130.0;84.0;319.0;49.0;55.0;65.0;216.0;57.0;8.0
229;Province of Noord-Holland;1994;990.0;10.0;127.0;101.0;310.0;45.0;57.0;67.0;206.0;60.0;7.0
230;Province of Noord-Holland;1995;860.0;9.0;81.0;70.0;281.0;74.0;34.0;70.0;172.0;57.0;12.0
231;Province of Noord-Holland;1996;830.0;6.0;88.0;93.0;300.0;66.0;32.0;38.0;147.0;55.0;5.0
