ID;RelatieMetDeOverledene;KenmerkenVanDeVerkrijger;Perioden;AantalVerkrijgers_1;TotaalBrutoVerkrijging_2;GemiddeldBrutoVerkrijging_3;MediaanBrutoVerkrijging_4;TotaalVerschuldigdeBelasting_5;GemiddeldVerschuldigdeBelasting_6;MediaanVerschuldigdeBelasting_7;TotaalNettoVerkrijging_8;GemiddeldNettoVerkrijging_9;MediaanNettoVerkrijging_10
273;Relatie met overledene: totaal;SEC: pensioenontvanger;2008;35.0;2609.1;74.5;37.1;251.4;7.2;0.0;2357.7;67.3;33.6
274;Relatie met overledene: totaal;SEC: pensioenontvanger;2009;37.4;2737.0;73.3;36.6;274.9;7.4;0.0;2462.0;65.9;32.8
275;Relatie met overledene: totaal;SEC: pensioenontvanger;2010;36.5;3092.0;84.8;44.0;275.1;7.5;0.0;2816.9;77.2;39.3
276;Relatie met overledene: totaal;SEC: pensioenontvanger;2011;38.5;3279.5;85.2;45.4;287.9;7.5;0.1;2991.6;77.7;40.7
277;Relatie met overledene: totaal;SEC: pensioenontvanger;2012;39.7;3245.8;81.8;42.1;293.6;7.4;0.2;2952.2;74.4;37.3
278;Relatie met overledene: totaal;SEC: pensioenontvanger;2013;39.5;3169.5;80.3;40.0;293.2;7.4;0.3;2876.3;72.9;35.1
279;Relatie met overledene: totaal;SEC: pensioenontvanger;2014;38.0;3005.6;79.1;37.1;289.9;7.6;0.3;2715.6;71.5;32.3
280;Relatie met overledene: totaal;SEC: pensioenontvanger;2015;39.3;3103.4;78.9;36.0;305.6;7.8;0.4;2797.8;71.1;31.6
281;Relatie met overledene: totaal;SEC: pensioenontvanger;2016;40.1;3171.7;79.1;36.0;304.4;7.6;0.4;2867.3;71.5;31.4
282;Relatie met overledene: totaal;SEC: pensioenontvanger;2017;44.7;3505.4;78.4;33.1;336.3;7.5;0.1;3169.1;70.9;28.7
283;Relatie met overledene: totaal;SEC: pensioenontvanger;2018;48.2;3733.2;77.4;32.6;364.0;7.6;0.0;3369.3;69.9;28.2
284;Relatie met overledene: totaal;SEC: pensioenontvanger;2019;49.6;4010.0;80.8;36.5;364.5;7.3;0.0;3645.5;73.5;31.9
285;Relatie met overledene: totaal;SEC: pensioenontvanger;2020;56.0;4639.7;82.9;37.7;404.6;7.2;0.0;4235.2;75.6;33.4
286;Relatie met overledene: totaal;SEC: pensioenontvanger;2021;60.2;5353.7;88.9;41.5;482.9;8.0;0.0;4870.9;80.9;36.7
287;Relatie met overledene: totaal;SEC: pensioenontvanger;2022;60.3;5319.3;88.2;45.7;449.1;7.5;0.0;4870.1;80.8;41.0
288;Relatie met overledene: totaal;SEC:(school)kind of student;2007;5.2;243.8;47.0;14.9;38.0;7.3;0.1;205.8;39.6;13.8
289;Relatie met overledene: totaal;SEC:(school)kind of student;2008;5.4;213.5;39.6;14.5;31.1;5.8;0.1;182.3;33.8;13.7
290;Relatie met overledene: totaal;SEC:(school)kind of student;2009;5.7;212.9;37.3;13.3;27.0;4.7;0.0;185.9;32.6;12.3
291;Relatie met overledene: totaal;SEC:(school)kind of student;2010;5.5;275.8;50.0;19.0;30.2;5.5;0.2;245.6;44.5;18.5
292;Relatie met overledene: totaal;SEC:(school)kind of student;2011;5.6;247.3;44.5;19.1;31.7;5.7;0.3;215.5;38.8;19.1
293;Relatie met overledene: totaal;SEC:(school)kind of student;2012;5.4;269.3;49.5;19.1;35.1;6.4;0.2;234.2;43.1;19.1
294;Relatie met overledene: totaal;SEC:(school)kind of student;2013;5.4;224.0;41.2;19.5;28.5;5.3;0.0;195.4;36.0;19.5
295;Relatie met overledene: totaal;SEC:(school)kind of student;2014;6.3;386.3;61.6;19.0;36.3;5.8;0.0;349.9;55.8;19.0
