ID;Plaatsnamen;Gemeentecode_1;Gemeentenaam_2;EGGCode_3;EGGNaam_4;Provinciecode_5;ProvincienaamAfkorting_6;PlaatsnaamPTTWoonplaatsnaam_7;PlaatsnaamGemeentenaam_8;Plaatsnaam_9;PlaatsnaamVolgnummer_10
14;Aalst;214;Buren                      ;37;Oostelijke Betuwe                       ;25;Gld.;nee;nee;Aalst                      ;1640
15;Aalst, Ter;826;Oosterhout                 ;104;Gebied om Breda                         ;30;NB. ;nee;nee;Aalst, Ter                 ;4310
16;501;58;Dongeradeel                ;12;Friese bouwstreek                       ;21;F.  ;ja ;nee;Aalsum                     ;501
17;473;56;Zuidhorn                   ;1;Groninger Hoogeland en N. Westerkwartier;20;Gr. ;nee;nee;Aalsum                     ;473
18;Aalten;197;Aalten                     ;30;Overige gemeenten oostelijke Achterhoek ;25;Gld.;ja ;ja ;Aalten                     ;1494
19;Aam;1734;Overbetuwe                 ;37;Oostelijke Betuwe                       ;25;Gld.;nee;nee;Aam                        ;6272
20;Aanschot;848;Son en Breugel             ;114;Randgebied Eindhoven                    ;30;NB. ;nee;nee;Aanschot                   ;4418
21;Aanwas;873;Woensdrecht                ;102;Bergen op Zoom, Roosendaal en omgeving  ;30;NB. ;nee;nee;Aanwas                     ;4632
22;Aar, Ter;480;Ter Aar                    ;72;Noordelijke veenstreek in Zuid-Holland  ;28;ZH. ;ja ;ja ;Aar, Ter                   ;2905
23;876;106;Assen                      ;17;Drentse zandgronden                     ;22;D.  ;ja ;nee;Aard, Ter                  ;876
24;Aardam;480;Ter Aar                    ;72;Noordelijke veenstreek in Zuid-Holland  ;28;ZH. ;nee;nee;Aardam                     ;2906
25;Aardenburg;1698;Sluis-Aardenburg           ;98;West-Zeeuwsch-Vlaanderen                ;29;Z.  ;ja ;nee;Aardenburg                 ;5878
26;Aardhuis;200;Apeldoorn                  ;33;Apeldoorn                               ;25;Gld.;nee;nee;Aardhuis                   ;1511
27;Aardswoud;432;Opmeer                     ;54;Midden- en Oostelijk West-Friesland     ;27;NH. ;ja ;nee;Aardswoud                  ;2720
28;Aarlanderveen;484;Alphen aan den Rijn        ;73;Rijnstreek Zuid-Holland                 ;28;ZH. ;ja ;nee;Aarlanderveen              ;2923
29;Aarle;753;Best                       ;114;Randgebied Eindhoven                    ;30;NB. ;nee;nee;Aarle                      ;3938
30;Aarle;1659;Laarbeek                   ;115;Industriegebied Helmond                 ;30;NB. ;nee;nee;Aarle                      ;5465
31;Aarle-Rixtel;1659;Laarbeek                   ;115;Industriegebied Helmond                 ;30;NB. ;ja ;nee;Aarle-Rixtel               ;5466
32;Aast;1507;Horst aan de Maas          ;120;Noord-Limburg                           ;31;L.  ;nee;nee;Aast                       ;5328
33;Aasterberg;902;Echt                       ;122;Overig Midden-Limburg ten oosten v. Maas;31;L.  ;nee;nee;Aasterberg                 ;4776
34;Abbega;683;Wymbritseradiel            ;10;Fries weidegebied                       ;21;F.  ;ja ;nee;Abbega                     ;3568
35;Abbegaesterketting;683;Wymbritseradiel            ;10;Fries weidegebied                       ;21;F.  ;nee;nee;Abbegaesterketting         ;3569
36;Abbekerk;529;Noorder-Koggenland         ;54;Midden- en Oostelijk West-Friesland     ;27;NH. ;ja ;nee;Abbekerk                   ;3043
37;Abbekinderen;664;Goes                       ;97;Noord- en Zuid-Beveland                 ;29;Z.  ;nee;nee;Abbekinderen               ;3492
38;Abbenbroek;568;Bernisse                   ;91;Voorne-Putten en Rozenburg              ;28;ZH. ;ja ;nee;Abbenbroek                 ;3153
39;Abbenes;394;Haarlemmermeer             ;62;Noordhollandse Meerlanden               ;27;NH. ;ja ;nee;Abbenes                    ;2591
40;Abbestede;476;Zijpe                      ;52;Overige gemeenten Kop van Noord-Holland ;27;NH. ;nee;nee;Abbestede                  ;2846
41;Abcoude;305;Abcoude                    ;48;Vechtstreek en Plassengebied in Utrecht ;26;U.  ;ja ;ja ;Abcoude                    ;2208
42;Abcoven;785;Goirle                     ;108;Gebied om Tilburg                       ;30;NB. ;nee;nee;Abcoven                    ;4127
43;Abdissenbosch;882;Landgraaf                  ;125;Oostelijke Mijnstreek                   ;31;L.  ;nee;nee;Abdissenbosch              ;4696
44;Absdale;677;Hulst                      ;100;Overige gem.  Oost-Zeeuwsch-Vlaanderen  ;29;Z.  ;nee;nee;Absdale                    ;3546
45;Absdalepolder;677;Hulst                      ;100;Overige gem.  Oost-Zeeuwsch-Vlaanderen  ;29;Z.  ;nee;nee;Absdalepolder              ;3547
46;Abtswoude;503;Delft                      ;82;Delft                                   ;28;ZH. ;nee;nee;Abtswoude                  ;2989
47;596;70;Franekeradeel              ;12;Friese bouwstreek                       ;21;F.  ;ja ;nee;Achlum                     ;596
48;Acht;772;Eindhoven                  ;113;Eindhoven                               ;30;NB. ;nee;nee;Acht                       ;4068
49;Achter-Lindt;642;Zwijndrecht                ;87;Oostelijk IJsselmonde                   ;28;ZH. ;nee;nee;Achter-Lindt               ;3412
50;43;9;Ten Boer                   ;1;Groninger Hoogeland en N. Westerkwartier;20;Gr. ;nee;nee;Achter-Thesinge            ;43
51;Achterberg;340;Rhenen                     ;44;Utrechtse Heuvelrug                     ;26;U.  ;nee;nee;Achterberg                 ;2357
52;Achterbos;736;De Ronde Venen             ;48;Vechtstreek en Plassengebied in Utrecht ;26;U.  ;nee;nee;Achterbos                  ;3842
53;Achterbosch;743;Asten                      ;118;Brabantse Peel                          ;30;NB. ;nee;nee;Achterbosch                ;3899
54;Achterbosch;1659;Laarbeek                   ;115;Industriegebied Helmond                 ;30;NB. ;nee;nee;Achterbosch                ;5467
55;Achterbroek;847;Someren                    ;118;Brabantse Peel                          ;30;NB. ;nee;nee;Achterbroek                ;4406
56;Achterbroek;491;Bergambacht                ;75;Krimpenerwaard                          ;28;ZH. ;nee;nee;Achterbroek                ;2944
57;154;18;Hoogezand-Sappemeer        ;4;Groninger Veenkoloniën                  ;20;Gr. ;nee;nee;Achterdiep                 ;154
58;Achterdijk;1709;Moerdijk                   ;101;Zeekleigebied in Noord-Brabant          ;30;NB. ;nee;nee;Achterdijk                 ;6002
59;Achterdrempt;256;Hummelo en Keppel          ;27;Oude-IJsselgebied (westelijk deel)      ;25;Gld.;nee;nee;Achterdrempt               ;1867
60;Achtereind;866;Waalre                     ;114;Randgebied Eindhoven                    ;30;NB. ;nee;nee;Achtereind                 ;4589
61;Achterhoek;840;Rucphen                    ;102;Bergen op Zoom, Roosendaal en omgeving  ;30;NB. ;nee;nee;Achterhoek                 ;4349
62;969;118;Hoogeveen                  ;18;Zuiddrents randgebied                   ;22;D.  ;nee;nee;Achterom                   ;969
63;Achterschaijk;828;Oss                        ;111;Maaskant                                ;30;NB. ;nee;nee;Achterschaijk              ;4323
64;Achtersloot;353;IJsselstein                ;46;Nieuwegein, IJsselstein                 ;26;U.  ;nee;nee;Achtersloot                ;2411
65;Achtersluispolder;479;Zaanstad                   ;58;Zaanstreek                              ;27;NH. ;nee;nee;Achtersluispolder          ;2872
66;Achterste Brug;858;Valkenswaard               ;117;Valkenswaard en oostelijke randgemeenten;30;NB. ;nee;nee;Achterste Brug             ;4520
67;891;109;Coevorden                  ;18;Zuiddrents randgebied                   ;22;D.  ;nee;nee;Achterste Erm              ;891
68;Achterste Hees;964;Sevenum                    ;120;Noord-Limburg                           ;31;L.  ;nee;nee;Achterste Hees             ;5137
69;Achterste Heide;828;Oss                        ;111;Maaskant                                ;30;NB. ;nee;nee;Achterste Heide            ;4324
70;Achterste Heikant;1667;Reusel-De Mierden          ;116;Kempenland                              ;30;NB. ;nee;nee;Achterste Heikant          ;5550
71;Achterstehoek;226;Duiven                     ;26;De Lijmers                              ;25;Gld.;nee;nee;Achterstehoek              ;1702
72;Achterveld;327;Leusden                    ;43;Utrechtse Vallei en Eemgebied           ;26;U.  ;ja ;nee;Achterveld                 ;2302
73;Achterveld, In het;266;Neede                      ;30;Overige gemeenten oostelijke Achterhoek ;25;Gld.;nee;nee;Achterveld, In het         ;1938
74;Achterveld, In het;160;Hardenberg                 ;21;Noordoost-Overijssel                    ;23;O.  ;nee;nee;Achterveld, In het         ;1165
75;Achterwehl;292;Wehl                       ;26;De Lijmers                              ;25;Gld.;nee;nee;Achterwehl                 ;2113
76;Achterwetering;310;De Bilt                    ;44;Utrechtse Heuvelrug                     ;26;U.  ;nee;nee;Achterwetering             ;2248
77;Achterwijzend;529;Noorder-Koggenland         ;54;Midden- en Oostelijk West-Friesland     ;27;NH. ;nee;nee;Achterwijzend              ;3044
78;Achthoven;707;Zederik                    ;78;Vijfheerenlanden                        ;28;ZH. ;nee;nee;Achthoven                  ;3704
79;Achthoven;335;Montfoort                  ;49;Utrechts weidegebied                    ;26;U.  ;nee;nee;Achthoven                  ;2345
80;Achthuizen;580;Oostflakkee                ;92;Goeree en Overflakkee                   ;28;ZH. ;ja ;nee;Achthuizen                 ;3178
81;540;59;Achtkarspelen              ;9;Fries zandgebied                        ;21;F.  ;nee;ja ;Achtkarspelen              ;540
82;Achtmaal;879;Zundert                    ;104;Gebied om Breda                         ;30;NB. ;ja ;nee;Achtmaal                   ;4652
83;Achttienhoven;569;Nieuwkoop                  ;72;Noordelijke veenstreek in Zuid-Holland  ;28;ZH. ;nee;nee;Achttienhoven              ;3161
84;Achttienhoven-Westbroek;310;De Bilt                    ;44;Utrechtse Heuvelrug                     ;26;U.  ;nee;nee;Achttienhoven-Westbroek    ;2249
85;Acquoy;236;Geldermalsen               ;38;Westelijke Betuwe                       ;25;Gld.;ja ;nee;Acquoy                     ;1787
86;405;53;Winsum                     ;6;Groninger centrale Weidestreek          ;20;Gr. ;ja ;nee;Adorp                      ;405
87;474;56;Zuidhorn                   ;1;Groninger Hoogeland en N. Westerkwartier;20;Gr. ;ja ;nee;Aduard                     ;474
88;406;53;Winsum                     ;6;Groninger centrale Weidestreek          ;20;Gr. ;nee;nee;Aduarderzijl               ;406
89;Aerdenhout;377;Bloemendaal                ;61;Overige gemeenten Zuid-Kennemerland     ;27;NH. ;ja ;nee;Aerdenhout                 ;2542
90;Aerdt;196;Rijnwaarden                ;26;De Lijmers                              ;25;Gld.;ja ;nee;Aerdt                      ;1481
91;Aetveldsche Polder;457;Weesp                      ;65;Vechtstreek in Noord-Holland            ;27;NH. ;nee;nee;Aetveldsche Polder         ;2794
92;Afferden;893;Bergen                     ;120;Noord-Limburg                           ;31;L.  ;ja ;nee;Afferden                   ;4743
93;Afferden;225;Druten                     ;41;Land van Maas en Waal                   ;25;Gld.;ja ;nee;Afferden                   ;1695
94;Agelo;149;Denekamp                   ;24;Overige gemeenten in Twente             ;23;O.  ;ja ;nee;Agelo                      ;1079
95;313;48;Vlagtwedde                 ;4;Groninger Veenkoloniën                  ;20;Gr. ;nee;nee;Agobuurt                   ;313
96;Aijen;893;Bergen                     ;120;Noord-Limburg                           ;31;L.  ;nee;nee;Aijen                      ;4744
97;Akersloot;383;Castricum                  ;55;Noord-Kennemerland                      ;27;NH. ;ja ;nee;Akersloot                  ;2552
98;725;85;Ooststellingwerf           ;9;Fries zandgebied                        ;21;F.  ;nee;nee;Akinga                     ;725
99;Akker;1674;Roosendaal                 ;102;Bergen op Zoom, Roosendaal en omgeving  ;30;NB. ;nee;nee;Akker                      ;5618
100;Akkereind;861;Veldhoven                  ;114;Randgebied Eindhoven                    ;30;NB. ;nee;nee;Akkereind                  ;4561
101;Akkerput;692;Oostburg                   ;98;West-Zeeuwsch-Vlaanderen                ;29;Z.  ;nee;nee;Akkerput                   ;3632
102;580;65;Dantumadeel                ;9;Fries zandgebied                        ;21;F.  ;nee;nee;Akkerwoude                 ;580
103;435;55;Boarnsterhim               ;10;Fries weidegebied                       ;21;F.  ;ja ;nee;Akkrum                     ;435
104;358;51;Skarsterlân                ;10;Fries weidegebied                       ;21;F.  ;ja ;nee;Akmarijp                   ;358
105;Albergen;183;Tubbergen                  ;24;Overige gemeenten in Twente             ;23;O.  ;ja ;nee;Albergen                   ;1409
106;Alblasserdam;482;Alblasserdam               ;76;Industriegebied Alblasserwaard          ;28;ZH. ;ja ;ja ;Alblasserdam               ;2911
107;Albrandswaard;613;Albrandswaard              ;86;Westelijk IJsselmonde                   ;28;ZH. ;nee;ja ;Albrandswaard              ;3312
108;436;55;Boarnsterhim               ;10;Fries weidegebied                       ;21;F.  ;ja ;nee;Aldeboarn                  ;436
109;Aldemiede;737;Tytsjerksteradiel          ;9;Fries zandgebied                        ;21;F.  ;nee;nee;Aldemiede                  ;3862
110;Aldtsjerk;737;Tytsjerksteradiel          ;9;Fries zandgebied                        ;21;F.  ;nee;nee;Aldtsjerk                  ;3863
111;Alem;263;Maasdriel                  ;42;Bommelerwaard                           ;25;Gld.;ja ;nee;Alem                       ;1911
112;Alendorp;344;Utrecht                    ;47;Stad Utrecht                            ;26;U.  ;nee;nee;Alendorp                   ;2378
113;Alerdink;177;Raalte                     ;22;Zuidwest-Overijssel                     ;23;O.  ;nee;nee;Alerdink                   ;1322
114;407;53;Winsum                     ;6;Groninger centrale Weidestreek          ;20;Gr. ;nee;nee;Alinghuizen                ;407
115;Alkemade;483;Alkemade                   ;72;Noordelijke veenstreek in Zuid-Holland  ;28;ZH. ;nee;ja ;Alkemade                   ;2913
116;Alkmaar;361;Alkmaar                    ;55;Noord-Kennemerland                      ;27;NH. ;ja ;ja ;Alkmaar                    ;2442
117;408;53;Winsum                     ;6;Groninger centrale Weidestreek          ;20;Gr. ;nee;nee;Allersma                   ;408
118;Allingawier;710;Wûnseradiel                ;10;Fries weidegebied                       ;21;F.  ;ja ;nee;Allingawier                ;3720
119;Almelo;141;Almelo                     ;24;Overige gemeenten in Twente             ;23;O.  ;ja ;ja ;Almelo                     ;1045
120;Almen;239;Gorssel                    ;28;Overige gemeenten westelijke Achterhoek ;25;Gld.;ja ;nee;Almen                      ;1814
121;631;72;Harlingen                  ;12;Friese bouwstreek                       ;21;F.  ;nee;nee;Almenum                    ;631
122;227;34;Almere                     ;129;Zuidelijke IJsselmeerpolders            ;24;Fle.;ja ;ja ;Almere                     ;227
123;228;34;Almere                     ;129;Zuidelijke IJsselmeerpolders            ;24;Fle.;nee;nee;Almere-Buiten              ;228
124;229;34;Almere                     ;129;Zuidelijke IJsselmeerpolders            ;24;Fle.;nee;nee;Almere-Haven               ;229
125;230;34;Almere                     ;129;Zuidelijke IJsselmeerpolders            ;24;Fle.;nee;nee;Almere-Stad                ;230
126;Almkerk;874;Woudrichem                 ;105;Land van Altena                         ;30;NB. ;ja ;nee;Almkerk                    ;4644
127;Alphen;668;West Maas en Waal          ;41;Land van Maas en Waal                   ;25;Gld.;ja ;nee;Alphen                     ;3503
128;Alphen;1723;Alphen-Chaam               ;108;Gebied om Tilburg                       ;30;NB. ;ja ;nee;Alphen                     ;6101
129;Alphen aan den Rijn;484;Alphen aan den Rijn        ;73;Rijnstreek Zuid-Holland                 ;28;ZH. ;ja ;ja ;Alphen aan den Rijn        ;2924
130;Alphen-Chaam;1723;Alphen-Chaam               ;108;Gebied om Tilburg                       ;30;NB. ;nee;ja ;Alphen-Chaam               ;6102
131;Altena;1699;Noordenveld                ;14;Noorddrents randgebied                  ;22;D.  ;nee;nee;Altena                     ;5889
132;231;37;Stadskanaal                ;4;Groninger Veenkoloniën                  ;20;Gr. ;ja ;nee;Alteveer                   ;231
133;Alteveer;202;Arnhem                     ;35;Arnhem                                  ;25;Gld.;nee;nee;Alteveer                   ;1540
134;Alteveer;1699;Noordenveld                ;14;Noorddrents randgebied                  ;22;D.  ;ja ;nee;Alteveer                   ;5890
135;Alteveer;1690;De Wolden                  ;18;Zuiddrents randgebied                   ;22;D.  ;ja ;nee;Alteveer                   ;5799
136;Altforst;668;West Maas en Waal          ;41;Land van Maas en Waal                   ;25;Gld.;ja ;nee;Altforst                   ;3504
137;Alting;1731;Midden-Drenthe             ;17;Drentse zandgronden                     ;22;D.  ;nee;nee;Alting                     ;6231
138;Alting-Klatering;1731;Midden-Drenthe             ;17;Drentse zandgronden                     ;22;D.  ;nee;nee;Alting-Klatering           ;6232
139;Altweert;988;Weert                      ;123;Midden-Limburg ten westen van de Maas   ;31;L.  ;nee;nee;Altweert                   ;5271
140;Altweerterheide;988;Weert                      ;123;Midden-Limburg ten westen van de Maas   ;31;L.  ;nee;nee;Altweerterheide            ;5272
141;Alverna;296;Wijchen                    ;40;Gebied om Nijmegen                      ;25;Gld.;nee;nee;Alverna                    ;2141
142;Alvershool;820;Nuenen c.a.                ;114;Randgebied Eindhoven                    ;30;NB. ;nee;nee;Alvershool                 ;4278
143;Ambt Delden;1735;Hof van Twente             ;24;Overige gemeenten in Twente             ;23;O.  ;ja ;nee;Ambt Delden                ;6296
144;Ambt Montfort;1679;Ambt Montfort              ;122;Overig Midden-Limburg ten oosten v. Maas;31;L.  ;nee;ja ;Ambt Montfort              ;5672
145;Amby;935;Maastricht                 ;126;Maastricht                              ;31;L.  ;nee;nee;Amby                       ;4966
146;Ameide;707;Zederik                    ;78;Vijfheerenlanden                        ;28;ZH. ;ja ;nee;Ameide                     ;3705
147;562;60;Ameland                    ;13;Friese Waddeneilanden                   ;21;F.  ;nee;ja ;Ameland                    ;562
148;877;106;Assen                      ;17;Drentse zandgronden                     ;22;D.  ;nee;nee;Amelte                     ;877
149;Amen;1680;Aa en Hunze                ;16;Overige gemeenten Drentse Veenkoloniën  ;22;D.  ;ja ;nee;Amen                       ;5686
150;America;1507;Horst aan de Maas          ;120;Noord-Limburg                           ;31;L.  ;ja ;nee;America                    ;5329
151;Amerongen;306;Amerongen                  ;44;Utrechtse Heuvelrug                     ;26;U.  ;ja ;ja ;Amerongen                  ;2215
152;Amersfoort;307;Amersfoort                 ;43;Utrechtse Vallei en Eemgebied           ;26;U.  ;ja ;ja ;Amersfoort                 ;2220
153;Amersfoortsestraat;342;Soest                      ;44;Utrechtse Heuvelrug                     ;26;U.  ;nee;nee;Amersfoortsestraat         ;2365
154;Ammerstol;491;Bergambacht                ;75;Krimpenerwaard                          ;28;ZH. ;ja ;nee;Ammerstol                  ;2945
155;Ammerzoden;263;Maasdriel                  ;42;Bommelerwaard                           ;25;Gld.;ja ;nee;Ammerzoden                 ;1912
156;Ampsen;262;Lochem                     ;28;Overige gemeenten westelijke Achterhoek ;25;Gld.;nee;nee;Ampsen                     ;1894
157;Amstel, Langs de;305;Abcoude                    ;48;Vechtstreek en Plassengebied in Utrecht ;26;U.  ;nee;nee;Amstel, Langs de           ;2209
158;Amsteldijk;362;Amstelveen                 ;64;Zuidelijk randgebied Amsterdam          ;27;NH. ;nee;nee;Amsteldijk                 ;2447
159;Amsteleind;828;Oss                        ;111;Maaskant                                ;30;NB. ;nee;nee;Amsteleind                 ;4325
160;Amstelhoek;736;De Ronde Venen             ;48;Vechtstreek en Plassengebied in Utrecht ;26;U.  ;ja ;nee;Amstelhoek                 ;3843
161;Amstelveen;362;Amstelveen                 ;64;Zuidelijk randgebied Amsterdam          ;27;NH. ;ja ;ja ;Amstelveen                 ;2448
162;Amstenrade;962;Schinnen                   ;124;Westelijke Mijnstreek                   ;31;L.  ;ja ;nee;Amstenrade                 ;5122
163;Amsterdam;363;Amsterdam                  ;63;Amsterdam                               ;27;NH. ;ja ;ja ;Amsterdam                  ;2461
164;Amsterdam-Zuidoost;363;Amsterdam                  ;63;Amsterdam                               ;27;NH. ;ja ;nee;Amsterdam-Zuidoost         ;2462
165;933;114;Emmen                      ;15;Emmen                                   ;22;D.  ;nee;nee;Amsterdamsche Veld         ;933
166;60;10;Delfzijl                   ;2;Appingedam, Delfzijl                    ;20;Gr. ;nee;nee;Amsweer                    ;60
167;Andel;874;Woudrichem                 ;105;Land van Altena                         ;30;NB. ;ja ;nee;Andel                      ;4645
168;409;53;Winsum                     ;6;Groninger centrale Weidestreek          ;20;Gr. ;ja ;nee;Andel, Den                 ;409
169;Andelst;1734;Overbetuwe                 ;37;Oostelijke Betuwe                       ;25;Gld.;ja ;nee;Andelst                    ;6273
170;Anderen;1680;Aa en Hunze                ;16;Overige gemeenten Drentse Veenkoloniën  ;22;D.  ;ja ;nee;Anderen                    ;5687
171;Andijk;364;Andijk                     ;54;Midden- en Oostelijk West-Friesland     ;27;NH. ;ja ;ja ;Andijk                     ;2480
172;Ane;160;Hardenberg                 ;21;Noordoost-Overijssel                    ;23;O.  ;ja ;nee;Ane                        ;1166
173;Anerveen;160;Hardenberg                 ;21;Noordoost-Overijssel                    ;23;O.  ;ja ;nee;Anerveen                   ;1167
174;Anevelde;160;Hardenberg                 ;21;Noordoost-Overijssel                    ;23;O.  ;ja ;nee;Anevelde                   ;1168
175;934;114;Emmen                      ;15;Emmen                                   ;22;D.  ;nee;nee;Angelslo                   ;934
176;Angeren;206;Bemmel                     ;37;Oostelijke Betuwe                       ;25;Gld.;ja ;nee;Angeren                    ;1584
177;Angerlo;199;Angerlo                    ;26;De Lijmers                              ;25;Gld.;ja ;ja ;Angerlo                    ;1502
178;Anholt;1690;De Wolden                  ;18;Zuiddrents randgebied                   ;22;D.  ;nee;nee;Anholt                     ;5800
179;502;58;Dongeradeel                ;12;Friese bouwstreek                       ;21;F.  ;ja ;nee;Anjum                      ;502
180;Ankeveen;1696;Wijdemeren                 ;65;Vechtstreek in Noord-Holland            ;27;NH. ;ja ;nee;Ankeveen                   ;5860
181;Ankeveense Rade;1696;Wijdemeren                 ;65;Vechtstreek in Noord-Holland            ;27;NH. ;nee;nee;Ankeveense Rade            ;5861
182;Anklaar;200;Apeldoorn                  ;33;Apeldoorn                               ;25;Gld.;nee;nee;Anklaar                    ;1512
183;Ankum;148;Dalfsen                    ;20;IJssel-, Vechtdelta                     ;23;O.  ;nee;nee;Ankum                      ;1060
184;Anloo;1680;Aa en Hunze                ;16;Overige gemeenten Drentse Veenkoloniën  ;22;D.  ;ja ;nee;Anloo                      ;5688
185;Anna Jacobapolder;716;Tholen                     ;94;Sint Philipsland en Tholen              ;29;Z.  ;nee;nee;Anna Jacobapolder          ;3793
186;Anna Paulowna;366;Anna Paulowna              ;52;Overige gemeenten Kop van Noord-Holland ;27;NH. ;ja ;ja ;Anna Paulowna              ;2490
187;Annadal;935;Maastricht                 ;126;Maastricht                              ;31;L.  ;nee;nee;Annadal                    ;4967
188;Anneburen;683;Wymbritseradiel            ;10;Fries weidegebied                       ;21;F.  ;nee;nee;Anneburen                  ;3570
189;Annen;1680;Aa en Hunze                ;16;Overige gemeenten Drentse Veenkoloniën  ;22;D.  ;ja ;nee;Annen                      ;5689
190;Annendaal;902;Echt                       ;122;Overig Midden-Limburg ten oosten v. Maas;31;L.  ;nee;nee;Annendaal                  ;4777
191;Annerveen;1680;Aa en Hunze                ;16;Overige gemeenten Drentse Veenkoloniën  ;22;D.  ;nee;nee;Annerveen                  ;5690
192;Annerveenschekanaal;1680;Aa en Hunze                ;16;Overige gemeenten Drentse Veenkoloniën  ;22;D.  ;ja ;nee;Annerveenschekanaal        ;5691
193;Anninkshoek;164;Hengelo                    ;24;Overige gemeenten in Twente             ;23;O.  ;nee;nee;Anninkshoek                ;1226
194;878;106;Assen                      ;17;Drentse zandgronden                     ;22;D.  ;nee;nee;Anreep                     ;878
195;Ansen;1690;De Wolden                  ;18;Zuiddrents randgebied                   ;22;D.  ;ja ;nee;Ansen                      ;5801
196;314;48;Vlagtwedde                 ;4;Groninger Veenkoloniën                  ;20;Gr. ;ja ;nee;Apel, Ter                  ;314
197;Apeldoorn;200;Apeldoorn                  ;33;Apeldoorn                               ;25;Gld.;ja ;ja ;Apeldoorn                  ;1513
198;315;48;Vlagtwedde                 ;4;Groninger Veenkoloniën                  ;20;Gr. ;ja ;nee;Apelkanaal, Ter            ;315
199;Apenhuizen;144;Bathmen                    ;22;Zuidwest-Overijssel                     ;23;O.  ;nee;nee;Apenhuizen                 ;1051
200;Aperloo;230;Elburg                     ;32;IJsselmeerkust                          ;25;Gld.;nee;nee;Aperloo                    ;1748
201;Appel;267;Nijkerk                    ;31;Gelderse Vallei                         ;25;Gld.;nee;nee;Appel                      ;1945
202;726;85;Ooststellingwerf           ;9;Fries zandgebied                        ;21;F.  ;ja ;nee;Appelscha                  ;726
203;Appeltern;668;West Maas en Waal          ;41;Land van Maas en Waal                   ;25;Gld.;ja ;nee;Appeltern                  ;3505
204;Appen (Scheveld);285;Voorst                     ;34;Overige gemeenten oostelijke Veluwezoom ;25;Gld.;nee;nee;Appen (Scheveld)           ;2075
205;1;3;Appingedam                 ;2;Appingedam, Delfzijl                    ;20;Gr. ;ja ;ja ;Appingedam                 ;1
206;Arcen;885;Arcen en Velden            ;120;Noord-Limburg                           ;31;L.  ;ja ;nee;Arcen                      ;4712
207;Arcen en Velden;885;Arcen en Velden            ;120;Noord-Limburg                           ;31;L.  ;nee;ja ;Arcen en Velden            ;4713
208;Archem;175;Ommen                      ;21;Noordoost-Overijssel                    ;23;O.  ;nee;nee;Archem                     ;1300
209;Arendsnest;755;Boekel                     ;112;Midden-Meijerij                         ;30;NB. ;nee;nee;Arendsnest                 ;3944
210;Arensgenhout;951;Nuth                       ;125;Oostelijke Mijnstreek                   ;31;L.  ;nee;nee;Arensgenhout               ;5084
211;Arkel;689;Giessenlanden              ;77;Overige gemeenten Alblasserwaard        ;28;ZH. ;ja ;nee;Arkel                      ;3617
212;597;70;Franekeradeel              ;12;Friese bouwstreek                       ;21;F.  ;nee;nee;Arkens                     ;597
213;Arkum;710;Wûnseradiel                ;10;Fries weidegebied                       ;21;F.  ;nee;nee;Arkum                      ;3721
214;Arlo, Ten;1690;De Wolden                  ;18;Zuiddrents randgebied                   ;22;D.  ;nee;nee;Arlo, Ten                  ;5802
215;Armhoede;262;Lochem                     ;28;Overige gemeenten westelijke Achterhoek ;25;Gld.;nee;nee;Armhoede                   ;1895
