ID;SectorBranchesSIC2008;Periods;Employee_1;EmployedPerson_2;Employee_3;EmployedPerson_4;Total_5;NetTurnover_6;OtherRevenues_7;Total_8;PurchaseValueOfSales_9;Total_10;GrossWagesAndSalaries_11;Total_12;EmployerPaidSocialInsurancePremiums_13;PensionAndEarlyRetirementPremiums_14;OtherSocialInsuranceCosts_15;OtherPersonnelCosts_16;Total_17;CostsOfEnergyUse_18;HousingCosts_19;EquipmentAndInventoryCosts_20;TransportCosts_21;SalesCosts_22;CommunicationCosts_23;CostsOfOtherServices_24;OtherLiabilities_25;DepreciationFixedAssets_26;OperatingResults_27;NetFinancialIncome_28;BalanceOfProvisions_29;NetExtraordinaryIncome_30;PreTaxResults_31
26;561 Restaurants ;2010;204.7;250.4;82.6;115.1;7779.0;7662.0;117.0;6853.0;2438.0;2010.0;1572.0;291.0;224.0;67.0;18.0;129.0;2028.0;264.0;792.0;121.0;62.0;201.0;41.0;140.0;409.0;377.0;926.0;-75.0;-2.0;1.0;849.0
27;561 Restaurants ;2011;212.9;249.4;88.8;119.3;8316.0;8188.0;127.0;7164.0;2486.0;2193.0;1733.0;322.0;250.0;72.0;14.0;124.0;2087.0;253.0;860.0;128.0;58.0;207.0;45.0;150.0;385.0;399.0;1152.0;16.0;3.0;46.0;1216.0
28;561 Restaurants ;2012;221.5;259.3;91.8;123.5;8622.0;8485.0;137.0;7469.0;2569.0;2323.0;1833.0;347.0;266.0;81.0;15.0;129.0;2158.0;256.0;883.0;130.0;58.0;216.0;46.0;162.0;407.0;419.0;1153.0;38.0;2.0;61.0;1254.0
29;561 Restaurants ;2013;226.4;265.9;94.7;128.0;8863.0;8730.0;133.0;7722.0;2653.0;2415.0;1905.0;365.0;281.0;84.0;16.0;129.0;2217.0;262.0;914.0;133.0;59.0;222.0;48.0;165.0;415.0;437.0;1141.0;40.0;2.0;53.0;1236.0
30;56101 Restaurants;2009;129.2;154.5;52.5;68.6;4658.0;4617.0;41.0;4202.0;1398.0;1383.0;1068.0;198.0;148.0;50.0;14.0;103.0;1211.0;155.0;485.0;77.0;28.0;107.0;25.0;89.0;245.0;211.0;455.0;-41.0;-1.0;3.0;416.0
31;56101 Restaurants;2010;134.0;162.2;56.8;74.2;5059.0;5025.0;35.0;4582.0;1553.0;1498.0;1157.0;217.0;164.0;53.0;15.0;110.0;1286.0;173.0;505.0;82.0;29.0;114.0;27.0;95.0;261.0;246.0;477.0;-49.0;-1.0;-3.0;424.0
32;56101 Restaurants;2011;137.9;157.6;60.8;76.8;5360.0;5324.0;35.0;4769.0;1593.0;1614.0;1264.0;240.0;185.0;56.0;11.0;99.0;1314.0;162.0;544.0;88.0;32.0;118.0;29.0;95.0;246.0;248.0;591.0;-61.0;0.0;36.0;566.0
33;56101 Restaurants;2012;142.7;163.1;62.9;79.5;5545.0;5503.0;42.0;4961.0;1646.0;1703.0;1334.0;255.0;194.0;61.0;11.0;103.0;1355.0;166.0;563.0;87.0;32.0;122.0;30.0;103.0;252.0;257.0;584.0;-63.0;0.0;44.0;566.0
34;56101 Restaurants;2013;147.1;168.0;64.8;82.0;5724.0;5688.0;36.0;5152.0;1700.0;1768.0;1388.0;268.0;204.0;64.0;11.0;102.0;1417.0;171.0;584.0;93.0;33.0;128.0;31.0;106.0;272.0;267.0;572.0;-63.0;0.0;42.0;551.0
35;56102 Cafeterias,ice cream parlours;2009;61.6;76.7;23.4;36.5;2593.0;2516.0;77.0;2183.0;840.0;514.0;414.0;76.0;60.0;16.0;3.0;21.0;686.0;81.0;273.0;39.0;30.0;90.0;14.0;43.0;118.0;142.0;410.0;-21.0;-8.0;11.0;392.0
36;56102 Cafeterias,ice cream parlours;2010;70.6;88.2;25.8;40.8;2720.0;2637.0;83.0;2271.0;885.0;512.0;415.0;74.0;60.0;15.0;3.0;20.0;743.0;91.0;287.0;39.0;32.0;87.0;15.0;45.0;147.0;132.0;449.0;-27.0;-1.0;5.0;425.0
37;56102 Cafeterias,ice cream parlours;2011;75.0;91.8;28.0;42.5;2956.0;2864.0;92.0;2395.0;893.0;579.0;469.0;82.0;65.0;17.0;3.0;25.0;773.0;91.0;316.0;40.0;26.0;89.0;16.0;56.0;139.0;151.0;561.0;76.0;2.0;10.0;650.0
38;56102 Cafeterias,ice cream parlours;2012;78.8;96.2;28.9;44.0;3077.0;2982.0;95.0;2508.0;923.0;619.0;499.0;91.0;72.0;20.0;4.0;26.0;804.0;90.0;320.0;43.0;27.0;94.0;16.0;59.0;155.0;162.0;569.0;101.0;2.0;16.0;688.0
39;56102 Cafeterias,ice cream parlours;2013;79.3;97.9;29.9;46.0;3139.0;3042.0;97.0;2570.0;953.0;646.0;518.0;97.0;77.0;20.0;5.0;27.0;801.0;91.0;330.0;40.0;27.0;95.0;16.0;59.0;143.0;170.0;569.0;104.0;2.0;11.0;685.0
40;562 Canteens and catering;2009;40.4;54.0;23.5;31.4;2579.0;2460.0;118.0;2322.0;986.0;946.0;648.0;133.0;96.0;37.0;3.0;163.0;314.0;23.0;95.0;22.0;35.0;39.0;11.0;31.0;58.0;76.0;257.0;122.0;-1.0;4.0;382.0
41;562 Canteens and catering;2010;42.4;55.8;22.6;31.3;2692.0;2566.0;126.0;2380.0;1033.0;940.0;655.0;137.0;99.0;37.0;1.0;148.0;332.0;26.0;98.0;23.0;38.0;41.0;10.0;35.0;61.0;75.0;312.0;-5.0;-8.0;9.0;308.0
42;562 Canteens and catering;2011;45.8;59.4;24.1;33.0;2860.0;2710.0;149.0;2560.0;1141.0;992.0;707.0;141.0;101.0;39.0;4.0;141.0;347.0;30.0;112.0;18.0;33.0;34.0;11.0;45.0;64.0;80.0;299.0;-20.0;4.0;13.0;295.0
43;562 Canteens and catering;2012;47.0;60.3;24.6;33.6;2839.0;2665.0;174.0;2521.0;1124.0;983.0;695.0;142.0;102.0;40.0;5.0;141.0;343.0;29.0;102.0;17.0;33.0;35.0;11.0;43.0;75.0;71.0;318.0;-21.0;5.0;10.0;311.0
44;562 Canteens and catering;2013;46.6;60.9;24.0;34.1;2841.0;2641.0;200.0;2529.0;1126.0;976.0;695.0;149.0;108.0;41.0;4.0;127.0;354.0;30.0;106.0;15.0;33.0;36.0;10.0;44.0;79.0;74.0;312.0;-28.0;2.0;5.0;290.0
45;563 Bars;2009;61.3;86.8;24.8;39.2;2823.0;2797.0;26.0;2501.0;887.0;695.0;503.0;95.0;70.0;25.0;5.0;92.0;791.0;105.0;295.0;55.0;18.0;90.0;20.0;60.0;150.0;128.0;322.0;-7.0;-1.0;1.0;316.0
46;563 Bars;2010;67.3;86.4;25.7;40.5;3072.0;3047.0;25.0;2665.0;1009.0;730.0;539.0;113.0;77.0;36.0;6.0;73.0;797.0;97.0;308.0;63.0;19.0;83.0;22.0;69.0;137.0;129.0;408.0;-34.0;-2.0;8.0;380.0
47;563 Bars;2011;69.5;87.1;27.4;42.5;3127.0;3104.0;23.0;2640.0;968.0;746.0;570.0;105.0;81.0;23.0;5.0;67.0;788.0;92.0;308.0;53.0;20.0;80.0;21.0;61.0;152.0;138.0;487.0;-23.0;1.0;1.0;467.0
48;563 Bars;2012;71.4;88.9;26.4;41.1;3109.0;3087.0;22.0;2655.0;959.0;761.0;577.0;109.0;82.0;27.0;5.0;70.0;796.0;93.0;307.0;57.0;20.0;83.0;20.0;61.0;157.0;139.0;454.0;-20.0;1.0;3.0;438.0
49;563 Bars;2013;69.0;86.5;26.4;41.5;3056.0;3035.0;21.0;2614.0;961.0;759.0;574.0;114.0;88.0;26.0;4.0;66.0;763.0;89.0;298.0;53.0;19.0;83.0;18.0;59.0;144.0;130.0;443.0;-16.0;0.0;9.0;435.0
50;J Information and communication;2009;244.3;323.4;213.5;267.5;52676.0;51985.0;692.0;46148.0;15474.0;15154.0;10768.0;1972.0;1191.0;781.0;143.0;2271.0;10937.0;230.0;1222.0;431.0;1027.0;1422.0;416.0;3228.0;2963.0;4584.0;6528.0;-1193.0;-162.0;35.0;5208.0
51;J Information and communication;2010;241.8;315.7;209.3;259.2;53410.0;52197.0;1213.0;45737.0;17337.0;14984.0;10620.0;1988.0;1247.0;741.0;116.0;2260.0;8868.0;232.0;1237.0;499.0;1010.0;1551.0;327.0;1212.0;2799.0;4547.0;7673.0;-1060.0;22.0;-32.0;6602.0
52;J Information and communication;2011;244.1;322.1;211.5;263.9;54067.0;52969.0;1097.0;46550.0;17350.0;15574.0;10955.0;2126.0;1303.0;822.0;119.0;2374.0;9066.0;222.0;1239.0;423.0;1034.0;1566.0;323.0;1245.0;3014.0;4559.0;7516.0;-1374.0;-202.0;-503.0;5437.0
53;J Information and communication;2012;245.1;325.2;210.9;264.7;53370.0;52248.0;1122.0;46096.0;17097.0;15711.0;10979.0;2301.0;1434.0;868.0;121.0;2310.0;8835.0;228.0;1251.0;413.0;995.0;1396.0;339.0;1333.0;2880.0;4453.0;7274.0;-1051.0;-211.0;-1037.0;4976.0
54;J Information and communication;2013;238.7;322.8;208.3;273.9;53063.0;52000.0;1063.0;46170.0;17002.0;15712.0;11053.0;2326.0;1460.0;866.0;119.0;2215.0;8707.0;233.0;1206.0;438.0;997.0;1415.0;299.0;1264.0;2855.0;4750.0;6893.0;-1122.0;-221.0;-383.0;5166.0
55;58-60 Publishing, movie, radio and  TV;2009;55.4;73.8;45.8;57.6;11280.0;11047.0;233.0;10052.0;4427.0;3074.0;2226.0;477.0;269.0;208.0;40.0;332.0;1931.0;40.0;268.0;66.0;113.0;400.0;82.0;354.0;608.0;621.0;1228.0;-135.0;-95.0;9.0;1006.0
56;58-60 Publishing, movie, radio and  TV;2010;51.2;71.1;43.0;54.5;10538.0;10181.0;357.0;9164.0;3764.0;2928.0;2108.0;453.0;274.0;179.0;32.0;335.0;1836.0;43.0;252.0;58.0;103.0;386.0;82.0;305.0;607.0;638.0;1374.0;-5.0;-40.0;-67.0;1263.0
57;58-60 Publishing, movie, radio and  TV;2011;50.2;70.4;42.2;54.3;10523.0;10138.0;384.0;9193.0;3677.0;2964.0;2096.0;455.0;273.0;182.0;32.0;381.0;1880.0;44.0;265.0;60.0;106.0;378.0;80.0;252.0;696.0;671.0;1330.0;3.0;-44.0;-280.0;1008.0
58;58-60 Publishing, movie, radio and  TV;2012;48.5;69.7;40.6;53.2;10140.0;9733.0;407.0;8899.0;3617.0;2912.0;2045.0;469.0;278.0;191.0;37.0;361.0;1755.0;42.0;254.0;56.0;98.0;342.0;74.0;263.0;625.0;615.0;1241.0;-26.0;-32.0;-298.0;886.0
59;58-60 Publishing, movie, radio and  TV;2013;46.5;68.9;38.6;55.3;9808.0;9397.0;411.0;8589.0;3519.0;2756.0;1975.0;456.0;269.0;187.0;32.0;295.0;1675.0;41.0;242.0;62.0;93.0;311.0;64.0;245.0;616.0;639.0;1219.0;-227.0;-42.0;-637.0;313.0
60;58 Publishing ;2009;34.1;40.3;28.8;32.4;7107.0;7038.0;69.0;6235.0;2648.0;1978.0;1430.0;310.0;175.0;136.0;25.0;213.0;1299.0;17.0;160.0;34.0;75.0;313.0;59.0;278.0;363.0;311.0;872.0;-146.0;-73.0;-46.0;607.0
61;58 Publishing ;2010;30.2;35.7;26.4;29.8;6478.0;6372.0;106.0;5624.0;2285.0;1835.0;1321.0;295.0;179.0;116.0;20.0;199.0;1158.0;19.0;131.0;22.0;57.0;286.0;54.0;229.0;361.0;346.0;854.0;-57.0;-36.0;-72.0;689.0
62;58 Publishing ;2011;29.2;34.3;25.5;28.8;6312.0;6180.0;132.0;5498.0;2183.0;1824.0;1287.0;290.0;178.0;113.0;19.0;227.0;1164.0;19.0;134.0;22.0;61.0;280.0;54.0;179.0;417.0;327.0;814.0;-52.0;-42.0;-241.0;480.0
63;58 Publishing ;2012;28.2;33.5;24.4;27.4;6011.0;5866.0;145.0;5258.0;2088.0;1749.0;1229.0;290.0;173.0;117.0;24.0;206.0;1105.0;17.0;127.0;21.0;56.0;257.0;47.0;187.0;392.0;317.0;753.0;-81.0;-32.0;-105.0;535.0
64;58 Publishing ;2013;26.9;32.3;23.4;26.7;5724.0;5569.0;155.0;4996.0;1950.0;1678.0;1210.0;288.0;166.0;122.0;21.0;158.0;1053.0;17.0;103.0;26.0;49.0;226.0;39.0;178.0;416.0;316.0;729.0;-293.0;-42.0;-445.0;-51.0
65;59 Film, TV and music production etc;2009;13.2;23.6;9.9;17.3;2335.0;2252.0;83.0;2097.0;1018.0;553.0;399.0;79.0;47.0;32.0;6.0;70.0;385.0;16.0;75.0;21.0;31.0;44.0;17.0;51.0;131.0;140.0;238.0;8.0;-16.0;7.0;237.0
66;59 Film, TV and music production etc;2010;13.4;25.7;9.8;16.6;2225.0;2070.0;155.0;1872.0;770.0;540.0;391.0;69.0;47.0;22.0;5.0;75.0;438.0;16.0;85.0;25.0;37.0;50.0;19.0;47.0;160.0;124.0;354.0;-23.0;-1.0;10.0;340.0
67;59 Film, TV and music production etc;2011;13.3;26.5;9.7;17.4;2295.0;2136.0;157.0;1930.0;773.0;556.0;392.0;71.0;47.0;24.0;4.0;89.0;465.0;16.0;95.0;24.0;36.0;50.0;19.0;44.0;181.0;135.0;364.0;-25.0;-1.0;-23.0;315.0
68;59 Film, TV and music production etc;2012;12.8;26.8;9.5;17.9;2241.0;2107.0;134.0;1899.0;764.0;577.0;402.0;78.0;52.0;26.0;4.0;93.0;429.0;17.0;94.0;23.0;34.0;45.0;20.0;49.0;147.0;130.0;341.0;-27.0;2.0;7.0;323.0
69;59 Film, TV and music production etc;2013;12.2;27.8;8.7;21.2;2206.0;2079.0;127.0;1859.0;820.0;503.0;351.0;68.0;47.0;21.0;2.0;81.0;413.0;17.0;107.0;24.0;37.0;41.0;18.0;42.0;128.0;123.0;347.0;-8.0;0.0;11.0;350.0
70;60 Programming and broadcasting;2009;8.1;9.8;7.1;8.0;1838.0;1756.0;82.0;1720.0;761.0;543.0;397.0;88.0;48.0;40.0;9.0;50.0;247.0;7.0;33.0;11.0;8.0;43.0;7.0;26.0;114.0;170.0;118.0;4.0;-6.0;48.0;163.0
71;60 Programming and broadcasting;2010;7.6;9.7;6.9;8.1;1835.0;1738.0;96.0;1668.0;709.0;553.0;396.0;90.0;49.0;41.0;8.0;60.0;239.0;9.0;35.0;11.0;9.0;49.0;10.0;30.0;87.0;167.0;166.0;75.0;-2.0;-5.0;234.0
72;60 Programming and broadcasting;2011;7.7;9.6;7.0;8.1;1917.0;1822.0;94.0;1764.0;721.0;584.0;416.0;94.0;48.0;46.0;9.0;64.0;251.0;9.0;36.0;14.0;9.0;49.0;7.0;29.0;99.0;209.0;152.0;80.0;-2.0;-17.0;213.0
73;60 Programming and broadcasting;2012;7.5;9.5;6.7;7.8;1888.0;1760.0;128.0;1741.0;765.0;587.0;414.0;102.0;53.0;49.0;8.0;62.0;222.0;9.0;34.0;12.0;9.0;39.0;7.0;27.0;86.0;168.0;147.0;82.0;-1.0;-200.0;28.0
74;60 Programming and broadcasting;2013;7.4;8.7;6.5;7.4;1878.0;1749.0;128.0;1734.0;750.0;576.0;413.0;99.0;56.0;44.0;8.0;56.0;209.0;7.0;32.0;12.0;8.0;45.0;8.0;25.0;72.0;200.0;143.0;73.0;0.0;-202.0;14.0
75;61 Telecommunications;2009;35.6;47.2;31.8;39.2;17680.0;17547.0;134.0;14359.0;4559.0;2531.0;1650.0;303.0;165.0;138.0;11.0;567.0;4323.0;120.0;342.0;121.0;117.0;545.0;52.0;2235.0;791.0;2946.0;3321.0;-1421.0;6.0;30.0;1936.0
76;61 Telecommunications;2010;31.2;38.0;27.6;32.6;18104.0;17858.0;246.0;14204.0;6381.0;2399.0;1596.0;302.0;164.0;138.0;9.0;493.0;2546.0;123.0;346.0;173.0;82.0;621.0;33.0;439.0;732.0;2877.0;3900.0;-968.0;38.0;97.0;3067.0
77;61 Telecommunications;2011;31.6;39.2;28.1;33.6;17715.0;17459.0;255.0;13637.0;5978.0;2437.0;1603.0;333.0;172.0;161.0;10.0;492.0;2466.0;110.0;331.0;167.0;87.0;574.0;34.0;414.0;750.0;2755.0;4078.0;-1569.0;-32.0;259.0;2735.0
78;61 Telecommunications;2012;31.5;38.8;28.4;32.9;17547.0;17326.0;221.0;13866.0;6121.0;2495.0;1631.0;374.0;204.0;170.0;10.0;480.0;2467.0;114.0;343.0;165.0;90.0;528.0;44.0;399.0;785.0;2783.0;3681.0;-1133.0;-155.0;-396.0;1997.0
79;61 Telecommunications;2013;30.9;38.7;27.9;33.6;17272.0;17029.0;244.0;14441.0;6518.0;2465.0;1615.0;373.0;189.0;184.0;8.0;469.0;2418.0;119.0;338.0;127.0;94.0;542.0;32.0;389.0;779.0;3041.0;2831.0;-1055.0;-175.0;-3.0;1598.0
80;62-63 IT- and information services;2009;153.3;202.3;135.9;170.6;23717.0;23391.0;325.0;21738.0;6487.0;9549.0;6892.0;1193.0;757.0;436.0;92.0;1372.0;4684.0;69.0;613.0;245.0;797.0;477.0;281.0;638.0;1565.0;1017.0;1979.0;363.0;-72.0;-4.0;2266.0
81;62-63 IT- and information services;2010;159.3;206.6;138.7;172.1;24768.0;24158.0;610.0;22369.0;7193.0;9657.0;6917.0;1233.0;809.0;424.0;75.0;1433.0;4487.0;67.0;640.0;269.0;825.0;545.0;213.0;468.0;1460.0;1033.0;2399.0;-87.0;23.0;-62.0;2272.0
82;62-63 IT- and information services;2011;162.4;212.5;141.2;176.0;25829.0;25371.0;458.0;23721.0;7696.0;10172.0;7256.0;1338.0;858.0;480.0;77.0;1501.0;4720.0;69.0;643.0;196.0;841.0;614.0;209.0;579.0;1569.0;1132.0;2108.0;193.0;-126.0;-481.0;1694.0
83;62-63 IT- and information services;2012;165.0;216.7;141.9;178.6;25683.0;25190.0;493.0;23331.0;7359.0;10304.0;7303.0;1458.0;952.0;506.0;75.0;1468.0;4613.0;71.0;654.0;192.0;807.0;526.0;221.0;670.0;1471.0;1055.0;2352.0;108.0;-24.0;-343.0;2093.0
84;62-63 IT- and information services;2013;161.3;215.2;141.8;185.1;25983.0;25575.0;408.0;23140.0;6966.0;10491.0;7463.0;1497.0;1002.0;495.0;79.0;1452.0;4614.0;72.0;627.0;250.0;809.0;563.0;204.0;630.0;1460.0;1070.0;2843.0;160.0;-5.0;257.0;3255.0
85;62 Support activities in the field of IT;2009;145.0;186.3;129.3;159.1;22123.0;21802.0;321.0;20247.0;5896.0;9134.0;6601.0;1142.0;722.0;419.0;88.0;1304.0;4380.0;66.0;572.0;213.0;773.0;414.0;267.0;594.0;1481.0;836.0;1876.0;360.0;-71.0;32.0;2197.0
86;62 Support activities in the field of IT;2010;150.5;189.4;131.7;159.4;23147.0;22557.0;590.0;20968.0;6589.0;9254.0;6627.0;1181.0;773.0;408.0;72.0;1374.0;4188.0;63.0;599.0;253.0;805.0;462.0;201.0;433.0;1371.0;937.0;2179.0;-31.0;22.0;-75.0;2095.0
87;62 Support activities in the field of IT;2011;151.5;192.4;132.1;160.8;23744.0;23308.0;436.0;21882.0;6938.0;9589.0;6857.0;1263.0;805.0;459.0;74.0;1396.0;4318.0;63.0;591.0;176.0;811.0;508.0;191.0;529.0;1449.0;1038.0;1862.0;193.0;-125.0;-456.0;1474.0
